qid,label_en,author_string_uuid,author_string,author_string_series_ordinal,author_string_ref1_hash,author_string_ref1_referenceUrl,author_string_ref1_retrieved_nodeId,author_string_ref1_retrieved_val,author_string_ref1_retrieved_prec
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,699d3b0e-4dd7-8877-a854-540883f32200,Mary C. Schlembach,28,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,d63fc6b3-4ace-9e05-a4b2-3ae19d94b20b,Yi Shen,29,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,aaa0a730-4f19-cb18-2818-80c8a5b7b886,Erin Smith,30,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,55cbb148-45bf-1981-e3aa-552555800997,Michelle Spence,31,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,42d097ee-49e6-9983-c0d7-577e46c3d204,Kris Stacy-Bates,32,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,0484180b-4f3f-5490-1d94-3ae18c14d8c6,Erin Thomas,33,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,3c3ff8c3-441f-8639-344f-4a1df1d5b2f0,Larry Thompson,34,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,4c03a7d7-4a87-59c8-4bcb-441946d3f17d,Christie A. Wiley,36,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,e5dd5507-493c-c940-34bd-0ee90225e8eb,Siu Hong Yu,38,,,,,
Q106399475,"Talent, Schmalent: An Instructional Design/Action Research Framework for the Professionalization of Teaching in Academic Libraries",380aa5f9-439c-4983-5052-fac56854f909,Kevin Michael Klipfel,2,,,,,
Q106399498,The Retweet of Academia: Using Twitter to Improve Information Literacy Instruction,,,,,,,,
Q106400016,Thinking and Reading like a Scientist: Librarians as Facilitators of Primary Literature Literacy,,,,,,,,
Q106400082,Uncorking Learning: Flipping Library Instruction PechaKucha-Style,0bd8abb3-4475-ee34-1c9f-2018bf2bcfb6,Nedelina Tchangalova,2,,,,,
Q106400082,Uncorking Learning: Flipping Library Instruction PechaKucha-Style,320af5fc-479c-ee86-18bd-736a64a67723,Eileen G. Harrington,3,,,,,
Q106400142,Using Canvas and PechaKucha to Facilitate Undergraduate Peer Teaching of Evidence Based Practice,22d8ca57-4c01-c375-673d-8794532ec9c3,Nedelina Tchangalova,2,,,,,
Q106400142,Using Canvas and PechaKucha to Facilitate Undergraduate Peer Teaching of Evidence Based Practice,f6a2d298-4d74-5c95-53e1-c9a40f5273a6,Eileen G. Harrington,3,,,,,
Q106400253,Work in Progress: Integrating Information Literacy into a Multidisciplinary First-year Engineering Program,,,,,,,,
Q106423572,Catalogue of the Exhibition,1418905e-4a11-faa9-d280-f074190bbbec,Ronald W. Fuchs II,2,,,,,
Q106423888,"Introduction: ""For Profit and Pleasure"": Changes in Food and Farming",,,,,,,,
Q106424401,"""Proof of Good Intention"": Modernization at James T. Mullin and Sons, Wilmington, Delaware, 1900-1930",,,,,,,,
Q106425336,"Tables and fruit-trenchers teach as much: English banqueting trenchers, c. 1585-1662",,,,,,,,
Q106427730,"Working Women of Collar City: Gender, Class, and Community in Troy, 1864-86",,,,,,,,
Q106474020,Peer reference assistants in a small liberal arts college: case study,8D6D904D-E80B-48BC-A627-BCA25D15F32B,Ken Johnson,2,4eacc4b3cac69e2c7e386ddede719803260a2c4d,http://doi.org/10.1108/RSR-11-2015-0048,f21433ce18ccd7a8e2b7ef732fdbc131,2021-04-12T00:00:00Z,11
Q106474221,Recent Changes to Reference Services in Academic Libraries and Their Relationship to Perceived Quality: Results of a National Survey,1E473795-41DE-47EF-8055-288E072E658B,Jason Coleman,1,88bb7209410430d6853301a128296e930eca00f5,http://doi.org/10.1080/01930826.2015.1109879,f21433ce18ccd7a8e2b7ef732fdbc131,2021-04-12T00:00:00Z,11
Q106474221,Recent Changes to Reference Services in Academic Libraries and Their Relationship to Perceived Quality: Results of a National Survey,A190A4E1-119D-4FA0-94BE-986DA2916F18,Leo Lo,3,88bb7209410430d6853301a128296e930eca00f5,http://doi.org/10.1080/01930826.2015.1109879,f21433ce18ccd7a8e2b7ef732fdbc131,2021-04-12T00:00:00Z,11
Q106474291,Collaborate to Innovate: Expanding Access to Faculty Patents through the Institutional Repository and the Library Catalog,190BA6A5-9E58-4713-9DEC-11B354B68414,Jan Comfort,2,da77fee4402a8cf8b2c52321f21c4e3170599db9,http://doi.org/10.1080/01462679.2015.1093986,f21433ce18ccd7a8e2b7ef732fdbc131,2021-04-12T00:00:00Z,11
Q106474291,Collaborate to Innovate: Expanding Access to Faculty Patents through the Institutional Repository and the Library Catalog,85C20292-064B-4E12-95A6-F5913ABA861A,Lisa Bodenheimer,3,da77fee4402a8cf8b2c52321f21c4e3170599db9,http://doi.org/10.1080/01462679.2015.1093986,f21433ce18ccd7a8e2b7ef732fdbc131,2021-04-12T00:00:00Z,11
Q106476810,Digital Humanities and the Future of Theology,,,,,,,,
Q106477328,The Impact of Disability: A Comparative Approach to Medical Resource Allocation in Public Health Emergencies,5440A0E9-E41C-4982-9C0E-9AC523F1CC0C,Wendy F. Hensel,3,ce8d5bbb48a7d7d16dcb81de77cc06633fbd98aa,https://scholarship.law.slu.edu/jhlp/vol8/iss2/5,f21433ce18ccd7a8e2b7ef732fdbc131,2021-04-12T00:00:00Z,11
Q106477727,Wrongful Convictions and Their Causes: An Annotated Bibliography,D577F916-C127-4CA3-84D1-844ABE0B6868,Karl Pettitt,2,cbed89fa7d46f8196bf5cfbbb40d48289ca828b7,https://ssrn.com/abstract=3200001,f21433ce18ccd7a8e2b7ef732fdbc131,2021-04-12T00:00:00Z,11
Q106477859,"Race, Poverty, and Bail: An Annotated Bibliography",,,,,,,,
Q106478043,Creating a Welcoming and Inclusive Environment for Transgender and Gender Fluid Music Library Users,,,,,,,,
Q106478188,What Engineers Want: Lessons Learned from Five Years of Studying Engineering Library Users,FAA37BBB-96A8-4461-8DFA-6E346862A6C8,Bertha Chang,1,79f90516dd1ba948aabd1b62f2d43a836325b6e5,http://doi.org/10.18260/P.25057,f21433ce18ccd7a8e2b7ef732fdbc131,2021-04-12T00:00:00Z,11
Q27022370,Hepatotoxicity from antituberculous therapy in the elderly: a systematic review,2110A432-7E69-4321-8615-8F782A9A7DA7,Myron Chang,4,0d21223ea207eed8ac68b3eae5e0ff453f7d21b1,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:25595441%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q27022370,Hepatotoxicity from antituberculous therapy in the elderly: a systematic review,25A864EB-BBB7-486F-9771-F2250F11E1FF,Yunfeng Dai,5,0d21223ea207eed8ac68b3eae5e0ff453f7d21b1,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:25595441%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q27022370,Hepatotoxicity from antituberculous therapy in the elderly: a systematic review,3E73A8D8-E450-4751-847E-95253385FE98,John Shuster,7,0d21223ea207eed8ac68b3eae5e0ff453f7d21b1,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:25595441%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q27022370,Hepatotoxicity from antituberculous therapy in the elderly: a systematic review,89414F69-4E26-4BAA-A211-F347EF96C045,Jennifer D Hosford,1,0d21223ea207eed8ac68b3eae5e0ff453f7d21b1,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:25595441%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q27022370,Hepatotoxicity from antituberculous therapy in the elderly: a systematic review,BDF2B04B-1CE9-4C14-952E-B5976D0AB163,Kevin P Fennelly,8,0d21223ea207eed8ac68b3eae5e0ff453f7d21b1,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:25595441%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
