last_first,description,born,died,birthplace,birth_city,birth_state,deathplace,artist_type,wikidata_description,name,creator_string
"Ruggie-Saunders, Cathie","1951-, born Chicago, IL",1951,,Q1297,Chicago, IL,,printmaker,printmaker,Cathie Ruggie-Saunders,"['Ruggie-Saunders, Cathie (1951-, born Chicago, IL)']"
"Waanders, Hans","1951-2001, born Enschede, Netherlands",1951,2001,Q33435365,Enschede, Netherlands,,printmaker,printmaker,Hans Waanders,"['Waanders, Hans (1951-2001, born Enschede, Netherlands)']"
"Peel, Michael","British painter, born 1951",1951,,,,,,printmaker,British painter,Michael Peel,"['Peel, Michael (British painter, born 1951)']"
"Phillips, John","1953-, born Chicago, IL",1953,,Q1297,Chicago, IL,,printmaker,printmaker,John Phillips,"['Phillips, John (1953-, born Chicago, IL)']"
"Jackson, Julian","1953-, born Richmond, VA",1953,,Q43421,Richmond, VA,,printmaker,printmaker,Julian Jackson,"['Jackson, Julian (1953-, born Richmond, VA)']"
"Jones, Bronlyn","1954-, born Williamsburg, IA",1954,,Q2099362,Williamsburg, IA,,drawer,drawer,Bronlyn Jones,"['Jones, Bronlyn (1954-, born Williamsburg, IA)']"
"Tosh, Paul,","1954-, born Kingsport, TN",1954,,Q241814,Kingsport, TN,,printmaker,printmaker,Paul Tosh,"['Tosh, Paul, (1954-, born Kingsport, TN)']"
"Held, Mara","1954-, born New York, NY",1954,,Q60,New York, NY,,printmaker,printmaker,Mara Held,"['Held, Mara (1954-, born New York, NY)']"
"Gibian, Mark",1954-,1954,,,,,,painter,painter,Mark Gibian,"['Gibian, Mark (1954-)']"
"Raymond, José Luis",1954-,1954,,,,,,photographer,photographer,José Luis Raymond,"['Raymond, José Luis (1954-)']"
"Zupanc, Terri","1955-, born Wisconsin",1955,,Q1537,Wisconsin,,,printmaker,printmaker,Terri Zupanc,"['Zupanc, Terri (1955-, born Wisconsin)']"
"Warren, Gabriel","1955-, born New Haven, CT",1955,,Q49145,New Haven, CT,,sculptor,sculptor,Gabriel Warren,"['Warren, Gabriel (1955-, born New Haven, CT)']"
"Teeuwen, Tjue","1955-, 1955-, born Eindhoven, Netherlands",1955,,Q9832,Eindhoven,Netherlands,,book artist,book artist,Tjue Teeuwen,"['Teeuwen, Tjue & Peter Foolen (1955-, 1955-, born Eindhoven, Netherlands)']"
"Lyles, Karen Leonard",1955-,1955,,,,,,drawer,drawer,Karen Leonard Lyles,"['Lyles, Karen Leonard (1955-)']"
"Thacker, Terry",1955-,1955,,,,,,painter,painter,Terry Thacker,"['Thacker, Terry (1955-)']"
"Cole, Willie","American artist, born 1955",1955,,,,,,printmaker,American artist,Willie Cole,"['Cole, Willie (American artist, born 1955)']"
"Hsiao, Gilbert","1956-, born Pennsylvania",1956,,Q1400,Pennsylvania,,,printmaker,printmaker,Gilbert Hsiao,"['Hsiao, Gilbert (1956-, born Pennsylvania)']"
"Abad, Antoni","1956-, born Barcelona, Spain",1956,,Q1492,Barcelona, Spain,,printmaker,printmaker,Antoni Abad,"['Abad, Antonio (1956-, born Barcelona, Spain)']"
"Hill, Daniel G.","1956-, born New York, NY",1956,,Q60,New York, NY,,printmaker,printmaker,Daniel G. Hill,"['Hill, Daniel G. (1956-, born New York, NY)']"
"D'Amato, Paul","American photographer, 1956 CE-",1956,,,,,,photographer,American photographer,Paul D'Amato,"[""D'Amato, Paul (American photographer, 1956 CE-)""]"
"Lavender, Randall",b. 1956,1956,,,,,,ceramic artist,ceramic artist,Randall Lavender,"['Lavender, Randall (b. 1956)']"
"Sherraden, Jim","1957-, born Salina, KS",1957,,Q1650620,Salina, KS,,printmaker,printmaker,Jim Sherraden,"['Sherraden, Jim (1957-, born Salina, KS)', 'Sherraden, Jim (1957, born Salina, KS)', 'Sherraden, Jim (1956-, born Salina, KS)', 'Sherraden, Jim, (1957-, born Salina, KS)', 'Sherraden, Jim, for Hatch Show Print (1957-, born Salina, KS)']"
