name,cs_name,cs_alias,wikidata_description,born,cs_born,died,cs_died,birthplace,deathplace,gender,ulan,cs_nationality,artist_type,birth_city,birth_state,description,last_first,creator_string,qc
Melville Thomas Wire,Melville Thomas Wire,Melville Thomas Wire,American painter and printmaker,1887,,1966,1966,,,m,http://vocab.getty.edu/page/ulan/500335773,American (North American),painter,,,"American painter and printmaker, 1887-1966","Wire, Melville Thomas","['Wire, Melville Thomas (American painter and printmaker, 1887-1966)']",100 Melville Thomas Wire / Melville Thomas Wire / Melville Thomas Wire / 1877-1966 / 1887-1966
Montgomery Melbourne,,,printmaker,1893,,1970,,,,,,,printmaker,,,1893-1970,"Melbourne, Montgomery","['Melbourne, Montgomery (1893-1970)']",
Franz Würbel,,,printmaker,1896,,,,,,,,,printmaker,,,1896-,"Würbel, Franz","['Würbel, Franz (1896-)']",
William MacLean,William MacLean,,printmaker,1897,1897,1977,1977,,,m,,American,printmaker,,,1897-1977,"MacLean, William","['MacLean, William (1897-1977)']",100 William MacLean /  / William MacLean
Ann Mittelman,Ann Mittelman,,painter,1898,1898,1996,1972,,,f,,,painter,,,1898-1996,"Mittelman, Ann","['Mittelman, Ann (1898-1996)']",100 Ann Mittelman /  / Ann Mittelman
Sadie Skoletsky Rosenblum,Sadie Rosenblum,Sadie Skoletsky Rosenblum,American painter and sculptor,1899,1899,1982,1982,,,f,http://vocab.getty.edu/page/ulan/500337489,American (North American),painter,,,"American painter and sculptor, 1899-1982","Rosenblum, Sadie Skoletsky","['Rosenblum, Sadie Skoletsky (American painter and sculptor, 1899-1982)']",100 Sadie Rosenblum / Sadie Skoletsky Rosenblum / Sadie Skoletsky Rosenblum
Frances Marian Hebert,Frances Marian Hebert,,American,1899,1899,1960,1960,,,f,,American,printmaker,,,"American, 1899-1960","Hebert, Frances Marian","['Hebert, Frances Marian (American, 1899-1960)']",100 Frances Marian Hebert /  / Frances Marian Hebert
Rolf Key-Oberg,Rolf Key-Oberg,,American ceramicist,1900,1900,1959,1959,,,m,,American,artist,,,"American ceramicist, 1900-1959","Key-Oberg, Rolf","['Key-Oberg, Rolf (American ceramicist, 1900-1959)']",100 Rolf Key-Oberg /  / Rolf Key-Oberg
James Kirk Merrick,James Kirk Merrick,,printmaker,1905,1905,1985,1985,,,m,,,printmaker,,,1905-1985,"Merrick, James Kirk","['Merrick, James Kirk  (1905-1985)']",100 James Kirk Merrick /  / James Kirk Merrick
Thomas Puryear Mims,Thomas Puryear Mims,,American sculptor,1906,1906,1975,1975,,,m,http://vocab.getty.edu/page/ulan/500068379,American (North American),sculptor,,,"American sculptor, 1906-1975","Mims, Thomas Puryear","['Mims, Thomas Puryear (American sculptor, 1906-1975)']",100 Thomas Puryear Mims /  / Thomas Puryear Mims
W. H. Walker,,,British watercolorist and illustrator (active 1906 - 1926),1906,,1926,,,,m,http://vocab.getty.edu/page/ulan/500002863,British (modern),printmaker,,,"British watercolorist and illustrator, 1906-1926","Walker, W. H.","['Walker, W. H. (British watercolorist and illustrator, 1906-1926)']",100 W. H. Walker / W. H. Walker / W. H. Walker / 1876-1976 / 1906-1926
Phillipe Sanh,,,painter,1908,,,,Q43467,,,,,painter,,Indo-China,"1908-, born Indo-China","Sanh, Phillipe","['Sanh, Phillipe (1908-, born Indo-China)', 'Sanh, Phillipe (1908-)']",
La Rue Storm,Larue Storm,,painter,1908,1908,,2005,Q8652,,f,,American,painter,Miami, FL,"1908-, born Miami, FL","Storm, La Rue","['Storm, La Rue (1908-, born Miami, FL)']",87 Larue Storm /  / La Rue Storm
Tibbie Levy,Tibbie Levy,,painter,1908,1908,,,,,f,,American,painter,,,1908-,"Levy, Tibbie","['Levy, Tibbie (1908-)']",100 Tibbie Levy /  / Tibbie Levy
Georges Sanh,Georges Sanh,,painter,1909,1909,,,Q1858,,m,,French,painter,Hanoi, Vietnam,"1909-, born Hanoi, Vietnam","Sanh, Georges","['Sanh, Georges (1909-, born Hanoi, Vietnam)']",100 Georges Sanh /  / Georges Sanh
Lei Pei-Zhi,,,painter,1909,,1985,,,,,,,painter,,,1909-1985,"Pei-Zhi, Lei","['Pei-Zhi, Lei (1909-1985)']",
Vincent McPharlin,,,painter,1910,,1985,,Q2544149,,m,,American,painter,Hastings, MI,"1910-1985, born Hastings, MI","McPharlin, Vincent","['McPharlin, Vincent (1910-1985, born Hastings, MI)']",100 Vincent McPharlin /  / Vincent McPharlin / 1935- / 1910-1985
Jeanette Alexander Judson,Jeanette Alexander Judson,,painter,1912,1912,2002,,,,f,,,painter,,,1912-2002,"Judson, Jeanette Alexander","['Judson, Jeanette Alexander (1912-2002)']",100 Jeanette Alexander Judson /  / Jeanette Alexander Judson
Avery Handly,Avery Handly,,painter,1913,,1958,1958,,,m,,American,painter,,,1913-1958,"Handly, Avery","['Handly, Avery (1913-1958)']",100 Avery Handly /  / Avery Handly / -1958 / 1913-1958
Su-chin Wen Chen,,,painter,1914,,,,Q16967,,,,,painter,Wu-hsing," Chekiang Province, China","1914-, born Wu-hsing, Chekiang Province, China",Su-chin Wen Chen,"['Su-chin Wen Chen (1914-, born Wu-hsing, Chekiang Province, China)']",
Marcel Floris,,,printmaker,1914,,2007,,,,,,,printmaker,,,1914-2007,"Floris, Marcel","['Floris, Marcel (1914-2007)']",
"Francis Joseph Gyra, Jr.",Francis Joseph Gyra,,painter,1914,1914,2007,2007,,,m,,American,painter,,,1914-2007,"Gyra, Francis Joseph, Jr.","['Gyra, Francis Joseph, Jr. (1914-2007)']","88 Francis Joseph Gyra /  / Francis Joseph Gyra, Jr."
Francisco Gutiérrez,,,printmaker,1915,,1945,,Q34110,,m,,,printmaker,Oaxaca, Mexico,"1915-1945, born Oaxaca, Mexico","Gutiérrez, Francisco","['Gutiérrez, Francisco (1915-1945, born Oaxaca, Mexico)']",100 Francisco Gutiérrez /  / Francisco Gutiérrez / 1727-1782 / 1915-1945
Beveridge Moore,Beveridge Moore,,painter,1915,1915,2004,2004,Q43421,,m,,American,painter,Richmond, VA,"1915-2004, born Richmond, VA","Moore, Beveridge","['Moore, Beveridge (1915-2004, born Richmond, VA)']",100 Beveridge Moore /  / Beveridge Moore
Gerald Holly,Gerald Holly,,photographer,1917,1917,2004,2004,Q2355638,,m,,American,photographer,Lewisburg, TN,"1917-2004, born Lewisburg, TN","Holly, Gerald","['Holly, Gerald (1917-2004, born Lewisburg, TN)']",100 Gerald Holly /  / Gerald Holly
Toru Mabuchi,,,printmaker,1920,,1994,,Q1490,,,,,printmaker,Tokyo, Japan,"1920-1994, born Tokyo, Japan","Mabuchi, Toru","['Mabuchi, Toru (1920-1994, born Tokyo, Japan)']",
Nola Zirin,Nola Zirin,,printmaker,1920,,,,Q60,,f,,American,printmaker,New York, NY,"1920-, born New York, NY","Zirin, Nola","['Zirin, Nola (1920-, born New York, NY)']",100 Nola Zirin /  / Nola Zirin / - / 1920-
Yves Johnston,,,printmaker,1920,,,,,,,,,printmaker,,,1920-,"Johnston, Yves","['Johnston, Yves (1920-)']",
Dimitri Perdikitis,Dimitri Perdikitis,,painter,1922,1922,,,Q1524,,m,,Greek,painter,Athens, Greece,"1922-, born Athens, Greece","Perdikitis, Dimitri","['Perdikitis, Dimitri (1922-, born Athens, Greece)']",100 Dimitri Perdikitis /  / Dimitri Perdikitis
De La Rue,,,painter,1922,,,,Q90,,,,,painter,Paris, France,"1922-, born Paris, France","Rue, De La","['Rue, De La (1922-, born Paris, France)']",
Ralph H. Scharf,Ralph Hammer Scharf,,printmaker,1923,1923,1993,1993,Q1297,,m,,American,printmaker,Chicago, IL,"1923-1993, born Chicago, IL","Scharf, Ralph H.","['Scharf, Ralph H. (1923-1993, born Chicago, IL)']",82 Ralph Hammer Scharf /  / Ralph H. Scharf
Gray Phillips,Gray Phillips,,painter,1923,1923,2005,2005,Q186702,Q1370207,m,,American,painter,Chattanooga, TN,"1923-2005, born Chattanooga, TN, died Pacific Palisades, CA","Phillips, Gray","['Phillips, Gray (1923-2005, born Chattanooga, TN, died Pacific Palisades, CA)']",100 Gray Phillips /  / Gray Phillips
George King Stark,George King Stark,,sculptor,1923,1923,1992,,Q331380,Q3708437,m,,American,sculptor,Schenectady, NY,"1923-1992, born Schenectady, NY, died Granby, NY","Stark, George King","['Stark, George King (1923-1992, born Schenectady, NY, died Granby, NY)']",100 George King Stark /  / George King Stark
Ninon Lacey,Ninon Lacey,,printmaker,1923,1923,,,Q759,,f,,American,printmaker,New Hampshire,,"1923-, born New Hampshire","Lacey, Ninon","['Lacey, Ninon (1923-, born New Hampshire)']",100 Ninon Lacey /  / Ninon Lacey
Rudolf Mauke,Rudolf Mauke,,German artist,1924,1924,,,,,m,http://vocab.getty.edu/page/ulan/500094814,"German (culture, style, period)",painter,,,"German artist, born 1924","Mauke, Rudolf","['Mauke, Rudolf (German artist, born 1924)']",100 Rudolf Mauke /  / Rudolf Mauke
Augustin Ubeda,Augustin Ubeda,Augustin Ubeda,Spanish artist,1925,1925,,,,,m,http://vocab.getty.edu/page/ulan/500175783,Spanish (culture or style),painter,,,"Spanish artist, born 1925","Ubeda, Augustin","['Ubeda, Augustin (Spanish artist, born 1925)']",100 Augustin Ubeda / Augustin Ubeda / Augustin Ubeda
Robert W. Loberg,Robert W. Loberg,,painter,1927,1927,1999,1999,Q1297,,m,,American,painter,Chicago, IL,"1927-1999, born Chicago, IL","Loberg, Robert W.","['Loberg, Robert W. (1927-1999, born Chicago, IL)']",100 Robert W. Loberg /  / Robert W. Loberg
Jean Cohen,,,printmaker,1927,,2013,,Q18419,Q18438,,,,printmaker,Brooklyn, NY,"1927-2013, born Brooklyn, NY, died Long Island, NY","Cohen, Jean","['Cohen, Jean (1927-2013, born Brooklyn, NY, died Long Island, NY)', 'Cohen, Jean (1927-2013, born New York, NY, died Long Island, NY)']",
Rafael Tur Costa,Rafael Tur Costa,,drawer,1927,1927,,,Q24009589,,m,,Spanish,drawer,Santa Eulalia," Ibiza, Spain","1927-, born Santa Eulalia, Ibiza, Spain","Tur Costa, Rafael","['Tur Costa, Rafael (1927-, born Santa Eulalia, Ibiza, Spain)']",100 Rafael Tur Costa /  / Rafael Tur Costa
Olen Bryant,Olen Bryant,,sculptor,1927,1927,2017,2017,Q2456192,,m,,American,sculptor,Cookeville, TN,"1927-2017, born Cookeville, TN","Bryant, Olen","['Bryant, Olen (1927-2017, born Cookeville, TN)']",100 Olen Bryant /  / Olen Bryant
Iwami Reika,,,printmaker,1927,,1989,,,,,,,printmaker,,,1927-1989,"Reika, Iwami","['Reika, Iwami (1927-1989)']",
Rolph Blakstad,,,printmaker,1929,,,,Q24639,,,,,printmaker,Vancouver, Canada,"1929-, born Vancouver, Canada","Blakstad, Rolph","['Blakstad, Rolph (1929-, born Vancouver, Canada)']",
Joseph Schwarz,Joseph Schwarz,Joseph Schwarz,American painter,1929,1929,,,,,m,http://vocab.getty.edu/page/ulan/500087117,American (North American),painter,,,"American painter, born 1929","Schwarz, Joseph","['Schwarz, Joseph (American painter, born 1929)']",100 Joseph Schwarz / Joseph Schwarz / Joseph Schwarz
Matthew Carone,Matthew Carone,,painter,1930,1930,,,Q1408,,m,,American,painter,New Jersey,,"1930-, born New Jersey","Carone, Matthew","['Carone, Matthew (1930-, born New Jersey)', 'Carone, Matthew']",100 Matthew Carone /  / Matthew Carone
Robert Hauser,,,printmaker,1930,,,,,,,,,printmaker,,,1930,"Hauser, Robert","['Hauser, Robert (1930)']",
William Loy,William Loy,Bill,printmaker,1930,1937,,2008,,,m,,American,printmaker,,,1930-,"Loy, William","['Loy, William (1930-)']",100 William Loy / Bill / William Loy / 1937-2008 / 1930-
Maxime Darnaud,,,painter,1931,,,,Q456,,,,,painter,Lyon, France,"1931-, born Lyon, France","Darnaud, Maxime","['Darnaud, Maxime (1931-, born Lyon, France)']",
Alfred J. Pounders,Alfred J. Pounders,,painter,1931,1931,,,,,m,,American,painter,,,1931-,"Pounders, Alfred J.","['Pounders, Alfred J. (1931-)']",100 Alfred J. Pounders /  / Alfred J. Pounders
Thomas Zvi Wilson,Thomas Zvi Wilson,,painter,1931,1931,,2012,,,m,,American,painter,,,1931-,"Wilson, Thomas Zvi","['Wilson, Thomas Zvi (1931-)']",100 Thomas Zvi Wilson /  / Thomas Zvi Wilson
Claire Bush,,,painter,1933,,,,Q16898647,,,,,painter,Pocono Lake, PA,"1933-, born Pocono Lake, PA","Bush, Claire","['Bush, Claire (1933-, born Pocono Lake, PA)']",
Giorgio Pagliari,,,printmaker,1933,,2015,,Q220,Q52631,,,,printmaker,Rome, Italy,"1933-2015, born Rome, Italy, died Ibiza, Spain","Pagliari, Giorgio","['Pagliari, Giorgio (1933-2015, born Rome, Italy, died Ibiza, Spain)', 'Pagliari, Giorgio (1933-, born Rome, Italy)']",
Alfonso Gomez Bonifacio,Alfonso Gomez Bonifacio,,printmaker,1933,,2011,,,,m,,Spanish,printmaker,,,1933-2011,"Bonifacio, Alfonso Gomez","['Bonifacio, Alfonso Gomez (1933-2011)']",100 Alfonso Gomez Bonifacio /  / Alfonso Gomez Bonifacio / - / 1933-2011
Lawrence Anthony,,,sculptor,1934,,,,,,,,,sculptor,,,1934-,"Anthony, Lawrence","['Anthony, Lawrence (1934-)']",
Willow Legge,Willow Legge,,book artist,1934,1934,,,,,f,,,book artist,,,1934-,"Legge, Willow","['Legge, Willow (1934-)']",100 Willow Legge /  / Willow Legge
Patricia Jean Burg,Patricia Jean Burg,,Canadian artist,1934,1934,,,,,f,http://vocab.getty.edu/page/ulan/500064860,Canadian,printmaker,,,"Canadian artist, born 1934","Burg, Patricia Jean","['Burg, Patricia Jean (Canadian artist, born 1934)']",100 Patricia Jean Burg /  / Patricia Jean Burg
Victor Huggins,Victor Huggins,,printmaker,1936,1936,,2007,Q49229,,m,,American,printmaker,Durham, NC,"1936-, born Durham, NC","Huggins, Victor","['Huggins, Victor (1936-, born Durham, NC)', 'Huggins, Victor  (1936-)', 'Huggins, Victor (1936-)']",100 Victor Huggins /  / Victor Huggins
Don Cameron,,,printmaker,1936,,,,,,,,,printmaker,,,1936-,"Cameron, Don","['Cameron, Don (1936-)']",
Henk van Putten,Henk van Putten,,Dutch sculptor,1936,1936,,,,,m,http://vocab.getty.edu/page/ulan/500058012,Dutch (culture or style),printmaker,,,"Dutch sculptor, born 1936","Putten, Henk van","['Putten, Henk van (Dutch sculptor, born 1936)']",100 Henk van Putten /  / Henk van Putten
Ferran Teixidor,Fernando Texidor,,Spanish painter,1936,1936,,,,,m,,Spanish,printmaker,,,"Spanish painter, born 1936","Teixidor, Ferran","['Teixidor, Ferran (Spanish painter, born 1936)']",84 Fernando Texidor /  / Ferran Teixidor
Oscar Magnan,Oscar Magnan,,printmaker,1937,1937,,,Q190005,,m,,Cuban,printmaker,Cienfuegos, Cuba,"1937-, born Cienfuegos, Cuba","Magnan, Oscar","['Magnan, Oscar (1937-, born Cienfuegos, Cuba)']",100 Oscar Magnan /  / Oscar Magnan
Robert Quijada,Robert Quijada,Robert Quijada,American artist,1937,1937,1994,1994,,,,http://vocab.getty.edu/page/ulan/500096712,American (North American),painter,,,"American artist, 1937-1994","Quijada, Robert","['Quijada, Robert (American artist, 1937-1994)']",100 Robert Quijada / Robert Quijada / Robert Quijada
Michael Garman,,,sculptor,1938,,,,,,,,,sculptor,,,1938-,"Garman, Michael","['Garman, Michael (1938-)']",
Adolf Schlosser,Adolfo Schlosser,,printmaker,1939,1939,,2004,,,m,,Austrian Spanish,printmaker,,,1939-,"Schlosser, Adolf","['Schlosser, Adolf (1939-)']",97 Adolfo Schlosser /  / Adolf Schlosser
Clover Vail,Clover Vail,Clover Vail,American painter,1939,1939,,,,,m,http://vocab.getty.edu/page/ulan/500330786,American (North American),printmaker,,,"American painter, born 1939","Vail, Clover","['Vail, Clover (American painter, born 1939)']",100 Clover Vail / Clover Vail / Clover Vail
Rainer Pfnür,Rainer Pfnür,,German artist,1939,1939,,,,,m,http://vocab.getty.edu/page/ulan/500104132,"German (culture, style, period)",printmaker,,,"German artist, born 1939","Pfnür, Rainer","['Pfnür, Rainer (German artist, born 1939)']",100 Rainer Pfnür /  / Rainer Pfnür
Miquel Vilà,Miquel Vilá,,printmaker,1940,1940,,,Q1492,,m,,Spanish,printmaker,Barcelona, Spain,"1940-, born Barcelona, Spain","Vilà, Miquel","['Vilà, Miquel (1940-, born Barcelona, Spain)']",91 Miquel Vilá /  / Miquel Vilà
Cis Lenerts,,,printmaker,1940,,,,,,,,,printmaker,,,1940,"Lenerts, Cis","['Lenerts, Cis (1940)']",
Manzano Acisclo,,,printmaker,1940,,,,,,,,,printmaker,,,1940-,"Acisclo, Manzano","['Acisclo, Manzano (1940-)']",
Yukio Katsuda,,,printmaker,1941,,,,,,,,,printmaker,,,1941-,"Katsuda, Yukio","['Katsuda, Yukio (1941-)']",
Wattana Wattanapun,Wattana Wattanapun,Watthana Watthanāphan,Thai painter,1941,1941,,,,,m,http://vocab.getty.edu/page/ulan/500122968,Thais,painter,,,"Thai painter, born 1941",Wattana Wattanapun,"['Wattana Wattanapun (Thai painter, born 1941)']",100 Wattana Wattanapun / Watthana Watthanāphan / Wattana Wattanapun
Phillis Ideal,Phillis Ideal,,printmaker,1942,,,,Q33561,,f,,American,printmaker,Roswell, NM,"1942-, born Roswell, NM","Ideal, Phillis","['Ideal, Phillis (1942-, born Roswell, NM)']",100 Phillis Ideal /  / Phillis Ideal / - / 1942-
Manuel Boix Alvarez,Manuel Boix Alvarez,,printmaker,1942,1942,,,,,m,,Spanish,printmaker,,,1942-,"Alvarez, Manuel Boix","['Alvarez, Manuel Boix (1942-)']",100 Manuel Boix Alvarez /  / Manuel Boix Alvarez
Diana R. Hansen,,,printmaker,1942,,,,,,,,,printmaker,,,1942-,"Hansen, Diana R.","['Hansen, Diana R. (1942-)']",
Pere Puiggros,Pere Puiggros,,printmaker,1942,1942,,,,,m,,Spanish,printmaker,,,1942-,"Puiggros, Pere","['Puiggros, Pere (1942-)']",100 Pere Puiggros /  / Pere Puiggros
Joseph A. Pecsenke,Joseph A. Pecsenke,,printmaker,1942,1942,1989,1989,,,m,,Hungarian American,printmaker,,,1942-1989,"Pecsenke, Joseph A.","['Pecsenke, Joseph A. (1942-1989)']",100 Joseph A. Pecsenke /  / Joseph A. Pecsenke
Lenore Vanderkooi,Lenore Vanderkooi,,ceramic artist,1943,1943,,,Q100,,f,,American,ceramic artist,Boston, MA,"1943-, born Boston, MA","Vanderkooi, Lenore","['Vanderkooi, Lenore (1943-, born Boston, MA)']",100 Lenore Vanderkooi /  / Lenore Vanderkooi
James Joseph Juszczk,,,printmaker,1943,,,,Q1297,,,,,printmaker,Chicago, IL,"1943-, born Chicago, IL","Juszczk, James Joseph","['Juszczk, James Joseph (1943-, born Chicago, IL)', 'Juszczyk, James Joseph (American painter, born 1943)']",
Gilbert Herreyns,Gilbert Herreyns,,printmaker,1943,1943,,,Q203312,,m,,Belgian,printmaker,Uccle, Belgium,"1943-, born Uccle, Belgium","Herreyns, Gilbert","['Herreyns, Gilbert (1943-, born Uccle, Belgium)']",100 Gilbert Herreyns /  / Gilbert Herreyns
Chaim Kanner,Chaim Kanner,,photographer,1943,1943,2000,2005,Q33959,,m,,French,photographer,Nice, France,"1943-2000, born Nice, France","Kanner, Chaim","['Kanner, Chaim (1943-2000, born Nice, France)']",100 Chaim Kanner /  / Chaim Kanner
Daniel Gualdoni,Daniel Gualdoni,,printmaker,1943,,,,,,m,,American,printmaker,,,1943-,"Gualdoni, Daniel","['Gualdoni, Daniel (1943-)']",100 Daniel Gualdoni /  / Daniel Gualdoni / - / 1943-
David Shapiro,,,American painter and printmaker,1943,,,,,,,,,drawer,,,"American painter and printmaker, born 1943","Shapiro, David","['Shapiro, David (American painter and printmaker, born 1943)']",
David Smyth,David Smyth,David Smyth,American painter,1943,,,,,,m,http://vocab.getty.edu/page/ulan/500021111,American (North American),printmaker,,,"American painter, born 1943","Smyth, David","['Smyth, David (American painter, born 1943)']",91 David Smith / David Smith / David Smyth / 1906-1965 / 1943-
Faik Husein,Faik Husein,,printmaker,1944,1994,2004,1005,Q38811,Q60,m,,Iraqi American,printmaker,Nasria, Iraq,"1944-2004, born Nasria, Iraq, died New York, NY","Husein, Faik","['Husein, Faik (1944-2004, born Nasria, Iraq, died New York, NY)', 'Husein, Faik']",100 Faik Husein /  / Faik Husein / 1994-1005 / 1944-2004
