name,cs_name,alias,cs_alias,wikidata_description,born,born_jstor,cs_born,died,died_jstor,cs_died,birthplace,deathplace,gender,ulan_url,ulan,cs_nationality,artist_type,birth_city,birth_state,description,last_first,creator_string,qc
Ann Mittelman,Ann Mittelman,,,painter,1898,1898,1898,1996,1996,1972,,,f,,,,painter,,,1898-1996,"Mittelman, Ann","['Mittelman, Ann (1898-1996)']",100 Ann Mittelman /  / Ann Mittelman
Frances Marian Hebert,Frances Marian Hebert,,,American printmaker,1899,1899,1899,1960,1960,1960,,,f,,,American,printmaker,,,"American, 1899-1960","Hebert, Frances Marian","['Hebert, Frances Marian (American, 1899-1960)']",100 Frances Marian Hebert /  / Frances Marian Hebert
Sadie Skoletsky Rosenblum,Sadie Rosenblum,"[""Sadie Rosenblum"",""Sadie Skoletsky""]",Sadie Skoletsky Rosenblum,American painter and sculptor,1899,1899,1899,1982,1982,1982,,,f,http://vocab.getty.edu/page/ulan/500337489,500337489,American (North American),painter,,,"American painter and sculptor, 1899-1982","Rosenblum, Sadie Skoletsky","['Rosenblum, Sadie Skoletsky (American painter and sculptor, 1899-1982)']",100 Sadie Rosenblum / Sadie Skoletsky Rosenblum / Sadie Skoletsky Rosenblum
Dorothy Paris,Dorothy Paris,,,American painter,1899,,1899,1986,,1986,,,f,http://vocab.getty.edu/page/ulan/500487272,500487272,American (North American),painter,,,,"Paris, Dorothy","['Paris, Dorothy']",100 Dorothy Paris /  / Dorothy Paris / 1899-1986 / -
Rolf Key-Oberg,Rolf Key-Oberg,,,American ceramicist,1900,1900,1900,1959,1959,1959,,,m,,,American,artist,,,"American ceramicist, 1900-1959","Key-Oberg, Rolf","['Key-Oberg, Rolf (American ceramicist, 1900-1959)']",100 Rolf Key-Oberg /  / Rolf Key-Oberg
Amos Seweil,Amos Sewell,,,American printmaker,1901,,1901,1983,,1983,Q586762,,m,,,American,printmaker,Westport,CT,,"Seweil, Amos","['Seweil, Amos']",91 Amos Sewell /  / Amos Seweil / 1901-1983 / -
James Kirk Merrick,James Kirk Merrick,,,printmaker,1905,1905,1905,1985,1985,1985,,,m,,,,printmaker,,,1905-1985,"Merrick, James Kirk","['Merrick, James Kirk  (1905-1985)']",100 James Kirk Merrick /  / James Kirk Merrick
W. H. Walker,,,,British watercolorist and illustrator (active 1906 - 1926),1906,1906,,1926,1926,,,,m,http://vocab.getty.edu/page/ulan/500002863,500002863,British (modern),printmaker,,,"British watercolorist and illustrator, 1906-1926","Walker, W. H.","['Walker, W. H. (British watercolorist and illustrator, 1906-1926)']",100 W. H. Walker / W. H. Walker / W. H. Walker / 1876-1976 / 1906-1926
Thomas Puryear Mims,Thomas Puryear Mims,,,American sculptor,1906,1906,1906,1975,1975,1975,,,m,http://vocab.getty.edu/page/ulan/500068379,500068379,American (North American),sculptor,,,"American sculptor, 1906-1975","Mims, Thomas Puryear","['Mims, Thomas Puryear (American sculptor, 1906-1975)']",100 Thomas Puryear Mims /  / Thomas Puryear Mims
La Rue Storm,Larue Storm,,,American painter,1908,1908,1908,2005,,2005,Q8652,,f,,,American,painter,Miami, FL,"1908-, born Miami, FL","Storm, La Rue","['Storm, La Rue (1908-, born Miami, FL)']",87 Larue Storm /  / La Rue Storm
Phillipe Sanh,,,,painter,1908,1908,,,,,Q43467,,,,,,painter,,Indo-China,"1908-, born Indo-China","Sanh, Phillipe","['Sanh, Phillipe (1908-, born Indo-China)', 'Sanh, Phillipe (1908-)']",
Tibbie Levy,Tibbie Levy,,,American painter,1908,1908,1908,,,,,,f,,,American,painter,,,1908-,"Levy, Tibbie","['Levy, Tibbie (1908-)']",100 Tibbie Levy /  / Tibbie Levy
Lei Pei-Zhi,,,,painter,1909,1909,,1985,1985,,,,,,,,painter,,,1909-1985,"Pei-Zhi, Lei","['Pei-Zhi, Lei (1909-1985)']",
Elenor Ulman,Elinor Ulman,,,American painter,1909,,1909,1997,,1997,,,f,,,American,painter,,,,"Ulman, Elenor","['Ulman, Elenor']",92 Elinor Ulman /  / Elenor Ulman / 1909-1997 / -
Georges Sanh,Georges Sanh,,,French painter,1909,1909,1909,,,,Q1858,,m,,,French,painter,Hanoi, Vietnam,"1909-, born Hanoi, Vietnam","Sanh, Georges","['Sanh, Georges (1909-, born Hanoi, Vietnam)']",100 Georges Sanh /  / Georges Sanh
George Stang,Georges Sanh,,,French ceramic artist,1909,,1909,,,,,,m,,,French,ceramic artist,,,,"Stang, George","['Stang, George']",83 Georges Sanh /  / George Stang / 1909- / -
Vincent McPharlin,,,,American painter,1910,1910,,1985,1985,,Q2544149,,m,,,American,painter,Hastings, MI,"1910-1985, born Hastings, MI","McPharlin, Vincent","['McPharlin, Vincent (1910-1985, born Hastings, MI)']",100 Vincent McPharlin /  / Vincent McPharlin / 1935- / 1910-1985
Jeanette Alexander Judson,Jeanette Alexander Judson,,,painter,1912,1912,1912,2002,2002,,,,f,,,,painter,,,1912-2002,"Judson, Jeanette Alexander","['Judson, Jeanette Alexander (1912-2002)']",100 Jeanette Alexander Judson /  / Jeanette Alexander Judson
Avery Handly,Avery Handly,,,American painter,1913,1913,,1958,1958,1958,,,m,,,American,painter,,,1913-1958,"Handly, Avery","['Handly, Avery (1913-1958)']",100 Avery Handly /  / Avery Handly / -1958 / 1913-1958
"Francis Joseph Gyra, Jr.",Francis Joseph Gyra,,,American painter,1914,1914,1914,2007,2007,2007,,,m,,,American,painter,,,1914-2007,"Gyra, Francis Joseph, Jr.","['Gyra, Francis Joseph, Jr. (1914-2007)']","88 Francis Joseph Gyra /  / Francis Joseph Gyra, Jr."
Marcel Floris,,,,French artist and designer,1914,1914,,2007,2007,,,,m,,,,printmaker,,,1914-2007,"Floris, Marcel","['Floris, Marcel (1914-2007)']",
Su-chin Wen Chen,,,,painter,1914,1914,,,,,Q16967,,,,,,painter,Wu-hsing," Chekiang Province, China","1914-, born Wu-hsing, Chekiang Province, China",Su-chin Wen Chen,"['Su-chin Wen Chen (1914-, born Wu-hsing, Chekiang Province, China)']",
Francisco Gutiérrez,,,,printmaker,1915,1915,,1945,1945,,Q34110,,m,,,,printmaker,Oaxaca, Mexico,"1915-1945, born Oaxaca, Mexico","Gutiérrez, Francisco","['Gutiérrez, Francisco (1915-1945, born Oaxaca, Mexico)']",100 Francisco Gutiérrez /  / Francisco Gutiérrez / 1727-1782 / 1915-1945
Beveridge Moore,Beveridge Moore,,,American painter,1915,1915,1915,2004,2004,2004,Q43421,,m,,,American,painter,Richmond, VA,"1915-2004, born Richmond, VA","Moore, Beveridge","['Moore, Beveridge (1915-2004, born Richmond, VA)']",100 Beveridge Moore /  / Beveridge Moore
Gerald Holly,Gerald Holly,,,American photographer,1917,1917,1917,2004,2004,2004,Q2355638,,m,,,American,photographer,Lewisburg, TN,"1917-2004, born Lewisburg, TN","Holly, Gerald","['Holly, Gerald (1917-2004, born Lewisburg, TN)']",100 Gerald Holly /  / Gerald Holly
Toru Mabuchi,,,,Japanese printmaker,1920,1920,,1994,1994,,Q1490,,m,,,,printmaker,Tokyo, Japan,"1920-1994, born Tokyo, Japan","Mabuchi, Toru","['Mabuchi, Toru (1920-1994, born Tokyo, Japan)']",
Nola Zirin,Nola Zirin,,,American printmaker,1920,1920,,,,,Q60,,f,,,American,printmaker,New York, NY,"1920-, born New York, NY","Zirin, Nola","['Zirin, Nola (1920-, born New York, NY)']",100 Nola Zirin /  / Nola Zirin / - / 1920-
Yves Johnston,,,,printmaker,1920,1920,,,,,,,,,,,printmaker,,,1920-,"Johnston, Yves","['Johnston, Yves (1920-)']",
Zdenka Zivkovic,Zdenka Zivkovic,,,painter,1921,1921,1921,2011,2011,2011,Q33946,,f,,,,painter,,Czechoslovakia,born Czechoslovakia,"Zivkovic, Zdenka","['Zivkovic, Zdenka (born Czechoslovakia)', 'Zivkovic, Zdenka (, born Czechoslovakia)']",100 Zdenka Zivkovic /  / Zdenka Zivkovic
Dimitri Perdikitis,Dimitri Perdikitis,,,Greek painter,1922,1922,1922,,,,Q1524,,m,,,Greek,painter,Athens, Greece,"1922-, born Athens, Greece","Perdikitis, Dimitri","['Perdikitis, Dimitri (1922-, born Athens, Greece)']",100 Dimitri Perdikitis /  / Dimitri Perdikitis
De La Rue,,,,painter,1922,1922,,,,,Q90,,,,,,painter,Paris, France,"1922-, born Paris, France","Rue, De La","['Rue, De La (1922-, born Paris, France)']",
George King Stark,George King Stark,,,American sculptor,1923,1923,1923,1992,1992,,Q331380,Q3708437,m,,,American,sculptor,Schenectady, NY,"1923-1992, born Schenectady, NY, died Granby, NY","Stark, George King","['Stark, George King (1923-1992, born Schenectady, NY, died Granby, NY)']",100 George King Stark /  / George King Stark
Ralph H. Scharf,Ralph Hammer Scharf,,,American printmaker,1923,1923,1923,1993,1993,1993,Q1297,,m,,,American,printmaker,Chicago, IL,"1923-1993, born Chicago, IL","Scharf, Ralph H.","['Scharf, Ralph H. (1923-1993, born Chicago, IL)']",82 Ralph Hammer Scharf /  / Ralph H. Scharf
Gray Phillips,Gray Phillips,,,American painter,1923,1923,1923,2005,2005,2005,Q186702,Q1370207,m,,,American,painter,Chattanooga, TN,"1923-2005, born Chattanooga, TN, died Pacific Palisades, CA","Phillips, Gray","['Phillips, Gray (1923-2005, born Chattanooga, TN, died Pacific Palisades, CA)']",100 Gray Phillips /  / Gray Phillips
Ninon Lacey,Ninon Lacey,,,American printmaker,1923,1923,1923,,,,Q759,,f,,,American,printmaker,New Hampshire,,"1923-, born New Hampshire","Lacey, Ninon","['Lacey, Ninon (1923-, born New Hampshire)']",100 Ninon Lacey /  / Ninon Lacey
Louise LeQuire,Louise LeQuire,,,American painter,1924,,1924,2006,,2006,Q23197,,f,,,American,painter,Nashville,TN,,"LeQuire, Louise","['LeQuire, Louise', 'Lequire, Louise']",100 Louise LeQuire /  / Louise LeQuire / 1924-2006 / -
Rudolf Mauke,Rudolf Mauke,,,German artist,1924,1924,1924,,,,,,m,http://vocab.getty.edu/page/ulan/500094814,500094814,"German (culture, style, period)",painter,,,"German artist, born 1924","Mauke, Rudolf","['Mauke, Rudolf (German artist, born 1924)']",100 Rudolf Mauke /  / Rudolf Mauke
Augustin Ubeda,Augustin Ubeda,,Augustin Ubeda,Spanish artist,1925,1925,1925,,,,,,m,http://vocab.getty.edu/page/ulan/500175783,500175783,Spanish (culture or style),painter,,,"Spanish artist, born 1925","Ubeda, Augustin","['Ubeda, Augustin (Spanish artist, born 1925)']",100 Augustin Ubeda / Augustin Ubeda / Augustin Ubeda
Helen Soreff,Helen Soreff,,Helen Soreff,"American painter, 20th century",1926,1926,,1998,1998,,Q60,Q60,f,http://vocab.getty.edu/page/ulan/500093844,500093844,American (North American),printmaker,,,"American painter, 20th century","Soreff, Helen","['Soreff, Helen (American painter, 20th century)']",100 Helen Soreff / Helen Soreff / Helen Soreff / 1871- / 1926-1998
Iwami Reika,,,,printmaker,1927,1927,,1989,1989,,Q1490,,f,,,,printmaker,,,1927-1989,"Reika, Iwami","['Reika, Iwami (1927-1989)']",
Robert W. Loberg,Robert W. Loberg,,,American painter,1927,1927,1927,1999,1999,1999,Q1297,,m,,,American,painter,Chicago, IL,"1927-1999, born Chicago, IL","Loberg, Robert W.","['Loberg, Robert W. (1927-1999, born Chicago, IL)']",100 Robert W. Loberg /  / Robert W. Loberg
Jean Cohen,,,,printmaker,1927,1927,,2013,2013,,Q18419,Q18438,f,,,,printmaker,Brooklyn, NY,"1927-2013, born Brooklyn, NY, died Long Island, NY","Cohen, Jean","['Cohen, Jean (1927-2013, born Brooklyn, NY, died Long Island, NY)', 'Cohen, Jean (1927-2013, born New York, NY, died Long Island, NY)']",
Olen Bryant,Olen Bryant,,,American sculptor,1927,1927,1927,2017,2017,2017,Q2456192,,m,,,American,sculptor,Cookeville, TN,"1927-2017, born Cookeville, TN","Bryant, Olen","['Bryant, Olen (1927-2017, born Cookeville, TN)']",100 Olen Bryant /  / Olen Bryant
Rafael Tur Costa,Rafael Tur Costa,,,Spanish drawer,1927,1927,1927,,,,Q24009589,,m,,,Spanish,drawer,Santa Eulalia," Ibiza, Spain","1927-, born Santa Eulalia, Ibiza, Spain","Tur Costa, Rafael","['Tur Costa, Rafael (1927-, born Santa Eulalia, Ibiza, Spain)']",100 Rafael Tur Costa /  / Rafael Tur Costa
Rolph Blakstad,,,,printmaker,1929,1929,,,,,Q24639,,m,,,,printmaker,Vancouver, Canada,"1929-, born Vancouver, Canada","Blakstad, Rolph","['Blakstad, Rolph (1929-, born Vancouver, Canada)']",
Joseph Schwarz,Joseph Schwarz,,Joseph Schwarz,American painter,1929,1929,1929,,,,,,m,http://vocab.getty.edu/page/ulan/500087117,500087117,American (North American),painter,,,"American painter, born 1929","Schwarz, Joseph","['Schwarz, Joseph (American painter, born 1929)']",100 Joseph Schwarz / Joseph Schwarz / Joseph Schwarz
Heiner Stackelhaus,Heiner Stachelhaus,,,German book artist,1930,,1930,2002,,2002,,,m,,,German,book artist,,,,"Stackelhaus, Heiner","['Stackelhaus, Heiner']",94 Heiner Stachelhaus /  / Heiner Stackelhaus / 1930-2002 / -
William Loy,William Loy,"[""Bill Loy""]",Bill,American printmaker,1930,1930,1937,2008,,2008,,,m,,,American,printmaker,,,1930-,"Loy, William","['Loy, William (1930-)']",100 William Loy / Bill / William Loy / 1937-2008 / 1930-
Matthew Carone,Matthew Carone,,,American painter,1930,1930,1930,,,,Q1408,,m,,,American,painter,New Jersey,,"1930-, born New Jersey","Carone, Matthew","['Carone, Matthew (1930-, born New Jersey)', 'Carone, Matthew']",100 Matthew Carone /  / Matthew Carone
Paul Lancaster,Paul Lancaster,,,American painter,1930,,1930,,,,Q1509,,m,,,American,painter,,TN,,"Lancaster, Paul","['Lancaster, Paul']",100 Paul Lancaster /  / Paul Lancaster / 1930- / -
Robert Hauser,,,,printmaker,1930,1930,,,,,,,m,,,,printmaker,,,1930,"Hauser, Robert","['Hauser, Robert (1930)']",
Thomas Zvi Wilson,Thomas Zvi Wilson,,,American painter,1931,1931,1931,2012,,2012,,,m,,,American,painter,,,1931-,"Wilson, Thomas Zvi","['Wilson, Thomas Zvi (1931-)']",100 Thomas Zvi Wilson /  / Thomas Zvi Wilson
Alfred J. Pounders,Alfred J. Pounders,,,American painter,1931,1931,1931,,,,,,m,,,American,painter,,,1931-,"Pounders, Alfred J.","['Pounders, Alfred J. (1931-)']",100 Alfred J. Pounders /  / Alfred J. Pounders
Alfonso Gomez Bonifacio,Alfonso Gomez Bonifacio,,,Spanish printmaker,1933,1933,,2011,2011,,,,m,,,Spanish,printmaker,,,1933-2011,"Bonifacio, Alfonso Gomez","['Bonifacio, Alfonso Gomez (1933-2011)']",100 Alfonso Gomez Bonifacio /  / Alfonso Gomez Bonifacio / - / 1933-2011
Giorgio Pagliari,,,,printmaker,1933,1933,,2015,2015,,Q220,Q52631,,,,,printmaker,Rome, Italy,"1933-2015, born Rome, Italy, died Ibiza, Spain","Pagliari, Giorgio","['Pagliari, Giorgio (1933-2015, born Rome, Italy, died Ibiza, Spain)', 'Pagliari, Giorgio (1933-, born Rome, Italy)']",
Claire Bush,,,,painter,1933,1933,,,,,Q16898647,,f,,,,painter,Pocono Lake, PA,"1933-, born Pocono Lake, PA","Bush, Claire","['Bush, Claire (1933-, born Pocono Lake, PA)']",
Eric Rutherford,Eric Rutherford,,Eric Rutherford,"British printmaker, active from 1963",1933,,1933,,,,,,m,http://vocab.getty.edu/page/ulan/500003217,500003217,British (modern),printmaker,,,"British artist, active from 1963","Rutherford, Eric","['Rutherford, Eric (British artist, active from 1963)']",100 Eric Rutherford / Eric Rutherford / Eric Rutherford / 1933- / -
Willow Legge,Willow Legge,,,book artist,1934,1934,1934,,,,,,f,,,,book artist,,,1934-,"Legge, Willow","['Legge, Willow (1934-)']",100 Willow Legge /  / Willow Legge
Patricia Jean Burg,Patricia Jean Burg,,,Canadian artist,1934,1934,1934,,,,,,f,http://vocab.getty.edu/page/ulan/500064860,500064860,Canadian,printmaker,,,"Canadian artist, born 1934","Burg, Patricia Jean","['Burg, Patricia Jean (Canadian artist, born 1934)']",100 Patricia Jean Burg /  / Patricia Jean Burg
Lawrence Anthony,,,,sculptor,1934,1934,,,,,,,m,,,,sculptor,,,1934-,"Anthony, Lawrence","['Anthony, Lawrence (1934-)']",
Victor Huggins,Victor Huggins,,,American printmaker,1936,1936,1936,2007,,2007,Q49229,,m,,,American,printmaker,Durham, NC,"1936-, born Durham, NC","Huggins, Victor","['Huggins, Victor (1936-, born Durham, NC)', 'Huggins, Victor  (1936-)', 'Huggins, Victor (1936-)']",100 Victor Huggins /  / Victor Huggins
John Gwinn,John Gwinn,,,American drawer,1936,,1936,,,,Q1400,,m,,,American,drawer,,PA,,"Gwinn, John","['Gwinn, John']",100 John Gwinn /  / John Gwinn / 1936- / -
William H. Boysen,William H. Boysen,"[""Bill Boysen""]",Bill,American artist,1936,,1936,,,,,,m,,,American,artist,,,,"Boysen, William H.","[""Boyse, William H."",""Boysen, William H.""]",100 William H. Boysen / Bill / William H. Boysen / 1936- / -
Henk van Putten,Henk van Putten,,,Dutch sculptor,1936,1936,1936,,,,,,m,http://vocab.getty.edu/page/ulan/500058012,500058012,Dutch (culture or style),printmaker,,,"Dutch sculptor, born 1936","Putten, Henk van","['Putten, Henk van (Dutch sculptor, born 1936)']",100 Henk van Putten /  / Henk van Putten
Don Cameron,,,,printmaker,1936,1936,,,,,,,m,,,,printmaker,,,1936-,"Cameron, Don","['Cameron, Don (1936-)']",
Ferran Teixidor,Fernando Texidor,,,Spanish painter,1936,1936,1936,,,,,,m,,,Spanish,printmaker,,,"Spanish painter, born 1936","Teixidor, Ferran","['Teixidor, Ferran (Spanish painter, born 1936)']",84 Fernando Texidor /  / Ferran Teixidor
Robert Quijada,Robert Quijada,,Robert Quijada,American artist,1937,1937,1937,1994,1994,1994,,,m,http://vocab.getty.edu/page/ulan/500096712,500096712,American (North American),painter,,,"American artist, 1937-1994","Quijada, Robert","['Quijada, Robert (American artist, 1937-1994)']",100 Robert Quijada / Robert Quijada / Robert Quijada
Oscar Magnan,Oscar Magnan,,,Cuban printmaker,1937,1937,1937,,,,Q190005,,m,,,Cuban,printmaker,Cienfuegos, Cuba,"1937-, born Cienfuegos, Cuba","Magnan, Oscar","['Magnan, Oscar (1937-, born Cienfuegos, Cuba)']",100 Oscar Magnan /  / Oscar Magnan
Jean Wall Penland,Jean Penland,,,American painter and etcher,1938,1938,1938,2019,2019,2019,,,f,,,American,painter,,,American painter and etcher,"Penland, Jean Wall","['Penland, Jean Wall (American painter and etcher)']",83 Jean Penland /  / Jean Wall Penland
Michael Garman,,,,sculptor,1938,1938,,,,,,,m,,,,sculptor,,,1938-,"Garman, Michael","['Garman, Michael (1938-)']",
Adolf Schlosser,Adolfo Schlosser,,,Austrian Spanish printmaker,1939,1939,1939,2004,,2004,,,m,,,Austrian Spanish,printmaker,,,1939-,"Schlosser, Adolf","['Schlosser, Adolf (1939-)']",97 Adolfo Schlosser /  / Adolf Schlosser
Clover Vail,Clover Vail,,Clover Vail,American painter,1939,1939,1939,,,,,,m,http://vocab.getty.edu/page/ulan/500330786,500330786,American (North American),printmaker,,,"American painter, born 1939","Vail, Clover","['Vail, Clover (American painter, born 1939)']",100 Clover Vail / Clover Vail / Clover Vail
