qid,label_en,description_en,exhibitions,ssid,reference_url
Q103301136,"Hermitas de Córdoba, from Fotografias de los Anõs 40, Volumen I",photograph by Joaquim Gomis,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26756259,https://library.artstor.org/#/asset/26756259
Q103302302,"La Molina, from Fotografias de los Anõs 40, Volumen I",photograph by Joaquim Gomis,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26756262,https://library.artstor.org/#/asset/26756262
Q105092363,"Window of Kumbhalgrah (Kumbhalgrah, India)",photograph by Caleb Cain Marcus,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26759243,https://library.artstor.org/#/asset/26759243
Q103304660,"Lloret de Mar, from Fotografias de los Anõs 40, Volumen I",photograph by Joaquim Gomis,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26756255,https://library.artstor.org/#/asset/26756255
Q103307858,"San Vicente, from Fotografias de los Anõs 40, Volumen I",photograph by Joaquim Gomis,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26756264,https://library.artstor.org/#/asset/26756264
Q103305443,"Montgat, from Fotografias de los Anõs 40, Volumen I",photograph by Joaquim Gomis,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26756246,https://library.artstor.org/#/asset/26756246
Q103307560,"Rigi Kuhlm, Suiza, from Fotografias de los Anõs 40, Volumen I",photograph by Joaquim Gomis,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26756263,https://library.artstor.org/#/asset/26756263
Q103307853,"San Juan, Ibiza, from Fotografias de los Anõs 40, Volumen I",photograph by Joaquim Gomis,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26756257,https://library.artstor.org/#/asset/26756257
Q104032728,Unidentified Man (Grey Blazer),photograph by Andy Warhol 2008.088,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26759331,https://library.artstor.org/#/asset/26759331
Q104032293,"Sagrada Familia, Gaudí,  from Fotografias de los Anõs 40, Volumen I",photograph by Joaquim Gomis 1989.037n,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26756258,https://library.artstor.org/#/asset/26756258
Q104032292,"Sagrada Familia, Gaudí,  from Fotografias de los Anõs 40, Volumen I",photograph by Joaquim Gomis 1989.037f,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26756250,https://library.artstor.org/#/asset/26756250
Q104032104,Jerry Moss,photograph by Andy Warhol 2008.075,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26759318,https://library.artstor.org/#/asset/26759318
Q103311885,"Vallcarca, from Fotografias de los Anõs 40, Volumen I",photograph by Joaquim Gomis,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26756254,https://library.artstor.org/#/asset/26756254
Q105091581,"A Painting for a King (Humayun's Tomb, India)",photograph by Caleb Cain Marcus,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26759242,https://library.artstor.org/#/asset/26759242
Q105092344,"Waiting to Carry the Dead (The Ganga, India)",photograph by Caleb Cain Marcus,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011. 
""Memento Mori - Looking at Death in Art and Illustration"" March 12 - May 23, 2015",26759241,https://library.artstor.org/#/asset/26759241
Q103309316,"Sunrise, San Remo",painting by Abbott Handerson Thayer,"(Pre-Vanderbilt): Abbott H. Thayer Memorial Exhibition at The Corcoran Gallery of Art, Washington D.C. (May 9 to May 31, 1922)",26559591,https://library.artstor.org/#/asset/26559591
Q103299115,"Death with an Arrow About to Strike the Man Down, Allegory of the Misuse of Worldly Property, after Maarten van Heemskerck",print by Willem van Swanenburg,"1/97-2/97:  Fresh Art: Recent Acquisitions to the Collection (Vanderbilt University); ""The Allegorical Impulse,"" 10/17 - 12/5/02
""Memento Mori - Looking at Death in Art and Illustration"" March 12 - May 23, 2015",26757910,https://library.artstor.org/#/asset/26757910
Q103311813,"Untitled, from: 10 West Coast Artists",print by Peter Voulkos,"10 West Coast Artists (June 9–August 13, 2011)",26758904,https://library.artstor.org/#/asset/26758904
Q102963885,"Couple of Girls, from: 10 West Coast Artists",print by Manuel Neri,"10 West Coast Artists (June 9–August 13, 2011)",26758902,https://library.artstor.org/#/asset/26758902
Q102976437,"Untitled, from: 10 West Coast Artists",print by Roy Dean De Forest,"10 West Coast Artists (June 9–August 13, 2011)",26758898,https://library.artstor.org/#/asset/26758898
Q102976444,"Untitled, from: 10 West Coast Artists",print by Sidney Gordin,"10 West Coast Artists (June 9–August 13, 2011)",26758899,https://library.artstor.org/#/asset/26758899
Q102976419,"Untitled, from: 10 West Coast Artists",print by Keith Boyle,"10 West Coast Artists (June 9–August 13, 2011)",26758895,https://library.artstor.org/#/asset/26758895
Q102976412,"Untitled, from: 10 West Coast Artists",print by Jim Melchert,"10 West Coast Artists (June 9–August 13, 2011)",26758901,https://library.artstor.org/#/asset/26758901
Q102976398,"Untitled, from: 10 West Coast Artists",print by Frank Lobdell,"10 West Coast Artists (June 9–August 13, 2011)",26758900,https://library.artstor.org/#/asset/26758900
Q102976389,"Untitled, from: 10 West Coast Artists",print by Felix Ruvolo,"10 West Coast Artists (June 9–August 13, 2011)",26758903,https://library.artstor.org/#/asset/26758903
Q102976428,"Untitled, from: 10 West Coast Artists",print by Richard Diebenkorn,"10 West Coast Artists (June 9–August 13, 2011)|
Difficult Art and the Liberal Arts Imagination, (September 27 - December 5, 2013)",26758897,https://library.artstor.org/#/asset/26758897
Q102970371,"Return to Go, from: 10 West Coast Artists",print by Bruce Conner,"10 West Coast Artists (June 9–August 13, 2011)|
Mark di Suvero–Affinities, (January 17, 2013–February 28, 2013)",26758896,https://library.artstor.org/#/asset/26758896
Q102974942,The Washing of the Feet or The Annointing of the Feet,print by Sadao Watanabe,"1969 for ""Stencil Prints by Sadao Watanabe""",26758096,https://library.artstor.org/#/asset/26758096
Q105096121,Toy Ox and a Branch of Plum Blossoms,scroll painting by Seizan,"1992-1993 for ""Legacy of Asian Art.""",26756327,https://library.artstor.org/#/asset/26756327
Q106582734,"Menuki (Sword Hilt Ornament) with a Design of a Fisherman in a Boat, Holding a Dip Net",work of art by Artist Unknown,"1992-1993 for ""Legacy of Asian Art.""",26756345,https://library.artstor.org/#/asset/26756345
Q102968680,Momotarō Goes to Devil's Island from the series Yoshitoshi ryakuga (Sketches by Yoshitoshi),print by Tsukioka Yoshitoshi,"1992-1993 for ""Legacy of Asian Art.""; January 12-February 26, 2012 for ""Arts of Japan.""",26756399,https://library.artstor.org/#/asset/26756399
Q105091598,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060e,"1993 for ""Artists' Books.""",26755491,https://library.artstor.org/#/asset/26755491
Q105091597,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060d,"1993 for ""Artists' Books.""",26755490,https://library.artstor.org/#/asset/26755490
Q105091601,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060j,"1993 for ""Artists' Books.""",26755496,https://library.artstor.org/#/asset/26755496
Q105091602,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060k,"1993 for ""Artists' Books.""",26755497,https://library.artstor.org/#/asset/26755497
Q105091603,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060l,"1993 for ""Artists' Books.""",26755498,https://library.artstor.org/#/asset/26755498
Q105091596,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060c,"1993 for ""Artists' Books.""",26755489,https://library.artstor.org/#/asset/26755489
Q105091604,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060m,"1993 for ""Artists' Books.""",26755499,https://library.artstor.org/#/asset/26755499
Q105091605,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060o,"1993 for ""Artists' Books.""",26755501,https://library.artstor.org/#/asset/26755501
Q105091606,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060p,"1993 for ""Artists' Books.""",26755502,https://library.artstor.org/#/asset/26755502
Q105091599,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060f,"1993 for ""Artists' Books.""",26755492,https://library.artstor.org/#/asset/26755492
Q105091600,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060i,"1993 for ""Artists' Books.""",26755495,https://library.artstor.org/#/asset/26755495
Q106577277,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060n,"1993 for ""Artists' Books.""",26755500,https://library.artstor.org/#/asset/26755500
Q106577278,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060q,"1993 for ""Artists' Books.""",26755503,https://library.artstor.org/#/asset/26755503
Q106577276,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060h,"1993 for ""Artists' Books.""",26755494,https://library.artstor.org/#/asset/26755494
Q106577275,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060g,"1993 for ""Artists' Books.""",26755493,https://library.artstor.org/#/asset/26755493
Q106577279,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060r,"1993 for ""Artists' Books.""",26755504,https://library.artstor.org/#/asset/26755504
Q106577273,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060a,"1993 for ""Artists' Books.""",26755487,https://library.artstor.org/#/asset/26755487
Q106577274,An African Folktale: Why the Sun and the Moon Live in the Sky,artist's book by Willow Legge 1980.060b,"1993 for ""Artists' Books.""",26755488,https://library.artstor.org/#/asset/26755488
Q103300784,"Hair, there and every where (portfolio of 10 prints, 10 of 10)",print by Mona Hatoum,"; Fall 2007, for ""More Than One.""",26759127,https://library.artstor.org/#/asset/26759127
Q103300810,"Hair, there and every where (portfolio of 10 prints, 4 of 10)",print by Mona Hatoum,"; Fall 2007, for ""More Than One.""",26759121,https://library.artstor.org/#/asset/26759121
Q103300820,"Hair, there and every where (portfolio of 10 prints, 5 of 10)",print by Mona Hatoum,"; Fall 2007, for ""More Than One.""",26759122,https://library.artstor.org/#/asset/26759122
Q102964125,"Deconstructing Piero (pink, 2 of 2)",print by Michael Craig-Martin,"; Fall 2007, for ""More Than One.""",26759068,https://library.artstor.org/#/asset/26759068
Q103300834,"Hair, there and every where (portfolio of 10 prints, 7 of 10)",print by Mona Hatoum,"; Fall 2007, for ""More Than One.""",26759124,https://library.artstor.org/#/asset/26759124
Q103300841,"Hair, there and every where (portfolio of 10 prints, 8 of 10)",print by Mona Hatoum,"; Fall 2007, for ""More Than One.""",26759125,https://library.artstor.org/#/asset/26759125
Q103300850,"Hair, there and every where (portfolio of 10 prints, 9 of 10)",print by Mona Hatoum,"; Fall 2007, for ""More Than One.""",26759126,https://library.artstor.org/#/asset/26759126
Q103300828,"Hair, there and every where (portfolio of 10 prints, 6 of 10)",print by Mona Hatoum,"; Fall 2007, for ""More Than One.""",26759123,https://library.artstor.org/#/asset/26759123
Q103300805,"Hair, there and every where (portfolio of 10 prints, 3 of 10)",print by Mona Hatoum,"; Fall 2007, for ""More Than One.""; ""Four Hundred Year of British Art,"" 3/14/13 - 6/15/13",26759120,https://library.artstor.org/#/asset/26759120
Q103300779,"Hair, there and every where (portfolio of 10 prints, 1 of 10)",print by Mona Hatoum,"; Fall 2007, for ""More Than One.""; ""Four Hundred Year of British Art,"" 3/14/13 - 6/15/13",26759118,https://library.artstor.org/#/asset/26759118
Q103300796,"Hair, there and every where (portfolio of 10 prints, 2 of 10)",print by Mona Hatoum,"; Fall 2007, for ""More Than One.""; ""Four Hundred Year of British Art,"" 3/14/13 - 6/15/13",26759119,https://library.artstor.org/#/asset/26759119
Q102970670,Sac (Sack),print by Antoni Tàpies,"A Catalan Perspective: Work by Joan Miró, Antoni Tàpies, and Joaquim Gomis (1995)",26757615,https://library.artstor.org/#/asset/26757615
Q102968218,Lletra O (Letter O),print by Antoni Tàpies,"A Catalan Perspective: Work by Joan Miró, Antoni Tàpies, and Joaquim Gomis (1995)|
Reading Pictures: Text and Image in Contemporary Art (8/25-9/30/11)",26757614,https://library.artstor.org/#/asset/26757614
Q105091712,"Consumed, from The Marriage of Venus and Mars",sculpture by Judith Page,"A Disarming Beauty: The Venus de Milo in 20th Century Art, (Salvador Dali Museum, St. Petersburg, FL, April 28 - September 9, 2001)",26760071,https://library.artstor.org/#/asset/26760071
Q105091645,"Beast, from The Marriage of Venus and Mars",sculpture by Judith Page,"A Disarming Beauty: The Venus de Milo in 20th Century Art, Salvador Dali Museum, St. Petersburg, FL (April 28 - September 9, 2001)",26760186,https://library.artstor.org/#/asset/26760186
Q103300003,Fishbird-Birdfish,drawing by Eugene Biel-Bienne,"A Retrospective of Paintings and Drawings by Biel Tennessee Fine Arts Center (now Cheekwood Botanical Garden and Museum of Art), (1960) ",26760296,https://library.artstor.org/#/asset/26760296
Q104033073,"Untitled from ""Danse Macabre""",drawing by Eugene Biel-Bienne 2016.012.48,"A Retrospective of Paintings and Drawings by Biel Tennessee Fine Arts Center, 1960 (today, Cheekwood Botanical Garden and Museum of Art)",26760293,https://library.artstor.org/#/asset/26760293
Q102966135,"Homage to N.S. ""Your thoughts don't have words-/ Like signal esoteric sips-""",photograph by Lesley Dill,"A Word Made Flesh: Works by Lesley Dill, (3/29/03-6/5/03)|
Reading Pictures: Text and Image in Contemporary Art (8/25-9/30/11)",26758470,https://library.artstor.org/#/asset/26758470
Q105091905,LAUD 94 ADGFAD,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758134,https://library.artstor.org/#/asset/26758134
Q105095947,LAUS 77,print by Joaquim Nolla and Josep M. Mir,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758116,https://library.artstor.org/#/asset/26758116
Q103304458,LAUS 80 (Japanese characters for 80),print by America Sanchez and Antoni Sellés,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758141,https://library.artstor.org/#/asset/26758141
Q105091632,BARCELONA 92:  Games of the XXV Olympiad Barcelona 1992,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758143,https://library.artstor.org/#/asset/26758143
Q105091631,BARCELONA '92:  Games of the XXV Olympiad Barcelona 1992,print by ADGFAD 1998.045,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758145,https://library.artstor.org/#/asset/26758145
Q105091630,BARCELONA '92:  Games of the XXV Olympiad Barcelona 1992,print by ADGFAD 1998.044,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758144,https://library.artstor.org/#/asset/26758144
Q105091906,LAUS 74,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758115,https://library.artstor.org/#/asset/26758115
Q105091577,A La Habana me Voy  ADGFAD,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758139,https://library.artstor.org/#/asset/26758139
Q105091676,BRASIL 1982 ADGFAD,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758138,https://library.artstor.org/#/asset/26758138
Q105091569,89 INDIA ADGFAD,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758142,https://library.artstor.org/#/asset/26758142
Q105091909,LAUS 80,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758119,https://library.artstor.org/#/asset/26758119
Q105091922,LAUS 91,print by ADGFAD 1998.032,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758132,https://library.artstor.org/#/asset/26758132
Q105091976,Mostra Biennal ADGFAD,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758140,https://library.artstor.org/#/asset/26758140
Q105095954,LAUS 95,print by Barcelona Treballs Gràfics,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758135,https://library.artstor.org/#/asset/26758135
Q105091972,Mirar el Diseño ADGFAD,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758137,https://library.artstor.org/#/asset/26758137
Q105091923,LAUS 91,print by ADGFAD 1998.033,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758133,https://library.artstor.org/#/asset/26758133
Q105091921,LAUS 90 ADGFAD,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758131,https://library.artstor.org/#/asset/26758131
Q105091920,LAUS 89 ADGFAD,print by ADGFAD 1998.030,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758130,https://library.artstor.org/#/asset/26758130
Q105091919,LAUS 89 ADGFAD,print by ADGFAD 1998.029,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758129,https://library.artstor.org/#/asset/26758129
Q105091918,LAUS 88 ADGFAD,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758128,https://library.artstor.org/#/asset/26758128
Q105091917,LAUS 87 ADGFAD,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758127,https://library.artstor.org/#/asset/26758127
Q105091908,LAUS 78,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758117,https://library.artstor.org/#/asset/26758117
Q105095951,LAUS 79,print by Alfred Barrós,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758118,https://library.artstor.org/#/asset/26758118
Q105091915,LAUS 85 ADGFAD,print by ADGFAD 1998.025,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758125,https://library.artstor.org/#/asset/26758125
Q105091914,LAUS 84 ADGFAD,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758124,https://library.artstor.org/#/asset/26758124
Q105091913,LAUS 83 ADGFAD,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758123,https://library.artstor.org/#/asset/26758123
Q105092368,XVIII Trofeo de Esquí Nescafé,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758136,https://library.artstor.org/#/asset/26758136
Q105091912,LAUS 82 ADGFAD,print by ADGFAD 1998.022,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758122,https://library.artstor.org/#/asset/26758122
Q105091911,LAUS 82 ADGFAD,print by ADGFAD 1998.021,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758121,https://library.artstor.org/#/asset/26758121
Q105091910,LAUS 81,print by ADGFAD,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758120,https://library.artstor.org/#/asset/26758120
Q105091916,LAUS 85 ADGFAD,print by ADGFAD 1998.026,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)",26758126,https://library.artstor.org/#/asset/26758126
