qid,label_en,author_uuid,author,author_stated_as,author_series_ordinal,author_ref1_hash,author_ref1_referenceUrl,author_ref1_stated_in,author_ref1_retrieved_nodeId,author_ref1_retrieved_val,author_ref1_retrieved_prec
Q115649452,Preserving the Blessing of God's Powerful Presence,69763E4B-24D9-4DAE-908F-4172777FE26D,Q82775133,Victor Anderson,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,b49eabe7-bd2f-4f6c-a216-2e4bf39e1525,2022-12-09T00:00:00Z,11
Q115649453,Flesh-Stuff: The Matter of the Reality of God(s),DC2B5318-9E01-4A7A-9D9E-FF2F245D2B96,Q82775133,Victor Anderson,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,c0c2c709-29f8-43a9-8d68-663e00b2c1d0,2022-12-09T00:00:00Z,11
Q115649456,"New Proclamation: Advent through Holy Week, Year A 2004-2005",3F02B42B-BC49-4855-9427-D2A67C8DB499,Q92216692,Dale P Andrews,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,f64b394c-cae2-46e6-be9f-62c266ab0b46,2022-12-09T00:00:00Z,11
Q115649456,"New Proclamation: Advent through Holy Week, Year A 2004-2005",C5131D6C-EA11-4707-8E15-30574515E643,Q113758848,Herman C Waetjen,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,29bf9ea0-0cb4-4d29-b346-cd53616831ee,2022-12-09T00:00:00Z,11
Q115649456,"New Proclamation: Advent through Holy Week, Year A 2004-2005",B3760C58-3DB4-4E2E-83BE-218823E21612,Q6112059,Jack Dean Kingsbury,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,fb16feb4-eec9-4ad9-978e-711a7a9d73a7,2022-12-09T00:00:00Z,11
Q115649456,"New Proclamation: Advent through Holy Week, Year A 2004-2005",3548B5B9-8804-4C21-813B-6C6C58F3DF1A,Q112369242,Alice L Laffey,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,d0b4cb55-242b-4bfa-918c-c5437f5bdcbd,2022-12-09T00:00:00Z,11
Q115649457,Practical theology for Black churches: bridging Black theology and African American folk religion,6359430D-0273-4F14-BFCB-F51460D76910,Q92216692,Dale P Andrews,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,b242a8d5-d8ed-4195-9862-3b4e3866e245,2022-12-09T00:00:00Z,11
Q115649461,Teaching Black Preaching: Encounter and Re-encounter,360A50E2-2F89-42C1-BB73-243FEC092D86,Q92216692,Dale P Andrews,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,064feb98-0514-48b4-be51-785428616a92,2022-12-09T00:00:00Z,11
Q115649463,Teaching Black Preaching: Homiletic Instruction as Pre-Encounter,B9F4CCC6-8438-48F6-AF65-45A8C00269DD,Q92216692,Dale P Andrews,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,bcd23cb5-4f77-4b5d-8991-05facfe7e479,2022-12-09T00:00:00Z,11
Q115649464,Hope in pastoral care and counseling,80E3ABB1-382E-46FA-85C5-E3803F67838D,Q92216692,Dale P Andrews,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,cf37e892-b725-4925-9300-a8741f7a39b5,2022-12-09T00:00:00Z,11
Q115649465,Faithful change: the personal and public challenges of postmodern life,82E735C9-3643-4BDB-83FC-BCABF9AA5ADE,Q92216692,Dale P Andrews,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,e75326b1-b28d-4b7c-8659-6c0259ad5c89,2022-12-09T00:00:00Z,11
Q115649467,Another day's journey: Black churches confronting the American crisis,86DA2C74-9EF6-442F-A9D1-EAF94AEA21F7,Q92216692,Dale P Andrews,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,77e56981-bc51-46d6-bad8-8be6e26a67b5,2022-12-09T00:00:00Z,11
Q115649468,The heart of Black preaching,F03D614E-FC70-437E-986F-7475D791DB84,Q92216692,Dale P Andrews,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,47e55078-459d-41ac-8381-2361c327b284,2022-12-09T00:00:00Z,11
Q115649470,Matthew,366E2BFA-5065-45AD-85BB-490739D3D0BD,Q82775133,Victor Anderson,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,fac5286a-7433-411f-a522-384e00a50e27,2022-12-09T00:00:00Z,11
Q115649892,Spirit speech: lament and celebration in preaching,09F85440-3792-4971-B985-3D527205D35F,Q92216692,Dale P Andrews,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,c7f45c95-f6ba-4a29-945f-677065d61cb9,2022-12-09T00:00:00Z,11
Q115649893,Teaching preaching as a Christian practice: a new approach to homiletical pedagogy,2443B3D3-1ECE-4ED2-A439-F2F465D7A9DA,Q92216692,Dale P Andrews,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,c8811133-a571-48db-8136-d7d6f8967345,2022-12-09T00:00:00Z,11
Q115649895,"Introduction: Afrofuturism in Black Theology – Race, Gender, Sexuality, and the State of Black Religion in the Black Metropolis",4FC00E99-8D5B-410F-AFF3-FD36D7188BCF,Q92216692,Dale P Andrews,1,0b4a8b3df9dc3487209c63822542b3280b0d2f64,http://dx.doi.org/10.1080/14769948.2015.1131499,,107a6d05-4ff7-402d-aa44-a460b761e78f,2022-12-09T00:00:00Z,11
Q115649896,More power in the pulpit: how America's most effective black preachers prepare their sermons,EB49AC07-AFCD-4990-9589-2A2DF18A4CD2,Q92216692,Dale P Andrews,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,40143718-a9f5-49ad-a59a-c030e2945394,2022-12-09T00:00:00Z,11
Q115649897,A covenant model of ecclesiology for black practical theology: spanning the chasm between black theology and African American folk religion,7BDD53C1-3893-4DDF-B6DB-378DAF7AB1CF,Q92216692,Dale P Andrews,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,38a10faa-132f-4201-b98f-ee4bfd5b3df2,2022-12-09T00:00:00Z,11
Q115649899,"Easter/Resurrection of the Lord: March 27, 2005",ADE43882-AA2A-4EAC-AEE7-C2E473A1C9CB,Q113801010,Holly E Hearon,1,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,c087eede-b110-4d73-a6d0-0d078c4887ae,2022-12-09T00:00:00Z,11
Q115649899,"Easter/Resurrection of the Lord: March 27, 2005",12BECFD5-1C7C-429C-848A-AEBACAED9420,Q113731488,Dennis E Tamburello,2,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,c55ecde3-621e-4d9a-a41c-718d0e8ca942,2022-12-09T00:00:00Z,11
Q115649899,"Easter/Resurrection of the Lord: March 27, 2005",66F82D60-F822-4C5E-AC72-62AA00DE4563,Q16499815,Pamela Cooper-White,3,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,d9d363d3-abf8-467a-93fd-b08344bda474,2022-12-09T00:00:00Z,11
Q115649899,"Easter/Resurrection of the Lord: March 27, 2005",2421EF28-8FFD-4685-9CC6-E7B6440193C6,Q92216692,Dale P Andrews,6,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,bc6c9bd4-839c-4598-a86d-2d4f41c90c32,2022-12-09T00:00:00Z,11
Q115649900,"Passion/Palm Sunday: March 20, 2005",FE0943B6-B294-4BE6-AD6E-9E14044E36F9,Q113801010,Holly E Hearon,1,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,4c94e898-1c83-49e9-aa75-46a9c60d8a01,2022-12-09T00:00:00Z,11
Q115649900,"Passion/Palm Sunday: March 20, 2005",C0CA7B9C-3D22-4892-BBD8-F48297EC2E85,Q113731488,Dennis E Tamburello,2,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,1ed775c0-acc0-4c74-abb5-5375e3f3bc68,2022-12-09T00:00:00Z,11
Q115649900,"Passion/Palm Sunday: March 20, 2005",CE2ABB36-A4AB-456D-9312-D1CA51322515,Q16499815,Pamela Cooper-White,3,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,6214a17c-68b1-4346-a6e6-87d799284dd1,2022-12-09T00:00:00Z,11
Q115649900,"Passion/Palm Sunday: March 20, 2005",F280BE47-6DB4-47E9-8E46-3AF8CEA5C5E6,Q92216692,Dale P Andrews,6,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,f637a408-ca29-4ec5-a576-794b7fa1e202,2022-12-09T00:00:00Z,11
Q115649902,"Fifth Sunday in Lent: March 13, 2005",92F4E3FA-9008-402D-AA9D-62BC1348AEAE,Q113801010,Holly E Hearon,1,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,70cc10a1-4b4f-4863-a54e-cade4ea69677,2022-12-09T00:00:00Z,11
Q115649902,"Fifth Sunday in Lent: March 13, 2005",0A601E5B-AEC2-48BD-BA67-CF7838D7D875,Q113731488,Dennis E Tamburello,2,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,629ddc77-7e7c-40e4-b6fb-c018834c717f,2022-12-09T00:00:00Z,11
Q115649902,"Fifth Sunday in Lent: March 13, 2005",39249581-8C93-4106-83B1-A1CFA463D2B6,Q16499815,Pamela Cooper-White,3,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,a80ed5a0-cfb5-453d-8615-66428671a360,2022-12-09T00:00:00Z,11
Q115649902,"Fifth Sunday in Lent: March 13, 2005",A3BB7703-DCA6-4FC4-B521-012BBB96B951,Q92216692,Dale P Andrews,6,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,78676205-da7f-4f56-9cfc-82de9a1aa1c9,2022-12-09T00:00:00Z,11
Q115649904,"Fourth Sunday in Lent: March 6, 2005",C8A29719-AACD-4B9E-B1E2-1ADA0790DEEA,Q113801010,Holly E Hearon,1,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,04cee4f1-0d76-42a8-b724-27c36adc043f,2022-12-09T00:00:00Z,11
Q115649904,"Fourth Sunday in Lent: March 6, 2005",AEF24DB8-4D91-4ED0-9A1D-D7F2C4A92C39,Q113731488,Dennis E Tamburello,2,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,6b56269a-12dc-4b00-b63c-7049617a62f2,2022-12-09T00:00:00Z,11
Q115649904,"Fourth Sunday in Lent: March 6, 2005",F6629E03-6F9E-4CD9-B6A1-B80C43F270C6,Q16499815,Pamela Cooper-White,3,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,9e82674c-0da7-4220-906e-28074658282c,2022-12-09T00:00:00Z,11
Q115649904,"Fourth Sunday in Lent: March 6, 2005",1105116D-9F4D-4C6C-AB94-8877C3122771,Q92216692,Dale P Andrews,6,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,0c4f604d-3985-485c-ac43-a3f6646e4e29,2022-12-09T00:00:00Z,11
Q115649905,The Legacy of Martin Luther King Jr.'s Proclamation Ministry,024130BD-FF4F-4E3A-98DC-9B160733E4CB,Q92216692,Dale P Andrews,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,a6e06b8c-5a23-4f9b-af42-2e48aa9c66a9,2022-12-09T00:00:00Z,11
Q115649906,Queering the Subject,A7F88BD4-8FAC-4074-8766-04126801ABFB,Q83432379,Ellen T Armour,,71b037b30e118cd6fd08192bddc0af735b999eda,https://journal.equinoxpub.com/bsor/article/view/15042,,5b8278fb-7d5b-4d86-b0d7-f231b2061bed,2022-12-09T00:00:00Z,11
Q115649907,Recent French feminist works,C16D9E49-3759-443A-A5A1-5E794D068AF0,Q83432379,Ellen T Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,7d81077e-235f-4393-9807-01d91ded9abb,2022-12-09T00:00:00Z,11
Q115649925,“Man” and his “Others”,5F787B1C-A1BE-444C-A261-F32C69AF558B,Q83432379,Ellen T Armour,,18b4ed8db52c6d974c6cefa1abfef6b7e3128947,http://jffp.pitt.edu/ojs/index.php/jffp/article/view/248,,761b73c8-9795-48da-9935-a9c0b0608e24,2022-12-09T00:00:00Z,11
Q115649926,Border Crossing,E296C821-7522-46E8-8A7A-3143C208814E,Q83432379,Ellen T Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,38dd992b-51ff-4fb4-884e-0c5c55a3292d,2022-12-09T00:00:00Z,11
Q115649929,"Deconstruction, feminist theology, and the problem of difference : subverting the race/gender divide",8BB34F0C-EA44-4C52-9F09-AD726E1DF29A,Q83432379,Ellen T Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,9b3a6c0d-5f73-4c11-8fa0-8482ddedef5e,2022-12-09T00:00:00Z,11
Q115649932,Deconstruction and feminist theology : toward forging an alliance with Derrida and Irigaray,724A6282-0AFD-4BBD-BFD1-0949EDAAE9C1,Q83432379,Ellen T Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,5ba6029d-e481-46f1-8dc0-cdea0ae1fe13,2022-12-09T00:00:00Z,11
Q115650141,"Writing/reading Selves, Writing/reading Race",A78F288A-E29D-4EDB-88C3-F71AD0470242,Q83432379,Ellen T Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,ae8d26e9-be9b-491e-9e9c-e60dde6bae89,2022-12-09T00:00:00Z,11
Q115650143,"Blinding me with (queer) science: religion, sexuality, and (post?) modernity",8C9E2DA4-9193-4BE4-90BB-F0049A69B039,Q83432379,Ellen T Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,b07e0021-47f6-4fbc-a31a-0ce73508c60f,2022-12-09T00:00:00Z,11
Q115650144,"Review of Powers and Submissions: Spirituality, Philosophy, and Gender",EFFD76B3-573F-4494-ACFA-D333CBF66A11,Q83432379,Ellen T Armour,,192f35b2250c971496f571dec84cc39b483af3fc,http://www.jstor.org/stable/4139891,,3359887a-0a9d-4215-8f85-7ba8b8a92fc3,2022-12-09T00:00:00Z,11
Q115650145,Feminist Theology in Retrospect and in Anticipation,2EA8AFDA-6D29-4273-AEF3-CC9B529D191F,Q83432379,Ellen T Armour,,932a7a74025b452650f5b45f0bd73acf4f406c62,http://www.journals.uchicago.edu/doi/full/10.1086/683834,,f5c190f5-2990-43f1-b028-1f32bfd6e5fe,2022-12-09T00:00:00Z,11
Q115650146,Review of Transcending Boundaries: Multi-Disciplinary Approaches to the Study of Gender,E5C4131B-62A7-48A1-82FC-B1867ADFD766,Q83432379,Ellen Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,7d73fac9-bdab-4c91-aa54-191d67217ab7,2022-12-09T00:00:00Z,11
Q115650147,Review of Knowing Other-wise,55BC3A3B-C8B8-4B5B-802E-C38A770C4C66,Q83432379,Ellen Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,f2f0ff94-eff1-4e5d-9e8c-7572571f0897,2022-12-09T00:00:00Z,11
Q115650148,Review of Feminist Interpretations of Søren Kierkegaard,CAABD457-B51E-4C5C-BD16-F3C7ED96028E,Q83432379,Ellen Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,85aa377e-897f-4477-aa1b-fd3840e6e1b9,2022-12-09T00:00:00Z,11
Q115650149,"Review of Feminism, Sexuality and the Return of Religion",2BD85BC8-D392-4F3F-9D4D-FDF2C01FB1D2,Q83432379,Ellen T Armour,,928a89f57bfb6ffe0f07bac6db049bf0ca86449c,http://ndpr.nd.edu/news/36868-feminism-sexuality-and-the-return-of-religion/,,05c6b6af-dca6-419d-b21c-6941f527d186,2022-12-09T00:00:00Z,11
Q115650151,Questions of Proximity: “Woman's Place” in Derrick and Irigaray,7B7A1AF0-DC4C-4ACB-90E1-0D30C73557EA,Q83432379,Ellen T Armour,,a0e15b986e756dbb050c9b3f8d58f09c38948300,http://onlinelibrary.wiley.com/doi/10.1111/j.1527-2001.1997.tb00171.x/abstract,,f5092005-ce37-4900-9e40-fba9051f5de3,2022-12-09T00:00:00Z,11
Q115650152,Poetics of the Flesh,63DA6369-E214-4B10-B3EE-7B8F6D117140,Q83432379,Ellen T Armour,,2e6264133ee449f0418d37c07dd5b9acc4415269,http://www.webofscience.com/api/gateway?gwversion=2&srcauth=dynamicdoiarticle&srcapp=wos&keyaid=10.1080%2f00497878.2017.1264232&destapp=doi&srcappsid=usw2ec0e44gl6jpubwqsnk8kvuxyg&srcjtitle=womens+studies-an+interdisciplinary+journal&destdoiregistrantname=informa+uk+%28taylor+%26+francis%29,,11fa5000-a108-4401-aa28-104ccaa3e07f,2022-12-09T00:00:00Z,11
Q115650153,Response to Griffiths,FC749F2F-1B8C-496C-9A0E-47F2A5EE73BD,Q83432379,E T Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,a034e6bc-fab6-4bcf-b22c-3ece55209895,2022-12-09T00:00:00Z,11
Q115650154,Theology in modernity's wake,D86B4E09-FD76-4DAF-98C2-D0B9BC766E6C,Q83432379,E T Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,a38b0f9a-1dc6-432d-9884-c7a91a50ed16,2022-12-09T00:00:00Z,11
Q115650155,Reply to Ochs,797328AC-B4AB-4350-95D2-0951A76BD115,Q83432379,E T Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,787ccca4-0027-459f-a2e6-ee92a445d863,2022-12-09T00:00:00Z,11
Q115650156,"Queer bibles, queer scriptures? An introductory response",44C39A43-FDBA-40C9-9DB5-AFD6BF1434F0,Q83432379,E T Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,aa9e1433-5c98-4858-aa86-009ec0ff0606,2022-12-09T00:00:00Z,11
Q115650157,"Justice for Alan Kurdi? Philosophy, photography, and the (cosmo)politics of life and death",62665BC6-BFFF-4606-8BD1-71D14818A7BA,Q83432379,E T Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,f8ab1223-47c7-4266-b2a2-c26897f3ff01,2022-12-09T00:00:00Z,11
Q115650158,"Powers and submissions: spirituality, philosophy and gender",B3EFED5B-49E9-45A1-B430-15080A4365EA,Q83432379,Ellen T Armour,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,04b509d9-60b8-45ea-9fd8-7b2b5f711b96,2022-12-09T00:00:00Z,11
Q115650159,An Achaemenid Loanword in the Legal Code of Hermopolis: 3bykrm,066911AA-9E63-4870-99DD-B0C268703715,Q83500312,Annalisa Azzoni,1,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,4015a6c9-c03a-4c83-80bc-b7851615f520,2022-12-09T00:00:00Z,11
Q115650159,An Achaemenid Loanword in the Legal Code of Hermopolis: 3bykrm,2A0EE3C1-74B8-4FC2-933F-36E86A3C395B,Q53939645,Sandra Luisa Lippert,2,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,c3dc83c9-c8bc-4960-bb4f-f04e7de7ce84,2022-12-09T00:00:00Z,11
Q115650160,Women and Property in Persian Egypt and Mesopotamia,020A21C0-AAE9-4F4C-B29E-E5F8AF61ABF4,Q83500312,Annalisa Azzoni,,b9cde73aaa1ea9338765b79ed01b7ef23dbacf8f,https://archive.chs.harvard.edu/chs/article/display/1304,,faa1cc1b-09ad-41b8-857f-d2577ba4a15c,2022-12-09T00:00:00Z,11
Q115650161,Un giuramento ebraico ad Elefantina d’Egitto,EDBCC459-2921-4F0F-B8C9-3CE65A17731C,Q83500312,Annalisa Azzoni,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,6461cbdd-1fe5-4938-a39a-2f6fb505b500,2022-12-09T00:00:00Z,11
Q115650162,"Review of Filologia storica della Bibbia ebraica. Vol. 1, Da Origene al Medioevo; Filologia storica della Bibbia ebraica. Vol. 2, Dall'età moderna ai nostri giorni",E0DE5420-E86C-44D2-8DF2-84792CC70373,Q83500312,Annalisa Azzoni,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,165b8e82-6187-4050-bed7-5fc39c7210c6,2022-12-09T00:00:00Z,11
Q115650746,From Mari to Jerusalem and back: Assyriological and Biblical studies in honor of Jack Murad Sasson,795D59CE-94AA-4FE7-AD4D-08FD75BC5D54,Q83500312,Annalisa Azzoni,1,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,9c8e3881-2af1-4fcf-af39-1a82cd7ab4c5,2022-12-09T00:00:00Z,11
Q115650746,From Mari to Jerusalem and back: Assyriological and Biblical studies in honor of Jack Murad Sasson,84514FFF-C304-4D3C-B4E0-27B19A4A95BB,Q113760258,Alexandra Kleinerman,2,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,d9966d07-91ca-4bb8-aa52-fec0e3c0280d,2022-12-09T00:00:00Z,11
Q115650746,From Mari to Jerusalem and back: Assyriological and Biblical studies in honor of Jack Murad Sasson,D3425F35-5C17-4936-B597-909F548B36EB,Q87480821,Douglas A Knight,3,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,ac6dd6e3-66d7-4aca-8ed1-c4b351ba9b1c,2022-12-09T00:00:00Z,11
Q115650746,From Mari to Jerusalem and back: Assyriological and Biblical studies in honor of Jack Murad Sasson,EA2DA668-2675-4953-A10B-9F3447EE97B4,Q6113796,Jack M Sasson,5,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,b8a4a6df-470a-4802-90db-29ed76af0cfd,2022-12-09T00:00:00Z,11
Q115650666,Filologia storica della Bibbia ebraica Vol. 1 and 2 Da Origene al Medioevo,1339F692-E3E2-42D1-9D99-0B6880895788,Q83500312,Annalisa Azzoni,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,29259d88-7f49-4bae-b026-de482b6310e5,2022-12-09T00:00:00Z,11
Q115650668,"Private Regard, Identity Protection and Perceived Racism among African American Males",2B1795A6-4798-4453-A4D8-6FBE9A91B04B,Q67554073,Sandra L Barnes,1,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,3e349af2-7de0-404c-a0ea-8385b3266dd9,2022-12-09T00:00:00Z,11
Q115650671,"Toward a History of Slavery in Small Places: Agrarian Diversity, Demographic Expansion, and Economic Stability in Fajardo, Puerto Rico, 1812-1838",636D3BD1-D530-406F-92C3-9E5A65111251,Q67554073,Sandra L Barnes,1,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,a35e57b2-c351-45f8-bed9-be7d88dd1f62,2022-12-09T00:00:00Z,11
Q115650676,"The cost of being poor: a comparative study of life in poor urban neighborhoods in Gary, Indiana",A83AF582-1E76-4CF5-9D4E-F830DA7A6C62,Q67554073,Sandra L Barnes,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,2aab5208-b95e-465b-a38f-e64b0b663703,2022-12-09T00:00:00Z,11
Q115650677,Live long and prosper: how Black megachurches address HIV/AIDS and poverty in the age of prosperity theology,B554F6D7-059F-4CCA-A218-F067F87E3ABC,Q67554073,Sandra L Barnes,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,ce03aab5-a5eb-4373-9964-7616152937ad,2022-12-09T00:00:00Z,11
Q115650678,Subverting the power of prejudice: resources for individual and social change,DA70AEB5-F66C-4FDE-BFDB-EF9E7B4FD1C4,Q67554073,Sandra L Barnes,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,852cf69f-1d90-4e51-b204-0412331bbd0f,2022-12-09T00:00:00Z,11
