Key,Divinity Faculty,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
2SN73SZT,"Segovia, Fernando F.",bookSection,2018,"Segovia, Fernando F",Jesus as Victim of State Terror: A Critical Reflection Twenty Years Later,"Crucifixion, State Terror, and Sexual Abuse: Text and Context",978-0-429-28975-0,,,https://ourarchive.otago.ac.nz/handle/10523/8558,"A key principle in the work of Latin American liberation theologians has been a willingness to take their Latin American social context seriously as an aid for understanding biblical texts. This paper is intended to illustrate the value of this principle by focussing on some disturbing points in the gospel accounts of crucifixion in the light of recent accounts of torture and terror in Latin America. It argues that documentation of torture and abuse in Latin American military regimes can illuminate neglected aspects of Jesus’ passion presented in the gospels. Most importantly this involves recognition that crucifixion was a form of torture that served a wider purpose than execution and was used to demonstrate the state’s power and terrorise those who might oppose it. Within this framework, one issue in the horror of Jesus torture and crucifixion which has been completely neglected in Christian tradition—the degree of sexual abuse that it involved—can be addressed honestly and openly. My central contention is that crucifixion in the ancient world carried a strongly sexual element and should be understood as a form of sexual abuse. The gospels indicate that Jesus was subjected to a high degree of sexual humiliation and was possibly a victim of sexual assault. The final part of this paper suggests the constructive purposes that the acknowledgement of this sexual abuse might serve.",2018,8/25/21 19:43,8/25/21 19:45,8/25/21 19:43,,,,,,,"Crucifixion, State Terror, and Sexual Abuse",,,,,"Centre for Theology and Public Issues, University of Otago",,en,http://creativecommons.org/licenses/by-nc-nd/4.0/,,,,ourarchive.otago.ac.nz,,Accepted: 2018-11-08T19:41:43Z,,"C:\Users\xus12\Zotero\storage\DEU449E9\Tombs - 2018 - Crucifixion, State Terror, and Sexual Abuse Text .pdf; C:\Users\xus12\Zotero\storage\3LSRUH76\8558.html",,,,,,,,,"Tombs, David John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9P4CK4VM,"Levine, Amy-Jill",bookSection,2015,"Levine, Amy-Jill",Redrawing the Boundaries: A New Look at ‘Diaspora as Metaphor: Bodies and Boundaries in the Book of Tobit,A Feminist Companion to Tobit and Judith,978-0-567-65602-5,,,http://www.bloomsbury.com/us/a-feminist-companion-to-tobit-and-judith-9780567656025/,"A Feminist Companion to Tobit and Judith extends the work of the hugely influential and respected Feminist Companion series, which continues to set the standard for feminist approaches to the Hebrew Bible and related texts. In the present volume Athalya Brenner-Idan (with Helen Efthimiadis-Keith) draws together a range of scholarly commentators and addresses the core issues relating to feminist interpretations of the two texts at hand. The volume examines attitudes to gender, identities, exile, social mores, beliefs, clothing, food and drink, personal relationships, and biblical reception. The contributors are: Beverly Bow and George Nickelsburg, Athalya Brenner-Idan, Ora Brison, Helen Efthimiadis-Keith, Renate Egger-Wenzel, Beate Ego, Emma England, Jennifer Glancy, Jan Willem van Henten, Naomi Jacobs, Amy-Jill Levine, Pamela Milne, and Barbara Schmitz.",2015,11/3/16 19:59,8/10/20 19:31,11/3/16 19:59,,,,,,,,,,,,Bloomsbury Publishing,,,,,,,,,,,C:\Users\xus12\Zotero\storage\BMQW6SEM\a-feminist-companion-to-tobit-and-judith-9780567656025.html,,,,"Brenner-Idan, Athalya; Efthimiadis-Keith, Helen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCIFV9G6,"Rieger, Joerg",bookSection,2020,"Rieger, Joerg; Rieger, Annika",Chapter 1.3. Working with environmental economists: T & T Clark handbook of Christian theology and climate change,T & T Clark handbook of Christian theology and climate change,978-0-567-67517-0,,,,,2020,11/15/22 21:25,11/15/22 21:25,,53-64,,,,,,Chapter 1.3. Working with environmental economists,,,,,,New York,,,,,,EBSCOhost,,,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAn4950884&site=ehost-live&scope=site&scope=cite,,Consumption (Economics); Economics and Christianity; Ecology -- Economic aspects; Environmentalism -- Religious aspects -- Christianity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IK762VJ2,"Levine, Amy-Jill",dictionaryEntry,1996,"Levine, Amy-Jill",Hermeneutics of Suspicion,Dictionary of feminist theologies,978-0-585-32873-7,,,,,1996,8/6/14 13:19,11/19/14 22:05,,140-141,,,,,,,,,,,Westminster/John Knox Press,"Louisville, KY",,,,,,,,,,,,,,"Russell, Letty M.; Clarkson, J. Shannon (Jeanette Shannon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3E8WJEI,"Meeks, M. Douglas",bookSection,1995,"Meeks, M. Douglas; Stackhouse, Max L.; Berger, Peter L.; McCann, Dennis P.",God's oikonomia and the New World Economy,Christian social ethics in a global era,978-0-687-00335-8,,,,,1995,12/19/14 19:04,12/19/14 19:07,,111-126,,,,,,,,,,,Abingdon Press,"Nashville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZR5PRQK,"Rieger, Joerg",bookSection,2002,"Rieger, Joerg",A Sermon,The Sunday after Tuesday : college pulpits respond to 9/11,978-0-687-02838-2,,,https://catalog.library.vanderbilt.edu,The Sunday after Tuesday : college pulpits respond to 9/11 -book,2002,9/29/20 17:24,9/29/20 17:27,9/29/20 17:24,158-163,,,,,,The Sunday after Tuesday,,,,,Abingdon Press,Nashville TN,en,,,,,,,,,C:\Users\xus12\Zotero\storage\9FNAA8NL\fulldisplay.pdf,,,,"Willimon, William H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6M84AC6D,"Rieger, Joerg",bookSection,2002,"Rieger, Joerg","Contemporary Issues and Models of Ministry with the Poor, the Underrepresented, and the Ignored: Introductory Comments",The poor and the people called Methodists : 1729-1999,978-0-687-05155-7,,,https://catalog.library.vanderbilt.edu,The poor and the people called Methodists : 1729-1999 -book,2002,10/1/20 17:17,10/1/20 17:18,9/29/20 17:30,195-197,,,,,,The poor and the people called Methodists,,,,,Kingswood Books,Nashville TN,en,,,,,,,,,,,,,"Heitzenrater, Richard P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QRK3K9BZ,"Rieger, Joerg",bookSection,2002,"Rieger, Joerg",Between God and the Poor: Rethinking the Means of Grace in the Wesleyan Tradition,The poor and the people called Methodists : 1729-1999,978-0-687-05155-7,,,https://catalog.library.vanderbilt.edu,The poor and the people called Methodists : 1729-1999 -book,2002,9/29/20 17:30,10/1/20 17:18,9/29/20 17:30,83-99,,,,,,The poor and the people called Methodists,,,,,Kingswood Books,Nashville TN,en,,,,,,,,,C:\Users\xus12\Zotero\storage\GBDLRKLD\fulldisplay.pdf,,,,"Heitzenrater, Richard P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KZM9RRUZ,"Knight, Douglas A.",dictionaryEntry,1999,"Knight, Douglas A.",James Barr,"Dictionary of biblical interpretation. v 1, A-J",978-0-687-05531-9,,,,,1999,5/16/14 17:09,5/23/14 16:45,,98-99,,,,,,,,,,,Abingdon Pr,Nashville,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000012291&site=ehost-live&scope=cite,,Biblical Hermeneutics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR9X9TZS,"Morrill, Bruce T.",encyclopediaArticle,2018,"Morrill, Bruce T",Canonization | Article | World Book Online InfoFinder,World Book Encyclopedia,978-0-7166-0119-7,,,https://www.worldbookonline.com/pl/infofinder/article?id=ar091940&st=canonization,,7/30/18,7/10/18 20:27,11/30/18 22:32,7/10/18 20:27,,,,,,,,,,,,World Book Online,,,,,,,,,,,C:\Users\xus12\Zotero\storage\C7P3HJLF\article.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDGPVQPX,"Anderson, Victor",bookSection,2012,"Anderson, Victor",Fear and Trembling in the Everyday of Richard Wright’s Black Boy: A Quare Reading,Philosophical Meditations on Richard Wright,978-0-7391-4494-7,,,,,2012,12/10/14 0:31,6/6/18 19:25,,65-81,,,,,,,,,,,Lexington Books,"Lanham, MD",,,,,,,,,,,,,,"Haile, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6CN8H2PX,"Anderson, Victor",bookSection,2008,"Anderson, Victor",Introduction,Rise and demise of black theology,978-0-7546-3256-6,,,,,2008,12/10/14 1:01,12/10/14 1:04,,vii-xii,,,,,,,,,,,SCM Press,London,,,,,,,,,,,,,,"Kee, Alistair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y6APQHF2,"Rieger, Joerg",bookSection,2013,"Rieger, Jeorg","Reclaiming the Relation of Religion, Politics, and Economics",Godly heretics: essays on alternative Christianity in literature and popular culture,978-0-7864-6780-8,,,,,2013,6/26/18 19:10,9/23/20 19:14,,,,,,,,,,,,,McFarland & Company,"Jefferson, NC",,,,,,EBSCOhost,,,,,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001962620&site=ehost-live&scope=site&scope=cite,,Christianity/Church History; Art/Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VZTIU64U,"Armour, Ellen T.",bookSection,1993,"Armour, Ellen T.","Questioning ""Woman"" in Feminist/Womanist Theology: Irigaray, Ruether and Daly",Transfigurations: Feminist Theology and the French Feminists.,978-0-8006-2697-6,,,,,1993,5/7/14 19:31,6/7/18 19:56,,,,,,,,,,,,,Fortress Press,Philadelphia,,,,,,,,,,,,,,"Kim, Maggie; St. Ville, Susan M.; Simonaitis, Susan M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7XJNWTXC,"Rieger, Joerg",bookSection,1998,"Rieger, Jeorg",Introduction: Watch the Money & Developing a Common Interest Theology from the Underside,"Liberating the Future: God, Mammon, and Theology",978-0-8006-3143-7,,,,,1998,6/28/18 18:32,6/28/18 18:40,,1-13; 124-141.,,,,,,,,,,,Fortress Press,"Minneapolis, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB75C6KD,"Armour, Ellen T.",bookSection,2006,"Armour, Ellen T.",Toward an Elemental Theology: A Constructive Proposal,"Theology that Matters: Ecology, Economy, and God",978-0-8006-3794-1,,,,,2006,5/7/14 19:00,5/7/14 19:02,,42-57,,,,,,,,,,,Fortress Press,"Minneapolis, Minn",,,,,,,,,,,,,,"Ray, Darby Kathleen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PFUSDFN,"Hudnut-Beumler, Jim",bookSection,1993,"Hudnut-Beumler, Jim; Hessell, Dieter T.",The public church in retrospect and prospect,The Church's Public Role: Retrospect and Prospect,978-0-8028-0647-5,,,,"This timely, broad-ranging book explores what mainstream churches of North American have been doing--and what they ought to do--to bring about social transformation. The culmination of a recent ecumenical symposium, ""The Church's Public Role: Retrospect and Prospect"", Hessel's work features papers by esteemed church historians and ethicists with considerable expertise on the church's role in society.",1993-12,12/18/14 14:58,12/18/14 15:01,,296-309,,,,,,,,,,,Eerdmans Pub Co,"Grand Rapids, Michigan",English,,,,,Amazon.com,,,,,http://www.amazon.it/The-Churchs-Public-Role-Retrospect/dp/0802806473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRF46B35,"Levine, Amy-Jill",bookSection,2021,"Levine, Amy-Jill",Preaching and Teaching the Pharisees: Pharisees,The Pharisees,978-0-8028-7929-5,,,,,2021,11/14/22 19:20,11/14/22 19:20,,,,,,,,Preaching and Teaching the Pharisees,,,,,,"Grand Rapids, MI",,,,,,EBSCOhost,,,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAn5007839&site=ehost-live&scope=site&scope=cite,,Pharisees; Bible . New Testament--Homiletic use; Bible . New Testament--Study and teaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETC7JJ6M,"Floyd-Thomas, Stacey",bookSection,2010,"Floyd-Thomas, Stacey M.; Pinn, Anthony B.",Womanist Theology,Liberation theologies in the United States an introduction,978-0-8147-2857-4,,,,,2010,5/13/14 19:59,6/23/20 17:19,,,,,,,,,,,,,New York University Press,New York,eng,,,,,Primo,BT83.57,,,,,,"Liberation theology; Theology of liberation; United States Church history 20th century; Theology, Doctrinal United States; Liberation theology United States; United States Church history 21st century",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TH7KTMPD,"Armour, Ellen T.",bookSection,2013,"Armour, Ellen T.",Reponsi/ability After Derrida,Living together Jacques Derrida's communities of violence and peace,978-0-8232-5064-6,,,,,2013,5/1/14 19:51,11/18/14 21:13,,123-136,,,,,,,,,,,Fordham University Press,New York,eng,,,,,Primo,HM1116,,,,,,"E-Books; Ebooks; Electronic books; Internet books (Electronic publications); Online books; Web books (Electronic publications); World Wide Web books (Electronic publications); Deridā, Jāka; Derida, Žak; Deridah, Z'aḳ; Derrida, J. (Jacques); Derrida, Jackes; Derrida, Jacques; Derrida, Zhak; Dirīdā, Jāk; Деррида, Жак; Violence; Coexistence, Peaceful; Derrida, Jacques Criticism and interpretation; Peace; Peaceful coexistence; Violent behavior","Weber, Elisabeth",,,,,,,,,,,,,,,,,,,1st ed.,,,,,,,,,,,,,,,,,,,,,,,,,,
BR2AHSVN,"Floyd-Thomas, Stacey",bookSection,2004,"Floyd-Thomas, Stacey M.",The Church Here and Now: Critical Reflections,Handbook of U.S. theologies of liberation,978-0-8272-1448-4,,,,,2004,5/13/14 19:05,7/21/20 19:30,,59-69,,,,,,,,,,,Chalice Press,St Louis,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001492323&site=ehost-live&scope=cite,,"Church--History of doctrines--1900-; Church--Marks; Church--Visibility; Community--Religious aspects; Liberation theology; Marginality, Social; Power (Theology)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVWWYNED,"Floyd-Thomas, Stacey",bookSection,2004,"Floyd-Thomas, Stacey M",Church: Handbook of U.S. theologies of liberation,Handbook of U.S. theologies of liberation,978-0-8272-1448-4,,,,,2004,11/9/22 20:07,11/9/22 20:07,,59-69,,,,,,Church,,,,,,St Louis,,,,,,EBSCOhost,,,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001492323&site=ehost-live&scope=site&scope=cite,,"Liberation theology; Marginality, Social; Power (Theology); 1900-; Church -- History of doctrines; Church -- Marks; Church -- Visibility; Community -- Religious aspects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GGP7NNQK,"Andrews, Dale P.",bookSection,2001,"Andrews, Dale P.",Possibly a Porcupine Problem,Preaching I Corinthians 13,978-0-8272-2969-3,,,,,2001,6/25/14 18:35,6/25/14 18:38,,,,,,,,,,,,,Chalice Press,St. Louis,,,,,,,,,,,,,,"Hedahl, Susan K.; Carson, Richard P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIRVTXMF,"Knight, Douglas A.",dictionaryEntry,1990,"Knight, Douglas A.","Cosmology (pp. 175–76); Ethics in the Old Testament (pp. 267–70); Family (pp. 294–95);  Genre, Old Testament (pp. 322–23); Sources, Literary (pp. 852–53); Tradition in the Old  Testament (pp. 927–28)",Mercer Dictionary of the Bible,978-0-86554-299-0,,,,,1990,5/16/14 16:29,7/30/20 18:16,,,,,,,,,,,,,Mercer University Press,"Macon, Ga",,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000131519&site=ehost-live&scope=cite,,Biblical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7CMNLWBB,"Sasson, Jack",bookSection,2021,"Sasson, Jack M",Samson as Riddle: Ve-'Ed Ya'aleh (Gen 2:6): Essays in Biblical and Ancient Near Eastern Studies Presented to Edward L. Greenstein,Ve-'Ed Ya'aleh (Gen 2:6): Essays in Biblical and Ancient Near Eastern Studies Presented to Edward L. Greenstein,978-0-88414-537-0,,,,,2021,11/15/22 21:12,11/15/22 21:12,,579-594,,,,,,Samson as Riddle,,,,,,Atlanta,,,,,,EBSCOhost,,DOI: 10.2307/j.ctv1zm2ts1.36,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAn4984842&site=ehost-live&scope=site&scope=cite,,"Middle East; Bible . Judges--Criticism, interpretation; Bible . Judges--Criticism, Textual; Riddles; Samson,   (Biblical figure)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
