Key,reason,Item Type,ISBN,ISSN (P),ISSN (O),Publication Title,Publication Year,Author,Title,note,OCLC,,https://researchguides.library.vanderbilt.edu/az.php?a=u&p=1
NWKGX4I2,Article or chapter without published_in.,journalArticle,,,,National Baptist Voice.National Baptist Convention of the United States of America,2005,"Harris, Forrest E.",Pray for Prophets,,469734651,,
3DMFJR8N,Article or chapter without published_in.,journalArticle,,,,National Baptist Voice.National Baptist Convention of the United States of America,2003,"Harris, Forrest E.",Leadership and Struggle in Black Churches: Then and Now,,469734651,,
3T7UD8MB,Article or chapter without published_in.,journalArticle,,2333-0961,,National Havurah Committee weekly column,1990,"Levine, Amy-Jill",Parshat Vayishlach [Gen. 32:4-36:43]: The Rape of Dinah,,,,
4EM89DPU,Article or chapter without published_in.,journalArticle,,0028-2006,2226-2385,Nederduitse Gereformeerde Teologiese Tydskrif,1997,"Hamman, Jaco; Louw, Daniel",Religious  metaphors and symbols in a psychiatric setting,,,,
7VZ5ZHQG,Article or chapter without published_in.,journalArticle,,,,Net Results: New Ideas in Church Vitality and Leadership,1994,"Miller-McLemore, Mark",Advent Inviting,,,,
2TDTZIN3,Article or chapter without published_in.,journalArticle,,	1056-0548,,Insights : a journal of the faculty of Austin Seminary.,2011,"Andrews, Dale P.",Do you know your proper place? Is there a crisis in black preaching?,,,,
2TDTZIN3,Article or chapter without published_in.,journalArticle,,	1056-0549,,Insights : a journal of the faculty of Austin Seminary.,2011,"Andrews, Dale P.",Do you know your proper place? Is there a crisis in black preaching?,,,,
2TDTZIN3,Article or chapter without published_in.,journalArticle,,	1056-0550,,Insights : a journal of the faculty of Austin Seminary.,2011,"Andrews, Dale P.",Do you know your proper place? Is there a crisis in black preaching?,,,,
ZF9E9R7E,Article or chapter without published_in.,journalArticle,,0003-049X,2326-9243,Proceedings of the American Philosophical Society,2008,"Knight, Douglas A.",James Barr 20 March 1924 · 14 October 2006,,,,
S2C7VSKC,Article or chapter without published_in.,journalArticle,,0003-049X,2326-9243,Proceedings of the North American Academy of Liturgy,2011,"Morrill, Bruce T.",Emerging Critical Resources for Liturgical Studies,,,,
FB48E8SC,Article or chapter without published_in.,journalArticle,,0003-049X,2326-9243,Proceedings of the North American Academy of Liturgy,2009,"Morrill, Bruce T.","Introduction for the Diekmann Award, presented to Louis-Marie Chauvet",,,,
I5953E6S,Article or chapter without published_in.,journalArticle,,0003-049X,2326-9243,Proceedings of the North American Academy of Liturgy,2007,"Morrill, Bruce T.","Introduction for the Berakah Award, presented to John F. Baldovin",,,,
G3MC8WA8,Article or chapter without published_in.,journalArticle,,0003-049X,2326-9243,Proceedings of the North American Academy of Liturgy,2012,"Morrill, Bruce T.","Performing the Rite of Marriage: Agency, Identity, and Ideology",,,,
TFG6TB65,Article or chapter without published_in.,journalArticle,,2043-5819,,Quarterly Review,2000,"Levine, Amy-Jill","Jewish-Christian Relations from the 'Other Side': A Response to Webb, Lodahl, and White",,,,
3TVTVM4U,Article or chapter without published_in.,journalArticle,,,,Reformanda,1989,"McClure, John S.",Changes in Presbyterian Preaching in the Twentieth Century,,,,
M97FWTDD,Article or chapter without published_in.,journalArticle,,2333-0961,,National Havurah Committee weekly column,2011,"Geller, Jay","On Eliza Slavet’s ‘Freud’s Theory of Jewishness,’",,,,
4UNIWEND,Article or chapter without published_in.,journalArticle,,0885-0372,0885-0372,Religious Studies News,2013,"Miller-McLemore, Bonnie J.","Sandwiched but Not Smashed: Connection, Loss, and Responsibility in the Middle Years",,,,
WDH8VH9T,Article or chapter without published_in.,journalArticle,,0319-485X,1748-0922,Religious Studies Review,1999,"Geller, Jay",Abraham on Trial: The Social Legacy of Biblical Myth,,,,
7MJ4GXXC,Article or chapter without published_in.,journalArticle,,1099-0046,1099-0321,Review of Biblical Literature,2020,"Levine, Amy-Jill",Reivew of Zondervan Illustrated Bible Backgrounds Commentary: John,,,,
BNG4BSYV,Article or chapter without published_in.,journalArticle,,1099-0047,1099-0322,Review of Biblical Literature,2020,"Levine, Amy-Jill",Review of The Appropriation of Passover in Luke-Acts,,,,
PJ62XNTX,Article or chapter without published_in.,journalArticle,,,,Sacred Spaces,2014,"Miller-McLemore, Bonnie J.",Childhood Studies and Pastoral Counseling,,1031218367,,
IRNAIU6C,Article or chapter without published_in.,journalArticle,,,,Sacred Spaces,2010,"Hamman, Jaco J.",Cura Vitae: The Cure of Life and the Search to be Real,,1031218367,,
52WDXD68,Article or chapter without published_in.,journalArticle,,1567-200X,,Semeia,1995,"Knight, Douglas A.",Political Rights and Powers in Monarchic Israel,,,,
J6FAE4FK,Article or chapter without published_in.,journalArticle,,0049-0385,,Sh'ma: a journal of Jewish responsibility,2012,"Levine, Amy-Jill; Brettler, Marc Zvi",Reading the New Testament,,,,
HE3SQND9,Article or chapter without published_in.,journalArticle,,,,Sightings,2010,"Floyd-Thomas, Juan Marcial","Rastafari Theology, Reggae Music, and the Postcolonial Legacy of Bob Marley",,,,
MWGRH736,Article or chapter without published_in.,journalArticle,,,,Sightings,2007,"Miller-McLemore, Bonnie J.",Christian Discipline of Children,,,,
JSWHU9HW,Article or chapter without published_in.,journalArticle,,,,SJU Magazine,2011,"Morrill, Bruce T.",Public Catholicism or Private Faith What’s on the Line in the Communion Procession?,,,,
3PDVJVIE,Article or chapter without published_in.,journalArticle,,0885-0372,,Spotlight on Teaching Religious Studies News,2007,"Floyd-Thomas, Stacey M.",Redemptive Difference: What Can a Black Woman Teach Me?,,,,
NAWTPWWH,Article or chapter without published_in.,journalArticle,,0885-0373,,Spotlight on Teaching Religious Studies News,2009,"Floyd-Thomas, Stacey M.",Cultivating a Pedagogy of Possibility: The Moral Wisdom and Ethical Practice of Teaching as a Vocation,,,,
S2JG94Q9,Article or chapter without published_in.,journalArticle,,0885-0372,,"Spotlight on Teaching, Religious studies news (AAR ed.)",2000,"Geller, Jay",Film and the Teaching of the Holocaust,,,,
G83EUKRH,Article or chapter without published_in.,journalArticle,,0040-5620,,Spotlight on Theological Education,2008,"Morrill, Bruce T.",Liturgical Theology as Critical Practice,,,,
CT5C89DB,Article or chapter without published_in.,journalArticle,,,,"Student Organization of Yeshiva, Rabbi Isaac Elchanan Theological Seminary",2014,"Levine, Amy-Jill","Thou Shalt, Thou Shalt Not, or Thou Might Want To: The Tanakh and (Homo)sexuality",,,,
8RNW2IG5,Article or chapter without published_in.,journalArticle,,,,Syndicate,2015,"Armour, Ellen","For Inspiration, Look Not in Obvious Places",,,,
WQ928XU4,Article or chapter without published_in.,journalArticle,,,,The Alaskan Shepherd,2005,"Morrill, Bruce T.",Christmas in Hooper Bay: God's Presence in Human Gifts,,25488066,,
X6J7CAN9,Article or chapter without published_in.,journalArticle,,2334-1394,,The American Historian,2014,"Floyd-Thomas, Juan","Review of Jason Osder, Let the Fire Burn (documentary film)",,,,
4FVRWKE7,Article or chapter without published_in.,journalArticle,,,,The Cambridge Companion to: Puritanism,2008,"Coffey, J.; Lim, P.C.H.",Introduction,book chapter,,,
UQI884BP,Article or chapter without published_in.,journalArticle,,0009-5281,2163-3312,The Christian Century,2008,"Miller-McLemore, Bonnie J.","Marriage Debate (book review essay of David Blankenhorn, The Future of Marriage and Elizabeth Fox-Genovese, Marriage: the Dream That Refuses to Die)",,,,
BC8XW4QJ,Article or chapter without published_in.,journalArticle,,2411-2577,2044-5032,The Conversation,2017,"Morrill, Bruce T.","Before the digital age, how religious groups increased the numbers in their order",,,,
BC8XW4QJ,Article or chapter without published_in.,journalArticle,,2411-2577,2044-5032,The Conversation,2017,"Morrill, Bruce T.","Before the digital age, how religious groups increased the numbers in their order",,,,
C4EFU37E,Article or chapter without published_in.,journalArticle,,0011-1198,,The Cresset,2014,"Miller-McLemore, Bonnie J.",On the Road: A Gift for Inviting People into Practices,,,,
37XSRZFT,Article or chapter without published_in.,journalArticle,,0196-0946,,The Disciple,1986,"Miller-McLemore, Mark",The Lively Congregation,,,,
F7CKA7WA,Article or chapter without published_in.,journalArticle,,0196-0946,,The Disciple,1993,"Miller-McLemore, Mark",It’s Not Just the Bakkers and the Priests: An Abuse of Power and Trust,,,,
A34D5NQK,Article or chapter without published_in.,journalArticle,,0196-0946,,The Disciple,2000,"Miller-McLemore, Mark; Miller-McLemore, Bonnie",Two in a Canoe: Reflections on Marriage,,,,
P8N2SNZP,Article or chapter without published_in.,journalArticle,,,,The Disciples Divinity House of the University of Chicago : in the quest for excellence in ministry,1993,"Miller-McLemore, Bonnie",Motherhood and the theological pie (or crisis of generativity : a theological issue),,,,
NSG3IGTH,Article or chapter without published_in.,journalArticle,,,,The Five Stones: a Newsletter for Small Churches,1997,"Miller-McLemore, Mark",Vision: One Congregation’s Story,,,,
6RBCHXWV,Article or chapter without published_in.,journalArticle,,,,The Five Stones: a Newsletter for Small Churches,1997,"Miller-McLemore, Mark","Pieces of the Puzzle, Pieces of the Process",,,,
VEUEUDKJ,Article or chapter without published_in.,journalArticle,,,,The Gospel and Our Culture Network,1998,"Hudnut-Beumler, Jim",Ecclesial accountability in the missional church,,41569458,,
BXDTPA8Q,Article or chapter without published_in.,journalArticle,,0002-7189,1477-4585,The Journal of the American Academy of Religion,1999,"Hudnut-Beumler, James David",Review of Lived religion in America: Toward a history of practice,,,,
ZZAICG72,Article or chapter without published_in.,journalArticle,,1557-0274,1931-7743,The Review of Faith & International Affairs,2008,"Andrews, Dale P.",Global Conflict and the Preaching Tradition of Martin Luther King Jr.,,,,
ZZAICG72,Article or chapter without published_in.,journalArticle,,1557-0274,1931-7743,The Review of Faith & International Affairs,2008,"Andrews, Dale P.",Global Conflict and the Preaching Tradition of Martin Luther King Jr.,,,,
ZZAICG72,Article or chapter without published_in.,journalArticle,,1557-0274,1931-7743,The Review of Faith & International Affairs,2008,"Andrews, Dale P.",Global Conflict and the Preaching Tradition of Martin Luther King Jr.,,,,
F5Q9B7M8,Article or chapter without published_in.,journalArticle,,2156-4329,2276-2078,The Spire,2003,"Flesberg, Evon",At the bedside: Perspectives on the good death. Interview and article by Victor Judge,,,,
DFVI4VRE,Article or chapter without published_in.,journalArticle,,0040-5639,2169-1304,Theological Studies,2013,"Michelson, David A.",Basil of Caesarea: A Guide to His Life and Doctrine (Book review),,,,
SJ4XIPFR,Article or chapter without published_in.,journalArticle,,0040-5736,2044-2556,Theology Today,1997,"Hudnut-Beumler, James David",Review of Grant Us Courage: Travels Along the Mainline of American Protestantism,,,,
3AB6YYUR,Article or chapter without published_in.,journalArticle,,1542-3050,2167-776X,Tidsskrift for Sjelesorg (Nordic Journal of Pastoral Care and Counseling),2021,Jaco Hamman,Pastoral care and an imago Dei for the Technological Age,,,,
R2HPU4GG,Article or chapter without published_in.,journalArticle,,0040-7194,1504-2952,Tidsskrift for teologi og kirke.,1998,"Knight, Douglas A.",Har gammeltestamentlig tradisjonshistorie en fremtid?,,,,
IMIPCMWS,Article or chapter without published_in.,journalArticle,,1607-629X,2391-7385,transversal,2011,"Geller, Jay",Leaping Lizards Max: Kafka Asks Brod Asks Kraus Asks Heine a Jewish Question: and Not Judith Butler's,,,,
53RIIJD7,Article or chapter without published_in.,journalArticle,,0041-7548,,US Catholic,1994,"Miller-McLemore, Bonnie J.",Who's minding the children?,,,,
MU67WC4B,Article or chapter without published_in.,journalArticle,,,,Vital Theology,2004,"Miller-McLemore, Bonnie J.",Motherhood as 24/7 Calling: a Cultural Lie We Keep Telling Ourselves,,,,
L9QPNLAT,Article or chapter without published_in.,journalArticle,,1911-754X,,VIVRE ET CÉLÉBRER,2020,"Morrill, Bruce T.",Des modèles de mémoire liturgique,,,,
6I8FFSVX,Article or chapter without published_in.,journalArticle,,,,Women's VU,1998,"Miller-McLemore, Bonnie J.",Evaluating 'What the Bible Says': New Family Models challenge Male Headship,,,,
F2I6D5IQ,Article or chapter without published_in.,journalArticle,,1047-2339,,Word and Witness,1995,"Andrews, Dale P.",Lent 2,,,,
I6C4KP7W,Article or chapter without published_in.,journalArticle,,1047-2339,,Word and Witness,1995,"Andrews, Dale P.",Epiphany,,,,
7PFB4JXG,Article or chapter without published_in.,journalArticle,,1047-2339,,Word and Witness,1996,"Andrews, Dale P.",Advent 3,,,,
3ZR3SGFR,Article or chapter without published_in.,journalArticle,,0043-941X,,Worship,2014,"Morrill, Bruce T.","Lay Liturgical Leadership in the U.S. Catholic Church: Popular Advances, Official Retreat",,,,
VA37PAU6,Article or chapter without published_in.,journalArticle,,0043-941X,,Worship,2020,Brice T. Morrill,Book Review: Saving images: the presence of the Bible in Christian liturgy,,,,
LCUS26W6,Article or chapter without published_in.,journalArticle,,1832-3391,1832-3391,The Bible & Critical Theory,2022,"Quigley, Jennifer","Teaching and touches across time: queer historiography, pedagogy, and appalling bodies",,,,
69M29L6Y,Article or chapter without published_in.,journalArticle,,1432-7589,,Podium,2002,"Rieger, Jeorg",Was bedeutet Heimat heute?,,,,
UQRIP2FV,Article or chapter without published_in.,journalArticle,,0103-801X,2176-1078,Estudos de ReligiÃ£o,2008,"Rieger, Jeorg",Libertando o discurso sobre Deus: PÃ³s-colonialismo e o desafio das margens,,,,
AYXDEQXV,Article or chapter without published_in.,journalArticle,,1519-7018,2176-3828,Revista Caminhando,2008,"Rieger, Jeorg",Methodism and Empire: The Beginnings,,,,
RA4SI64W,Article or chapter without published_in.,journalArticle,,2642-6978,,The Clergy Journal,2011,"Rieger, Jeorg","Theology, Economics, and the Future",,,,
GHIMGEPL,Article or chapter without published_in.,journalArticle,,2151-0806,2151-0806,Peace Studies Journal,2012,"Rieger, Jeorg",Occupy Wall Street and Everything Else: Lessons for the Study and Praxis of Religion,,,,
XXSBXRVX,Article or chapter without published_in.,journalArticle,,0013-080X,,"The Ecumenist: A Journal of Theology, Culture, and Society",2015,"Rieger, Jeorg",Why Both Race and Class Matter in Religion: Taking the Long View,,,,
