Abstract Note,Access Date,Application Number,Archive,Archive Location,Artwork Size,Assignee,Attorney Agent,Author,Automatic Tags,Book Author,Call Number,Cast Member,Code,Code Number,Commenter,Committee,Composer,Conference Name,Contributor,Cosponsor,Counsel,Country,Court,DOI,Date,Date Added,Date Modified,Divinity Faculty,Edition,Editor,Extra,File Attachments,Filing Date,Guest,History,ISBN,ISSN,Interviewer,Issue,Issuing Authority,Journal Abbreviation,Language,Legal Status,Legislative Body,Library Catalog,Link Attachments,Manual Tags,Medium,Meeting Name,Notes,Num Pages,Number,Number Of Volumes,Pages,Place,Priority Numbers,Producer,Programming Language,Publication Year,Publisher,Recipient,References,Reporter,Reviewed Author,Rights,Running Time,Scale,Scriptwriter,Section,Series,Series Editor,Series Number,Series Text,Series Title,Session,Short Title,System,Translator,Type,Url,Version,Volume,Words By,qid,Key,Item Type,Title,Publication Title
,11/9/22 17:47,,,,,,,"DeHart, Paul J","Idea (Philosophy); Platonism; DeSpain, Benjamin; Example; Thomas,   Aquinas, Saint        , 1225?-1274; Virtues",,,,,,,,,,,,,,,10.1177/0040563920934196,2020-06,11/9/22 17:47,11/9/22 17:47,"DeHart, Paul J.",,,,C:\Users\xus12\Zotero\storage\3DYPYNIU\DeHart - 2020 - Quaestio Disputata Divine Virtues and Divine Idea.pdf,,,,,0040-5639,,2,,,,,,EBSCOhost,,,,,,,,,467-477,,,,,2020,,,,,,,,,,,,,,,,,Quaestio Disputata,,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAiGU0200810000090&site=ehost-live&scope=site,,81,,Q107310165,6X8AU5II,journalArticle,Quaestio Disputata: Divine Virtues and Divine Ideas of Virtues,Theological Studies
,,,,,,,,"Townes, Emilie M.",Christian; Women's Theologies,,,,,,,,,,,,,,,,1995,9/23/14 18:37,10/20/20 17:16,"Townes, Emilie",,,,,,,,,,,,,,,,,EBSCOhost,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000046552&site=ehost-live&scope=cite,,,,,,,,,Nashville,,,,1995,Abingdon Press,,,,,,,,,,,,,,,,In a blaze of glory,,,,,,,,Q108748206,8X6K668C,book,In a blaze of glory: womanist spirituality as social witness,
"For more than forty years, the Workgroup on Constructive Theology has brought the liberal and liberationist theological traditions into creative encounter with lived human experience. In this introduction to the methods and tasks of theology, they invite a new generation of readers, many who will have little or no exposure to Christian doctrine, to see theology as a partner in the struggle for a better world. They demonstrate how theological ideas have ""legs,"" playing themselves out not only in religious communities but in the public square as well. Theology, the authors tell us, is constructive when it joins in God's work of building human lives and human societies. Readers will learn to think about all of life in light of their religious commitments and to see theology as an essential tool for a life well lived. - book blurb.",,,,,,,,"Schneider, Laurel C.; Ray, Stephen G.; Workgroup on Constructive Theology; Rieger, Joerg",Theology,,,,,,,,,,"Rieger, Joerg",,,,,,2016,9/30/20 19:23,9/30/20 19:24,"Rieger, Joerg",First edition.,,,,,,,978-0-664-26188-7,,,,,,eng,,,catalog.library.vanderbilt.edu,,,,,,,,,,"Louisville, Kentucky",,,,2016,Westminster John Knox Press,,,,,,,,,,,,,,,,Awake to the moment,,,,,,,,Q108765614,DVEDULBV,book,Awake to the moment: an introduction to theology,
,,,,,,,,"Armour, Ellen T.; Schneider, Laurel; Capetz, Paul E.; Compier, Don",,,BT75.3 .C66 2005,,,,,,,,,,,,,,2005,5/7/14 19:07,11/18/14 21:12,"Armour, Ellen T.",,"Jones, Serene; Lakeland, Paul",,,,,,0-8006-3683-X,,,,,,,,,acorn.library.vanderbilt.edu Library Catalog,,,,,,,,,19-76,Minneapolis,,,,2005,Fortress Press,,,,,,,,,,,,,,,,,,,,,,,,Q108802827,93D2SEZT,bookSection,God,"Constructive theology: a contemporary approach to classical themes, with CD-ROM"
"Despite many connections and tensions between Christian traditions and empire, scholars of religion and theology have rarely reflected on them. What was lost in the process was not only a clearer understanding of how the forces of empire impact Christianity, consciously or unconsciously, but also a sense for how Christianity can never quite be absorbed by empire altogether and which of its resources push beyond empire.",6/26/18 16:07,,,,,,,"Rieger, Joerg",,,,,,,,,,,,,,,,10.1111/rec3.12158,8/6/15,6/26/18 16:07,11/30/18 22:48,"Rieger, Joerg",,,,C:\Users\xus12\Zotero\storage\HWG9EAKK\Rieger - Christianity and Empire.pdf; C:\Users\xus12\Zotero\storage\TPX2MSIK\rec3.html,,,,,1749-8171,,8,,,en,,,Wiley Online Library,,,,,,,,,254-261,,,,,2015,,,,,,© 2015 John Wiley & Sons Ltd,,,,,,,,,,,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1111/rec3.12158,,9,,Q109404829,ZCGW8AMV,journalArticle,Christianity and Empire,Religion Compass
"Church giving is an understudied phenomenon; queries on Black Church giving are even rarer. In response to the latter dynamic, levels of tithing, income, and mission donations are examined based on a national sample of 1,601 Black churches across seven denominations using linear and ordered logit modeling. Findings show minimal ideological and programmatic effects. However, denominational differences suggest that Black congregations affiliated with the Church of God in Christ have higher relative percentages of tithers and those associated with the Presbyterian and United Methodist faiths have the lowest rates as compared with their Baptist peers. Moreover, African Methodist Episcopal Zion, Presbyterian, and United Methodist churches are more likely to have higher church incomes and mission giving than Baptists. Thus, although Baptists tend to generally have higher rates of church tithers, this pattern does not translate to higher church incomes or mission donations. As expected, church size and formally educated memberships positively influence giving patterns. Results provide important insights into the Black Church economic ethic. © The Author(s) 2013.",,,Scopus,,,,,"Barnes, S.L.",Sociology; Social sciences; Black studies; Cultural studies; Humanities; Management; Organizational studies; Religious studies; Sociological theory; Sociology of race and ethnicity; Sociology of religion,,,,,,,,,,,,,,,10.1177/2158244013490706,2013,11/22/22 16:11,11/22/22 16:11,"Barnes, Sandra L.",,,,,,,,,2158-2440,,2,,,English,,,Scopus,,,,,,,,,1-11,,,,,2013,,,,,,,,,,,,,,,,,Black Church giving,,,,,,3,,Q109404830,EAVN4EL9,journalArticle,"Black Church giving: An analysis of ideological, programmatic, and denominational effects",SAGE Open
In this book Brent Waters expresses concern that capitalism has come under attack and sets out not only to defend it but to extol its accomplishments. The first,10/1/20 17:30,,,,,,,"Rieger, Joerg",,,,,,,,,,,,,,,,10.1093/jcs/csx097,1/1/18,10/1/20 17:30,10/1/20 17:31,"Rieger, Joerg",,,Publisher: Oxford Academic,C:\Users\xus12\Zotero\storage\A82JBMYP\4732609.html,,,,,0021-969X,,1,,J Church State,en,,,academic.oup.com,,Book review,,,,,,,141-143,,,,,2018,,,,,"Waters, Brent",,,,,,,,,,,,Just Capitalism,,,,https://academic.oup.com/jcs/article/60/1/141/4732609,,60,,Q109407333,GL88IYC9,journalArticle,Just Capitalism: A Christian Ethic of Globalization. By Brent Waters,Journal of Church and State
,9/30/20 16:16,,Gale Academic OneFile,,,,,"Rieger, Joerg; Henkel-Rieger, Rosemarie",Solidarity; Labor market; Labour market,,,,,,,,,,,,,,,10.4102/hts.v73i3.4578,9/1/17,9/30/20 16:16,8/11/21 20:13,"Rieger, Joerg",,,,,,,,,0259-9422,,3,,,English,,,Gale,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,Deep solidarity,,,,http://link.gale.com/apps/doc/A541490108/AONE?u=tel_a_vanderbilt&sid=zotero&xid=49eab677,,73,,Q109407334,KSHYWF33,journalArticle,Deep solidarity: Broadening the basis of transformation,HTS Teologiese Studies
"In recent years the term empire has been used to describe an oppressive global situation. Empires are marked by their efforts to control all of life, not only politics and economics, but also society, culture, and religion. Since their inception, liberation theologies have addressed this oppressive global situation by focusing on its various manifestations in terms of race, ethnicity, nationality, gender, sexuality, and class. As the oppressive global situation tightens and contemporary liberation movements increasingly bring together its various manifestations, liberation theologies need to devise common strategies and models for resistance without abandoning their diverse legacies.",9/30/20 17:07,,,,,,,"Rieger, Joerg",class; deep solidarity; empire; liberation theology,,,,,,,,,,,,,,,10.1080/1462317X.2017.1311060,5/19/17,9/30/20 17:07,9/30/20 17:07,"Rieger, Joerg",,,Publisher: Routledge _eprint: https://doi.org/10.1080/1462317X.2017.1311060,"C:\Users\xus12\Zotero\storage\JLY6AXPV\Rieger - 2017 - Empire, Deep Solidarity, and the Future of Liberat.pdf; C:\Users\xus12\Zotero\storage\3XIYBPAA\1462317X.2017.html",,,,,1462-317X,,4,,,,,,Taylor and Francis+NEJM,,,,,,,,,354-364,,,,,2017,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1080/1462317X.2017.1311060,,18,,Q109407335,K5BFX7ZQ,journalArticle,"Empire, Deep Solidarity, and the Future of Liberation Theology",Political Theology
,,,,,,,,"Rieger, Joerg","Christian <span class=""searchword"">Theology</span>;",,,,,,,,,,,,,,,10.1111/j.1748-0922.2009.01360_24.x,2009,6/28/18 19:58,6/28/18 19:59,"Rieger, Joerg",,,,,,,,,0319-485X,,3,,,,,,discoverlibrary.vanderbilt.edu,,Book review,,,,,,,162–162,,,,,2009,,,,,,,,,,,,,,,,,The Touch of Transcendence,,,,,,35,,Q109407336,BAGJTZDB,journalArticle,The Touch of Transcendence: A Postcolonial Theology of God – By Mayra Rivera (book review),Religious Studies Review
,10/1/20 17:51,,,,,,,"Rieger, Joerg",,,,,,,,,,,,,,,,10.1111/j.1748-0922.2009.01360_6.x,2009,10/1/20 17:51,10/1/20 17:51,"Rieger, Joerg",,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1748-0922.2009.01360_6.x,C:\Users\xus12\Zotero\storage\9QKXUEG7\Rieger - 2009 - Controversies in Political Theology Development o.pdf; C:\Users\xus12\Zotero\storage\RP4V296J\j.1748-0922.2009.01360_6.html,,,,,1748-0922,,3,,,en,,,Wiley Online Library,,,,,,,,,156-157,,,,,2009,,,,,,"© 2009 Council of Societies for the Study of Religion, Inc.",,,,,,,,,,,Controversies in Political Theology,,,,http://onlinelibrary.wiley.com/doi/abs/10.1111/j.1748-0922.2009.01360_6.x,,35,,Q109407337,F2CGRZE7,journalArticle,Controversies in Political Theology: Development or Liberation? – By Thia Cooper,Religious Studies Review
,,,,,,,,"Rieger, Joerg",,,,,,,,,,,,,,,,10.1111/j.1748-0922.2010.01443_8.x,2010,6/28/18 19:57,6/28/18 19:57,"Rieger, Joerg",,,,,,,,,0319-485X,,3,,,,,,discoverlibrary.vanderbilt.edu,,Book review,,,,,,,211–211,,,,,2010,,,,,,,,,,,,,,,,,Karl Barth,,,,,,36,,Q109407338,Q2VVM2SC,journalArticle,Karl Barth: God's Word in Action – By Paul S. Chung (Book review).,Religious Studies Review
The article focuses on the Christian perspective on wealth in a world of economic inequality. It mentions that Christians who follow the gospel of prosperity teachings are rarely troubled by economic inequality because they see poverty as an outcome of lack of faith and economic success as a result of faithfulness to God. It notes that the alternative logic or ethics of wealth that results from the traditions of Jesus reflected throughout the Gospels.,6/26/18 18:16,,,,,,,"Rieger, Joerg",CHRISTIANS; EQUALITY; ETHICS; FAITH (Christianity); WEALTH,,,,,,,,,,,,,,,10.1353/bcs.2013.0018,2013-11,6/26/18 18:16,8/11/21 20:53,"Rieger, Joerg",,,,C:\Users\xus12\Zotero\storage\BABGG573\Rieger - 2013 - The Ethics of Wealth in a World of Economic Inequa.pdf,,,,,8820945,,33,,Buddhist-Christian Studies,,,,EBSCOhost,,,,,,,,,153-162,,,,,2013,,,,,,,,,,,,,,,,,The Ethics of Wealth in a World of Economic Inequality,,,,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=rlh&AN=90086698&site=ehost-live&scope=site,,,,Q109407937,6JR72K7Z,journalArticle,The Ethics of Wealth in a World of Economic Inequality: A Christian Perspective in a Buddhist-Christian Dialogue,Buddhist-Christian Studies
,,,,,,,,"Rieger, Joerg","<span class=""searchword"">Christian</span> <span class=""searchword"">Theology</span>;",,,,,,,,,,,,,,,10.1111/j.1748-0922.2009.01360_28.x,2009,6/28/18 20:01,6/28/18 20:01,"Rieger, Joerg",,,,,,,,,0319-485X,,3,,,,,,discoverlibrary.vanderbilt.edu,,,,,,,,,163–163,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,35,,Q109408050,G2QZ3A6Y,journalArticle,Power and Christian Theology – By Stephen Sykes (book review),Religious Studies Review
"Friedrich Schleiermacher's work appears in new perspective when examined in the context of his little-known studies of far-away countries such as Australia and its inhabitants as well as the ""colonial phantasies"" of his time. His views of the Jewish religion and its practitioners can also be reassessed in this light. As the connections between the flows of power and ideas are examined, a deeper understanding of Schleiermacher's theology emerges both in terms of its limitations and its potential. This deeper understanding also throws new light on more overarching matters in Schleiermacher research, such as the character of his philosophical method and his hermeneutic. [PUBLICATION ]",,,,,,,,"Rieger, Joerg","Judaism; Theology; Colonialism; Exegesis & Hermeneutics; Philosophers; Power; Schleiermacher, Friedrich",,,,,,,,,,,,,,,10.1515/znth-2013-0004,2013,6/26/18 17:39,9/23/20 15:26,"Rieger, Joerg",,,,,,,,,0943-7592,,1,,,eng,,,discoverlibrary.vanderbilt.edu,,,,,,,,,44-60,,,,,2013,,,,,,,,,,,,,,,,,Power and Empire in the Study of Nineteenth-Century Theology,,,,,,20,,Q109408051,4FIIJDYV,journalArticle,Power and Empire in the Study of Nineteenth-Century Theology: The Case of Schleiermacher,Zeitschrift für Neuere Theologiegeschichte
,,,,,,,,"Rieger, Joerg",,,,,,,,,,,,,,,,10.1111/j.1748-0922.2012.01596_11.x,2012,6/28/18 19:43,6/28/18 19:44,"Rieger, Joerg",,,,,,,,,0319-485X,,2,,,,,,discoverlibrary.vanderbilt.edu,,Book review,,,,,,,75–76,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,38,,Q109408052,BTXXAA9L,journalArticle,Radikale Theologie – By Ingolf U. Dalferth (book review),Religious Studies Review
,,,,,,,,"Rieger, Joerg",,,,,,,,,,,,,,,,10.1558/ecot.9.1.65.36243,2004,6/28/18 16:16,6/28/18 16:16,"Rieger, Joerg",,,,,,,,,1363-7320,,1,,,eng,,,discoverlibrary.vanderbilt.edu,,,,,,,,,65–85,,,,,2004,,,,,,,,,,,,,,,,,,,,,,,9,,Q109408054,BXSJ6SBA,journalArticle,Re-envisioning Ecotheology and the Divine from the Margins,Ecotheology
,,,,,,,,"Rieger, Joerg",,,,,,,,,,,,,,,,10.25148/CRCP.4.1.16092142,2016,9/30/20 19:13,9/30/20 19:14,"Rieger, Joerg",,,,C:\Users\xus12\Zotero\storage\MDHVJBZ6\3.html; C:\Users\xus12\Zotero\storage\RQ9897HU\Rieger - 2016 - Religion and Class.pdf,,,,,2330-6297,,1,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,,https://digitalcommons.fiu.edu/classracecorporatepower/vol4/iss1/3,,4,,Q109408056,GYWAKBDR,journalArticle,Religion and Class,"Class, Race and Corporate Power"
,,,,,,,,"Rieger, Joerg",,,,,,,,,,,,,,,,10.1111/j.1748-0922.2007.00171_47.x,2007,6/28/18 20:05,6/28/18 20:05,"Rieger, Joerg",,,,,,,,,0319-485X,,2,,,,,,discoverlibrary.vanderbilt.edu,,,,,,,,,132–132,,,,,2007,,,,,,,,,,,,,,,,,Solidarisch Mensch Werden,,,,,,33,,Q109408058,V8WLVAW8,journalArticle,"Solidarisch Mensch Werden: Psychische Und Soziale Destruktion IM Neoliberalismus—Wege Zu Ihrer Überwindung – By Ulrich Duchrow, Reinhold Bianchi, René Krüger, and Vincenzo Petracca (book review)",Religious Studies Review
,,,,,,,,"Rieger, Joerg",,,,,,,,,,,,,,,,10.1111/j.1748-0922.2007.00200_42.x,2007,6/28/18 20:02,6/28/18 20:03,"Rieger, Joerg",,,,,,,,,0319-485X,,3,,,,,,discoverlibrary.vanderbilt.edu,,Book review,,,,,,,225–225,,,,,2007,,,,,,,,,,,,,,,,,The Politics of Human Frailty,,,,,,33,,Q109408059,AA2T7TTQ,journalArticle,The Politics of Human Frailty: A Theological Defence of Political Liberalism – By Christopher J. Insole (book review),Religious Studies Review
,6/28/22 21:09,,,,,,,"Rieger, Joerg","DIVINE Currency: The Theological Power of Money in the West (Book); NONFICTION; RELIGION & politics; SINGH, Devin; THEOLOGY",,,,,,,,,,,,,,,10.1080/1462317X.2020.1734282,2020,6/28/22 21:09,11/30/22 19:52,"Rieger, Joerg",,,Publisher: Taylor & Francis Ltd,,,,,,1462317X,,2-Jan,,,,,,EBSCOhost,,Book review,,,,,,,162-163,,,,,2020,,,,,,,,,,,,,,,,,Divine Currency,,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=rlh&AN=142425842&site=ehost-live&scope=site,,21,,Q109408060,ZMCAT9HD,journalArticle,"Book Review: Divine Currency: The Theological Power of Money in the West: by Devin Singh,",Political Theology
