skipped,Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
,MNXDLDYN,"Rieger, Joerg",2012,"Rieger, Jeorg",978-1-4267-2977-5,,,,"The Abingdon Theological Companion to the Lectionary gets straight to the point of the Revised Common Lectionary: to allow God’s people to encounter the meaning of Scripture through the Word read and proclaimed. For each Sunday or occasion, a homiletician and a theologian have collaborated on commentary that will help preachers create substantive and life-changing sermons. Designed to focus on the deep meaning of the biblical text, and the questions it raises for life as a Christian in the modern world, the Abingdon Theological Companion to the Lectionary begins with the conviction that Scripture speaks first and foremost to Christians now. While informed by the best in biblical studies, its commentary on the Scripture passages of the Revised Common Lectionary engages Christian belief and action in the present day. The Abingdon Theological Companion to the Lectionary will help the preacher to think deeply about the meaning of Scripture and communicate to worshipers the power of Scripture in their daily lives.",5/1/12,6/26/18 20:11,6/26/18 20:13,,,,,,,,,,,,,Abingdon Press,"Nashville, Tenn",English,,,,,Amazon,,,,,https://www.amazon.com/Abingdon-Theological-Companion-Lectionary-Preaching/dp/1426729774,,,"Wilson, Paul Scott",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Proper 21-26 [26-31],Abingdon Theological Companion to the Lectionary: Preaching Year C
,X6DZKIW6,"Levine, Amy-Jill",2008,"Levine, Amy-Jill",978-0-8192-2255-8,,,,,2008,11/1/16 19:03,11/1/16 19:04,,,,,,,,,,,,,Morehouse Pub,,eng,,,,,discoverlibrary.vanderbilt.edu,,,,,,,Bible. Gospels--Meditations.,,,,,,"Goldman, Caren; Voorhees, Ted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Forward,"Across the threshold, into the questions: discovering Jesus, finding self"
,G2UI32K3,"Andrews, Dale P.",2009,"Andrews, Dale P.; Pinn, Anthony B.",978-1-57607-512-8,,,,,2009,5/22/14 13:47,5/22/14 13:48,,,,,,,,,,,,,ABC-CLIO,"Santa Barbara, Calif.",,,,,,acorn.library.vanderbilt.edu Library Catalog,AVAILABLE ONLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,African American Preaching and Sermonic Traditions,African American religious cultures
,LNS27SN3,"Rieger, Joerg",2011,"Rieger, Joerg",978-0-7391-3705-5,,,,"Alienation and Connection challenges social, cultural, and economic constructs that perpetuate alienation through suffering and powerlessness. The authors, representing Wesleyan backgrounds in this volume, all hold concern for a suffering world, believing that socioeconomic systems, prescribed roles, stereotypes, or power differentials cannot dictate normative destinies for persons or for living systems. Each writer calls for movement from suffering to surviving to thriving in the midst of discussions about how alienation, in a variety of contexts, can be transformed into connection and reconnection through intentional shifts in circumstance and human agency. A hermeneutic of healing and justice focused on human relationship with the environment, economic and social systems that disconnect and reconnect, socio-cultural and economic constructs that divide or heal, encountered difference that brings opportunity, and various manifestations of personal pain that can turn to hope, provides a significant, realistic alternative to suffering and alienation. Meaningful connection to each other and to the earth through the alleviation of suffering provides hope for the integrity and future of humankind and the healing of the planet. This book is an offering to those who are called to work for change and a challenge to those who do not believe that change should or could happen. Alienation is not the final word. Connection and hope can prevail.",10/25/11,6/27/18 17:19,6/27/18 17:20,,,,,,,,,,,,,Lexington Books,"Lanham, Md",English,,,,,Amazon,,,,,https://www.amazon.com/Alienation-Connection-Suffering-Global-Age/dp/0739137050/ref=sr_1_1?s=books&ie=UTF8&qid=1530119926&sr=1-1&keywords=Alienation+and+Connection%3A+Suffering+in+A+Global+Age,,,"Withrow, Lisa R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,"Globalization, Empire, and Beyond: The Challenges of Globalizing Christianity and Religion",Alienation and Connection: Suffering in a Global Age
,9P5SPK84,"Rieger, Joerg",2012,"Rieger, Jeorg",978-0-8028-6440-6,,,,"In appreaciation of James William Waters, Class of 2017., $$Cbibliography_note$$VIncludes bibliographical references and index.",2012,6/26/18 20:15,9/23/20 15:20,,475-481,,,,,,,,,,,William B. Eerdmans Publishing Company,"Grand Rapids, Mich.",eng,,,,,discoverlibrary.vanderbilt.edu,BT83.59 .E47 2012,,,,,,Political theology,"Cavanaugh, William T.; Bailey, Jeffrey W.; Hovey, Craig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Post-Colonial Challenges: Introduction,An Eerdmans Reader in Contemporary Political Theology
,QJXKA2VA,"Townes, Emilie",2012,"Townes, Emilie M.",978-0-8028-6440-6,,,,,2012,10/13/14 14:57,12/10/14 13:56,,,,,,,,,,,,,William B. Eerdmans Publishing Company,"Grand Rapids, Mich.",eng,,,371-376,,OCLC WorldCat FirstSearch,,,,,,,Political theology. Political theology,"Cavanaugh, William T.; Bailey, Jeffery W.; Hovey, Craig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Gender and race. Introduction Part VII,An Eerdmans Reader in Contemporary Political Theology
,BQ29ZB8B,"Townes, Emilie",2011,"Townes, Emilie M.",,,,https://www.amazon.com/Eerdmans-Reader-Contemporary-Political-Theology-ebook/dp/B0079G2PH4/ref=sr_1_1?s=books&ie=UTF8&qid=1531857203&sr=1-1&keywords=An+Eerdman%E2%80%99s+Reader+in+Contemporary+Political+Theology,,11/18/11,7/17/18 19:54,7/17/18 19:58,7/17/18 19:54,371-376,,,,,,,,,,,William B. Eerdmans Publishing Company,"Grand Rapids, Mich.",eng,,,,,,,,,C:\Users\xus12\Zotero\storage\WQWI3MN6\ref=sr_1_1.html,,,,"Cavanaugh, William T.; Bailey, Jeffrey W.; Hovey, Craig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Introduction to Part VII: Gender and Race,An Eerdmans Reader in Contemporary Political Theology
,FX7S592H,"Budwey, Stephanie A.",2021,"Budwey, Stephanie A.",978-3-402-11282-3,,,,,2021,6/29/22 22:04,6/29/22 22:07,,215-231,,,,,,,,,,,Münster: Aschendorff Verlag,,"German, English",,,,,Open WorldCat,,OCLC: 1269385613,,,,,,"Bergmann, Claudia D; Kranemann, Benedikt, Aschendorffsche Verlagsbuchhandlung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Über die binäre liturgische Sprache hinausgehen: Ein Plädoyer für inklusive und expansive Sprache (“Moving Beyond Binary Liturgical Language: The Case for Inclusive and Expansive Language”).,Analogie und Differenz: das dynamische Verh??ltnis von j??discher und christlicher Liturgie = Analogy and difference: the ever-changing relationship of Jewish and Christian liturgy
,RJFPKF5W,"Quigley, Jennifer",2019,"Marguerat, Alessandra; Quigley, Jennifer Aileen; Nasrallah, Laura Salah",,,,,"Ancient Manuscripts in Digital Culture presents an overview of the digital turn in Ancient Jewish and Christian manuscripts visualisation, data mining and communication. Edited by David Hamidović, Claire Clivaz and Sarah Bowen Savant, it gathers together the contributions of seventeen scholars involved in Biblical, Early Jewish and Christian studies. The volume attests to the spreading of digital humanities in these fields and presents fundamental analysis of the rise of visual culture as well as specific test-cases concerning ancient manuscripts. Sophisticated visualisation tools, stylometric analysis, teaching and visual data, epigraphy and visualisation belong notably to the varied overview presented in the volume.",2019,11/16/22 16:17,11/16/22 16:38,,217-240,,,,,,,Digital biblical studies,,,,Brill,Leiden,eng,,,,,catalog.library.vanderbilt.edu,,DOI: 10.1163/9789004399297_012,,,,,"History and criticism; Manuscripts; Christian literature, Early; Communication in learning and scholarship; Data mining; Data processing; Digital humanities; Digitization; Jewish religious literature; Technological innovations","Hamidovič, David; Clivaz, Claire; Savant, Sarah Bowen",,,"Marguerat, Alessandra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,HarvardX’s early Christianity: the letters of Paul: a retrospective on online teaching and learning,"Ancient manuscripts in digital culture: visualisation, data mining, communication"
,K4IH7VF2,"Sasson, Jack",2011,"Sasson, Jack M.",,,,http://discoverarchive.vanderbilt.edu/handle/1803/4958,,2011,12/12/14 13:17,7/14/15 14:49,12/12/14 13:17,195-212,,,,,,Mari Theomorphism,,,,,Islet,Dresden,en_US,,,,,discoverarchive.vanderbilt.edu,,"In this paper, dedicated to Bibek Hruska, Professor Sasson examines letters exchanged between the elite of the ancient city of Mari. His purpose in doing so is to discover what is meant when rulers were ""deemed touched by godhood.""",,C:\Users\xus12\Zotero\storage\DNHIWDBI\Sasson - 2011 - Mari Theomorphism Intimation of Sacrality in the .pdf; C:\Users\xus12\Zotero\storage\XNG83X9T\4958.html,,,,"Vacin, Ludek.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Mari Theomorphism: Intimation of Sacrality in the Royal Correspondence,Ancient Near Eastern studies in memory of Blahoslav Hruška
,WHBTY3VF,"Michelson, David A.",2016,"Michelson, David A.",978-90-04-32523-4,,,https://brill.com/view/book/edcoll/9789004325234/B9789004325234_005.xml,,1/1/16,6/30/22 18:51,6/30/22 18:53,6/30/22 18:51,59-85,,,,,,,,,,,Brill,,en,,,,,brill.com,,Pages: 59-85 Section: Ancient Worlds in Digital Culture DOI: 10.1163/9789004325234_005,,C:\Users\xus12\Zotero\storage\X4WFPBF3\Michelson - 2016 - 4 Syriaca.org as a Test Case for Digitally Re-Sort.pdf,,,History; Biblical Studies; Cultural Studies; General; Jewish History & Culture; Jewish Studies; Languages and Linguistics; Social Sciences; Writing & Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Syriaca.org as a Test Case for Digitally Re-Sorting the Ancient World,Ancient Worlds in Digital Culture
,JC29PXMR,"Levine, Amy-Jill",2013,,978-1-59982-124-5,,,,New American Bible revised edition. ; Includes index.,2013,11/1/16 20:11,8/10/20 16:07,,2143,,,,,,,,,,,Anselm Academic,"Winona, MN",eng,,,,,WorldCat Discovery Service,,,,,,,,"Osiek, Carolyn; Hoppe, Leslie J.; Levine, Amy-Jill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Jewish Biblical Interpretation,Anselm Academic study Bible
