qid,instance_of_uuid
Q106566951,DA4CF081-BFCD-4B86-B2E6-7DBFA11B6637
Q106566955,0EF4748C-B12A-4E4F-A873-50B9E5495CAA
Q106567602,DFC58AEE-B6F6-43FB-B36A-D96A054382DB
Q106567603,0D698C5F-23D6-4F7C-BF5B-994E3DC1B24B
Q106567606,30929269-DF95-487F-9110-6F7DAA08093F
Q106567607,DE8456A4-82D3-47EB-9611-3B1CA18C7C8D
Q106567625,23107A49-BBD6-4999-B31E-56EE25EBEA36
Q106567645,597BB9C0-D022-49D6-B5A7-F843A0D04341
Q106567650,46E94BC2-D406-49ED-B399-D735DF8D255A
Q106567652,9EB9C717-4BAB-4D88-B188-20C060AC5C17
Q106567656,E885D97C-1D37-4A33-932A-42A3509C72E6
Q106566928,7BCFBDB0-51E0-4EAA-A2E8-1AFF040FA4E0
Q106566948,A36BC96B-56FE-478D-9587-82ACB3FD0E3C
Q106566949,2A976B13-D3AC-408F-9F07-481E9755452D
Q106566953,4142C8B0-A1DB-477B-8D8E-430825EB9BE3
Q106566965,5DB28DE5-0A2E-4A76-A480-C11B55911773
Q106566968,E3B939F8-37C6-4FE1-BBFC-1C528372EB90
Q106567611,972ACA57-3A1F-48F6-9715-CF5C6E3B4615
Q106567615,D77FF6E6-B1D7-412A-BBD7-D6201F86D8A3
Q106567621,72F059EC-CE66-445C-8006-F2A87EA6EA19
Q106567630,CF5575A8-8ADF-4298-9CE4-75C98472E750
Q106567628,D1B3E9BA-7D0D-4BE9-870E-425FB1977FCE
Q106567639,9ADF972D-D765-460A-B9F6-391E0D03FBFD
Q106567642,BE3120B1-61EB-4E90-9BC9-0C223D0AD0B9
Q106567646,48ABDE93-2DB6-4405-B396-B751526E805C
Q106567671,E01D32BF-7805-4EDA-A452-4002C9F63635
Q106567668,727C722B-8D32-423B-828C-78D3ECC2E12F
Q106566945,E58F15DB-560F-409D-9D8E-FB4418AE192C
Q106566961,72853B1A-69B3-49FD-887D-FB251DAFB227
Q106567593,9ED8E9B1-8017-48A0-9369-B61DFDC6D60E
Q106567613,9BF4082A-6732-43BA-885A-751F3ACD32D1
Q106567626,0B42E341-67E7-4748-B05D-DF46121B82C2
Q106567633,2664FBB3-566D-4131-83E7-2E3300FCEE1B
Q106567644,707552FB-90F3-4C80-8D2A-0B7C569D5CC6
Q106566967,83890763-03BD-464E-938F-F53E81A6BCA7
Q106567590,F688401D-0062-4C24-8A50-1271866E3423
Q106567596,7B1ECFC6-12BD-4267-A946-85D3123AA40C
Q106567605,7CA862EF-084D-4907-967D-6218211F2E72
Q106567610,5EB228EC-AE8A-482E-90B5-058A9E0153EE
Q106567619,6849BB66-5509-47EA-B3D4-69E2BF2F6116
Q106567623,5F01B139-2608-4B30-8098-CC8692F32462
Q106567624,74CEE3D2-6AD1-45F2-BEE5-3CB26AED7EF3
Q106567632,4E842634-278A-4C95-A683-79CDA61D72FB
Q106567654,C125AFA4-047F-4F9A-980C-616D039CDCF0
Q106567655,4EB74323-9261-4E23-A391-6B617DBF6F89
Q106567658,A96BFDBF-026C-4F6F-BED4-9311546D34B9
Q106566941,2EE4E1AD-D211-4807-AAEE-8D223F30389F
Q106566947,CB6F69F0-A1ED-4F8A-8D51-CC205DA42240
Q106566954,C9DA60E2-FB32-494F-8624-6DD01BF2350B
Q106566960,9B5F2E6D-AB91-4319-88A7-6FCE9C5A151D
Q106567576,234B0299-B2BE-46B5-83D3-8E15CBF816A5
Q106567588,D36513D7-3A1A-49F9-9457-DF8C1C92E81A
Q106567647,396B7047-161E-45D8-9B0D-A45731F2B6FD
Q106566925,B934B0CA-D62A-45FB-A857-9BA73B4EB252
Q106566959,15BB7929-8043-48EE-8A6E-5062475AAAF6
Q106567627,1D667E02-F11B-40B7-8984-FC22BFEDF52A
Q106567629,E2D49CF9-F1AD-4A9C-8067-C3E17104CD3F
Q106567637,B1DF9F18-80BE-43B9-A568-99F5073F340D
Q106567641,D66D3F43-EDE0-401B-A3E4-841698A1B5B5
Q106567659,3E808669-BC76-4B63-92A1-F6C33C64D0E2
Q106567657,2955F344-23DB-4934-BCFA-4148087A8F6D
Q106566942,04AACB20-7CE8-40D9-83EA-AAC061F6E169
Q106566957,0D6F5E5F-995C-4926-855E-3D784CB68409
Q106567569,9ED3F96A-7F73-4727-A10A-E93C1E6E18E4
Q106567587,936CB7DE-1DAE-4D86-9741-2B2DECA90533
Q106567591,F2570C93-83C7-4481-899C-0DE23DF83B8F
Q106567592,DCB182F1-C874-43B9-81F4-F58039D191AF
Q106567614,715FB98F-5279-4F66-982C-FE2B3E386739
Q106567616,9F36252B-A7A9-4CC6-A225-3FDEFEE555D0
Q106567617,4E0593F6-E9BB-428F-91DB-E9F1A5D1F2B6
Q106567622,A8438751-9CFB-47A8-81DD-5D0ED243F484
Q106567638,50475084-BE70-44E9-81C6-A1C02383A7B1
Q106567636,A4C84B46-677E-4742-88F7-D86D05C65463
Q106567643,47EC0FCB-CAF7-4222-9096-AACB21A6AB35
Q106567648,B48A8590-FE58-4B75-8401-1F2B2F9490B7
