item,qid,itemLabel
http://www.wikidata.org/entity/Q105752013,Q105752013,Flow and Heat Transfer Characteristics of Microencapsulated Phase Change Material Slurry in a Coil Heat Exchanger
http://www.wikidata.org/entity/Q105752014,Q105752014,Study of the Effects of Surface Morphology and Droplet Growth Dynamics on Condensation Heat Transfer
http://www.wikidata.org/entity/Q105768333,Q105768333,"Development of an Ultra-High Efficiency Gas Turbine  Engine (UHEGT) with Stator Internal Combustion: Design,  Off-Design, and Nonlinear Dynamic Operation"
http://www.wikidata.org/entity/Q106255034,Q106255034,"Grim Commerce: Scalps, Bounties, and the Transformation of Trophy-Taking in the Early American Northeast, 1450-1770"
http://www.wikidata.org/entity/Q106391790,Q106391790,The Measure of a King: Forging English Royal Reputations 1066-1272
http://www.wikidata.org/entity/Q106645223,Q106645223,Analysis of Elastic and Viscoelastic Smart Flexible and Foldable Systems
http://www.wikidata.org/entity/Q106645224,Q106645224,Nonlinear Thermo‐Electro‐Mechanical Behaviors of Ag/BaTiO3 Composites
http://www.wikidata.org/entity/Q106645225,Q106645225,Modeling Moisture Diffusion Behaviors in Polymers and Polymer Composites
http://www.wikidata.org/entity/Q106645226,Q106645226,Modeling Time Dependent Behaviors of Polymeric Sandwich Composites at Various Environmental Conditions
http://www.wikidata.org/entity/Q106645228,Q106645228,"Micromechanics Modeling of Nonlinear and Time-dependent Responses of Piezoelectric 1-3, 0-3, and Hybrid Composites"
http://www.wikidata.org/entity/Q106645230,Q106645230,Nonlinear and Rate-Dependent Hysteresis Electro Mechanical Responses of Ferro Electric Materials
http://www.wikidata.org/entity/Q106648273,Q106648273,THERMOELECTRIC PROPERTIES OF MAGNESIUM SILICIDE-STANNIDE SOLID SOLUTION OF VARIOUS PHASE STRUCTURES
http://www.wikidata.org/entity/Q106648274,Q106648274,Design of Graphitic Carbon Materials for Electrochemical Energy Conversion and Storage
http://www.wikidata.org/entity/Q106648276,Q106648276,Thermally Driven Energy Conversion and Storage Based on Organic Nanocomposites
http://www.wikidata.org/entity/Q106650868,Q106650868,Structural Thermomechanical Models for Shape Memory Alloy Components
http://www.wikidata.org/entity/Q106650870,Q106650870,Development of Techniques for Modeling the Static Buckling of Euler Beam and Dynamic Response of Kirchhoff Rods: Application to Surgical Simulation and Training
http://www.wikidata.org/entity/Q106650873,Q106650873,Bad Blood: Combining Data Analytics and Chemical Kinetics to Study Human Blood Coagulation in Certain Diseases
http://www.wikidata.org/entity/Q106706105,Q106706105,A Non-intrusive Method for Mechanical Measurements in Constant Frequency Electric Motors
http://www.wikidata.org/entity/Q106706107,Q106706107,Analysis of Ball Bearing Defects in Synchronous Machines using Electrical Measurements
http://www.wikidata.org/entity/Q106706109,Q106706109,Fast Generation of Machine Learning Models In Model-Based Fault Detection Systems
http://www.wikidata.org/entity/Q106812267,Q106812267,Development of Double-Sided Interior Permanent Magnet Flat Linear Brushless Motor and Its Control Using Linear Optical Potentiometer
http://www.wikidata.org/entity/Q106812269,Q106812269,Regenerative Suspension System Modeling and Control
http://www.wikidata.org/entity/Q106812271,Q106812271,Optimal Bandwidth Allocation and Control for Networked Control Systems with Disturbance and Noise
http://www.wikidata.org/entity/Q106812272,Q106812272,Universal Framework for Linear Motors and Multi-Axis Stages with Magnetic Levitation
http://www.wikidata.org/entity/Q106826853,Q106826853,Zeolite Membrane Water Vapor Separation for Building Air-Conditioning and Ventilation Systems
http://www.wikidata.org/entity/Q106826856,Q106826856,A Comprehensive Evaluation of the Impact of Continuous CommissioningÂ®
http://www.wikidata.org/entity/Q106826858,Q106826858,Active Remote Setpoint Optimization Utilizing BAS Trend Data
http://www.wikidata.org/entity/Q106826860,Q106826860,Development of a Data-Driven Model-Based Anomaly Detection Method for Whole Facility Level Energy Use Data Using the Energy Balance Load Variable
http://www.wikidata.org/entity/Q106826862,Q106826862,An Investigation of Optimal Pressurization for Buildings in Hot and Humid Climates
http://www.wikidata.org/entity/Q106827001,Q106827001,Gas Phase Switching for Pulsed Power Applications
http://www.wikidata.org/entity/Q106827003,Q106827003,Non-equilibrium Plasmas in Oil
http://www.wikidata.org/entity/Q106827005,Q106827005,Investigation of Microplasma Generation in Dense Medium
http://www.wikidata.org/entity/Q106916670,Q106916670,Tribological Characterization of Roles of Nanoparticles in Lubrication
http://www.wikidata.org/entity/Q106916673,Q106916673,Water-Solid Interfaces of Textured Materials
http://www.wikidata.org/entity/Q106916675,Q106916675,"Synthesis, Characterization, Properties, and Tribological Performance of 2D Nanomaterials"
http://www.wikidata.org/entity/Q106916677,Q106916677,In Situ Tribo-Electrochemical Characterization of Diamond-Containing Materials
http://www.wikidata.org/entity/Q106917977,Q106917977,Adhesive Wear Phenomena in High Performance Polyaryletherketones (PAEK) Polymers
http://www.wikidata.org/entity/Q106917978,Q106917978,Fundamental Understanding of Scratch and Mar Behavior of Polymers
http://www.wikidata.org/entity/Q106917979,Q106917979,Influence of Solid Inclusion Phase on the Mechanical Behavior of Thermoplastic Polymer Composite and Blend
http://www.wikidata.org/entity/Q106917980,Q106917980,Scratch and Wear Behaviors of Polyurethane Elastomers
http://www.wikidata.org/entity/Q106918036,Q106918036,Process Improvements for Gas Barrier Thin Films Deposited Via Layer-By-Layer Assembly
http://www.wikidata.org/entity/Q106918037,Q106918037,Improvements in Processing and Stretchability of Super Gas Barrier Multilayer Thin Films
http://www.wikidata.org/entity/Q106918039,Q106918039,Layer-By-Layer Assembly of Thin Platelet-Polymer Conductive Barrier Films
http://www.wikidata.org/entity/Q106918860,Q106918860,Chemical Kinetics of Organophosphorus Fire Suppressants
http://www.wikidata.org/entity/Q106918862,Q106918862,Study of Turbulent Spherical Flames in a Reconfigurable Fan-Stirred Flame Bomb
http://www.wikidata.org/entity/Q106918864,Q106918864,H2O LASER ABSORPTION AND OH* CHEMILUMINESCENCE MEASUREMENTS OF H2-NO2 OXIDATION IN A SHOCK TUBE
http://www.wikidata.org/entity/Q106918865,Q106918865,Advancements in Composite Solid Propellant Testing and Evaluation for Formulations Containing Novel Nano-Additives
http://www.wikidata.org/entity/Q106918867,Q106918867,Making Bombs for Peaceful Purposes: How Explosive Processes Render Lignocellulosic Biomass More Amenable to Biological Digestion
http://www.wikidata.org/entity/Q106918903,Q106918903,Measurement of Turbulent Flame Speeds of Hydrogen and Natural Gas Blends (C1-C5 Alkanes) using a Newly Developed Fan-Stirred Vessel
http://www.wikidata.org/entity/Q107063579,Q107063579,Experimental and Computational Study of Fluid Dynamics in Solar Reactor
http://www.wikidata.org/entity/Q107063581,Q107063581,Rotordynamic and Erosion Study of Bearings in  Electrical Submersible Pumps
http://www.wikidata.org/entity/Q107063583,Q107063583,Experimental Measurement of Multiphase Flow and CFD Erosion Modeling in Electrical Submersible Pumps
http://www.wikidata.org/entity/Q107063586,Q107063586,Three Phase Erosion Testing and CFD Analysis of a Helico Axial Pump
http://www.wikidata.org/entity/Q107063589,Q107063589,Numerical Simulation and Erosion Prediction for an Electrical Submersible Pump
http://www.wikidata.org/entity/Q107063591,Q107063591,Performance Evaluation and Modeling of Twin Screw Pumps
http://www.wikidata.org/entity/Q107063594,Q107063594,Experimental and CFD Simulation of a Multiphase Canned Motor Pump
http://www.wikidata.org/entity/Q107063596,Q107063596,Experimental and CFD Simulation of a Helico-Axial Pump
http://www.wikidata.org/entity/Q107063598,Q107063598,High-Temperature Austenitic Stainless Steel
http://www.wikidata.org/entity/Q107063600,Q107063600,Role of Crystallographic Texture and Grain Size on Low Temperature Deformation and Formability of a Mg Alloy
http://www.wikidata.org/entity/Q107100040,Q107100040,Die Gregorsmesse: Funktionen eines spätmittelalterlichen Bildtypus
http://www.wikidata.org/entity/Q107117774,Q107117774,Numerical Study of Flow and Heat Transfer in Rotating Microchannels
http://www.wikidata.org/entity/Q107117776,Q107117776,Computational Study of Interaction of Twin Rectangular Jets
http://www.wikidata.org/entity/Q107117778,Q107117778,Natural Circulation in the Upper Plenum of a Scaled Model of a Very High Temperature Reactor in the Event of Loss-of-Coolant Accident
http://www.wikidata.org/entity/Q107117779,Q107117779,Dynamic Response of Viscoelastic Solids Described by Implicit Constitutive Theories
http://www.wikidata.org/entity/Q107117781,Q107117781,Modeling the Responses of Light-activated Shape Memory Polymers
http://www.wikidata.org/entity/Q107117783,Q107117783,Effect of Prestress on the Mechanical Performance of Composites
http://www.wikidata.org/entity/Q107129333,Q107129333,Nonlinear Response and Bifurcations Analysis of Rotor-Fluid Film Bearing Systems
http://www.wikidata.org/entity/Q107129335,Q107129335,High Fidelity Simulation of Rotordynamic Morton Effect by Nonlinear Transient Approach
http://www.wikidata.org/entity/Q107129338,Q107129338,Finite Element Analysis of Motor Eccentric Forces and Effects on Vibration
http://www.wikidata.org/entity/Q107129340,Q107129340,Simulation and Test of the Auxiliary Bearings and Their Dampers in Magnetic Bearing Systems
http://www.wikidata.org/entity/Q107129342,Q107129342,Prediction of the Concentration Polarization and the Fouling Formation in Membrane Desalination Processes
http://www.wikidata.org/entity/Q107129344,Q107129344,CFD Based Prediction of Rotordynamic Coefficients and Stability Analysis for Centrifugal Pump/Compressor
http://www.wikidata.org/entity/Q107129346,Q107129346,Concentration Polarization and Colloidal Fouling in the Vibration Enhanced Reverse Osmosis Membrane Desalination System
http://www.wikidata.org/entity/Q107129349,Q107129349,CFD-Based Impeller and Seal Rotordynamic Forces
http://www.wikidata.org/entity/Q107129351,Q107129351,Improved Finite Element Modeling and Dynamic Analysis of Rotating Machinery and a Drillstring with Impact Dampers
http://www.wikidata.org/entity/Q107129353,Q107129353,Nonlinear Prediction of Thermally Induced Rotor Instability (Morton Effect) and Experiment Verification
http://www.wikidata.org/entity/Q107129355,Q107129355,Discussion of Induction Motor Effect on Rotordynamics
http://www.wikidata.org/entity/Q107129358,Q107129358,Multiple Objective Optimization Design of the Magnetic Bearing Supported Rotordynamic System
http://www.wikidata.org/entity/Q107131882,Q107131882,Bioinspired Materials Design: A Text Mining Approach to Determining Design Principles of Biological Materials
http://www.wikidata.org/entity/Q107131884,Q107131884,A Quantitative Ecological Based Theory for Technology Evolution Prediction and Manipulation
http://www.wikidata.org/entity/Q107131886,Q107131886,A New Design Method Framework for Open Origami Design Problems
http://www.wikidata.org/entity/Q107131889,Q107131889,Applying Lexical Substitution and Text Mining for Bioinspired Engineering Design
http://www.wikidata.org/entity/Q107131891,Q107131891,Bioinspired Origami: Information Retrieval Techniques for Design of Foldable Engineering Applications
http://www.wikidata.org/entity/Q107131895,Q107131895,Spectral/hp Least-Squares Finite Element Analysis of Isothermal and Non-Isothermal Flows of Generalized Newtonian Fluids
http://www.wikidata.org/entity/Q107131897,Q107131897,Bioinspired Material Design: Modeling and Optimization of Nacre-like Materials
http://www.wikidata.org/entity/Q107131899,Q107131899,Fluid-Structure Interaction with Application to Structural Vibration and Blood Flow in Arteries
http://www.wikidata.org/entity/Q107132141,Q107132141,Experimental Study of the Static and Dynamic Characteristics of a Long (L/D=0.65) Smooth Annular Seal Operating Under Two-Phase (Liquid/Gas) Conditions
http://www.wikidata.org/entity/Q107138820,Q107138820,Experimental and Numerical Characterization of the Thermal and Hydraulic Performance of a Canned Motor Pump Operating with Two-Phase Flow
http://www.wikidata.org/entity/Q107217157,Q107217157,Energy Shaping of Mechanical Systems via Control Lyapunov Functions with Applications to Bipedal Locomotion
http://www.wikidata.org/entity/Q107217161,Q107217161,Numerical Modeling for Orthogonal Cutting of Brittle Materials
http://www.wikidata.org/entity/Q107217163,Q107217163,Heated Atomic Force Microscope Cantilevers For Polymer Based Additive Nanomanufacturing
http://www.wikidata.org/entity/Q107217165,Q107217165,Experimental Performance of an Open Ends Squeeze Film Damper and a Sealed Ends Squeeze Film Damper
http://www.wikidata.org/entity/Q107217173,Q107217173,Structural Health Monitoring for Small Diameter Pipes with Guided Ultrasonic Wave
http://www.wikidata.org/entity/Q107237046,Q107237046,Nonlinear Time-Frequency Control of Permanent Magnet Electrical Machines
http://www.wikidata.org/entity/Q107237048,Q107237048,On The Dynamics and Control Strategy of Time-Delayed Vibro-Impact Oscillators
http://www.wikidata.org/entity/Q107237051,Q107237051,An Investigation into the Wear Behavior and Debris Particle Formation of Ultra-High Molecular Weight Polyethylene
http://www.wikidata.org/entity/Q107237058,Q107237058,Robust String Stability of Vehicle Platoons with Communication
http://www.wikidata.org/entity/Q107237060,Q107237060,Heterogeneous Material Characterization Using Incomplete and Complete Data with Application to Soft Solids
http://www.wikidata.org/entity/Q107237061,Q107237061,Control Systems: New Approaches to Analysis and Design
http://www.wikidata.org/entity/Q107237065,Q107237065,Manufacturing Processing and Properties Manipulations of Thick Advanced Performance PEEK Polymer and Composites for Biomedical and Extremely Harsh Environments
http://www.wikidata.org/entity/Q107237069,Q107237069,Ultrashort-Pulse Laser Techniques for Unraveling Chemical and Physical Processes in Next-Generation Combustion Systems
http://www.wikidata.org/entity/Q107237072,Q107237072,Acoustophoresis of Microparticles and Cells in Microfluidic Devices
http://www.wikidata.org/entity/Q107240562,Q107240562,Electrodermal activity and event-correlated potentials in depression and suicidality
http://www.wikidata.org/entity/Q107249542,Q107249542,Nonlinear Time-Frequency Control of Permanent Magnet Electrical Machine
http://www.wikidata.org/entity/Q107251871,Q107251871,An Investigation into the Wear Behavior and Debris Particle Formation of Ultra-High Molecular Weight Polyethylenen
http://www.wikidata.org/entity/Q107309377,Q107309377,Experimental and Theoretical Investigation of a Multiphase Reaction in a Compact Heat Exchanger-Reactor (HEX Reactor)
http://www.wikidata.org/entity/Q107309378,Q107309378,Experimental and Numerical Investigation of Molten Salt Nanomaterials for Enhanced Thermal Energy Storage (TES) and Heat Transfer Fluid (HTF)
http://www.wikidata.org/entity/Q107309382,Q107309382,Experimental and Numerical Investigation of Pool Boiling Heat Transfer on Engineered Nano-Finned Surfaces
http://www.wikidata.org/entity/Q107309385,Q107309385,Experimental Investigation of Buoyancy Driven Mixing With and Without Shear at Different Atwood Numbers
http://www.wikidata.org/entity/Q107309387,Q107309387,On the Effect of Initial Conditions on Rayleigh-Taylor Mixing
http://www.wikidata.org/entity/Q107309390,Q107309390,Probabilistic Methods for Estimating Vehicle Capability in Damaged Composite Aircraft
http://www.wikidata.org/entity/Q107309392,Q107309392,Bayesian Optimization in Multi-Information Source and Large-Scale Systems
http://www.wikidata.org/entity/Q107309396,Q107309396,Mesoscale Modeling of Dynamic Failure of Shocked Single Crystals and Polycrystals
http://www.wikidata.org/entity/Q107309399,Q107309399,Deformation Processes of Metallic Open-Cell Foam Supported Sheet Metals
http://www.wikidata.org/entity/Q107309400,Q107309400,Fabrication and Modeling of Functionally  Graded Porous Polymer Materials
http://www.wikidata.org/entity/Q107309402,Q107309402,A New Direction for Distributed-Scale Solar-Thermal Co-Generation
http://www.wikidata.org/entity/Q107309405,Q107309405,Effect of Co-Firing Torrefied Woody Biomass with Coal in a 30 kWt Downfired Burner
http://www.wikidata.org/entity/Q107309407,Q107309407,Microstructure Development in Bulk Niobium Following Severe Plastic Deformation and Annealing
http://www.wikidata.org/entity/Q107309410,Q107309410,"Ductility in Tungsten: A Treatise on Processing, Characterization, and Analysis of Plastically Deformed Material"
http://www.wikidata.org/entity/Q107311126,Q107311126,Prediction of Damage to Structure resulting from Recirculation of Particles from a Magnetoplasma Spacecraft Engine
http://www.wikidata.org/entity/Q107311128,Q107311128,"Engineering, Financial and Net Energy Performance, and Risk Analysis for Parabolic Trough Solar Power Plants"
http://www.wikidata.org/entity/Q107311131,Q107311131,A High Efficiency and Clean Combustion Strategy for Compression Ignition Engines: Integration of Low Heat Rejection Concepts with Low Temperature Combustion
http://www.wikidata.org/entity/Q107311132,Q107311132,"Simultaneous Efficiency, NOx, and Smoke Improvements through Diesel/Gasoline Dual-Fuel Operation in a Diesel Engine"
http://www.wikidata.org/entity/Q107311134,Q107311134,The Characterization of Two-Stage Ignition Effects on Late Injection Low Temperature Combustion Using Biodiesel and Biodiesel Blends
http://www.wikidata.org/entity/Q107311137,Q107311137,Study of Conjugate Heat Transfer of a Spark-Ignited Natural Gas Engine Cylinder
http://www.wikidata.org/entity/Q107311139,Q107311139,ASSESSING POTENTIAL DIFFERENCES OF DIESEL FUEL EFFECTS ON COMBUSTION AND ENGINE BEHAVIOR BETWEEN DIFFERENTLY-SIZED ENGINES
http://www.wikidata.org/entity/Q107311140,Q107311140,Insights into Conventional and Low Temperature Diesel Combustion Using Combustion Trajectory Prediction Model
http://www.wikidata.org/entity/Q107350976,Q107350976,Material beginnings of the Saramaka Maroons : an archaeological investigation
http://www.wikidata.org/entity/Q107353851,Q107353851,Experimental and Numerical Investigations of Profile and Secondary Aerodynamic Losses in High Pressure Axial Turbines
http://www.wikidata.org/entity/Q107353856,Q107353856,Anelastic Relaxation and Phase Transformations in Doped Binary Oxides
http://www.wikidata.org/entity/Q107353857,Q107353857,Improving Mechanical Properties of Tin+1-A-Cn (A=Al or Si) Max Phases Through Solid Solution Strengthening and Fiber Reinforcement
http://www.wikidata.org/entity/Q107353859,Q107353859,Effect of Microstructure on the Mechanical Properties of Ti2AlC at Room and High Temperatures
http://www.wikidata.org/entity/Q107353862,Q107353862,Polyelectrolyte Multilayers Containing Polyethylene-based Ionomers
http://www.wikidata.org/entity/Q107353863,Q107353863,Assembly and Physico-Chemical Properties of Polyelectrolyte Multilayer Films Co-Assembled with Guest Species
http://www.wikidata.org/entity/Q107353866,Q107353866,An Experimental and Computational Study on Co-Cured Hybrid Metal-Polymer Matrix Composite Interfaces in High Temperature Hybrid Composite Laminates
http://www.wikidata.org/entity/Q107353868,Q107353868,Structural and Damage Assessment of Multi-Section Modular Hybrid Composite Wind Turbine Blade
http://www.wikidata.org/entity/Q107353892,Q107353892,Theoretical And Experimental Investigation On Turbine Aerodynamics And Heat Transfer
http://www.wikidata.org/entity/Q107359238,Q107359238,Investigation of Interfaces Under Mechanical and Thermal Loading Using a Cohesive Zone Model
http://www.wikidata.org/entity/Q107359241,Q107359241,Finite Element Analysis of Structures using a General Higher-Order Plate and One-Dimensional Theories for Classical and Cosserat Continuum Having Constrained Microrotation
http://www.wikidata.org/entity/Q107359243,Q107359243,A Non-Local Third Order Theory of Functionally Graded Plates Under Electromechanical Coupling Effect
http://www.wikidata.org/entity/Q107359245,Q107359245,Improved Time Integration Algorithms for the Analysis of Structural Dynamics
http://www.wikidata.org/entity/Q107359247,Q107359247,"Development and Characterization of a High-Speed Material-Testing Machine, and Experimental Analysis of Frictional Flash Heating and Dynamic Weakening in Rock"
http://www.wikidata.org/entity/Q107359249,Q107359249,Study of Hydrodynamics and Heat Transfer Induced by Multiple Droplet Train Impingements
http://www.wikidata.org/entity/Q107359302,Q107359302,A Comparison Between 7- and 12-Parameter Shell Finite Elements for Large Deformation Analysis
http://www.wikidata.org/entity/Q107362947,Q107362947,The Magnetocaloric and Elastocaloric Effects in Magnetic Shape Memory Alloys
http://www.wikidata.org/entity/Q107362949,Q107362949,Microstructure and Superelastic Response of Iron-Based Shape Memory Alloys
http://www.wikidata.org/entity/Q107362951,Q107362951,Game Theoretic Model Predictive Control for Autonomous Driving
http://www.wikidata.org/entity/Q107362953,Q107362953,Myoelectric Human Computer Interaction Using Reliable Temporal Sequence-based Myoelectric Classification for Dynamic Hand Gestures
http://www.wikidata.org/entity/Q107362955,Q107362955,A Human Driver Model for Autonomous Lane Changing in Highways: Predictive Fuzzy Markov Game Driving Strategy
http://www.wikidata.org/entity/Q107362957,Q107362957,A Detection and Mitigation System for Unintended Acceleration: An Integrated Hybrid Data-driven and Model-based Approach
http://www.wikidata.org/entity/Q107362959,Q107362959,A Game Theory Based Model of Human Driving with Application to Autonomous and Mixed Driving
http://www.wikidata.org/entity/Q107362961,Q107362961,Sensor Fault Detection and Isolation System
http://www.wikidata.org/entity/Q107362963,Q107362963,Experimental Study on Human Arm Reaching with and without a Reduced Mobility for Applications in Medical Human-Interactive Robotics
http://www.wikidata.org/entity/Q107365236,Q107365236,Mesoscale Interaction In Electrodes for Energy Storage
http://www.wikidata.org/entity/Q107365238,Q107365238,Addressing Electrode Degradation and Microstructure Effect in Energy Storage
http://www.wikidata.org/entity/Q107365239,Q107365239,Mechano-Electrochemical Interactions and Stochastics in Intercalation Electrodes
http://www.wikidata.org/entity/Q107365241,Q107365241,"Bipedal Walking Analysis, Control, and Applications Towards Human-Like Behavior"
http://www.wikidata.org/entity/Q107365242,Q107365242,Sensory Augmentation for Balance Rehabilitation Using Skin Stretch Feedback
http://www.wikidata.org/entity/Q107365245,Q107365245,Parametric Optimization: Applications in Systems Design
http://www.wikidata.org/entity/Q107365247,Q107365247,Foundations for Value-Driven Delegated Design with Human Decision Makers
http://www.wikidata.org/entity/Q107365250,Q107365250,Partially-Averaged Navier-Stokes (PANS) Method for Turbulence Simulations: Near-Wall Modeling and Smooth-Surface Separation Computations
http://www.wikidata.org/entity/Q107365253,Q107365253,Compressibility Effects on the Kelvin-Helmholtz Instability and Mixing Layer Flows
http://www.wikidata.org/entity/Q107365256,Q107365256,Understanding and Prediction of Liquids Retention on Commonly Used Plastics with Symmetrically Arranged Structure
http://www.wikidata.org/entity/Q107365258,Q107365258,Coating Thickness Measurements and Defect Characterization in Non-Metallic Composite Materials by Using Thermography
http://www.wikidata.org/entity/Q107365261,Q107365261,"Analysis, Modeling, and Prediction of the Thermal and Mechanical Behavior of Polylactic Acid under Fused Deposition Modeling"
http://www.wikidata.org/entity/Q107376593,Q107376593,Direct Numerical Simulations of Interfacial Turbulence at Low Froude and Weber Numbers
http://www.wikidata.org/entity/Q107376595,Q107376595,Transition to Turbulence in Shear-Thinning Fluids
http://www.wikidata.org/entity/Q107390008,Q107390008,"Fantasmes. Une archéologie des conceptions de l’imagination en psychologie et littérature 1840-1930 (Flaubert, Čechov, Musil)"
http://www.wikidata.org/entity/Q107399086,Q107399086,Q107399086
http://www.wikidata.org/entity/Q107498934,Q107498934,Algorithms for Multiple Vehicle Routing Problems
http://www.wikidata.org/entity/Q107498937,Q107498937,"Algorithms for Routing Unmanned Vehicles with Motions, Resource, and Communication Constraints"
http://www.wikidata.org/entity/Q107498940,Q107498940,Vision Based Collaborative Localization and Path Planning for Micro Aerial Vehicles
http://www.wikidata.org/entity/Q107498944,Q107498944,Coupled Dynamics of Particles and Fluid-Fluid Interfaces
http://www.wikidata.org/entity/Q107498946,Q107498946,Interfacial Instabilities of Suspensions in Hele-Shaw Cell
http://www.wikidata.org/entity/Q107498949,Q107498949,Performance Guarantee of a Sub-Optimal Policy for a Discrete Markov Decision Process and Its Application to a Robotic Surveillance Problem
http://www.wikidata.org/entity/Q107498951,Q107498951,Synthesizing Robust Networks for Engineering Applications with Resource Constraints
http://www.wikidata.org/entity/Q107498953,Q107498953,"Routing Vehicles with Motion, Resource and Mission Constraints: Algorithms and Bounds"
