FACULTY,CHAPTERS,DOI,BOOK TITLE,YEAR,PUBLISHER,NOTES
Fernando Segovia,Postcolonial Criticism and the Gospel of Matthew,https://doi.org/10.1017/cbo9780511627118.009,Methods for Matthew,2009,Cambridge University press,book doi: 10.1017/CBO9780511627118
C.L. Seow,Divine Justice in the Book of Job,https://doi.org/10.1017/9781108562072.022,The Cambridge Companion to the Hebrew Bible and Ethics,2020,Cambridge University press,book doi: 10.1017/9781108562072
C.L. Seow,Perspectives on a Pluriform Classic,https://doi.org/10.5040/9780567687357.0014,Other Peoples’ Texts: Social Identity and the Reception of Authoritative Traditions.,2020,Bloomsbury,book doi: 10.5040/9780567687357
C.L. Seow,Hope in Two Keys: Musical Impact and the Poetics of Job 14,https://doi.org/10.1163/ej.9789004179776.i-640.112,"Congress Volume, Lubljana 2007",2010,Brill,book url https://brill-com.proxy.library.vanderbilt.edu/view/title/17398
C.L. Seow,"Job’s Gōʾēl, Again",https://doi.org/10.1515/9783110910001.689,Gott und Mensch im Dialog: Festschrift für Otto Kaiser zum 80,2004,De Gruyter,book chapter url https://doi-org.proxy.library.vanderbilt.edu/10.1515/9783110910001.689
C.L. Seow,West Semitic Sources,https://doi.org/10.2307/j.ctvkwnng3.16,Prophets and Prophecy in the Ancient Near East,2003,Scholars Press,book doi: 10.2307/j.ctvkwnng3
C.L. Seow,The Social World of Ecclesiastes,https://doi.org/10.1017/cbo9781107337695.010,"Money as God? The Monetization of the Market and its Impact on Religion, Politics, Law, and Ethics",2014,Cambridge University press,
C.L. Seow,From Mountain to Mountain: The Reign of God in Daniel 2,https://doi.org/10.1515/9781575065366-026,A God So Near: Essays in Honor of Patrick D. Miller,2002,Eisenbrauns,book url https://doi-org.proxy.library.vanderbilt.edu/10.5325/j.ctv1bxh338
Phillis Sheppard,Womanist Pastoral Theology and Black Women’s Experience of Religion & Sexuality,https://doi.org/10.1002/9781119292586.ch6,Pastoral theology and Care: Critical Trajectories in Theory and Practice,2018,John Wiley Press,book doi: 10.1002/9781119292586
Emilie Townes,Uninterrogated Coloredness and Its Kin,https://doi.org/10.1057/9781137311825.0013,The Reemergence of Liberation Theologies: Models for the Twenty-First Century,2013,Palgrave Macmillan,book url https://link.springer.com/book/10.1057/9781137311825
Emilie Townes,Walking on the Rimbones of Nothingness: Embodied Scholarship for Those of Way Down Under the Sun,https://doi.org/10.2307/j.ctt22nm96r.21,"Ethics That Matters: African, Caribbean, and African American Sources",2012,fortress Press,book url https://doi-org.proxy.library.vanderbilt.edu/10.2307/j.ctt22nm96r
Emilie Townes,African American Churches and Reproductive Health Rights,https://doi.org/10.2307/j.ctv125jg5x.10,The Long March Ahead: African American Churches and Public Policy in Post-Civil Rights,2005,Duke University Press,
