author,journal_article,journal_title,volume,issue,pages,publication_year ,doi
Sandra L. Baners,"To Welcome or Affirm: Black Clergy Views About Homosexuality, Inclusivity, and Church Leadership",Journal of Homosexuality,60,10,1409-1433,2013,10.1080/00918369.2013.819204
Sandra L. Baners,Determinants of Individual Neighborhood Ties and Social Resources in Poor Urban Neighborhoods,Sociological Spectrum,23,4,463-497,2003,10.1080/02732170390229742
Sandra L. Baners,Enter into His Gates: An Analysis of Black Church Participation Patterns,Sociological Spectrum,29,2,173-200,2009,10.1080/02732170802584351
,Healing and Anointing: Introduction,Liturgy,22,3,1-2,2007,10.1080/04580630701273918
,Challenges and Resources for a Liturgical Theology of Healing: Roman Catholic Practice and Postmodern Theory,Liturgy,22,3,13-20,2007,10.1080/04580630701274023
,The Narrative Function of Preaching,Liturgy,8,2,46-51,1989,10.1080/04580638909408930
,Peace and Justice: The Eucharistic Community of Gifting,Liturgy,13,1,16-21,1996,10.1080/0458063X.1996.10392325
,Good table manners?: the presence and participation of fellow Christians at Roman Catholic Mass,Liturgy,31,3,37-45,2016,10.1080/0458063X.2016.1155912
,"Confessing Sin, Proclaiming Reconciliation in Contemporary U.S. Catholic Liturgy",Liturgy,34,1,30-38,2019,10.1080/0458063X.2019.1559614
"John S. McClure, Michael E. Urban",The Folklore of State Socialism: Semiotics and the Study of the Soviet State,Soviet Studies,35,4,471-486,1983,10.1080/09668138308411498
,Epistemology or Bust : Where Are We Really Headed?,Journal of Pastoral Theology,2,1,61-85,2016,10.1080/10649867.1992.11745294
,Remembering the Dismembered: Teaching for Transformation and Restoration,Journal of Pastoral Theology,16,1,44-62,2006,10.1080/10649867.2006.11745277
,Review of Understanding Pastoral Counseling,Journal of Pastoral Theology,26,1,61-65,2016,10.1080/10649867.2016.1178987 
,Womanist-Lesbian Pastoral Ethics: A Womanist Post-Election Perspective,Journal of Pastoral Theology,26,3,152-170,2016,10.1080/10649867.2017.1315791
,"Hegemonic Imagination, Historical Ethos, and Colonized Minds in the Pedagogical Space: Pastoral Ethics and Teaching as if our Lives Depended on it",Journal of Pastoral Theology,27,3,181-194,2017,10.1080/10649867.2018.1452691
,Empowering Activist Pedagogies in Pastoral Theology: Accountabilities and Transformative Possibilities,Journal of Pastoral Theology,27,3,131-133,2017,10.1080/10649867.2018.1453015
,"Review of Object Relations, Buddhism, and Relationality in Womanist Practical Theology",Journal of Pastoral Theology,29,3,188-189,2019,10.1080/10649867.2019.1673042
Sandra L. Baners,A Case Study of the Working Poor Single Mother Experience: An Analysis of the Structure versus Agency Discourse,Journal of Poverty,12,2,175-200,2008,10.1080/10875540801973575
Jay Geller,Book Review of Jewish women in fin de siècle Vienna,East European Jewish Affairs,39,3,404-407,2009,10.1080/13501670903298344
Stephanie A. Budwey,“God is the creator of all life and the energy of this world”: German intersex Christians’ reflection on the image of God and being created in God’s image,Theology & Sexuality,24,2,85-97,2018,10.1080/13558358.2018.1463643
Sandra L. Baners,The Ebonics Enigma: An Analysis of Attitudes on an Urban College Campus,"Race, Ethnicity and Education",6,3,247-263,2003,10.1080/1361332032000109628
,"African American Religions, 1500-2000: Colonialism, Democracy, and Freedom",Black Theology,14,2,169-171,2016,10.1080/14769948.2016.1186351
Stacey M. Floyd-Thomas,"‘Be Real Black for Me’: Icons, Idols, and Incarnation in the Making of America's First Black President",Black Theology,16,1,61-72,2018,10.1080/14769948.2018.1411752
,"""That's Not How the Story Ends:"" Vincent Harding's Liberating Vision of African American Religious History",Black Theology,17,3,176-194,2019,10.1080/14769948.2019.1680515
B. Miller-McLemore,Converging on culture: theologians in dialogue with cultural analysis and criticism,The Journal of Religion,84,1,119-120,2004,10.1086/382310
B. Miller-McLemore,"Hitting home: feminist ethics, women's work, and the betrayal of 'family values'",The Journal of Religion,84,1,138-140,2004,10.1086/382323
B. Miller-McLemore,Mortal Gods: Ernest Becker and Fundamental Theology,The Journal of Religion,69,3,419-420,1989,10.1086/488157
B. Miller-McLemore,Epistemology or bust : a maternal feminist knowledge of knowing,The Journal of Religion,72,2,229-247,1992,10.1086/488865
,"Blessed Are the Poor: Women's Poverty, Family Policy, and Practical Theology",The Journal of Religion,73,1,109-110,1993,10.1086/489078
,Review of Women in late antiquity: pagan and Christian lifestyles,Journal of Religion,74,4,565-566,1994,10.1086/489478
,The New Moses: A Matthean Typology,Journal of Religion,75,3,406-408,1995,10.1086/489630
Jay Geller,Book Review of Feminine Soul: the Fate of an Ideal,Journal of the American Academy of Religion,54,4,785-786,1986,10.1086/489841
,The Jewish novel in the ancient world,Journal of Religion,77,2,350-351,1997,10.1086/490019
,"Review of Roland Zimany, Vehicle for God",The Journal of Religion,77,3,480,1997,10.1086/490042
B. Miller-McLemore,"Religion and psychology in transition: psychoanalysis, feminism, and theology",The Journal of Religion,78,4,670-672,1998,10.1086/490339
,The fourth great awakening and the future of egalitarianism,Journal of Religion,81,4,647-648,2001,10.1086/490953
,"The Ambiguous Infinite: Jüngel, Marion, and the God of Descartes",The Journal of Religion,82,1,75,2002,10.1086/490995
,Jesus and the politics of interpretation,Journal of Religion ,83,1,110-111,2003,10.1086/491229
B. Miller-McLemore,"Children and religion in the public square: ""too dangerous and too safe, too difficult and too silly""",The Journal of Religion,86,3,385-401,2006,10.1086/503694
B. Miller-McLemore,Whither the children? Childhood in religious education,The Journal of Religion,86,4,635-657,2006,10.1086/505897
,The Servant’s Tale: How Rebekah Found a Spouse,Journal of Near Eastern Studies,65,4,,2006,10.1086/511101
Jay Geller,Book Review of The death of Sigmund Freud: the legacy of his last days,The Journal of Religion,88,3,436-437,2008,10.1086/590043
Jay Geller,"Book Review of Peter Hayes and John K. Roth, eds., The Oxford Handbook of Holocaust Studies",The Journal of Religion,92,1,147-149,2012,10.1086/663750
,"Review of Friends of the unrighteous mammon: Northern Christians and Market Capitalism, 1815–1860.",American Historical Review,114,1,167-168,2009,10.1086/ahr.114.1.167
,Review of Thomas White and the Blackloists: Between Politics and Theology during the English Civil War. ,American Historical Review,115,2,605-606,2010,10.1086/ahr.115.2.605
Jay Geller,"The Godfather of Psychoanalysis : Circumcision, Antisemitism, Homosexuality, and Freud's ""Fighting Jew""",Journal of the American Academy of Religion,67,2,355-385,1999,10.1093/jaarel/67.2.355
Amy-Jill Levine,Review of Brother Jesus: the Nazarene through Jewish eyes,Journal of the American Academy of Religion,73,1,222-224,2005,10.1093/jaarel/lfi013
,Otto Maduro: In Remembrance and Celebration,Journal of the American Academy of Religion,82,1,,2014,10.1093/jaarel/lft110
B. Miller-McLemore,Produce or perish : generativity and new reproductive technologies,Journal of the American Academy of Religion,59,1,39-69,1991,10.1093/jaarel/LIX.1.39
James David Hudnut-Beumler,Work and Faith in the Kentucky Coal Fields: Subject to Dust.(Book review),Journal of American History,96,3,863,2009,10.1093/jahist/96.3.863
,To Serve the Living: Funeral Directors and the African American Way of Death. By Suzanne E. Smith. ,Journal of American History,97,3,835,2010,10.1093/jahist/97.3.835
,Review of Mau Mau in Harlem? The U.S. and the Liberation of Kenya,Journal of American History,99,2,658,2012,10.1093/jahist/jas183
,Review of the Iconography of Malcolm X,Journal of American History,101,3,994,2014,10.1093/jahist/jau565
,America's Public Bible: Biblical Quotations in U.S. Newspapers,Journal of American History,104,4,1097-1098,2018,10.1093/jahist/jax556
,New World A-Coming: Black Religion and Racial Identity during the Great Migration,Journal of American History,105,1,200-201,2018,10.1093/jahist/jay097
,Review of Why politics needs religion: the place of religion in the public square,Journal of Church and State,49,3,555-556,2007,10.1093/jcs/49.3.555
,"In the Beginning Was the Word: The Bible in American Public Life, 1492-1783. By Mark A. Noll",Journal of Church and State,60,2,347-349,2018,10.1093/jcs/csy024
Sandra L. Baners,"Where ‘Difference is the Norm’: Exploring Refugee Student Ethnic Identity Development, Acculturation, and Agency at Shaw Academy",Journal of Refugee Studies,27,3,434-456,2014,10.1093/jrs/fet050
,Particularism and Universalism in the Sermon on the Mount: A Narrative-Critical Analysis of Matthew 5–7 in the Light of Matthew’s View on Mission By Boris Paschke,The Journal of Theological Studies,66,1,389-391,2015,10.1093/jts/flu145
,Exploring Our Hebraic Heritage: A Christian Theology of Roots and Renewal.,The Journal of Theological Studies,68,1,487-488,2017,10.1093/jts/flx006
Jay Geller,"A Paleontological View of Freud's Study of Religion: Unearthing the ""Leitfossil"" Circumcision",Modern Judaism,13,1,49-70,1993,10.1093/mj/13.1.49
Jay Geller,Atheist Jew or Atheist Jew: Freud’s Jewish Question and Ours,Modern Judaism,26,1,1-14,2006,10.1093/mj/kjj001
,Book Review: Godless intellectuals?: The intellectual pursuit of the sacred reinvented,Sociology of Religion,75,1,172-173,2014,10.1093/socrel/sru010
Sandra L. Baners,The Black Church Revisited: Toward a New Millennium DuBoisian Mode of Inquiry,Sociology of Religion,75,4,607-621,2014,10.1093/socrel/sru056
Trudy Hawkins Stringer,Abstract for Is There a Chaplain in the House?: Bringing Divinity and Nursing Students Together through Simulation,Simulation In Healthcare-Journal Of The Society For Simulation In Healthcar,11,4,299,2016,10.1097/SIH.0000000000000196
B. Miller-McLemore,Everyday knowledge and uncommon truths: women of the academy,Teaching Theology & Religion,4,1,56-57,2001,10.1111/1467-9647.t01-1-00094
,Towards a Religious History of the Black Atlantic: Charles H. Long's Significations and New World Slavery,Journal of Religious History,42,1,3-24,2016,10.1111/1467-9809.12409
,"Identity Quests, Indebted Diversities, and Serving “The Church”: Living the Questions of Ministerial Formation",CrossCurrents,69,1,74-79,2019,10.1111/cros.12360
,Review of Surge of Piety: Norman Vincent Peale and the Remaking of American Religious Life,The Historian,80,3,561-562,2018,10.1111/hisn.12942
Stacy M. Floyd-Thomas,Teaching for conflict resolution: metaethical case study analysis as a teaching strategy,Teaching Theology & Religion,13,3,254-259,2010,10.1111/j.1467-9647.2010.00623.x
"Stacy M. Floyd-Thomas, Jane S. Webster, James J. Buckley, Tim Jensen","Responses to the AAR-Teagle White paper: ""the religious studies major in a post-9/11 world""",Teaching Theology & Religion,14,1,34-71,2011,10.1111/j.1467-9647.2010.00673.x
,"On being heard but not seen: Milbank and Lash on Aquinas, analogy and agnosticism",Modern Theology,26,2,243-277,2010,10.1111/j.1468-0025.2009.01596.x
Grahm Reside,Book Review: Congregations in America,Conversations in Religion & Theology,4,1,44-64,2006,10.1111/j.1479-2214.2006.00081.x
,Response to Review Article of The Trial of the Witnesses: The Rise and Decline of Postliberal Theology by William Placher,Conversations in Religion and Theology,5,2,136-145,2007,10.1111/j.1479-2214.2007.00113.x
,Book Review: The New Spirituality: An Introduction to Progressive Belief in the Twenty-First Century – By Gordon Lynch,Conversations in Religion & Theology,8,1,60-77,2010,10.1111/j.1479-2214.2010.00182.x
Sandra L. Baners,Black on the Block: The Politics of Race and Class in the City,City & Community,7,1,85-87,2008,10.1111/j.1540-6040.2007.00242_3.x
"Stacy M. Floyd-Thomas, Laura Gillman, Katherine R. Allen",Teaching to Transform: From Volatility to Solidarity in an Interdisciplinary Family Studies Classroom,Family Relations,50,4,317-325,2001,10.1111/j.1741-3729.2001.00317.x
Sandra L. Baners,Mothering While Imprisoned: The Effects of Family and Child Dynamics on Mothering Attitudes,Family Relations,61,2,313-326,2012,10.1111/j.1741-3729.2011.00696.x
,"Religion, Race, and Bridge Building in Economic Justice Coalitions",WorkingUSA,12,1,,2009,10.1111/j.1743-4580.2008.01220.x
,Plutarch's Ethical Writings and Early Christian Literature,Religious Studies Review,5,4,282,1979,10.1111/j.1748-0922.1979.tb00153.x
,Die Pluralität der Evangelien,Religious Studies Review,6,3,235,1980,10.1111/j.1748-0922.1980.tb00160.x
,"Daniel J. Silver, Images of Moses (Review)",Religious Studies Review,12,2,174,1986,10.1111/j.1748-0922.1986.tb00242.x
,Recent Research in the Johannine Letters,Religious Studies Review,13,2,,1987,10.1111/j.1748-0922.1987.tb00286.x
,"Hispanic Women, Prophetic Voice in the Church",Religious Studies Review,15,2,139,1989,10.1111/j.1748-0922.1989.tb00055.x
,Porfiles in Liberation,Religious Studies Review,16,3,248,1990,10.1111/j.1748-0922.1990.tb00070.x
Fernando F. Segovia,A new manifest destiny : the emerging theological voice of Hispanic Americans,Religious Studies Review,17,2,,1991,10.1111/j.1748-0922.1991.tb00078.x
,"Love One Another, My Friends: St. Augustine's Homilies on 1st John, (Notes on Recent Publications)",Religious Studies Review,17,2,166,1991,10.1111/j.1748-0922.1991.tb00079.x
,Review Essay,Religious Studies Review,22,2,95-134,1996,10.1111/j.1748-0922.1996.tb00312.x
B. Miller-McLemore,"From Bedlam to Shalom:  Toward a Practical Theology of Human Nature, Interpersonal Relationships and Mental Health Care",Religious Studies Review,27,4,374,2001,10.1111/j.1748-0922.2001.tb00375.x
B. Miller-McLemore,Psychology for Christian Ministry,Religious Studies Review,30,1,36-37,2004,10.1111/j.1748-0922.2004.tb00395.x
Jay Geller,Book Review of Sex and Character: An Investigation of Fundamental Principles – By Otto Weininger,Religious Studies Review,34,1,34,2008,10.1111/j.1748-0922.2008.00238.x
,The evangelical conversion narrative: spiritual autobiography in early modern England,Religious Studies Review,,,,2009,10.1111/j.1748-0922.2009.01322_2.x
,Invocation and assent: the making and remaking of trinitarian theology,Religious Studies Review,35,4,254-255,2009,10.1111/j.1748-0922.2009.01381_61.x
,Elaborating Faith,Journal of Religious Ethics,45,2,,2017,10.1111/jore.12176
,“The Passage from Mind to Heart is so Long …”: The Riddle of “Repetition” and Kierkegaard's Ontology of Agency,Modern Theology,33,1,91-122,2015,10.1111/moth.12114
,"Improvising the Paradigms: Aquinas, Creation and the Eternal Ideas as Anti-Platonic Ontology",Modern Theology,32,4,594-621,2016,10.1111/moth.12281
Sandra L. Baners,Chinese Megachurch Persecution: Application of an Indigenous Resource Framework,International Journal of Social Science Studies,1,1,22-36,2013,10.11114/ijsss.v1i1.12
,"Gender, Judaism, and literature: unwelcome guests in household configurations",Biblical Interpretation,11,2,239-246,2003,10.1163/156851503765661294
Herbert Maubury,Character Ethics and the Old Testament: Moral Dimensions of Scripture,Biblical Interpretation,16,4,383-385,2008,10.1163/156851508X306994
,Postcolonial Biblical Criticism: Critiques and Challenges,Biblical Interpretation,19,1,,2011,10.1163/156851510X524494
,"Second Temple Judaism, Jesus and Women : Yeast of Eden",Biblical Interpretation,2,1,8-33,1994,10.1163/156851594X00024
,The Emerging Project of Asian Biblical Hermeneutics : Reading Asian Readers,Biblical Interpretation,2,3,,1994,10.1163/156851594X00169
,Postcolonialism and Comparative Analysis in Biblical Studies,Biblical Interpretation,7,2,,1999,10.1163/156851599X00119
,Text Critical Notes on 4QJoba,Dead Sea Discoveries,22,2,189-201,2015,10.1163/15685179-12341350
Jay Geller,En jeu: Lincoln logs or pick-up sticks,Method & Theory in the Study of Religion,17,1,18-26,2005,10.1163/1570068053429875
Jay Geller,Table Dancing in an Opium Den: Marx’s Conjuration of Criticism out of “Criticism of Religion” in 1844,Method and Theory in the Study of Religion,26,1,3-21,2014,10.1163/15700682-12341263
,"Christian Faith and the Study of the Historical Jesus: A Response to Bock, Keener, and Webb",Journal for the Study of the Historical Jesus,9,1,96-106,2011,10.1163/174551911X601153
,"Jesus of Nazareth Yesterday and Today, V 5: An Evolutionary Approach to Jesus of Nazareth",Interpretation,44,3,314,1990,10.1177/002096430004400325
