FACULTY,title,doi,BOOK TITLE,YEAR,PUBLISHER,,
James P. Byrd,Cursed Be He that Keepeth Back his Sword from Blood,10.1093/acprof:oso/9780199843497.003.0004,"Sacred Scripture, Sacred War: The Bible and the American Revolution",2013,Oxford University Press,,
James P. Byrd,"Teacheth My Hands to War, and My Fingers to Fight",10.1093/acprof:oso/9780199843497.003.0005,"Sacred Scripture, Sacred War: The Bible and the American Revolution",2013,Oxford University Press,,
James P. Byrd,The Liberty wherewith Christ hath Made Us Free,10.1093/acprof:oso/9780199843497.003.0006,"Sacred Scripture, Sacred War: The Bible and the American Revolution",2013,Oxford University Press,,
James P. Byrd,The Fierceness and Wrath of Almighty God,10.1093/acprof:oso/9780199843497.003.0007,"Sacred Scripture, Sacred War: The Bible and the American Revolution",2013,Oxford University Press,,
James P. Byrd,Epilogue,10.1093/acprof:oso/9780199843497.003.0008,"Sacred Scripture, Sacred War: The Bible and the American Revolution",2013,Oxford University Press,,
James P. Byrd,,10.1093/oso/9780190902797.001.0001,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,Introduction,10.1093/oso/9780190902797.003.0001,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,His Terrible Swift Sword,10.1093/oso/9780190902797.003.0002,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,The Stone Which the Builders Rejected,10.1093/oso/9780190902797.003.0003,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,The Red Sea of War,10.1093/oso/9780190902797.003.0004,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,This Second War I Consider Equally as Holy as the First,10.1093/oso/9780190902797.003.0005,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,A Covenant of Death,10.1093/oso/9780190902797.003.0006,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,Trust in Providence and Keep Yoru Powder Dry,10.1093/oso/9780190902797.003.0007,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,A Holy Baptism of Fire and Blood,10.1093/oso/9780190902797.003.0008,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,Welcome to the Ransomed,10.1093/oso/9780190902797.003.0009,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,Without Shedding of Blood Is No Remission,10.1093/oso/9780190902797.003.0010,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,The Sword of the Lord,10.1093/oso/9780190902797.003.0011,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,We Cannot Escape History,10.1093/oso/9780190902797.003.0012,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,Of One Blood All Nations,10.1093/oso/9780190902797.003.0013,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,These Dead Have Not Died in Vain,10.1093/oso/9780190902797.003.0014,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,Cursed Be He that Keepeth Back his Sword from Blood,10.1093/oso/9780190902797.003.0015,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,Woe to that Man By Whom the Offense Cometh,10.1093/oso/9780190902797.003.0016,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,Baptized in the Blood of their President,10.1093/oso/9780190902797.003.0017,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,Epilogue,10.1093/oso/9780190902797.003.0018,A Holy Baptism of Fire and Blood,2021,Oxford University Press,,
James P. Byrd,"Jonathan Edwards, War, and the Bible",10.1093/oso/9780190249496.003.0012,Jonathan Edwards and Scripture: Biblical Exegesis in British North America,2018,Oxford University Press,,
James P. Byrd,"The 'New World' of North America and Canada and the Globalization of Critical Biblical Scholarship,”",10.13109/9783666540219.171,"The Hebrew Bible / Old Testament: The History of Its Interpretation. Vol. III, From Modernism to Post-Modernism: the Nineteenth and Twentieth Centuries,",2013,Vandenhoeck & Ruprecht,,
Paul DeHart,On the contrary: Thomistic second thoughts on analogy and Trinity in Eberhard Jüngel,10.5040/9780567659644.ch-004,Indicative of Grace – Imperative of Freedom: Essays in Honor of Eberhard Jünge,2014,T&T Clark,,
Paul DeHart,Absolute Dependence or Infinite Desire? Comparing Soteriological Themes in Schleiermacher and Kierkegaard,10.1515/9783110199642.3.561,Schleiermacher und Kierkegaard: Subjektivität und Wahrheit / Subjectivity and Truth,2006,De Gruyter,,
Paul DeHart,,10.5040/9780567698728,Creation and Transcendence: Theological Essays on the Divine Sublime,2021,Bloomsbury,,
Paul DeHart,Introduction,10.5040/9780567698728-006,Creation and Transcendence: Theological Essays on the Divine Sublime,2021,Bloomsbury,,
Paul DeHart,Can Pascal Forgive Descartes? God's Ambiguous Infiinity,10.5040/9780567698728.ch-001,Creation and Transcendence: Theological Essays on the Divine Sublime,2021,Bloomsbury,,
Paul DeHart,Absolute Dependence or Infinite Desire? Comparing Soteriological Themes in Schleiermacher and Kierkegaard,10.5040/9780567698728.ch-002,Creation and Transcendence: Theological Essays on the Divine Sublime,2021,Bloomsbury,,
Paul DeHart,The Passage from Mind to Heart is So Long: Kierkegaard's Repetition and the Ontology of Agency,10.5040/9780567698728.ch-003,Creation and Transcendence: Theological Essays on the Divine Sublime,2021,Bloomsbury,,
Paul DeHart,f(S)I-s: The Instance of Pattern in Kathryn Tanner's Theology,10.5040/9780567698728.ch-004,Creation and Transcendence: Theological Essays on the Divine Sublime,2021,Bloomsbury,,
Paul DeHart,On the contrary: Thomistic second thoughts on analogy and Trinity in Eberhard Jüngel,10.5040/9780567698728.ch-005,Creation and Transcendence: Theological Essays on the Divine Sublime,2021,Bloomsbury,,
Paul DeHart,John Milbank's Divine Comedy: Not Funny Enough,10.5040/9780567698728.ch-006,Creation and Transcendence: Theological Essays on the Divine Sublime,2021,Bloomsbury,,
Paul DeHart,"Nothing in This Book is True, But It's Exactly How Things Are",10.5040/9780567698728.ch-007,Creation and Transcendence: Theological Essays on the Divine Sublime,2021,Bloomsbury,,
Paul DeHart,Eclipse of the Divine Mind: The Divine Ideas as Anti-Platonic Epistemology,10.5040/9780567698728.ch-008,Creation and Transcendence: Theological Essays on the Divine Sublime,2021,Bloomsbury,,
Paul DeHart,The Creature Makes Itself: The Divine Ideas as Anti-Platonic Soteriology,10.5040/9780567698728.ch-009,Creation and Transcendence: Theological Essays on the Divine Sublime,2021,Bloomsbury,,
Paul DeHart,Improvising the Paradigms: The Divine Ideas as Anti-Platonic Ontology,10.5040/9780567698728.ch-0010,Creation and Transcendence: Theological Essays on the Divine Sublime,2021,Bloomsbury,,
Juan Floyd-Thomas,,10.1057/9780230615823,The Origins of Black Humanism in America: Reverend Ethelred Brown and the Unitarian Church,2008,Palgrave Macmillan,,
Juan Floyd-Thomas,Introduction,10.1057/9780230615823_1,The Origins of Black Humanism in America: Reverend Ethelred Brown and the Unitarian Church,2008,Palgrave Macmillan,,
Juan Floyd-Thomas,Poor Pilgrim of Sorrow: Rev. Ethelred Brown and the Roots of Black Humanism in Harlem,10.1057/9780230615823_2,The Origins of Black Humanism in America: Reverend Ethelred Brown and the Unitarian Church,2008,Palgrave Macmillan,,
Juan Floyd-Thomas,"Building the Church of Tomorrow: Race, Religion, and Social Thought in the Harlem Unitarian Church",10.1057/9780230615823_3,The Origins of Black Humanism in America: Reverend Ethelred Brown and the Unitarian Church,2008,Palgrave Macmillan,,
Juan Floyd-Thomas,"Against Principalities, Against Powers: Racial Uplift and Working-Class Radicalism in the Harlem Unitarian Church",10.1057/9780230615823_4,The Origins of Black Humanism in America: Reverend Ethelred Brown and the Unitarian Church,2008,Palgrave Macmillan,,
Juan Floyd-Thomas,In the Shadow of Egypt: Racial Consciousness and Pan-Caribbean Nationalism in the Harlem Unitarian Church,10.1057/9780230615823_5,The Origins of Black Humanism in America: Reverend Ethelred Brown and the Unitarian Church,2008,Palgrave Macmillan,,
Juan Floyd-Thomas,The Price We Pay: The Demise of the Harlem Unitarian Church,10.1057/9780230615823_6,The Origins of Black Humanism in America: Reverend Ethelred Brown and the Unitarian Church,2008,Palgrave Macmillan,,
Juan Floyd-Thomas,A Unique and Significant Religious Experiment: Rev. Ethelred Brown and the Legacy of Black Humanism,10.1057/9780230615823_7,The Origins of Black Humanism in America: Reverend Ethelred Brown and the Unitarian Church,2008,Palgrave Macmillan,,
Juan Floyd-Thomas,Liberation in African American Theology”,10.1093/oxfordhb/9780199755653.013.0014,Oxford Handbook of African American Theology,2014,Oxford University Press,,
Juan Floyd-Thomas,"“Economic Justice, and Globalization in Black Church Studies: Confronting the ‘Malignant Kinship’ in the Post-Civil Rights Era",10.1057/9781137534552_26,The Black Church Studies Reader,2015,Palgrave Macmillan,,
Juan Floyd-Thomas,,10.5040/9781350041073,Religion in the Age of Obama,2018,Bloomsbury,,
Juan Floyd-Thomas,Introduction,10.5040/9781350041073.0006,Religion in the Age of Obama,2018,Bloomsbury,,
Juan Floyd-Thomas,Black Prophetic Discourse and Just War Theory in the Age of Obama,10.5040/9781350041073.0016,Religion in the Age of Obama,2018,Bloomsbury,,
Juan Floyd-Thomas,"‘Lest We Be Scattered Abroad’: Nimrod, Marcus Garvey, and Black Religious Humanism in Harlem",10.1057/9780230610507_5,African American Religious Life and the Story of Nimrod,2007,Palgrave Macmillan,,
Stacey Floyd-Thomas,"A Field of Study as a Field of Dreams: The Contours of Black Church Studies,”",10.1057/9781137534552_5,Black Church Studies Reader,2016,Palgrave Macmillan,,
Stacey Floyd-Thomas,"I am Black and Beautiful, O Ye Daughters of Jerusalem...’: African American Virtue Ethics and a Womanist Hermeneutics of Redemption",10.1057/9780230610507_4,African American Religious Life and the Story of Nimrod,2007,Palgrave Macmillan,,
Stacey Floyd-Thomas,Religious Thought: Womanist,10.4135/9781608712427.n332,"Encyclopedia of Religion in America, (",2010,CQ Press,,
Jaco J. Hamman,,10.2307/j.ctv1khdp3t,"Just Traveling: God, Leaving Home, and a Spirituality for the Road",2021,Fortress Press,,
Jaco J. Hamman,Traveling: A Paradoxical Practice,10.2307/j.ctv1khdp3t.5,"Just Traveling: God, Leaving Home, and a Spirituality for the Road",2021,Fortress Press,,
Jaco J. Hamman,"Anticipating Planning, Expecting, and Leaving Home",10.2307/j.ctv1khdp3t.6,"Just Traveling: God, Leaving Home, and a Spirituality for the Road",2021,Fortress Press,,
Jaco J. Hamman,Chapter 2 SURRENDERING Longing for Letting Go and Renewal,10.2307/j.ctv1khdp3t.7,"Just Traveling: God, Leaving Home, and a Spirituality for the Road",2021,Fortress Press,,
Jaco J. Hamman,Chapter 3 MEETING Overcoming Distance and Celebrating Difference (pp. 41-66),10.2307/j.ctv1khdp3t.8,"Just Traveling: God, Leaving Home, and a Spirituality for the Road",2021,Fortress Press,,
Jaco J. Hamman,Chapter 4 CARING Redeeming Privileged Irresponsibility and Building Solidarity,10.2307/j.ctv1khdp3t.9,"Just Traveling: God, Leaving Home, and a Spirituality for the Road",2021,Fortress Press,,
Jaco J. Hamman,Chapter 5 RETURNING Remembering Faithfully and Maintaining Relationships,10.2307/j.ctv1khdp3t.10,"Just Traveling: God, Leaving Home, and a Spirituality for the Road",2021,Fortress Press,,
Jaco J. Hamman,WE ARE HOMO ERRABUNDUS Walking with the Earthroamer,10.2307/j.ctv1khdp3t.11,"Just Traveling: God, Leaving Home, and a Spirituality for the Road",2021,Fortress Press,,
Jaco J. Hamman,Playing,10.1002/9781444345742.ch3,The Blackwell companion to practical theology,2011,Blackwell Wiley Press,,
Forest Harris,"Theology, Praxis, and Leadership: Paradigm for Black Churches,",10.5040/9780567675477.ch-024,"T&T Clark Handbook of African American Theology,",2019,T&T Clark,,
Forest Harris,Pursuing American Racial Justice and a Politically and Theologically Informed Black Church Praxis,10.14325/mississippi/9781628462005.003.0010,"Post-Racialism and Conflicted Churches in the United States and South Africa,",2015,,,
James Hudnut-Beumler,,10.5149/northcarolina/9781469640372.001.0001,Strangers and Friends at the Welcome Table: Contemporary Christianities in the American South,2018,university of north carolina press,,
James Hudnut-Beumler,Christianities in the Now South,10.5149/northcarolina/9781469640372.003.0001,Strangers and Friends at the Welcome Table: Contemporary Christianities in the American South,2018,university of north carolina press,,
James Hudnut-Beumler,"1 I Was Hungry, and You Gave Me Something to Eat",10.5149/northcarolina/9781469640372.003.0002,Strangers and Friends at the Welcome Table: Contemporary Christianities in the American South,2018,university of north carolina press,,
James Hudnut-Beumler,"2 The Religion of the Lost Cause, Reloaded",10.5149/northcarolina/9781469640372.003.0003,Strangers and Friends at the Welcome Table: Contemporary Christianities in the American South,2018,university of north carolina press,,
James Hudnut-Beumler,"3 Rattlesnakes, Holiness, and the Nearness of the Holy Spirit",10.5149/northcarolina/9781469640372.003.0004,Strangers and Friends at the Welcome Table: Contemporary Christianities in the American South,2018,university of north carolina press,,
James Hudnut-Beumler,4 Washed in the Blood in the Red States,10.5149/northcarolina/9781469640372.003.0005,Strangers and Friends at the Welcome Table: Contemporary Christianities in the American South,2018,university of north carolina press,,
James Hudnut-Beumler,5 Our Church Is Cleaning Up after Katrina,10.5149/northcarolina/9781469640372.003.0006,Strangers and Friends at the Welcome Table: Contemporary Christianities in the American South,2018,university of north carolina press,,
James Hudnut-Beumler,6 Mississippi Flooding,10.5149/northcarolina/9781469640372.003.0007,Strangers and Friends at the Welcome Table: Contemporary Christianities in the American South,2018,university of north carolina press,,
James Hudnut-Beumler,7 Megachurches and the Reinvention of Southern Church Life,10.5149/northcarolina/9781469640372.003.0008,Strangers and Friends at the Welcome Table: Contemporary Christianities in the American South,2018,university of north carolina press,,
James Hudnut-Beumler,8 The Changing Face of the Catholic South,10.5149/northcarolina/9781469640372.003.0009,Strangers and Friends at the Welcome Table: Contemporary Christianities in the American South,2018,university of north carolina press,,
James Hudnut-Beumler,9 Christian Homeschoolers,10.5149/northcarolina/9781469640372.003.0010,Strangers and Friends at the Welcome Table: Contemporary Christianities in the American South,2018,university of north carolina press,,
James Hudnut-Beumler,"10 Southern, Christian, and Gay",10.5149/northcarolina/9781469640372.003.0011,Strangers and Friends at the Welcome Table: Contemporary Christianities in the American South,2018,university of north carolina press,,
James Hudnut-Beumler,Conclusion Southern Christianities in Harmony and Conflict,10.5149/northcarolina/9781469640372.003.0012,Strangers and Friends at the Welcome Table: Contemporary Christianities in the American South,2018,university of north carolina press,,
James Hudnut-Beumler,,10.7312/hudn18360,The Future of Mainline Protestantism,2018,columbia University Press,,
James Hudnut-Beumler,Introduction,10.7312/hudn18360-002,,,columbia University Press,,
James Hudnut-Beumler,Conclusion: The Quakerization of Mainline Protestantism,10.7312/hudn18360-008,,,columbia University Press,,
James Hudnut-Beumler,Afterword,10.1093/oso/9780190280192.001.0001,r The Business Turn in American Religious History,2017,oxford University Press,,
James Hudnut-Beumler,Economics,10.1002/9781444324082.ch8,The Blackwell Companion to Religion in America,2010,Wiley,,
James Hudnut-Beumler,Suburbanization and Religion,10.1017/chol9780521871082.006,The Cambridge History of Religions in America,2009,Cambridge University press,,
Paul Lim,,10.1093/acprof:oso/9780195339468.001.0001,Mystery Unveiled: The Crisis of the Trinity in Early Modern England.,2012,oxford University Press,,
Paul Lim,Introduction,10.1093/acprof:oso/9780195339468.003.0008,Mystery Unveiled: The Crisis of the Trinity in Early Modern England.,2012,oxford University Press,,
Paul Lim,"1 Rescuing Scripture from Popery, Reclaiming Mystery from Presbytery: Antitrinitarian Theology and Trajectory of Paul Best and John Biddle",10.1093/acprof:oso/9780195339468.003.0002,Mystery Unveiled: The Crisis of the Trinity in Early Modern England.,2012,oxford University Press,,
Paul Lim,2 Antinomian and Antitrinitarian? The Fate of the Trinity between1640 and 1660,10.1093/acprof:oso/9780195339468.003.0002,Mystery Unveiled: The Crisis of the Trinity in Early Modern England.,2012,oxford University Press,,
Paul Lim,"3 Many Weapons, One Aim: Trinitarian Reactions to John Biddle in Context",10.1093/acprof:oso/9780195339468.003.0003,Mystery Unveiled: The Crisis of the Trinity in Early Modern England.,2012,oxford University Press,,
Paul Lim,4 Polemical and Practical? The Trinitarian Spirituality of Francis Cheynell and John Owen in Context,10.1093/acprof:oso/9780195339468.003.0004,Mystery Unveiled: The Crisis of the Trinity in Early Modern England.,2012,oxford University Press,,
Paul Lim,"5 Bishops Behaving Badly? Hobbes, Baxter, and Marvell on the Problem of Conciliar History and the Nature of Heresy",10.1093/acprof:oso/9780195339468.003.0005,Mystery Unveiled: The Crisis of the Trinity in Early Modern England.,2012,oxford University Press,,
Paul Lim,6 Platonic Captivity or Sublime Mystery? The Trinity and the Gospel of John in Early Modern England,10.1093/acprof:oso/9780195339468.003.0006,Mystery Unveiled: The Crisis of the Trinity in Early Modern England.,2012,oxford University Press,,
Paul Lim,Conclusion,10.1093/acprof:oso/9780195339468.003.0007,Mystery Unveiled: The Crisis of the Trinity in Early Modern England.,2012,oxford University Press,,
Paul Lim,,10.1163/9789047405214,"In Pursuit of Purity, Unity, and Liberty",2004,Brill,,
Paul Lim,"Chapter One: Historiographical Introduction, Methodology, and Structure",10.1163/9789047405214_005,"In Pursuit of Purity, Unity, and Liberty",2004,Brill,,
Paul Lim,Chapter Two: Conversion and Catechizing: Preaching and Reform of the True Church,10.1163/9789047405214_006,"In Pursuit of Purity, Unity, and Liberty",2004,Brill,,
Paul Lim,Chapter Three: Reforming the Entrance into the Visible Church: Baptism and Confirmation,10.1163/9789047405214_007,"In Pursuit of Purity, Unity, and Liberty",2004,Brill,,
Paul Lim,Chapter Four: Between Holy Fast and Unholy Feast: Baxter’s Eucharistic Thought in Context,10.1163/9789047405214_008,"In Pursuit of Purity, Unity, and Liberty",2004,Brill,,
Paul Lim,Chapter Five: The Pursuit of Purity in Unity: The Worcestershire Association and the Rhetoric of Partial Conformity,10.1163/9789047405214_009,"In Pursuit of Purity, Unity, and Liberty",2004,Brill,,
Paul Lim,"Chapter Six: Sola Scriptura, Socinianism, Antinomianism, and Doctrinal Unity in Primitive Purity",10.1163/9789047405214_010,"In Pursuit of Purity, Unity, and Liberty",2004,Brill,,
Paul Lim,Chapter Seven: In Pursuit of Liberty: The Grotian Religion and the “True” History of Puritanism,10.1163/9789047405214_011,"In Pursuit of Purity, Unity, and Liberty",2004,Brill,,
Paul Lim,Chapter Eight Conclusion,10.1163/9789047405214_012,"In Pursuit of Purity, Unity, and Liberty",2004,Brill,,
Paul Lim,"But to know it as we should do’: Enthusiasm, Historicizing of the Charismata, and Cessationism in Enlightenment England",10.2307/j.ctvpj7bgb.14,"The Spirit, the Affections, and the Christian Tradition",2016,University of Notre Dame Press,,
Paul Lim,"Herbert, Edward (Lord of Cherbury)",10.1515/ebr.herbertedwardlordofcherbury,Encyclopedia of the Bible and Its Reception,2009,De Gruyter,,
Paul Lim,James I (King of England),10.1515/ebr.jamesikingofengland,,,,,
