key,reason,item_type,isbn,issn,publication_title,publication_year,author,title
TBGG6N2P,Article or chapter without published_in.,journalArticle,,0989-5671,NABU: Nouvelles assyriologiques Brèves et Utilitaires,1987,"Sasson, Jack M.",Yasmakh-Addu’s letter to God (ARM I:3)
7KI9ZJ5G,Article or chapter without published_in.,journalArticle,,0989-5672,NABU: Nouvelles assyriologiques Brèves et Utilitaires,1987,"Sasson, Jack M.",ARM X 97
3K5EUSTE,Article or chapter without published_in.,journalArticle,,0989-5674,NABU: Nouvelles assyriologiques Brèves et Utilitaires,1987,"Sasson, Jack M.","ARM IV, 20"
QAKIIKSU,Article or chapter without published_in.,journalArticle,,0989-5675,NABU: Nouvelles assyriologiques Brèves et Utilitaires,1987,"Sasson, Jack M.",A Satisfying Oath
47U34WV2,Article or chapter without published_in.,journalArticle,,0989-5675,NABU: Nouvelles assyriologiques Brèves et Utilitaires,1989,"Sasson, Jack M.",Zimri-Lim's Letter to Tish-ulme
UF7UK9R6,Article or chapter without published_in.,journalArticle,,0989-5676,NABU: Nouvelles assyriologiques Brèves et Utilitaires,1992,"Sasson, Jack M.",Time is Pressing
ZUBV7G79,Article or chapter without published_in.,journalArticle,,1062-7170,Faultline,1992,"Geller, Jay",Blood Sin: Syphilis and the Construction of Jewish Identity
BNG4BSYV,Article or chapter without published_in.,journalArticle,,1099-0046,Review of Biblical Literature,2020,"Levine, Amy-Jill",Review of The Appropriation of Passover in Luke-Acts
683VHBAU,Article or chapter without published_in.,journalArticle,,1220-630X,Keresztény Szó,2007,"Morrill, Bruce T.",Liturgia és	etika: a keresztény élet mint Isten dicsérete
NMIVRKPV,Article or chapter without published_in.,journalArticle,,1710-1409,Bearings,2015,"Miller-McLemore, Bonnie J.",In Defense of Practical Theological Knowledge
XWWHGXFU,Article or chapter without published_in.,journalArticle,,1832-1976,Dialogue Australasia: a journal for teachers of religious and values education.,2014,"Levine, Amy-Jill","Parables, Prodigals, and Pedagogy"
L9QPNLAT,Article or chapter without published_in.,journalArticle,,1911-754X,VIVRE ET CÉLÉBRER,2020,"Morrill, Bruce T.",Des modèles de mémoire liturgique
PMB56QPJ,Article or chapter without published_in.,journalArticle,,1939-5299,Lifelong Faith: the theory and practice of lifelong faith formation,2007,"Miller-McLemore, Bonnie J.",The Rule of Family Faith: Practicing the Presence of God in Our Outward Lives
F5Q9B7M8,Article or chapter without published_in.,journalArticle,,2156-4329,The Spire,2003,"Flesberg, Evon",At the bedside: Perspectives on the good death. Interview and article by Victor Judge
CI7CSG37,Article or chapter without published_in.,journalArticle,,2156-4329,The Spire,2001,"Sasson, Jack M.",The Road to Vanderbilt
65HERHWL,Article or chapter without published_in.,journalArticle,,1436-607X,Unterwegs,2001,"Rieger, Jeorg",Was tut Jesus heute?
M97FWTDD,Article or chapter without published_in.,journalArticle,,,"Religion and Culture Web Forum, University of Chicago, Divinity School",2011,"Geller, Jay","On Eliza Slavet’s ‘Freud’s Theory of Jewishness,’"
3T7UD8MB,Article or chapter without published_in.,journalArticle,,2333-0961,National Havurah Committee weekly column,1990,"Levine, Amy-Jill",Parshat Vayishlach [Gen. 32:4-36:43]: The Rape of Dinah
D4FXZS5T,Article or chapter without published_in.,journalArticle,,2473-5000,C21 Resources: A Catalyst and Resource for the Renewal of the Catholic Church,2012,"Morrill, Bruce T.",Anointing as Pastoral-Sacramental Ministry to the Sick
TEZ8T596,Article or chapter without published_in.,journalArticle,,,Neue Wege,2018,"Rieger, Joerg",Kein Imperium ist Endgültig
RA4SI64W,Article or chapter without published_in.,journalArticle,,2642-6978,The Clergy Journal,2011,"Rieger, Jeorg","Theology, Economics, and the Future"
y,second try,,,,,,,
