qid,label_en,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_statedIn,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec
Q1167163,Das Argument,3696D1F6-8C45-400F-A4D2-E8DC3787E643,Q1002697,,,,,,
Q1167163,Das Argument,fdb76f32-46ce-277a-0582-1551320ab89a,Q737498,,,,,,
Q11956877,Acta ad Archaeologiam et Artium Historiam Pertinentia,5BA8732E-E6EF-450F-A047-ACB0DB1B49E1,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q11956877,Acta ad Archaeologiam et Artium Historiam Pertinentia,6DFD85DD-0DF2-4E2B-A41E-2A1B7BCD8D51,Q737498,,,,,,
Q1273053,Journal of Cuneiform Studies,3790FB5D-1124-4CCC-9563-12E8B0748C67,Q627517,,,,,,
Q1381202,Evangelische Theologie,A42D7D00-2D2F-4F35-ACCE-709A732AFDAD,Q1002697,,,,,,
Q1381202,Evangelische Theologie,ef3f3208-491c-51f7-fbbc-290aa1a29349,Q737498,,,,,,
Q1514304,Journal of Homosexuality,0625AA12-5481-43F1-BA59-E257E9023D1E,Q5633421,,,,,,
Q1514304,Journal of Homosexuality,97AED8E4-8C41-40CA-9B74-F5A09754A79A,Q16024164,,,,,,
Q15707062,Journal of American History,3148E844-D2E4-42DE-B940-343915658BD5,Q627517,,,,,,
Q15707782,Journal of Early Christian Studies,0DFBF7F4-FA31-4F59-A500-65049DAD7D04,Q737498,,,,,,
Q15710058,Studies in Iconography,ECAA1EEF-B348-4796-B006-2DBF1F32A4A1,Q627517,,,,,,
Q15710058,Studies in Iconography,4b382aed-4159-bac1-377a-2367bc09fe6d,Q737498,,,,,,
Q15710071,Journal of the American Academy of Religion,6001D5EF-49B7-4F5D-8040-1AE433FCB2E5,Q737498,,,,,,
Q15710137,Review & Expositor,D1B16B22-8195-4ECD-8A92-2DAB8AA0AD52,Q5633421,,,,,,
Q15710287,Toronto Journal of Theology,3DDF789D-C2D5-4727-9E69-55C800190ACD,Q737498,,,,,,
Q15716275,Neue Zeitschrift fuer Systematische Theologie und Religionsphilosophie,8449F2E1-2065-4E2A-AEEA-4DB71DFE4D1E,Q737498,,,,,,
Q15716311,Sixteenth Century Journal,F1ABA23A-B27B-4B3C-8304-DC0ABA1BDF13,Q627517,,,,,,
Q15716311,Sixteenth Century Journal,ba815a98-413c-f930-f4e1-f4127c755d2a,Q737498,,,,,,
Q15716423,Philosophy Today,41526136-CC12-4047-84BB-276E638268CB,Q737498,,,,,,
Q15716491,Union Seminary Quarterly Review,097704e9-4a8e-6750-08a9-b7f1c03c5114,Q737498,,,,,,
Q15716523,Fides et Historia,61594181-1302-4647-8BF9-FF937257675C,Q627517,,,,,,
Q15716715,Notre Dame Philosophical Reviews,371E5DDE-6049-49EE-810D-7AB5BB8E12A1,Q737498,,,,,,
Q15724368,Intercultural Theology: Journal of Mission Studies,C9AC78A6-199B-4BE0-BCF7-1E27B1F75E98,Q1002697,,,,,,
Q15724368,Intercultural Theology: Journal of Mission Studies,8f020dc8-4094-1ce0-22c8-bfc76e38a10e,Q737498,,,,,,
Q15724475,Praktische Theologie,8D8E24E0-314E-4674-A666-A26D8706588B,Q41298,394f33a0562cc3bf7c124a0da07839cdd7af6e8d,Q186844,,,,
Q15746149,Maarav: a journal for the study of the Northwest Semitic languages and literatures,110FE324-2144-4172-80AB-FCEA0A3AC048,Q737498,,,,,,
Q15746151,Mission Studies,1F4BA1DF-9C27-44BB-9E50-9DB88ABF0C72,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15746151,Mission Studies,c232833b-4bb4-1804-2335-0d3e4dc6dd15,Q737498,,,,,,
Q15746447,The Bible Today,C00CDF4C-DD0E-42B3-8C43-594569C8B670,Q737498,,,,,,
Q15749151,Berliner Theologische Zeitschrift,A87E87A5-F6A9-4BFC-89BC-54A5A861B8F3,Q737498,,,,,,
Q15749660,Religion Compass,5F932FD0-87F4-4B61-85B1-92A22803EAFA,Q737498,,,,,,
Q15749979,Questions Liturgiques,AFD8338B-B924-45FE-A13A-E8585B980E67,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15749979,Questions Liturgiques,CB20BEAC-0063-4B1F-B841-A0215079EC58,Q737498,,,,,,
Q15750019,Journal of Feminist Studies in Religion,1AF9FE8F-7D85-41C2-901F-CCDE8751CDC6,Q737498,,,,,,
Q15750632,Issues in Integrative Studies: an interdisciplinary journal,71E66558-6D66-43BA-9678-1423751125CC,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15750752,Journal of Presbyterian History,581018B0-4359-4DB2-81CF-125C398786C3,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15750752,Journal of Presbyterian History,b101416f-4676-a4ec-5fae-8b819c2f8fc8,Q737498,,,,,,
Q15751172,"Race, Ethnicity and Education",127EC1F3-BBF5-4FE5-895C-10F3BD50F322,Q737498,,,,,,
Q15751172,"Race, Ethnicity and Education",49B9C256-464D-49EA-899B-6E46CEB6D5A7,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15752096,Sociological Spectrum: official journal of the Mid-South Sociological Association,6D989F81-938E-4466-9D70-BD90DED7576E,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15752279,Worship,C0D14515-0DEC-49FD-9B8F-5D297CB4CCD4,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15752279,Worship,3c031c3c-4e96-5952-a7db-9805e0b5f22e,Q737498,,,,,,
Q15753036,Meridians,09CEA96B-D04A-4EA4-9B3B-814AB1B6C4C2,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15753228,Families in Society: the journal of contemporary social services,E96F1277-87DF-4218-8EBD-852C08779511,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15753491,Journal of Refugee Studies,CBDF7AC3-4738-4E1E-BDC2-C69DC2A71206,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15753618,Pastoral Liturgy,390B4971-F779-46BC-AE23-D0CE3983E90D,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15753618,Pastoral Liturgy,4e532a3a-4ce0-14f2-d43d-e3c320dd59d7,Q737498,,,,,,
Q15753676,Nashim,D9F0AFFE-78E0-4686-A74F-67904C82ECE2,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15753676,Nashim,601dc45b-4384-766c-4b31-3e5c8d3253b8,Q737498,,,,,,
Q15753706,Journal of Pastoral Care and Counseling,AE20554C-126C-4BFB-A4FB-7F43A4C5147B,Q685935,,,,,,
Q15753706,Journal of Pastoral Care and Counseling,BDBD2BB0-1F35-4217-B57D-E417B7D6C1DC,Q737498,,,,,,
Q15753995,Anglican Theological Review,979F2082-D33B-403C-B43A-2335553C6EB0,Q737498,,,,,,
Q15754071,Norwegian Theological Journal,368BE909-CD1E-4204-BA28-0DC5570D4EB4,Q737498,,,,,,
Q15754229,Clio,683A6D92-905B-4FC1-9302-3C9790B70859,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15754229,Clio,d85b5193-4c23-f721-c48a-3cea8b17164a,Q737498,,,,,,
Q15754347,Dead Sea Discoveries,7DB239D2-6371-48F6-B10B-6C7710DD14F9,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15754347,Dead Sea Discoveries,fd40bb71-4329-cbc2-814e-8968a26c5edd,Q737498,,,,,,
Q15754681,Horizons in Biblical Theology,717BF0F1-11B7-4E18-82D5-A1FB26DD3CFA,Q737498,,,,,,
Q15754869,Journal of the Kafka Society of America,9B3161D2-9313-41B8-B689-FDA4B0FEE8A5,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15754869,Journal of the Kafka Society of America,2d6e683b-4d59-f7c1-4459-1a2f5ec73199,Q737498,,,,,,
Q15754942,American Journal of Theology and Philosophy,2CA54E40-2E97-4D5A-98AF-F445B278CA05,Q737498,,,,,,
Q15755002,Political Theology,B46566B2-0A27-4D21-B4BA-452C1A205229,Q737498,,,,,,
Q15755037,Jewish Social Studies,878D5F21-22BB-4351-A8E4-D91112DE0DB2,Q737498,,,,,,
Q15755134,Theological Education,60AC1BF3-64BA-44FB-B625-9C15AA1072AD,Q737498,,,,,,
Q15755173,Virginia Magazine of History and Biography,B28E2879-7807-47D3-B1AC-37075FB19289,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15755173,Virginia Magazine of History and Biography,9ab66d20-41a8-8652-7e54-d852297ec6bc,Q737498,,,,,,
Q15755502,Journal of the Economic and Social History of the Orient,29d7f391-4f22-f1de-284d-54bf02017346,Q627517,,,,,,
Q15755502,Journal of the Economic and Social History of the Orient,412629CC-AC4D-443A-8B30-7A1DADFA9B7C,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15755506,Journal of Southern History,5147F08D-3496-4106-B3CF-EF783479D6DA,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15755591,Journal of African American Studies,9D8A6E70-1885-4E58-ABF9-9199AE182A54,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15755692,Journal of the European Society of Women in Theological Research,99948E12-C1AB-467E-B3CD-A7D6AE236E3B,Q737498,,,,,,
Q15755741,Biblische Zeitschrift,DC8DA2A5-B385-4508-8FCF-B899E6B764A5,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15755741,Biblische Zeitschrift,98fc3435-4056-bb49-61e6-96a43fd76c7a,Q737498,,,,,,
Q15755753,Journal of American Ethnic History,805ce1a1-422b-f9e2-a881-52cb3f28bc6b,Q737498,,,,,,
Q15755905,Studies in Philology,6331867C-6F5B-441E-9B7D-614A6538F444,Q737498,,,,,,
Q15756224,Forum for Social Economics,2AB26ABD-D26F-4101-9134-AA2AA6A23369,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15756224,Forum for Social Economics,be29a87e-4e69-f9c5-ba84-5b999487eb5f,Q737498,,,,,,
Q15756233,Journal for the History of Modern Theology,5055597F-D7C3-4EB4-9775-92A8076CBE1F,Q737498,,,,,,
Q15756294,Practical Theology,11E97024-9C01-4317-B877-C9C8574CA30A,Q737498,,,,,,
Q15756681,Journal of International Women's Studies,DF2909D1-B05C-4D46-819A-669183C511E8,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15757029,New Theology Review: an American Catholic journal for ministry,B9025A0E-6314-4846-B33F-AB00DB8AB703,Q737498,,,,,,
Q15757109,Transversalites: revue de l'Institut Catholique de Paris,64BCE05B-A6BF-4FD7-98DF-DFAB9EDFF136,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15757109,Transversalites: revue de l'Institut Catholique de Paris,0e678295-48db-f704-9f1b-a5111e7fd565,Q737498,,,,,,
Q15757115,La Maison - Dieu: revue de science liturgique,187660F6-CB71-4220-AB97-66AA2E5D045F,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15757115,La Maison - Dieu: revue de science liturgique,cd85e371-4ed7-58a7-0487-25406a27814e,Q737498,,,,,,
Q15757675,Journal of Poverty,39D41889-85A2-469F-BF9B-EE707478EA8C,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15757675,Journal of Poverty,0f5f6ef8-4ad2-2a8c-440f-4c8098552728,Q737498,,,,,,
Q15758293,Lutheran Quarterly,947A1BD2-6724-410B-AB4B-B8A2D8C4ADA0,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15758293,Lutheran Quarterly,e67cda07-41ec-ec2d-af8f-618edb72f680,Q737498,,,,,,
Q15758971,Proceedings of the Annual Meeting of the North American Academy of Liturgy,2D69AF97-D821-43DE-95F2-2F2FBF0A5CAB,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15758971,Proceedings of the Annual Meeting of the North American Academy of Liturgy,64b10f96-4256-dd2f-f04a-ba51c27b4991,Q737498,,,,,,
Q15759600,Enchoria,CEE7D74A-16E1-4EB8-8DFD-5652F396426B,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15759600,Enchoria,d8a7c868-41f6-71a0-eb40-243df05daffb,Q737498,,,,,,
Q15759659,Scriptura,5C4FA1B7-4D01-4E24-A238-FCD8F0AC333D,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15759659,Scriptura,0bbf07d2-4f15-b554-c9f0-a058792c4096,Q737498,,,,,,
Q15759717,Review of Politics,A3C798F2-297B-41B8-A44E-B51678E43752,Q737498,,,,,,
Q15759761,Journal of Ecumenical Studies,f9a72d04-4329-af24-bc7d-cf77e866766a,Q737498,,,,,,
Q15759788,Bibliotheca Orientalis,553B963F-F477-497B-82B6-DA9779E17317,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15759788,Bibliotheca Orientalis,cdaf2f32-4da8-472e-f63d-60278258c341,Q737498,,,,,,
Q15760054,"Black Women, Gender and Families",CF707286-0DBA-4919-8127-1B7E6D974D76,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15760154,Journal of Religious Ethics,674BC569-ACCB-4CB5-84D3-AAD422F8480A,Q737498,,,,,,
Q15760387,Studia Liturgica,1D86845B-B7FA-4BD8-B349-905790EC88AF,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15760387,Studia Liturgica,718bd3a4-4543-5fb0-bb1e-829e6c25e18a,Q737498,,,,,,
Q15760555,Hebrew Studies,7EB73295-608B-47CF-BEC3-AC3318A2F186,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15760555,Hebrew Studies,9c9b408c-4959-d5cc-7ae8-0ee5afec67e2,Q737498,,,,,,
Q15760865,Journal of Medieval and Early Modern Studies,A320B35F-7B75-4EC2-8FF9-CDFBD669CF64,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15760865,Journal of Medieval and Early Modern Studies,d6f49e8c-4357-54ea-601f-88d3f8522d95,Q737498,,,,,,
Q15761107,International Journal of Practical Theology,92DE30FF-E858-4C62-90EC-83825F4865CA,Q737498,,,,,,
Q15761170,Medievalia et Humanistica,FEC05D57-6E35-41EB-9410-EB3892557A73,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15761170,Medievalia et Humanistica,03d0e5db-4aae-b45a-f09e-f3654a8afadf,Q737498,,,,,,
Q15761734,Iraq,DA31967A-695E-489F-8B65-2A5062E367E0,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15761734,Iraq,eb1ad862-4dc5-1ec0-dc20-1862fc8eaf41,Q737498,,,,,,
Q15762030,Journal of Roman Archaeology,4874A986-3295-4EE1-BF49-4A7A6933940A,Q21834496,,,,,,
Q15762047,Review of Religious Research,34E7251F-2560-44A9-9B07-69725A16D67B,Q737498,,,,,,
Q15762062,Revue d'Assyriologie,7DDBB0C2-A1D5-4629-A678-E3ABAF377026,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15762263,positions,d7b96ade-413b-e6d7-e9c9-175caf84829a,Q737498,,,,,,
Q15762464,Ugarit-Forschungen,7C556B9D-DD87-4980-ACFC-D682FCD02021,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15762464,Ugarit-Forschungen,C9B7632F-FCC6-4059-953E-949D6A89BD65,Q41298,,,,,,
Q15762548,Ecumenical Review,1A25729F-E7BA-4A0E-8207-88A4FC7DD86D,Q73364223,1cd942c7976406acdf6e9c10c9498802bd31ea25,Q73539606,,,,
Q15762548,Ecumenical Review,20760FE6-651D-48AD-B808-B8918B4A8E2F,Q737498,43ec912f07d5065c548c57b504a5d40cac8baf2b,Q73539606,,,,
Q15762548,Ecumenical Review,944364C9-23EB-4BEA-966E-7353B879D6CE,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15763031,Modern Judaism,675D08EB-5691-48D5-9741-6A3D796862F8,Q737498,,,,,,
Q15763170,Review for Religious: living our Catholic legacies,84121AD2-287C-45D9-B43F-C00447F68D9A,Q737498,,,,,,
Q15763357,International Journal for Philosophy of Religion,289A2F5E-15CE-4937-9D65-A001B9C69484,Q737498,,,,,,
Q15763974,Review of Biblical Literature,7CF54B24-7309-469B-AB24-3BE52A9DE517,Q737498,,,,,,
Q15763977,Perspectives in Religious Studies,41339846-2099-4C73-B55A-A6A618DFCCEE,Q737498,,,,,,
Q15764166,Horizons,F887D4CA-905B-4705-8CA6-FB594540D19E,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15764166,Horizons,6998a2c9-47a6-644d-42a5-bc7a85263e83,Q737498,,,,,,
Q15764425,Sociology of Religion,5EE25FDE-B41B-4CBE-9999-7A0D7684FB16,Q737498,,,,,,
Q15764810,Prooftexts,6576319F-D9BB-403A-BCB7-C6F812D2F91D,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15764810,Prooftexts,610e96bc-43d9-ee7f-f4e8-5e6b03b52b2d,Q737498,,,,,,
Q15765278,Peace Studies Journal,024542F9-638C-4DAF-A1A9-8E8F2A0EA830,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15765278,Peace Studies Journal,57dd95a7-448c-bef1-c860-6cc945fa40d2,Q737498,,,,,,
Q15765352,Revue Biblique,17FA8264-C65C-461C-B1A5-961B384E2973,Q1791899,,,,,,
Q15765352,Revue Biblique,CD1323EC-CB11-4F09-852A-137E8B5F4DD0,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15765352,Revue Biblique,610a69b6-4c49-8b2b-0be1-84c9afb3503a,Q737498,,,,,,
Q15766254,Pastoral Psychology,B3C77C77-AB06-4CF0-A3A7-E2D28DD9CD15,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15766254,Pastoral Psychology,085d6df6-49e6-0d83-690d-265914bf4c6d,Q737498,,,,,,
Q15766683,Teaching Theology and Religion,253A97A5-C826-4E8E-99F7-95BE2AD0C759,Q737498,,,,,,
Q15766739,The Germanic Review,EA1EFBAE-4D31-4B1B-B427-A7A651005EB3,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15766750,Journal of Children and Poverty,09C3379E-8A44-4CC9-9068-B8B666F634CC,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15767078,Australian Biblical Review,F2360214-131A-4EF8-A800-F2BE10D2C02B,Q5633421,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15767078,Australian Biblical Review,d2942a18-4641-bdfa-4829-68f0d024f93f,Q737498,,,,,,
Q15767222,Theology and Sexuality,AA47FE3E-9B97-4602-BBE6-CA1622AA3078,Q737498,,,,,,
Q15767535,Journal of the Society of Christian Ethics,1323199E-0AB9-4F48-B40D-66EDF1806335,Q737498,,,,,,
Q15767635,Method and Theory in the Study of Religion,A70C7D66-B68B-46CE-9E2A-B2483778BC4B,Q737498,,,,,,
Q15816429,Dialog,9F074748-1F7C-4212-89F0-B93D77F53092,Q5633421,cb027ec1dd27a771321740db85c04f34345e3922,Q15794938,,,,
Q15816429,Dialog,34f5b6b2-4be8-4d06-9c0d-aa3429c5863b,Q737498,,,,,,
Q15816598,Homiletic,7B848631-DB3B-47F4-A1C4-5E403DB4C511,Q773668,8e5f09a1a49b288f62d525d91627031205aab861,Q56229420,,28774a17478d3824b16f5f6650893f6f,2019-11-07T00:00:00Z,11
Q15816598,Homiletic,D980AFAD-384C-42C4-B061-C5B4EF6363C1,Q737498,,,,,,
Q15816830,Black Theology,C2B48F12-C5E8-4CD4-B20A-845176E3FD5D,Q737498,,,,,,
Q15816920,Bulletin for the Study of Religion,6FC177B7-1F8B-48F6-B1A8-70B027449215,Q737498,,,,,,
Q15817029,Sociological Focus,5117EFB4-5BC6-4232-B927-C16784D1B937,Q5633421,cb027ec1dd27a771321740db85c04f34345e3922,Q15794938,,,,
Q15817589,International Journal of Africana Studies,5DF9277D-248C-475A-905E-467ADEB9D53D,Q5633421,cb027ec1dd27a771321740db85c04f34345e3922,Q15794938,,,,
Q15817589,International Journal of Africana Studies,a3bb2af7-4e5c-e419-4aa3-2e6df7a6b430,Q737498,,,,,,
Q15817868,East European Jewish Affairs,BD770C01-0461-4953-B917-F843770DD7F4,Q737498,,,,,,
Q15817924,Images: a journal of Jewish art and visual culture,CEA8E047-80EF-4FB3-989F-3C4960E04941,Q737498,,,,,,
Q15864016,Christian History Magazine,582E48B5-DFDF-4F77-A679-176C14E9F75B,Q41298,,,,,,
Q1592810,Hebrew Bible and Ancient Israel,9B36C64B-D773-4080-80B1-10094333CB62,Q1002697,,,,,,
Q1592810,Hebrew Bible and Ancient Israel,27F3AD5B-73F3-429A-B566-5BE417A96100,Q5633421,,,,,,
Q1667631,International Council of Christians and Jews,b44b00c1-4b08-6df1-f4e8-71f57e7d1b56,Q1156831,,,,,,
Q1667631,International Council of Christians and Jews,35c6ebdf-4604-b787-8b61-ca4334b3d88c,Q2085381,,,,,,
Q16857550,transversal,E66E83FD-CB07-4BEB-92C2-FF64A592B7C7,Q41298,,,,,,
Q1709853,Journal of Late Antiquity,1B11CB05-050C-48CB-A0B8-356C1B8371CF,Q627517,,,,,,
Q1709853,Journal of Late Antiquity,61cd0b6c-4768-884b-58bb-2be48092ccff,Q737498,,,,,,
Q1713347,Junge Kirche,CD8E7337-0ACF-47C9-819C-47FB04E66750,Q1002697,,,,,,
Q1713347,Junge Kirche,45043313-449d-1f80-9ebd-14517f23a19d,Q737498,,,,,,
Q1766173,Choice: current reviews for academic libraries,A5E90816-EA35-4537-9E45-3CCB6BC28180,Q5633421,,,,,,
Q1766173,Choice: current reviews for academic libraries,1001A8C9-AC53-4345-9A18-FAFCBCEFAFFC,Q737498,,,,,,
Q18215981,Sage Open,33312B1D-B553-4839-85D0-476C26B7E47F,Q773668,e544413e0106f7253a231dfffe136d9d9fff837a,Q1227538,,d6393f334ebb1e3e38651406f16c1a39,2018-05-10T00:00:00Z,11
Q18215981,Sage Open,411F05EC-20CE-4B98-8D28-853991987E52,Q737498,cfd697a99ce1b4308e5c6bc8c44ce885d5ecf865,Q1227538,,,,
Q18215981,Sage Open,c51f3b69-4954-7e0c-4b14-a3b4358dfcd3,Q5633421,,,,,,
