qid,label_en,main_subject_uuid,main_subject,main_subject_ref1_hash,main_subject_ref1_statedIn,main_subject_ref1_referenceUrl,main_subject_ref1_retrieved_nodeId,main_subject_ref1_retrieved_val,main_subject_ref1_retrieved_prec
Q15755173,Virginia Magazine of History and Biography,32ffe698-4317-859e-4607-af90f22a597f,Q309,,,,,,
Q15755502,Journal of the Economic and Social History of the Orient,,,,,,,,
Q15755506,Journal of Southern History,87e40665-4355-adb1-9734-4fb290805a4b,Q309,,,,,,
Q15755506,Journal of Southern History,ca1973ca-45a9-22f3-3821-11036d3f995d,Q49042,,,,,,
Q15755591,Journal of African American Studies,f8695b3e-4a3a-0bfc-e462-eef2d39703cc,Q49085,,,,,,
Q15755692,Journal of the European Society of Women in Theological Research,4795d4b5-4de8-eb3a-9547-458ac40fefd9,Q1330520,,,,,,
Q15755741,Biblische Zeitschrift,45f92340-4a76-fd67-780e-f51b7ac993d4,Q794605,,,,,,
Q15755753,Journal of American Ethnic History,9e1802c1-4e55-f95c-249f-d8edfe38b54b,Q41870,,,,,,
Q15755753,Journal of American Ethnic History,d5cbaf1f-4b54-884c-85f8-4a25b8c9adae,Q177626,,,,,,
Q15755905,Studies in Philology,a97789b9-46df-2e26-b296-c1937e22c1e3,Q40634,,,,,,
Q15756224,Forum for Social Economics,,,,,,,,
Q15756233,Journal for the History of Modern Theology,f5ef0903-4e98-1943-74e4-485c8463a8fa,Q34178,,,,,,
Q15756294,Practical Theology,29bf45b2-449d-209a-f0fc-a986237cea0f,Q1383443,,,,,,
Q15756681,Journal of International Women's Studies,4267a287-47b6-84ee-d02b-3e3215ad89af,Q5570839,,,,,,
Q15757029,New Theology Review: an American Catholic journal for ministry,f34ba3fb-46ea-8946-88d3-5f122ad76b17,Q34178,,,,,,
Q15757029,New Theology Review: an American Catholic journal for ministry,6f1bd408-4bde-37ef-36d1-a01856a0ff11,Q172331,,,,,,
Q15757109,Transversalites: revue de l'Institut Catholique de Paris,2396d450-40be-d7a0-95a5-7256dfeb7d34,Q80083,,,,,,
Q15757109,Transversalites: revue de l'Institut Catholique de Paris,2d9c3427-493a-90b9-e4e2-c85b320e70a5,Q1841,,,,,,
Q15757115,La Maison - Dieu: revue de science liturgique,d60493c3-4303-39b8-fb6d-8e78d4920bdc,Q172331,,,,,,
Q15757675,Journal of Poverty,,,,,,,,
Q15758293,Lutheran Quarterly,,,,,,,,
Q15758971,Proceedings of the Annual Meeting of the North American Academy of Liturgy,,,,,,,,
Q15759600,Enchoria,,,,,,,,
Q15759659,Scriptura,3aad7ff6-41fb-a27b-12e0-2095184e1bc3,Q794605,,,,,,
Q15759659,Scriptura,2987643e-491e-5f94-1d5c-3c5d1621eb57,Q34178,,,,,,
Q15759717,Review of Politics,646EB2AE-14A8-4317-A713-AAFFC1CA9AEE,Q7163,,,,,,
Q15759761,Journal of Ecumenical Studies,6f60f97a-414a-e987-29bb-565b3f623147,Q34187,,,,,,
Q15759788,Bibliotheca Orientalis,,,,,,,,
Q15760054,"Black Women, Gender and Families",7da583c2-4139-318d-6031-0ebc054f6de3,Q28401147,,,,,,
Q15760054,"Black Women, Gender and Families",91a4cb78-41e0-3644-58f0-5e1b7ea2d17c,Q1662673,,,,,,
Q15760154,Journal of Religious Ethics,,,,,,,,
Q15760387,Studia Liturgica,,,,,,,,
Q15760555,Hebrew Studies,17db60c1-4e6d-b28b-9275-fb4c34b849ae,Q96705949,,,,,,
Q15760865,Journal of Medieval and Early Modern Studies,65ba6b50-401f-210d-d382-442b161481ae,Q1066186,,,,,,
Q15761107,International Journal of Practical Theology,36756672-4e53-eea9-ef0f-07a367902b4d,Q5654877,,,,,,
Q15761107,International Journal of Practical Theology,f2a5c2ad-41cd-6f52-8ca1-f8f1e696dcb7,Q1383443,,,,,,
Q15761170,Medievalia et Humanistica,73b02635-4a12-5701-0487-c488d2582f87,Q119190,,,,,,
Q15761734,Iraq,,,,,,,,
Q15762030,Journal of Roman Archaeology,41AE51F3-D40B-4465-9796-8BF69144E2D9,Q44097629,,,,,,
Q15762047,Review of Religious Research,c15529de-41f3-9f37-2e23-9b0ce71d9db1,Q34187,,,,,,
Q15762062,Revue d'Assyriologie,,,,,,,,
Q15762263,positions,36d729c0-4c15-dd01-f6ea-a762358d36af,Q27231,,,,,,
Q15762263,positions,75811345-4393-96dd-7117-abcb29b193a9,Q8432,,,,,,
Q15762464,Ugarit-Forschungen,,,,,,,,
Q15762548,Ecumenical Review,,,,,,,,
Q15763031,Modern Judaism,05623fe6-4883-a05d-5a00-5ce80e5f8f31,Q9268,,,,,,
Q15763170,Review for Religious: living our Catholic legacies,28dcf5b7-4183-425c-2854-56e1608cd966,Q34187,,,,,,
Q15763170,Review for Religious: living our Catholic legacies,1af02d30-47d4-b941-c0d4-f823654b9d36,Q9592,,,,,,
Q15763357,International Journal for Philosophy of Religion,7f14fe70-4806-b6c4-7219-5ce29db94c45,Q34187,,,,,,
Q15763974,Review of Biblical Literature,,,,,,,,
Q15763977,Perspectives in Religious Studies,4ed4caa1-46a4-a354-7659-53cf647b1395,Q34187,,,,,,
Q15764166,Horizons,70721142-C614-4148-AB92-B76BFCFCD814,Q34178,,,,,,
Q15764425,Sociology of Religion,EDB24E6E-1C5E-4922-86C9-BC88654B918C,Q461659,,,,,,
Q15764810,Prooftexts,FCF8AC9D-D965-49F6-A9EB-CF3A22BEE6ED,Q2642350,,,,,,
Q15765278,Peace Studies Journal,,,,,,,,
Q15765352,Revue Biblique,cd27fabd-40bc-ba52-3fb8-2b22ba791b0a,Q794605,,,,,,
Q15766254,Pastoral Psychology,aa614f3f-44f5-3378-5d64-b8ddf06b4e04,Q9418,,,,,,
Q15766254,Pastoral Psychology,f5d38d18-4084-4666-2495-74118bf40d6f,Q1081988,,,,,,
Q15766683,Teaching Theology and Religion,69a07040-4310-ddf4-7eb0-06c787c74cde,Q96734234,,,,,,
Q15766683,Teaching Theology and Religion,293f1eb8-489e-f7c4-d117-a890fc15a65b,Q34178,,,,,,
Q15766683,Teaching Theology and Religion,e2ebf1a8-4884-c749-6f1f-9ac9535cc1ef,Q9174,,,,,,
Q15766739,The Germanic Review,0bb1d18c-48ab-a565-5e28-98ed34f51366,Q166153,,,,,,
Q15766750,Journal of Children and Poverty,2e66173d-489e-eeb5-689a-446bc7c6313b,Q10294,,,,,,
Q15766750,Journal of Children and Poverty,cc64eb54-420c-9013-49e1-679345d3e0bf,Q85760477,,,,,,
Q15767078,Australian Biblical Review,ff08d885-4308-0968-3e32-983a1d5aa9e7,Q794605,,,,,,
Q15767078,Australian Biblical Review,790BA227-FCE0-434D-B85C-963FEC1A09F0,Q794605,,,,,,
Q15767222,Theology and Sexuality,4cdf79b7-4744-00c8-2c1e-23b37a1ed4ea,Q5043,,,,,,
Q15767222,Theology and Sexuality,c58f9b35-40ef-98ab-e036-30bfafcbcfe4,Q154136,,,,,,
Q15767535,Journal of the Society of Christian Ethics,fa5990a0-48f4-63a8-7bb4-2e33c319bf2f,Q2665156,,,,,,
Q15767635,Method and Theory in the Study of Religion,3e2a06eb-419c-6752-0cd6-fd6a00c47be8,Q34187,,,,,,
Q15816429,Dialog,2ed01971-4fca-5412-36b1-9b62e5f6e126,Q75809,,,,,,
Q15816429,Dialog,162a064b-4fc6-c3ee-4456-600f4f0a57a5,Q1920219,,,,,,
Q15816598,Homiletic,,,,,,,,
Q15816830,Black Theology,e8c7e4f2-42f4-258a-5a21-7b86952c8f42,Q34178,,,,,,
Q15816920,Bulletin for the Study of Religion,7be3206a-47d8-2786-89cf-2e95e2d47e1a,Q34178,,,,,,
Q15816920,Bulletin for the Study of Religion,c51eb1d0-4202-ddf4-2bc5-977298997557,Q34187,,,,,,
Q15817029,Sociological Focus,,,,,,,,
Q15817589,International Journal of Africana Studies,084a656c-4886-1c84-2483-9a4c8c32f03e,Q37542,,,,,,
Q15817868,East European Jewish Affairs,59569db4-407f-ea34-14d2-ea5e17695f1f,Q42002,,,,,,
Q15817868,East European Jewish Affairs,b545c290-4c5e-a5aa-9a5a-821e4cfdec69,Q1413113,,,,,,
Q15817924,Images: a journal of Jewish art and visual culture,95de3863-4a9d-7735-06d0-b95ec6e7d5c2,Q12404052,,,,,,
Q15864016,Christian History Magazine,76043172-4FD5-4296-A104-A5025F98E058,Q1800439,,,,,,
Q1592810,Hebrew Bible and Ancient Israel,,,,,,,,
Q1667631,International Council of Christians and Jews,,,,,,,,
Q16857550,transversal,d0762507-4fc8-9655-9312-0ea7e25c0ff3,Q42002,,,,,,
Q1709853,Journal of Late Antiquity,7AD109A4-BD81-4BEA-9FA6-2BD5F61127B0,Q217050,,,,,,
Q1713347,Junge Kirche,,,,,,,,
Q1766173,Choice: current reviews for academic libraries,,,,,,,,
Q18215981,Sage Open,C47A3F11-DE9D-45CC-8531-28E405E48DAE,Q80083,,,,,,
Q1825683,The Christian Century,299C7B6D-FBE2-4FA0-8A55-AFFA28B1AB30,Q5043,,,,,,
Q18350356,Humanity & Society,422A504C-8290-49BE-BA75-58533EE7A329,Q21201,,,,,,
Q18392457,Spring,7886e43a-4394-5fba-4e84-9399f1d6bed8,Q14565700,,,,,,
Q186695,Zeitschrift fuer Kirchengeschichte,,,,,,,,
Q186800,Zeitschrift fuer die Alttestamentliche Wissenschaft,A4DC5B1F-6E9F-4723-9A8B-ED3DAA7A5B15,Q19786,,,,,,
Q19392473,Tidsskrift for teologi og kirke,982b9e54-4d5c-4736-208c-84919a2fea2b,Q1383443,,,,,,
Q1941982,Modern Austrian Literature,83f099cf-4331-e63d-3065-ff1911ef0316,Q303779,,,,,,
Q1952131,The International Journal of Psychoanalysis,6525b17f-4676-4083-d351-5fb3f6c54b6c,Q41630,,,,,,
Q1952131,The International Journal of Psychoanalysis,51cf4e97-42ef-7200-bad7-0075c20694b8,Q183257,,,,,,
Q1952131,The International Journal of Psychoanalysis,dfbea3a9-4e6c-2fc8-964d-a727aac2626a,Q69975710,,,,,,
Q1953273,Nova Religio,5118B003-65A1-491D-B329-B30D3825274C,Q34187,,,,,,
Q20081140,Church History : Studies in Christianity and Culture,d76a644a-4483-ced2-aea6-a226058f238e,Q1800439,,,,,,
Q20925657,The American Historian,9e1e8f50-43c2-9dc3-421f-46385324936c,Q131110,,,,,,
Q2285224,Signs,843FAF3E-B34F-43D5-8F37-86E726353DC0,Q1662673,,,,,,
Q22907599,Currents in Theology and Mission,490DF4B3-597D-4566-A0E4-B58D574E103A,Q34187,,,,,,
Q22908629,Semeia,b5de725f-485c-d4d4-7ef5-1ee51be6b7ac,Q794605,,,,,,
Q24037678,H-Net Reviews,,,,,,,,
Q2412214,The Jewish Quarterly Review,C4BB53C9-7513-4553-927B-CB3C95AB384C,Q42002,,,,,,
Q27711434,Health progress,,,,,,,,
Q27713170,"Second opinion (Park Ridge, Ill.)",,,,,,,,
Q27715539,Baptist history and heritage,,,,,,,,
Q27715702,The Centennial review,,,,,,,,
Q27715950,Koinonia,,,,,,,,
Q27716433,Soviet studies,e4cb1ba2-483a-cbe9-eb96-83bbc6a4655b,Q36442,,,,,,
Q27716914,Sh'ma : a journal of Jewish responsibility,1556551f-497e-3a40-c602-ab411d062b6b,Q9268,,,,,,
Q27716917,Christianity and crisis,8f45c281-4c6c-fdf0-a756-81ccfa42e47f,Q5043,,,,,,
Q27716917,Christianity and crisis,765ed82f-4ec4-4a5e-f8c8-cfb49b85d2f9,Q381072,,,,,,
Q27716963,U.S. Catholic,485b9b20-45ab-f126-714c-c3d056f98660,Q9592,,,,,,
Q27717019,Church and society,91c8522c-4f38-eccd-abc8-93d7dba8b580,Q5043,,,,,,
Q27717019,Church and society,337999a3-4f66-6a40-4e44-faad2d166c90,Q48324,,,,,,
Q27717126,Wesleyan theological journal,a0149485-4c9f-f5e4-1fe5-ec3ba450fc87,Q34178,,,,,,
Q27717156,Criterion,,,,,,,,
Q27717207,Encounter,,,,,,,,
Q27717700,Research in the sociology of health care,8aaf75a3-4372-4814-56df-975862477ff3,Q21201,,,,,,
Q27717700,Research in the sociology of health care,a7de574a-4985-8445-e722-e3877c21f666,Q31207,,,,,,
Q27717700,Research in the sociology of health care,b3b9fd6f-4758-a865-713f-75d24dd299ad,Q2725393,,,,,,
Q27718682,The Western journal of black studies,69c4225d-4f0b-a9f1-0a41-c6cd3e76836f,Q383968,,,,,,
Q27719187,Bulletin of the Park Ridge Center,,,,,,,,
Q27719353,Conscience,418714b2-4dde-8d28-4a03-75998584d169,Q1841,,,,,,
Q27719353,Conscience,43986bc7-492b-6b92-80b0-be542928fd41,Q1331070,,,,,,
Q27722157,Simulation in healthcare,,,,,,,,
Q27723089,American Baptist quarterly,,,,,,,,
Q27724813,Journal for social action in counseling and psychology,0c7d515b-42a4-8ded-1a77-5a1ff2e8569c,Q4390239,,,,,,
Q27724813,Journal for social action in counseling and psychology,c4fafa19-4f35-9f99-4bfa-119011aa1eb3,Q9418,,,,,,
Q27724937,The journal of the Interdenominational Theological Center,2171827b-4e14-8442-0e8c-61e6a6fe1bbe,Q8434,,,,,,
Q27724937,The journal of the Interdenominational Theological Center,be26f05c-42aa-3fff-6246-34742f884d2f,Q34178,,,,,,
Q27724937,The journal of the Interdenominational Theological Center,5d4532fe-49d9-e3c7-62b2-96b04e7546ec,Q49085,,,,,,
Q27725823,International journal of social science studies,42958097-4422-acd3-1a9e-49f6e862dca7,Q34749,,,,,,
Q28152794,The Biblical Archaeologist,0653a3cc-4c6b-e714-7f1a-c4ba456c58cd,Q794605,,,,,,
Q28152794,The Biblical Archaeologist,868af95f-4d4b-0ab1-28da-b0dce7676e00,Q23498,,,,,,
Q2842807,America,0321E6AB-2DAD-44B8-8BB2-C1AD0EED7E54,Q9592,,,,,,
Q28872485,Revue germanique internationale,b0210a92-4afd-1b6e-b74a-6695420c37e5,Q122131,,,,,,
Q28872485,Revue germanique internationale,1eb328ee-466f-0bf6-9573-d8b343d7462e,Q64899361,,,,,,
Q303410,Concilium,6977adb0-4dde-d16b-b4eb-f26acfe9edf5,Q34178,,,,,,
Q3074754,Focus,,,,,,,,
Q3138561,History Today,e151b3e3-492d-9907-63a9-25c389e386f5,Q309,,,,,,
Q3521429,The Jerusalem Report,B30C6630-556D-40DA-9F81-8C961182EA8E,Q1684600,,,,,,
Q3523724,Theological Studies,5DBF0D10-79A8-46D2-B637-4B657FB9DBC2,Q34187,,,,,,
Q3656266,American Imago,F47B0F3D-7D80-4759-8326-D0F2EC922A67,Q8242,,,,,,
Q3669366,Perspectives in Biology and Medicine,B6A0E0D0-2717-4EED-8F79-97192CF28985,Q11190,,,,,,
Q38312865,New Directions for Philanthropic Fundraising,9742f753-40a7-8bdc-b794-9d5f0cada078,Q185733,,,,,,
Q38312865,New Directions for Philanthropic Fundraising,a082d317-46d1-18ad-0c53-b5af33a8e590,Q1161355,,,,,,
Q389936,The American Historical Review,2DDD4465-81BF-4946-827F-650D638F7B9B,Q309,,,,,,
Q4041879,Journal of Biblical Literature,95ed5789-4fcc-2444-7c48-08627c5a3ec2,Q55017318,,,,,,
Q4041903,The Journal of Theological Studies,729D1AB7-225D-4F3C-9FC3-BC2AAF8F62EE,Q34178,,,,,,
Q4041903,The Journal of Theological Studies,bc7477e3-48b8-c423-f771-d4c918a31044,Q96737959,,,,,,
Q4051385,HTS Theological Studies/Teologiese Studies,9546D56E-CB74-4AA8-BD15-92F2B45A298B,Q1845,cfd697a99ce1b4308e5c6bc8c44ce885d5ecf865,Q1227538,,,,
Q4051386,Theology Today,728E71DA-3A2C-4061-BCD2-12CE14F4C878,Q9174,,,,,,
Q4051386,Theology Today,d9450724-461f-7477-6984-75ad45b4b425,Q96737959,,,,,,
Q4903105,Bible Review,0BB30754-75D2-4669-B4B8-81A9237BF62F,Q794605,,,,,,
Q4903257,Biblica,70846493-25C8-42CD-8065-206A3F14CB2C,Q794605,,,,,,
Q4903261,Biblical Archaeology Review,08a266a0-4140-dcac-3376-e9fadfbe718f,Q23498,,,,,,
Q4903261,Biblical Archaeology Review,ac57b2ab-4cdd-a0a6-8490-d3be3427594a,Q794605,,,,,,
Q4903264,Biblical Interpretation,0EA80DDF-0BBE-4507-AFF1-F986054F2A9E,Q508069,,,,,,
Q4903269,Biblical Theology Bulletin,F003E2BF-3C92-4E76-8263-3FE56063B769,Q794605,,,,,,
Q4914884,Biography,D3FBC1B4-F05C-4E01-A7C7-6E367133B7E0,Q8242,,,,,,
Q4984286,Buddhist-Christian Studies,340DF2E0-DA25-44CE-A9A7-96F5D299D51C,Q34187,,,,,,
Q5024509,Calvin Theological Journal,600FD2B9-A204-47B5-8703-1FC6B3155A7C,Q34178,,,,,,
Q50426286,Estudos Teológicos,3dbca693-491e-a86f-e4f8-4f415ede2657,Q34178,,,,,,
Q50426426,Estudos de Religião,,,,,,,,
Q50432461,Nederduitse Gereformeerde Teologiese Tydskrif,68efdf04-411f-5d2a-18da-843ae96b07a4,Q875490,,,,,,
Q50432461,Nederduitse Gereformeerde Teologiese Tydskrif,b76fa9fb-46b3-432f-8259-21559b9e9323,Q258,,,,,,
Q50434867,XVII-XVIII,,,,,,,,
Q50478535,The Covenant Quarterly,97281FB7-FFB1-48FB-91D2-33FC9A8E0551,Q1383443,cfd697a99ce1b4308e5c6bc8c44ce885d5ecf865,Q1227538,,,,
Q5053078,Catholic Biblical Quarterly,8BCAF537-CF40-43F0-919D-2F78D5476806,Q34178,,,,,,
Q5053078,Catholic Biblical Quarterly,2c458e0a-4334-a1da-cbf3-8fb4e3bc46a0,Q794605,,,,,,
Q5061045,Central European History,7F5614B3-08D2-4399-AF25-B7CAB7CD6DD4,Q309,,,,,,
Q50814896,Studies in Christian-Jewish Relations,258b4a73-4988-d660-35a8-849e1f0f3cb1,Q34187,,,,,,
Q50815593,Journal of French and Francophone Philosophy,634AEC44-27E2-4F6E-ADE8-A99EE5E6645F,Q5891,cfd697a99ce1b4308e5c6bc8c44ce885d5ecf865,Q1227538,,,,
Q50816836,Podium,,,,,,,,
Q5123518,City and Community,04132B33-9C72-4CA8-918C-DF8E78D36E63,Q21201,,,,,,
Q5146365,College English,,,,,,,,
Q5158991,Concordia Theological Quarterly,E8A83FFA-A983-4521-94E4-90ED312C0C91,Q34178,,,,,,
Q5165005,Contemporary Sociology,8DA398D4-A973-4341-9F2F-AE67D731789E,Q21201,,,,,,
