qid,label_en,language_of_work_uuid,language_of_work,language_of_work_ref1_hash,language_of_work_ref1_statedIn,language_of_work_ref1_referenceUrl,language_of_work_ref1_retrieved_nodeId,language_of_work_ref1_retrieved_val,language_of_work_ref1_retrieved_prec
Q15749151,Berliner Theologische Zeitschrift,97E3B3F4-96DE-420C-A433-DBAE7C6B0732,Q188,,,,,,
Q15749660,Religion Compass,0bc22fb4-4cac-791c-cd9a-cd834a12eca9,Q1860,,,,,,
Q15749979,Questions Liturgiques,CBFF5528-5401-491D-A623-B285ED6FF3D4,Q1860,,,,,,
Q15749979,Questions Liturgiques,CD2D11E9-DC8D-4E80-AE38-5FE8F387B957,Q150,,,,,,
Q15750019,Journal of Feminist Studies in Religion,1B8CFAF8-21A8-4012-BEB9-821422BF1977,Q1860,e45b210ec92961f0020143e96e3b756698b0e313,Q70460099,,,,
Q15750019,Journal of Feminist Studies in Religion,1B8CFAF8-21A8-4012-BEB9-821422BF1977,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15750632,Issues in Integrative Studies: an interdisciplinary journal,4b81d128-42e9-3a62-94a4-984b0a6a2da9,Q1860,,,,,,
Q15750752,Journal of Presbyterian History,A0312515-95E0-4403-B875-70E8BE715F06,Q1860,0a91338b541fc9dfeeca940e770dc1240e255979,Q70460099,,,,
Q15750752,Journal of Presbyterian History,A0312515-95E0-4403-B875-70E8BE715F06,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15751172,"Race, Ethnicity and Education",747F2527-BDC9-4849-9152-64D77A021D03,Q1860,4ad3c9169edfb7ff324353aaa14f574be6e40732,Q70460099,,,,
Q15752096,Sociological Spectrum: official journal of the Mid-South Sociological Association,114F1573-F9F1-4FE9-ADB4-24D22E21A10C,Q1860,,,,,,
Q15752279,Worship,df93dcad-4bd7-d58b-c280-ba305f693a11,Q1860,,,,,,
Q15753036,Meridians,c116158f-41a8-72a4-7d25-d330b3176ed2,Q1860,,,,,,
Q15753228,Families in Society: the journal of contemporary social services,EEC8775D-C793-40BE-9464-636E8C9515FE,Q1860,,,,,,
Q15753491,Journal of Refugee Studies,BC1D0DD2-86B9-4709-9F52-70BC86E06F35,Q1860,cc456508262807583e15b682972ccfe5928340e4,Q70460099,,,,
Q15753618,Pastoral Liturgy,0cb62845-40cf-fe44-6069-ef23abd9f648,Q1860,6dd2ee2631600b4616c70f403828f198bbd486dc,Q70460099,,,,
Q15753676,Nashim,91F2886B-EF7F-48D4-BE11-E3B0A0FDB32E,Q1860,,,,,,
Q15753706,Journal of Pastoral Care and Counseling,B025D310-DC2B-4D29-BE7B-5B9D88C4F121,Q1860,2b67d15afc082f3f042e5ec78cce928c77913f8d,Q70460099,,,,
Q15753995,Anglican Theological Review,49C96FF2-531E-4E9D-B66A-16DB47FDEE3C,Q1860,1ae5bbacec9719dbc99424f89df18e06f4490ec7,,,0a8f688406e3fc53d0119eafcd2c0396,2019-09-08T00:00:00Z,11
Q15754071,Norwegian Theological Journal,077f7190-4e8e-9143-2fb6-4f7660ed9192,Q1860,,,,,,
Q15754071,Norwegian Theological Journal,be240856-4959-7828-3961-c203d58f7a7f,Q9043,,,,,,
Q15754229,Clio,FB4ED184-248B-49E4-84F8-2E0FC1AFC15B,Q1860,6a1f564684c5284e47f487e5617a94c17547aafc,Q70460099,,,,
Q15754229,Clio,FB4ED184-248B-49E4-84F8-2E0FC1AFC15B,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15754347,Dead Sea Discoveries,26A7C90C-D040-46B8-BBF4-A6AD2076FF64,Q1860,1dd2d42f45b9b6d76b9b1a342de37e7cb49c4cb0,Q70460099,,,,
Q15754681,Horizons in Biblical Theology,52cc038a-41f9-3ac7-2b65-5a63a37563c1,Q1860,,,,,,
Q15754869,Journal of the Kafka Society of America,31262BFB-AC7E-426D-BF7A-AC41D757481A,Q1860,,,,,,
Q15754942,American Journal of Theology and Philosophy,F0ADB75E-E8A9-48FA-A254-1D6D40270BCC,Q1860,5d9229942303a7f49ca7c804d0146e34f106c24f,Q70460099,,,,
Q15755002,Political Theology,8425850f-4716-41df-05da-46fafe8cb07c,Q1860,b385c9c8aacd8e754405ac32f8578324a44d9923,Q70460099,,,,
Q15755037,Jewish Social Studies,42c2c3eb-4eae-dcfa-cfd4-fd0bb9de0bd0,Q1860,c790c572d3e53b5b76f8af10f136bac7e07618ac,Q70460099,,,,
Q15755134,Theological Education,cb92526e-4ae6-a142-366b-62f672cea2a1,Q1860,,,,,,
Q15755173,Virginia Magazine of History and Biography,105e0c97-4c29-afb9-374a-fb2d26eb0c59,Q1860,82e17fb27debf5affa414379a80b7bea87892085,Q70460099,,,,
Q15755502,Journal of the Economic and Social History of the Orient,8C55F97C-70C8-4FDF-A7D8-BBE394875E31,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15755502,Journal of the Economic and Social History of the Orient,CF490306-7480-4263-A16F-66A005D7075F,Q20923490,3c52d237bf9c9f3252fca2126694f9bd1460fdc3,Q70460099,,,,
Q15755506,Journal of Southern History,075F8E16-B4AF-4FB7-846B-E10C261D0D71,Q1860,90ba2d1142d7389db7989d5523e8c971bc493bd2,Q70460099,,,,
Q15755506,Journal of Southern History,075F8E16-B4AF-4FB7-846B-E10C261D0D71,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15755591,Journal of African American Studies,F6B543B6-EACD-400F-B79D-E2D644C9676A,Q1860,,,,,,
Q15755692,Journal of the European Society of Women in Theological Research,0E0CE715-3756-4DD1-92B6-FD4ABA003A23,Q1860,,,,,,
Q15755741,Biblische Zeitschrift,1AE2FF25-5778-44C4-91F2-81A37FFD6219,Q188,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15755753,Journal of American Ethnic History,FEED973A-2FE0-4E56-8036-9895C3FD41F2,Q1860,ae3664a750494632677ca382dea85b6ede207ef4,Q70460099,,,,
Q15755753,Journal of American Ethnic History,FEED973A-2FE0-4E56-8036-9895C3FD41F2,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15755905,Studies in Philology,C01F051C-F04F-44D2-9025-CCC0DF5B5D31,Q1860,b11f61c50e177311e7009ea4ee187d565662acae,Q70460099,,,,
Q15755905,Studies in Philology,C01F051C-F04F-44D2-9025-CCC0DF5B5D31,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15756224,Forum for Social Economics,18133e00-4d78-b87a-f562-3968e4267e68,Q1860,aa350684f1692d5ae3a99fdf2ab066672296f02e,Q70460099,,,,
Q15756233,Journal for the History of Modern Theology,25d0f1da-44ee-a00f-232a-f69a598c65e1,Q188,,,,,,
Q15756233,Journal for the History of Modern Theology,35565779-4bb8-28c8-9006-38d72f6f0175,Q1860,,,,,,
Q15756294,Practical Theology,2b88f17b-41f7-2f65-1184-e52b49c7d863,Q1860,12551777034f1b7c93a556c29f9481fb8310794c,Q70460099,,,,
Q15756681,Journal of International Women's Studies,2A44A9C3-C506-4876-A4BD-3DB840BE34C7,Q1860,,,,,,
Q15757029,New Theology Review: an American Catholic journal for ministry,ab2c16c3-4b11-a091-e0e5-7f236997bed3,Q1860,f31fc4e37772a3f75a46ca3f33129bf9f0a3ef17,Q70460099,,,,
Q15757109,Transversalites: revue de l'Institut Catholique de Paris,0857f12c-42b2-38fc-a289-d7730bf72472,Q150,ea11c9329aacea2608fb12f80b1f6af6d199d801,Q70460099,,,,
Q15757115,La Maison - Dieu: revue de science liturgique,02c453c2-48ce-8409-98ef-670b2be33c24,Q150,0b9134a5d0743e4be69754d9130a40afc75ab71f,Q70460099,,,,
Q15757675,Journal of Poverty,68F8876B-E3CF-4733-8026-0A5618E5A580,Q1860,,,,,,
Q15758293,Lutheran Quarterly,0d7f179a-4098-865b-88c5-f4e4dd6ff767,Q1860,,,,,,
Q15758971,Proceedings of the Annual Meeting of the North American Academy of Liturgy,413a7d21-49b4-e677-a9d2-2946723c2f0b,Q1860,,,,,,
Q15759600,Enchoria,3eab181b-4579-19e9-8559-b5776f2b3fef,Q188,,,,,,
Q15759600,Enchoria,85358623-4780-3a86-db2d-bd3653f40c75,Q652,,,,,,
Q15759600,Enchoria,4632fedd-4363-158a-4102-6f3a1c516320,Q150,,,,,,
Q15759600,Enchoria,5f15d52c-468c-523f-8369-85db90aef3a4,Q1860,,,,,,
Q15759659,Scriptura,D2AE18C5-ADA0-42E7-A611-E18996C78C00,Q1860,,,,,,
Q15759717,Review of Politics,00769AE9-A489-4D95-9D5E-A1CF4BE9DF6F,Q1860,1ae5bbacec9719dbc99424f89df18e06f4490ec7,,,0a8f688406e3fc53d0119eafcd2c0396,2019-09-08T00:00:00Z,11
Q15759761,Journal of Ecumenical Studies,20E06F0F-F8B3-4076-A577-33DBBE9ECBBD,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15759788,Bibliotheca Orientalis,0441fb3f-4616-ee8d-2439-929a275bc38f,Q150,,,,,,
Q15759788,Bibliotheca Orientalis,28961740-4766-2ec2-f033-62833b45c14d,Q1860,,,,,,
Q15759788,Bibliotheca Orientalis,2ef2c866-4b85-ade7-dcdb-d27ee9634783,Q188,,,,,,
Q15759788,Bibliotheca Orientalis,56ce1196-4f11-6703-be79-571873d7fb10,Q7411,,,,,,
Q15760054,"Black Women, Gender and Families",54e13f53-48eb-8d9c-c1b4-87a85ddb388d,Q1860,,,,,,
Q15760154,Journal of Religious Ethics,5D294C5B-BA1D-4513-A76F-224BA29F8E66,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15760387,Studia Liturgica,29da1c97-4bc4-c483-ad43-933c2e869d82,Q1860,,,,,,
Q15760555,Hebrew Studies,ec29f08e-483d-b5bd-3034-033c320d5e3a,Q1860,,,,,,
Q15760555,Hebrew Studies,e27fa200-47a4-e91d-ac83-450561fd51e7,Q9288,,,,,,
Q15760865,Journal of Medieval and Early Modern Studies,573534B8-66B6-48DF-9C28-48A795A80F2F,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15761107,International Journal of Practical Theology,2F1C3678-27E7-4F7F-BF02-EF580B2C5959,Q1860,,,,,,
Q15761107,International Journal of Practical Theology,30205f52-428e-6d45-2c80-c5bc62635ea1,Q188,,,,,,
Q15761170,Medievalia et Humanistica,f9ac1982-402c-23c0-2d39-b3e7c566e167,Q1860,,,,,,
Q15761734,Iraq,fed79407-4062-a048-fff4-1a7aafa78a53,Q1860,,,,,,
Q15762030,Journal of Roman Archaeology,061FD116-7D55-4FB5-A11E-6D728C397F24,Q1860,,,,,,
Q15762030,Journal of Roman Archaeology,4C5EB14A-E506-4F78-BBE3-97AE2B213149,Q188,,,,,,
Q15762030,Journal of Roman Archaeology,806CA3A5-7A29-49BB-82C4-718941C28F42,Q150,,,,,,
Q15762030,Journal of Roman Archaeology,8F7FA0A2-D718-4FFD-B499-B2373D37A2C8,Q1321,,,,,,
Q15762047,Review of Religious Research,66D8B4E4-9723-41E5-9618-C1694CA5099F,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15762062,Revue d'Assyriologie,59deeb1c-4d26-ea71-8b66-ec7833be5e8d,Q150,,,,,,
Q15762263,positions,00C6DA90-00CC-4224-8513-BF4F955323C9,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15762464,Ugarit-Forschungen,2b5f3f8e-4762-03a7-d16a-0bf7ff9b03c6,Q1860,,,,,,
Q15762464,Ugarit-Forschungen,25db9d26-4808-28d7-cdef-887a8b6796d3,Q188,,,,,,
Q15762464,Ugarit-Forschungen,80dec6d6-4e36-46cf-f9b4-9239bc0efe71,Q150,,,,,,
Q15762548,Ecumenical Review,62852C74-3CAD-4E32-A406-5BFBBDA83F7C,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15763031,Modern Judaism,B25DC402-AE9A-409D-9F5A-02FE74DBA8BE,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15763170,Review for Religious: living our Catholic legacies,e9bd7ec1-4834-01cc-3d6b-1a73f4331298,Q1860,,,,,,
Q15763357,International Journal for Philosophy of Religion,7495D6B6-2334-477D-B194-E90CBA1C4EA8,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15763974,Review of Biblical Literature,58095580-4b0c-2021-8b25-a7a57ec0ddd9,Q1860,,,,,,
Q15763977,Perspectives in Religious Studies,734cd780-4fce-60b1-aa48-f1f893b35c41,Q1860,,,,,,
Q15764166,Horizons,0E2BD955-08B7-4DE4-B6B6-8CDA1CF6C986,Q1860,,,,,,
Q15764425,Sociology of Religion,C58E9636-46F6-4A59-89B8-1E259A442D8C,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15764810,Prooftexts,59F0D046-8780-4A17-B4F5-32DF3B31A536,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15765278,Peace Studies Journal,ba0b8237-4431-f349-3cdc-eff2d4608b00,Q1860,,,,,,
Q15765352,Revue Biblique,1DDE1FE5-435B-47DF-AEEE-F89F31478AD2,Q150,,,,,,
Q15766254,Pastoral Psychology,96af77a5-4e05-f1b1-6468-b80ce5412733,Q1860,,,,,,
Q15766683,Teaching Theology and Religion,68cbd705-4a38-7c8c-0490-0cfd57a4afcc,Q1860,,,,,,
Q15766739,The Germanic Review,FF35A325-4B78-4361-A607-82841009D369,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15766750,Journal of Children and Poverty,79856A63-CB42-448E-B932-3341BBF115A1,Q1860,,,,,,
Q15767078,Australian Biblical Review,3FD71BBA-9038-4BFA-9CDF-E20B419EB7DC,Q1860,1ae5bbacec9719dbc99424f89df18e06f4490ec7,,,0a8f688406e3fc53d0119eafcd2c0396,2019-09-08T00:00:00Z,11
Q15767222,Theology and Sexuality,c86a62ac-4458-3d5d-91d0-3f5365feebef,Q1860,,,,,,
Q15767535,Journal of the Society of Christian Ethics,889742F6-3609-4C05-A208-F26E8D7C813F,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15767635,Method and Theory in the Study of Religion,B583ADC4-D284-4E8E-8341-685E7AE26AD1,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15816429,Dialog,B3A96DAC-FB5A-41E4-8F27-066929AB8A84,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15816598,Homiletic,,,,,,,,
Q15816830,Black Theology,6f86acf6-43d1-e06b-a184-e347946e84b5,Q1860,,,,,,
Q15816920,Bulletin for the Study of Religion,d5d2d45c-4308-45f4-e9e9-77d583cd759e,Q1860,,,,,,
Q15817029,Sociological Focus,3931ab6f-4704-7f40-059d-3fd7a1a9140f,Q1860,,,,,,
Q15817589,International Journal of Africana Studies,364ABDC5-5302-45A0-9925-840D0D454666,Q1860,,,,,,
Q15817868,East European Jewish Affairs,141D2866-ACDF-475F-AC3F-ADDC8F7A59D9,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15817924,Images: a journal of Jewish art and visual culture,765D251E-25DA-416C-977B-6B3810CEDA9E,Q1860,,,,,,
Q15864016,Christian History Magazine,,,,,,,,
Q1592810,Hebrew Bible and Ancient Israel,8cd2d6ae-4ecf-8dc3-b4c0-c11d7a245b7e,Q1860,,,,,,
Q1667631,International Council of Christians and Jews,,,,,,,,
Q16857550,transversal,1A8B158E-1702-4E69-ABD8-A60A43B5FF05,Q188,2f068d467d6a233e7bc0885e005da0d0049e7fff,Q186844,,a7668887939b2b330fa0c60fe1f247f4,2019-12-18T00:00:00Z,11
Q1709853,Journal of Late Antiquity,1BA47245-C9A6-47DA-A5BA-F848F457B2F1,Q1860,,,,,,
Q1713347,Junge Kirche,9FD2117D-EA24-46B2-AF48-60AB371E34FE,Q188,,,,,,
Q1766173,Choice: current reviews for academic libraries,ded750a8-44af-d800-7a53-da9de1369bd0,Q1860,,,,,,
