ssid,filename,title,creator_string,date,classification,medium,measurements,style_period,country_culture,seals_inscriptions,signature,description,publications,exhibitions,accession_number,date_acquired,gift_of,purchased_from,credit_line,provenance,collection,last_change,notes,rights,media_url
26760331,2017.001.030.tif,The Watchman,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1980 CE,Graphic Arts-Printmaking,Wood engraving,12 x 9 in. ,,United States,The Watchman,Fritz Eichenberg,,,,2017.001.030,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #714",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760331/representation-view
26760332,2017.001.031.tif,Subway,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1934,Graphic Arts-Printmaking,Wood engraving,6.25 x 4 in.,,United States,"Subway
Ed. 200",Fritz Eichenberg,,,,2017.001.031,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #801",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760332/representation-view
26760333,2017.001.027.tif,"Pencils, 5 Cents","Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1935 CE,Graphic Arts-Printmaking,Etching and mezzotint,9 x 7 in. ,,United States,,,,,,2017.001.032,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #782",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760333/representation-view
26760334,2017.001.033.tif,Jane Eyre: Orphanage,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1943 CE,Graphic Arts-Printmaking,Wood engraving,10.25 x 7 in. ,,United States,"Orphanage
Artist's Proof",Fritz Eichenberg,,,,2017.001.033,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #771
Also included in the folio of work is the ""Orphanage #157 Re-Issue,"" which is typed on paper, 1943",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760334/representation-view
26760335,2017.001.034.tif,"Heathcliff Under the Tree, from Wuthering Heights by Emily Brontë","Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1943 CE,Graphic Arts-Printmaking,Wood engraving on Japan paper,7.5 x 5 in.,,United States,Wuthering Heights,Fritz Eichenberg,,,"Then & Now: Five Centuries of Woodcuts, (1/10-3/1/2019)",2017.001.034,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Thu Jan 10 00:00:00 EST 2019,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #806",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760335/representation-view
26760336,2017.001.035.tif,Wuthering Heights: Chapter Head,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1943 CE,Graphic Arts-Printmaking,Wood engraving,2.25 x 3 in. ,,United States,,Fritz Eichenberg,,,,2017.001.035,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #807",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760336/representation-view
26760337,2017.001.036.jpg,Brothers Karamazov: Grand Inquisitor,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1948 CE,Graphic Arts-Printmaking,Lithograph,8.5 x 6.25 in. ,,United States,,,,,,2017.001.036,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #504",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760337/representation-view
26760338,2017.001.037.tif,Brothers Karamazov: Prone Figure at Stair,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1949 CE,Graphic Arts-Printmaking,Lithograph,8.5 x 6 in.,,United States,,Fritz Eichenberg,,,,2017.001.037,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #759",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760338/representation-view
26760339,2017.001.038.tif,Brothers Karamazov: Man Raving Over Coffin,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1949 CE,Graphic Arts-Printmaking,Lithograph,8.5 x 6 in.,,United States,"Brothers Karamazov
A.P. 
20",Fritz Eichenberg,,,,2017.001.038,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #790",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760339/representation-view
26760340,2017.001.039.tif,Brothers Karamazov: Nude Female Dreaming,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1949 CE,Graphic Arts-Printmaking,Lithograph,8.5 x 6 in.,,United States,,Fritz Eichenberg,,,,2017.001.039,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #791",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760340/representation-view
26760341,2017.001.040.jpg,The Light,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1951 CE,Graphic Arts-Printmaking,Wood engraving,8 x 7 in.,,United States,,,,,,2017.001.040,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #772",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760341/representation-view
26760342,2017.001.041.tif,New Year's Card,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1954 CE,Graphic Arts-Printmaking,Wood engraving,7.25 x 5 in.,,United States,,,,,,2017.001.041,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Mon Nov 26 00:00:00 EST 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #780",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760342/representation-view
26760343,2017.001.042.tif,"The Story of Jonah, from ""Ten Wood Engravings from the Old Testament""","Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1955 CE,Graphic Arts-Printmaking,Wood engraving,12 x 6 in.,,United States,"The Story of Jonah
148/200",Fritz Eichenberg,,,,2017.001.042,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #803",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760343/representation-view
26760344,2017.001.043.tif,"The Peacable Kingdom, from ""Ten Wood Engravings from the Old Testament""","Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1955 CE,Graphic Arts-Printmaking,Wood engraving,12 x 6 in.,,United States,"The Peaceable Kingdom
200/200",Fritz Eichenberg,,,,2017.001.043,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #811",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760344/representation-view
26760345,2017.001.044.tif,Raw Youth: Child in Coffin,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1974 CE,Graphic Arts-Printmaking,Wood engraving,8.5 x 5 in.,,United States,"A Raw Youth
3/20",Fritz Eichenberg,,,,2017.001.044,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #784",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760345/representation-view
26760346,2017.001.045.tif,New Adam,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1976 CE,Graphic Arts-Printmaking,Woodcut,14 x 12 in. ,,United States,"The New Adam
A.P.",Fritz Eichenberg,,,,2017.001.045,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #766
In a paper folio with the poem ""The New Adam"" on its cover (2 copies)",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760346/representation-view
26760347,2017.001.046.jpg,Dance of Death - The Crucifixion,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1980 CE,Graphic Arts-Printmaking,Wood engraving,12 x 9 in. ,,United States,,,,,,2017.001.046,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Mon Nov 26 00:00:00 EST 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #549",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760347/representation-view
26760348,2017.001.047.tif,Dance of Death - Last Rehearsal,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1983 CE,Graphic Arts-Printmaking,Wood engraving,12 x 9.75 in. ,,United States,"Last Rehearsal
Artist's Proof",Fritz Eichenberg,,,,2017.001.047,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #793",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760348/representation-view
26760349,2017.001.048.tif,Dance of Death - Last Sunset,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1983 CE,Graphic Arts-Printmaking,Wood engraving,12 x 9.75 in. ,,United States,"Last Sunset
Artist's Proof",Fritz Eichenberg,,,,2017.001.048,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #794",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760349/representation-view
26760350,2017.001.049.tif,Pieta,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1900 CE,Graphic Arts-Printmaking,Wood engraving,5 x 4.5 in.,,United States,"283/350
PIETA",FE (symbol),,,,2017.001.049,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #809
Part of a card. Left side says ""peace"". Cover, when folded, reads ""Fritz Eichenberg. 10.24.1901-11.30.1990"" Back cover, when folded, reads ""Design, Toni""",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760350/representation-view
26760351,2017.001.050.tif,Daylight began to forsake the red-room from Jane Eyre,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1943 CE,Graphic Arts-Printmaking,Etching,7.25 x 5 in.,,United States,,Fritz Eichenberg,,,,2017.001.050,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #716",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760351/representation-view
26760352,2017.001.051.tif,Study for a print (reclining man),"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1925 CE,Graphic Arts-Printmaking,Pen and ink on paper,5.25 x 3 in. ,,United States,,,,,,2017.001.051,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #714",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760352/representation-view
26760353,2017.001.052.tif,Richard III,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",,Graphic Arts-Printmaking,pen-and-wash drawings,,,United States,"Richard III
2 Colors, Artist's Proof, (unique)",Fritz Eichenberg,,,,2017.001.052,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760353/representation-view
26760354,2017.001.053a.tif,Narrative cartoon in three pages (page 1),"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1934 CE,Graphic Arts-Printmaking,Pen and ink on paper,,,United States,,,,,,2017.001.053a,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760354/representation-view
26760355,2017.001.053b.tif,Narrative cartoon in three pages (page 2),"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1934 - 1936,Graphic Arts-Printmaking,Pen and ink on paper,,,United States,,,,,,2017.001.053b,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760355/representation-view
26760356,2017.001.053c.tif,Narrative cartoon in three pages (page 3),"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1936 CE,Graphic Arts-Printmaking,Pen and ink on paper,,,United States,,,,,,2017.001.053c,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760356/representation-view
26760357,2017.001.054.tif,Collage Hearts,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1935 CE,Graphic Arts-Printmaking,Ink and paper on paper,14.5 x 10.25 in. ,,United States,,,,,,2017.001.054,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #
A folio styled as a Valentine's(?) card. A loose sheet inside appears to be missing an image and has the writing: ""Nur mut, meine Sussen, wir we'ns schon schaffen! Meinem Pu 3am 2 Christmas in New York.""",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760357/representation-view
26760358,2017.001.055.tif,Steppenwolf,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",,Graphic Arts-Printmaking,,,,United States,"Steppenwolf
A.P.",Fritz Eichenberg,,,,2017.001.055,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760358/representation-view
26760359,2017.001.056.jpg,Portrait of Leo Tolstoy from Resurrection,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1963 CE,Graphic Arts-Printmaking,Wood engraving,8.25 x 5.25 in. ,,United States,,,,,,2017.001.056,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760359/representation-view
26760360,2017.001.057.jpg,"Circus Scenes - Body building, lady, little person, clown, presenter [Title in German on banner]","Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1925 CE,Graphic Arts-Printmaking,Etching,5.25 x 3 in. ,,United States,,,,,,2017.001.057,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760360/representation-view
26760361,2017.001.058.jpg,Circus Musicians (State 2),"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1925 CE,Graphic Arts-Printmaking,Etching and mezzotint,5.25 x 3 in.,,United States,,Eichenberg,,,,2017.001.058,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #714",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760361/representation-view
26760362,2017.001.059.tif,Til Eulenspiegel: Cardinals at Altar,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",,Graphic Arts-Printmaking,Wood engraving,2.5 x 3 in.,,United States,,,,,,2017.001.059,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #805",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760362/representation-view
26760363,2017.001.060.tif,Til Eulenspiegel: Treed Cat,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",,Graphic Arts-Printmaking,Wood engraving,2.5 x 3 in. ,,United States,,,,,,2017.001.060,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #804",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760363/representation-view
26760364,2017.001.061.tif,"Self portrait ""For Your File. Fritz Eichenberg"" (2 copies)","Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",,Graphic Arts-Printmaking,Offset lithograph,4 x 4 in.,,United States,,,,,,2017.001.061,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #
Two copies of the same card. Labeled ""a"" and ""b""",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760364/representation-view
26760365,2017.001.062.tif,The Christ of the Breadlines,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",ca. 1950 - 1952 CE,Graphic Arts-Printmaking,Offset lithograph,13 x 17 in. ,,United States,,,,,,2017.001.062,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Mon Nov 26 00:00:00 EST 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760365/representation-view
