inventory_number,label,title
#2009.003m,"The Confession, from Crime and Punishment, Chapter 4 by Fyodor Dostoevsky","The Confession, from Crime and Punishment, Chapter 4 by Fyodor DostoevskyFrom: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003n,"The Laughing Crowd, from Crime and Punishment, Chapter 5 by Fyodor Dostoevsky","The Laughing Crowd, from Crime and Punishment, Chapter 5 by Fyodor DostoevskyFrom: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003o,"Nightscene (Vignette), from Crime and Punishment, Part 6 by Fyodor Dostoevsky","Nightscene (Vignette), from Crime and Punishment, Part 6 by Fyodor DostoevskyFrom: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003p,"Singing Girl at Tavern, from Crime and Punishment, Chapter 3 by Fyodor Dostoevsky","Singing Girl at Tavern, from Crime and Punishment, Chapter 3 by Fyodor DostoevskyFrom: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003q,"Before the Suicide, from Crime and Punishment, Chapter 6 by Fyodor Dostoevsky","Before the Suicide, from Crime and Punishment, Chapter 6 by Fyodor DostoevskyFrom: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003r,"The Exiles (Vignette), from Crime and Punishment, Epilogue by Fyodor Dostoevsky","The Exiles (Vignette), from Crime and Punishment, Epilogue by Fyodor DostoevskyFrom: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003s,"Title Unknown, Crime and Punishment (not listed in index). Final image in Dostoevsky's book.","Title Unknown, Crime and Punishment (not listed in index). Final image in Dostoevsky's book.From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004a,"Gulliver Made Prisoner, from Gulliver's Travels, Part 1, Chapter 1, A Voyage to Lilliput, by Jonathan Swift.","Gulliver Made Prisoner, from Gulliver's Travels, Part 1, Chapter 1, A Voyage to Lilliput, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004b,"Contents of His Pockets, from Gulliver's Travels, Part 1, Chapter 2, A Voyage to Lilliput, by Jonathan Swift.","Contents of His Pockets, from Gulliver's Travels, Part 1, Chapter 2, A Voyage to Lilliput, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004c,"Walking Tightrope, from Gulliver's Travels, Part 1, Chapter 3, A Voyage to Lilliput, by Jonathan Swift.","Walking Tightrope, from Gulliver's Travels, Part 1, Chapter 3, A Voyage to Lilliput, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004d,"The Arrest of a Man, from Gulliver's Travels, Part 1, Chapter 4, A Voyage to Lilliput, by Jonathan Swift.","The Arrest of a Man, from Gulliver's Travels, Part 1, Chapter 4, A Voyage to Lilliput, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004e,"The Handkiss for a King, from Gulliver's Travels, Part 1, Chapter 7, A Voyage to Lilliput, by Jonathan Swift.","The Handkiss for a King, from Gulliver's Travels, Part 1, Chapter 7, A Voyage to Lilliput, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004f,"The Big Cat, from Gulliver's Travels, Part 2, Chapter 1, A Voyage to Brobdingnag, by Jonathan Swift.","The Big Cat, from Gulliver's Travels, Part 2, Chapter 1, A Voyage to Brobdingnag, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004g,"The Check-up, from Gulliver's Travels, Part 2, Chapter 3, A Voyage to Brobdingnag, by Jonathan Swift.","The Check-up, from Gulliver's Travels, Part 2, Chapter 3, A Voyage to Brobdingnag, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004h,"The Curious Crowd, from Gulliver's Travels, Part 2, Chapter 4, A Voyage to Brobdingnag, by Jonathan Swift.","The Curious Crowd, from Gulliver's Travels, Part 2, Chapter 4, A Voyage to Brobdingnag, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004i,"Tales of Europe, from Gulliver's Travels, Part 2, Chapter 6, A Voyage to Brobdingnag, by Jonathan Swift.","Tales of Europe, from Gulliver's Travels, Part 2, Chapter 6, A Voyage to Brobdingnag, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004j,"The Floating Island, from Gulliver's Travels, Part 3, Chapter 1, A Voyage to Laputa, Balmibarbi, Luggnagg, Glubbdubdrip, and Japan, by Jonathan Swift.","The Floating Island, from Gulliver's Travels, Part 3, Chapter 1, A Voyage to Laputa, Balmibarbi, Luggnagg, Glubbdubdrip, and Japan, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004k,"The Academician, from Gulliver's Travels, Part 3, Chapter 5, A Voyage to Laputa, Balmibarbi, Luggnagg, Glubbdubdrip, and Japan, by Jonathan Swift.","The Academician, from Gulliver's Travels, Part 3, Chapter 5, A Voyage to Laputa, Balmibarbi, Luggnagg, Glubbdubdrip, and Japan, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004l,"The Ghosts, from Gulliver's Travels, Part 3, Chapter 7, A Voyage to Laputa, Balmibarbi, Luggnagg, Glubbdubdrip, and Japan, by Jonathan Swift.","The Ghosts, from Gulliver's Travels, Part 3, Chapter 7, A Voyage to Laputa, Balmibarbi, Luggnagg, Glubbdubdrip, and Japan, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004m,"British History, from Gulliver's Travels, Part 3, Chapter 8, A Voyage to Laputa, Balmibarbi, Luggnagg, Glubbdubdrip, and Japan, by Jonathan Swift.","British History, from Gulliver's Travels, Part 3, Chapter 8, A Voyage to Laputa, Balmibarbi, Luggnagg, Glubbdubdrip, and Japan, by Jonathan Swift. From: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004n,"Licking the Carpet, from Gulliver's Travels, Part 3, Chapter 9, A Voyage to Laputa, Balmibarbi, Luggnagg, Glubbdubdrip, and Japan, by Jonathan Swift.","Licking the Carpet, from Gulliver's Travels, Part 3, Chapter 9, A Voyage to Laputa, Balmibarbi, Luggnagg, Glubbdubdrip, and Japan, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004o,"Meeting the Horses, from Gulliver's Travels, Part 4, Chapter 1, A Voyage to the Country of the Houyhnhnms, by Jonathan Swift.","Meeting the Horses, from Gulliver's Travels, Part 4, Chapter 1, A Voyage to the Country of the Houyhnhnms, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004p,"Examined by the Horses, from Gulliver's Travels, Part 4, Chapter 3, A Voyage to the Country of the Houyhnhnms, by Jonathan Swift.","Examined by the Horses, from Gulliver's Travels, Part 4, Chapter 3, A Voyage to the Country of the Houyhnhnms, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004q,"Tales of Cruelty, from Gulliver's Travels, Part 4, Chapter 4, A Voyage to the Country of the Houyhnhnms, by Jonathan Swift.","Tales of Cruelty, from Gulliver's Travels, Part 4, Chapter 4, A Voyage to the Country of the Houyhnhnms, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004r,"Pursued by a Girl, from Gulliver's Travels, Part 4, Chapter 8, A Voyage to the Country of the Houyhnhnms, by Jonathan Swift.","Pursued by a Girl, from Gulliver's Travels, Part 4, Chapter 8, A Voyage to the Country of the Houyhnhnms, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004s,"A Horse Plowing, from Gulliver's Travels, Part 4, Chapter 9, A Voyage to the Country of the Houyhnhnms, by Jonathan Swift.","A Horse Plowing, from Gulliver's Travels, Part 4, Chapter 9, A Voyage to the Country of the Houyhnhnms, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.004t,"Homecoming, from Gulliver's Travels, Part 4, Chapter 11, A Voyage to the Country of the Houyhnhnms, by Jonathan Swift.","Homecoming, from Gulliver's Travels, Part 4, Chapter 11, A Voyage to the Country of the Houyhnhnms, by Jonathan Swift. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005a,"The Hero and His Time, from Fathers and Sons, Frontispiece by Ivan Turgenev.","The Hero and His Time, from Fathers and Sons, Frontispiece by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005b,"At the Post Station, from Fathers and Sons, Chapter 1 by Ivan Turgenev.","At the Post Station, from Fathers and Sons, Chapter 1 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005c,"The Handkiss, from Fathers and Sons, Chapter 7 by Ivan Turgenev.","The Handkiss, from Fathers and Sons, Chapter 7 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005d,"Mother and Child, from Fathers and Sons, Chapter 8 by Ivan Turgenev.","Mother and Child, from Fathers and Sons, Chapter 8 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005e,"The Dignitary, from Fathers and Sons, Chapter 12 by Ivan Turgenev.","The Dignitary, from Fathers and Sons, Chapter 12 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005f,"The Literary Salon, from Fathers and Sons, Chapter 13 by Ivan Turgenev.","The Literary Salon, from Fathers and Sons, Chapter 13 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005g,"The Old Princess, from Fathers and Sons, Chapter 16 by Ivan Turgenev.","The Old Princess, from Fathers and Sons, Chapter 16 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005h,"The Embrace, from Fathers and Sons, Chapter 18 by Ivan Turgenev.","The Embrace, from Fathers and Sons, Chapter 18 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005i,"The Old Doctor, from Fathers and Sons, Chapter 20 by Ivan Turgenev.","The Old Doctor, from Fathers and Sons, Chapter 20 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005j,"Talk in the Haystack, from Fathers and Sons, Chapter 21 by Ivan Turgenev.","Talk in the Haystack, from Fathers and Sons, Chapter 21 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005k,"The Sad Parents, from Fathers and Sons, Chapter 21 by Ivan Turgenev.","The Sad Parents, from Fathers and Sons, Chapter 21 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005l,"In the Carriage, from Fathers and Sons, Chapter 22 by Ivan Turgenev.","In the Carriage, from Fathers and Sons, Chapter 22 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005m,"The Duel, from Fathers and Sons, Chapter 24 by Ivan Turgenev.","The Duel, from Fathers and Sons, Chapter 24 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005n,"The Dying Peasant, from Fathers and Sons, Chapter 27 by Ivan Turgenev.","The Dying Peasant, from Fathers and Sons, Chapter 27 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005o,"The End of Bazarov, from Fathers and Sons, Chapter 27 by Ivan Turgenev.","The End of Bazarov, from Fathers and Sons, Chapter 27 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.005p,"At the Grave, from Fathers and Sons, Chapter 28 by Ivan Turgenev.","At the Grave, from Fathers and Sons, Chapter 28 by Ivan Turgenev. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.006a,"At the Grave (Vignette), from Wuthering Heights, Title Page by Emily Brontë .","At the Grave (Vignette), from Wuthering Heights, Title Page by Emily Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.006b,"Thrushcross Grange, from Wuthering Heights, Chapterhead by Emily Brontë .","Thrushcross Grange, from Wuthering Heights, Chapterhead by Emily Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.006c,"Ferocious Dogs, from Wuthering Heights, Chapter 1 by Emily Brontë .","Ferocious Dogs, from Wuthering Heights, Chapter 1 by Emily Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.006d,"Catherine's Ghost at the Window, from Wuthering Heights, Chapter 3 by Emily Brontë .","Catherine's Ghost at the Window, from Wuthering Heights, Chapter 3 by Emily Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.006e,"Fight at the Stable, from Wuthering Heights, Chapter 4 by Emily Brontë .","Fight at the Stable, from Wuthering Heights, Chapter 4 by Emily Brontë . From: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.006f,"Cathy and the Mastiff, from Wuthering Heights, Chapter 6 by Emily Brontë .","Cathy and the Mastiff, from Wuthering Heights, Chapter 6 by Emily Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.006g,"Hindley With Knife, from Wuthering Heights, Chapter 9 by Emily Brontë .","Hindley With Knife, from Wuthering Heights, Chapter 9 by Emily Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.006h,"Cathy Waiting for Heathcliff, from Wuthering Heights, Chapter 9 by Emily Brontë .","Cathy Waiting for Heathcliff, from Wuthering Heights, Chapter 9 by Emily Brontë . From: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.006i,"Cathy Dreams of Heathcliff, from Wuthering Heights, Chapter 12 by Emily Brontë .","Cathy Dreams of Heathcliff, from Wuthering Heights, Chapter 12 by Emily Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.006j,"The Lover's Together, from Wuthering Heights, Chapter 15 by Emily Brontë .","The Lover's Together, from Wuthering Heights, Chapter 15 by Emily Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.006k,"The Funeral, from Wuthering Heights, Chapter 17 by Emily Brontë .","The Funeral, from Wuthering Heights, Chapter 17 by Emily Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.006l,"Heathcliff Threathens his Son, from Wuthering Heights, Chapter 19 by Emily Brontë .","Heathcliff Threathens his Son, from Wuthering Heights, Chapter 19 by Emily Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.006m,"The Two Cousins, from Wuthering Heights, Chapter 23 by Emily Brontë .","The Two Cousins, from Wuthering Heights, Chapter 23 by Emily Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
