inventory_number,string
#2017.001.040,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.041,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.042,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.043,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.044,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.045,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.046,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.047,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.048,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.049,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.050,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.051,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.052,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.053a,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.053b,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.053c,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.054,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.055,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.056,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.057,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.058,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.059,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.060,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.061,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.063,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.002.1,"Davidson, Morris (1898-1979, born Rochester, NY, died Piermont, NY)"
#2017.002.2,"Davidson, Morris (1898-1979, born Rochester, NY, died Piermont, NY)"
#2017.002.3,"Davidson, Morris (1898-1979, born Rochester, NY, died Piermont, NY)"
#2017.003.01,"Tenneson, Joyce (American photographer and author, born 1945)"
#2017.003.02,"Tenneson, Joyce (American photographer and author, born 1945)"
#2017.003.03,"Tenneson, Joyce (American photographer and author, born 1945)"
#2017.003.04,"Tenneson, Joyce (American photographer and author, born 1945)"
#2017.003.05,"Tenneson, Joyce (American photographer and author, born 1945)"
#2017.003.06,"Tenneson, Joyce (American photographer and author, born 1945)"
#2017.003.07,"Tenneson, Joyce (American photographer and author, born 1945)"
#2017.003.08,"Tenneson, Joyce (American photographer and author, born 1945)"
#2017.003.09,"Tenneson, Joyce (American photographer and author, born 1945)"
#2017.003.10,"Tenneson, Joyce (American photographer and author, born 1945)"
#2017.003.11,"Tenneson, Joyce (American photographer and author, born 1945)"
#2017.003.12,"Tenneson, Joyce (American photographer and author, born 1945)"
#2017.003.13,"Gibson, Ralph (American photographer, born 1939)"
#2017.003.14,"Gibson, Ralph (American photographer, born 1939)"
#2017.003.15,"Gibson, Ralph (American photographer, born 1939)"
#2017.003.16,"Gibson, Ralph (American photographer, born 1939)"
#2017.003.17,"Gibson, Ralph (American photographer, born 1939)"
#2017.003.18,"Gibson, Ralph (American photographer, born 1939)"
#2017.003.19,"Gibson, Ralph (American photographer, born 1939)"
#2017.003.20,"Gibson, Ralph (American photographer, born 1939)"
#2017.003.21,"Gibson, Ralph (American photographer, born 1939)"
#2017.003.22,"Gibson, Ralph (American photographer, born 1939)"
#2017.003.23,"Gibson, Ralph (American photographer, born 1939)"
#2017.003.24,"Gibson, Ralph (American photographer, born 1939)"
#2017.003.25,"Gibson, Ralph (American photographer, born 1939)"
#2017.003.26,"Gibson, Ralph (American photographer, born 1939)"
#2017.003.27,"Gibson, Ralph (American photographer, born 1939)"
#2017.004.01,"Gibson, Ralph (American photographer, born 1939)"
#2017.004.02,"Gibson, Ralph (American photographer, born 1939)"
#2017.004.03,"Gibson, Ralph (American photographer, born 1939)"
#2017.004.04,"Gibson, Ralph (American photographer, born 1939)"
#2017.004.05,"Gibson, Ralph (American photographer, born 1939)"
#2017.004.06,"Gibson, Ralph (American photographer, born 1939)"
#2017.004.07,"Gibson, Ralph (American photographer, born 1939)"
#2017.004.08,"Gibson, Ralph (American photographer, publisher and actor, born 1939)"
#2017.004.09,"Gibson, Ralph (American photographer, publisher and actor, born 1939)"
#2017.004.10,"Gibson, Ralph (American photographer, publisher and actor, born 1939)"
#2018.001,"Vanderbilt, Jacob"
#2018.002,"Davidson, Morris (1898-1979, born Rochester, NY, died Piermont, NY)"
#2018.003,"Connell, Kelli (American photographer, born 1974)"
#2018.004.1,"Villevoye, Roy (Dutch artist, born 1960)"
#2018.004.2,"Villevoye, Roy (Dutch artist, born 1960)"
#2018.004.3,"Villevoye, Roy (Dutch artist, born 1960)"
#2018.005.01,"Fraser, John (1952-, born Chicago, IL)"
#2018.005.02,"Fraser, John (1952-, born Chicago, IL)"
#2018.005.03,"Fraser, John (1952-, born Chicago, IL)"
#2018.005.04,"Fraser, John (1952-, born Chicago, IL)"
#2018.005.05,"Fraser, John (1952-, born Chicago, IL)"
#2018.005.06,"Fraser, John (1952-, born Chicago, IL)"
#2018.005.07,"Fraser, John (1952-, born Chicago, IL)"
#2018.005.08,"Fraser, John (1952-, born Chicago, IL)"
#2018.005.09,"Fraser, John (1952-, born Chicago, IL)"
#2018.005.10,"Fraser, John (1952-, born Chicago, IL)"
#2018.005.11,"Fraser, John (1952-, born Chicago, IL)"
#2018.005.12,"Fraser, John (1952-, born Chicago, IL)"
#2018.005.13,"Fraser, John (1952-, born Chicago, IL)"
#2018.005.14,"Fraser, John (1952-, born Chicago, IL)"
#2018.005.15,"Fraser, John (1952-, born Chicago, IL)"
#2018.006,"Saar, Allison (American painter, sculptor, and installation artist, born 1956)"
#2018.007,"Finley, Karen (American painter, installation artist, and performance artist, born 1956)"
#1999.256,Artist Unknown
#1999.257,"Herreyns, Gilbert (1943-, born Uccle, Belgium)"
#1999.258,"Herreyns, Gilbert (1943-, born Uccle, Belgium)"
#1999.259,"Micus, Eduard (German painter and sculptor, 1925-2000, active in Spain)"
#2000.001,"Mazur, Michael (American painter and engraver, 1935-2009)"
#2000.002,"Walker, Kara Elizabeth (American book artist, painter, and installation artist, born 1969)"
#2000.003,"Marsh, Reginald (American painter, 1898-1954)"
#2000.004,"Sloan, John (American painter, etcher, and illustrator, 1871-1951)"
#2000.005,Artist Unknown
#2000.006,"Adams, Ron (American painter and printmaker, born 1934)"
#2000.007,"Maillol, Aristide (French sculptor, painter, and tapestry designer, 1861-1944)"
#2000.008,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2000.009,"Jeremy D. Maynard (1977-, born Nashville, TN)"
#2000.010,"Maynard, Jeremy D., (1977-, born Nashville, TN)"
#2000.011,"McCloud, Bryce, (1975-, born Nashville, TN)"
#2000.012,"Frederick, Michael, (1966-, born Chabanse, IL)"
#2000.013,"Sherraden, Jim (1957-, born Salina, KS)"
#2000.014,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.015,"Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)"
#2000.016,"Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)"
#2000.017,"McCloud, Bryce (1975, born Nashville, TN)"
#2000.018,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2000.019,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.020,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.021,"Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)"
#2000.022,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.023,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.024,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2000.025,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.026,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2000.027,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.028,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.029,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.030,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.031,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.032,"McCloud, Bryce (1975-, born Nashville, TN)"
#2000.033,"McCloud, Bryce (1975-, born Nashville, TN)"
#2000.034,"McCloud, Bryce (Nashville, TN, born 1975-)"
#2000.035,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.036,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2000.037,"McCloud, Bryce (1975-, born Nashville, TN)"
#2000.038,"Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)"
#2000.039,"McCloud, Bryce (1975-, born Nashville, TN)"
#2000.040,"Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)"
#2000.041,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2000.042,"McCloud, Bryce, for Hatch Show Print (1975-, born Nashville, TN)"
#2000.043,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2000.044,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2000.045,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2000.046,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2000.047,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2000.048,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.049,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2000.050,"Sherraden, Jim (1957-, born Salina, KS)"
#2000.051,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.052,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2000.053,"McCloud, Bryce (1975-, born Nashville, TN)"
#2000.054,Hatch Show Print
#2000.055,Hatch Show Print
#2000.056,Hatch Show Print
#2000.057,Hatch Show Print
#2000.058,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.059,"McCloud, Bryce (1975-, born Nashville, TN)"
#2000.060,"McCloud, Bryce (1975-, born Nashville, TN)"
#2000.061,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.062,"Gill, Jenny (1979-, born Monterey, CA)"
#2000.063,"Sherraden, Jim (1957-, born Salina, KS)"
#2000.064,"Sherraden, Jim (1957-, born Salina, KS)"
#2000.065,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.066,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.067,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.068,"Haberman, Gwen"
#2000.069,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2000.070,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2000.071,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.072,"McCloud, Bryce (1975-, born Nashville, TN)"
#2000.073,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.074,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2000.075,"McCloud, Bryce (1975-, born Nashville, TN)"
#2000.076,"Sherraden, Jim, for Hatch Show Print (1957-, born Salina, KS)"
#2000.077,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2000.078,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.079,Hatch Show Print
#2000.080,"McCloud, Bryce (1975, born Nashville, TN)"
#2000.081,"Bryce McCloud (1975, born Nashville, TN)"
#2000.082,"Casey D.Gill (1981, born Monterey, CA)"
#2000.083,"Bryce McCloud (1975, born Nashville, TN)"
#2000.084,"Bryce McCloud (1975, born Nashville, TN)"
#2000.085,"Frederick, Mike"
#2000.086,"Frederick, Mike"
#2000.087,"Bryce McCloud (1975, born Nashville, TN)"
#2000.088,"Sherraden, Jim (1957, born Salina, KS)"
#2000.089,"McCloud, Bryce (1975-, born Nashville, TN)"
#2000.090,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.091,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.092,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2000.093,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.094,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.095,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2000.096,"McCloud, Bryce (1975-, born Nashville, TN)"
#2000.097,"Gill, Casey (1981-, born Monterey, CA)"
#2000.098,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2000.099,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.100,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.101,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2000.102,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2000.103,"Frederick, Michael (1966-, born Chabanse, IL)"
#2000.104,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2000.105,Artist Unknown
#2000.106,Artist Unknown
#2000.107,Artist Unknown
#2000.108,Artist Unknown
#2000.109,Artist Unknown
#2000.110,Artist Unknown
#2000.111,Artist Unknown
#2000.112,Artist Unknown
#2000.113,Artist Unknown
#2000.114,Artist Unknown
#2000.115,Artist Unknown
#2000.116,Artist Unknown
#2000.117,Artist Unknown
#2000.118,"Coe, Sue (English painter, draftsman, and etcher, born 1951, active in the United States)"
#2000.119,"Klinger, Max (German painter, sculptor, and printmaker, 1857-1920)"
#2000.121,"Puryear, Martin (American sculptor, born 1941)"
#2000.122,"Dalí, Salvador (Spanish painter and printmaker, 1904-1989)"
#2000.123,Artist Unknown
#2001.001,Artist Unknown
#2001.002,Artist Unknown
#2001.003,"Winters, Terry (American painter, born 1949)"
#2001.004,Artist Unknown
#2001.005,Artist Unknown
#2001.006,"Walker, Kara Elizabeth (American book artist, painter, and installation artist, born 1969)"
#2001.007,"Chin, Mel (American sculptor and environmental artist, born 1951)"
#2001.008,"Gill, Jenny (1979-, born Monterey, CA)"
#2001.009,Hatch Show Print
#2001.010,Hatch Show Print
#2001.011,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.012,"Jimerfield, Dan, for Hatch Show Print (1974-, born Cumberland, MO)"
#2001.013,"Jimerfield, Dan, for Hatch Show Print (1974-, born Cumberland, MO)"
#2001.014,Hatch Show Print
#2001.015,"McCloud, Bryce (1975-, born Nashville, TN)"
#2001.016,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.017,Hatch Show Print
#2001.018,Hatch Show Print
#2001.019,"Jimerfield, Dan, for Hatch Show Print (1974-, born Cumberland, MO)"
#2001.020,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.021,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.022,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.023,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.024,"Gill, Casey (1981-, born Monterey, CA)"
#2001.025,"Gill, Jenny (1979-, born Monterey, CA)"
#2001.026,Hatch Show Print
#2001.027,Hatch Show Print
#2001.028,"McCloud, Bryce (1975-, born Nashville, TN)"
#2001.029,"Gill, Casey (1981-, born Monterey, CA)"
#2001.032,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.033,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.034,"Gill, Jenny (1979, born Monterey, CA)"
#2001.035,"Gill, Casey (1981, born Monterey, CA)"
#2001.036,"Gill, Casey (1981-, born Monterey, CA)"
#2001.037,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.038,Hatch Show Print
#2001.039,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.040,"Gill, Jenny (1979-, born Monterey, CA)"
#2001.041,Hatch Show Print
#2001.042,Hatch Show Print
#2001.043,Hatch Show Print
#2001.044,Hatch Show Print
#2001.045,Hatch Show Print
#2001.046,Hatch Show Print
#2001.047,Hatch Show Print
#2001.048,"McCloud, Bryce (1975-, born Nashville, TN)"
#2001.049,"Parrish, Rachel"
#2001.050,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.051,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.052,Hatch Show Print
#2001.053,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.054,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.055,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.056,Hatch Show Print
#2001.057,"Bryant, Edan M., (1978-, born Nashville, TN)"
#2001.058,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.059,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.060,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.061,"Jimerfield, Dan, for Hatch Show Print (1974-, born Cumberland, MO)"
#2001.062,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.063,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.064,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.065,"Gill, Casey (1981-, born Monterey, CA)"
#2001.066,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.067,"Bryant, Edan M., for Hatch Show Print (1978-, born Nashville, TN)"
#2001.068,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.069,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.070,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.071,"Bryant, Edan M. 1978, born Nashville, TN)"
#2001.072,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.073,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.074,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.075,"Gill, Casey (1981-, born Monterey, CA)"
#2001.076,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.077,"Gill, Casey (1981-, born Monterey, CA)"
#2001.078,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.079,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.080,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.081,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.082,"Gill, Jenny (1979-, born Monterey, CA)"
#2001.083,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.084,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.085,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.086,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.087,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.088,"Gill, Casey (1981-, born Monterey, CA)"
#2001.089,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.090,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.091,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.092,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.093,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.094,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.095,"Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)"
#2001.096,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.097,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.098,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.099,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.100,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.101,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.102,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.103,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.104,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.105,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.106,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.107,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.108,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.109,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.110,"McCloud, Bryce (1975-, born Nashville, TN)"
#2001.111,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.112,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.113,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.114,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.115,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.116,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.117,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.118,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.119,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.120,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.121,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.122,"Frederick, Michael (1966-, born Chabanse, IL)"
#2001.123,"Salter, Erin (1978-, born Nashville, TN)"
#2001.124,"Sherrard, Toby (1977-, born Seattle, WA)"
#2001.125,"Sherrard, Toby (1977-, born Seattle, WA)"
#2001.126,"Gill, Casey (1981-, born Monterey, CA)"
#2001.127,"Shane, Joel (1976-, born Winnipeg, Manitoba, Canada)"
#2001.128,"Sherrard, Toby (1977-, born Seattle, WA)"
#2001.129,"McIntyre, Mike (1978-, born St. Louis, MO)"
#2001.130,"Sherrard, Toby (1977-, born Seattle, WA)"
#2001.131,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.132,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.133,"Russell, Scott, for Hatch Show Print (born Bloomington, IN)"
#2001.134,"McIntyre, Mike (1978-, born St. Louis, MO)"
#2001.135,"Gill, Jenny (1979-, born Monterey, CA)"
#2001.136,"Gill, Jenny (1979-, born Monterey, CA)"
#2001.137,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.138,"Tosh, Paul, (1954-, born Kingsport, TN)"
#2001.139,"Gill, Casey (1981-, born Monterey, CA)"
#2001.140,"Gill, Casey (1981-, born Monterey, CA)"
#2001.141,"Pasek, Margaret"
#2001.142,"Gill, Casey (1981-, born Monterey, CA)"
#2001.143,"McIntyre, Mike (1978-, born St. Louis, MO)"
#2001.144,"Sherrard, Toby (1977-, born Seattle, WA)"
#2001.145,"Gill, Casey (1981-, born Monterey, CA)"
#2001.146,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.147,"Sherrard, Toby (1977-, born Seattle, WA)"
#2001.148,"Sherrard, Toby (1977-, born Seattle, WA)"
#2001.149,"Gill, Casey (1981-, born Monterey, CA)"
#2001.150,"McIntyre, Mike (1978-, born St. Louis, MO)"
#2001.151,"Gill, Jenny (1979-, born Monterey, CA)"
#2001.152,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.153,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.154,"McCloud, Bryce (1975-, born Nashville, TN)"
#2001.155,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.156,"Sherraden, Jim (1957-, born Salina, KS)"
#2001.157,"Rockman, Alexis (American painter, born 1962)"
#2001.158,"Paladino, Mimmo (Italian painter and sculptor, born 1948)"
"#2001.159a,b,c",Artist Unknown
"#2001.160a,b",Artist Unknown
#2001.161,Artist Unknown
#2001.162,Artist Unknown
"#2001.163a,b",Artist Unknown
"#2001.164a,b",Artist Unknown
#2001.165,Artist Unknown
#2001.166,Artist Unknown
#2001.167,"Sherraden, Jim (1957-, born Salina, KS)"
#2001.168,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.169,"Gill, Jenny (1979-, born Monterey, CA)"
#2001.170,"McCloud, Bryce (1975-, born Nashville, TN)"
#2001.171,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.172,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.173,"McCloud, Bryce (1975-, born Nashville, TN)"
#2001.174,"McCloud, Bryce (1975-, born Nashville, TN)"
#2001.175,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.176,"Gill, Casey (1981-, born Monterey, CA)"
#2001.177,"Jimerfield, Dan (1974-, born Cumberland, MO)"
#2001.178,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.179,"Maynard, Jeremy D. (1977-, born Nashville, TN)"
#2001.180,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.181,Hatch Show Print
#2001.182,"Bryant, Edan M. (1978-, born Nashville, TN)"
#2001.183,"Gill, Casey (1981-, born Monterey, CA)"
#2001.184,Artist Unknown
#2002.001,"Weems, Carrie Mae (American photographer, born 1953)"
#2002.002,"Dancy, Deborah (1949-, born Bessemer, AL)"
#2002.003,"Dancy, Deborah (1949-, born Bessemer, AL)"
#2002.004,"Polke, Sigmar (German painter, 1941-2010)"
#2002.005,"Tsukioka Yoshitoshi (Japanese painter, 1839-1892)"
#2002.006,"Tsukioka Yoshitoshi (Japanese painter, 1839-1892)"
#2002.007,"Utagawa Kunisada (Japanese printmaker and illustrator, 1786-1864)"
#2002.008,"Gilliam, Sam (American painter, born 1933)"
#2002.009,"Crome, John (English painter, 1768-1821)"
#2002.010,"Crome, John (English painter, 1768-1821)"
#2002.011,"Crome, John (English painter, 1768-1821)"
#2002.012,"Crome, John (English painter, 1768-1821)"
#2002.013,"Pushman, Hovsep (American painter, 1877-1966)"
#2002.015,"Stillman, Ary (American painter, 1891-1967)"
