accession_number,qid,label_en,description_en,creator,instance_of,inception_val,inception_earliest_date_val,inception_latest_date_val,height_val,width_val,thickness_val,diameter_val,style_period,rights,media_url,status
2007.041b,Q102975150,"Timiditas (fearfulness), after Marten De Vos",print by Rafael Sadeler,Q19569785,Q11060274,,,,5.25,7,,,allegory (artistic device),,https://forum.jstor.org/assets/26759196/representation-view,artist died before copyright cutoff
2007.041a,Q102975448,"Tristitia (Sadness), after Marten De Vos",print by Rafael Sadeler,Q19569785,Q11060274,,,,5.25,7,,,allegory (artistic device),,https://forum.jstor.org/assets/26759195/representation-view,artist died before copyright cutoff
1978.013,Q103298394,Chinese Landscape,scroll painting by Nakabayashi Chikudo,Q2963561,Q19969434,,,,40.75,14.25,,,"Nanga School, Edo Period (1600-1868)",NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754055/representation-view,artist died before copyright cutoff
1969.013,Q102973993,Tennessee Landscape,painting by Gilbert Gaul,Q5560919,Q3305213,,,,12.75,16.75,,,,COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26753560/representation-view,artist died before copyright cutoff
2017.001.011,Q103301047,Heathcliff (The Graveyard),print by Frederic Leighton,Q160252,Q11060274,,,,7,5.25,,,,COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760312/representation-view,artist died before copyright cutoff
1978.133,Q105091757,Ehon Shiki Oyu,artist's book by Baisetsudo,Q105090044,Q1062404,,,,8.25,6,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754175/representation-view,artist died before copyright cutoff
1978.045,Q103302083,"Keisai Ukiyo Gafu (The Book of Keisai's Popular Pictures), Volume 1 of 10",artist's book by Ikeda Eisen,Q3046492,Q1062404,,,,9,6,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754087/representation-view,artist died before copyright cutoff
1978.151,Q106577298,Book with accordian folds,artist's book by Katsushika Hokusai,Q5586,Q1062404,,,,6.5,9.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754193/representation-view,artist died before copyright cutoff
1978.147,Q103305608,"Mukashi (Ehon) Monogatari, Volume 1",artist's book by Minamoto no Yorimitsu,Q590523,Q1062404,,,,8.75,6.25,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754189/representation-view,artist died before copyright cutoff
1978.127,Q106577443,Tenkoki,artist's book by Ogata Kenzan,Q534279,Q1062404,,,,6.25,8.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754169/representation-view,artist died before copyright cutoff
1978.081ab,Q105092108,Soken Ryakuga (Sketches by Soken),artist's book by Soken,Q11467416,Q1062404,,,,10,7,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754123/representation-view,artist died before copyright cutoff
1978.062,Q106577461,Toto Nijushi-ko (The Twenty-Four Chinese Paragons of Filial Piety),artist's book by Utagawa Kuniyoshi,Q317736,Q1062404,,,,6.75,9.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754104/representation-view,artist died before copyright cutoff
1978.072,Q106577352,Itso Hyakutai (A Hundred Figures in a Single Sweep),artist's book by Watanabe Kazan,Q3130609,Q1062404,,,,6.75,9.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754114/representation-view,artist died before copyright cutoff
1975.013,Q103307811,Saint Sebastian,drawing by Giacomo Cavedone,Q2704031,Q93184,,,,13.75,7,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753937/representation-view,artist died before copyright cutoff
1973.014,Q102964735,Elegant Lovers,drawing by Jacques-Philippe Caresme,Q766867,Q93184,,,,7,7.25,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753874/representation-view,artist died before copyright cutoff
1973.015,Q102970665,Rustic Lovers,drawing by Jacques-Philippe Caresme,Q766867,Q93184,,,,7,7.25,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753875/representation-view,artist died before copyright cutoff
1971.005,Q102976678,Vestal Virgins Making an Offering,drawing by Jean Baptiste Mallet,Q3164251,Q93184,,,,8.25,8.25,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753700/representation-view,artist died before copyright cutoff
1977.015,Q103296598,A Turkish Cafe,painting by Francis Davis Millet,Q50353089,Q3305213,,,,19.5,15.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754042/representation-view,artist died before copyright cutoff
1969.012,Q102965279,Forest Scene,painting by Gilbert Gaul,Q5560919,Q3305213,,,,11.5,15.25,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753559/representation-view,artist died before copyright cutoff
1969.011,Q102973986,Tennessee Cabin,painting by Gilbert Gaul,Q5560919,Q3305213,,,,12.75,17,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753558/representation-view,artist died before copyright cutoff
1979.0303P,Q102961830,Autumn River,painting by Patrick Nasmyth,Q7147317,Q3305213,,,,15.75,23.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754514/representation-view,artist died before copyright cutoff
1984.041,Q103305191,Melancholia (copy),print by Albrecht Dürer,Q5580,Q11060274,,,,10,8,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26755786/representation-view,artist died before copyright cutoff
1970.038,Q103302244,"L'Arrêt, Habitant du Marais (from ""Le Plaisirs de la Chasse"")",print by Alcide Joseph Lorentz,Q56025387,Q11060274,,,,13.75,10.25,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753663/representation-view,artist died before copyright cutoff
1970.037,Q102967209,La Plaine Prés Du Lac (The Plains near the Lake),print by Alphonse Legros,Q957538,Q11060274,,,,5.75,8.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753662/representation-view,artist died before copyright cutoff
1956.043,Q105092167,The Christian Hero,print by Andrea Andriani,Q105090025,Q11060274,,,,14.25,11,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753404/representation-view,artist died before copyright cutoff
1972.068,Q103307095,Portrait of Lorenzo Bernini,print by Arnold van Westerhout,Q18511480,Q11060274,,,,9.25,6.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753834/representation-view,artist died before copyright cutoff
1965.029,Q103296542,A Sailor's Infancy,print by Auguste Feyen-Perrin,Q781120,Q11060274,,,,7.75,4.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753509/representation-view,artist died before copyright cutoff
1971.044,Q103299238,Diana and Endymion (Mythological Scene with a cupid drawing on verso),print by Carlo Cesi,Q2918353,Q11060274,,,,9.25,8.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753739/representation-view,artist died before copyright cutoff
1971.042,Q103304719,Louis Guillaume de Cambrai Ecuyer,print by Carlo Faucci,Q43899608,Q11060274,,,,8.75,6.25,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753737/representation-view,artist died before copyright cutoff
1979.0912P,Q102961288,A Meeting in a Forest,print by Charles Le Brun,Q271676,Q11060274,,,,7.75,9.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26755124/representation-view,artist died before copyright cutoff
1956.018,Q103307108,Portrait of Nicolas Fouquet,print by Claude Mellan,Q1274026,Q11060274,,,,13.25,9.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753381/representation-view,artist died before copyright cutoff
1965.002,Q103310115,The Sculptor Zacharie Astruc,print by Félix Bracquemond,Q633574,Q11060274,,,,6,5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753482/representation-view,artist died before copyright cutoff
2007.027,Q103311469,Untitled (Mother and child),print by François Ragot,Q56692101,Q11060274,,,,5.5,4.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26759181/representation-view,artist died before copyright cutoff
2007.014,Q103311422,Untitled (Four male figures),print by Giacomo Maria Giovannini,Q17302923,Q11060274,,,,14.75,9,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26759168/representation-view,artist died before copyright cutoff
2007.010,Q103551145,Virgin Mary (after painting by Sebastiano Ricci),print by Gianantonio Faldoni,Q27493848,Q11060274,,,,11.5,15.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26759164/representation-view,artist died before copyright cutoff
1971.021,Q103309701,The Forager,print by Gilbert Gaul,Q5560919,Q11060274,,,,15,9.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753716/representation-view,artist died before copyright cutoff
1977.007,Q103309573,The Bearing of the Cross,print by Hendrick Goltzius,Q165367,Q11060274,,,,8.25,5.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754034/representation-view,artist died before copyright cutoff
1989.015,Q103310238,The Washer Woman,print by Henry Farrer,Q75597332,Q11060274,,,,4.5,3.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26756223/representation-view,artist died before copyright cutoff
1973.022,Q102966059,Heads,print by Henry Wolf,Q5730446,Q11060274,,,,6.5,7.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753882/representation-view,artist died before copyright cutoff
1971.033,Q106577321,Diversa Animalia Quadrupedia,print by Jan Visscher,Q6150317,Q11060274,,,,11.25,15,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753728/representation-view,artist died before copyright cutoff
1971.026,Q102966000,Harbor Scene with a Fort,print by Jean Morin,Q575664,Q11060274,,,,3.75,5.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753721/representation-view,artist died before copyright cutoff
1972.069,Q103302297,La Marchande de Maree (after P. Wouverman),print by Jean Moyreau,Q30014874,Q11060274,,,,13.75,10.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753835/representation-view,artist died before copyright cutoff
1977.014,Q102963889,Courtesans Walking on a Street in the New Yoshiwara,print by Katsushika Hokusai,Q5586,Q11060274,,,,8.25,11.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754041/representation-view,artist died before copyright cutoff
1974.029,Q103296916,Animal page from The Manga,print by Katsushika Hokusai,Q5586,Q11060274,,,,9,6.25,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753921/representation-view,artist died before copyright cutoff
1974.030,Q103297438,Bird page from The Manga,print by Katsushika Hokusai,Q5586,Q11060274,,,,9,6.25,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753922/representation-view,artist died before copyright cutoff
1972.074,Q103306223,Page from The Manga,print by Katsushika Hokusai,Q5586,Q11060274,,,,8.5,5.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753840/representation-view,artist died before copyright cutoff
1975.048,Q102961667,Ansicht der Stodt Braunau am Innfluss,print by Laurenz Janscha,Q13604451,Q11060274,,,,12.75,16.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753972/representation-view,artist died before copyright cutoff
1971.036,Q103307270,R.W. Peckham,print by Max Rosenthal,Q6795193,Q11060274,,,,6.5,4.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753731/representation-view,artist died before copyright cutoff
1956.017,Q105095755,"Fishermen Drawing in their Nets (after Giulio Romano, 1499-1546)",print by Nicolas Le Sueur,Q82733672,Q11060274,,,,10.25,16.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753380/representation-view,artist died before copyright cutoff
1974.026,Q103307023,"Portrait of Francisco Thomae a Sabavdia, After van Dyck",print by Paulus Pontius,Q1854445,Q11060274,,,,15.25,11.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753918/representation-view,artist died before copyright cutoff
2007.005,Q102976074,Untitled (Gathering sponges at low tide),print by Philip Galle,Q1379395,Q11060274,,,,7.5,10.25,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26759159/representation-view,artist died before copyright cutoff
2004.029,Q102961230,A Craggy Landscape,print by Philip James de Loutherbourg,Q1970087,Q11060274,,,,5,7.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26759001/representation-view,artist died before copyright cutoff
2004.030,Q102961305,A Mountain Pass,print by Philip James de Loutherbourg,Q1970087,Q11060274,,,,5,7.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26759002/representation-view,artist died before copyright cutoff
1971.059,Q102975335,Town with a Cross,print by Pierre Drevet,Q5624550,Q11060274,,,,4.5,9.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753754/representation-view,artist died before copyright cutoff
1971.029,Q102966763,Juin - On Tond les Moutons,print by Pierre-Jean Mariette,Q322341,Q11060274,,,,8.5,10.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753724/representation-view,artist died before copyright cutoff
1972.083,Q102966204,House by a Stream,print by Sébastien Le Clerc the elder,Q1805696,Q11060274,,,,3.25,4.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753849/representation-view,artist died before copyright cutoff
1972.082,Q103306293,Palace Garden Scene,print by Sébastien Le Clerc the elder,Q1805696,Q11060274,,,,5.5,3.25,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753848/representation-view,artist died before copyright cutoff
1973.009,Q103310743,"Two Kabuki actors, one in female role",print by Utagawa Kunisada,Q467427,Q11060274,,,,14,9.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753869/representation-view,artist died before copyright cutoff
1978.027,Q106577403,Panel from a triptych of Kabuki actors enjoying a summer evening in Kyoto,print by Utagawa Kunisada,Q467427,Q11060274,,,,9.75,14.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754069/representation-view,artist died before copyright cutoff
1969.036,Q103299653,Evening,print by William Hogarth,Q171344,Q11060274,,,,17.75,14.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753583/representation-view,artist died before copyright cutoff
1969.034,Q103305468,Morning,print by William Hogarth,Q171344,Q11060274,,,,18.25,14.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753581/representation-view,artist died before copyright cutoff
1969.037,Q103305849,Night,print by William Hogarth,Q171344,Q11060274,,,,17.75,14.5,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753584/representation-view,artist died before copyright cutoff
1987.003,Q102962914,Cake dish with a design in blue under glaze of fish and seaweed,ceramics by Tao Kuang,Q334351,Q13464614,,,,3.5,6.25,3.5,,,,https://forum.jstor.org/assets/26755995/representation-view,artist died before copyright cutoff
1984.027,Q103298575,Classical Woman's Head,drawing by Augustus Welby Northmore Pugin,Q2871122,Q93184,,,,22.5,18,,,,,https://forum.jstor.org/assets/26755772/representation-view,artist died before copyright cutoff
1979.0383P,Q105091898,"Lafayette, Alabama",drawing by Earl A. Warner,Q105090086,Q93184,,,,8.5,11.5,,,,,https://forum.jstor.org/assets/26754595/representation-view,artist died before copyright cutoff
1979.0382P,Q105092082,"Salem, Mass.",drawing by Earl A. Warner,Q105090086,Q93184,,,,8.5,11.5,,,,,https://forum.jstor.org/assets/26754594/representation-view,artist died before copyright cutoff
1979.0384P,Q105092165,"The Cabildo, New Orleans",drawing by Earl A. Warner,Q105090086,Q93184,,,,8.5,11.5,,,,,https://forum.jstor.org/assets/26754596/representation-view,artist died before copyright cutoff
1988.030,Q103550958,Calligraphy in printed pocket folder,drawing by Tomioka Tessai,Q1377454,Q93184,,,,10.5,9.5,,,,,https://forum.jstor.org/assets/26756085/representation-view,artist died before copyright cutoff
1979.0905P,Q102967175,La Halte,image by Eugène Gaujean,Q51952268,Q478798,,,,8.75,10.25,,,,,https://forum.jstor.org/assets/26755117/representation-view,artist died before copyright cutoff
1979.0176,Q103306879,Portrait of a Lady,painting by Abbott Handerson Thayer,Q306759,Q3305213,,,,13.5,10.5,,,,,https://forum.jstor.org/assets/26754387/representation-view,artist died before copyright cutoff
1979.0175,Q103307988,Seascape,painting by Abbott Handerson Thayer,Q306759,Q3305213,,,,20.25,16,,,,,https://forum.jstor.org/assets/26754386/representation-view,artist died before copyright cutoff
1979.0234P,Q102974638,The Orchard,painting by Augustus Koopman,Q43132705,Q3305213,,,,32.25,46.75,,,,,https://forum.jstor.org/assets/26754445/representation-view,artist died before copyright cutoff
1984.032,Q103307013,Portrait of Edward Bridgen,painting by Benjamin Wilson,Q817749,Q3305213,,,,29.25,25,,,,,https://forum.jstor.org/assets/26755777/representation-view,artist died before copyright cutoff
1988.010,Q102974719,The Repentance of Mary Magdalene,painting by Carlo Antonio Tavella,Q6958929,Q3305213,,,,29.75,40.5,,,,,https://forum.jstor.org/assets/26756065/representation-view,artist died before copyright cutoff
1984.031,Q102967296,Landscape,painting by Charles Edmond Renault,Q52155066,Q3305213,,,,8.25,15.5,,,,,https://forum.jstor.org/assets/26755776/representation-view,artist died before copyright cutoff
1979.0232P,Q102967270,Lake George,painting by David Johnson,Q3695975,Q3305213,,,,19.5,24.5,,,,,https://forum.jstor.org/assets/26754443/representation-view,artist died before copyright cutoff
1984.028,Q102967814,Landscape with Figures,painting by Georges Michel,Q2028017,Q3305213,,,,19.5,27.5,,,,,https://forum.jstor.org/assets/26755773/representation-view,artist died before copyright cutoff
1979.0264P,Q102961508,Adoration of the Sheperds,painting by Hans Rottenhammer I,Q559004,Q3305213,,,,15.25,16.75,,,,,https://forum.jstor.org/assets/26754475/representation-view,artist died before copyright cutoff
1996.194,Q106577501,"Wakakusa, Album of bird studies",painting by Ikeda Mitsumasa,Q3148401,Q3305213,,,,11.5,13.75,,,,,https://forum.jstor.org/assets/26757896/representation-view,artist died before copyright cutoff
1979.0195P,Q102967848,Landscape with Shepherds,painting by Jan Both,Q981631,Q3305213,,,,42.25,54.25,,,,,https://forum.jstor.org/assets/26754406/representation-view,artist died before copyright cutoff
1986.003,Q103308814,St. John Consoling the Virgin,painting by Johannes Adam Simon Oertel,Q6216496,Q3305213,,,,20,15,,,,,https://forum.jstor.org/assets/26755919/representation-view,artist died before copyright cutoff
2003.036,Q102966448,Interior Scene,painting by Johannes Bosboom,Q1697296,Q3305213,,,,8.5,11.75,,,,,https://forum.jstor.org/assets/26758935/representation-view,artist died before copyright cutoff
1979.0236P,Q103299404,Dutch Interior,painting by Louis-Simon Cabaillot-Lassalle,Q21289417,Q3305213,,,,9.25,7.25,,,,,https://forum.jstor.org/assets/26754447/representation-view,artist died before copyright cutoff
1979.0251P,Q103309955,The Love Letter,painting by Pio Ricci,Q16043803,Q3305213,,,,14.75,9.5,,,,,https://forum.jstor.org/assets/26754462/representation-view,artist died before copyright cutoff
1986.008,Q103306966,Portrait of a Young Girl,painting by Ralph Eleaser Whiteside Earl,Q7287448,Q3305213,,,,16.75,14.25,,,,,https://forum.jstor.org/assets/26755924/representation-view,artist died before copyright cutoff
1979.0203P,Q104032530,Still Life with Fish,painting by William Merritt Chase 1979.0203P,Q265820,Q3305213,,,,17.5,21.5,,,,,https://forum.jstor.org/assets/26754414/representation-view,artist died before copyright cutoff
1979.0866P,Q104032652,The Smoking Room,print by Adriaen van Ostade 1979.0866P,Q352438,Q11060274,,,,5.75,6.25,,,,,https://forum.jstor.org/assets/26755078/representation-view,artist died before copyright cutoff
1979.0867P,Q104032655,The Smoking Room,print by Adriaen van Ostade 1979.0867P,Q352438,Q11060274,,,,5.75,6.25,,,,,https://forum.jstor.org/assets/26755079/representation-view,artist died before copyright cutoff
1979.0904P,Q104032618,The Anglers,print by Adriaen van Ostade 1979.0904P,Q352438,Q11060274,,,,5.75,7.5,,,,,https://forum.jstor.org/assets/26755116/representation-view,artist died before copyright cutoff
2007.032,Q102968478,"Massacre of the Innocents, after Jacopo Tintoretto",print by Aegidius Sadeler,Q1297898,Q11060274,,,,8.25,10,,,,,https://forum.jstor.org/assets/26759186/representation-view,artist died before copyright cutoff
2007.006,Q102976132,Untitled (Three men and a dog on a path above a waterfall),print by Aegidius Sadeler,Q1297898,Q11060274,,,,8.5,10.75,,,,,https://forum.jstor.org/assets/26759160/representation-view,artist died before copyright cutoff
1981.003,Q103308809,"St. Jerome, after Tintoretto (reproduction)",print by Agostino Carracci,Q316269,Q11060274,,,,16.75,11.75,,,,,https://forum.jstor.org/assets/26755577/representation-view,artist died before copyright cutoff
1996.003,Q102966819,"Kanaya, from ""The Fifty-three Stations of the Tokaido""",print by Andō Hiroshige,Q200798,Q11060274,,,,10,14.75,,,,,https://forum.jstor.org/assets/26757688/representation-view,artist died before copyright cutoff
1996.002,Q102969194,"Odawara, from ""The Fifty-three Stations of the Tokaido""",print by Andō Hiroshige,Q200798,Q11060274,,,,10,14.5,,,,,https://forum.jstor.org/assets/26757687/representation-view,artist died before copyright cutoff
1989.039,Q105091892,"L'Elève dessinateur, after Carl van Loo, 1764",print by Angélique Bregeon,Q105086214,Q11060274,,,,,,,,,,https://forum.jstor.org/assets/26756266/representation-view,artist died before copyright cutoff
1989.024,Q102964993,"Femmes de l'Isle de Siphanto, after Jean-Baptiste Hilair (1753-1822)",print by Antoine-Jean Duclos,Q18123317,Q11060274,,,,6,8.75,,,,,https://forum.jstor.org/assets/26756232/representation-view,artist died before copyright cutoff
2003.031,Q103308852,St. Thomas,print by Anton Maria Zanetti I,Q944948,Q11060274,,,,7.25,4.25,,,,,https://forum.jstor.org/assets/26758930/representation-view,artist died before copyright cutoff
2007.059,Q103311508,Untitled (Three women),print by Bernard Picart,Q559929,Q11060274,,,,4.5,3.5,,,,,https://forum.jstor.org/assets/26759216/representation-view,artist died before copyright cutoff
1999.180,Q102974600,The Musician,print by Charles Émile Jacque,Q125409,Q11060274,,,,3.25,5.5,,,,,https://forum.jstor.org/assets/26758403/representation-view,artist died before copyright cutoff
2007.026,Q106567734,"Untitled (Rural scene with two figures (gods); one in sky seated on an eagle, other figure seated on land)",print by Crescenzio Onofri,Q18596481,Q11060274,,,,12.5,17.75,,,,,https://forum.jstor.org/assets/26759180/representation-view,artist died before copyright cutoff
1980.013,Q102964839,Expulsion of the Moneylenders from the Temple,print by David Deuchar,Q30019620,Q11060274,,,,5.25,6.75,,,,,https://forum.jstor.org/assets/26755440/representation-view,artist died before copyright cutoff
2007.066,Q102976785,Vintage poster for Bridlington,print by Dudley Hardy,Q5790356,Q11060274,,,,,,,,,,https://forum.jstor.org/assets/26759223/representation-view,artist died before copyright cutoff
1999.175,Q106582605,A River God,print by Elisha Kirkall,Q18671113,Q11060274,,,,,13.5,,,,,https://forum.jstor.org/assets/26758398/representation-view,artist died before copyright cutoff
1989.010,Q102970619,Royal Fisherman,print by Eugène Isabey,Q714341,Q11060274,,,,9.75,13.5,,,,,https://forum.jstor.org/assets/26756218/representation-view,artist died before copyright cutoff
1988.034,Q106577469,Unknown,print by Francesco Fontebasso,Q447991,Q11060274,,,,15.25,20.5,,,,,https://forum.jstor.org/assets/26756096/representation-view,artist died before copyright cutoff
1989.033,Q106577471,Untitled,print by Gustave Dore and C.Y. Turner,Q6682,Q11060274,,,,5.75,8.25,,,,,https://forum.jstor.org/assets/26756241/representation-view,artist died before copyright cutoff
1979.0915P,Q102968719,Mort de la Madeleine,print by Heinrich Guttenberg,Q1597438,Q11060274,,,,6.25,8.75,,,,,https://forum.jstor.org/assets/26755127/representation-view,artist died before copyright cutoff
2007.004,Q105092320,Untitled (Travelers to Emmaus),print by Hendrik Hond,Q926814,Q11060274,,,,10.25,15.5,,,,,https://forum.jstor.org/assets/26759158/representation-view,artist died before copyright cutoff
1989.016,Q102975215,Title Unknown,print by Henry Farrer,Q75597332,Q11060274,,,,3.25,5,,,,,https://forum.jstor.org/assets/26756224/representation-view,artist died before copyright cutoff
1996.001,Q102977550,"Yui, from ""The Fifty-three Stations of the Tokaido""",print by Hiroshige,Q200798,Q11060274,,,,10,14.75,,,,,https://forum.jstor.org/assets/26757686/representation-view,artist died before copyright cutoff
1992.256,Q103296586,"A Tray of Octopus, Blowfish, Crab, and Two Other Fish (facsimile)",print by Hokkei Toyota,Q52154484,Q11060274,,,,8.5,7.25,,,,,https://forum.jstor.org/assets/26756572/representation-view,artist died before copyright cutoff
1999.176,Q102963279,Christ Before Pilate,print by Hubertus Goltzius,Q1866375,Q11060274,,,,,,,,,,https://forum.jstor.org/assets/26758399/representation-view,artist died before copyright cutoff
