inventory_number,string,lang
#1979.0946P,"Plate 22 from: Au Bal Masqué (The Masked Ball) Fourth suite, 1860 Qu’as-tu donc Coralie-, t’as l’air tout chose Parce que j’ai reçu trois invitations à souper de trois messieurs très bien et je ne sais auquel donner la préférence!….Franchement…, tu ne peux pas souper trois fois dans une nuit. C’est bien ce qui me contrarie…. (Soupirant) ah! C’est dans ces circonstances que l’on reconnaît la faiblesse de la nature humaine!",fr
#1979.0947P,"Plate  26 from Au Bal Masqué (4th suite) Ah! Scélérat, tu me trompes tu es avec une femme dans cette loge! Caroline…ne sois pas jalouse….je suis avec ma grand’mère qui a voulu voir encore une fois un bal de l’Opéra…..Ta grand’mère…..mais cette femme est déguisée en bébé!…..Puisque je te dis que c’est ma grand’mère…..elle est tombée en enfance!…..",fr
#1979.0948P,"Plate 28 from Au Bal Masqué (The Masked Ball) Fourth suite, 1860 Je voudrais bien savoir avec quelle femme Georges est dans cette loge….Ecoutons ce qu’ils se disent. Ils ne se parlent pas!….Alors, c’est signés qu’il est avec sa femme!….",fr
#1979.0949P,"Plate 32 from Au Bal Masqué (The Masked Ball) Fourth suite, 1860 Dis donc, si ces messieurs qui nous ont donné rendez-vous ici n’allaient pas venir-, que ferions-nous…C’est bien simple, nous souperions sans eux! Mais qui paiera l’addition….Nous inviterons le garçon à souper…et comme il n’y aura que lui en fait d’homme…il sera bien obligé de payer!",fr
#1979.0950P,"Plate 12 from Bals Masqués (Masked Balls) Fourth suite, 1859 —Tu as eu tort Angélina, de repousser les avances de Paul…c’est un garçon très spirituel!… —Spirituel…..c’est justement pour ça…il ne me laisserait pas facilement le plumer!… (—You were wrong, Angélina, to reject Paul’s advances…he’s a very spiritual boy!… —Spiritual…it’s exactly for that reason…he would not very willingly let me undress him!…)",fr
#1979.0951P,"Plate 16 from Bals Masqués (Masked Balls) Fourth suite, 1859 —Bergère-, je n’ai pas l’sou ce soir-, si tu veux nous souperons avec les côtelettes d’un de tes moutons… —Pané!….",fr
#1979.0953P,"Plate 35 from Dialogues Parisiens (Parisian Conversations) Second suite, 1859 —Mon ami…, une de mes amies, qui a voyagé en Suisse, et qui sait très bien dessiner, vient de m’envoyer un album où elle a représenté toutes les plus belles vues de ce pays!… —Oh! Elle est bien aimable!…au moins de cette façon, nous n’aurons pas besoin d’aller voir la Suisse l’année prochaine; comme tu me l’avais demandé…",fr
#1979.0954P,"Plate 43 from ""Dialogues Parisiens  (Parisian Conversations) (2nd suite) Qu’as-tu donc, ma chère…Je m’ennuie!…Que dois-je faire pour te distraire….veux-tu que j’aille te promener….Non….vas-y tout seul….",fr
#1979.0955P,"Plate 45 from ""Dialogues Parisiens""  (Parisian Conversations) (Second suite), 1860 Madame, quel jous pourrai-je aller vous voir pour toucher les quinze cents francs de marchandise que vous avez achetées chez moi….Mon cher monsieur…je reçois tous les mercredis soir…, on prend du thé et on joue du piano …si vous jouez du violon, je vous prie de l’apporter…, ça me fera bien plaisir de vous entendre!",fr
#1979.0956P,"Plate 4 from La Foire Aux Amours(The Fair of Love); originally published in Paris, December 28, 1852  — -et si Mademoiselle daignait accepter l'hommage et le souper d'un gentilhomme- — As-tu fini! (— …and if Mademoiselle deigns to accept the compliments and dinner of a gentleman… — Are you quite finished!)",en
#1979.0958P,"Plate 10 from Les Partageuses (The Gossipers); originally published in Paris, November 14, 1852  —J'ar la Charité, Mosieu le Marquis: ayez la Foi. —I have charity, Mister Marquis, have faith.",en
#1979.0959P,"Plate 11 from Les Partageuses (The Gossipers); originally published in Paris, November 29, 1852   —Ma chère, les hommes, c'est farce! toujours la  mème chanson: une femme à soi seul.  —Toqués!  toqués!",fr
#1982.069,"Illustration to Dante's La Divine Comédie,  Le Purgatore: Chant 26: ""Rencontre de deux troupes de luxurieux"" (Canto 26: ""Meeting of Two Groups of Lustful Ones"")",fr
#1970.066,Veduta delle antiche Sostruzioni fatte da Tarquinio Superbo dette il Bel Lido (View of the Ancient Structure Built by Tarquinius Superbus called the Bel Lido),it
#1972.081,"Plan exact des fortifications du Château de Choczim sur le Niester; avec le forts et retranchements de l'Armée des Turcs, défaite en 1673 par Jean Sobieski, Général en Chef des Polonois, ensuite Roi de Pologne, sous le nom de Jean III",fr
#1973.021,"Notre bon allié le Pacha d’Egypte…et la Syrie, Monsieur, la Syrie! Oui, mais le Statu quo Européen. D'ailleurs, le quadruple traité…la France se doit à elle-même. Oui, mais le Statu quo Européen. Ah! Bah! vous parlez comme une poule mouillée.| Plate 16 from Les Baigneurs  (The Bathers); as published in Le Charivari, August 30, 1840",fr
#1976.028,"Figurliche Komposition (Figurative Composition), from Genius, Zeitschrift für werdende und alte Kunst (Magazine for Emerging and Ancient Art), Year 3, No. 1",de
#1979.0698P,"No. 25 from Les Representans Representés,  Assemblée Législative; Achille Fould ; originally published in Le Charivari, December 20, 1849 Position favorite de ce ministre des finances qui trouve qu’en fait d’améliorations sociales, on n’a rien de mieux à faire qu’à se croiser les bras.",fr
#1979.0699P,"Plate 29 from Types Parisiens (Parisian Types); originally published in La Caricature, September 13, 1840 Désagrément de causer avec les gens qui ont la manie de mettre le récit en action. —Oui, mon cher Monsieur, croiriez-vous que le ppppolisson s’est permis de me rire au nez. Vous savez que je n’ai pas le caractère endurant. Alors, je l’ai empoigné….là, comme cela, voyez-vous; et je vous l’ai secoué…là, comme ça…vigoureusement.",fr
#1979.0700P,"L’entrée du grand tunnel d’un chemin de fer. (The entrance of the big railway tunnel); as published in La Caricature, July 9, 1843 Messieurs, nous allons entrer sous le grand tunnel qui est fort étroit…je vous en supplie, ne bougez pas pendant tout le trajet…il n’y a pas de voyage qu’il ne se perde ici un bras, une jambe ou un nez…et vous comprenez qu’il est impossible à l’administration de les retrouver dans un souterrain tout noir, qui a deux lieuex de long!",fr
#1979.0702P,"Plate 9 from Les Gens du Justice (Men of the Law); originally published in Le Charivari, May 2, 1845 —Vous m'avez injurié dans votre plaidoirie, mais je saurai bien vous forcer a m'en rendre raison! —Monsieur, apprenz que je ne vous crains pas!-j'ai au plus haut degré, le courage civil de ne jamais répondre à une provocation!",fr
