inventory_number,string
#1992.038,Menuki (Sword Hilt Ornament) with a Design of a Bear
#1992.039,Menuki (Sword Hilt Ornament) with a Design of Pomegranates
#1992.040,Menuki (Sword Hilt Ornament) with a Design of a Man with a Rake
#1992.041,Menuki (Sword Hilt Ornament) with a Design of Two Tops
#1992.042,Menuki (Sword Hilt Ornament) with a Design of an Insect
#1992.043,Menuki (Sword Hilt Ornament) with a Design of Fukurokuju (One of the Seven Lucky Gods) Holding a Fan and a Scroll
#1992.044,Menuki (Sword Hilt Ornament) with a Design of a Boy with a Broom Standing by a Tub with a Tortoise
#1992.045,Menuki (Sword Hilt Ornament) with a Design of a Seated Man with a Drinking Gourd
#1992.046,Menuki (Sword Hilt Ornament) with a Design of Two Stags and a Doe
#1992.047,Menuki (Sword Hilt Ornament) with a Design of a Treasure Ship
#1992.048,Menuki (Sword Hilt Ornament) with a Design of a Treasure Ship
#1992.049,Menuki (Sword Hilt Ornament) with a Design of a Ceremonial Whisk
#1992.050,Menuki (Sword Hilt Ornament) with a Design of a Flat Ceremonial Fan
#1992.051,Menuki (Sword Hilt Ornament) with a Design of a Bundle of Flowers
#1992.052,Menuki (Sword Hilt Ornament) with a Design of Five Diamond Shapes
#1992.053,Menuki (Sword Hilt Ornament) with a Design of a Man Holding a Sake Cup
#1992.054,Menuki (Sword Hilt Ornament) with a Design of a Figure Holding a Fan in Front of Chrysanthemums
#1992.055,Reproduction of a Menuki (Sword Hilt Ornament) with a Design of an Insect
#1992.056,Reproduction of a Menuki (Sword Hilt Ornament) with a Design of an Insect
#1992.057,Reproduction of a Menuki (Sword Hilt Ornament) with a Design of a Praying Mantis
#1992.058,Reproduction of a Menuki (Sword Hilt Ornament) with a Design of a Praying Mantis
#1992.059,Reproduction of a Menuki (Sword Hilt Ornament) with a Design of Two Armored Warriors
#1992.060,Reproduction of a Menuki (Sword Hilt Ornament) with a Design of a Warrior on Horseback
#1992.062,Obijime (Obi Cord Ornament) in the Form of Two Masu (Fish)
#1992.063,Menuki (Sword Hilt Ornament) with a Design of a Recumbent Demon
#1992.064,Clasp in the Form of Hotei
#1992.065,Menuki (Sword Hilt Ornament) with a Design of Shoki  (the Demon Queller)
#1992.066,Menuki (Sword Hilt Ornament) with a Design of a Chrysanthemum and Water
#1992.067,Menuki (Sword Hilt Ornament) with a Design of a Tengu (Mountain Deity) Emerging from an Egg
#1992.177,Pierced Ojime (Closing Bead) in the Form of a Warrior's Head Wearing a Helmet
#1992.228,"Circular Mirror With a Design of Taoist Immortals, a Pavilion, a Deer, a Crane, and a Conch Shell"
#1992.229,Circular Mirror with a Mythical Beast in the Center
#1992.241,Kanzashi (Woman's Hair Ornament) - Circular Pin with a Chrysanthemum Design
#1992.242,Kanzashi (Woman's Hair Ornament) - Circular Pin with a Design of Flowers and Leaves
#1992.337a,One of a Pair of Carved Oval Wooden Picture Frames
#1992.337b,One of a Pair of Carved Oval Wooden Picture Frames
#1973.018,Bird Without Nest (bicyclist sculpture)
#1976.036,The Blacksmith Worker
#1978.026,Robe in K'o-ssu silk tapestry weave
#1979.0067,Woman's purple kimono with off-white lining
#1979.0068,Woman's white underclothing
#1979.0069,Woman's white coat
#1979.0072,Collar from a woman's robe
#1979.0101,Ceres (from a Cycle of the Four Seasons)
#1979.0102,Reproduction of an Ancient Chinese Horse
#1979.0103,Reproduction of an Ancient Chinese Horse
#1979.0104,Bowl with foliage decoration
#1979.0391P,Ceramic reproduction of an ancient pitcher
#1979.0393P,Ceramic Pitcher
#1979.0394P,Black jug
#1979.0395P,Brown and cream ceramic bottle
#1979.0400P,Brown ceramic pitcher
#1979.0401P,Small vase
#1979.0402P,Brown and orange pitcher
#1979.0403P,Jugtown Pottery Grey Pitcher
#1979.0405P,Brown and tan jug
#1979.0429P,Sheep bell
#1979.0430P,Square brown bottle
#1979.0431P,Knife
#1979.0440P,Miniature chair from Skyros
#1979.0441P,Flute from Kilikis
#1979.0442P,Poutos (a stringed instrument)
#1979.0444P,Vase with Lid
#1979.0449P,Pot
#1979.0450P,Pot
#1979.0451P,Brown glass art object
#1979.0453P,"Miniature ""true"" replica of the Dead Sea Scrolls"
#1979.0459P,Ball of coarse yarn
#1979.0465P,Woven bag
#1979.0466P,Battle ax with ivory inlays
#1979.0467P,Spear Thrower
#1979.0468P,Boomerang
#1979.0470P,Boomerang
#1979.0488P,Covered Pot
#1979.0491P,Red Pot
#1979.0493P,Decorative plate in a box/case
#1979.0496P,Bamboo boxes
#1979.0546P,Brown bottle
#1979.0547P,Brown bottle
#1979.0548P,Green brown bottle
#1979.0549P,Pale green bottle with design of an eagle
#1979.0550P,Bottle
#1979.0551P,Bottle
#1979.0552P,Brown bottle
#1979.0553,Green glass bottle
#1979.0554P,Pale green glass bowl on a stem
#1979.0555P,Pale brown bottle
#1979.0557P,Brown bottle
#1979.0558P,Green bottle
#1979.0560P,Bottle
#1979.0561P,Bottle with a raised relief of an image of George Washington
#1979.0562P,Bottle
#1979.0563P,Brown bottle
#1979.0564P,Green bottle
#1979.0565P,Pale green and white glass bottle
#1979.0569P,Green bottle
#1979.0570P,Bottle in wicker covering
#1979.0571P,Brown bottle
#1979.0572P,Brown bottle/jar
#1979.0573P,Brown ceramic bottle
#1979.0574P,Green bottle
#1979.0575P,Green bottle
#1979.0578P,Bottle in wicker
#1979.0579P,Bottle in wicker
#1979.0581P,Bowl
#1979.0594P,Jug
#1979.0595P,"Jug with one handle, blue decoration"
#1979.0597P,Jug with one handle with blue decoration
#1979.0604P,Vase with green stripes and design of pink flowers
#1979.0605P,Vase with green stripes and design of pink flowers
#1979.0612P,Vase with colored glass decoration
#1979.0622P,Pitcher
#1979.0663P,One of two urns
#1979.0672P,Scales from Salonica
#1979.0673P,"Pale blue-green, grey and white bowl"
#1979.0675P,Vase
#1979.0815P,Satyr Head
#1979.0882P,Brown jug
