orcid,givenNames,familyName,startDate,endDate,department,organization
0000-0003-1235-1230,Naveen,Gokanapudi,2018-11-16,,Chemistry,Vanderbilt University
0000-0003-1043-9458,mark,adams,1996-10-20,,Pediatric Urology,Vanderbilt University
0000-0002-8360-6299,Janos,Sztipanovits,1983-09-01,,Institute for Software Integrated Systems,Vanderbilt University
0000-0003-3067-1238,Jennifer,Harvey,,,,Vanderbilt University
0000-0003-4257-7142,Daniel,Fleetwood,,,Electrical Engineering and Computer Science,Vanderbilt University
0000-0002-0880-8528,Andrew,Finch,2006-06-01,,Human & Organizational Development,Vanderbilt University
0000-0003-2360-0589,Shaul,Kelner,2005,,Sociology & Jewish Studies,Vanderbilt University
0000-0002-0488-622X,Jessica,Brown,,,,Vanderbilt University
0000-0003-4400-337X,Erin,Aho,,,Cell and Developmental Biology,Vanderbilt University
0000-0003-3053-935X,Thomas,Manuel,,,BME,Vanderbilt University
0000-0001-7566-5195,Erin,Meyers,,,Law & Economics,Vanderbilt University
0000-0002-7676-2592,Sean,Bedingfield,2015-07-07,2020-05-08,Biomedical Engineering,Vanderbilt University
0000-0003-2899-8362,Anuj,Rastogi,2018-05-10,,Cell and developmental biology,Vanderbilt University
0000-0002-6096-3525,Yannan ,Huang,2015-09-03,2019-07-12,Department of Biological Sciences ,Vanderbilt University
0000-0002-8008-7059,Jose,Maldonado,2018-06-04,,Molecular Physiology and Biophysics,Vanderbilt University
0000-0002-0499-2620,Ebony,McGee,2012-08-01,,Teaching and Learning,Vanderbilt University
0000-0003-4210-0280,Glenn,Webb,,,,Vanderbilt University
0000-0003-2642-1594,James,O'Connor,2016-08,,,Vanderbilt University
0000-0002-3331-1580,Rachana,Nitin,2015-08-01,,Vanderbilt Brain Institute,Vanderbilt University
0000-0002-8449-6263,Adam,Steffanick,2015-05-01,,English Language Center,Vanderbilt University
0000-0002-8449-6263,Adam,Steffanick,2012-06-18,2015-04-30,English Language Center,Vanderbilt University
0000-0001-7775-9099,Gabor,Karsai,,,Electrical Engineering and Computer Science,Vanderbilt University
0000-0002-8998-3917,Sarah,Wiesen,,,,Vanderbilt University
0000-0001-9231-2180,Yakov,Pichkar,2018-08,,Biological Sciences,Vanderbilt University
0000-0001-7677-0114,Ethan,McClain,,,,Vanderbilt University
0000-0002-7434-9905,Connor,Lehmacher,2018-08,,Mathematics,Vanderbilt University
0000-0001-8894-3932,McKenzie,Windham,2019-01-07,,Chemical and Biomolecular Engineering,Vanderbilt University
0000-0003-1007-8912,Karan,Jani,2019-07-01,,Department of Physics and Astronomy,Vanderbilt University
0000-0002-9440-932X,David,Chan,2017-08-01,,Mathematics,Vanderbilt University
0000-0002-2381-3341,Tyler,Perfitt,,,Molecular Physiology & Biophysics,Vanderbilt University
0000-0002-5212-0667,Steven,Krahn,2010-12-01,,Civil & Environmental Engineering,Vanderbilt University
0000-0003-3868-0358,Caroline,Janssen,,,,Vanderbilt University
0000-0003-2574-579X,Fernando,Varela,,,Spanish and Portuguese,Vanderbilt University
0000-0002-5417-7827,Abigail,Searfoss,,,Chemical and Physical Biology,Vanderbilt University
0000-0002-1049-3692,Mariana,Gabi,2019-01-01,,,Vanderbilt University
0000-0002-1049-3692,Mariana,Gabi,2015-01-20,2018-12-31,,Vanderbilt University
0000-0001-9735-8946,Mollie,Rubin,,,,Vanderbilt University
0000-0002-1010-970X,Ellen,Goldring,,,"Peabody College, Department of Leadership, Policy and Organizations",Vanderbilt University
0000-0002-7584-6495,Russell,Spiker,2018-07-01,,LGBT Policy Lab,Vanderbilt University
0000-0002-8010-1279,Marion,Sauer,2014-08-05,,Chemical and Physical Biology Program,Vanderbilt University
0000-0001-7912-8450,Michael,Kammer,2019-01-15,,Chemistry,Vanderbilt University
0000-0003-2091-8102,Ashley,Jones,,,,Vanderbilt University
0000-0002-3754-6213,Eden,Faneuff,2019-08,,,Vanderbilt University
0000-0002-3305-6612,Archana,Krishnamoorthy,,,Biochemistry,Vanderbilt University
0000-0002-2346-230X,Stacy,Sherrod,2009-07-01,,Chemistry,Vanderbilt University
0000-0003-0285-3376,Paige,Vinson,2009-01-05,,Pharmacology,Vanderbilt University
0000-0001-8756-106X,David,Cliffel,,,Chemistry,Vanderbilt University
0000-0003-3681-720X,Nora,Schulz,2019-11-01,,Biological Sciences,Vanderbilt University
0000-0003-1969-2388,Sankaran,Mahadevan,,,,Vanderbilt University
0000-0002-6681-8273,Marybeth,Shinn,2008-09-01,,Human and Organizational Development,Vanderbilt University
0000-0002-9886-0118,Kameron,Hagerla,2018,2020-05,Chemical Engineering,Vanderbilt University
0000-0002-0527-3855,Sami,Halimi,2017-05,,Electrical Engineering and Computer Science,Vanderbilt University
0000-0002-9036-2261,Nathan,Haag,2018-08-14,,School for Science and Math,Vanderbilt University
0000-0003-4674-6855,Tengfei,Cao,2016-06-01,,Materials Science,Vanderbilt University
0000-0003-4674-6855,Tengfei,Cao,2015-08-15,2016-05-31,Materials Science,Vanderbilt University
0000-0001-8364-0924,Deyu,Li,2004-01-01,,Mechanical Engineering,Vanderbilt University
0000-0002-7323-7805,Joseph,Wehby,1990-05-14,,Special Education,Vanderbilt University
0000-0001-8106-8450,Tamika,Hudson,,,School of Nursing,Vanderbilt University
0000-0003-2876-585X,Akos,Ledeczi,1996-01-02,,Electrical Engineering and Computer Science,Vanderbilt University
0000-0002-4849-3209,Eric,Ritter,,,,Vanderbilt University
0000-0003-1380-5791,Weiqiang,Qian,,,Psychology and Human Development,Vanderbilt University
0000-0001-8674-3371,Allison,Leich Hilbun,2017-08-01,,Biological Sciences,Vanderbilt University
0000-0003-4257-542X,Lucia,Rameh,2018-10-15,,Biochemistry,Vanderbilt University
0000-0002-5843-9345,Kayla,Shumate,,,,Vanderbilt University
0000-0002-0770-0945,JOSEPH,HAMILTON,1958,,Physics,Vanderbilt University
0000-0002-5966-3058,Dimitrios,Boursinos,,,Electrical Engineering and Computer Science,Vanderbilt University
0000-0002-7153-868X,Mindy,Pike,2018-05,,Epidemiology,Vanderbilt University
0000-0003-1980-8643,Cathy,Maxwell,2014-07-01,,School of Nursing,Vanderbilt University
0000-0002-4149-5463,Katerina ,Traut,,,Political Science,Vanderbilt University
0000-0002-4983-7528,Yang,Zhao,2016-08-19,2021-01-31,Mechanical Engineering,Vanderbilt University
0000-0003-2344-8468,Victoria,Ng,2014-06,,,Vanderbilt University
0000-0003-4549-0333,Brian,Broll,,,Computer Science,Vanderbilt University
0000-0002-8355-3000,Souhrid,Mukherjee,2016-08-16,,Biological Sciences,Vanderbilt University
0000-0002-9598-932X,Yuxun,Ren,2019-09-15,2020-12-18,Mechanical Engineering,Vanderbilt University
0000-0002-9871-8058,Scott,Guelcher,2005-07-01,,Chemical and Biomolecular Engineering,Vanderbilt University
0000-0002-0190-7398,Kate,Clouse,2014-02-01,,,Vanderbilt University
0000-0002-4086-9638,Corey,Brady,2016-08-21,,Teaching and Learning,Vanderbilt University
0000-0001-6036-5261,Tetsuya,Mori,,,Biological Sciences,Vanderbilt University
0000-0002-8567-368X,Richard,d'Arcy,,,,Vanderbilt University
0000-0003-0324-9314,Christina,Marasco,2019-08,,Biomedical Engineering,Vanderbilt University
0000-0001-9861-2790,Qian,Yang,2019-11-01,,Molecular Physiology and Biophysics,Vanderbilt University
0000-0001-9729-9413,Samantha,Bianco,2019-05-20,2019-08-04,Physics and Astronomy,Vanderbilt University
0000-0002-2477-8648,Raajaram,Gowrishankar,2015-08-15,,Neuroscience Graduate Program,Vanderbilt University
0000-0003-0096-8401,George,Crossley,2014-08-23,,,Vanderbilt University
0000-0003-0813-1294,Michael,Neel,,,"Leadership, Policy, & Organizations",Vanderbilt University
0000-0001-9879-8062,Sean,Davies,,,Pharmacology,Vanderbilt University
0000-0003-3749-0122,Maulik,Patel,,,,Vanderbilt University
0000-0002-9734-8083,Ellen,Armour,2006-08-01,,Divinity School,Vanderbilt University
0000-0001-8307-7895,Elizabeth,Biggs,,,Department of Special Education,Vanderbilt University
0000-0002-7850-831X,Marcela,Reyna-Neyra,2019-10-28,,Molecular Physiology and Biophysics,Vanderbilt University
0000-0002-3272-4308,Darren,Tyson,2017-09-26,,Biochemistry,Vanderbilt University
0000-0002-3272-4308,Darren,Tyson,2008-09-01,2017-09-25,Cancer Biology,Vanderbilt University
0000-0002-7966-0102,Michael,Valentine,2020-07-01,,Biomedical Engineering Department,Vanderbilt University
0000-0002-5896-7850,Mahmud,Reaz,2017-08-14,,EECS,Vanderbilt University
0000-0003-2878-3193,Carl,Johnson,1987-08-07,,Biological Sciences,Vanderbilt University
0000-0003-0251-5182,Brian,McCann,,,Owen Graduate School of Management,Vanderbilt University
0000-0002-5363-9428,Travis,Crook,,,Pediatrics,Vanderbilt University
0000-0002-3168-8894,Samuel,White,2015-08,,Physics and Astronomy,Vanderbilt University
0000-0002-6999-7764,Emilie,Townes,2013-07-01,,Divinity School,Vanderbilt University
0000-0003-0946-9297,Geoffrey,Woodman,2007-07-01,,Psychology,Vanderbilt University
0000-0003-1079-9074,Edward,SAFF,2001-09-01,,Mathematics,Vanderbilt University
0000-0002-8455-1832,GUOCHONG,JIA,2017-06-20,,,Vanderbilt University
0000-0002-9438-1638,Jianchun,Chen,2007-07-01,,medicine,Vanderbilt University
0000-0002-7915-4357,Anusha,meni,2020-06-07,,Biochemistry,Vanderbilt University
0000-0002-5511-9805,Melinda,Buntin,2013,,Department of Health Policy,Vanderbilt University
0000-0002-2882-6272,Marzia,Milazzo,2013-08-01,,English,Vanderbilt University
0000-0002-7220-3558,Lauren,Buck,,,Electrical Engineering and Computer Science,Vanderbilt University
0000-0002-6176-9177,Amy,Kendall,1999-09-01,,Biological Sciences,Vanderbilt University
0000-0001-9243-5084,Janel,Beckley,2012-07-01,2018-12-31,Cell and Developmental Biology,Vanderbilt University
0000-0001-9243-5084,Janel,Beckley,2007-07-01,2012-06-30,Cell and Developmental Biology,Vanderbilt University
0000-0002-8552-9135,Clare,McCabe,2004,,Chemical & Biomolecular Engineering,Vanderbilt University
0000-0001-6518-2747,Benjamin,Hornsby,2002,,Hearing and Speech Sciences,Vanderbilt University
0000-0002-3178-0201,Julian,Hillyer,,,Department of Biological Sciences,Vanderbilt University
0000-0003-4975-1086,Jessica,Watkins,,,Department of Teaching and Learning,Vanderbilt University
0000-0002-9154-4315,Graham,Johnson,,,Biomedical Engineering,Vanderbilt University
0000-0001-6210-070X,Mulubrhan,Mogos,,,Center for Research Development and Scholarship,Vanderbilt University
0000-0002-8676-687X,Alfredo,Gamboa,2002-02-01,,,Vanderbilt University
0000-0002-0514-4199,David J.,Wasserstein,2004,,History and Jewish Studies,Vanderbilt University
0000-0002-7438-3097,Zeeshan,Samad,2016-08-01,,Economics,Vanderbilt University
0000-0001-7581-0006,Susan,Andrews,2010-05-07,,School of Nursing,Vanderbilt University
0000-0003-3567-0912,Ryszard,Dworski,,,Medicine,Vanderbilt University
0000-0003-3216-4563,Connor,Beebout,,,,Vanderbilt University
0000-0002-5884-181X,Bruce,Compas,,,,Vanderbilt University
0000-0002-3509-601X,Carlos,Silvera Batista,2017-08-17,,Chemical Engineering,Vanderbilt University
0000-0003-3184-8365,Berkcan,Kapusuzoglu,2017,2022,Civil and Environmental Engineering,Vanderbilt University
0000-0003-3259-9014,Jordan,Jurinsky,2019-08,,Human and Organizational Development,Vanderbilt University
0000-0002-3652-1612,James,Nichols,2012-09-01,,"PAthology, Microbiology and Immunology",Vanderbilt University
0000-0003-2237-4903,Heidi,Silver,,,,Vanderbilt University
0000-0001-7371-0060,Huahong,Zhang,,,EECS,Vanderbilt University
0000-0003-3368-5408,John,Rausch,2017-10-01,,Earth and Environmental Sciences,Vanderbilt University
0000-0003-3368-5408,John,Rausch,2015-01,2017-09-30,Earth and Environmental Sciences,Vanderbilt University
0000-0001-5733-2127,Bennett,Landman,,,Electrical Engineering,Vanderbilt University
0000-0001-6506-3916,Subramaniam,Sriram,1994-04,,Neurology,Vanderbilt University
0000-0003-2139-4937,Wahid,Zaman,2018-01-01,,Mechanical Engineering,Vanderbilt University
0000-0002-8341-5871,Nicholas,Adams,2014-11-01,,Biomedical Engineering,Vanderbilt University
0000-0001-7133-9659,Ralf,Bennartz,2013-07-01,,Earth & Environmental Sciences,Vanderbilt University
0000-0001-5509-5762,Marcel,Bischoff,2014-08-16,2017-08-15,Department of Mathematics,Vanderbilt University
0000-0002-7053-1574,pankaj,sharma,2016-12-01,,pharmacology,Vanderbilt University
0000-0003-3923-5491,Akshith,Ullal,2018-06-01,,EECS,Vanderbilt University
0000-0001-9125-2593,Claire,Winchester,2017-08-01,,Peabody College,Vanderbilt University
0000-0001-6850-107X,Yanjun,Liu,,,Psychological and Brain Science,Vanderbilt University
0000-0001-6376-4292,Shunxing,Bao,2012-08-01,,Computer Science,Vanderbilt University
0000-0002-9868-8530,Mark,Vander Roest,2014-06-10,2019-12-13,Biomedical Engineering,Vanderbilt University
0000-0002-9407-3969,Mollie J,Todt,2018-09-01,,Special Education,Vanderbilt University
0000-0001-8117-0260,David,Hess,,,Sociology Department,Vanderbilt University
0000-0002-2196-8219,Breanne,Gibson,2015-08-01,,Pharmacology,Vanderbilt University
0000-0003-0154-140X,David,Cortez,2002-08-01,,Biochemistry,Vanderbilt University
0000-0002-6719-1388,Chao,Yan,2015-08-20,,EECS,Vanderbilt University
0000-0002-4484-8877,Andres,Zamora,1998-08-01,,Spanish and Portuguese,Vanderbilt University
0000-0002-7478-4317,Peter,Volgyesi,2000-09-01,,ISIS / EECS,Vanderbilt University
0000-0001-5833-2807,Patrick,Greiner,2018,,Sociology,Vanderbilt University
0000-0001-5944-750X,Sierra,Barone,,,,Vanderbilt University
0000-0001-5824-9595,Alexander,Bick,2020-07-01,,Medicine,Vanderbilt University
0000-0002-0352-7743,Zi-Yi,Guo,,,,Vanderbilt University
0000-0003-0507-1847,Qingxia,Chen,2005-08-01,,Biostatistics,Vanderbilt University
0000-0002-6601-9359,Sourav,Tarafdar,2019-03-01,,Department of Physics and Astronomy,Vanderbilt University
0000-0001-6921-4187,Thilo,Womelsdorf,2017-08-16,,Psychology,Vanderbilt University
0000-0003-0560-8157,Kari,Hoffman,2017-08-15,,Psychological Sciences,Vanderbilt University
0000-0003-2390-5892,Michael,Shepherd,2015-08-15,,Political Science,Vanderbilt University
0000-0002-0965-2297,Brandt,Eichman,2004-08,,Department of Biological Sciences,Vanderbilt University
0000-0003-0380-0903,Anna,Brown,2012-10-01,,"Division of Allergy, Immunology, and Pulmonary Medicine",Vanderbilt University Medical Center
0000-0002-0473-4373,Natalie,Hawken,2015-03,,Molecular Physiology and Biophysics,Vanderbilt University Medical Center: Terunaga Nakagawa
0000-0002-0131-2626,Megan,Hollister,,,Biostatistics,Vanderbilt University Medical Center
0000-0001-5373-0814,Maxine,Kelly,2006-10-16,,Office of Sponsored Programs,Vanderbilt University Medical Center
0000-0002-8849-6746,Diane,Saunders,2018-05,,"Diabetes, Endocrinology & Metabolism",Vanderbilt University Medical Center
0000-0002-7587-0663,Megan,Capozzi,2007,2011,Ophthalmology and Visual Sciences,Vanderbilt University Medical Center
0000-0003-0148-1734,Shusen,Pu,2021-01-10,2023-01-09,Biomedical Engineering,Vanderbilt University 
0000-0003-0148-1734,Shusen,Pu,2020-08-15,2020-12-31,Mathematics,Vanderbilt University
0000-0001-6355-7277,Sean,Lee,2020-06-01,,Neurology,Vanderbilt University Medical Center
0000-0001-6355-7277,Sean,Lee,2011-08,2016-10,Vanderbilt Eye Institute,Vanderbilt University Medical Center
0000-0002-4550-2026,Kristin,O'Grady,2019-01-01,,Radiology and Radiological Sciences,Vanderbilt University Medical Center
0000-0002-4550-2026,Kristin,O'Grady,2016-01-01,2018-12-31,,Vanderbilt University Medical Center
0000-0002-4014-467X,Taneya Y,Koonce,2016,,Center for Knowledge Management,Vanderbilt University Medical Center 
0000-0002-7958-7662,Sarah,Jaser,2012-08-31,,Pediatrics,Vanderbilt University Medical Center
0000-0002-0331-5652,Charles,Williams,2017-01,,,Vanderbilt University Medical Center
0000-0002-0331-5652,Charles,Williams,2010,2012,,Vanderbilt University
0000-0002-0331-5652,Charles,Williams,2007,2010,,Vanderbilt University
0000-0002-4943-1018,Neha,Sawhney,2019-04,,"Division of Infectious Diseases, Department of Medicine",Vanderbilt University Medical Center
0000-0002-4943-1018,Neha,Sawhney,2018-03,2019-04,"Division of Infectious Diseases, Department of Medicine",Vanderbilt University Medical Center
0000-0002-4943-1018,Neha,Sawhney,2016-03,2018-02,Chemical Biology,Vanderbilt University
0000-0002-5951-7384,Todd,Peterson,2016-05-01,,Radiology & Radiological Sciences,Vanderbilt University Medical Center
0000-0002-5951-7384,Todd,Peterson,2003-07-01,2016-04-30,Radiology & Radiological Sciences,Vanderbilt University
0000-0002-0824-7126,Eric,Chung,2008-06-01,2010-08-10,Biomedical Engineering,Vanderbilt University Medical Center
0000-0002-3827-634X,Emily,Harmata,2012-02,,Surgery,Vanderbilt University Medical Center
0000-0002-7472-5990,Neil,Woodward,2009-07-01,,Psychiatry and Behavioral Sciences,Vanderbilt University Medical Center
0000-0003-4455-3566,Katelyn,Berg,2019-08,,,Vanderbilt University Medical Center
0000-0002-5723-5834,Jacob,Feldman,2020-08,,Hearing and Speech Sciences,Vanderbilt University Medical Center
0000-0001-7302-8045,Alyssa,Hasty,2017-01-01,,,Vanderbilt University School of Medicine
0000-0001-7302-8045,Alyssa,Hasty,2015-07,,Molecular Physiology and Biophysics,Vanderbilt University School of Medicine
0000-0001-7302-8045,Alyssa,Hasty,2009,2015,Molecular Physiology and Biophysics,Vanderbilt University School of Medicine
0000-0001-7302-8045,Alyssa,Hasty,2003,2009,Molecular Physiology and Biophysics,Vanderbilt University School of Medicine
0000-0001-7302-8045,Alyssa,Hasty,2001,2003,Cardiovascular Medicine,Vanderbilt University School of Medicine
0000-0002-3144-9906,Kevin,High,1989-06-01,,Department of Emergency Medicine,Vanderbilt University Medical Center
0000-0002-4839-4788,Charlotte,Brown,,,,Vanderbilt University Medical Center
0000-0002-9388-9907,Michael,Chi,2018-07-30,,Anesthesiology,Vanderbilt University Medical Center
0000-0002-8012-4147,Alicia,Hymel,,,Orthopaedic Surgery,Vanderbilt University Medical Center
0000-0002-0703-2422,Melissa,Basford,,,Vanderbilt Institute for Clinical and Translational Research,Vanderbilt University Medical Center
0000-0003-1343-1494,Qi,Dai,,,Epidemiology Center,Vanderbilt University School of Medicine
0000-0003-1343-1494,Qi,Dai,2014,,Medicine,Vanderbilt University Medical Center
0000-0001-7225-2897,James,Luther,2008,,Department of Medicine,Vanderbilt University Medical Center
0000-0002-3135-9695,Mike,McCurdy,,,,Vanderbilt University
