orcid,altName
0000-0003-3859-2067,W McDonnell
0000-0001-7555-9536,Emily Rockoff
0000-0002-9033-7410,Alex Zhao
0000-0003-1331-380X,"Shawniqua T Williams, MNG, MD"
0000-0002-8770-1795,Olivia Weaver
0000-0003-2345-1480,Dominique A. Lyew
0000-0001-7575-6943,"Rachel A. Henry, Rachel A. Henry-Bonami"
0000-0002-6790-5539,"Alex Sundermann, Alexandra Frensley, @ACSundermann"
0000-0002-7475-875X,CJ Bryant
0000-0002-7475-875X,Carson J Bryant
0000-0003-2191-6643,Sarah C. Reed
0000-0002-3097-0775,Marta Schulman
0000-0003-4365-3135,Steven James Baskauf
0000-0003-4365-3135,Steve Baskauf
0000-0003-4587-6121,David M. Aronoff
0000-0003-4587-6121,DM Aronoff
0000-0001-9441-3508,C J Lin
0000-0003-2930-0739,Raja Konjeti
0000-0002-6101-6255,Åsa Ljunggren-Rose
0000-0002-4984-0225,W. Kimryn Rathmell
0000-0001-7991-0514,Lisa Hunt 
0000-0001-6343-2538,Esther R. Lindstrom
0000-0003-3601-9910,Stephan
0000-0001-5654-1330,Sangsoo Park
0000-0002-3617-7276,Nicole Everson
0000-0001-8070-4320,Reza Imani-Shikhabadi
0000-0001-9550-6626,Paula Marincola
0000-0003-4389-1037,Jessica Bull
0000-0003-0797-7693,Josh Fessel
0000-0002-8560-2646,Stéphane Alain Braün
0000-0002-8560-2646,Stéphane A. Braün
0000-0002-8560-2646,Stéphane A Braün
0000-0002-8560-2646,Stephane Braun
0000-0002-8560-2646,Stephane Alain Braun
0000-0002-8560-2646,Stephane A. Braun
0000-0002-8560-2646,Stephane A Braun
0000-0001-7403-7605,Jeff Nyman
0000-0002-7078-837X,Joe Benthal
0000-0001-9451-2258,Upul Deepthike Halambage
0000-0001-9451-2258,Upul Deepthike
0000-0001-9451-2258,Halambage Upul Deepthike
0000-0003-2983-4976,Amy Tostanoski
0000-0002-1235-3802,Bob
0000-0003-1923-7406,Dan Morrison
0000-0002-1618-7645,Michael Carl Thomas
0000-0001-7331-5837,Ben Austin
0000-0001-7331-5837,Benjamin Piya Austin
0000-0002-2586-4740,Lindsey Langsdon
0000-0002-2586-4740,Lindsey C. Langsdon
0000-0002-2586-4740,Lindsey Fox
0000-0003-2566-6362,Wendy M. Garrard
0000-0002-3560-7457,Brian
0000-0003-1042-5531,Jessica A. Clarke
0000-0003-2177-5940,洪淑芬
0000-0003-4937-2932,Katie McLeod
0000-0002-0009-0638,"Christa Ice, Christa Green"
0000-0002-5709-7259,Tim
0000-0003-1052-7781,M.V. Kral
0000-0003-0463-7992,Kenneth Walton
0000-0003-2700-977X,Gunes Kutlu
0000-0002-7026-7099,David Schwartz
0000-0002-4510-6234,Van-Tung Phan
0000-0001-7592-4273,Kat Ko
0000-0002-2530-2094,Janey Smith
0000-0003-2099-5247,Lynn S. Fuchs
0000-0003-3890-151X,Ginger J. Lohr
0000-0003-4282-5222,F.R. Haselton
0000-0003-4282-5222,Rick Haselton
0000-0002-5717-4218,Alp Ikizler
0000-0002-7479-438X,Kyle Hardage
0000-0003-0670-6648,Patrick Ryan Gentry
0000-0003-0670-6648,Patrick R. Gentry
0000-0003-0670-6648,P. R. Gentry
0000-0003-1097-9171,Kate
0000-0003-4552-429X,Blake W Van Hoy
0000-0002-2567-4891,Joey Schneider
0000-0002-4824-6064,"Cate, Caitlin J. Couch"
0000-0001-8865-7979,"J. Kelley Bentley, Ph.D."
0000-0002-5587-3277,Stacey Margarita Johnson
0000-0002-5558-5769,Tracy Payne Cummings
0000-0002-5558-5769,Tracy Payne Jordan
0000-0002-4975-7923,Andrea Bachus
0000-0001-9171-8031,Shannon E Townsend
0000-0001-5356-4174,Stanley J. F. Laulederkind
0000-0001-5356-4174,Stanley J. Federspiel
0000-0002-3625-3777,Allison G. McAtee
0000-0002-5636-0326,Cheryl Saggese
0000-0003-2580-8703,K.F. Galloway
0000-0002-0616-5936,Robert Bodenheimer
0000-0001-7209-1958,Katie Volk
0000-0003-1946-6436,Aleksandar K. Stanic
0000-0002-6641-2230,William
0000-0002-5741-5819,Cat Majors
0000-0002-0056-3052,Sen  Yang
0000-0001-9252-2559,Thomas Brown
0000-0002-8088-7398,Amy E. Frees
0000-0002-8088-7398,Amy F. Martinez
0000-0002-8088-7398,Amy Frees Martinez
0000-0002-8088-7398,A. E. Frees
0000-0002-8088-7398,A. F. Martinez
0000-0001-9477-2949,Hans Aerni
0000-0001-8465-130X,Yi-ke Li
0000-0001-9574-3832,Will Doyle
0000-0002-3204-1347,Naim Sidek
0000-0001-9266-0126,Dave Dey
0000-0002-8722-479X,Andrew I. Flyak
0000-0003-2893-5126,Ashlyn Karan
0000-0001-7969-716X,Kate B. Carey
0000-0002-3140-1953,Adam Xavier Miranda
0000-0003-2664-3541,Melissa A. Steapleton
0000-0003-2348-635X,James Robertson
0000-0002-8383-6174,Amanda L. Sherman
0000-0002-0049-1079,Jim Crowe
0000-0002-0049-1079,"James E. Crowe, Jr."
0000-0001-9517-2849,Diana Smith
0000-0002-7308-6998,Tiffany Abdullah
0000-0001-6922-8503,Meredith D. Stevenson
0000-0001-5642-6746,Robert L. Fischer
0000-0002-1204-9202,Ana Carneiro
0000-0002-1204-9202,Ana M Carneiro
0000-0003-0051-336X,Matt Singh
0000-0003-1693-5452,Kate Jewell
0000-0002-4246-9021,Samantha E. Rogers
0000-0002-6119-1176,John Aaron Pitts
0000-0001-6073-9753,Margarita Corral González
0000-0003-4187-1227,James M. Haile
0000-0001-8347-2617,Sam Erlinger
0000-0003-3653-5691,Mary Van Meter
0000-0003-3653-5691,Mary Van Meter Baker
0000-0003-1161-8351,Yiwei Jin
0000-0002-9352-9813,Rebekah H. Conley
0000-0003-2566-7445,Tammy Lundblad
0000-0002-3689-8911,Indriati Hood
0000-0002-3689-8911,Marguerite Indriati Hood
0000-0002-3689-8911,M. Indriati Hood
0000-0002-3689-8911,Marguerite Hood Pishchany
0000-0002-3689-8911,M. Indriati Hood-Pishchany
0000-0001-6525-670X,Samantha Gridley
0000-0002-9901-7165,Laura Huston Withrow
0000-0002-9901-7165,Laura Withrow
0000-0003-0966-3292,Jake Ramsey
0000-0002-3371-9535,Johan Kasim
0000-0002-2372-2925,Bill Thiel
0000-0002-4660-1448,Drew
0000-0003-2676-516X,Owais
0000-0002-3636-6149,Lindsay K. Kozek
0000-0001-5236-0823,William Reid Bolus
0000-0001-8323-490X,S O Chioma
0000-0001-8323-490X,Chioma O S
0000-0001-8323-490X,O Chioma
0000-0001-8323-490X,OS Chioma
0000-0001-8323-490X,Ozioma Chioma
0000-0002-3122-2605,Sarah F Maddox
0000-0002-8755-4166,Carl
0000-0003-3363-8425,Paul H King
0000-0003-3363-8425,Paul Harvey King
0000-0003-3363-8425,Paul King
0000-0003-3363-8425,P H King
0000-0002-7405-6459,Kellie Wilson
0000-0002-2207-4751,Andy Borchers
0000-0002-6120-2496,Spencer J Goodwin
0000-0001-9543-8678,Beth
0000-0001-9543-8678,E. J.
0000-0001-5568-0507,Rachel Kate Howe
0000-0002-0973-7725,Jinzhu Yu
0000-0002-0285-6852,Tadarro Lee Richardson Jr.
0000-0002-9569-2550,Caleb Casolaro
0000-0001-7926-9958,Dain Beezer
0000-0001-6352-8062,Jee Yeon Cha
0000-0001-8765-4151,Alison Schroer Vander Roest
0000-0002-3496-3214,Pauline Campbell
0000-0002-3496-3214,Paula McIntyre
0000-0002-2722-4149,kristin burnum
0000-0001-7049-1560,H Y Yin
0000-0001-7049-1560,Huiyong Yin
0000-0001-7049-1560,Yin H Y
0000-0001-7049-1560,Yin Huiyong
0000-0001-8430-0120,DJ Sakrikar
0000-0003-4555-8668,Noah J. Orfield
0000-0003-1390-508X,Ruey Hu
0000-0002-4398-8237,Jeff Carr
0000-0002-4398-8237,J. Jeffrey Carr
0000-0002-4398-8237,John J. Carr
0000-0002-4398-8237,Jeffery Carr (error)
0000-0002-7547-3959,Eric KF Donahue
0000-0002-8712-6946,Daniel Zizumbo-Colunga
0000-0003-1752-3599,Josh
0000-0003-1658-6598,Nate Mercaldo
0000-0002-6092-5131,Sabata Silva Constancio
0000-0002-4900-274X,Christopher Good
0000-0002-4900-274X,Chris Good
0000-0002-5065-7284,Madison Jupitz
0000-0002-2072-7667,Clanitra Nejdl
0000-0002-2072-7667,Clanitra S. Nejdl
0000-0002-5844-8663,"Nejdl, Clanitra S.; Stewart Nejdl, Clanitra"
0000-0003-4836-7875,Greg Fricker
0000-0003-4836-7875,Gregory Paul Fricker
0000-0001-7778-4219,Rachel L Byerley
0000-0003-2148-5775,Afiqah Mansor
0000-0002-2973-6308,Teddy van Opstal
0000-0003-2081-6587,Matthew D Keller
0000-0002-9432-1475,Connie Pechmann
0000-0002-5998-2083,Rachel Lane Walden
0000-0001-5573-0578,Vince
0000-0003-0311-0718,James Leathers
0000-0002-9483-4465,Amy Cassata-Widera
0000-0002-6135-6241,Kenny Tao
0000-0001-9795-2590,Nataliya 
0000-0001-6043-1943,Sophia M. Click
0000-0002-5829-748X,Amanda Lloyd
0000-0002-1926-0465,José Luis Cortina Morfin
0000-0002-1926-0465,Jose Luis Cortina
0000-0003-0382-6222,Mark C Frisse
0000-0003-0382-6222,Mark E Frisse
0000-0003-1715-4850,Carol J. Baskauf
0000-0002-9096-3147,Amy Yousefi
0000-0001-8389-6268,Pamela E. Davis
0000-0001-7365-357X,Kyle J Horning
0000-0001-7365-357X,Kyle Jeffrey Horning
0000-0002-4272-9671,Willem
0000-0001-7914-5162,Paula Pohlman
0000-0001-7914-5162,Paula R. Pohlmann
0000-0001-7914-5162,Paula Raffin Pohlmann
0000-0001-7914-5162,Paula Pohlmann
0000-0003-3864-8198,Syed Sikandar Raza
0000-0002-8438-5758,Alex Lupi
0000-0002-0869-4583,Lea Sayce
0000-0002-0869-4583,Leanne Carrott
0000-0001-8554-4303,Nayoung Lee
0000-0001-5156-0823,pakala
0000-0002-8101-4687,CeCe Gu
0000-0003-3340-213X,Elizabeth C. Brunner
0000-0002-2123-6114,F. Alex Feltus
0000-0002-2123-6114,Alex Feltus
0000-0001-9159-5414,Celestine N Wanjalla
0000-0001-8295-864X,Kristi
0000-0002-6747-4249,Katie
0000-0002-8582-1777,Lori Arlinghaus Davis
0000-0002-3265-9112,Jennifer J. Young
0000-0002-7480-8083,Dennis Kjølhede Jeppesen
0000-0001-8100-6022,Noemi Tejera Hernandez
0000-0003-0376-9053,Kristy L. Schavolt
0000-0001-7572-321X,Laura Forest Gruss Rosenfeld
0000-0002-2827-6952,Alexia N. Melo
0000-0001-9549-1727,BJ Broome
0000-0001-5961-6924,KE Schriver
0000-0001-5961-6924,Kenneth E Schriver
0000-0002-2393-6333,Lori Haislip
0000-0002-9632-2279,Sabine Wingenfeld
0000-0002-2734-5928,Courtney A. Mitchell
0000-0001-9060-0250,W.Noorshahida Mohd-Isa
0000-0001-9060-0250,Wan N Mohd Isa
0000-0002-5130-0260,"E. Grundstrom, E. D. Grundstrom"
0000-0002-5800-0172,Dr. Md Kamrul Hasan
0000-0003-1139-2014,Jay
0000-0003-1139-2014,Songcharoen S
0000-0001-7206-1177,Cynthia J. Cyrus
0000-0003-1376-546X,C Andrew Johnson
0000-0003-1376-546X,Andrew Johnson
0000-0002-0071-3997,Charles Benjamin Farrow
0000-0002-8737-4376,Leslie Ann Tiensvold
0000-0002-0812-5997,Anne Katherine Pride Brown
0000-0002-2122-4156,Mariana N. Xavier
0000-0003-2519-6209,Jessica Moore-Hooten
0000-0003-2519-6209,Jessica Lindsey Moore
0000-0002-7334-5988,S.C. McCutcheon
0000-0003-0491-1007,Ahmed S. Attia
0000-0003-4643-2768,Stephen Hamilton Cox
0000-0003-4643-2768,"Stephen H. Cox, Jr."
0000-0003-4643-2768,"Stephen Hamilton Cox, Jr."
0000-0002-3000-4710,Yeonjoo Christina Hwang
0000-0002-1460-3983,Matt Thompson
0000-0003-4294-730X,Jeffrey Scott Fites
0000-0002-9777-9203,bingul z
0000-0001-7420-4477,Yoon-Ha Hwang
0000-0002-0323-9039,Andy O'Hara
0000-0002-4665-235X,Thomas Graeme Folland
0000-0002-4665-235X,T G Folland
0000-0002-4665-235X,T Folland
0000-0003-2111-3410,Mikel Barry Holcomb
0000-0002-5093-5897,William W French
0000-0003-0312-7149,肖亮
0000-0002-0254-6803,Rebecca T. Thomason
0000-0001-6221-650X,Brent Joseph Morris
0000-0002-6465-9520,Jonathan Vincent Farina
0000-0002-8400-3318,"R Meals, RA Meals, Roy Allen Meals"
0000-0003-1817-2049,Jonathan Steer
0000-0002-4759-354X,Joshua W. Jeffery
0000-0003-1300-6164,Johanna C. Gandy
0000-0003-1826-8163,Mara Rivera
0000-0003-1755-4985,Uade da Silva
0000-0003-1755-4985,Uade Olaghere
0000-0002-2757-1933,T. Lee Baumann
0000-0003-0874-9019,Joe Keene
0000-0003-1096-2695,Linda K. Tesar
0000-0002-6131-9539,Bill Keel
0000-0003-4726-6132,Ian Setliff
0000-0003-2490-5501,Chris Zhang
0000-0002-6843-7028,Kendra Adkisson
0000-0003-2527-1598,Michael B Lund
0000-0003-0920-2285,F. Christopher Peritore-Galve
0000-0002-2563-8081,Natalie Ausborn
0000-0002-7992-143X,Patricia Midori Murobushi Ozawa
0000-0002-0883-8241,Courtney J. Young
0000-0002-0883-8241,Courtney Young-Pitts
0000-0003-2574-4279,Shekwoga
0000-0001-9487-2982,Matthew T. Irwin
0000-0001-6605-4149,Wilson R Adams
0000-0002-7333-5720,"Ellis, CR"
0000-0002-4240-5474,Kate Nelson
0000-0002-5903-6214,Chris Candelaria
0000-0002-5903-6214,Christopher A. Candelaria
0000-0001-6686-7289,Larry Zwiebel
0000-0002-5890-3785,Satish Raj
0000-0001-5302-2033,Lauren Saag
0000-0003-1836-7575,"Kuhn, AW"
0000-0002-3516-3948,Nikki Reinemann
0000-0002-2070-6663,Lindsey M Dethrage
0000-0002-2070-6663,Lindsey M Thompson
0000-0002-2070-6663,Lindsey Thompson
0000-0002-1258-7473,DN Boone
0000-0002-1258-7473,D Boone
0000-0003-4008-6438,Samuel J Dunham
0000-0003-2105-5660,Sarah Hildegard Brown
0000-0002-1483-8133,P. Reisz
0000-0002-3146-7231,R. Agarwal
0000-0003-4260-1528,Kate Damme
0000-0003-4260-1528,Katherine FIlip
0000-0001-7743-1755,RP Ceddia
0000-0002-4365-8625,"Bernard Rowan, Thomas Rowan"
0000-0002-3194-4747,Tim Jiang
0000-0002-5468-9152,Allison Rose
0000-0002-5468-9152,Allison Rose Hammer
0000-0003-1964-8993,Sharon Gray
0000-0002-2250-3640,Emilee M Friedman
0000-0003-4375-0613,Masa Kato
0000-0002-0664-4435,Lorena Infante
0000-0002-0763-0377,方中柔
0000-0001-8584-3602,Jeff Brown
0000-0001-6507-026X,Richard Murray
0000-0001-6507-026X,Richard A. Murray
0000-0003-3012-5771,Lauren Scarfe
0000-0001-9486-419X,Linda S. Zhang
0000-0002-6983-3890,Rhonda Douglas
0000-0003-3532-3806,Julie Albright
0000-0002-2358-7401,Erin Maloff
0000-0002-6390-6198,Ray SC
0000-0003-4959-739X,Research Associate
0000-0001-8238-1406,Anne Powell
0000-0001-5450-0180,Margaret Layne
0000-0002-1948-9243,Jackie Picache
0000-0003-2712-4794,Chetna Khosla
0000-0001-7049-4729,Gillian Lord-Ward
0000-0002-8015-0556,Brittany Tielbur
0000-0002-9248-2216,Ann Ford Green
0000-0002-2096-7337,Marybeth Hall
0000-0002-2096-7337,Mary Hall
0000-0001-7846-3804,Gregory R Larkin
0000-0002-9544-5349,L. W. Koerner
0000-0002-9544-5349,L. Whitehead
0000-0002-9544-5349,Lisa Whitehead
0000-0002-9544-5349,Lisa Angelika Whitehead
0000-0001-5970-3913,Britney N. Lizama-Manibusan
0000-0002-4184-0095,Christian Palmer
0000-0002-4184-0095,Chris Palmer
0000-0003-1836-9263,Alex Fish
0000-0001-6001-6723,Q. Mao
0000-0001-6001-6723,Q. Q. Mao
0000-0001-6001-6723,茅倾青
0000-0003-0659-8309,Hieber LL
0000-0003-0659-8309,Adery LH
0000-0003-0659-8309,"Hieber Adery, L"
0000-0003-0659-8309,Laura H. Adery
0000-0001-5532-1352,Benjamin J. Tamber-Rosenau
0000-0001-5532-1352,Benjamin Jacob Tamber-Rosenau
0000-0001-5532-1352,Benjamin J. Rosenau
0000-0001-5532-1352,Benjamin Jacob Rosenau
0000-0001-5532-1352,Benjamin Rosenau
0000-0001-6043-3842,Cody J Wenthur
0000-0003-3015-058X,Beverly Roskos-Ewoldsen
0000-0003-0356-9481,Mallory N. Blasingame
0000-0003-0356-9481,MN Blasingame
0000-0003-0356-9481,Mallory Blasingame
0000-0001-9484-1297,LeTizia Baxter Smith
0000-0003-1473-1149,Aimee Wilde
0000-0003-0022-6897,Austin N. Southard-Smith
0000-0002-5161-8682,Joe
0000-0002-5161-8682,Dr. Prinsen
0000-0002-5161-8682,"Joseph K. Prinsen, DO, PhD"
0000-0001-5721-9810,Staci R. Johnson
0000-0002-7458-0170,Lauren Flournoy
0000-0003-2445-1511,Ed Warga
0000-0003-4783-7046,Cassy Robinson-Cohen
0000-0003-4611-927X,D. Jamin Keith
0000-0003-4611-927X,Donnan Jamin Keith
0000-0003-4611-927X,Donnan J. Keith
0000-0003-4611-927X,Donnan Keith
0000-0003-4611-927X,Jamin Keith
0000-0003-2334-7632,Julia Ellen Allred Coonord
0000-0001-6486-7883,Jon
0000-0002-5082-9576,Michal Wegrzynowicz
0000-0001-5623-4891,Allison M. Steele
0000-0002-2383-1232,Chelsea E.T. Stowell
0000-0002-6817-6788,Chris Oh
0000-0003-0753-1720,Sarah Bourne
0000-0002-2614-3072,Allison Oberholtzer
0000-0001-6436-7504,Rusty Eckhauser
0000-0003-4702-5355,Nilgun Gregory
0000-0003-4702-5355,Nilgun Ongider-Gregory
0000-0003-4702-5355,Nilgun Ongider
0000-0003-0104-2790,Jay
0000-0001-5828-4403,Rich Breyer
0000-0003-0921-1835,Abby Smith
0000-0002-9267-5253,Sait Umar
0000-0003-3205-0697,Pate Skene
0000-0001-5611-9666,Imam Uddin
0000-0002-9641-7577,Jonathan H. Sheehan
0000-0003-1620-6276,Shawna McLetchie
0000-0002-9358-8899,Aaron Haynes
0000-0003-2790-1530,John P. Wikswo
0000-0003-2790-1530,"John P. Wikswo, Jr."
0000-0001-8631-4745,Victor Falgas
0000-0001-8631-4745,Victor Falgas--Ravry
0000-0003-1346-2493,Alison Motsinger
0000-0002-7294-3900,Barbara L Thompson
0000-0002-5051-7919,Summer Porter
0000-0002-1412-5539,"John Burke, J.M. Burke"
0000-0001-9884-2852,Stephen M. Wilson
0000-0002-1913-2527,Carrie Everett
0000-0001-9907-6758,Victoria Ramsey
0000-0003-1078-688X,G. Donald Okoye
0000-0003-1078-688X,Gosife D Okoye
0000-0003-1078-688X,"Okoye, G.D."
0000-0003-0328-0792,Clifford Blake Anderson
0000-0003-0310-9952,Honora Ford Nerz
0000-0002-1950-3033,Nick
0000-0002-1867-5634,Andy Robinson
0000-0003-3781-780X,"Hicks, PJ; Hicks, Patricia; Hicks, P"
0000-0003-2280-6091,Kim L Joyner
0000-0003-1428-6954,Yong Chen 陳勇
0000-0003-4992-4071,Brian Ray
0000-0003-4992-4071,W. Brian Ray
0000-0003-3201-5314,Sai S.V. Rajagopalan
0000-0002-3578-8630,"Kaisary, Philip J."
0000-0001-7574-8353,B. R. Rogers
0000-0003-2163-5876,Christi Gurniak
0000-0002-1402-7592,Gerald J Mahoney
0000-0002-1402-7592,GJ Mahoney
0000-0001-5394-1160,Ross Koby
0000-0003-1591-4721,Jiang Wei
0000-0002-3960-8393,T. Parent
0000-0002-7020-3853,Henry S. Gao
0000-0002-8776-8746,Ronald W Hedgecock
0000-0002-8776-8746,Ronald W Hedgecock II
0000-0002-8776-8746,Ronald William Hedgecock
0000-0002-8776-8746,Ronald William Hedgecock II
0000-0002-8776-8746,Will Hedgecock
0000-0001-6314-9564,Paulo Carlos du Pin Calmon
0000-0001-6314-9564,Paulo du Pin Calmon
0000-0001-6314-9564,P.C.D P. Calmon
0000-0002-6603-0988,Jay Kang
0000-0002-2313-8542,Bobby Morrison
0000-0002-2995-7549,Bethany A. Kerr
0000-0003-4015-4787,Maizie
0000-0003-3668-7468,Carlos Federico Lopez
0000-0002-1032-3757,Marcus B. Weaver-Hightower
0000-0002-7024-038X,Alex Sanchez
0000-0002-7024-038X,Alexandra M. Sanchez
0000-0003-0758-4718,"Thompson, BH"
0000-0001-5880-2194,Trish Labosky
0000-0001-5528-5515,James Mansell
0000-0001-5528-5515,Matt Mansell
0000-0002-4366-3838,Katie Knoedelseder
0000-0003-0912-1565,Bishawjit Mallick
0000-0003-2790-0108,Deirdre Lueder
0000-0003-0260-6391,Bonita Ann Pilon
0000-0002-1747-9439,Eric S. Powitzky
0000-0003-0184-8997,Laura M. Desimone
0000-0001-6181-4241,Hemant B. Badgandi
0000-0002-9972-5049,Rector of BAUINTERNATIONAL UNIVERSITY BATUMI 
0000-0002-7821-8160,E. Anne Hatmaker
0000-0002-1136-3806,vmtrejosm
0000-0001-9666-911X,Edie Hapner
0000-0003-4029-4691,Christian B. Long
0000-0003-4029-4691,Christian Bradley Long
0000-0002-3548-6026,Elliot Edmiston
0000-0002-3548-6026,Kale Edmiston
0000-0002-3548-6026,Erin Edmiston
0000-0003-2947-2047,David Hugh McGuinness
0000-0002-7372-3096,Elisabeth Rose Shook
0000-0002-7372-3096,Elisabeth Ruble
0000-0002-7372-3096,Elisabeth Rose Ruble
0000-0002-2394-8975,Carlos Ortega
0000-0003-0391-3916,Charles D Smart
0000-0003-0391-3916,CD Smart
0000-0001-8342-7736,Jack B Lubin
0000-0002-2854-9308,Keersten Davis
0000-0001-9185-3970,Burgner
0000-0001-7648-1988,"Amy Whigham, MD"
0000-0001-7648-1988,"Amy S. Whigham, MD"
0000-0002-2986-5513,Dana Anne M. Tomonari
0000-0003-3212-3083,Veronica Ikeshoji-Orlati
0000-0003-3212-3083,VGA Ikeshoji-Orlati
0000-0001-5478-5980,Horak P
0000-0003-3834-1065,Elwood Mullins
0000-0002-8774-8331,Anneke Sanders
0000-0002-7797-6680,S. Raina
0000-0002-8082-1890,Alison Presmanes
0000-0001-8941-8689,Tara A Schwetz
0000-0001-8328-283X,Daniel González Duque
0000-0003-3075-210X,J. Dominic Smith
0000-0003-3075-210X,J.D. Smith
0000-0003-4973-6580,Woden Kusner
0000-0003-4973-6580,Woeden Kusner
0000-0001-7815-6767,David M. Reif
0000-0002-9243-541X,Nathaniel J. Hart
0000-0003-3645-3063,Christopher B. Davis
0000-0002-6802-1612,Dimitriades V
0000-0003-2918-2429,Jimmy
0000-0003-2918-2429,Jim
0000-0003-3957-2172,"Wes Ely, E. Wesley Ely"
0000-0002-5652-8870,Md Tanveer Karim
0000-0003-0897-0725,Scot D. Evans
0000-0002-4470-7070,Adrianne H Wu
0000-0002-8850-8591,Ty Williams
0000-0002-0106-8803,Ellen Hunt Steele
0000-0002-0106-8803,Ellie Steele
0000-0002-8020-3638,Penny Yang
0000-0001-9063-3597,Heather Himelhoch
0000-0003-3851-5520,Nagarajan Raju
0000-0002-0746-927X,Doug Strand
0000-0001-8021-9923,Taylor Johnson
0000-0001-8021-9923,Taylor Thomas Johnson
0000-0002-4587-5578,Saveer Ahmed
0000-0002-4587-5578,Ahmed M Saveer
0000-0002-2890-8235,Bonnie Ghosh-Dastidar
0000-0002-4472-5316,Stephanie Wyatt
0000-0002-4472-5316,SM Wyatt
0000-0002-3345-0206,José Ponce-Coria
0000-0001-8037-3103,Charles E. Matthews
0000-0001-8037-3103,Charles Matthews
0000-0001-8037-3103,Chuck Matthews
0000-0001-5706-787X,Megan Murray
0000-0002-4561-8870,Sonia Kwok Wong
0000-0002-8042-7906,Kait Spear
0000-0001-8297-1203,"Joseph E. Johnson, III PdD"
0000-0001-5200-6007,"Sutcliffe, JS"
0000-0001-8227-0773,Jordan Jack Grigor
0000-0001-8135-879X,Mark W. Newton
0000-0003-2574-2230,Rachel E. Vacek
0000-0001-7517-0598,Caya Chiu
0000-0002-3486-8217,MN Möller
0000-0001-5666-0655,Jon Gelber
0000-0003-4184-9361, Brian Welch
0000-0003-4184-9361,Edward Brian Welch
0000-0003-0273-6954,Neil K Bansal
0000-0001-8965-5692,"Dr. Elke Stein; Elke Stein, E. Stein; Stein, E.; Stein Elke; Elke Stein, Ph.D."
0000-0001-8965-5692,stein_elke
0000-0002-7112-4903,Roy
0000-0003-2538-5456,J. Smith
0000-0003-2538-5456,J. J. Smith
0000-0002-9192-6233,Edward C. Dawson
0000-0003-3916-7660,Sidoryk Marta
0000-0002-3201-2730,dennistclark
0000-0003-0727-121X,R Glenn Hammonds
0000-0003-0727-121X,Roy G Hammonds
0000-0003-0727-121X,RG Hammonds
0000-0003-4847-4355,Alex
0000-0001-9046-4842,Thiago Assis
0000-0001-5664-0814,Susan Germann Yackzan
0000-0001-9839-6100,李晨
