RecordNumber,qid,filename,commons_uri,commons_page_url
57311,Q18889383,"'At the Deathbed' by Edvard Munch, 1895, Bergen Kunstmuseum.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/%27At%20the%20Deathbed%27%20by%20Edvard%20Munch%2C%201895%2C%20Bergen%20Kunstmuseum.JPG,"https://commons.wikimedia.org/wiki/File:'At_the_Deathbed'_by_Edvard_Munch,_1895,_Bergen_Kunstmuseum.JPG"
57427,,"'Butterfly and Wild Rose' by Shibata Zeshin, 1885, Honolulu Museum of Art, 4658.1.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/%27Butterfly%20and%20Wild%20Rose%27%20by%20Shibata%20Zeshin%2C%201885%2C%20Honolulu%20Museum%20of%20Art%2C%204658.1.JPG,"https://commons.wikimedia.org/wiki/File:%27Butterfly_and_Wild_Rose%27_by_Shibata_Zeshin,_1885,_Honolulu_Museum_of_Art,_4658.1.JPG"
58793,,"'Christ Interred' from the Philippines, 17th-18th century, Honolulu Museum of Art.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/%27Christ%20Interred%27%20from%20the%20Philippines%2C%2017th-18th%20century%2C%20Honolulu%20Museum%20of%20Art.JPG,"https://commons.wikimedia.org/wiki/File:%27Christ_Interred%27_from_the_Philippines,_17th-18th_century,_Honolulu_Museum_of_Art.JPG"
50629,,"'David Playing the Harp before Saul' by Lucas van Leyden, Honolulu Museum of Art.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/%27David%20Playing%20the%20Harp%20before%20Saul%27%20by%20Lucas%20van%20Leyden%2C%20Honolulu%20Museum%20of%20Art.JPG,"https://commons.wikimedia.org/wiki/File:%27David_Playing_the_Harp_before_Saul%27_by_Lucas_van_Leyden,_Honolulu_Museum_of_Art.JPG"
58077,Q42877261,"'Dawn', oil on canvas painting by Jules Breton, 1896, Carnegie Museum of Art, Pittsburgh.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%27Dawn%27%2C%20oil%20on%20canvas%20painting%20by%20Jules%20Breton%2C%201896%2C%20Carnegie%20Museum%20of%20Art%2C%20Pittsburgh.jpg,"https://commons.wikimedia.org/wiki/File:'Dawn',_oil_on_canvas_painting_by_Jules_Breton,_1896,_Carnegie_Museum_of_Art,_Pittsburgh.jpg"
58455,Q52086939,"'Deer Leaping among Flowers' by Franz Marc, watercolor and pen and ink.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%27Deer%20Leaping%20among%20Flowers%27%20by%20Franz%20Marc%2C%20watercolor%20and%20pen%20and%20ink.jpg,"https://commons.wikimedia.org/wiki/File:%27Deer_Leaping_among_Flowers%27_by_Franz_Marc,_watercolor_and_pen_and_ink.jpg"
58087,Q104882881,"'Douglass Inspiring the Youth of the Negro Race' by Cletus Alexander and Bruno Peiser, 1933.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/%27Douglass%20Inspiring%20the%20Youth%20of%20the%20Negro%20Race%27%20by%20Cletus%20Alexander%20and%20Bruno%20Peiser%2C%201933.JPG,"https://commons.wikimedia.org/wiki/File:'Douglass_Inspiring_the_Youth_of_the_Negro_Race'_by_Cletus_Alexander_and_Bruno_Peiser,_1933.JPG"
56961,,"'Freedman', plaster sculpture by John Quincy Adams Ward,.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/%27Freedman%27%2C%20plaster%20sculpture%20by%20John%20Quincy%20Adams%20Ward%2C.JPG,"https://commons.wikimedia.org/wiki/File:%27Freedman%27,_plaster_sculpture_by_John_Quincy_Adams_Ward,.JPG"
55420,,"'Hands Across the Divide' sculpture, Derry.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%27Hands%20Across%20the%20Divide%27%20sculpture%2C%20Derry.jpg,"https://commons.wikimedia.org/wiki/File:%27Hands_Across_the_Divide%27_sculpture,_Derry.jpg"
54282,,"'Joseph's Dream', painting by Gaetano Gandolfi, c. 1790.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%27Joseph%27s%20Dream%27%2C%20painting%20by%20Gaetano%20Gandolfi%2C%20c.%201790.jpg,"https://commons.wikimedia.org/wiki/File:'Joseph's_Dream',_painting_by_Gaetano_Gandolfi,_c._1790.jpg"
55542,,'Looking Up' at Withybush Hospital - geograph.org.uk - 925250.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/%27Looking%20Up%27%20at%20Withybush%20Hospital%20-%20geograph.org.uk%20-%20925250.jpg,https://commons.wikimedia.org/wiki/File:%27Looking_Up%27_at_Withybush_Hospital_-_geograph.org.uk_-_925250.jpg
58790,,"'Our Lady of Sorrow' from the Philippines, Honolulu Museum of Art.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/%27Our%20Lady%20of%20Sorrow%27%20from%20the%20Philippines%2C%20Honolulu%20Museum%20of%20Art.JPG,"https://commons.wikimedia.org/wiki/File:%27Our_Lady_of_Sorrow%27_from_the_Philippines,_Honolulu_Museum_of_Art.JPG"
57993,,"'Ruth and Naomi' by Jan Victors, 1653.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%27Ruth%20and%20Naomi%27%20by%20Jan%20Victors%2C%201653.jpg,"https://commons.wikimedia.org/wiki/File:%27Ruth_and_Naomi%27_by_Jan_Victors,_1653.jpg"
51139,Q46925714,"'Shepherd and Sheep' by Anton Mauve, Cincinnati Art Museum.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/%27Shepherd%20and%20Sheep%27%20by%20Anton%20Mauve%2C%20Cincinnati%20Art%20Museum.JPG,"https://commons.wikimedia.org/wiki/File:%27Shepherd_and_Sheep%27_by_Anton_Mauve,_Cincinnati_Art_Museum.JPG"
55616,Q67563862,"'Silence, Waterfall and Forest' by Arthur Bowen Davies, Dayton Art Institute.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/%27Silence%2C%20Waterfall%20and%20Forest%27%20by%20Arthur%20Bowen%20Davies%2C%20Dayton%20Art%20Institute.JPG,"https://commons.wikimedia.org/wiki/File:%27Silence,_Waterfall_and_Forest%27_by_Arthur_Bowen_Davies,_Dayton_Art_Institute.JPG"
57045,,"'The Brothers -1' by Arthur Dove, 1941, Honolulu Museum of Art.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%27The%20Brothers%20-1%27%20by%20Arthur%20Dove%2C%201941%2C%20Honolulu%20Museum%20of%20Art.jpg,"https://commons.wikimedia.org/wiki/File:%27The_Brothers_-1%27_by_Arthur_Dove,_1941,_Honolulu_Museum_of_Art.jpg"
56783,Q102355566,'The Marriage at Cana' by Winifred Knights.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/%27The%20Marriage%20at%20Cana%27%20by%20Winifred%20Knights.jpg,https://commons.wikimedia.org/wiki/File:%27The_Marriage_at_Cana%27_by_Winifred_Knights.jpg
58386,Q3937194,"'The Raising of Lazarus', tempera and gold on panel by Duccio di Buoninsegna, 1310–11, Kimbell Art Museum.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%27The%20Raising%20of%20Lazarus%27%2C%20tempera%20and%20gold%20on%20panel%20by%20Duccio%20di%20Buoninsegna%2C%201310%E2%80%9311%2C%20Kimbell%20Art%20Museum.jpg,"https://commons.wikimedia.org/wiki/File:%27The_Raising_of_Lazarus%27,_tempera_and_gold_on_panel_by_Duccio_di_Buoninsegna,_1310%E2%80%9311,_Kimbell_Art_Museum.jpg"
57320,Q3937194,"'The Raising of Lazarus', tempera and gold on panel by Duccio di Buoninsegna, 1310–11, Kimbell Art Museum.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%27The%20Raising%20of%20Lazarus%27%2C%20tempera%20and%20gold%20on%20panel%20by%20Duccio%20di%20Buoninsegna%2C%201310%E2%80%9311%2C%20Kimbell%20Art%20Museum.jpg,"https://commons.wikimedia.org/wiki/File:%27The_Raising_of_Lazarus%27,_tempera_and_gold_on_panel_by_Duccio_di_Buoninsegna,_1310%E2%80%9311,_Kimbell_Art_Museum.jpg"
56372,Q20881591,"'The Young Christ' by Alexej von Jawlensky, 1920-21, LACMA.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/%27The%20Young%20Christ%27%20by%20Alexej%20von%20Jawlensky%2C%201920-21%2C%20LACMA.JPG,"https://commons.wikimedia.org/wiki/File:%27The_Young_Christ%27_by_Alexej_von_Jawlensky,_1920-21,_LACMA.JPG"
57873,,"'Thoughts of Liberia - Emancipation' by Edwin White, 1861.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%27Thoughts%20of%20Liberia%20-%20Emancipation%27%20by%20Edwin%20White%2C%201861.jpg,"https://commons.wikimedia.org/wiki/File:'Thoughts_of_Liberia_-_Emancipation'_by_Edwin_White,_1861.jpg"
56588,,0000 Mosaics of Resurrection of Christ.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/0000%20Mosaics%20of%20Resurrection%20of%20Christ.JPG,https://commons.wikimedia.org/wiki/File:0000_Mosaics_of_Resurrection_of_Christ.JPG
58627,,0150 Mummy Portrait of a young officer Altes Museum Berlin anagoria.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/0150%20Mummy%20Portrait%20of%20a%20young%20officer%20Altes%20Museum%20Berlin%20anagoria.jpg,https://commons.wikimedia.org/wiki/File:0150_Mummy_Portrait_of_a_young_officer_Altes_Museum_Berlin_anagoria.jpg
56950,,0329jfOur Lady of Pentecost Parish Church Quezon City Loyola Heightsfvf 25.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/0329jfOur%20Lady%20of%20Pentecost%20Parish%20Church%20Quezon%20City%20Loyola%20Heightsfvf%2025.jpg,https://commons.wikimedia.org/wiki/File:0329jfOur_Lady_of_Pentecost_Parish_Church_Quezon_City_Loyola_Heightsfvf_25.jpg
56952,,06 The Seven Pillars of Wisdom - The Seven Pillars of Wisdom - panoramio.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/06%20The%20Seven%20Pillars%20of%20Wisdom%20-%20The%20Seven%20Pillars%20of%20Wisdom%20-%20panoramio.jpg,https://commons.wikimedia.org/wiki/File:06_The_Seven_Pillars_of_Wisdom_-_The_Seven_Pillars_of_Wisdom_-_panoramio.jpg
57196,,072 MS 65 F34 V.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/072%20MS%2065%20F34%20V.jpg,https://commons.wikimedia.org/wiki/File:072_MS_65_F34_V.jpg
57914,,09900jfDancing Rings Rizal Park Manilafvf 11.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/09900jfDancing%20Rings%20Rizal%20Park%20Manilafvf%2011.jpg,https://commons.wikimedia.org/wiki/File:09900jfDancing_Rings_Rizal_Park_Manilafvf_11.jpg
55127,,10 Gebote (Lucas Cranach d A).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/10%20Gebote%20%28Lucas%20Cranach%20d%20A%29.jpg,https://commons.wikimedia.org/wiki/File:10_Gebote_(Lucas_Cranach_d_A).jpg
57625,,"1056 - Roma, Museo d. civiltà Romana - Calco sarcofago Giunio Basso - Foto Giovanni Dall'Orto, 12-Apr-2008.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/1056%20-%20Roma%2C%20Museo%20d.%20civilt%C3%A0%20Romana%20-%20Calco%20sarcofago%20Giunio%20Basso%20-%20Foto%20Giovanni%20Dall%27Orto%2C%2012-Apr-2008.jpg,"https://commons.wikimedia.org/wiki/File:1056_-_Roma,_Museo_d._civilt%C3%A0_Romana_-_Calco_sarcofago_Giunio_Basso_-_Foto_Giovanni_Dall%27Orto,_12-Apr-2008.jpg"
55186,,12th-century painters - Pentecost - WGA15840.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/12th-century%20painters%20-%20Pentecost%20-%20WGA15840.jpg,https://commons.wikimedia.org/wiki/File:12th-century_painters_-_Pentecost_-_WGA15840.jpg
58051,,13th Station of the Cross by Adam Kossowski.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/13th%20Station%20of%20the%20Cross%20by%20Adam%20Kossowski.jpg,https://commons.wikimedia.org/wiki/File:13th_Station_of_the_Cross_by_Adam_Kossowski.jpg
54916,,13th-century painters - English Apocalypse - WGA15756.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/13th-century%20painters%20-%20English%20Apocalypse%20-%20WGA15756.jpg,https://commons.wikimedia.org/wiki/File:13th-century_painters_-_English_Apocalypse_-_WGA15756.jpg
46686,,1460 Der heilige Hieronymus in der Wüste Barber Institute of Fine Arts anagoria.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/1460%20Der%20heilige%20Hieronymus%20in%20der%20W%C3%BCste%20Barber%20Institute%20of%20Fine%20Arts%20anagoria.jpg,https://commons.wikimedia.org/wiki/File:1460_Der_heilige_Hieronymus_in_der_W%C3%BCste_Barber_Institute_of_Fine_Arts_anagoria.jpg
56623,,1525 Heilige Verena wäscht einem Pestkranken die Haare anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1525%20Heilige%20Verena%20w%C3%A4scht%20einem%20Pestkranken%20die%20Haare%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:1525_Heilige_Verena_w%C3%A4scht_einem_Pestkranken_die_Haare_anagoria.JPG
55836,,1529 Cranach Allegorie auf Gesetz und Gnade anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1529%20Cranach%20Allegorie%20auf%20Gesetz%20und%20Gnade%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:1529_Cranach_Allegorie_auf_Gesetz_und_Gnade_anagoria.JPG
58144,Q21672339,16th-century unknown painters - Elijah and the Widow of Zarapeth - WGA23604.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/16th-century%20unknown%20painters%20-%20Elijah%20and%20the%20Widow%20of%20Zarapeth%20-%20WGA23604.jpg,https://commons.wikimedia.org/wiki/File:16th-century_unknown_painters_-_Elijah_and_the_Widow_of_Zarapeth_-_WGA23604.jpg
57992,Q2596433,1795-William-Blake-Naomi-entreating-Ruth-Orpah.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/1795-William-Blake-Naomi-entreating-Ruth-Orpah.jpg,https://commons.wikimedia.org/wiki/File:1795-William-Blake-Naomi-entreating-Ruth-Orpah.jpg
55002,,184 Württemberg und Mömpelgard Mömpelgarder Altar You know who.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/184%20W%C3%BCrttemberg%20und%20M%C3%B6mpelgard%20M%C3%B6mpelgarder%20Altar%20You%20know%20who.jpg,https://commons.wikimedia.org/wiki/File:184_W%C3%BCrttemberg_und_M%C3%B6mpelgard_M%C3%B6mpelgarder_Altar_You_know_who.jpg
57977,,1874 Monet Sommer anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1874%20Monet%20Sommer%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:1874_Monet_Sommer_anagoria.JPG
56754,,1879 Liebermann Der zwölfjährige Jesus im Tempel anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1879%20Liebermann%20Der%20zw%C3%B6lfj%C3%A4hrige%20Jesus%20im%20Tempel%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:1879_Liebermann_Der_zw%C3%B6lfj%C3%A4hrige_Jesus_im_Tempel_anagoria.JPG
55627,,1883 Ivanov Blinde anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1883%20Ivanov%20Blinde%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:1883_Ivanov_Blinde_anagoria.JPG
55507,,1890 van Gogh First Steps - after Millet anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1890%20van%20Gogh%20First%20Steps%20-%20after%20Millet%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:1890_van_Gogh_First_Steps_-_after_Millet_anagoria.JPG
57845,,19-22-011-museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/19-22-011-museum.jpg,https://commons.wikimedia.org/wiki/File:19-22-011-museum.jpg
56839,,1907 Feddersen Heimkehr des verlorenen Sohnes anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1907%20Feddersen%20Heimkehr%20des%20verlorenen%20Sohnes%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:1907_Feddersen_Heimkehr_des_verlorenen_Sohnes_anagoria.JPG
57197,,19th century black heaven.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/19th%20century%20black%20heaven.jpg,https://commons.wikimedia.org/wiki/File:19th_century_black_heaven.jpg
56211,,2009 - COMMUNITY MURAL-in-the-Round PROJECT Big Draw at Mary Martha House Store.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/2009%20-%20COMMUNITY%20MURAL-in-the-Round%20PROJECT%20Big%20Draw%20at%20Mary%20Martha%20House%20Store.JPG,https://commons.wikimedia.org/wiki/File:2009_-_COMMUNITY_MURAL-in-the-Round_PROJECT_Big_Draw_at_Mary_Martha_House_Store.JPG
55449,,2012-02-Kathedrale Sancti Spiritus 04 anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/2012-02-Kathedrale%20Sancti%20Spiritus%2004%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:2012-02-Kathedrale_Sancti_Spiritus_04_anagoria.JPG
55902,,2013-08-14--Artoklasia during Feast of the Dormition of the Virgin Mary.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/2013-08-14--Artoklasia%20during%20Feast%20of%20the%20Dormition%20of%20the%20Virgin%20Mary.JPG,https://commons.wikimedia.org/wiki/File:2013-08-14--Artoklasia_during_Feast_of_the_Dormition_of_the_Virgin_Mary.JPG
55438,,230718 88-olinda-maspe.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/230718%2088-olinda-maspe.jpg,https://commons.wikimedia.org/wiki/File:230718_88-olinda-maspe.jpg
55711,,30a protest christians against greed.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/30a%20protest%20christians%20against%20greed.jpg,https://commons.wikimedia.org/wiki/File:30a_protest_christians_against_greed.jpg
58369,Q26525401,"4 Jacopo di Cione Polyptych San Pier Maggiore, detail. 1370-71 London NG.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/4%20Jacopo%20di%20Cione%20Polyptych%20San%20Pier%20Maggiore%2C%20detail.%201370-71%20London%20NG.jpg,"https://commons.wikimedia.org/wiki/File:4_Jacopo_di_Cione_Polyptych_San_Pier_Maggiore,_detail._1370-71_London_NG.jpg"
57280,Q41370,5201-king-david-in-prayer-pieter-de-grebber.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/5201-king-david-in-prayer-pieter-de-grebber.jpg,https://commons.wikimedia.org/wiki/File:5201-king-david-in-prayer-pieter-de-grebber.jpg
56048,,"55-aspetti di vita quotidiana, gioia,Taccuino Sanitatis, Cas.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/55-aspetti%20di%20vita%20quotidiana%2C%20gioia%2CTaccuino%20Sanitatis%2C%20Cas.jpg,"https://commons.wikimedia.org/wiki/File:55-aspetti_di_vita_quotidiana,_gioia,Taccuino_Sanitatis,_Cas.jpg"
56100,,"7315 - Milano - S. Maria della Passione - Daniele Crespi, Il digiuno di San Carlo - Foto Giovanni Dall'Orto, 26-Feb-2008.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/7315%20-%20Milano%20-%20S.%20Maria%20della%20Passione%20-%20Daniele%20Crespi%2C%20Il%20digiuno%20di%20San%20Carlo%20-%20Foto%20Giovanni%20Dall%27Orto%2C%2026-Feb-2008.jpg,"https://commons.wikimedia.org/wiki/File:7315_-_Milano_-_S._Maria_della_Passione_-_Daniele_Crespi,_Il_digiuno_di_San_Carlo_-_Foto_Giovanni_Dall%27Orto,_26-Feb-2008.jpg"
57232,,7920jfWorld Peace Bell Quezon Memorial Circlefvf 03.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/7920jfWorld%20Peace%20Bell%20Quezon%20Memorial%20Circlefvf%2003.JPG,https://commons.wikimedia.org/wiki/File:7920jfWorld_Peace_Bell_Quezon_Memorial_Circlefvf_03.JPG
55208,,"8 Nicolo di Pietro,1413-15. The Saint Augustine Baptized by Saint Ambrose. Pinacoteca, Vatican..jpg",http://commons.wikimedia.org/wiki/Special:FilePath/8%20Nicolo%20di%20Pietro%2C1413-15.%20The%20Saint%20Augustine%20Baptized%20by%20Saint%20Ambrose.%20Pinacoteca%2C%20Vatican..jpg,"https://commons.wikimedia.org/wiki/File:8_Nicolo_di_Pietro,1413-15._The_Saint_Augustine_Baptized_by_Saint_Ambrose._Pinacoteca,_Vatican..jpg"
57807,,"A Pastoral Visit, Virgina, by Richard Norris Brooke, 1881 - Corcoran Gallery of Art - DSC01173.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/A%20Pastoral%20Visit%2C%20Virgina%2C%20by%20Richard%20Norris%20Brooke%2C%201881%20-%20Corcoran%20Gallery%20of%20Art%20-%20DSC01173.JPG,"https://commons.wikimedia.org/wiki/File:A_Pastoral_Visit,_Virgina,_by_Richard_Norris_Brooke,_1881_-_Corcoran_Gallery_of_Art_-_DSC01173.JPG"
57221,,A Walk along a Path at Sunset by Hermann Herzog.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Walk%20along%20a%20Path%20at%20Sunset%20by%20Hermann%20Herzog.jpg,https://commons.wikimedia.org/wiki/File:A_Walk_along_a_Path_at_Sunset_by_Hermann_Herzog.jpg
56516,,A japanese madonna - 1900 - Helen Hyde.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/A%20japanese%20madonna%20-%201900%20-%20Helen%20Hyde.jpg,https://commons.wikimedia.org/wiki/File:A_japanese_madonna_-_1900_-_Helen_Hyde.jpg
56825,Q14019,A snowstorm of stars.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/A%20snowstorm%20of%20stars.jpg,https://commons.wikimedia.org/wiki/File:A_snowstorm_of_stars.jpg
56206,,"A ward in a children's hospital, Lambeth. Photograph, 1925. Wellcome L0050928.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/A%20ward%20in%20a%20children%27s%20hospital%2C%20Lambeth.%20Photograph%2C%201925.%20Wellcome%20L0050928.jpg,"https://commons.wikimedia.org/wiki/File:A_ward_in_a_children%27s_hospital,_Lambeth._Photograph,_1925._Wellcome_L0050928.jpg"
54972,,A z.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/A%20z.JPG,https://commons.wikimedia.org/wiki/File:A_z.JPG
55552,Q59554023,"A.Y. Jackson - A Copse, Evening, 1918.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/A.Y.%20Jackson%20-%20A%20Copse%2C%20Evening%2C%201918.jpg,"https://commons.wikimedia.org/wiki/File:A.Y._Jackson_-_A_Copse,_Evening,_1918.jpg"
54991,,AEL Christi Auferstehung.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/AEL%20Christi%20Auferstehung.jpg,https://commons.wikimedia.org/wiki/File:AEL_Christi_Auferstehung.jpg
56598,,AFM Word And Life.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/AFM%20Word%20And%20Life.jpg,https://commons.wikimedia.org/wiki/File:AFM_Word_And_Life.jpg
55439,,Aba-Novák Carrying the Cross 1921.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Aba-Nov%C3%A1k%20Carrying%20the%20Cross%201921.jpg,https://commons.wikimedia.org/wiki/File:Aba-Nov%C3%A1k_Carrying_the_Cross_1921.jpg
55428,,Aba-Novák Laughing 1931.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Aba-Nov%C3%A1k%20Laughing%201931.jpg,https://commons.wikimedia.org/wiki/File:Aba-Nov%C3%A1k_Laughing_1931.jpg
54751,,Abbazia Rodengo Romanino Samaritana.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Abbazia%20Rodengo%20Romanino%20Samaritana.JPG,https://commons.wikimedia.org/wiki/File:Abbazia_Rodengo_Romanino_Samaritana.JPG
