qid,label_en,description_en,doi_uuid,doi,doi_ref1_hash,doi_ref1_referenceUrl,doi_ref1_retrieved_nodeId,doi_ref1_retrieved_val,doi_ref1_retrieved_prec,pmid_uuid,pmid,pmid_ref1_hash,pmid_ref1_referenceUrl,pmid_ref1_retrieved_nodeId,pmid_ref1_retrieved_val,pmid_ref1_retrieved_prec,published_uuid,published_nodeId,published_val,published_prec,published_ref1_hash,published_ref1_referenceUrl,published_ref1_retrieved_nodeId,published_ref1_retrieved_val,published_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,journal_uuid,journal,journal_ref1_hash,journal_ref1_referenceUrl,journal_ref1_retrieved_nodeId,journal_ref1_retrieved_val,journal_ref1_retrieved_prec,volume_uuid,volume,volume_ref1_hash,volume_ref1_referenceUrl,volume_ref1_retrieved_nodeId,volume_ref1_retrieved_val,volume_ref1_retrieved_prec,page_uuid,page,page_ref1_hash,page_ref1_referenceUrl,page_ref1_retrieved_nodeId,page_ref1_retrieved_val,page_ref1_retrieved_prec,issue_uuid,issue,issue_ref1_hash,issue_ref1_referenceUrl,issue_ref1_retrieved_nodeId,issue_ref1_retrieved_val,issue_ref1_retrieved_prec,isbn10_uuid,isbn10,isbn10_ref1_hash,isbn10_ref1_referenceUrl,isbn10_ref1_retrieved_nodeId,isbn10_ref1_retrieved_val,isbn10_ref1_retrieved_prec,isbn13_uuid,isbn13,isbn13_ref1_hash,isbn13_ref1_referenceUrl,isbn13_ref1_retrieved_nodeId,isbn13_ref1_retrieved_val,isbn13_ref1_retrieved_prec,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_referenceUrl,publisher_ref1_retrieved_nodeId,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec
Q97622978,The Real Presence,journal article,,,,,,,,,,,,,,,22D3826E-9417-49F9-9013-F8FE6A8A3FCA,9c616d3c686cb2501e3e1a971063eee8,1993-02-01T00:00:00Z,10,,,,,,38F288A3-1F53-4D41-9E9D-ABCB6E0C4370,The Real Presence,,,,,,97A5C39A-F036-4B9B-AF05-3646787FCA5C,Q5866179,,,,,,FDBE74E4-EC89-4F13-A4E4-DDE1362502D6,32,,,,,,E782D3C3-AE01-4D98-80CB-51474E5F4D02,233-272,,,,,,B6BF4AD6-1000-4A41-A525-86EC164D2AAB,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99533537,The Real Presence,book section,,,,,,,,,,,,,,,33FAD4BC-1DC3-478C-B10A-18D5786E77B4,2b3197a343b1554b824b915aa6ffd70f,1999-01-01T00:00:00Z,9,,,,,,7AADF6C0-99C6-46EA-8D7A-2BCBD1611F33,The Real Presence,,,,,,818E297C-D25A-451A-808A-0FAB774CB45A,Q99399029,,,,,,D135986E-3049-4A37-8ABF-4784CD4A4B65,1,,,,,,FEB64722-4AF2-44D0-851C-939FB0D79B52,531-532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106877421,"The structure, Tendenz, and Sitz im leben of John 13:31-14:31",scholarly article,,,,,,,,,,,,,,,97B2CED9-83A1-4954-AC61-005F606F1472,ff613d8ff24e5142cff4f8a170035274,1985-09-01T00:00:00Z,10,,,,,,BF52CC8B-5794-4E12-8D29-949D76E52B8D,"The structure, Tendenz, and Sitz im leben of John 13:31-14:31",,,,,,7F8D3459-4328-4B96-BF60-01F80282276B,Q4041879,,,,,,234DFB17-BC2B-4193-B4DF-6CCFBA35F146,104,,,,,,,,,,,,,1E1C89C9-1E4D-43C8-9F8F-162C2D8DEE8A,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Q109417979,"The Structure, Tendenz, and Sitz im Leben of John 13:31-14:31",journal article,9B1B39E6-6998-4C02-81C9-93C7A6C14AC3,10.2307/3260925,f79e3ec1d7fc72bcff4a02fcdf8fc218ae4f2139,http://doi.org/10.2307/3260925,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,,,,,,,,4A30039E-2C60-4EB8-92BA-B1A586AED507,27be5dfabdb5aa8f8a1e42ce2171a70b,2006-05-05T00:00:00Z,11,f79e3ec1d7fc72bcff4a02fcdf8fc218ae4f2139,http://doi.org/10.2307/3260925,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,8136F3F2-D0CE-4AFE-8DC4-326415C9022E,"The Structure, Tendenz, and Sitz im Leben of John 13:31-14:31",f79e3ec1d7fc72bcff4a02fcdf8fc218ae4f2139,http://doi.org/10.2307/3260925,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,0BA488F9-71A1-438D-8275-260FF46D5CF7,Q4041879,f79e3ec1d7fc72bcff4a02fcdf8fc218ae4f2139,http://doi.org/10.2307/3260925,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,EFFF3B3C-F179-474C-9A70-82F5DF01C878,104,f79e3ec1d7fc72bcff4a02fcdf8fc218ae4f2139,http://doi.org/10.2307/3260925,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,2FA1890E-1A6C-42E1-BA97-4636FAA32548,471,f79e3ec1d7fc72bcff4a02fcdf8fc218ae4f2139,http://doi.org/10.2307/3260925,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,D5E1BF4C-5657-47D1-9861-739CBC5863F7,3,f79e3ec1d7fc72bcff4a02fcdf8fc218ae4f2139,http://doi.org/10.2307/3260925,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,
Q106877202,The theology and provenance of John 15:1-17,scholarly article,,,,,,,,,,,,,,,FE45BB2C-C845-4E57-AEBD-C9FBED83512D,878f71cee1599b80a5cc186d234f7d9e,1982-03-01T00:00:00Z,10,,,,,,072D96D4-BE54-47AC-91F1-B6CD5E7A68A6,The theology and provenance of John 15:1-17,,,,,,7D2F4227-A0B1-41B4-938E-78AF6AA98796,Q4041879,,,,,,B77A7663-4521-4F6C-8E74-C992E40E51B5,101,,,,,,,,,,,,,209FE2BC-8AB9-41BD-B4EE-2C6572179919,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Q109417978,The Theology and Provenance of John 15:1-17,journal article,AF8B6D1A-FCEA-4C3A-8262-00B53D849E4E,10.2307/3260444,72f637bba2d86e28a5ae699a49c38bd180c70258,http://doi.org/10.2307/3260444,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,,,,,,,,DD0308C4-C923-46E0-864A-04C3D12A69AC,27be5dfabdb5aa8f8a1e42ce2171a70b,2006-05-05T00:00:00Z,11,72f637bba2d86e28a5ae699a49c38bd180c70258,http://doi.org/10.2307/3260444,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,62F97C5E-B94D-4256-BBAA-B11D8CA0118E,The Theology and Provenance of John 15:1-17,72f637bba2d86e28a5ae699a49c38bd180c70258,http://doi.org/10.2307/3260444,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,E9AE8934-B9AC-4751-B3C8-565442D34052,Q4041879,72f637bba2d86e28a5ae699a49c38bd180c70258,http://doi.org/10.2307/3260444,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,AF6A8549-6F7C-4B33-B489-F54A3F21943D,101,72f637bba2d86e28a5ae699a49c38bd180c70258,http://doi.org/10.2307/3260444,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,62D2F92D-4807-417F-8B4F-B998DE6A3EE2,115,72f637bba2d86e28a5ae699a49c38bd180c70258,http://doi.org/10.2307/3260444,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,B744FA3F-552B-47A7-836B-5AD04757BD54,1,72f637bba2d86e28a5ae699a49c38bd180c70258,http://doi.org/10.2307/3260444,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,
Q107277767,"Village Cosmopolitanisms: Or, I See Kabul from Lado Sarai",blog post (in two parts),,,,,,,,,,,,,,,33666a74-4e0a-8268-a8eb-268d331ad08e,a64aef029ad7de0b63c03572a1e1e30f,2013-10-01T00:00:00Z,10,,,,,,bde5148f-48a5-ae1d-344a-d9b85149b5e2,"Village Cosmopolitanisms: Or, I See Kabul from Lado Sarai",,,,,,4f3c7cab-48ad-fe26-994e-59a248228459,Q107277748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q107275822,"Village Cosmopolitans: Or, I See Kabul from Lado Sarai",,,,,,,,,,,,,,,,4A417731-E4BC-47DA-836A-A2D2B53D4CD5,864c28093f3e70d5e1967de207df801e,2016-01-01T00:00:00Z,9,,,,,,F1A4B403-72FE-408C-9414-25A8F14EF399,"Village Cosmopolitans: Or, I See Kabul from Lado Sarai",,,,,,F8A4A5A7-2FCB-4759-B70B-FC222F81E860,Q106732828,,,,,,,,,,,,,29C4EC81-840E-492A-9BA6-A947F6D87509,175-195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108802814,What if it is a Choice?: Some Implications of the Homosexuality Debates for Theology,book chapter,,,,,,,,,,,,,,,824B656E-6FAC-4B6B-A522-723DE80EE444,4f272fae38ee73a331afd0407cdc74b9,2010-01-01T00:00:00Z,9,,,,,,0B55834D-2C54-458D-9BDD-4998E51631A0,What if it is a Choice?: Some Implications of the Homosexuality Debates for Theology,,,,,,A2DC23DC-2830-4763-BC54-7E0BDFE3D3EE,Q108747196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q111819994,What if it is a Choice?: Some Implications of the Homosexuality Debates for Theology,journal article,,,,,,,,,,,,,,,F64395CA-4C7D-4C3A-82A9-AE27214B4C17,c5c0b1372c566af0e3d31535e7b831b4,2001-01-01T00:00:00Z,9,,,,,,60E943E1-5D23-412B-86A5-5E5DB7BF7499,What if it is a Choice?: Some Implications of the Homosexuality Debates for Theology,,,,,,5D313C11-28AB-40A2-B2DE-060B6EDDCA95,Q98608602,,,,,,EB1FF829-053C-4A51-9403-19CBBC45D216,91,,,,,,E7248B9A-9423-4D53-AE23-2DBBA2B7B0C1,23-32,,,,,,73C0E743-3E81-49C7-A277-74BDC25298B6,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108802812,What Race is Your Sex?,book chapter,,,,,,,,,,,,,,,46BC1B95-039C-4C54-85C9-93FFEA82BDFF,d856dc41cd8b187e580caec258ead625,2004-01-01T00:00:00Z,9,,,,,,86DA29DB-F00D-455C-9925-BC24AD277208,What Race is Your Sex?,,,,,,E1B1CA39-0B58-4439-9C13-00154A44C868,Q108747197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108802895,What Race is Your Sex?,book chapter (previously published),,,,,,,,,,,,,,,EB347F34-C867-4399-824C-26EDD7BDBF5F,a4cd9904a78844d854ea927fbdded8f2,2012-01-01T00:00:00Z,9,,,,,,E7F9C6CD-943D-4228-82A0-E12143DB33CE,What Race is Your Sex?,,,,,,A157C04F-AAC4-4331-8EFB-3547CF7C81B3,Q108747204,,,,,,38D1D3B2-CB35-4136-986D-2C1D1A403867,2,,,,,,4ee7ca5a-4e4a-d614-0ec0-a898c1672473,125-141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q98137280,Xunzi and Durkheim as Theorists of Ritual Practice,book chapter,,,,,,,,,,,,,,,FAB490B1-94B9-40AF-B6B7-33EE98D0C791,b7d2f0cd6078582b7912deb83efe6450,1992-01-01T00:00:00Z,9,,,,,,4F6623D6-162A-425B-A54D-6773DF941DA9,Xunzi and Durkheim as Theorists of Ritual Practice,,,,,,A6494A57-5E26-4439-A404-43DA6D64BF2F,Q98098333,,,,,,,,,,,,,265FDB7E-69D9-48B7-93C1-23E9AE603A0B,197-231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99533539,Xunzi and Durkheim as Theorists of Ritual Practice,book section,,,,,,,,,,,,,,,4C100FF0-2A01-4630-8E41-7945581823CB,d49b98a030ea836c922381a07d3a55a5,1996-01-01T00:00:00Z,9,,,,,,A5DF73DF-C285-48AC-B698-A3A89AB7916F,Xunzi and Durkheim as Theorists of Ritual Practice,,,,,,E65ECF24-E7D4-4CF8-821A-A5D96401C5A6,Q99399171,,,,,,,,,,,,,4BC36D0F-1937-4A35-BDD7-6BAD931E5EE3,86-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
