qid,artistLabel,birthdate,deathdate,sexgender,ulan,birthplace,birthLabel,citizenship,citizenLabel,count,added
Q21460866,Fred Taylor,1875-03-22,1963-01-29,male,500087014,Q84,London,Q174193,United Kingdom of Great Britain and Ireland,8,False
Q105090382,Gilbert Herreyns,1943-02-02,,male,,Q203312,Uccle - Ukkel,Q31,Belgium,8,True
Q21929746,Helen Gerardia,1903-01-01,1988-01-01,female,500053529,Q49518,Yekaterinoslav Governorate,Q30,United States of America,8,False
Q80023302,Joseph Pennell,,,,,,,,,8,False
Q6530475,Lesley Dill,1950-01-01,,female,500330492,Q928168,Bronxville,Q30,United States of America,8,False
Q18686182,Lesley Foxcroft,1949-01-01,,female,500017797,Q42448,Sheffield,,,8,False
Q24503,Michael Craig-Martin,1941-08-28,,male,500013170,Q1761,Dublin,Q145,United Kingdom,8,False
Q105090144,Thomas Puryear Mims,1906-01-01,1975-01-01,male,500068379,,,Q30,United States of America,8,True
Q105090201,Zdenka Zivkovic,1921-01-01,2011-01-01,female,,Q33946,Czechoslovakia,,,8,True
Q16007897,Alonzo C. Webb,1888-04-01,1975-01-01,male,,Q23197,Nashville,Q30,United States of America,7,False
Q822353,Bernard Cohen,1933-07-28,,male,500022012,Q84,London,Q145,United Kingdom,7,False
Q1144898,Currier and Ives,,,,500034474,,,,,7,False
Q734889,Francesco Bartolozzi,1728-09-25,1815-03-07,male,500032318,Q2044,Florence,Q145,United Kingdom,7,False
Q156128,Georges Rouault,1871-05-27,1958-02-13,male,500024798,Q90,Paris,Q142,France,7,False
Q5560919,Gilbert Gaul,1855-03-31,1919-12-21,male,500005060,Q26339,Jersey City,Q30,United States of America,7,False
Q1455806,Joan Hernández Pijuan,1931-02-15,2005-12-28,male,500014460,Q1492,Barcelona,Q29,Spain,7,False
Q80077266,John Taylor Arms,,,,,,,,,7,False
Q57688022,Leonard Baskin,,,,,,,,,7,False
Q1074290,Paul Gavarni,1804-01-13,1866-11-23,male,500006992,Q90,Paris,Q142,France,7,False
Q105090619,Toby Sherrard,1977-01-01,,male,,Q5083,Seattle,Q30,United States of America,7,True
Q693095,Conrad Felixmüller,1897-05-21,1977-03-24,male,500017719,Q1731,Dresden,Q183,Germany,6,False
Q87406961,Janet Mitchell,1912-11-24,1998-01-01,female,500078722,Q368241,Medicine Hat,Q16,Canada,6,False
Q366066,John Flaxman,1755-07-06,1826-12-07,male,500115449,Q42462,York,Q174193,United Kingdom of Great Britain and Ireland,6,False
Q142472,Käthe Kollwitz,1867-07-08,1945-04-22,female,500016751,Q1829,Kaliningrad,Q41304,Weimar Republic,6,False
Q55987884,Leopoldo Irriguible,1946-05-09,2017-01-11,male,,Q10305,Zaragoza,Q29,Spain,6,False
Q165275,Robert Motherwell,1915-01-24,1991-07-16,male,500016415,Q233808,Aberdeen,Q30,United States of America,6,False
Q94684059,Sally Gall,1956-01-01,,female,500040932,,,,,6,False
Q94296230,Sidney Chafetz,1922-01-01,2013-01-01,male,500105615,,,,,6,False
Q809510,Bartolomeo Pinelli,1771-11-20,1835-04-01,male,500030127,Q220,Rome,Q170174,Papal States,5,False
Q105090629,Caleb Cain Marcus,1978-01-01,,male,,Q30,United States of America,Q30,United States of America,5,True
Q105206935,Calvin J. Sumsion,1942-03-04,2014-12-28,male,,Q23443,Provo,,,5,False
Q5078832,Charles Hazlewood Shannon,1863-04-26,1937-03-18,male,500020950,Q1891939,Sleaford,Q174193,United Kingdom of Great Britain and Ireland,5,False
Q22237088,Frank Liefooghe,1943-01-01,,male,,,,,,5,False
Q105090302,Henk van Putten,1936-01-01,,male,500058012,,,Q29999,Kingdom of the Netherlands,5,True
Q89962122,Herbert Fink,,,male,,,,,,5,False
Q63038130,Jill Mathis,1964-01-01,,female,,,,Q30,United States of America,5,False
Q1679017,Johann Jakob Frey the Elder,1681-02-17,1752-01-11,male,500056707,Q7102,Hochdorf,Q39,Switzerland,5,False
Q180727,John Cage,1912-09-05,1992-08-12,male,500092036,Q5582919,Good Samaritan Hospital,Q30,United States of America,5,False
Q105090336,Manzano Acisclo,1940-01-01,,,,,,,,5,True
Q105090639,Nick Butcher,1980-01-01,,male,,Q1268670,Dyersburg,Q30,United States of America,5,True
Q5593,Pablo Picasso,1881-10-25,1973-04-08,male,500009666,Q8851,Málaga,Q29,Spain,5,False
Q492111,Patrick Caulfield,1936-01-29,2005-09-29,male,500015976,Q84,London,Q145,United Kingdom,5,False
Q105090366,Pere Puiggros,1942-01-01,,male,,,,Q29,Spain,5,True
Q368645,Richard Long,1945-06-02,,male,500013903,Q23154,Bristol,Q145,United Kingdom,5,False
Q105090241,Rolph Blakstad,1929-01-01,,male,,Q24639,Vancouver,Q16,Canada,5,True
Q3469342,Sakai Hōitsu,1761-01-01,1828-01-04,male,500121066,Q3270459,Ogawamachi,Q17,Japan,5,False
Q7634046,Sue Coe,1951-11-28,,female,500005739,Q704864,Tamworth,Q145,United Kingdom,5,False
Q75972276,Thomas Bury,1776-10-24,,male,,,,,,5,False
Q30743874,Timothy W. Clark,,,male,,,,,,5,False
Q3087294,Toyohara Chikanobu,1838-01-01,1912-01-01,male,500335317,Q215646,Edo,Q17,Japan,5,False
Q306759,Abbott Handerson Thayer,1849-08-12,1921-05-29,male,500016002,Q100,Boston,Q30,United States of America,4,False
Q66990937,Andrzej Klimowski,1949-01-01,,male,500001700,Q84,London,Q145,United Kingdom,4,False
Q4759891,André Fauteux,1946-03-15,,male,500104147,Q5315628,Dunnville,Q16,Canada,4,False
Q105090457,Ann Kalmbach,1950-01-01,,female,,Q49218,Rochester,Q30,United States of America,4,True
Q153920,Aristide Maillol,1861-12-08,1944-09-27,male,500001596,Q6753,Banyuls-sur-Mer,Q142,France,4,False
Q56537701,Ben-Zion,,,,,,,,,4,False
Q125409,Charles Jacque,1813-05-23,1894-05-07,male,500184537,Q90,Paris,Q142,France,4,False
Q101232628,David Walsh,,,,,,,,,4,False
Q156736,Eduardo Chillida,1924-01-10,2002-08-19,male,500013253,Q10313,Donostia-San Sebastián,Q33,Finland,4,False
Q57915535,Elaine Cohen,,,female,,,,,,4,False
Q21486072,Emilio Rodríguez-Larrain,1928-02-02,2015-01-01,male,500117546,Q2868,Lima,Q172579,Kingdom of Italy,4,False
Q946578,Francis Seymour Haden,1818-09-16,1910-06-01,male,500021004,Q84,London,Q174193,United Kingdom of Great Britain and Ireland,4,False
Q5494910,Fred Cozzens,1846-10-11,1928-08-29,male,500021334,Q60,New York City,Q30,United States of America,4,False
Q371280,George Romney,1734-12-26,1802-11-15,male,500115779,Q1158089,Dalton-in-Furness,Q145,United Kingdom,4,False
Q105091223,HK Holbein,,,,,,,,,4,False
Q165367,Hendrik Goltzius,1558-02-01,1617-01-01,male,500023327,Q2769211,Bracht,Q170072,Dutch Republic,4,False
Q567547,Ian Hamilton Finlay,1925-10-28,2006-03-27,male,500023934,Q2467,Nassau,Q174193,United Kingdom of Great Britain and Ireland,4,False
Q16995114,Isabel Bishop,,,,,,,,,4,False
Q460124,Jacques Callot,1592-01-01,1635-03-25,male,500021688,Q40898,Nancy,Q155019,Duchy of Lorraine,4,False
Q605799,Jacques Stella,1596-01-01,1657-04-29,male,500116814,Q456,Lyon,Q70972,Kingdom of France,4,False
Q21993978,Jean Baptiste Hilaire,1751-07-16,1828-08-06,male,500028666,Q21917,Audun-le-Tiche,Q142,France,4,False
Q105090551,Jeff Matz,1963-01-01,,male,500072728,Q49233,Orlando,Q30,United States of America,4,True
Q3503915,John Crome,1768-12-22,1821-04-14,male,500115474,Q130191,Norwich,Q145,United Kingdom,4,False
Q26924921,Joop Birker,1935-01-10,1993-08-04,male,,Q9871,Tilburg,Q29999,Kingdom of the Netherlands,4,False
Q1358636,Katsukawa Shunshō,1726-01-01,1792-01-19,male,500118856,Q215646,Edo,Q17,Japan,4,False
Q11553926,Kawamura Bunpō,1779-01-01,1821-01-01,male,,Q17,Japan,Q17,Japan,4,False
Q6826451,Meyer Wolfe,1897-01-01,1985-01-01,male,,,,Q30,United States of America,4,False
Q105090632,Mike McIntyre,1978-01-01,,male,,Q38022,St. Louis,Q30,United States of America,4,True
Q22086169,Morris Davidson,1898-12-16,1979-01-01,male,500484365,Q49218,Rochester,Q30,United States of America,4,False
Q99484208,Philippe Benoist,1957-01-01,,,,,,,,4,False
Q2360939,Richard Earlom,1743-05-14,1822-10-09,male,500018023,Q84,London,Q174193,United Kingdom of Great Britain and Ireland,4,False
Q98765231,Richard Smith,1931-01-01,,male,,,,Q145,United Kingdom,4,False
Q19845232,Rinaldo Paluzzi,1927-05-27,2013-03-27,male,500063266,Q734974,Greensburg,Q30,United States of America,4,False
Q16297945,Roser Bru,1923-02-15,2021-05-26,female,500055921,Q1492,Barcelona,Q298,Chile,4,False
Q11599030,Takehara Shunsensai,,,male,,,,Q17,Japan,4,False
Q29219293,Tatana Kellner,1950-01-01,,female,,,,,,4,False
Q52154484,Toyota Hokkei,1780-01-01,1850-01-01,,500327126,,,Q17,Japan,4,False
Q1967967,Ugo da Carpi,1480-01-01,1523-07-20,male,500013568,Q100041,Carpi,Q38,Italy,4,False
Q105090293,Victor Huggins,1936-01-01,2007-01-01,male,,Q49229,Durham,Q30,United States of America,4,True
Q1961244,Willem Isaacsz Swanenburg,1580-01-29,1612-05-31,male,500005645,Q43631,Leiden,Q55,Netherlands,4,False
Q326215,Abraham Bosse,1604-01-01,1676-02-14,male,500031187,Q288,Tours,Q142,France,3,False
Q365388,Adolph Gottlieb,1903-03-14,1974-03-04,male,500004904,Q60,New York City,Q30,United States of America,3,False
Q1297898,Aegidius Sadeler,1570-01-01,1629-01-01,male,500016165,Q12892,Antwerp,Q1031430,Habsburg Netherlands,3,False
Q19594595,Albert Rosenthal,1863-01-01,1939-01-01,male,500021856,Q1345,Philadelphia,Q30,United States of America,3,False
Q58470913,Alfredo Trento,,,male,,,,,,3,False
Q105090676,Anita Gibson,,,female,,Q211795,Lima region,Q419,Peru,3,True
Q944948,Antonio Maria Zanetti,1680-02-20,1757-12-31,male,500014948,Q641,Venice,Q4948,Republic of Venice,3,False
Q3620165,Antonio Saura,,,,,,,,,3,False
Q559929,Bernard Picart,1673-06-11,1733-05-08,male,500001805,Q90,Paris,Q142,France,3,False
Q17194393,Beth Van Hoesen,1926-01-01,2010-11-16,female,500063546,Q35775,Boise,Q30,United States of America,3,False
Q16091614,Ce Roser,1930-01-01,,female,,,,Q30,United States of America,3,False
Q5077591,Charles Falls,1860-01-01,1936-09-20,male,,,,Q174193,United Kingdom of Great Britain and Ireland,3,False
Q105090339,Cis Lenerts,1940-01-01,,,,,,,,3,True
Q610532,David Burliuk,1882-07-21,1967-01-15,male,500026962,Q12152027,Semyrotivschyna,Q34266,Russian Empire,3,False
Q105090305,Don Cameron,1936-01-01,,male,,,,,,3,True
Q105090086,Earl A. Warner,1883-01-01,1918-01-01,male,,,,Q30,United States of America,3,True
Q3048405,Eduardo Úrculo,1938-09-21,2003-03-31,male,,Q917886,Santurtzi,Q29,Spain,3,False
Q449119,Emil Schumacher,1912-08-29,1999-10-04,male,500005420,Q2871,Hagen,Q183,Germany,3,False
Q3056456,Erica Lennard,1950-01-01,,female,500223405,Q60,New York City,Q30,United States of America,3,False
Q17146408,Ethelbert White,1891-02-26,1972-03-05,male,500014299,,,Q145,United Kingdom,3,False
Q107194,George Grosz,1893-07-26,1959-07-06,male,500014558,Q64,Berlin,Q183,Germany,3,False
Q105090189,Gerald Holly,1917-01-01,2004-01-01,male,,Q2355638,Lewisburg,Q30,United States of America,3,True
Q105090277,Giorgio Pagliari,1933-01-01,2015-01-01,male,,Q220,Rome,,,3,True
Q5593120,Graham Ovenden,1943-02-11,,male,500020791,Q1227651,New Alresford,Q145,United Kingdom,3,False
Q77324910,Hiroshi Murata,1941-01-01,,male,,Q188712,Empire of Japan,Q17,Japan,3,False
Q43132001,Immo Jalass,1938-01-01,,male,,,,Q183,Germany,3,False
Q85895802,J Gross,,,,,,,,,3,False
Q76135524,J. Ryan,,,male,,,,,,3,False
Q24256439,Jakob Nussbaum,1873-01-08,1936-01-01,male,500407418,Q315361,Rhina,Q183,Germany,3,False
Q105090376,James Joseph Juszczk,1943-01-01,,male,,Q1297,Chicago,Q30,United States of America,3,True
Q56099,James Lavadour,1951-07-18,,male,500127002,Q944507,Pendleton,Q30,United States of America,3,False
Q537266,James Montgomery Flagg,1877-06-18,1960-05-27,male,500003051,Q3452762,Pelham Manor,Q30,United States of America,3,False
Q29047374,Jane Logemann,1942-01-01,,female,,Q37836,Milwaukee,Q30,United States of America,3,False
Q60743508,Joe Downing,1903-06-26,1975-10-16,male,,,,Q30,United States of America,3,False
Q75571020,John Goodyear,,,male,,,,,,3,False
Q143750,John Rogers,1829-10-03,1904-07-26,male,500004980,Q54140,Salem,Q30,United States of America,3,False
Q3192796,Kanō Yasunobu,1614-01-10,1685-10-01,male,500121026,Q34600,Kyoto,Q17,Japan,3,False
Q63037298,Katinka Mann,1925-01-01,,female,,,,Q30,United States of America,3,False
Q16739226,Katja Meirowsky,1920-01-01,2012-09-07,female,,Q572559,Spremberg,Q183,Germany,3,False
Q931065,Kenneth Snelson,1927-06-29,2016-12-22,male,500007005,Q944507,Pendleton,Q30,United States of America,3,False
Q3074364,Kitao Shigemasa,1739-01-01,1820-01-01,male,500074052,Q1490,Tokyo,Q17,Japan,3,False
Q11545119,Kuniyasu,1794-01-01,1832-01-01,male,500334453,Q17,Japan,Q17,Japan,3,False
Q28784581,Leo Rabkin,1919-01-01,2015-01-01,male,500014503,,,Q30,United States of America,3,False
Q8342047,Louis Justin Laurent Icart,1888-12-09,1950-12-20,male,,Q7880,Toulouse,Q142,France,3,False
Q6697422,Lucio Pozzi,1935-11-29,,male,500023646,Q490,Milan,Q30,United States of America,3,False
Q93284,Marc Chagall,1887-07-07,1985-03-28,male,500115354,Q1025872,Liozna,Q34266,Russian Empire,3,False
Q3302254,Max Papart,1911-12-19,1994-08-29,male,500007383,Q23482,Marseille,Q142,France,3,False
Q16186318,Michael Kessler,1954-10-23,,male,500092061,,,Q30,United States of America,3,False
Q105090333,Miquel Vilà,1940-01-01,,male,,Q1492,Barcelona,Q29,Spain,3,True
Q711737,Nicolaes Pieterszoon Berchem,1622-01-01,1683-02-18,male,500010297,Q9920,Haarlem,Q55,Netherlands,3,False
Q5624550,Pierre Drevet,1663-07-20,1738-08-09,male,500003983,Q1470408,Loire-sur-Rhône,Q142,France,3,False
Q39931,Pierre-Auguste Renoir,1841-02-25,1919-12-03,male,500115467,Q45656,Limoges,Q142,France,3,False
Q13426817,Rafael Armengol,1940-01-01,,male,500039377,Q8818,Valencia,Q29,Spain,3,False
Q19569785,Raphael Sadeler the Elder,1560-01-01,1632-01-01,male,500026660,Q12892,Antwerp,Q31,Belgium,3,False
Q3435664,Robert Lapoujade,1921-01-03,1993-05-17,male,500089858,Q172593,Montauban,Q142,France,3,False
Q105090229,Robert W. Loberg,1927-01-01,1999-01-01,male,,Q1297,Chicago,Q30,United States of America,3,True
Q982677,Roland Penrose,1900-10-14,1984-04-23,male,500004543,Q84,London,Q145,United Kingdom,3,False
Q151679,Roy Lichtenstein,1923-10-27,1997-09-29,male,500013596,Q60,New York City,Q30,United States of America,3,False
Q22237655,Roy Villevoye,1960-02-27,,male,,Q1309,Maastricht,Q29999,Kingdom of the Netherlands,3,False
Q105090222,Rudolf Mauke,1924-01-01,,male,500094814,,,Q183,Germany,3,True
Q659858,Seymour Lipton,1903-11-06,1986-12-15,male,500028802,Q60,New York City,Q30,United States of America,3,False
Q361174,Sharaku,1770-01-01,1825-01-01,male,,,,Q17,Japan,3,False
Q28861822,Stephanie Pogue,1944-01-01,2002-01-01,female,500122229,Q2029222,Shelby,,,3,False
Q86449502,Susan DeMay,,,female,,,,,,3,False
Q1805696,Sébastien Leclerc,1637-09-26,1714-10-25,male,500021137,Q22690,Metz,Q142,France,3,False
Q105091278,The Little Friends of Printmaking,,,,,,,,,3,False
Q75530019,Thomas Rowlandson,,,male,,,,,,3,False
Q3074993,Utagawa Toyokuni II,1777-01-01,1835-01-01,male,500373160,,,Q17,Japan,3,False
Q55219270,Vincent Longo,1923-01-01,,male,500082194,,,Q30,United States of America,3,False
Q47513362,Will Barnet,,,,,,,,,3,False
Q105090252,William Loy,1930-01-01,2008-01-01,male,,,,Q30,United States of America,3,True
Q18552351,Willy Weber,1895-07-18,1959-06-24,male,,Q2910,Ludwigshafen,Q183,Germany,3,False
Q11467416,Yamaguchi Soken,1759-01-01,1818-01-01,male,,Q34600,Kyoto,Q17,Japan,3,False
Q75641239,A. Adams,,,male,,,,,,2,False
Q105206589,Aaron Wilson,1972-01-01,,male,,Q1915576,Xenia,,,2,False
Q4684075,Adolf Dehn,1895-11-22,1968-05-19,male,500009264,Q2227075,Waterville,Q30,United States of America,2,False
Q105090323,Adolf Schlosser,1939-01-01,2004-01-01,male,,,,,,2,True
Q4684426,Adolphe Jean-Baptiste Bayot,1810-01-01,1866-01-01,male,500083284,,,Q142,France,2,False
Q2607849,Albert Ràfols-Casamada,1923-02-02,2009-12-17,male,500198261,Q1492,Barcelona,Q29,Spain,2,False
Q157194,Alberto Giacometti,1901-10-10,1966-01-11,male,500118871,Q13100491,Borgonovo,Q142,France,2,False
Q5580,Albrecht Dürer,1471-05-30,1528-04-16,male,500115493,Q2090,Nuremberg,Q47261,Duchy of Bavaria,2,False
Q4727179,Alison Saar,1956-02-05,,female,500122244,Q65,Los Angeles,Q790,Haiti,2,False
Q539036,Allaert van Everdingen,1621-06-18,1675-01-01,male,500115159,Q972,Alkmaar,Q55,Netherlands,2,False
Q105090419,Alvin Garret,1946-01-01,,male,,,,,,2,True
Q312529,André Masson,1896-01-04,1987-10-28,male,500030295,Q1098975,Balagny-sur-Thérain,Q142,France,2,False
Q4794962,Arnold Blanch,1896-06-04,1968-01-01,male,500087778,Q2229417,Mantorville,Q30,United States of America,2,False
Q105090076,Arthur Anselm Orr,1868-10-21,1949-11-09,male,500108104,Q84,London,Q145,United Kingdom,2,True
Q19259705,Arwed D. Gorella,1937-03-25,2002-02-03,male,500069098,Q387396,Świdnica,Q183,Germany,2,False
Q105090225,Augustin Ubeda,1925-01-01,,male,500175783,,,Q29,Spain,2,True
Q2871122,Augustus Charles Pugin,1769-01-01,1832-12-19,male,500020563,Q15878,Normandy,Q142,France,2,False
Q562540,Augustus John,1878-01-04,1961-10-31,male,500018892,Q558878,Tenby,Q145,United Kingdom,2,False
Q105090174,Avery Handly,1913-01-01,1958-01-01,male,,,,Q30,United States of America,2,True
Q4859173,Barbara Morgan,1900-07-08,1992-08-17,female,500023840,Q2548074,Buffalo,Q30,United States of America,2,False
Q16971287,Bill Boysen,1936-01-23,2020-04-28,male,,,,Q30,United States of America,2,False
Q5046268,Carrie Mae Weems,1953-04-20,,female,500329422,Q6106,Portland,Q30,United States of America,2,False
Q23020275,Charles Edward Chambers,1883-08-09,1941-11-05,male,500026963,Q853566,Ottumwa,Q30,United States of America,2,False
