RecordNumber,DateUpdated,DateCreated,LocationCountry,MaterialMedium,Description,RelScriptureChapter,CopyrightStatement,BibliographyLink,StaffNotes,DateCreation,RelScriptureBook,LectionaryLink,CopyrightStatus,RelICANumber,RelScripture,SubjectBuildingName,ImageLink,Unit,Title,SubjectLC,RelScriptureVerse,Subject,ImageAvailable,ObjectFunction,CreatorArtist,SubjectName,LocationCreationSite,LocationState,IconClassNumber,OriginalLocation,BCAD,SortDate,LectionaryRank,CopyrightPermission
46166,2021-09-09 06:10:00.0,2006-06-26 00:00:00.0,Russia,,"""John the Baptist was known in Russia as ""the forerunner"" (predtecha), a designation that seems particularly appropriate for Ivanov.  His vision of universal Russian rule aided by ""public artists"" and adorned with ""temples of humanity"" seems at times like an anticipation of Soviet ideology...His final realism and preoccupation with suffering helped usher in the bleak, semi-photographic style that was to dominate [Russian] painting until the 1890's...Ivanov had tried first to create and then to become Christ, but he had left behind only sketches of human suffering and a noble failure dominated by the ascetic prophet who can do no more than announce that someone mightier is coming.  His life and work represent a final heroic effort to attain a kind of moralistic self-transformation into the likeness of Christ.""  (Billington) <br><br>From The Yorck Project.",||||,https://commons.wikimedia.org/wiki/File:Alexander_Andrejewitsch_Iwanow_003.jpg,242,,1837-1857,||||,CAdvt02|AAdvt03|BAdvt02,Educational Use Permitted,,Matthew 11:2-11,Gosudarstvennai︠a︡ Tretʹi︠a︡kovskai︠a︡ galerei︠a︡,Yorck_A_044,,"John the Baptist - study for painting ""Christ Among the People""",Christian art and symbolism -- Russia,||||,,on,,"Ivanov, Aleksandr Andreevich, 1806-1858","John, the Baptist (Biblical figure) ",Moscow,,11H(JOHN THE BAPTIST),,2,1837,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46207,2021-07-28 19:27:57.0,2006-06-26 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_012.jpg,,,1461,||||,AAscn,Educational Use Permitted,,Luke 24:44-53|Acts 1:1-11,Uffizi Gallery,Yorck_A_027,,Ascension of Christ,Christian art and symbolism,||||,Ascension of Christ,on,Painting,"Mantegna, Andrea, 1431-1506",,Florence,,7.3E+043,,2,1461,12,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46210,2021-02-24 08:35:03.0,2006-06-26 00:00:00.0,United States,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_034.jpg,,,1465-1470,||||,,Educational Use Permitted,,,National Gallery of Art (U.S.),Yorck_A_098,,"Madonna and Child, detail",Christian art and symbolism -- Italy,||||,Madonna and Child,on,,"Antonello, da Messina, 1430?-1479",,Washington,DC,11FF4122,,2,1465,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46211,2021-02-24 08:36:33.0,2006-06-26 00:00:00.0,Germany,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Florentinischer_Meister_des_14._Jahrhunderts_001.jpg,,,14th century,||||,,Educational Use Permitted,,,,Florentinischer_001,,Madonna and Child,Christian art and symbolism -- Italy,||||,Madonna and Child,on,,,,Potsdam,,11F4122,,2,1300,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46212,2021-08-09 07:04:35.0,2006-06-26 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_005.jpg,,,1473,||||,AHoly05,Educational Use Permitted,,John 18:1-19:42,"Museo civico, Piacenza",Yorck_A_102,,"Ecce Homo - ""Here is the Man""  (detail)",Christian art and symbolism -- Italy,||||,Passion of Jesus Christ: Ecce Homo,on,,"Antonello, da Messina, 1430?-1479",,Piacenza,,73D361,,2,1473,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46215,2021-02-24 08:39:23.0,2006-06-26 00:00:00.0,United Kingdom,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_-_St_Jerome_in_his_study_-_National_Gallery_London_-_detail.jpg,,,1474,||||,CPass,Educational Use Permitted,,,National Gallery (Great Britain),Yorck_A_100,,"Jerome in his Study, detail",Christian art and symbolism -- Italy,||||,Study,on,,"Antonello, da Messina, 1430?-1479","Jerome (Eusebius Sophronius Hieronymus), ca.347-420 ",London,,11H(JEROME),,2,1474,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46217,2021-08-29 12:03:25.0,2006-06-26 00:00:00.0,Russia,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Anton_Faistauer_003.jpg,,,1916,||||,ATDay|BTDay|CTDay,Educational Use Permitted,,"Joel 2:23-32|Corinthians I, 10:26",Sammlung Leopold,Yorck_A_106,,Covered Table,,||||,,on,,"Faistauer, Anton, 1887-1930",,Vienna,,41C6,,2,1916,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46218,2021-02-24 08:42:25.0,2006-06-26 00:00:00.0,Germany,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Adalpertus_001.jpg,,,1000,||||,,Educational Use Permitted,,,Bavarian State Library,Yorck_A_109,,"Codex aureus of St. Emmeram, cover portrait of Abbot Ramwoldus",,||||,Gospels,on,,,,Berlin,,11Q511,,2,1000,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46221,2021-08-16 06:58:16.0,2006-06-26 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_002.jpg,,,1461,||||,BXmas01,Educational Use Permitted,,Luke 2:22-40,Uffizi Gallery,Yorck_A_107,,Circumcision of Jesus and Presentation in the temple,,||||,Presentation of Jesus at the Temple,on,,"Mantegna, Andrea, 1431-1506",,Florence,,73B3,,2,1461,14,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46222,2021-07-12 18:38:34.0,2006-06-26 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_005.jpg,,,1338-1340,||||,,Educational Use Permitted,,,"Palazzo pubblico (Siena, Italy)",Yorck_A_036,,"Distributive Justice, detail from the Allegory of Good and Bad Government",Christian art and symbolism -- Italy,||||,Justice,on,,"Lorenzetti, Ambrogio, 1285-approximately 1348",,Siena,,11M44,,2,1338,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46223,2021-07-12 18:38:22.0,2006-06-26 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_004.jpg,,,1338-1340,||||,AProp26,Educational Use Permitted,,Micah 3:5-12,"Palazzo pubblico (Siena, Italy)",Yorck_A_037,,"Commutative Justice, detail from the Allegory of Good and Bad Government",Christian art and symbolism -- Italy,||||,Justice,on,,"Lorenzetti, Ambrogio, 1285-approximately 1348",,Siena,,11M44,,2,1338,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46224,2021-07-12 18:38:27.0,2006-06-26 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_003.jpg,,,1338-1340,||||,,Educational Use Permitted,,,"Palazzo pubblico (Siena, Italy)",Yorck_A_038,,"Concordia, or Concord, detail from the Allegory of Good and Bad Government",Christian art and symbolism -- Italy,||||,Concord,on,,"Lorenzetti, Ambrogio, 1285-approximately 1348",,Siena,,11S723,,2,1338,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46225,2021-07-12 18:38:40.0,2006-06-26 00:00:00.0,Italy,Paint,"<strong> First Sunday in Advent, Year A: </strong> This depiction of Peace as the ruler of a well-governed city, where justice and fairness are the fruits of a beneficent ruler, reflect the words of Psalm 122: </br> ""For there the thrones for judgment were set up, the thrones of the house of David. Pray for the peace of Jerusalem: ""May they prosper who love you.  Peace be within your walls, and security within your towers""... For the sake of the house of the LORD our God, I will seek your good."" <br><br>From The Yorck Project.",||||,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_006.jpg,,,1338-1340,||||,AAdvt01|BTrin,Educational Use Permitted,,Psalm 122|Psalm 29,"Palazzo pubblico (Siena, Italy)",Yorck_A_035,,"Pax, or Peace, detail from the Allegory of Good and Bad Government",Christian art and symbolism -- Italy,||||,Peace|Power|Fairness,on,Fresco,"Lorenzetti, Ambrogio, 1285-approximately 1348",,Siena,,45A20,,2,1338,10,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46230,2021-08-25 14:32:49.0,2006-06-26 00:00:00.0,Russia,,"An oil sketch study for “‘Appearance of Christ to the People,’ a painting by Alexander Andreevich Ivanov, covers an entire wall of the Tretiakov Gallery in Moscow.  Based on the Gospel according to John, the painting shows John the Baptist as he fulfills his God-sent mission to prepare for the coming of Christ...Ivanov’s canvas depicts not merely the moment of Christ’s appearance on earth but the moment at which the light shown by God in the darkness becomes manifest in the person of his Son.  Ivanov’s subject is therefore the impending transformation of humankind.” (Neuberger, 88)  The oil sketch of the two slaves is most likely one of the many Ivanov painted over a 20 year period as he developed figures and themes for his masterwork.  Christ’s coming meant freedom to those oppressed by ill health, slavery, and other cultural and social ills, and Ivanov’s long labors to communicate both the spiritual and worldly importance of Christ’s coming resulted in his masterwork. <br><br>From The Yorck Project.",||||,https://commons.wikimedia.org/wiki/File:Alexander_Andrejewitsch_Iwanow_002.jpg,190,,1837-1857,||||,BNYDy|AProp09,Educational Use Permitted,,Matthew 10:24-39|Mark 10:35-45|Galatians 4:4-7|Philippians 2:5-11|Colossians 3:1-11|Zechariah 9:9-12,"Gosudarstvennyĭ russkiĭ muzeĭ (Saint Petersburg, Russia)",Yorck_A_045,,Two Slaves,,||||,Slaves|Prisoners,on,Painting,"Ivanov, Aleksandr Andreevich, 1806-1858",,St. Petersburg,,46A18,,2,1837,4,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46236,2021-02-24 08:55:36.0,2006-06-27 00:00:00.0,Germany,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Adrian_Ludwig_Richter_022.jpg,,,1873,||||,AXmas01,Educational Use Permitted,,Matthew 2:13-23,Alte Nationalgalerie,Yorck_A_091,,Rest during the Flight (into Egypt),Christian art and symbolism -- Germany,||||,Flight into Egypt|Rest,on,,"Richter, Ludwig, 1803-1884",,Berlin,,73BB641,,2,1873,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46239,2021-02-24 11:05:27.0,2006-06-27 00:00:00.0,Russia,,"<p>""Do not cast me off in the time of old age; do not forsake me when my strength is spent."" --  Psalm 71:9</p><p>Abram Arkhipov was a Russian artist raised in the Orthodox Church who painted in the realist style. In his later years he embraced the Russian revolution and was celebrated in his homeland as the ""People's Artist of the USSR.""  This moving painting of washer women in their difficult drudgery is one of several that Arkhipov painted depicting the daily lives of women in Russia. </p><p>""Arkhipov found a rich and diverse source of inspiration in the Russian countryside and the peasantry; he painted peasants at work, the melting of the snow, the local church and priest, the villages of the far north and the White Sea."" [from <em>The Grove Dictionary of Art.</em>]</p> <br><br>From The Yorck Project.",||||,https://commons.wikimedia.org/wiki/File:Abram_Jefimowitsch_Archipow_002.jpg,104,,1901,||||,CHoly02|BHoly03,Educational Use Permitted,,Psalm 71:1-14,Gosudarstvennai︠a︡ Tretʹi︠a︡kovskai︠a︡ galerei︠a︡,Yorck_A_095,,Washer Women,,||||,Work|Poverty,on,Painting,"Arkhipov, Abram Efimovich, 1862-1930",,Moscow,,46A154,,2,1901,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46241,2021-02-24 11:07:23.0,2006-06-27 00:00:00.0,Germany,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_038.jpg,,,1526,||||,,Educational Use Permitted,,Daniel 13,Alte Pinakothek,Yorck_A_072,,"Susanna's Bath, detail",Christian art and symbolism -- Germany,||||,,on,,"Altdorfer, Albrecht, ca. 1480-1538",Susannah (Biblical figure) ,Munich,,71P412,,2,1526,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46245,2021-08-09 10:31:33.0,2006-06-27 00:00:00.0,Austria,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_027.png,,,1509-1516,||||,APass|BPass,Educational Use Permitted,,Matthew 26:14-27:66|Mark 14:1-15:47,Stift Sankt Florian,Yorck_A_077,,Christ on Gethsemane,Christian art and symbolism,||||,Passion of Jesus Christ: Gethsemane,on,,"Altdorfer, Albrecht, ca. 1480-1538",,St. Florian bei Linz,,73D31211,,2,1509,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46248,2021-08-06 18:44:22.0,2006-06-27 00:00:00.0,Austria,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_035.jpg,,,1509-1516,||||,APass|BPass|CPass,Educational Use Permitted,,Matthew 26:14-27:66|Mark 14:1-15:47|Luke 22:14-23:56,Stift Sankt Florian,Yorck_A_074,,"Crucifixion, detail",Christian art and symbolism -- Germany,||||,Passion of Jesus Christ: Crucifixion of Jesus,on,,"Altdorfer, Albrecht, ca. 1480-1538",,St. Florian bei Linz,,73D641,,2,1509,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46249,2021-08-29 12:40:38.0,2006-06-27 00:00:00.0,Austria,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_034.jpg,,,1509-1516,||||,APass|BPass|CRegn,Educational Use Permitted,,Matthew 26:14-27:66|Mark 14:1-15:47|Luke 22:14-23:56|John 18:1-19:42,Stift Sankt Florian,Yorck_A_075,,"Crucifixion, detail 2",Christian art and symbolism -- Germany,||||,,on,,"Altdorfer, Albrecht, ca. 1480-1538",Jesus Christ (Biblical figure) ,St. Florian bei Linz,,73D641,,2,1509,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46250,2021-08-18 11:00:05.0,2006-06-27 00:00:00.0,Italy,,"Scrovegni Chapel, fresco <br><br>From The Yorck Project.",||||,https://commons.wikimedia.org/wiki/File:Giotto_di_Bondone_038.jpg,,,1304-1306,||||,ARess,Educational Use Permitted,,John 20:1-18,"Cappella degli Scrovegni nell'Arena (Padua, Italy)",Giotto_di_Bondone_038,,The Risen Christ and Noli Me Tangere,Christian art and symbolism -- Italy,||||,Resurrection of Jesus|Noli me tangere,on,Fresco,"Bondone, Giotto di, 1266?-1337",Mary Magdalene (Biblical figure) |Jesus Christ (Biblical figure) ,Padua,,73000000000000,,2,1304,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46263,2021-08-06 18:42:06.0,2006-06-28 00:00:00.0,Germany,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_-_Kreuzigung_Detail_(Gem%C3%A4ldegalerie_Alte_Meister_Kassel).jpg,,,1515-1516,||||,APass|BPass|CPass,Educational Use Permitted,,Matthew 26:14-27:66|Mark 14:1-15:47|Luke 22:14-23:56,Staatliche Gemäldegalerie zu Kassel,Yorck_A_080,,"Crucifixion with Mary and John, detail of Christ",Christian art and symbolism -- Germany,||||,Passion of Jesus Christ: Crucifixion of Jesus,on,,"Altdorfer, Albrecht, ca. 1480-1538",,Kassel,,73D641,,2,1515,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46264,2021-08-06 08:37:19.0,2006-06-28 00:00:00.0,Germany,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer.jpg,,,1526,||||,APass|BPass|CPass,Educational Use Permitted,,Matthew 26:14-27:66|Mark 14:1-15:47|Luke 22:14-23:56,"Gemäldegalerie (Berlin, Germany)",Yorck_A_082,,Crucifixion of Christ,Christian art and symbolism -- Germany,||||,Passion of Jesus Christ: Crucifixion of Jesus,on,,"Altdorfer, Albrecht, ca. 1480-1538",,Berlin,,73D62,,2,1526,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46271,2021-08-13 06:43:27.0,2006-06-29 00:00:00.0,Germany,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_068.jpg,,,ca. 1504,||||,ANatv|AAdvt04,Educational Use Permitted,,"Luke 2:1-14, (15-20)|Matthew 1:18-25",Alte Pinakothek,Yorck_A_049,,Birth of Christ,Christian art and symbolism -- Germany,||||,Nativity|Birth,on,Painting,"Dürer, Albrecht, 1471-1528",,Munich,,73B2,,,1504,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46276,2021-08-11 13:43:21.0,2006-06-29 00:00:00.0,Austria,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_045.jpg,,,1493,||||,,Educational Use Permitted,,,Graphische Sammlung der Albertina,Yorck_A_053,,Salvator Mundi with the Child Jesus,Christian art and symbolism -- Germany,||||,Salvator Mundi,on,,"Dürer, Albrecht, 1471-1528",Jesus Christ (Biblical figure) ,Vienna,,11D22,,2,1493,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46304,2021-07-12 14:26:03.0,2006-07-09 00:00:00.0,Switzerland,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_006.jpg,,,1490-1493,||||,AEpDy|BEpDy|CEpDy,Educational Use Permitted,,Matthew 2:1-12,Kunstmuseum Basel,Yorck_A_069,,Adoration of the Christ Child by the Three Wise Men,Christian art and symbolism,||||,Adoration of the Magi|Adoration of the Child (Mary),on,Painting,"Dürer, Albrecht, 1471-1528",Wise Men (Biblical figures) ,Basel,,73B57,,2,1490,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46323,2021-07-12 14:27:07.0,2006-07-10 00:00:00.0,Germany,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_043.jpg,,,1500-1503,||||,,Educational Use Permitted,,Job 2:7-13,Städel,Yorck_A_054,,"Job on the dunghill, and his wife pours water on his sores",Christian art and symbolism,||||,Suffering,on,,"Dürer, Albrecht, 1471-1528",Job (Biblical figure) ,Frankfurt,,71W5312,,,1500,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46325,2021-07-12 14:28:42.0,2006-07-10 00:00:00.0,Germany,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_027.jpg,,,1526,||||,,Educational Use Permitted,,,Alte Pinakothek,Yorck_A_057,,The Apostles Mark and Paul,Christian art and symbolism,||||,,on,Painting,"Dürer, Albrecht, 1471-1528","Mark, the Apostle (Biblical figure) |Paul, the Apostle (Biblical figure) ",Munich,,11H(MARK)|11H(PAUL),,2,1526,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
