"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"38TXZZ9Y","book","1995","Baldwin, Lewis V.","Toward the beloved community: Martin Luther King Jr. and South Africa","","978-0-8298-1102-5","","","","Martin Luther King Jr.'s birthday is celebrated in over one hundred countries, yet his international influence has received little attention. That King devoted his life to the civil and human rights struggle in the United States is well known; less well known, however, is that his concern for social justice stretched well beyond the borders of this country. It was in fact King's ideal of the beloved community - an inclusive and interracial society epitomized by freedom and justice for all - that transformed his national insight into a global vision. And it was this global vision that inspired King, and the heirs of his legacy, to play a profound role in South Africa's liberation from apartheid. Meticulously drawing on fugitive archival material, private correspondence, interviews, sermons, public speeches, and published works, Vanderbilt's Lewis V. Baldwin carefully traces the relationship between King's life and thought and that of great South African leaders such as Chief Albert J. Luthuli, Steve Biko, Oliver Tambo, Nelson Mandela, Allan Boesak, and Desmond Tutu. The author recounts King's responses to the anti-apartheid struggle in the 1950s and 1960s, as well as his impact on anti-apartheid activists and movements in and outside South Africa in the 1970s and 1980s - including the conflict between King's legacy of nonviolence and the Black Consciousness Movement that swept through Africa as colonialism fell.","1995","2022-05-06 17:43:57","2022-05-06 17:43:57","","","265","","","","","Toward the beloved community","","","","","Pilgrim Press","Cleveland, Oh.","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 32467758","","","","","Apartheid; South Africa. Anti-apartheid movements; South Africa. Anti-apartheid movements. Apartheid. Influence (Literary, artistic, etc.) Race relations. Apartheid Rezeption Protestbewegung Anti-apartheid movements; South Africa. Apartheid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KY6UWUR6","book","2010","Baldwin, Lewis V.","Never to leave us alone: the prayer life of Martin Luther King, Jr.","","978-0-8006-9744-0","","","","""Based on years of original research, Never to Leave Us Alone is the first book-length treatment of the prayer life of the famed religious and civil rights leader. Drawing on personal prayers that King recited as a seminarian and graduate student, preacher, pastor, and then civil rights leader, award-winning historian Lewis Baldwin explains how King turned to both private prayer and meditation for his own spiritual fulfillment, and to public prayer as part of his sermonic discourse, as an aspect of his pastoral care, and as a way of moving, inspiring, and reaffirming people in the context of a crusade for equal rights, social justice, and peace. In the end, Baldwin argues, King's prayer life and reflections offer important keys not only to King the man but also to our own cultivation of core human values. The book includes photographs""--Publisher description.","2010","2022-05-06 17:44:20","2022-05-06 17:44:44","","","159","","","","","","","","","","Fortress Press","Minneapolis, Minnesota","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 496965966","","","","","United States; Clergy; Baptists; Biography. Baptists; Clergy. Religion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JDFFF743","book","1983","Baldwin, Lewis V.","Invisible strands in African Methodism: a history of the African Union Methodist Protestant and Union American Methodist Episcopal churches, 1805-1980","","978-0-8108-1647-3","","","","","1983","2022-05-06 17:45:15","2022-05-06 17:46:24","","","288","","","","","","ATLA monograph series","19","","","American Theological Library Association ; Scarecrow Press","Philadelphia ; Metuchen, N.J.","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 9852318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JNW8R6K8","book","1992","Baldwin, Lewis V.; Woodson, Aprille V.","Freedom is never free: a biographical portrait of Edgar Daniel Nixon","","","","","","","1992","2022-05-06 17:55:28","2022-05-06 17:57:58","","","140","","","","","","","","","","Office of Minority affairs, Tennessee General Assembly ; Tennessee State University, Nashville ; Alabama State University","Nashville, Tenn. ; Montgomery","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 29339534","","","","","United States; African Americans; Civil rights; États-Unis; Alabama. Civil rights workers; Alabama. Défenseurs des droits de l'homme; Biographies. African American civil rights workers. African Americans; Biographies. Défenseurs des droits de l'homme noirs américains; Biography. African American civil rights workers; Biography. Noirs américains; Civil rights. Civil rights workers; Droits","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VYC8ZJZ2","book","2013","","The domestication of Martin Luther King Jr.: Clarence B. Jones, right-wing conservatism, and the manipulation of the King legacy","","978-1-61097-954-2","","","","Essays challenge and contradict the revisionist use of King for conservative and right-wing purposes.","2013","2022-05-06 17:58:55","2022-05-06 17:59:39","","","267","","","","","The domestication of Martin Luther King Jr.","","","","","Cascade Books","Eugene, Oregon","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 853497637","","","","","Politics and government. Social conditions","Baldwin, Lewis V.; Burrow, Jr., Rufus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PII75CYP","bookSection","2014","Baldwin, Lewis V.","Foreword","A lasting prophetic legacy: Martin Luther King Jr., the World Council of Churches, and the global crusade against racism and war","","","","","","2014","2022-05-06 18:02:43","2022-05-06 18:03:29","","","","","","","","","","","","","Wipf & Stock","Eugene, Oregon","English","","","","","OCLC WorldCat FirstSearch","","","","","","","POLITICAL SCIENCE; Civil Rights. POLITICAL SCIENCE; Political Freedom & Security; Human Rights","","","","","","Mulhall, Thomas A.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7YT33BRZ","book","2013","","""In an inescapable network of mutuality"": Martin Luther King, Jr. and the globalization of an ethical ideal","","978-1-61097-434-9","","","","""The scholarship on Martin Luther King, Jr. has too often cast him in the image of the Southern black preacher and the American Gandhi, while ignoring or trivializing his global connections and significance. This groundbreaking work, written by scholars, religious leaders, and activists of different backgrounds, addresses this glaring pattern of neglect in King studies. King is treated here as both a global figure and a forerunner of much of what is currently associated with contemporary globalization theory and praxis. The contributors of this volume agree that King must be understood not only as a thinker, visionary, and social change agent in his own historical context, but also in terms of his meaning for the different generations who still appeal to him as an authority, inspiration, and model of exemplary service to humanity. The task of engaging King both in context and beyond context is fulfilled in remarkable ways in this volume, without doing essential violence to this phenomenal figure.""--Page 4 of cover.","2013","2022-05-06 18:04:03","2022-05-06 18:04:25","","","375","","","","","""In an inescapable network of mutuality""","","","","","Cascade Books","Eugene, Oregon","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 859192474","","","","","Globalization; Moral and ethical aspects. Globalization; Moral and ethical aspects. Influence (Literary, artistic, etc.)","Baldwin, Lewis V.; Dekar, Paul R.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XIF87FT4","book","1987","Baldwin, Lewis V.","The mark of a man: Peter Spencer and the African Union Methodist tradition: the man, the movement, the message, and the legacy","","","","","https://firstsearch-oclc-org.proxy.library.vanderbilt.edu/WebZ/FSFETCH?fetchtype=fullrecord:sessionid=fsap01pxm1-1680-l2upbsj4-jely29:entitypagenum=95:0:recno=60:resultset=1:format=FI:next=html/record.html:bad=error/badfetch.html:entitytoprecno=60:entitycurrecno=60:numrecs=1","","1987","2022-05-06 18:05:15","2022-05-06 18:06:37","2022-05-06 18:05:15","","xxii, 87 pages","","","","","","","","","","University Press of America","Lanham, MD","","","","","","","","xxii, 87 pages","","C:\Users\bendacp\Zotero\storage\YZLK59IW\FSFETCH.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5YA24VYW","book","2016","Thornton, Marilyn E.; Baldwin, Lewis V.","Plenty Good Room: a Lenten Bible Study Based on African American Spirituals","","978-1-5018-2249-0","","","","There is room for everyone.","2016","2022-05-06 18:09:48","2022-05-06 18:15:05","","","60","","","","","Plenty Good Room","","","","","Abingdon Press","Nashville","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 966458366","","","","","African Americans; Christian Rituals & Practice; History and criticism. RELIGION; Institutions & Organizations. African Americans. Gospel music. Lent. Genre/Form: Electronic books. Criticism, interpretation, etc. Music; Music. Lent. Gospel music; Worship & Liturgy. RELIGION","","","","Baldwin, Lewis V.","","","","","","","","","","","","","","","","Second edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TMPBP77R","bookSection","2019","Baldwin, Lewis V.","Foreword","Existential togetherness: toward a common black religious heritage","978-1-5326-5161-8","","","","The notion of community entails more than just shared space in the here-and-now moment. For African Americans especially, communal engagement is a sacred experience that stretches from the mundane to the spectacular in a cyclical historical pattern. DeWayne R. Stallworth illumines the broadness of this African American religious experience by looking back to the first shared experience of unbiased community that occurred during slavery. He then explores the difficulties of maintaining such a unity under the threat of supremacy as experienced through systemic structures of both white and black privilege. Most important, Stallworth unpacks how the black religious leader, although caricatured as uncouth and ignorant, remained the moral compass for community progression and uplift until the civil rights era. This provocative book is essential reading for anyone with a desire to obtain a broader and deeper understanding of what it means to be black, religious, and American in the twenty-first-century United States. --","2019","2022-05-06 18:11:25","2022-05-06 18:11:50","","","","","","","","","","","","","Pickwick Publications","Eugene, Oregon","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 1114283224","","","","","African Americans; Religious life. Black theology. Noirs américains; Vie religieuse. Théologie noire. Black theology","","","","","","Stallworth, DeWayne R.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L9DR5PQI","book","2002","Baldwin, Lewis V.","Plenty good room: a Bible study based on African American spirituals: student","","","","","https://firstsearch-oclc-org.proxy.library.vanderbilt.edu/WebZ/FSFETCH?fetchtype=fullrecord:sessionid=fsap01pxm1-1680-l2upbsj4-jely29:entitypagenum=115:0:recno=90:resultset=1:format=FI:next=html/record.html:bad=error/badfetch.html:entitytoprecno=90:entitycurrecno=90:numrecs=1","","2002","2022-05-06 18:13:04","2022-05-06 18:14:13","2022-05-06 18:13:04","","","","","","","","","","","","Abingdon Press","Nashville, TN","","","","","","","","OCLC: 50625959","","C:\Users\bendacp\Zotero\storage\SZSS6HM4\FSFETCH.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7JP8JGHS","book","1986","Wallace, Horace L.; Baldwin, Lewis V.","Touched by grace: black Methodist heritage in the United Methodist Church","","","","","","","1986","2022-05-06 18:16:22","2022-05-06 18:16:57","","","71","","","","","","","","","","Graded Press","Nashville, Tenn.","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 16320166","","","","","African American Methodists. African American Methodists","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GIM38E66","book","1986","Baldwin, Lewis V.; Wallace, Horace L.","Touched by grace ; teacher: Black Methodist heritage in The United Methodist Church","","","","","","","1986","2022-05-06 18:24:42","2022-05-06 18:25:04","","","96","","","","","Touched by grace ; teacher","","","","","Graded Press","Nashville","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 16350067","","","","","African American Methodists. Méthodistes noirs américains. African American Methodists","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7A7AZ66A","book","1980","Baldwin, Lewis V.; Institute for Black Religious Research","Resources for the study of blacks in Methodism: a guide to the Garrett-Evangelical and Northwestern University collections","","","","","","","1980","2022-05-06 18:25:54","2022-05-06 18:26:18","","","30","","","","","","IBRR resource series","2","","","Institute for Black Religious Research","Evanston, Ill.","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 10627394","","","","","Religion; History; Histoire; Bibliography; African American Methodists; Bibliographie; Catalogues collectifs. African American Methodists. African Americans; Catalogues collectifs. Noirs américains; Union lists. African Americans; Union lists. Méthodistes noirs américains","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4D323CYW","bookSection","2014","Baldwin, Lewis V.","Foreword","This bright light of ours: stories from the Voting Rights fight","","","","","""This Bright Light of Ours combines a memoir with oral history to create a very vivid portrait of the Freedom Summer of 1965 in Wilcox County, Alabama, when volunteers and long-standing local black leaders were shaking the cultural norms, registering thousands of new voters. This book documents the first-person experience of Maria Gitin, an idealistic 18-year-old college freshman from San Francisco who felt called to action when she viewed televised images of the brutal treatment of peaceful demonstrators during what became known as Bloody Sunday in Selma, Alabama""--","2014","2022-05-06 18:29:28","2022-05-06 18:29:56","","","","","","","","","The modern South","","","","University of Alabama Press","Tuscaloosa","English","","","","","OCLC WorldCat FirstSearch","","","","","","","","","","","","","Gitin, Maria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L7N6FMI7","book","2022","Baldwin, Lewis V.","The Arc of Truth: The Thinking of Martin Luther King Jr.","","978-1-5064-8476-1","","","","","2022","2022-05-06 18:30:12","2022-05-06 18:31:23","","","","","","","","","","","","","Fortress Press","Minneapolis, MN","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 1292590004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29EY3UDK","book","2015","Cooper, Constance J.; Baldwin, Lewis V.","Forging faith, building freedom: African American faith experiences in Delaware, 1800-1980","","978-0-924117-49-7","","","","","2015","2022-05-06 18:32:19","2022-05-06 18:32:37","","","85","","","","","Forging faith, building freedom","","","","","Delaware Heritage Press","Dover, Del.","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 908035793","","","","","African American churches; Delaware. African American churches. Church buildings. Genre/Form: Church history; Delaware. Church buildings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J5EEHRFD","journalArticle","2021","Chan, Michael J.; Baldwin, Lewis V.","Martin Luther King Jr., Malcolm X, and Our Current Moment: A Podcast Conversation with Lewis V Baldwin","Word & World","","0275-5270","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAiREM210831000524&site=ehost-live&scope=site","","2021","2022-05-17 14:41:46","2022-05-17 14:42:42","2022-05-17 14:41:45","30-42","","","41","","","Martin Luther King Jr., Malcolm X, and Our Current Moment","","","","","","","","","","","","EBSCOhost","","","","C:\Users\bendacp\Zotero\storage\P63JVIHV\DisplayWebError2.html","","","Civil rights; African American churches; Church and community; Prayer -- Christianity; Leadership, Religious -- Christianity; Interviews; King, Martin Luther,   Jr        , 1929-1968; Nationalism -- Religious aspects -- Christianity; Social justice -- Religious aspects -- Christianity; X, Malcolm,   , 1925-1965","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FC2WVDFV","journalArticle","2013","Baldwin, Lewis V","Review of Desert rose: the life and legacy of Coretta Scott King","The Journal of Southern Religion","","1094-5253","","http://jsreligion.org/issues/vol15/baldwin.html","Review of Bagley, Edythe Scott. Desert rose: the life and legacy of Coretta Scott King. Publisher: Tuscaloosa : Univ of Alabama Pr, 2012.","2013","2022-05-17 14:43:12","2022-05-18 20:16:36","","","","","15","","","Desert rose","","","","","","","","","","","","EBSCOhost","","Place: Tuscaloosa","","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001958708&site=ehost-live&scope=site&scope=cite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9LQ5T99S","journalArticle","2011","Baldwin, Lewis V","Review of Martin Luther King Jr. and the image of God","Theology Today","","0040-5736","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001941139&site=ehost-live&scope=site","Review of Wills, Richard W. Martin Luther King Jr. and the image of God. Publisher: New York : Oxford University Press, 2009.","2011-01","2022-05-17 14:46:01","2022-05-18 20:20:47","2022-05-17 14:46:01","502,504-505","","4","67","","","","","","","","","","","","","","","EBSCOhost","","Place: New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
