qid,label_en,label_zh,label_zh_hans,label_zh_hant,label_de,label_fr,description_en,description_zh,description_zh_hans,description_zh_hant,description_de,description_fr,title_en_uuid,title_en,title_en_subtitle,title_en_ref1_hash,title_en_ref1_statedIn,title_en_ref1_referenceUrl,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec
Q100997636,Vital Theology,活力神学,活力神学,活力神學,,,academic journal,学术期刊,学术期刊,學術期刊,,,baa7e009-433c-58af-8327-7b01c7dfadc9,Vital Theology,,,,,,,
Q1107510,Keresztény Szó,基督徒的世界,基督徒的世界,基督徒的世界,,,church magazine,教会杂志,教会杂志,教會雜誌,,,,,,,,,,,
Q1167163,Das Argument,,,,Das Argument,,journal,,,,Wissenschaftliche Fachzeitschrift,,,,,,,,,,
Q11956877,Acta ad Archaeologiam et Artium Historiam Pertinentia,法庭程序的考古与历史,法庭程序的考古与历史,法庭程序的考古與歷史,,Acta ad Archaeologiam et Artium Historiam Pertinentia,Italian academic journal,意大利学术期刊,意大利学术期刊,意大利學術期刊,,,,,,,,,,,
Q1273053,Journal of Cuneiform Studies,楔形文字研究期刊,楔形文字研究期刊,楔形文字研究期刊,Journal of Cuneiform Studies,Journal of Cuneiform Studies,academic journal,学术期刊,学术期刊,學術期刊,Wissenschaftliche Fachzeitschrift,,53598280-4CC2-460F-9244-27162F6871FD,Journal of Cuneiform Studies,,06ecd77881c8c09db05a9341af100bb7369f316f,Q70460099,,,,
Q1381202,Evangelische Theologie,福音神学,福音神学,福音神學,Evangelische Theologie (Zeitschrift),Evangelische Theologie,journal,期刊,期刊,期刊,Wissenschaftliche Fachzeitschrift,,,,,,,,,,
Q1514304,Journal of Homosexuality,同性戀期刊,同性戀期刊,,Journal of Homosexuality,Journal of Homosexuality,journal,,,,wissenschaftliche Zeitschrift,revue scientifique,E7B3B29C-8AE3-4DD7-9057-28070A4AA864,Journal of Homosexuality,,b458ceff911a49380eb096f6efbf96fcf5d02aa6,Q70460099,,,,
Q15707062,Journal of American History,美国历史杂志,美国历史杂志,,Journal of American History,Journal of American History,journal,,,,,revue académique américaine,B1386D43-312C-4F5C-A1D9-CCD4259696DE,The Journal of American History,,,,,,,
Q15707782,Journal of Early Christian Studies,早期基督教研究期刊,早期基督教研究期刊,早期基督教研究期刊,,Journal of Early Christian Studies,academic journal,学术期刊,学术期刊,學術期刊,,,6D7AC29B-D45D-40DC-93A7-47638E5A59C6,Journal of Early Christian Studies,,,,,,,
Q15710058,Studies in Iconography,图像学的研究,图像学的研究,圖像學的研究,,Studies in Iconography,academic journal,学术期刊,学术期刊,學術期刊,,,FF585847-35C5-4F10-A524-30CC84849815,Studies in Iconography,,,,,,,
Q15710071,Journal of the American Academy of Religion,美国宗教学院期刊,美国宗教学院期刊,美國宗教學院期刊,,Journal of the American Academy of Religion,academic journal,学术期刊,学术期刊,學術期刊,,,05D7EDAB-E2FB-4509-B4DD-826F7168F1A0,Journal of the American Academy of Religion,,,,,,,
Q15710137,Review & Expositor,,,,,,journal,,,,wissenschaftliche Fachzeitschrift,,FBCBA748-551B-49C9-B191-0450C0C921C7,Review & Expositor,,,,,,,
Q15710287,Toronto Journal of Theology,多伦多神学期刊,多伦多神学期刊,多倫多神學期刊,,Toronto Journal of Theology,academic journal,学术期刊,学术期刊,學術期刊,,,C78CBBEF-3671-4B52-B7CB-48A8D6C488A2,Toronto Journal of Theology,,e60e6d4cce9627ed93f9a4f6cd40e7d95d3cf0c2,Q70460099,,,,
Q15716275,Neue Zeitschrift fuer Systematische Theologie und Religionsphilosophie,宗教系统神学与哲学新期刊,宗教系统神学与哲学新期刊,宗教系統神學與哲學新期刊,,Neue Zeitschrift fuer Systematische Theologie und Religionsphilosophie,academic journal,学术期刊,学术期刊,學術期刊,,,,,,,,,,,
Q15716311,Sixteenth Century Journal,,,,,Sixteenth Century Journal,journal,,,,,,2FC5ADF9-4D6E-4D20-BDD4-A72FAD781A1C,Sixteenth Century Journal,,,,,,,
Q15716423,Philosophy Today,今日哲学,今日哲学,今日哲學,,Philosophy Today,academic journal,学术期刊,学术期刊,學術期刊,,,4B1D57F7-9E2E-42FB-BB3A-D3AE3D827E46,Philosophy Today,,,,,,,
Q15716491,Union Seminary Quarterly Review,联合神学院季度评论,联合神学院季度评论,聯合神學院季度評論,,,journal,期刊,期刊,期刊,wissenschaftliche Fachzeitschrift,,E626450E-4196-4689-B890-10C890D89F83,Union Seminary Quarterly Review,,4d4eeb26435f37f7aabff68b4d5a8553f4c8f3b0,Q70460099,,,,
Q15716523,Fides et Historia,,,,,,journal,,,,,,9C3C324B-6455-4E04-8A6E-72FB0B506620,Fides et Historia,,,,,,,
Q15716715,Notre Dame Philosophical Reviews,圣母哲学评论,圣母哲学评论,聖母哲學評論,,,academic journal published by Notre Dame University,圣母大学发行的学术期刊,圣母大学发行的学术期刊,聖母大學發行的學術期刊,,,13955DEB-E682-4B32-8217-314DD5D3D885,Notre Dame Philosophical Reviews,,,,,,,
Q15724368,Intercultural Theology: Journal of Mission Studies,知性神学：宣教研究的期刊,知性神学：宣教研究的期刊,知性神學：宣教研究的期刊,Interkulturelle Theologie. Zeitschrift für Missionswissenschaft (ZMiss),,German academic journal,德国学术期刊,德国学术期刊,德國學術期刊,publikation,,,,,,,,,,
Q15724475,Praktische Theologie,实践神学,实践神学,實踐神學,Praktische Theologie,Praktische Theologie,German magazine,德文期刊,德文期刊,德文期刊,deutsche Zeitschrift,,,,,,,,,,
Q15746149,Maarav: a journal for the study of the Northwest Semitic languages and literatures,,,,,,academic journal,,,,,,FE4F4E9B-2262-48BD-8ADF-CF9CC0D779FC,Maarav: a journal for the study of the Northwest Semitic languages and literatures,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15746151,Mission Studies,宣教研究,宣教研究,宣教研究,,Mission Studies,academic journal,学术期刊,学术期刊,學術期刊,wissenschaftliche Fachzeitschrift,,A4DC4F18-3ECD-47DC-A3EF-6560692D6CD4,Mission Studies,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15746447,The Bible Today,今日圣经,今日圣经,今日聖經,,,academic journal,学术期刊,学术期刊,學術期刊,,,BAFE35FA-A428-498C-84DD-BAC19F345CC5,The Bible Today,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15749151,Berliner Theologische Zeitschrift,柏林神学期刊,柏林神学期刊,柏林神學期刊,,,academic journal,学术期刊,学术期刊,學術期刊,,,C1AC248A-9426-4B8D-9EDD-DD61BF19BA0E,Berliner Theologische Zeitschrift,,,,,,,
Q15749660,Religion Compass,宗教罗盘针,宗教罗盘针,宗教羅盤針,,,academic journal,学术期刊,学术期刊,學術期刊,,,F242CFE9-01F4-4605-9438-82A549EBDA42,Religion Compass,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15749979,Questions Liturgiques,崇拜仪式的问题与研究,崇拜仪式的问题与研究,崇拜儀式的問題與研究,,Questions Liturgiques,journal,期刊隶属于彼得线上期刊,期刊隶属于彼得线上期刊,期刊隸屬於彼得線上期刊,wissenschaftliche Fachzeitschrift,,7C601FF2-62B1-4C1E-BFC3-82E8561C9B23,Questions Liturgiques: studies on liturgy,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15750019,Journal of Feminist Studies in Religion,宗教里的女性主义研究期刊,宗教里的女性主义研究期刊,宗教裏的女性主義研究期刊,,Journal of Feminist Studies in Religion,academic journal,学术期刊,学术期刊,學術期刊,,,C357449E-DC21-4EA8-81DB-64D65CF5C64D,Journal of Feminist Studies in Religion,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15750632,Issues in Integrative Studies: an interdisciplinary journal,,,,,,journal,,,,wissenschaftliche Fachzeitschrift,,8B93104C-A793-433C-A543-A1B573F4343E,Issues in Integrative Studies: an interdisciplinary journal,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15750752,Journal of Presbyterian History,长老会历史期刊,长老会历史期刊,長老會歷史期刊,,Journal of Presbyterian History,academic journal,学术期刊,学术期刊,學術期刊,,,EA6AD835-CB74-44ED-ADA9-A4159034E306,Journal of Presbyterian History,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15751172,"Race, Ethnicity and Education",种族，族群与教育,种族，族群与教育,種族，族羣與教育,,"Race, Ethnicity and Education",academic journal,学术期刊,学术期刊,學術期刊,,,E63DBFD3-11A0-4BB9-BDBB-E8F1A385D02C,"Race, Ethnicity and Education",,4ad3c9169edfb7ff324353aaa14f574be6e40732,Q70460099,,,,
Q15751172,"Race, Ethnicity and Education",种族，族群与教育,种族，族群与教育,種族，族羣與教育,,"Race, Ethnicity and Education",academic journal,学术期刊,学术期刊,學術期刊,,,E63DBFD3-11A0-4BB9-BDBB-E8F1A385D02C,"Race, Ethnicity and Education",,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15752096,Sociological Spectrum: official journal of the Mid-South Sociological Association,,,,,Sociological Spectrum,journal,,,,wissenschaftliche Fachzeitschrift,,069689F2-EDF8-49E9-9263-6720558124F1,Sociological Spectrum,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15752279,Worship,崇拜,崇拜,崇拜,,,journal,期刊,期刊,期刊,wissenschaftliche Fachzeitschrift,,E058B4B6-5E74-48BD-9305-6E2C0A4B346E,Worship,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15753036,Meridians,,,,,Meridians,journal,,,,wissenschaftliche Fachzeitschrift,,01C1F97B-718F-460A-8090-B9EB5E71DB16,Meridians,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15753228,Families in Society: the journal of contemporary social services,,,,,Families in Society,journal,,,,wissenschaftliche Fachzeitschrift,,D179F236-7D70-43A4-BB30-4825FE536EFD,Families in Society,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15753491,Journal of Refugee Studies,,,,,Journal of Refugee Studies,journal,,,,wissenschaftliche Fachzeitschrift,,06BE2615-5840-4C17-B194-A515B543D314,Journal of Refugee Studies,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15753618,Pastoral Liturgy,牧会崇拜仪式,牧会崇拜仪式,,,,academic journal,期刊,期刊,期刊,wissenschaftliche Fachzeitschrift,,1E0257E4-6A96-4AD7-9DA3-418D72157CC5,Pastoral Liturgy,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15753676,Nashim,犹太家庭法规,犹太家庭法规,猶太家庭法規,,Nashim,journal,期刊,期刊,期刊,wissenschaftliche Fachzeitschrift,,70E4CE2F-2BE4-4E3E-AB77-72EF55A41AFF,Nashim: a journal of Jewish women's studies and gender issues,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15753706,Journal of Pastoral Care and Counseling,牧师关怀与辅导期刊,牧师关怀与辅导期刊,牧師關懷與輔導期刊,,,journal,期刊,期刊,期刊,wissenschaftliche Fachzeitschrift,,718BE44A-0790-4EA4-ACCD-A3DC369B6CB9,Journal of Pastoral Care and Counseling,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15753706,Journal of Pastoral Care and Counseling,牧师关怀与辅导期刊,牧师关怀与辅导期刊,牧師關懷與輔導期刊,,,journal,期刊,期刊,期刊,wissenschaftliche Fachzeitschrift,,CF4CAE7F-00C0-4987-B952-5803FE0A55A6,The journal of pastoral care & counseling,,2b67d15afc082f3f042e5ec78cce928c77913f8d,Q70460099,,,,
Q15753995,Anglican Theological Review,盎格鲁神学评论,盎格鲁神学评论,盎格魯神學評論,,,academic journal,学术期刊,学术期刊,學術期刊,,,F0E9B252-B0C8-41FA-B7A8-5AADC2A168A6,Anglican Theological Review,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15754071,Norwegian Theological Journal,挪威神学期刊,挪威神学期刊,挪威神學期刊,,Norwegian Theological Journal,journal,,,,,,4080760B-3BEC-4B8D-A12E-C1C5C3979615,Norwegian Theological Journal,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15754229,Clio,克里奥,克里奥,克里奥,,Clio,U.S. academic journal,美国学术期刊,美国学术期刊,美國學術期刊,,,76e18ab1-4118-c0e6-b419-76e497896b30,Clio,,,,,,,
Q15754347,Dead Sea Discoveries,死海发掘,死海发掘,死海發掘,,Dead Sea Discoveries,academic journal,学术期刊,学术期刊,學術期刊,,,323D9DA5-BD03-4B0B-9E84-A4AA1FCE4874,Dead Sea Discoveries: a journal of current research on the scrolls and related literature,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15754681,Horizons in Biblical Theology,圣经神学地平线,圣经神学地平线,聖經神學地平線,,Horizons in Biblical Theology,academic journal,学术期刊,学术期刊,學術期刊,,,6B552E5E-8151-4796-A635-112FF4B57ABA,Horizons in Biblical Theology,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15754869,Journal of the Kafka Society of America,,,,,,journal,,,,wissenschaftliche Fachzeitschrift,,8384B9AB-6656-4D69-B3A6-B909748FDE52,Journal of the Kafka Society of America,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15754942,American Journal of Theology and Philosophy,神学与哲学的美国期刊,神学与哲学的美国期刊,神學與哲學的美國期刊,,American Journal of Theology and Philosophy,academic journal,学术期刊,学术期刊,學術期刊,,,3E6DC457-4058-4C58-8851-DF73AC7C3087,American Journal of Theology and Philosophy,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15755002,Political Theology,政治神学,政治神学,政治神學,,Political Theology,academic journal,学术期刊,学术期刊,學術期刊,,,5D3755AD-7BF9-4120-B0DB-48242F0C5A5C,Political Theology,,b385c9c8aacd8e754405ac32f8578324a44d9923,Q70460099,,,,
Q15755002,Political Theology,政治神学,政治神学,政治神學,,Political Theology,academic journal,学术期刊,学术期刊,學術期刊,,,5D3755AD-7BF9-4120-B0DB-48242F0C5A5C,Political Theology,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15755037,Jewish Social Studies,犹太社会研究,犹太社会研究,猶太社會研究,,Jewish Social Studies,academic journal,学术期刊,学术期刊,學術期刊,,,81C3B48D-2CE2-45E0-94CF-D6119E036DA3,"Jewish Social Studies: history, culture and society",,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15755037,Jewish Social Studies,犹太社会研究,犹太社会研究,猶太社會研究,,Jewish Social Studies,academic journal,学术期刊,学术期刊,學術期刊,,,0521CA23-BEC4-4626-B1C2-5EE8727B1476,Jewish social studies,,c790c572d3e53b5b76f8af10f136bac7e07618ac,Q70460099,,,,
Q15755134,Theological Education,神学教育,神学教育,神學教育,,,academic journal,学术期刊,学术期刊,學術期刊,,,44F4F308-1A73-4878-92D5-77D378C55F25,Theological Education,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15755173,Virginia Magazine of History and Biography,,,,,,journal,,,,wissenschaftliche Fachzeitschrift,,F78FFD1E-BAC5-46BC-8599-D94468FB99F6,Virginia Magazine of History and Biography,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15755173,Virginia Magazine of History and Biography,,,,,,journal,,,,wissenschaftliche Fachzeitschrift,,32D309CE-C51C-41DD-B9AB-C0CD049C2955,The Virginia magazine of history and biography,,82e17fb27debf5affa414379a80b7bea87892085,Q70460099,,,,
Q15755502,Journal of the Economic and Social History of the Orient,东方经济与社会历史的期刊,东方经济与社会历史的期刊,東方經濟與社會歷史的期刊,,Journal of the Economic and Social History of the Orient,academic journal,学术期刊,学术期刊,學術期刊,wissenschaftliche Fachzeitschrift,,AE211677-8225-4B0C-A1FC-CD75EF9F0123,Journal of the Economic and Social History of the Orient,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15755506,Journal of Southern History,,,,,Journal of Southern History,journal,,,,wissenschaftliche Fachzeitschrift,,850EE07D-15E0-44FF-9141-00AC8BB0B631,Journal of Southern History,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15755591,Journal of African American Studies,,,,,Journal of African American Studies,academic journal,,,,wissenschaftliche Fachzeitschrift,,095CD0B9-0256-4F09-9F0F-56B6B5F9032A,Journal of African American Studies,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15755692,Journal of the European Society of Women in Theological Research,欧洲社会的女人神学研究期刊,欧洲社会的女人神学研究期刊,歐洲社會的女人神學研究期刊,,Journal of the European Society of Women in Theological Research,academic journal,学术期刊,学术期刊,學術期刊,,,37AD4804-BB57-492F-82F3-CA7DE4666C2E,Journal of the European Society of Women in Theological Research,,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15755741,Biblische Zeitschrift,圣经期刊,圣经期刊,聖經期刊,,Biblische Zeitschrift,academic journal,学术期刊,学术期刊,學術期刊,wissenschaftliche Fachzeitschrift,,,,,,,,,,
Q15755753,Journal of American Ethnic History,,,,,Journal of American Ethnic History,journal,,,,wissenschaftliche Fachzeitschrift,,29044B6F-7B0B-4F31-B14F-14DF15FD27AB,Journal of American Ethnic History,,ae3664a750494632677ca382dea85b6ede207ef4,Q70460099,,,,
