accession_number,status,description,image_url,gpt_description,total_tokens,elapsed_time
1979.0911P,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0911.med.jpg/pct:35.640004,36.920765,8.939800000000004,15.636280000000003/full/0/default.jpg",,,
1979.0911P,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0911.med.jpg/pct:30.33816,36.41394,7.782250000000001,16.316363999999993/full/0/default.jpg",,,
1979.0911P,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0911.med.jpg/pct:26.556146000000002,56.013639999999995,11.12262,20.302549999999997/full/0/default.jpg",,,
1979.0911P,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0911.med.jpg/pct:39.712247,45.685682,17.114693000000003,12.055778/full/0/default.jpg",,,
1979.0911P,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0911.med.jpg/pct:9.966903,26.39571,8.439003999999999,15.053480000000002/full/0/default.jpg",,,
1989.043,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1989%2F1989.043.jpg/pct:59.62731,51.33335,19.34401,37.914930000000005/full/0/default.jpg",,,
1989.043,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1989%2F1989.043.jpg/pct:2.0650977,4.05462,96.1664083,92.6578/full/0/default.jpg",,,
2002.023,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2002%2F2002.023.jpg/pct:0.29829938,0.72562187,99.44128062,98.93260813/full/0/default.jpg",,,
2003.012,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.012.jpg/pct:3.348611,1.9061597,93.51782899999999,93.4494003/full/0/default.jpg",,,
2003.021,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.021.jpg/pct:1.1351541,2.4193121,97.0530759,94.2002179/full/0/default.jpg",,,
2003.023,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.023.jpg/pct:2.0707037,3.7089486,94.2793963,94.03839540000001/full/0/default.jpg",,,
2003.023,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.023.jpg/pct:56.180584,15.682421999999999,36.154050000000005,80.297835/full/0/default.jpg",,,
2003.028,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.028.jpg/pct:5.0996277,2.046478,91.04123229999999,59.90291200000001/full/0/default.jpg",,,
2003.028,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.028.jpg/pct:12.120682,6.566031,81.436342,54.18660500000001/full/0/default.jpg",,,
2003.028,uploaded,Picture frame,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.028.jpg/pct:4.5450363000000005,65.65259,93.57789369999999,33.601389999999995/full/0/default.jpg",,,
2003.032,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.032.jpg/pct:9.7564764,4.2693574,81.3304596,91.4231026/full/0/default.jpg",,,
2003.039,uploaded,Coin,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.039.jpg/pct:4.8215414999999995,4.574636,91.36778849999999,87.104198/full/0/default.jpg",,,
2003.042,uploaded,Picture frame,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.042.jpg/pct:4.047073,1.3151818,94.236357,96.49117820000001/full/0/default.jpg",,,
2003.043,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.043.jpg/pct:4.777412,9.124791,90.02734799999999,74.15152900000001/full/0/default.jpg",,,
2003.043,uploaded,Musical instrument,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.043.jpg/pct:41.540876,31.429427999999998,54.93207900000001,39.704782/full/0/default.jpg",,,
2003.048,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.048.jpg/pct:8.827931,7.061504,85.351336,91.519406/full/0/default.jpg",,,
2007.011,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2007%2F2007.011.JPG/pct:65.93386,61.881434999999996,26.969279999999994,29.180445/full/0/default.jpg",,,
2007.011,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2007%2F2007.011.JPG/pct:5.1716033,48.23645,28.745726700000002,28.59277/full/0/default.jpg",,,
2007.011,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2007%2F2007.011.JPG/pct:1.7597431000000001,45.529112,38.166949900000006,38.282982000000004/full/0/default.jpg",,,
2007.012,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2007%2F2007.012.JPG/pct:78.12384999999999,54.49408999999999,20.202183000000005,33.524524/full/0/default.jpg",,,
2007.013,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2007%2F2007.013.JPG/pct:58.44384,13.894002,20.49012,75.598148/full/0/default.jpg",,,
2007.013,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2007%2F2007.013.JPG/pct:0.0,0.0,99.73958,99.554676/full/0/default.jpg",,,
2010.006,uploaded,Window,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2010%2F2010.006.tif/pct:56.81117999999999,38.404933,12.315956000000005,14.654812/full/0/default.jpg",,,
2010.006,uploaded,Window,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2010%2F2010.006.tif/pct:34.025052,38.83324,12.662265,13.434805999999998/full/0/default.jpg",,,
2010.006,uploaded,Building,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2010%2F2010.006.tif/pct:4.7109682,8.9630686,93.17767180000001,74.5797254/full/0/default.jpg",,,
2010.006,uploaded,Window,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2010%2F2010.006.tif/pct:74.65026399999999,38.476348,10.912579000000001,14.552462000000006/full/0/default.jpg",,,
