accession_number,status,description,image_url,gpt_description,total_tokens,elapsed_time,wikidata_item,no_item
1970.020,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:5.684367,73.99654,12.354496,11.537249999999998/full/0/default.jpg","['textured pattern', 'abstract surface', 'grained texture']",545,2.232028007507324,"texture, surface, pattern",
1970.020,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:80.70796,40.159901999999995,8.777679999999998,12.490868000000004/full/0/default.jpg","['light source', 'glowing orb', 'abstract texture']",374,1.8654508590698242,"texture, light source, orb",
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:43.142045,65.54276,8.628204999999994,20.53121/full/0/default.jpg","['walking man', 'hat wearer', 'cloaked figure']",374,1.531944990158081,"figure, man",hat wearer
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:54.074347,68.812555,15.453013000000004,16.071655000000007/full/0/default.jpg","['- tethered horse', '- equine figure', '- standing stallion']",374,1.5627880096435547,standing,"- tethered horse, - equine figure"
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:29.563388000000003,61.01746,5.933789000000001,16.695963999999996/full/0/default.jpg","['standing figure', 'cloaked person', 'staff bearer']",374,1.5752129554748535,"figure, person, bearer",
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:72.30044,72.41118,8.498090000000003,10.241293000000006/full/0/default.jpg","['seated person', 'contemplative figure', 'restful individual']",371,1.7979810237884521,"figure, person, individual",
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:85.30546,61.675406,6.306252999999995,14.631884000000007/full/0/default.jpg","['barren tree', 'winter tree', 'leafless tree']",369,2.5864098072052,tree,
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:12.883863000000002,44.873372,8.415845,18.590498/full/0/default.jpg","['arched doorway', 'lone figure', 'stone entrance']",374,1.8589050769805908,"figure, entrance",arched doorway
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:22.759505,44.720578,6.6415169999999994,19.199202000000003/full/0/default.jpg","['stone tower', 'fortified structure', 'medieval building']",374,1.7056219577789307,"building, structure, tower",
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:70.88666,60.20818,12.79728,7.427419999999996/full/0/default.jpg","['domestic cattle', 'grazing cow', 'bovine animal']",376,3.4474120140075684,"animal, cow, domestic cattle",
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:74.634457,16.51916,22.882612999999996,73.998593/full/0/default.jpg","['bearded prophet', 'raising hand', 'ancient figure']",1560,3.614062786102295,"figure, hand, prophet",
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:62.12036,11.811534,9.170580000000006,16.622388/full/0/default.jpg","['bearded man', 'elderly figure', 'historical portrait']",375,3.4133996963500977,"figure, man, portrait",
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:56.207260000000005,26.10811,13.827820000000003,29.418176000000003/full/0/default.jpg","['bearded man', 'historical figure', 'ancient philosopher']",540,2.4957849979400635,"ancient philosopher, historical figure, man",
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:29.751948,26.23376,17.525538,55.03382299999999/full/0/default.jpg","['classical deity', 'mythical figure', 'bearded man']",1225,5.989138841629028,"man, mythical figure, deity",
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:10.453168,24.817438,17.614594,70.665579/full/0/default.jpg","['bearded man', 'draped figure', 'ancient philosopher']",1561,4.219165802001953,"figure, ancient philosopher, man",
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:42.162988,46.672067,34.767492,45.869963/full/0/default.jpg","['kneeling figure', 'bearded man', 'elderly person']",887,4.526583909988403,"figure, man, elderly person",
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:1.9136792,23.018013,16.1192638,70.744891/full/0/default.jpg","['bearded man', 'historical figure', 'cloaked individual']",1565,3.4787380695343018,"individual, historical figure, man",
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:23.243456000000002,30.89037,11.018437999999996,48.366933/full/0/default.jpg","['seated individual', 'draped clothing', 'gesture making']",710,6.155619144439697,"individual, clothing, making",
1971.050,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:55.87576,29.150917999999997,14.266414000000005,27.825102000000008/full/0/default.jpg","['bearded man', 'winged figure', 'mythological character']",886,2.386108875274658,"figure, man, mythological character",
1971.050,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:12.929319,31.735143,15.205893999999997,60.959472999999996/full/0/default.jpg","['bearded man', 'historical figure', 'robed person']",1565,3.8046300411224365,"person, historical figure, man",
1972.067,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1972%2F1972-067.tif/pct:22.739553,35.606673,22.884687,20.938997000000004/full/0/default.jpg","['elderly man', 'bearded figure', 'seated person']",886,3.960955858230591,"figure, person, man",
1972.067,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1972%2F1972-067.tif/pct:34.53206,9.035181,20.693545,10.370843999999998/full/0/default.jpg","['resting child', 'sleeping infant', 'peaceful toddler']",375,3.463958978652954,"toddler, infant, child",
1972.067,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1972%2F1972-067.tif/pct:40.657568,35.674383999999996,24.391441999999998,22.311606/full/0/default.jpg","['bearded man', 'pointing figure', 'historical clothing']",880,16.50362992286682,"figure, man, clothing",
1972.067,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1972%2F1972-067.tif/pct:39.595746999999996,28.636235,12.690933,13.665094999999999/full/0/default.jpg","['roman statue', 'carved bust', 'stone sculpture']",374,1.8189561367034912,"bust, statue, stone sculpture",
1972.067,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1972%2F1972-067.tif/pct:0.12811945,41.70818,35.702340549999995,51.96033/full/0/default.jpg","['standing man', 'draped figure', 'classical pose']",1564,5.398970127105713,"figure, man, pose",
1972.067,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1972%2F1972-067.tif/pct:59.83674,36.98236,38.89909,54.56709600000001/full/0/default.jpg","['sleeping man', 'angelic figure', 'resting figure']",1565,4.513595104217529,"figure, man",
1979.0911P,uploaded,Horse,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0911.med.jpg/pct:31.651148000000003,53.234106000000004,37.771762,21.436179/full/0/default.jpg","['saddled horse', 'white horse', 'standing horse']",544,5.157225131988525,"horse, white horse",
1979.0911P,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0911.med.jpg/pct:35.640004,36.920765,8.939800000000004,15.636280000000003/full/0/default.jpg","['wrapped head', 'woman standing', 'historical figure']",373,2.2372360229492188,"head, standing, historical figure",
1979.0911P,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0911.med.jpg/pct:30.33816,36.41394,7.782250000000001,16.316363999999993/full/0/default.jpg","['elderly man', 'bearded figure', 'seated person']",376,2.616076946258545,"figure, person, man",
1979.0911P,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0911.med.jpg/pct:26.556146000000002,56.013639999999995,11.12262,20.302549999999997/full/0/default.jpg","['classical figure', 'toga wearer', 'ancient philosopher']",374,3.250980854034424,"figure, ancient philosopher",toga wearer
1979.0911P,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0911.med.jpg/pct:39.712247,45.685682,17.114693000000003,12.055778/full/0/default.jpg","['carrying man', 'wounded soldier', 'rescuing comrade']",378,10.317657947540283,"man, comrade, soldier",
1979.0911P,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0911.med.jpg/pct:9.966903,26.39571,8.439003999999999,15.053480000000002/full/0/default.jpg","['classical bust', 'female portrait', 'ancient sculpture']",373,1.7523448467254639,"bust, portrait, sculpture",
1989.043,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1989%2F1989.043.jpg/pct:59.62731,51.33335,19.34401,37.914930000000005/full/0/default.jpg","['dancing figure', 'red clothing', 'snowy background']",374,1.970728874206543,"figure, background, clothing",
1989.043,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1989%2F1989.043.jpg/pct:2.0650977,4.05462,96.1664083,92.6578/full/0/default.jpg","['snowy landscape', 'traveling person', 'winter tree']",545,3.1075189113616943,"person, tree, landscape",
2002.023,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2002%2F2002.023.jpg/pct:0.29829938,0.72562187,99.44128062,98.93260813/full/0/default.jpg","['abstract figures', 'shadowy silhouettes', 'ephemeral entities']",378,3.2428460121154785,,"abstract figures, shadowy silhouettes, ephemeral entities"
2003.012,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.012.jpg/pct:3.348611,1.9061597,93.51782899999999,93.4494003/full/0/default.jpg","['european cathedral', 'medieval town', 'gothic architecture']",373,1.7985420227050781,"cathedral, medieval town, architecture",
2003.021,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.021.jpg/pct:1.1351541,2.4193121,97.0530759,94.2002179/full/0/default.jpg","['figure study', 'artistic sketch', 'human forms']",368,1.648198127746582,"study, sketch",human forms
2003.023,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.023.jpg/pct:2.0707037,3.7089486,94.2793963,94.03839540000001/full/0/default.jpg","['pearl necklace', 'seated woman', 'standing woman']",374,1.6937060356140137,"pearl necklace, woman",
2003.023,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.023.jpg/pct:56.180584,15.682421999999999,36.154050000000005,80.297835/full/0/default.jpg","['seated woman', 'contemplative figure', 'draped subject']",377,3.4574151039123535,"figure, woman, subject",
2003.028,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.028.jpg/pct:5.0996277,2.046478,91.04123229999999,59.90291200000001/full/0/default.jpg","['bearded man', 'elderly gentleman', 'artist portrait']",376,1.8311150074005127,"gentleman, man, portrait",
2003.028,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.028.jpg/pct:12.120682,6.566031,81.436342,54.18660500000001/full/0/default.jpg","['bearded man', 'elderly gentleman', 'sketch portrait']",375,1.7387430667877197,"gentleman, man, portrait",
2003.028,uploaded,Picture frame,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.028.jpg/pct:4.5450363000000005,65.65259,93.57789369999999,33.601389999999995/full/0/default.jpg","['handwritten note', 'historical document', 'autographed paper']",370,1.352841854095459,"historical document, paper, note",
2003.032,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.032.jpg/pct:9.7564764,4.2693574,81.3304596,91.4231026/full/0/default.jpg","['standing man', 'bearded figure', 'robed philosopher']",375,2.823819875717163,"figure, man, philosopher",
2003.039,uploaded,Coin,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.039.jpg/pct:4.8215414999999995,4.574636,91.36778849999999,87.104198/full/0/default.jpg","['bearded man', 'biblical figure', 'religious portrayal']",374,3.154426097869873,"biblical figure, man",religious portrayal
2003.042,uploaded,Picture frame,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.042.jpg/pct:4.047073,1.3151818,94.236357,96.49117820000001/full/0/default.jpg","['religious gathering', 'historical event', 'group conversation']",373,2.7613766193389893,"historical event, gathering, conversation",
2003.043,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.043.jpg/pct:4.777412,9.124791,90.02734799999999,74.15152900000001/full/0/default.jpg","['bearded man', 'holding quill', 'elderly writer']",376,2.6337931156158447,"quill, man, writer",
2003.043,uploaded,Musical instrument,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.043.jpg/pct:41.540876,31.429427999999998,54.93207900000001,39.704782/full/0/default.jpg","['bearded man', 'holding staff', 'ancient philosopher']",370,11.079582929611206,"ancient philosopher, man, staff",
2003.048,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2003%2F2003.048.jpg/pct:8.827931,7.061504,85.351336,91.519406/full/0/default.jpg","['japanese nobleman', 'historical figure', 'traditional attire']",374,2.91538405418396,"nobleman, historical figure, traditional attire",
2007.011,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2007%2F2007.011.JPG/pct:65.93386,61.881434999999996,26.969279999999994,29.180445/full/0/default.jpg","['muscular man', 'classical figure', 'mythological hero']",369,1.4404981136322021,"figure, mythological hero, man",
2007.011,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2007%2F2007.011.JPG/pct:5.1716033,48.23645,28.745726700000002,28.59277/full/0/default.jpg","['bearded man', 'classical figure', 'hammering character']",375,9.300850868225098,"figure, man, character",
2007.011,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2007%2F2007.011.JPG/pct:1.7597431000000001,45.529112,38.166949900000006,38.282982000000004/full/0/default.jpg","['mythical hero', 'ancient warrior', 'classical figure']",374,2.8301150798797607,"hero, figure, ancient warrior",
2007.012,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2007%2F2007.012.JPG/pct:78.12384999999999,54.49408999999999,20.202183000000005,33.524524/full/0/default.jpg","['pensive woman', 'classical figure', 'draped female']",375,2.0076746940612793,"figure, female, woman",
2007.013,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2007%2F2007.013.JPG/pct:58.44384,13.894002,20.49012,75.598148/full/0/default.jpg","['elderly gentleman', 'standing man', 'cloaked figure']",376,6.2097227573394775,"figure, man, gentleman",
2007.013,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2007%2F2007.013.JPG/pct:0.0,0.0,99.73958,99.554676/full/0/default.jpg","['cloaked figure', 'standing person', 'solemn individual']",375,3.3070456981658936,"figure, person, individual",
2010.006,uploaded,Window,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2010%2F2010.006.tif/pct:56.81117999999999,38.404933,12.315956000000005,14.654812/full/0/default.jpg","['building facade', 'window grid', 'abstract rectangles']",373,3.1218619346618652,"facade, grid",abstract rectangles
2010.006,uploaded,Window,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2010%2F2010.006.tif/pct:34.025052,38.83324,12.662265,13.434805999999998/full/0/default.jpg","['building facade', 'window pattern', 'architectural detail']",369,1.6591098308563232,"detail, facade, pattern",
2010.006,uploaded,Window,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F2010%2F2010.006.tif/pct:74.65026399999999,38.476348,10.912579000000001,14.552462000000006/full/0/default.jpg","['building facade', 'window pattern', 'office block']",373,1.8884632587432861,"facade, office block, pattern",
