act,filename,problem
50216, Merritt Anna Lea Eve 1885 Oil On Canvas-large.jpg ," ACT inception: 1900, Commons inception: 1885"
50218, First Four Articles of the Creed tapestry.jpg ," ACT inception: 1487, Commons inception: 1500"
54139, The Last Supper MET sf32-100-143s1.jpg ," ACT inception: 1515, Commons inception: 1500"
54171, Jan Brueghel the Younger Paradise.jpg ," ACT inception: 1620, Commons inception: 1650"
54179, Jan Victors - Esther en Haman voor Ahasverus.jpg ," ACT inception: 1639, Commons inception: 1650"
54277," Schadow,FW-Die klugen und törichten Jungfrauen-2.JPG "," ACT inception: 1840, Commons inception: 1850"
54304, Brooklyn Museum - Jesus Tempted in the Wilderness (Jésus tenté dans le désert) - James Tissot - overall.jpg ," ACT inception: 1890, Commons inception: 1850"
54733, Jheronimus Bosch Allegories 2 (before restoration).jpg ," ACT inception: 1514, Commons inception: 1550"
54793, Parable of the Lost Drachma by Fetti.jpg ," ACT inception: 1620, Commons inception: 1650"
54810, Espinosa-sacrificiodeisaac.jpg ," ACT inception: 1604, Commons inception: 1650"
54813," Juan de Valdés Leal , Sacrifice of Isaac 01.jpg "," ACT inception: 1658, Commons inception: 1657"
54986," Bartholomeus van Bassen, The Parable of the Rich Man and Lazarus, ca. 1620-30..jpg "," ACT inception: 1625, Commons inception: 1620"
55020, Met-de-bles-2.jpg ," ACT inception: 1538, Commons inception: 1550"
55118, Matthias Stom - Sarah Leading Hagar to Abraham - WGA21803.jpg ," ACT inception: 1638, Commons inception: 1637"
55134, Maitre de Rohan january.jpg ," ACT inception: 1432, Commons inception: 1450"
55168, Maitre de Rohan (pentecost).jpg ," ACT inception: 1432, Commons inception: 1450"
55208," 8 Nicolo di Pietro,1413-15. The Saint Augustine Baptized by Saint Ambrose. Pinacoteca, Vatican..jpg "," ACT inception: 1414, Commons inception: 1413"
55261, Saltiri anglocatalà f93r.jpg ," ACT inception: 1335, Commons inception: 1350"
55283, Duccio di Buoninsegna - Pilate's First Interrogation of Christ - WGA06803.jpg ," ACT inception: 1309, Commons inception: 1350"
55294," Angelico, niccolina 02.jpg "," ACT inception: 1448, Commons inception: 1447"
55333, Andrea di Bartolo - The Resurrection - Walters 37741.jpg ," ACT inception: 1400, Commons inception: 1500"
55354, Piero della Francesca - Polyptych of the Misericordia - Madonna of Mercy - WGA17449.jpg ," ACT inception: 1461, Commons inception: 1460"
5392, Dirc van Delft - Holy Face and Ten Names of God - Walters W1713R - Full Page.jpg ," ACT inception: 1402, Commons inception: 1400"
55413, Pieter Brueghel the Younger (or workshop) The Payment of the Tithes Bonhams.jpg ," ACT inception: 1619, Commons inception: 1650"
55435, Dirc van Delft - Fountain of Life and the Four Rivers of Paradise - Walters W17119V - Full Page.jpg ," ACT inception: 1402, Commons inception: 1400"
55442, Dieric Bouts - The Feast of the Passover (detail) - WGA03014.jpg ," ACT inception: 1465, Commons inception: 1464"
55443, Dieric Bouts - The Feast of the Passover - WGA03013.jpg ," ACT inception: 1465, Commons inception: 1464"
55444, Tissot The Signs on the Door.jpg ," ACT inception: 1894, Commons inception: 1500"
55481, The Master of the Furies - Tormented Figure - Walters 71435.jpg ," ACT inception: 1645, Commons inception: 1650"
55488, Egyptian - Slave - Walters 542372.jpg , Disagreement between ACT and Commons on CE/BCE.
55535, Tissot God's Promises to Abram.jpg ," ACT inception: 1899, Commons inception: 1500"
55544," French - Virgin and Child, Crucifixion - Walters 71232 - Side B.jpg "," ACT inception: 1345, Commons inception: 1350"
55586, Gesina ter Borch - echtelijke ruzie.jpg ," ACT inception: 1670, Commons inception: 1650"
55605, Les Contrastes - 1820 - Ludwig Rullmann.jpg ," ACT inception: 1821, Commons inception: 1820"
55639," Claude Monet, Water-Lily Pond and Weeping Willow.JPG "," ACT inception: 1917, Commons inception: 1916"
55694, Wasted Gallantry by Captain James Hope.jpg ," ACT inception: 1862, Commons inception: 1850"
55703, Apuleius advises the use of demons as mediators between mankind and the gods.jpg ," ACT inception: 1477, Commons inception: 1450"
55715, Spinello Aretino 013.jpg ," ACT inception: 1397, Commons inception: 1395"
55850, Jean-Francois Millet - The Shepherd - Google Art Project.jpg ," ACT inception: 1873, Commons inception: 1872"
55862," Hans Memling , The Virgin Mary nursing the Christ Child. Oil and gold on panel, circular, (17.4 cm.) diameter. Christie's.jpg "," ACT inception: 1488, Commons inception: 1450"
55871, Giovanni Da Udine - Study of a Flying Sparrow - WGA09431.jpg ," ACT inception: 1517, Commons inception: 1550"
55876, Maitre Birth of Esau and Jacob (detail).jpg ," ACT inception: 1477, Commons inception: 1450"
55879, Lorenzo Ghiberti - Esaú e Jacó - Porta do Paraíso.jpg ," ACT inception: 1438, Commons inception: 1450"
55927, Mosan Workshop - Saint Peter - Walters 44101.jpg ," ACT inception: 1170, Commons inception: 1150"
55958, Weltchronik Fulda Aa88 087r detail.jpg ," ACT inception: 1362, Commons inception: 1350"
55967, Catching Quails by C.C.A. Christensen.png ," ACT inception: 1846, Commons inception: 1850"
55985," Hortus Deliciarum, Der Tanz um das goldene Kalb.JPG "," ACT inception: 1176, Commons inception: 1180"
55988," Weyden, Rogier van der - Descent from the Cross - Detail women (left).jpg "," ACT inception: 1435, Commons inception: 1450"
55992, Cecil Beaton Photographs- General IB4152C.jpg ," ACT inception: 1944, Commons inception: 1950"
55998, Tissot Deborah Beneath the Palm Tree.jpg ," ACT inception: 1899, Commons inception: 1500"
56004, Parable of the Talents.jpg ," ACT inception: 1450, Commons inception: 1500"
56037, Angel ivory Louvre OA5839213922.jpg ," ACT inception: 1287, Commons inception: 1500"
56074, Master Of The Catholic Kings - The Marriage at Cana (detail) - WGA14520.jpg ," ACT inception: 1496, Commons inception: 1495"
56110, Ludovico Mazzolino - Mozes en de tafelen der Wet.jpg ," ACT inception: 1527, Commons inception: 1550"
56127, Adam de Coster - The Denial of Saint Peter.jpg ," ACT inception: 1625, Commons inception: 1650"
56132, Carl Bloch 001.jpg ," ACT inception: 1873, Commons inception: 1850"
56158, Christ in the House of Simon 1470s.jpg ," ACT inception: 1475, Commons inception: 1450"
56203, Dirc van Delft - The Fall of Satan - Walters W17181V - Full Page.jpg ," ACT inception: 1402, Commons inception: 1400"
56209, Vincent Adriaenssen - Christ in the House of Mary and Martha.jpg ," ACT inception: 1616, Commons inception: 1650"
56267, Rembrandt 221.jpg ," ACT inception: 1645, Commons inception: 1650"
56310, Indian - The Christ Child as Good Shepherd - Walters 71324.jpg ," ACT inception: 1625, Commons inception: 1650"
56333, Carl Massmann Gartenarbeit.jpg ," ACT inception: 1904, Commons inception: 1929"
56403," Giovanni di paolo, Creation and the Expulsion from the Paradise.jpg "," ACT inception: 1450, Commons inception: 1445"
56474, Tissot The Pharisee and the publican Brooklyn.jpg ," ACT inception: 1890, Commons inception: 1850"
56499, Waldmüller - Palmsonntag.jpeg ," ACT inception: 1852, Commons inception: 1952"
56576, Paul Klee - The Lamb - Google Art Project.jpg ," ACT inception: 1950, Commons inception: 1920"
56590, Duccio di Buoninsegna - Christ Accused by the Pharisees (detail) - WGA06802.jpg ," ACT inception: 1309, Commons inception: 1350"
56640, Lucas Cranach d.J. - Christus segnet die Kinder (ca.1540).jpg ," ACT inception: 1547, Commons inception: 1550"
56644, Creation of Eve by Giusto de Menabuoi (Padua baptistery).jpg ," ACT inception: 1378, Commons inception: 1376"
56661, MCC-41326 Genezing van de blinde te Jericho (1).tif ," ACT inception: 1474, Commons inception: 1470"
56669, Victors Elijah and the widow of Zarephath.JPG ," ACT inception: 1644, Commons inception: 1640"
56679," Jesus Before Pilate, First Interview.jpg "," ACT inception: 1890, Commons inception: 1850"
56682, Duccio di Buoninsegna - Christ Before Pilate Again (detail) - WGA06806.jpg ," ACT inception: 1309, Commons inception: 1350"
56708, Jan van Eyck - The Ghent Altarpiece - St John the Baptist (detail) - WGA07634.jpg ," ACT inception: 1427, Commons inception: 1425"
56713, Domenico Ghirlandaio -  Preaching of St John the Baptist (detail) - WGA8865.jpg ," ACT inception: 1488, Commons inception: 1450"
56761, Baptism of Christ MET DP144433.jpg ," ACT inception: 1485, Commons inception: 1480"
56812, Mourning Figures- possibly a copy after a fresco by Cimabue MET DP804917.jpg ," ACT inception: 1774, Commons inception: 1773"
56815, Post War Planning and Reconstruction in Britain- Repairing Bomb Damaged Housing D24218.jpg ," ACT inception: 1945, Commons inception: 1950"
56819," The temptation of Christ, by Jacob Cornelisz van Oostsanen.jpg "," ACT inception: 1527, Commons inception: 1526"
56872, Fra Angelico - Resurrection of Christ and Women at the Tomb (Cell 8) - WGA00542.jpg ," ACT inception: 1441, Commons inception: 1440"
56953, Othea's Epistle (Queen's Manuscript) 02.jpg ," ACT inception: 1414, Commons inception: 1450"
56999, Praying Hands - Albrecht Durer.png ," ACT inception: 1510, Commons inception: 1508"
57010," Lucas Cranach, Heart shaped altar, Nuremberg.jpg "," ACT inception: 1584, Commons inception: 1550"
57031, HealWomanSabbath.jpg ," ACT inception: 1890, Commons inception: 1850"
57165, Gebhard Fugel Christus und die Aussätzigen c1920.jpg ," ACT inception: 1950, Commons inception: 1920"
57182, Duccio di Buoninsegna - Entry into Jerusalem (detail) - WGA06784.jpg ," ACT inception: 1309, Commons inception: 1350"
57196, 072 MS 65 F34 V.jpg ," ACT inception: 1414, Commons inception: 1411"
57277, Sheba demin.jpg ," ACT inception: 1846, Commons inception: 1850"
57341, Christus im garten Giovanni di Paolo.Vatican.jpg ," ACT inception: 1432, Commons inception: 1445"
57349, Albrecht Altdorfer - The Arrest of Christ - WGA00224.jpg ," ACT inception: 1512, Commons inception: 1550"
57352, Pieter Aertsen Christ cleansing the Temple.png ," ACT inception: 1650, Commons inception: 1550"
57375, Edward Calvert - The Sheep of His Pasture - Google Art Project.jpg ," ACT inception: 1925, Commons inception: 1828"
57393, Tissot Hagar and the Angel in the Desert.jpg ," ACT inception: 1899, Commons inception: 1500"
57581, Dante Gabriel Rossetti - The Passover in the Holy Family.jpg ," ACT inception: 1856, Commons inception: 1855"
57585," Hortus Deliciarum, Moses führt das Volk Israel durch das Rote Meer.JPG "," ACT inception: 1176, Commons inception: 1180"
57593, Dietrich Workers in the vineyard.jpg ," ACT inception: 1752, Commons inception: 1750"
57633, Job Blagoveshenskiy sobor.jpg ," ACT inception: 1500, Commons inception: 1550"
57634, JOB ON THE ASH HEAP.png ," ACT inception: 1632, Commons inception: 1600"
57645, Hortus deliciarum Jesse tree.jpg ," ACT inception: 1176, Commons inception: 1150"
57718, Blake Job 7.jpg ," ACT inception: 1825, Commons inception: 1826"
57719, Blake Job 8.jpg ," ACT inception: 1825, Commons inception: 1826"
57722, Blake Job A11.jpg ," ACT inception: 1825, Commons inception: 1826"
57729, Blake Job 18.jpg ," ACT inception: 1825, Commons inception: 1826"
57730, Blake Job 19.jpg ," ACT inception: 1825, Commons inception: 1826"
57758, Ethiopian - Folding Processional Icon in the Shape of a Fan - Walters 369 - Open.jpg ," ACT inception: 1475, Commons inception: 1450"
57786, Brueghel-Umkreis Werke der Barmherzigkeit.jpg ," ACT inception: 1627, Commons inception: 1650"
57789, Fritz von Uhde Bergpredigt.jpg ," ACT inception: 1887, Commons inception: 1877"
57889, Hugo van der goes portinari triptych left St Anthony.jpg ," ACT inception: 1477, Commons inception: 1476"
57983, Weltchronik Fulda Aa88 274r detail.jpg ," ACT inception: 1362, Commons inception: 1350"
58020, Adolf-hoelzel-begegnung.jpg ," ACT inception: 1907, Commons inception: 1905"
58037," Sowing, by William H. Johnson.jpg "," ACT inception: 1940, Commons inception: 1950"
58089, DredScott.jpg ," ACT inception: 1887, Commons inception: 1888"
58161," Fritz von Uhde - Weib, warum weinest du (1892-94).jpg "," ACT inception: 1893, Commons inception: 1892"
58383, BLRoyal2BXVFol010vTrinity.jpg ," ACT inception: 1505, Commons inception: 1500"
58389, Christ Taking Leave of the Apostles.jpg ," ACT inception: 1309, Commons inception: 1350"
58425," Slave pen, Alexandria, Va LCCN2013651888.jpg "," ACT inception: 1863, Commons inception: 1861"
58446, Exit from Noah's Ark - British Library Add MS 18850 f16v (detail).jpg ," ACT inception: 1420, Commons inception: 1450"
58453, Wilhelm Wachtel - Hannah at prayer.jpg ," ACT inception: 1926, Commons inception: 1942"
58479, Jacob Symonsz Pynas Ruth beschliesst mit Naomi nach Bethlehem zu ziehen.jpg ," ACT inception: 0, Commons inception: 1650"
58614, Dieric Bouts - Prophet Elijah in the Desert - WGA03015.jpg ," ACT inception: 1466, Commons inception: 1464"
58636, Mathis Gothart Grünewald 011.jpg ," ACT inception: 1522, Commons inception: 1520"
58644, The Resurrected Christ Appearing to Mary Magdelene in the Garden MET sf56-47d2.jpg ," ACT inception: 1510, Commons inception: 1500"
58669," Christus en de rijke jongeman, RP-P-1961-729.jpg "," ACT inception: 1488, Commons inception: 1450"
58672, Weltchronik Fulda Aa88 280r detail.jpg ," ACT inception: 1362, Commons inception: 1350"
58673, Ferdinand Bol - Elijah Fed by an Angel - WGA2360.jpg ," ACT inception: 1661, Commons inception: 1660"
58688," Weyden, Rogier van der - Descent from the Cross - Detail Mary Magdalene.jpg "," ACT inception: 1435, Commons inception: 1450"
58690, Paolo Veronese - Christ Washing the Feet of the Disciples - WGA24846.jpg ," ACT inception: 1584, Commons inception: 1580"
58762, Duccio di Buoninsegna - Disputation with the Doctors - WGA06768.jpg ," ACT inception: 1309, Commons inception: 1350"
8771, Dieric Bouts - The Meeting of Abraham and Melchizedek - WGA03010.jpg ," ACT inception: 1465, Commons inception: 1464"
58823, Tintoretto - The Visit of the Queen of Sheba to Solomon.gif ," ACT inception: 1545, Commons inception: 1550"
58847, Psalm 136 Initial S.jpg ," ACT inception: 1132, Commons inception: 1150"
58847, Psalm 136 Initial S.jpg ," ACT precision: 9, Commons precision: 7"
