qid,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_object_has_role,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
,Pieta,,painting by French Master around 1390,,47450,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Franz%C3%B6sischer_Meister_um_1390_001.jpg,,2022-04-04,,,,1390-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47450,,2022-04-04,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47450,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47450,,2022-04-04,,,Französischer Meister um 1390 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47450,,2022-04-04,,,Q19675,,https://commons.wikimedia.org/wiki/File:Franz%C3%B6sischer_Meister_um_1390_001.jpg,,2022-04-04,
,History of Alexander,,manuscript by Flemish Master of the 13th Century,,47455,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47455,,2022-04-04,,,,1250-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47455,,2022-04-04,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47455,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47455,,2022-04-04,,,Flämischer Meister des 13. Jahrhunderts 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47455,,2022-04-04,,,,,,,,
,Christ the Good Shepherd,"4th century depiction of Christ as the Good Shepherd, Museum for Epigraphy, Terme di Diocleziano, Rome",stone carving by artist unknown,,47679,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q255848,,,,,,,,0350-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47679,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47679,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47679,,2022-04-04,,,Good shepherd m2.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47679,,2022-04-04,,,,,,,,
,Apocalyptic text illumination - Hell,,manuscript by Master of the School of Tavara Emetrius,,48066,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48066,,2022-04-04,,,,0970-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48066,,2022-04-04,,,Q29,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48066,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48066,,2022-04-04,,,Ende (Meisterin der Schule von Távara) 002.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48066,,2022-04-04,,,,,,,,
,Daniel,,painting by Süddeutscher Glasmaler,,48077,,,2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:S%C3%BCddeutscher_Glasmaler_001.jpg,,2022-04-04,,,,1150-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48077,,2022-04-04,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48077,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48077,,2022-04-04,,,Süddeutscher Glasmaler 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48077,,2022-04-04,,,,,,,,
,Alexander building a wall between Gog and Magog,"""Iskandar Oversees the Building of the Wall"" [2]",manuscript by unknown Iranian master,,48980,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48980,,2022-04-04,,,,1550-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48980,,2022-04-04,,,Q27,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48980,,2022-04-04,,,,,,,,,,,,Iranischer Meister 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48980,,2022-04-04,,,,,,,,
,Archangel Raphael Blowing the Trumpet to Signal the Last Judgment,"The Archangel Isrāfīl, from the Sarre Qazwini, fol. 55 [1] [2]",manuscript by Zakariya Qazwini,,48981,,,2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48981,,2022-04-04,,,,1280-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48981,,2022-04-04,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48981,,2022-04-04,,,,,,,,,,,,Irakischer Maler um 1280 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48981,,2022-04-04,,,,,,,,
,"Luke, the Evangelist","Evangelist Luke writing, Byzantine illumination, 10th century",painting by Byzantine painter of the 10th century,,48983,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Byzantinischer_Maler_des_10._Jahrhunderts_001_(cropped).jpg,,2022-04-04,,,,0950-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48983,,2022-04-04,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48983,,2022-04-04,,,,,,,,,,,,Byzantinischer Maler des 10. Jahrhunderts 001 (cropped).jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48983,,2022-04-04,,,,,,,,
,Christ in Judgment,,painting by Italo-Byzantine Master,,48990,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Italo-Byzantinischer_Meister_001.jpg,,2022-04-04,,,,1100-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48990,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48990,,2022-04-04,,,,,,,,,,,,Italo-Byzantinischer Meister 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48990,,2022-04-04,,,,,,,,
,Last Supper,,painting by Italo-Byzantine Master,,48991,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48991,,2022-04-04,,,,1100-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48991,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48991,,2022-04-04,,,,,,,,,,,,Italo-Byzantinischer Meister 002.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48991,,2022-04-04,,,,,,,,
,Still Life with Keys and Cabinet,,painting by German Master around 1650,,49144,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Deutscher_Meister_um_1650_001.jpg,,2022-04-04,,,,1650-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49144,,2022-04-04,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49144,,2022-04-04,,,,,,,,,,,,Deutscher Meister um 1650 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49144,,2022-04-04,,,,,,,,
,Angers Cathedral - Christ in Majesty,"France, Angers Cathedral, detail of Christ in Majesty, Gothic portal",sculpture by artist unknown,,49632,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49632,,2022-04-04,,,,1200-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49632,,2022-04-04,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49632,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49632,,2022-04-04,,,France Angers Cathedral portal Christ in Majesty c.JPG,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49632,,2022-04-04,,,,,,,,
,Basilica of Aquileia - floor mosaic,"Patriarch's basilica, Aquileia . Excavations: 4th century mosaic of a ram. Picture by Giovanni Dall'Orto, July 2005.",mosic by artist unknown,,49645,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q133067,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49645,,2022-04-04,,,,0450-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49645,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49645,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49645,,2022-04-04,,,"Aquileia, Basilica. Montone Foto Giovanni Dall'Orto.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49645,,2022-04-04,,,,,,,,
,Patriarchal Basilica of Aquileia,Interior of the Patriarchal Basilica of Aquileia as seen from the foot of the pulpit.,architectural structure,,49940,,,2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49940,,2022-04-04,,,,0850-01-01T00:00:00Z,7,,0350-01-01T00:00:00Z,7,,1350-01-01T00:00:00Z,7,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49940,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49940,,2022-04-04,,,,,,,,,,,,Basillica4.JPG,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49940,,2022-04-04,,,,,,,,
,Christ as Sol Invictus,"*Ceiling Mosaic - Christus helios, the mosaic of Sol in Mausoleum M, which is interpreted as Christ-Sol (Christ as the Sun). Detail of vault mosaic in the Mausoleum of the Julii. From the necropolis under St. Peter's Mid-3rd century Grotte Vaticane, Rome. Mosaic of the Vatican grottoes under St. Peter's Basilica, on the ceiling of the tomb of the Julii. Representation of Christ as the sun-god Helios or Sol Invictus riding in his chariot. Dated to the 3rd century AD. ""Early Christian and pagan beliefs are combined in this third century mosaic of Christ as a sun-god. The triumphant Christ/god, with rays shooting from his head, is pulled aloft by two rearing horses in his chariot. The Dionysian vines in the background become the vines of Christ."" Title: Christ as Sol Invictus Late 3rd century ""The First Apology"" by St. Justin Martyr, an early Christian, quotes Psalm 19:5-6, a verse that was very popular with early Christians. It was associated with the ancient Christian custom of praying toward the East, the direction of Christ's Ascension and second coming, instead of toward Jerusalem as Jews did: ""And hear how it was foretold concerning those who published His doctrine and proclaimed His appearance, the above-mentioned prophet and king [David] speaking thus by the Spirit of prophecy. ""....In the sun has He set His tabernacle, and he as a bridegroom going out of his chamber shall rejoice as a giant to run his course."" Christ was also associated with ""the Sun of justice with its healing rays"", a Messianic image from Malachi 3:20. From ""THE BONES OF ST. PETER : The First Full Account of the Search for the Apostle's Body (Doubleday, 1982) by John Evangelist Walsh""; plate 7 shows a larger black-and-white image; p.26 says that three other mosaics in the tomb on the walls show (a) Jonah falling from a ship and being swallowed by the whale, (b) a fisherman standing on rocks fishing (c) the good shepherd with a sheep across his shoulders. The mosaic on the dome comes half-way down the walls. The rays of light ""strongly suggest the form of a cross."" The tomb was decorated about 250 with these motifs.  The damage to the mosaic on the left is in fact a hole in the centre of the ceiling.  The tomb was accessed from the street of pagan Roman tombs, and the access covered by a slab.  When this was lifted, the hole in the middle of the dome was accessible.  The tomb is described, not as a papal tomb, but as the ""tomb of the golden mosaic.""  Originally it contained a pagan burial of a child and no adornment.  Around 250 the family had converted to Christianity, and redecorated it.  Three Christian burials were located under the floor.  A story from 1574 relates how workmen had opened ""a tomb with golden mosaics and two white horses"", and found a body on a slab on the floor covered with quicklime; the body was not present when the tomb was located again during the 1941 excavations.",mosaic by artist unknown,,49946,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q133067,,,,,,,,0250-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49946,,2022-04-04,,,,,,,,,,,,,,,,,,,ChristAsSol.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49946,,2022-04-04,,,,,,,,
,Gedachtniskirche (Memorial Church),"Gedächtniskirche (Memorial Church) in Speyer, Germany", stained glass by Immanuel Giel,,49967,,,2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,Q1473346,,,,,,,,,,,,,,,,,,,,,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49967,,2022-04-04,,,,,,,,,,,,Kapernaum Gedaechtniskirche Speyer.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49967,,2022-04-04,,,,,,,,
,Moses Striking the Rock,"Painting on the wall of an early christian catacomb. (the Cubiculum of the Sheep)
Moses unlacing his sandals. / Moses (or Peter?) striking a rock to get water (in the desert?).",fresco by artist unknown,,49970,,,2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,Q22669139,,,,,,,,0250-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49970,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49970,,2022-04-04,,,,,,,,,,,,Moses striking the rock in the desert.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49970,,2022-04-04,,,,,,,,
