qid,label,title1,language1,probability1
Q102965484,"From Galería Carl van der Voort, Mini Colección","From Galería Carl van der Voort, Mini Colección",ca,0.571427319480491
Q102965495,"From Galería Carl van der Voort, Mini Colección","From Galería Carl van der Voort, Mini Colección",ca,0.571428464955377
Q102965501,"From Galería Carl van der Voort, Mini Colección","From Galería Carl van der Voort, Mini Colección",es,0.714284002042747
Q102965505,"From Galería Carl van der Voort, Mini Colección","From Galería Carl van der Voort, Mini Colección",ca,0.857139457808359
Q102965510,"From Galería Carl Van der Voort, Mini Collección","From Galería Carl Van der Voort, Mini Collección",ca,0.571426547704577
Q102965516,"From Galería Carl Van der Voort, Mini Collección","From Galería Carl Van der Voort, Mini Collección",ca,0.7142834091585
Q102965523,"From Galería Carl Van der Voort, Mini Collección","From Galería Carl Van der Voort, Mini Collección",es,0.714285557967139
Q102965530,"From Galería Carl Van der Voort, Mini Collección","From Galería Carl Van der Voort, Mini Collección",es,0.571428509362413
Q102965544,"From Galería Carl Van der Voort, Mini Collección","From Galería Carl Van der Voort, Mini Collección",ca,0.571428699795169
Q102965703,Ginko leaf-shaped dish (Kyo-Yaki ware),Ginko leaf-shaped dish (Kyo-Yaki ware),so,0.85714116976158
Q102965751,Glazed dish,Glazed dish,it,0.571428467829959
Q102965763,Glazed grey jar with cylindrical neck,Glazed grey jar with cylindrical neck,en,0.999996517463291
Q102965780,Globular ginger jar,Globular ginger jar,id,0.571427619978374
Q102965783,Globular jar with a petal design,Globular jar with a petal design,en,0.714282805214934
Q102965788,Globular storage jar,Globular storage jar,hr,0.999993951695114
Q102965798,Globular storage jar with brown drip glaze,Globular storage jar with brown drip glaze,en,0.999995228525022
Q102965810,Glow Worms,Glow Worms,en,0.857139813840622
Q102965820,Going and Coming,Going and Coming,en,0.999996386028702
Q102965849,Green Cat,Green Cat,nl,0.999997223797064
Q102965859,Green jade dish,Green jade dish,nl,0.999996412593222
Q102965865,Green Nile,Green Nile,nl,0.999994536963704
Q102965882,Hagi ware bottle vase,Hagi ware bottle vase,af,0.714280831108421
Q102965898,Hagi ware chawan (tea bowl),Hagi ware chawan (tea bowl),en,0.571427904357366
Q102965905,Hagi ware cup,Hagi ware cup,ro,0.428571129088597
Q102965929,Half Mile Walk,Half Mile Walk,tr,0.857140966880398
Q102965937,Half-Reclining Nude,Half-Reclining Nude,en,0.857139392245653
Q102965944,"Hamas militant, Gaza","Hamas militant, Gaza",tl,0.714359919785782
Q102966007,Harbour Scene,Harbour Scene,en,0.714283682794624
Q102966050,Head of Buddha,Head of Buddha,en,0.571429061069177
Q102966059,Heads,Heads,en,0.857139291270721
Q102966065,Heavenly Bird,Heavenly Bird,en,0.857140165786562
Q102966180,Horse and Rider,Horse and Rider,da,0.571442259250002
Q102966264,Illustration from Le Solitaire by Andre' Verdet,Illustration from Le Solitaire by Andre' Verdet,fr,0.57142870499249
Q102966403,Innocent Cat,Innocent Cat,en,0.857137623227305
Q102966448,Interior Scene,Interior Scene,it,0.999995179925396
Q102966478,Irish,Irish,en,0.857139247133815
Q102966483,Iron Deer,Iron Deer,nl,0.999996533537552
Q102966576,Jade drinking cup,Jade drinking cup,sv,0.714281926108274
Q102966588,"Jade vase with deer, crane, and bat designs","Jade vase with deer, crane, and bat designs",nl,0.571428450507486
Q102966595,Jade wedding drinking cup,Jade wedding drinking cup,af,0.857137125990349
Q102966634,Jar,Jar,id,0.999994458338539
Q102966798,Kabuki Actors,Kabuki Actors,id,0.999997859988896
Q102966888,"Karen, Minneapolis","Karen, Minneapolis",fi,0.999989279468688
Q102966954,Knackers,Knackers,de,0.999995188449138
Q102967051,"Kosavar-Albanian Refugee, Albanian Border with Kosovo","Kosavar-Albanian Refugee, Albanian Border with Kosovo",en,0.9999972511943
Q102967055,"Kosovar-Albanian Refugees During the War in Kosovo, Kosovo-Albanian Border","Kosovar-Albanian Refugees During the War in Kosovo, Kosovo-Albanian Border",en,0.99999321519381
Q102967058,"Kosovar-Albanian refugees, Macedonia","Kosovar-Albanian refugees, Macedonia",en,0.933270260906434
Q102967270,Lake George,Lake George,de,0.428570681541274
Q102967296,Landscape,Landscape,ca,0.571426385839579
Q102967752,Landscape,Landscape,ca,0.857107024594123
Q102967760,Landscape,Landscape,en,0.428569512263749
Q102967766,Landscape,Landscape,ca,0.999994161243067
Q102967776,Landscape,Landscape,ca,0.571425114708458
Q102967872,"Lapwing, Vanellus cristatus, (Meyer)","Lapwing, Vanellus cristatus, (Meyer)",en,0.999994649127386
Q102967917,Laughing - Crying,Laughing - Crying,tl,0.857141255086837
Q102967983,"Le Portique (The Portico), from the suite ""La Vida es Sueño"" (Life is a Dream)","Le Portique (The Portico), from the suite ""La Vida es Sueño"" (Life is a Dream)",en,0.714284730231303
Q102968003,Least Bittern,Least Bittern,en,0.857081186964656
Q102968060,Lidded bowl with a saucer (rose medallion ware),Lidded bowl with a saucer (rose medallion ware),cy,0.571427718741921
Q102968078,Lidded jar,Lidded jar,et,0.571426073898945
Q102968179,Lion dogs sword ornaments,Lion dogs sword ornaments,en,0.85714025643722
Q102968184,Lippincott Apple Butter,Lippincott Apple Butter,it,0.999995032824898
Q102968210,Little Sandpiper,Little Sandpiper,it,0.999996952446078
Q102968230,"Logo Suite Grey, H","Logo Suite Grey, H",af,0.571427873902941
Q102968235,Lolita Perturbed,Lolita Perturbed,id,0.999994823862792
Q102968256,Love,Love,sl,0.999994529714616
Q102968270,Lovers in a Garden,Lovers in a Garden,nl,0.857136655011355
Q102968277,Lucía,Lucía,es,0.999996172327679
Q102968286,Luminous Cat,Luminous Cat,fr,0.714282891947486
Q102968331,Male figure riding in a chariot,Male figure riding in a chariot,it,0.714284570386619
Q102968365,"Man in Building, Viewing Water","Man in Building, Viewing Water",af,0.999994884554116
Q102968411,Marine Life,Marine Life,it,0.857138293499592
Q102968471,"Mask, Representing an Antelope","Mask, Representing an Antelope",en,0.714284417186649
Q102968478,"Massacre of the Innocents, after Jacopo Tintoretto","Massacre of the Innocents, after Jacopo Tintoretto",en,0.999996496945942
Q102968574,Miniature pot,Miniature pot,ro,0.999995828920304
Q102968652,Model in landscape,Model in landscape,it,0.42857110242569
Q102968660,Modern Art Poster,Modern Art Poster,de,0.999993783678675
Q102968728,Mosaic,Mosaic,fi,0.857140058942886
Q102968735,Mosaic Box,Mosaic Box,ca,0.99999402578265
Q102968780,Mount Fuji and the Pine Beach at Miho,Mount Fuji and the Pine Beach at Miho,en,0.857139507156215
Q102968793,"Mozambican Refugee Camp, Malawi","Mozambican Refugee Camp, Malawi",en,0.714282846059362
Q102968842,"Near Elche, Spain","Near Elche, Spain",en,0.999995667968045
Q102968894,Netsuke (Toggle) in the Form of a Lotus Pod,Netsuke (Toggle) in the Form of a Lotus Pod,en,0.999996273746865
Q102968970,Netsuke depicting a tiger and cub,Netsuke depicting a tiger and cub,en,0.999996917964997
Q102968975,Netsuke depicting an inlaid gaming piece,Netsuke depicting an inlaid gaming piece,en,0.999993659411754
Q102969030,No. 43 (after Claude Lorrain),No. 43 (after Claude Lorrain),en,0.837048629149221
Q102969065,Not wanting to say anything about Marcel,Not wanting to say anything about Marcel,en,0.571427432421525
Q102969070,Not Yet,Not Yet,no,0.999992089703243
Q102969129,O-bento (Lunch Box),O-bento (Lunch Box),en,0.714285212683762
Q102969260,Oil-drip horse-eye plate,Oil-drip horse-eye plate,nl,0.857137369902921
Q102969327,Opus 153,Opus 153,lv,0.964985865031099
Q102969332,Opus 21,Opus 21,lv,0.754697811431386
Q102969336,Opus 61,Opus 61,lv,0.80348087581128
Q102969340,Opus 78,Opus 78,lv,0.990755532636915
Q102969343,Opus 87,Opus 87,lv,0.714282876309759
Q102969347,Opus 88,Opus 88,lv,0.871649181458421
Q102969351,Opus 99,Opus 99,lv,0.999992101444356
Q102969447,Our Japanese Army Attacking Ryu-koh Island (Sino-Japanese War),Our Japanese Army Attacking Ryu-koh Island (Sino-Japanese War),en,0.571426242524589
Q102969462,Overdoor Panel,Overdoor Panel,nl,0.999993906275911
Q102969572,Pale grey-green celadon ware cup,Pale grey-green celadon ware cup,en,0.857142467182931
Q102969627,Peasants at Home,Peasants at Home,en,0.999995448503236
Q102969634,Peasants in a Landscape,Peasants in a Landscape,en,0.999996560734057
Q102969751,Pine Tree (hanging scroll),Pine Tree (hanging scroll),en,0.999997699613258
Q102969758,Pink Cat,Pink Cat,tl,0.857138382805654
Q102969769,Pitcher,Pitcher,de,0.999996251260778
Q102969782,Pitcher with temmoku glaze,Pitcher with temmoku glaze,en,0.99999570571396
Q102969861,Plexigram I (Not wanting to say anything about Marcel),Plexigram I (Not wanting to say anything about Marcel),en,0.857140891201175
Q102969870,Plexigram II (Not wanting to say anything about Marcel),Plexigram II (Not wanting to say anything about Marcel),en,0.857141830626042
Q102969877,Plexigram III (Not wanting to say anything about Marcel),Plexigram III (Not wanting to say anything about Marcel),en,0.857139440275335
Q102969966,"Poster, Tel Aviv","Poster, Tel Aviv",de,0.445489847059645
Q102970045,Primping,Primping,tl,0.99999772165805
Q102970079,Print with eight scenes,Print with eight scenes,en,0.999997791556403
Q102970120,Procession,Procession,it,0.999994237072158
Q102970130,Psychopathic Ward,Psychopathic Ward,en,0.857140077735803
Q102970149,Qingbai celadon ware bowl,Qingbai celadon ware bowl,so,0.857140413778498
Q102970156,Qingbai ware bowl,Qingbai ware bowl,so,0.999996397846629
Q102970243,Rebecca (after Veronese),Rebecca (after Veronese),de,0.85714020211598
Q102970254,Reclining Nude,Reclining Nude,en,0.850536562420091
Q102970261,Reclining Nude,Reclining Nude,en,0.714282436041781
Q102970269,Reclining Nude (after Titian),Reclining Nude (after Titian),en,0.714283663075902
Q102970306,Red Maple Leaves at Kaian-ji Temple (Kaian-ji kōyō),Red Maple Leaves at Kaian-ji Temple (Kaian-ji kōyō),id,0.428569845363472
Q102970360,Restaurant Scene,Restaurant Scene,fr,0.571428784981433
Q102970536,River Scene,River Scene,da,0.571428717657422
Q102970564,Rockport (Bearskin Neck),Rockport (Bearskin Neck),sv,0.999995367449699
Q102970586,Roentgenologist's Nightmare,Roentgenologist's Nightmare,nl,0.85713860119519
Q102970594,Roman Republic coin,Roman Republic coin,ro,0.999996092106727
Q102970670,Sac (Sack),Sac (Sack),en,0.714281931802534
Q102970684,Sailboat,Sailboat,ro,0.714283419532401
Q102970749,Sake flask with a design in blue underglaze of abstract floral motif,Sake flask with a design in blue underglaze of abstract floral motif,en,0.999996591332953
Q102970768,San Blas Embroidery,San Blas Embroidery,es,0.428573588952758
Q102971052,Scene from a Kabuki Play,Scene from a Kabuki Play,en,0.857140446136127
Q102971059,Scene in Haiti #1,Scene in Haiti #1,it,0.714283226310633
Q102971068,Scene in Haiti #2,Scene in Haiti #2,it,0.857140764932262
Q102971147,Sculptural Objects,Sculptural Objects,ro,0.714283467359164
Q102971272,"Self portrait ""For Your File. Fritz Eichenberg"" (2 copies)","Self portrait ""For Your File. Fritz Eichenberg"" (2 copies)",de,0.999998193784974
Q102971380,Shield,Shield,de,0.999995833773891
Q102971388,Shigaraki ware bowl with foliate rim brown glazes,Shigaraki ware bowl with foliate rim brown glazes,en,0.999996944645259
Q102971395,Shigaraki ware chawan (tea bowl) with green and brown glaze,Shigaraki ware chawan (tea bowl) with green and brown glaze,en,0.999995652030654
Q102971466,Shrimp (hanging scroll),Shrimp (hanging scroll),en,0.857140102593409
Q102971507,Silverstone Rising,Silverstone Rising,no,0.582901626084916
Q102971512,Simón Bolívar,Simón Bolívar,es,0.85714081423263
Q102971532,Sitting Bull,Sitting Bull,tl,0.714284547391547
Q102971540,Six Figures,Six Figures,ca,0.714282056633111
Q102971569,"Sketch for ""Devil Says Hello #4""","Sketch for ""Devil Says Hello #4""",en,0.571427370652283
Q102971576,Skull and Cape,Skull and Cape,sv,0.857138087404307
Q102971588,Sleeping Child,Sleeping Child,en,0.714282855898839
Q102971595,Sleeping Woman,Sleeping Woman,tl,0.999998044114655
Q102971627,Small bowl with foot (Celadon ware),Small bowl with foot (Celadon ware),en,0.999997174868042
Q102971643,Small eagle pendant,Small eagle pendant,it,0.857139069229558
Q102971652,Small frog pendant,Small frog pendant,no,0.791032056801135
Q102971659,Small green jar with celadon glaze,Small green jar with celadon glaze,en,0.714284345804426
Q102971666,Small jar,Small jar,et,0.857140730758216
Q102971679,Small spotted pot,Small spotted pot,it,0.857138942882695
Q102971693,Smiling Cat,Smiling Cat,tl,0.999995837584577
Q102971999,"Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract, checkerboard pattern","Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract, checkerboard pattern",en,0.999997325545744
Q102972962,Soba-choko (noodle sauce cup) with brown glaze,Soba-choko (noodle sauce cup) with brown glaze,en,0.571429970957353
Q102973005,Soba-choko (noodle sauce cup) with temmoku glaze,Soba-choko (noodle sauce cup) with temmoku glaze,pl,0.857140173052359
Q102973079,Space Drawing,Space Drawing,en,0.714281975167553
Q102973118,Spindle Whorl,Spindle Whorl,en,0.99999581020567
Q102973135,"Spoleto, Italy","Spoleto, Italy",it,0.714282686786477
Q102973169,Square seal,Square seal,it,0.428577777888395
Q102973210,St. Andrew,St. Andrew,de,0.999993393582267
Q102973273,St. Vincent de Paul,St. Vincent de Paul,fr,0.999995947165952
Q102973281,"Stab. A. Marzi, Rome, Vintage poster for Roma: Mecato di Traiano","Stab. A. Marzi, Rome, Vintage poster for Roma: Mecato di Traiano",it,0.857140203759121
Q102973287,Stalking Cat,Stalking Cat,tl,0.999996693822198
Q102973346,Standing figure wearing an owl mask,Standing figure wearing an owl mask,en,0.99999761581923
Q102973361,"Stay Alert (Matauri Bay, New Zealand)","Stay Alert (Matauri Bay, New Zealand)",tl,0.714282070961355
Q102973381,Stencils for dyeing yukata (summer kimono),Stencils for dyeing yukata (summer kimono),id,0.571427917499428
Q102973388,Steppenwolf,Steppenwolf,nl,0.999994845393645
Q102973416,Still-Life,Still-Life,it,0.714282747458779
Q102973424,Stirrup hagi ware cup,Stirrup hagi ware cup,en,0.714285243579679
Q102973444,Stirrup vessel,Stirrup vessel,da,0.999994859795843
Q102973465,Stop,Stop,en,0.857158628766092
Q102973497,Stream and Golden Sunset,Stream and Golden Sunset,de,0.714281890960981
Q102973502,Stream with Golden Sunset,Stream with Golden Sunset,en,0.85713834010967
Q102973605,Suiteki (water dropper),Suiteki (water dropper),af,0.999996705514007
Q102973672,Summer Afternoon,Summer Afternoon,af,0.714286043891853
Q102973684,Summer Landscape,Summer Landscape,de,0.857140600265396
Q102973690,Sunbath,Sunbath,id,0.85713798303637
Q102973711,Sunset,Sunset,af,0.999995500105726
Q102973777,Swingline,Swingline,en,0.999996533288461
Q102973912,Teapot,Teapot,ro,0.999994589158961
Q102973919,"Teapot with black, brown and ochre glazes","Teapot with black, brown and ochre glazes",en,0.999995752094825
Q102973986,Tennessee Cabin,Tennessee Cabin,nl,0.999996965159958
Q102973993,Tennessee Landscape,Tennessee Landscape,nl,0.571427508664128
Q102974039,"The Armenian Earthquake, Spitak, Armenia","The Armenian Earthquake, Spitak, Armenia",en,0.857141573530319
Q102974136,The Duke awakened from sleep,The Duke awakened from sleep,en,0.999996465990408
Q102974206,The Genius on the Streets of Berlin (The Young Albert Einstein),The Genius on the Streets of Berlin (The Young Albert Einstein),en,0.999995112691227
Q102974237,"The Hare, after Albert de Balleroy","The Hare, after Albert de Balleroy",de,0.428570479310276
Q102974452,The Jungfrau,The Jungfrau,en,0.571427659752054
Q102974461,The Kabuki Actors Nakamura Shikan as the Boatman Chokichi and Iwai,The Kabuki Actors Nakamura Shikan as the Boatman Chokichi and Iwai,id,0.428571211187476
Q102974694,The Poet Omurashi-no-Zen and the Poet Sakai-no-Sumi Isse,The Poet Omurashi-no-Zen and the Poet Sakai-no-Sumi Isse,en,0.857142054185998
Q102974791,The Tanabata Festival,The Tanabata Festival,en,0.571426783840789
Q102974896,The Vegetable Vendor,The Vegetable Vendor,de,0.714503505273176
Q102975038,Thonier,Thonier,en,0.999995584237814
Q102975085,Three Sausages,Three Sausages,de,0.999997146703403
Q102975120,Tiger Beetle,Tiger Beetle,de,0.999993968690966
Q102975166,Tiny cup,Tiny cup,en,0.57142667285685
Q102975358,Tray,Tray,vi,0.857139570195684
Q102975370,Trees,Trees,nl,0.424313756996184
Q102975409,Trio   Embossed square,Trio   Embossed square,pt,0.857138698343579
Q102975416,Trio (Embossed cross),Trio (Embossed cross),en,0.999996453264112
Q102975536,Twickenham Church,Twickenham Church,de,0.999995058065341
Q102975543,Twin Gyration,Twin Gyration,en,0.999997085387979
Q102975591,Two Handled Bowl,Two Handled Bowl,en,0.999995244480454
Q102976485,Vase,Vase,et,0.999996682353305
Q102976497,Vase,Vase,et,0.999995843231472
Q102976549,Vase with green and ochre glazes,Vase with green and ochre glazes,en,0.999997647903765
Q102976659,Venetian Water Gate,Venetian Water Gate,de,0.999996083012753
Q102976664,"Vento (Wind), from Paesaggi (Landscapes)","Vento (Wind), from Paesaggi (Landscapes)",en,0.571426819704067
Q102976779,Village Street,Village Street,no,0.695349017172672
Q102976785,Vintage poster for Bridlington,Vintage poster for Bridlington,da,0.95817275750312
Q102976891,Walking Cat,Walking Cat,tl,0.714283962216184
Q102976921,Warrior Reservoir,Warrior Reservoir,en,0.999996726070077
Q102976949,Wayside Madonna,Wayside Madonna,so,0.857140637914541
Q102976965,"Wedding outfit, jacket and skirt","Wedding outfit, jacket and skirt",sv,0.999993444476339
Q102976995,When Day is Done,When Day is Done,de,0.571427510098
Q102977001,When Rosy Plumelets Tuft the Larch,When Rosy Plumelets Tuft the Larch,en,0.999998793472425
Q102977009,"White Animals - Rhythm & Brews, Chattanooga, TN, Fri. April 14 2000","White Animals - Rhythm & Brews, Chattanooga, TN, Fri. April 14 2000",en,0.857140088696778
Q102977061,White glazed bowl,White glazed bowl,en,0.999996959590039
Q102977068,White jade dish,White jade dish,sq,0.857141068966223
Q102977075,White jade drinking cup,White jade drinking cup,nl,0.857138244567699
Q102977092,White teapot,White teapot,en,0.714283557823221
Q102977108,Wigeon,Wigeon,de,0.999992487031562
Q102977123,Wine cup,Wine cup,ro,0.999997597896555
Q102977211,Woman Dressing,Woman Dressing,en,0.857137887261065
Q102977247,Woman Reading,Woman Reading,en,0.714283999424308
Q102977260,Women Viewing Plum Blossoms,Women Viewing Plum Blossoms,de,0.571427660661236
Q102977324,Woodcut,Woodcut,pl,0.571428061463107
Q102977363,Woven bracelet,Woven bracelet,nl,0.857140458146408
Q103296109,113,113,zxx,0
Q103296177,#113,#113,zxx,0
Q103296183,#126,#126,zxx,0
Q103296194,#201,#201,zxx,0
Q103296205,#202,#202,zxx,0
Q103296215,#207,#207,zxx,0
Q103296222,#208,#208,zxx,0
Q103296231,#209,#209,zxx,0
Q103296240,#210,#210,zxx,0
Q103296343,"05-23, Carrara, Italy","05-23, Carrara, Italy",en,0.999996039281225
Q103296350,"06-08, Carrara, Italy","06-08, Carrara, Italy",en,0.99999744424115
Q103296357,"06-11, Carrara, Italy","06-11, Carrara, Italy",en,0.71428377810305
Q103296439,"A Dwarf of Philip IV, after Velasquez","A Dwarf of Philip IV, after Velasquez",en,0.999995370807825
Q103296647,After,After,af,0.571427425390611
Q103296684,Alicia IV,Alicia IV,it,0.857138271923183
Q103296689,Allegorical Group,Allegorical Group,ca,0.661676205983178
Q103296734,American Flamingo,American Flamingo,en,0.999995066706704
Q103296751,American Icon/24 Karat Rabbit,American Icon/24 Karat Rabbit,en,0.714282832945469
Q103296801,An Aged Spaniard,An Aged Spaniard,en,0.857138189358926
Q103296815,An Emotion,An Emotion,en,0.857138719775496
Q103297090,Arturo Toscanini and unidentified baby,Arturo Toscanini and unidentified baby,en,0.714283788697174
Q103297180,B,B,de,0.999995277091708
Q103297247,Be a U.S. Marine,Be a U.S. Marine,en,0.826173890184316
Q103297254,Be a U.S. Marine!,Be a U.S. Marine!,en,0.428384986629003
Q103297298,Beckoning cat,Beckoning cat,en,0.714282715537192
Q103297312,"Beer Street, state 3","Beer Street, state 3",nl,0.999395510956127
Q103297320,Before,Before,da,0.999993025149133
Q103297330,Belt,Belt,nl,0.99999532899363
Q103297378,Betengna. Listen In! [And Ethiopian text],Betengna. Listen In! [And Ethiopian text],en,0.714282347152621
Q103297390,Bianca Jagger,Bianca Jagger,id,0.714284967660132
Q103297415,Big Sausage,Big Sausage,de,0.714284385084107
Q103297421,Billy Gilman 2000,Billy Gilman 2000,tr,0.85714047977207
Q103297445,Birdman,Birdman,tr,0.999997222249075
Q103297469,Black Field,Black Field,de,0.999995370718147
Q103297540,Blue Arc,Blue Arc,fr,0.999993224825041
Q103297567,Blue Nude: Salome,Blue Nude: Salome,fr,0.42857176631924
Q103297588,Bodhisattva,Bodhisattva,sv,0.714281947428383
Q103297592,Bodhisattva in Lotus position,Bodhisattva in Lotus position,fi,0.714284166454858
Q103297600,Bone weapon (fragment),Bone weapon (fragment),fr,0.571426573663875
Q103297616,Bonnie Wintersteen (1 of 7),Bonnie Wintersteen (1 of 7),af,0.533115184823212
Q103297620,Bonnie Wintersteen (2 of 7),Bonnie Wintersteen (2 of 7),nl,0.714284547885616
Q103297624,Bonnie Wintersteen (3 of 7),Bonnie Wintersteen (3 of 7),nl,0.599062397817402
Q103297636,Bonnie Wintersteen (4 of 7),Bonnie Wintersteen (4 of 7),nl,0.57142736543139
Q103297642,Bonnie Wintersteen (5 of 7),Bonnie Wintersteen (5 of 7),nl,0.571428252526792
Q103297649,Bonnie Wintersteen (6 of 7),Bonnie Wintersteen (6 of 7),nl,0.714282624452641
Q103297655,Bonnie Wintersteen (7 of 7),Bonnie Wintersteen (7 of 7),nl,0.565720174019039
Q103297671,Boris Vian,Boris Vian,lt,0.999994958999078
Q103297827,Brothers Karamazov: Nude Female Dreaming,Brothers Karamazov: Nude Female Dreaming,en,0.999995852554979
