qid,type,label,object_description,form_description,design_description,includes
Q102961744,ceramics,Arita ware tea cup with a design in overglaze enamel of flowers and vines,Arita ware tea cup,,in overglaze enamel of flowers and vines,
Q102961750,ceramics,Arita ware tea cup with design in blue underglaze of figures and buildings in a landscape,Arita ware tea cup,,in blue underglaze of figures and buildings in a landscape,
Q104030930,ceramics,Arita ware tea cup with a design in blue underglaze of landscapes and abstract patterns,Arita ware tea cup,,in blue underglaze of landscapes and abstract patterns,
Q104030931,ceramics,Arita ware tea cup with a design in blue underglaze of landscapes and abstract patterns,Arita ware tea cup,,in blue underglaze of landscapes and abstract patterns,
Q104030934,ceramics,Arita ware tea cup with a design in blue underglaze of landscapes set in circular frames,Arita ware tea cup,,in blue underglaze of landscapes set in circular frames,
Q104030935,ceramics,Arita ware tea cup with a design in blue underglaze of landscapes set in circular frames,Arita ware tea cup,,in blue underglaze of landscapes set in circular frames,
Q102961755,ceramics,Arita ware water dropper (suiteki) with a design in blue underglaze of a crane and pine trees,Arita ware water dropper (suiteki),,in blue underglaze of a crane and pine trees,
Q102961763,work of art,"Arm Rest with a Design of a Crane, Chinese Characters, & Sacred Fungus",Arm Rest,,"of a Crane, Chinese Characters, & Sacred Fungus",
Q102961768,work of art,Arm Rest With a Design of a Persimmon,Arm Rest,,of a Persimmon,
Q102961772,work of art,Arm Rest with a Design of a Table with a Basket of Fruit & Buddha's Hand Fruit,Arm Rest,,of a Table with a Basket of Fruit & Buddha's Hand Fruit,
Q102961781,work of art,Arm rest with a design of man in boat with inscription,Arm rest,,of man in boat with inscription,
Q102961790,work of art,Arm rest with a landscape design and inscription,Arm rest,,,a landscape design and inscription
Q102961795,work of art,Arm Rest with a Peony Design,Arm Rest,,,a Peony Design
Q102961804,work of art,Arm rest with Chinese inscription,Arm rest,,,Chinese inscription
Q103297030,work of art,Arm Rest with a Design of Grass Orchids and a Poem,Arm Rest,,of Grass Orchids and a Poem,
Q103297038,work of art,Arm Rest with an Owl in a Tree and a Crescent Moon,Arm Rest,,,an Owl in a Tree and a Crescent Moon
Q103297044,work of art,Arm Rest With Design of a Ghost of a Courtesan,Arm Rest,,of a Ghost of a Courtesan,
Q103297050,work of art,"Arm Rest with Landscape Design of Mountains, Trees, Rocks, and a Pavilion",Arm Rest,,,"Landscape Design of Mountains, Trees, Rocks, and a Pavilion"
Q105096061,work of art,Arm Rest with a Design of Pine Needles,Arm Rest,,of Pine Needles,
Q103297071,stone,Arrowhead,Arrowhead,,,
Q104030936,stone,Arrowhead,Arrowhead,,,
Q104030937,stone,Arrowhead,Arrowhead,,,
Q106568480,weapon,Arrowhead,Arrowhead,,,
Q106568482,ceramics,Asian incense burner,Asian incense burner,,,
Q106568485,plaque,Asmat River Plaque,Asmat River Plaque,,,
Q103297165,ceramics,Autumn (Young Woman with Leaves and Grapes),Autumn (Young Woman,,,Leaves and Grapes)
Q103297175,weapon,Axe head,Axe head,,,
Q106582606,yarn,Ball of coarse yarn,Ball of coarse yarn,,,
Q94970906,sculpture,Ball player in warrior bird costume,Ball player in warrior bird costume,,,
Q106582607,work of art,Bamboo boxes,Bamboo boxes,,,
Q102961911,work of art,Bamboo container with carved inscription,Bamboo container,,,carved inscription
Q106582608,weapon,Battle ax with ivory inlays,Battle ax,,,ivory inlays
Q102962001,ceramics,Beaker,Beaker,,,
Q103297265,ceramics,Bear effigy water bottle with abstract design in black pigment,Bear effigy water bottle,,,abstract design in black pigment
Q105091645,sculpture,"Beast, from The Marriage of Venus and Mars","Beast, from The Marriage of Venus and Mars",,,
Q103297298,sculpture,Beckoning cat,Beckoning cat,,,
Q106582609,work of art,Bells on a blue rope,Bells on a blue rope,,,
Q103297330,work of art,Belt,Belt,,,
Q102962054,work of art,Belt buckle with a design of a beast,Belt buckle,,of a beast,
Q102962062,work of art,Belt hook in the shape of two facing dragons,Belt hook,two facing dragons,,
Q102962078,ceramics,Bent bowl with a fish design,Bent bowl,,,a fish design
Q102962087,ceramics,Beppu ware incense container (Kogo) in the shape of an ox,Beppu ware incense container (Kogo),an ox,,
Q103297353,work of art,Betel Nut Cutter with a Design of a Peacock,Betel Nut Cutter,,of a Peacock,
Q103297365,work of art,Betel Nut Cutter with a Floral Design,Betel Nut Cutter,,,a Floral Design
Q102962116,sculpture,Bi disc,Bi disc,,,
Q106582610,ceramics,bianco sopra bianco bowl decorated with ducks and lotus,bianco sopra bianco bowl decorated,,,ducks and lotus
Q102962145,textile,"Bingata Cloth With Design of Camellia, a Stream, and Two Other Flowers",Bingata Cloth,,"of Camellia, a Stream, and Two Other Flowers",
Q106582612,sculpture,Bird Without Nest (bicyclist sculpture),Bird,,,out Nest (bicyclist sculpture)
Q102962150,ceramics,Bird feeder with a design in blue underglaze of chrysanthemums,Bird feeder,,in blue underglaze of chrysanthemums,
Q102962162,ceramics,Bird feeder with wooden fastener with a design in blue under glaze of birds,Bird feeder with wooden fastener,,in blue under glaze of birds,
Q102962171,pottery,Bird Head Bowl,Bird Head Bowl,,,
Q102962187,ceramics,Bird sitting on a medallion,Bird sitting on a medallion,,,
Q94553168,sculpture,Bishop or Saint,Bishop or Saint,,,
Q102962200,ceramics,Bizen ware Chawan (tea bowl),Bizen ware Chawan (tea bowl),,,
Q102962205,ceramics,Bizen ware figurine of a kappa,Bizen ware figurine of a kappa,,,
Q104030942,ceramics,Bizen ware rice bowl,Bizen ware rice bowl,,,
Q104030943,ceramics,Bizen ware rice bowl,Bizen ware rice bowl,,,
Q102962213,ceramics,Bizen ware sake bottle (Tokkuri),Bizen ware sake bottle (Tokkuri),,,
Q102962219,ceramics,Bizen ware vase with two simulated handles on shoulders,Bizen ware vase,,,two simulated handles on shoulders
Q102962225,ceramics,Black bowl with serpentine bands,Black bowl,,,serpentine bands
Q106582613,ceramics,Black jug,Black jug,,,
Q103297486,textile,Black kimono with five family crests and design of grass orchids,Black kimono,,,five family crests and design of grass orchids
Q106582614,work of art,Black kite,Black kite,,,
Q104030944,work of art,Black lacquer tray with a family crest design of two hawk's feathers,Black lacquer tray,,,a family crest design of two hawk's feathers
Q104030945,work of art,Black lacquer tray with a family crest design of two hawk's feathers,Black lacquer tray,,,a family crest design of two hawk's feathers
Q106582615,ceramics,Black ladle with geometric designs,Black ladle,,,geometric designs
Q102962245,ceramics,Black teapot,Black teapot,,,
Q102962251,work of art,"Black, yellow, and blue glass beads with geometric designs","Black, yellow, and blue glass beads",,,geometric designs
Q102962270,ceramics,Blanc de chine quatrefoil cup with applied plums (the end of winter; the coming of spring),Blanc de chine quatrefoil cup,,,applied plums (the end of winter; the coming of spring)
Q104030946,work of art,Blank seal with a landscape design,Blank seal,,,a landscape design
Q104030947,work of art,Blank seal with a landscape design,Blank seal,,,a landscape design
Q102962276,work of art,"Block with Three Rice Cake Molds; On One Side, a Lotus Blossom and a Lotus Petal, and on the Other, a Lotus Leaf",Block,,,"Three Rice Cake Molds; On One Side, a Lotus Blossom and a Lotus Petal, and on the Other, a Lotus Leaf"
Q102962281,work of art,Block with Two Circular Rice Cake Molds (See Notes),Block,,,Two Circular Rice Cake Molds (See Notes)
Q103297512,ceramics,Blue and white bottle-vase with bamboo design,Blue and white bottle-vase,,,bamboo design
Q102962297,ceramics,Blue and white bowl,Blue and white bowl,,,
Q104030948,ceramics,Blue and white dish,Blue and white dish,,,
Q104030949,ceramics,Blue and white dish,Blue and white dish,,,
Q104030950,ceramics,Blue and white dish,Blue and white dish,,,
Q103297518,ceramics,Blue and white ginger jar with a carved wooded lid,Blue and white ginger jar,,,a carved wooded lid
Q103297524,ceramics,Blue and white ginger jar with lid,Blue and white ginger jar,,,lid
Q102962303,ceramics,Blue and white hexagonal cup,Blue and white hexagonal cup,,,
Q102962309,ceramics,Blue and white incense burner,Blue and white incense burner,,,
Q103297532,ceramics,Blue and white lidded sauce pitcher,Blue and white lidded sauce pitcher,,,
Q102962315,ceramics,Blue and white porcelain plate with a blue under-glaze of a wagtail perched on a rock,Blue and white porcelain plate,,,a blue under-glaze of a wagtail perched on a rock
Q105091659,work of art,Blue glass object with stopper,Blue glass object,,,stopper
Q102962324,ceramics,Blue glazed pottery mug,Blue glazed pottery mug,,,
Q104030953,ceramics,Blue glazed pottery mug,Blue glazed pottery mug,,,
Q102962331,ceramics,Blue gray jar with design of mountainous harbor scene,Blue gray jar,,of mountainous harbor scene,
Q106582616,work of art,Blue Meo tribal knife in sheath with ivory handle,Blue Meo tribal knife in sheath,,,ivory handle
Q106582617,work of art,Blue Meo tribal opium pipe,Blue Meo tribal opium pipe,,,
Q103297588,sculpture,Bodhisattva,Bodhisattva,,,
Q103297592,sculpture,Bodhisattva in Lotus position,Bodhisattva in Lotus position,,,
Q105096006,sculpture,Bolognese Virgin,Bolognese Virgin,,,
Q106568488,work of art,Bone fragment with traces of blue pigment,Bone fragment,,,traces of blue pigment
Q103297600,weapon,Bone weapon (fragment),Bone weapon (fragment),,,
Q106582618,weapon,Boomerang,Boomerang,,,
Q106582619,weapon,Boomerang,Boomerang,,,
Q103297678,ceramics,Bottle in the shape of a sitting jaguar,Bottle,a sitting jaguar,,
Q103297693,ceramics,Bottle with painted decoration,Bottle,,,painted decoration
Q103297702,ceramics,Bottle with stamped bird motif,Bottle,,,stamped bird motif
Q104030954,work of art,Bottle,Bottle,,,
Q104030955,work of art,Bottle,Bottle,,,
Q106582620,work of art,Bottle,Bottle,,,
Q106582621,work of art,Bottle,Bottle,,,
Q106582622,work of art,Bottle,Bottle,,,
Q106582623,work of art,Bottle,Bottle,,,
Q106582624,work of art,Bottle,Bottle,,,
Q106582628,work of art,Bottle with a raised relief of an image of George Washington,Bottle,,,a raised relief of an image of George Washington
Q106582625,work of art,Bottle in wicker,Bottle in wicker,,,
Q106582626,work of art,Bottle in wicker,Bottle in wicker,,,
Q106582627,work of art,Bottle in wicker covering,Bottle in wicker covering,,,
Q102962398,ceramics,Bottle shaped vase with painted design of willow tree and grass orchids,Bottle shaped vase,,,painted design of willow tree and grass orchids
Q102962404,ceramics,Bottle vase with design of flowers,Bottle vase,,of flowers,
Q103297684,ceramics,Bottle Vase With Wax-Resistant Design of Grasses & Flowers on Both Sides,Bottle Vase,,,Wax-Resistant Design of Grasses & Flowers on Both Sides
Q106566613,work of art,"Boulder Mountain carving, with an immortal and his attendant walking toward a temple in a mountain retreat. Verso with rocky mountain, rust markings and a pine tree.","Boulder Mountain carving,",,,"an immortal and his attendant walking toward a temple in a mountain retreat. Verso with rocky mountain, rust markings and a pine tree."
Q102962419,work of art,Bowl,Bowl,,,
Q102962426,ceramics,Bowl with a brown and white motif,Bowl,,,a brown and white motif
Q102962433,ceramics,"Bowl with a design in blue under glaze of medallions, Lung-shan seal, and interior scene of a scholar in landscape",Bowl,,"in blue under glaze of medallions, Lung-shan seal, and interior scene of a scholar in landscape",
Q102962439,ceramics,Bowl with a design in blue under-glaze of buildings and mountains,Bowl,,in blue under-glaze of buildings and mountains,
Q102962447,ceramics,Bowl with a design in blue underglaze of two dragons,Bowl,,in blue underglaze of two dragons,
Q102962456,ceramics,Bowl with a design of a landscape in blue underglaze,Bowl,,of a landscape in blue underglaze,
Q102962463,ceramics,Bowl with a design of bamboo in blue underglaze,Bowl,,of bamboo in blue underglaze,
Q102962469,ceramics,Bowl with a design of flowers and arabesques (Export ware),Bowl,,of flowers and arabesques (Export ware),
Q102962477,ceramics,Bowl with a design of Japanese women and girls,Bowl,,of Japanese women and girls,
Q102962482,ceramics,Bowl with a Design of Japanese Women and Girls and 500 Rakan (Sanskrit: Arhats),Bowl,,of Japanese Women and Girls and 500 Rakan (Sanskrit: Arhats),
Q102962489,ceramics,Bowl with a design of landscape in the center of mountains and ocean (Ao-Kutani ware),Bowl,,of landscape in the center of mountains and ocean (Ao-Kutani ware),
Q102962504,ceramics,Bowl with a design of plum blossoms on the interior and blue-green glaze over brown on the exterior,Bowl,,of plum blossoms on the interior and blue-green glaze over brown on the exterior,
Q102962509,ceramics,Bowl with a lotus motif,Bowl,,,a lotus motif
Q102962517,ceramics,Bowl with a lotus motif (celadon ware),Bowl,,,a lotus motif (celadon ware)
Q102962526,ceramics,Bowl with an abstract design in blue under glaze,Bowl,,,an abstract design in blue under glaze
Q102962532,ceramics,Bowl with an interior design in blue under glaze of a bird and exterior design of a landscape with fishermen in boats and a scholar figure,Bowl,,,an interior design in blue under glaze of a bird and exterior design of a landscape with fishermen in boats and a scholar figure
Q102962540,ceramics,Bowl with crackle glaze with an abstract design in blue underglaze  with a silver rim,Bowl,,,crackle glaze with an abstract design in blue underglaze with a silver rim
Q102962547,ceramics,Bowl with design in blue under glaze of two phoenixes and three flowers and two concentric rings with four abstract designs on the underside,Bowl,,in blue under glaze of two phoenixes and three flowers and two concentric rings with four abstract designs on the underside,
Q102962556,ceramics,Bowl with design of a rabbit in the center,Bowl,,of a rabbit in the center,
Q102962565,ceramics,"Bowl with designs of cranes, flowers and pines (Imari ware)",Bowl,,"of cranes, flowers and pines (Imari ware)",
Q102962573,ceramics,Bowl with floral motif,Bowl,,,floral motif
Q102962591,ceramics,Bowl with glossy-black glaze with wax-resist and matte blue glaze and brown interior glaze,Bowl,,,glossy-black glaze with wax-resist and matte blue glaze and brown interior glaze
Q102962597,ceramics,Bowl with green crackle glaze,Bowl,,,green crackle glaze
Q102962602,ceramics,Bowl with guan-type white crackle glaze,Bowl,,,guan-type white crackle glaze
Q102962608,ceramics,Bowl with incised faces and geometric designs on underside,Bowl,,,incised faces and geometric designs on underside
Q102962620,ceramics,Bowl With Inlay Design on Interior and Exterior,Bowl,,,Inlay Design on Interior and Exterior
Q102962626,ceramics,Bowl with landscape design,Bowl,,,landscape design
Q102962632,ceramics,"Bowl with lip and foot (Ko style, Celadon ware)",Bowl,,,"lip and foot (Ko style, Celadon ware)"
Q102962640,ceramics,Bowl with red decoration; from the Imperial kiln,Bowl,,,red decoration; from the Imperial kiln
Q102962651,ceramics,Bowl with red medallion design of landscape with pheasant (Kutani ware),Bowl,,,red medallion design of landscape with pheasant (Kutani ware)
Q102962660,ceramics,Bowl with scholars objects and precious things,Bowl,,,scholars objects and precious things
Q102962676,ceramics,Bowl with three written characters for the number 2,Bowl,,,three written characters for the number 2
Q102962685,ceramics,Bowl with under glaze blue border and flower design in center with four leaf designs on the underside,Bowl,,,under glaze blue border and flower design in center with four leaf designs on the underside
Q103297734,ceramics,Bowl in the form of a reclining man,Bowl,a reclining man,,
Q103297738,ceramics,Bowl with blue leaf design,Bowl,,,blue leaf design
Q103297745,ceramics,Bowl with pedestal,Bowl,,,pedestal
Q104030956,ceramics,Bowl,Bowl,,,
Q104030957,ceramics,Bowl,Bowl,,,
Q104030958,ceramics,Bowl,Bowl,,,
Q104030959,ceramics,Bowl,Bowl,,,
Q104030960,ceramics,Bowl,Bowl,,,
Q104030969,ceramics,Bowl with a design in blue under glaze of seals,Bowl,,in blue under glaze of seals,
Q104030970,ceramics,Bowl with a design in blue under glaze of seals,Bowl,,in blue under glaze of seals,
Q104030972,ceramics,Bowl with an outer design in blue underglaze of flowers,Bowl,,,an outer design in blue underglaze of flowers
Q104030976,ceramics,Bowl with an outer design in blue underglaze of flowers,Bowl,,,an outer design in blue underglaze of flowers
Q105095898,ceramics,Bowl with an abstract calligraphic design,Bowl,,,an abstract calligraphic design
Q106566614,ceramics,"Bowl with a design of two peaches and leaves in pink and green enamel glazes on the inside; on the outside designs of chrysanthemum, lotus, peony, and plum blossoms in pink",Bowl,,"of two peaches and leaves in pink and green enamel glazes on the inside; on the outside designs of chrysanthemum, lotus, peony, and plum blossoms in pink",
Q106582629,ceramics,Bowl,Bowl,,,
Q106582630,ceramics,Bowl with blue and white transfer ware design,Bowl,,,blue and white transfer ware design
Q106582631,ceramics,Bowl with foliage decoration,Bowl,,,foliage decoration
Q106582632,ceramics,"Bowl with white, orange, and purple chrysanthemums behind bamboo sleeve fences in a garden with a butterfly (Kinkozan ware)",Bowl,,,"white, orange, and purple chrysanthemums behind bamboo sleeve fences in a garden with a butterfly (Kinkozan ware)"
Q104030961,ceramics,Bowl (Kutani ware),Bowl (Kutani ware),,,
Q104030963,ceramics,Bowl (Kutani ware),Bowl (Kutani ware),,,
Q104030965,ceramics,Bowl (Kutani ware),Bowl (Kutani ware),,,
Q104030966,ceramics,Bowl (Kutani ware),Bowl (Kutani ware),,,
Q104030967,ceramics,Bowl (Sawankhalok ware),Bowl (Sawankhalok ware),,,
Q104030968,ceramics,Bowl (Sawankhalok ware),Bowl (Sawankhalok ware),,,
Q102962581,ceramics,Bowl with foliate rim with a design of blue and green clouds with inscription,Bowl with foliate rim,,of blue and green clouds with inscription,
Q102962667,work of art,Bowl with three handles in the shape of leopards,Bowl with three handles,leopards,,
Q102962696,work of art,Box,Box,,,
Q102962716,work of art,Brass figurine,Brass figurine,,,
Q102962736,ceramics,Bright blue pottery vase,Bright blue pottery vase,,,
Q102962742,work of art,Bright Green Bowl,Bright Green Bowl,,,
Q103297781,ceramics,Broken roller stamp incised with elaborate geometric designs,Broken roller stamp incised,,,elaborate geometric designs
Q102962750,work of art,Bronze dragon handled vessel,Bronze dragon handled vessel,,,
Q102962760,work of art,Bronze gong,Bronze gong,,,
Q102962766,work of art,Bronze mirror with a design of phoenix and bamboo,Bronze mirror,,of phoenix and bamboo,
Q104030978,work of art,Bronze plaque with inscription,Bronze plaque,,,inscription
Q104030982,work of art,Bronze plaque with inscription,Bronze plaque,,,inscription
Q104030986,work of art,Bronze plaque with inscription,Bronze plaque,,,inscription
Q104030988,work of art,Bronze weight with inscription,Bronze weight,,,inscription
Q104030990,work of art,Bronze weight with inscription,Bronze weight,,,inscription
Q106582633,ceramics,Brown and cream ceramic bottle,Brown and cream ceramic bottle,,,
Q102962779,ceramics,Brown and cream glazed pitcher,Brown and cream glazed pitcher,,,
Q106582634,ceramics,Brown and orange pitcher,Brown and orange pitcher,,,
Q106582635,ceramics,Brown and tan jug,Brown and tan jug,,,
Q102962786,work of art,Brown bottle,Brown bottle,,,
Q106582637,work of art,Brown bottle,Brown bottle,,,
Q106582638,work of art,Brown bottle,Brown bottle,,,
Q106582639,work of art,Brown bottle,Brown bottle,,,
Q106582640,work of art,Brown bottle,Brown bottle,,,
Q106582641,work of art,Brown bottle,Brown bottle,,,
Q106582642,work of art,Brown bottle,Brown bottle,,,
Q106582643,work of art,Brown bottle/jar,Brown bottle/jar,,,
Q103297859,ceramics,Brown ceramic bottle with hole on side,Brown ceramic bottle,,,hole on side
Q106582644,ceramics,Brown ceramic bottle,Brown ceramic bottle,,,
Q102962796,ceramics,Brown ceramic pitcher,Brown ceramic pitcher,,,
Q106582645,ceramics,Brown ceramic pitcher,Brown ceramic pitcher,,,
Q106582646,work of art,Brown glass art object,Brown glass art object,,,
Q102962805,ceramics,Brown Glazed Pottery Pitcher,Brown Glazed Pottery Pitcher,,,
Q106582647,ceramics,Brown jug,Brown jug,,,
Q102962810,ceramics,Brown one handled pottery pot,Brown one handled pottery pot,,,
Q102962815,ceramics,Brown pot with rim,Brown pot,,,rim
Q102962823,ceramics,Brown Pottery Bowl,Brown Pottery Bowl,,,
Q102962829,ceramics,Brown Pottery Pitcher,Brown Pottery Pitcher,,,
Q103297873,ceramics,Brownish-green cup,Brownish-green cup,,,
Q105095960,work of art,"Brush holder with eight cloud bracket feet, carved and pierced in deep bas-relief scenes",Brush holder,,,"eight cloud bracket feet, carved and pierced in deep bas-relief scenes"
Q103297881,ceramics,"Brush holder, Northern oil-spot glaze","Brush holder, Northern oil-spot glaze",,,
Q102962840,ceramics,Brush washer with a design in blue underglaze of abstract patterns,Brush washer,,in blue underglaze of abstract patterns,
Q102962844,work of art,"Brush washer with design of snail, cicada, peaches, and leaves",Brush washer,,"of snail, cicada, peaches, and leaves",
Q102962850,ceramics,Brush washer with marble pattern in brown and beige,Brush washer,,,marble pattern in brown and beige
Q102962834,work of art,Brush washer in the design of a dragon with the bowl portion in the shape of a peach with an incised design on the bottom of a fish and moon,Brush washer in the design of a dragon with the bowl portion,a peach with an incised design on the bottom of a fish and moon,,
Q102962856,ceramics,Brush-washer,Brush-washer,,,
Q103297892,sculpture,Buddha on a dais,Buddha on a dais,,,
Q103297898,sculpture,Buddha seated in lotus position,Buddha seated in lotus position,,,
Q103297906,sculpture,Buddha seated on a dais,Buddha seated on a dais,,,
Q103297912,sculpture,Buddha seated on lotus dais,Buddha seated on lotus dais,,,
Q103297918,work of art,"Buddha wearing a plain monastic robe, in painted headdress, seated in dhyanasana position, hands in dhyana, seated on lotus base","Buddha wearing a plain monastic robe, in painted headdress, seated in dhyanasana position, hands in dhyana, seated on lotus base",,,
Q102962863,work of art,Buddhist bell,Buddhist bell,,,
Q103297924,sculpture,Buddhist Medal with a Seated Figure Reading a Scroll,Buddhist Medal,,,a Seated Figure Reading a Scroll
Q102962868,sculpture,Buddhist shrine with gold lacquer,Buddhist shrine,,,gold lacquer
Q103297938,ceramics,Buff Pot with Rim,Buff Pot,,,Rim
Q102962876,ceramics,Bulbous vase with black animal motif,Bulbous vase,,,black animal motif
Q105091684,sculpture,Bust of a Woman,Bust of a Woman,,,
Q105091685,sculpture,Bust of a Young Black Man,Bust of a Young Black Man,,,
Q106568499,sculpture,Bust of Molière,Bust of Molière,,,
Q103297990,ceramics,Bust of Robert Burns,Bust of Robert Burns,,,
Q102962896,ceramics,Butter Pot,Butter Pot,,,
Q103297996,sculpture,"Butti, carved magical figure with cloth torso filled with pebbles","Butti, carved magical figure",,,cloth torso filled with pebbles
Q94827808,coin,Byzantine coin,Byzantine coin,,,
Q105091686,sculpture,C. Audrey Smith (Character Actor),C. Audrey Smith (Character Actor),,,
Q105096000,work of art,Cabinet door from the Imperial Palace in Beijing with a design of Imperial Dragons,Cabinet door from the Imperial Palace in Beijing,,of Imperial Dragons,
Q102962914,ceramics,Cake dish with a design in blue under glaze of fish and seaweed,Cake dish,,in blue under glaze of fish and seaweed,
Q102962934,work of art,Candle stick,Candle stick,,,
Q103298071,work of art,Candle stick in the shape of a ladder with one (musician) figure on the ladder near the top and two figures at the base,Candle stick,a ladder with one (musician) figure on the ladder near the top and two figures at the base,,
Q103298077,work of art,Candleholder,Candleholder,,,
Q102962978,work of art,"Card game counter device for European game with a design of pheasant and wisteria,  birds and insects",Card game counter device for European game,,"of pheasant and wisteria,  birds and insects",
Q102962984,work of art,"Card game counter device for European game with a design of trailing vine, birds and insects",Card game counter device for European game,,"of trailing vine, birds and insects",
Q102963004,work of art,Carpenter's plumb line,Carpenter's plumb line,,,
Q102963012,work of art,Carved Architectural Detail in the Shape of a Phoenix,Carved Architectural Detail,a Phoenix,,
Q104031004,work of art,Carved Architectural Detail in the Shape of a Dragon,Carved Architectural Detail,a Dragon,,
Q104031007,work of art,Carved Architectural Detail in the Shape of a Dragon,Carved Architectural Detail,a Dragon,,
Q103298103,sculpture,Carved bone in the shape of a claw,Carved bone,a claw,,
Q102963018,work of art,Carved box with lid,Carved box,,,lid
Q102963026,work of art,Carved Container with a Ceremonial Tea Scoop,Carved Container,,,a Ceremonial Tea Scoop
Q103298110,sculpture,Carved figure,Carved figure,,,
Q104031010,sculpture,Carved figure with bird beak design,Carved figure,,,bird beak design
Q104031012,sculpture,Carved figure with bird beak design,Carved figure,,,bird beak design
Q104031014,sculpture,Carved figure with bowl on head,Carved figure,,,bowl on head
Q104031018,sculpture,Carved figure with bowl on head,Carved figure,,,bowl on head
Q103298116,sculpture,Carved figure of a four-legged animal,Carved figure of a four-legged animal,,,
Q104031020,sculpture,Carved funerary figure,Carved funerary figure,,,
Q104031022,sculpture,Carved funerary figure,Carved funerary figure,,,
Q103298122,sculpture,Carved human head,Carved human head,,,
Q103298129,sculpture,Carved magical figure with pointed headdress,Carved magical figure,,,pointed headdress
Q102963031,work of art,Carved ochre-colored bowl with a design of birds and flowers,Carved ochre-colored bowl,,of birds and flowers,
Q102963038,sculpture,Carved rhinoceros horn with a design of plants and Mandarin ducks,Carved rhinoceros horn,,of plants and Mandarin ducks,
Q106582649,work of art,Carved white jade disc or pendant with a rosewood stand,Carved white jade disc or pendant,,,a rosewood stand
Q106568501,container,Carved wooden bowl,Carved wooden bowl,,,
Q103298135,sculpture,Carving of a Chinese landscape,Carving of a Chinese landscape,,,
Q103298145,ceramics,Cashibo two-headed pottery vessel,Cashibo two-headed pottery vessel,,,
Q102963052,furniture,Cassone with Mannerist Design Elements,Cassone,,,Mannerist Design Elements
Q102963048,furniture,Cassone from the Colonna family,Cassone from the Colonna family,,,
Q102963058,work of art,Cast iron wine server with simulated ray skin texture,Cast iron wine server,,,simulated ray skin texture
Q94824558,sculpture,Cat,Cat,,,
Q102963120,ceramics,Celadon ware dish with a molded design of spiral and cherry blossoms,Celadon ware dish,,,a molded design of spiral and cherry blossoms
