,accession_number,locale,description,qid,label_en,ratio,partial_ratio,prop,category,type,title
33,2001.027,en,sat. mar. 25 12th & porter     mraval cd release  with kim's fable 10p.m. $5cover ,Q103307914,"sat. mar. 25 - 12th & porter , gravel cd release with kim's fable",82,91,0.901,,poster,"Sat. Mar. 25 - 12th & Porter , Gravel CD Release with Kim's Fable"
34,2001.048,en,live! withe tim jum wik ers all star western swing band do coope ,Q105091934,live! the time jumpers - all star western swing band,82,87,0.943,,poster,Live! The Time Jumpers - All Star Western Swing Band
35,2001.015,en,the sizzling happy family new new cd ... and oh how they danced!!! on sale now ,Q105092214,"the sizzling happy family new cd, and oh how they danced!",82,86,0.953,,poster,"The Sizzling Happy Family New CD, And oh how they danced!"
36,2015.075.37,en,trusted partners use condoms to prevent hiv and unwanted pregnancies they know that everyone is at risk and they cannot take chances condom european commission be a trusted partner use condom each time you have sex o lates ministry of health marie stopes kenya jiokoe,Q106567731,trusted partners use condoms to prevent hiv and unwanted pregnancies. they know that everyone is at risk and they cannot take chances. be a trusted partner. use condom each time you have sex.,82,86,0.953,,poster,Trusted partners use Condoms to prevent HIV and unwanted Pregnancies. They know that everyone is at risk and they cannot take chances. Be a trusted partner. Use Condom each time you have sex.
37,2000.029,en,f 67 mile ford **** in person ,Q105091568,7 mile ford in person,82,76,1.079,,poster,7 Mile Ford in Person
38,2001.117,en,ugar hack featuring loriann feeley f jeff beasley f appearing at ,Q105092137,sugar shack featuring loriann feeley and jeff beasley,81,91,0.89,,poster,Sugar Shack featuring Loriann Feeley and Jeff Beasley
39,2001.034,en,"who's the man? pro john ""the arm"" smoltz al ""the toe"" del greco",Q105092356,"who's the man pro golf challenge round 1, john ""the arm"" smoltz vs. al ""the toe"" del greco",81,79,1.025,,poster,"Who's the Man PRO Golf Challenge Round 1, John ""The Arm"" Smoltz vs. Al ""The Toe"" Del Greco"
40,1975.034,en,bond ara a group of auriculas.,Q103296464,a group of auriculas,80,100,0.8,,print,A Group of Auriculas
41,1980.018,en,"""silestone rising و در",Q102971507,silverstone rising,80,89,0.899,,print,Silverstone Rising
42,2001.023,en,"ood merle haggard march 28 ** 8:00 pm. **** embassy centre fort wayne, in ",Q105091969,"merle haggard - march 28, embassy centre, fort wayne, in",80,70,1.143,,poster,"Merle Haggard - March 28, Embassy Centre, Fort Wayne, IN"
43,2001.025,en,you've done it in the shower you've done it in the car now do it on stage sing!! brought to you by: music city spotlight *mobile dj/karaoke* ka now appearing: sing-dance-have a good time! call 615.400.3797 ,Q105092369,"you've done it in the shower, you've done it in the car, now do it on stage -sing! brought to you by: music city spotlight mobile dj/karaoke",79,98,0.806,,poster,"You've done it in the shower, You've done it in the car, Now do it on stage -Sing! Brought to you by: Music City Spotlight Mobile DJ/Karaoke"
44,2015.075.36,en,do not let embarrassment prevent you from seeking prompt sti treatment remember that a number of stis are related to hiv protect your health and that of your loved ones visit your nearest health facility and request for sti and hiv tests european union combon ministry of public health and sanitation và khôn j reproduct teemarie stopes jiokoe kenya health car,Q106566725,do not let embarrassment prevent you from seeking prompt sti treatment. remember that a number of stis are related to hiv. protect your health and that of your loved ones. visit your nearest health facility and request for sti and hiv tests.,79,98,0.806,,print,Do not let embarrassment prevent you from seeking prompt STI treatment. Remember that a number of STIs are related to HIV. Protect your health and that of your loved ones. Visit your nearest health facility and request for STI and HIV tests.
45,2016.005.18,en,rights | writes rites 9 7 8,Q105095880,"rights, writes, rites",79,90,0.878,,poster,"Rights, Writes, Rites"
46,2001.011,en,ferguson's blue et because brushing & flossing just aren't enough 35 www.fergusonsblue.com ,Q105091786,"ferguson's blue ""because brushing and flossing just aren't enough""",78,92,0.848,,poster,"Ferguson's Blue ""Because Brushing and Flossing Just Aren't Enough"""
47,2017.001.061,en,for your file fritz eichenberg,Q102971272,"self portrait ""for your file. fritz eichenberg"" ",77,97,0.794,,print,"Self portrait ""For Your File. Fritz Eichenberg"" (2 copies)"
48,2001.146,en,*the****** americana music assoc ,Q105092157,the american music association,76,77,0.987,,poster,The American Music Association
49,2005.011,en,spice up your life with spices,Q105092112,spice up your life,75,100,0.75,,poster,Spice up your Life
50,2000.088,en,hus kris kristofferson merle haggard mon. oct.25 8pm have ny ,Q105091891,"kris kristofferson & merle haggard, oct 25, ",74,86,0.86,,poster,"Kris Kristofferson & Merle Haggard, Oct 25, Hatch Show Print Poster"
51,2001.008,en,"something to crow about my coming soon direct from mobile, al the honky-tonk rockabilly sound of the modern eldorados appearing at: 194 ",Q105092109,something to crow about - the honky-tonk rockabilly sound of the modern eldorados,74,81,0.914,,poster,Something to Crow About - The Honky-Tonk Rockabilly Sound of the Modern Eldorados
52,2001.079,en,bomber records presents dispatch who are we living for? ,Q105091671,bomber records presents dispatch,73,100,0.73,,poster,Bomber Records Presents Dispatch
53,2001.020,en,coming soon red meat 627 inea bo ✰✰✰✰✰ high cholesterol honky tonk ************* ,Q105091707,"coming soon - red meat, high cholesterol honky tonk",73,67,1.09,,poster,"Coming Soon - Red Meat, High Cholesterol Honky Tonk"
54,2001.080,en,bomber records presents dispatch 1 119 dispatchmusic.com ,Q105091670,bomber records presents dispatch,72,100,0.72,,poster,Bomber Records Presents Dispatch
55,2000.069,en,indienet rock show the ¡cked arleys fair verona menlo park the carter administration saturday aug.28-8pm all ages 1707 church st 321-0882 s 5 ,Q105091873,"indienet rock show, the wicked farleys fair verona menlo park, the carter administration",72,94,0.766,,poster,"Indienet Rock Show, The Wicked Farleys Fair Verona Menlo Park, The Carter Administration"
56,2001.153,en,in person bili kirchen udwar and too much fun featuring johnny & jack appearing at: ,Q105091653,bill kirchen and too much full featuring johnny and jack,71,86,0.826,,poster,BIll Kirchen and Too Much Full Featuring Johnny and Jack
57,2000.056,en,eospa ## ww see sunday dinner a week before it's sunday dinner! aug.19-29 1999 kentucky state far everybody's state fac ,Q103308222,"see sunday dinner a week before it's sunday dinner! aug 19-29, 1999",70,97,0.722,,poster,"See Sunday Dinner a Week Before It's Sunday Dinner! Aug 19-29, 1999"
58,2004.050,en,hulflower,Q103297548,blue flower,70,78,0.897,,print,Blue Flower
59,2015.075.49,en,umoja maendeleo yawanawake-organisation(mywo) hiv/aids project ya maendeleo wanawake minifu a happy family takes control of aid tambien ble ni stal carnicion howe this is what to expect if you let aids take control over your family project sponserd by national aids control council (nacc),Q106566944,maendeleo yawanawake organisation  hiv/aids project a happy family takes control of aids this is what to expect if you let aids take control over your family,70,76,0.921,,poster,Maendeleo Yawanawake Organisation (MYWO) HIV/AIDS Project A happy family takes control of AIDS This is what to expect if you let AIDS take control over your family
60,1984.039,en,the great scree & choir av 25700,Q103309782,"the great screen and choir, burgos",70,72,0.972,,print,"The Great Screen and Choir, Burgos"
61,1979.0697P,en,"girl drying her hair bruce curie, 1966",Q103300541,girl drying her hair,69,100,0.69,,print,Girl Drying her Hair
62,2001.094,en,erguson's blue with doc. green $23 fri. apr. magic bean ,Q105091787,ferguson's blue with doc. green,69,97,0.711,,poster,Ferguson's Blue with Doc. Green
63,2001.150,en,***broken bow recording artist elbert west friday june 15 riverstage at raverfront park ,Q105091758,"elbert west, june 15, riverstage at riverfront park",69,84,0.821,,poster,"Elbert West, June 15, Riverstage at Riverfront Park"
64,2000.019,en,appearing live br5-49 with special guest  smilin'  biff henderson ,Q105091614,"appearing live  br5-49, biff henderson",69,68,1.015,,poster,"Appearing Live  BR5-49, Biff Henderson"
65,2001.045,en,jamup & honey are on a cd! c-1999 hatoh show print,Q102966613,jamup & honey are on a cd,67,100,0.67,,poster,Jamup & Honey are on a CD
66,2005.005,en,دارا g look up,Q105091935,look up,67,100,0.67,,poster,Look Up
67,2000.123,en,relay records presents bob delevante porchlight recorda release party* dec3-99 -10:00- 12* & porter with special guests only 8 bucks copyright 1999 ,Q103307470,"relay records presents bob delevante, porchlight record release party, dec. 3 99",67,94,0.713,,poster,"Relay Records Presents Bob Delevante, Porchlight Record Release Party, Dec. 3 99"
68,2001.042,en,elect roy acuff governor tuesday nov 2 c 1999 ,Q103299557,elect roy acuff - governor,67,92,0.728,,poster,Elect Roy Acuff - Governor
69,1995.029,en,"our good earth ...keep it ours buy war bonds ""make every market day bond day""",Q103306178,"our good earth-keep it ours, buy war bonds",67,90,0.744,,poster,"Our Good Earth-Keep It Ours, Buy War Bonds"
70,1989.047,en,wwum spirits watch ទ 00,Q102973129,spirits watching,67,81,0.827,,print,Spirits Watching
71,2016.005.04,en,"washington, dc 00:00 aa ap tele taxation ✰ without representation quinul commencent отракий",Q105092346,"washington, dc; taxation without representation",67,72,0.931,,poster,"Washington, DC; Taxation Without Representation"
72,1994.001,en,"the disappearance of the freedom of expression (anne melia rapise, what were rou thinking) stb.",Q105092172,the disappearance of the freedom of expression ,66,100,0.66,,poster,"The Disappearance of the Freedom of Expression (Anne Imelda Radice, What Were You Thinking)"
73,2000.064,en,oct.-feb.2000 first national tour lost highway the music and legend of hank williams jason petty live! in persony on staget a troupe america production * starring ,Q105091791,"first national tour lost highway, the music and legend of hank williams, jason petty",66,98,0.673,,poster,"First National Tour Lost Highway, The Music and Legend of Hank Williams, Jason Petty"
74,2001.090,en,gaylord entertainment presents  the team member  talent s+h+o+w nov.22 6:30pm grand ole opry house on stage in person ,Q105091825,gaylord entertainment presents the team member talent show,66,95,0.695,,poster,Gaylord Entertainment Presents the Team Member Talent Show
75,1990.012,en,"little boatyard, , venice sataam lionel banymore.",Q102968202,"little boatyard, venice ",66,92,0.717,,print,"Little Boatyard, Venice (copy)"
76,2001.051,en, sletem'eatò nashville pussy and 长长长 inbred cousins * **** syrup h-teh show print-nacholle tn dfi ,Q105091927,let em' eat nashville pussy and their inbred cousins - syrup,66,83,0.795,,poster,Let em' Eat Nashville Pussy And their Inbred Cousins - Syrup
77,1964.008,en,kirkland hall vanderbilt left vitfassan,Q105091767,"entrance, kirkland hall, vanderbilt university",66,75,0.88,,print,"Entrance, Kirkland Hall, Vanderbilt University"
78,2000.024,en,"lat rebels & outlaws music from the wild side of life featuring wanda jackson ""riot in cell block no. 9 hank thompson ""cocaine blues"" rebels: johnny cash ""folsom prison blues"" and more! original k",Q105092066,"rebels and outlaws music from the wild side of life, wanda jackson, hank thompson, johnny cash, faron young, and merle haggard",66,66,1,,poster,"Rebels and Outlaws Music from the wild side of life, Wanda Jackson, Hank Thompson, Johnny Cash, Faron Young, and Merle Haggard"
79,2000.073,en,the dixie flyer presents the * 8 annual hank williams sr. birthday celebration ********* featuring ********* greghisky  and his dixie whisky boys *  * poh cafe 1532 madison ,Q105092155,"the 8th annual hank williams sr. bithday celebration, greg hisky and his dixie whisky boys",66,66,1,,poster,"The 8th Annual Hank Williams Sr. Bithday Celebration, Greg Hisky and His Dixie Whisky Boys"
80,2001.043,en,thanks! **for a great season! ******* tennessee 1999 【 002 ,Q103309519,"thanks for a great season, tennessee titans - afc champions",66,66,1,,poster,"Thanks for a Great Season, Tennessee Titans - AFC Champions"
81,1970.014,en,the trails 3 job- 196.5 42,Q106577454,the trials of job,65,82,0.793,,print,The Trials of Job
82,2001.046,en,appearing at the ryman it t 0000 0001000 2000 0000- ✶ a fund raising reception  for nashville's next mayor bill purcell tuesday june 28 9 9 9 1 ryman auditorium 5:30-7:30 copyright 1000 ,Q103297004,appearing at the ryman - a fund raising reception for nashville's next mayor bill purcell,65,78,0.833,,poster,Appearing at the Ryman - A Fund Raising Reception for Nashville's Next Mayor Bill Purcell
83,1979.1189P,en,clyde beatty - cole circus nashville fair grounds auspices: breakfast optimist club afternoon and night saturday. oct.,Q104031917,"clyde beatty - cole bros. circus; nashville fair grounds-saturday, oct. 8",65,77,0.844,,poster,"Clyde Beatty - Cole Bros. Circus; Nashville Fair Grounds-Saturday, Oct. 8"
84,1979.1190P,en,clyde beatty - cole circus nashville fair grounds auspices: breakfast optimist club afternoon and night saturday. oct.,Q104031918,"clyde beatty - cole bros. circus; nashville fair grounds-saturday, oct. 8",65,77,0.844,,poster,"Clyde Beatty - Cole Bros. Circus; Nashville Fair Grounds-Saturday, Oct. 8"
85,1979.1191P,en,clyde beatty - cole circus nashville fair grounds auspices: breakfast optimist club afternoon and night saturday. oct.,Q104031919,"clyde beatty - cole bros. circus; nashville fair grounds-saturday, oct. 8",65,77,0.844,,poster,"Clyde Beatty - Cole Bros. Circus; Nashville Fair Grounds-Saturday, Oct. 8"
86,1979.1194P,en,clyde beatty - cole circus nashville fair grounds auspices: breakfast optimist club afternoon and night saturday. oct.,Q104031922,"clyde beatty - cole bros. circus; nashville fair grounds-saturday, oct. 8",65,77,0.844,,poster,"Clyde Beatty - Cole Bros. Circus; Nashville Fair Grounds-Saturday, Oct. 8"
87,2000.078,en,*here & now cousin lovers *here & now your therefore experience therefore recordings ,Q105092169,"the cousin lovers, your therefore experience",65,73,0.89,,poster,"The Cousin Lovers, Your Therefore Experience"
88,2001.064,en,"u in show only ladysmith black mambazo south african supergroup known for paul simon's ""graceland"" sun sept lv 17 2 p.m. for tickets call 895-arts 2787* 141 artemus ham hall ",Q105091897,"ladysmith black mambazo, south african supergroup known for paul simon's ""graceland""",64,99,0.646,,poster,"Ladysmith Black Mambazo, South African Supergroup Known for Paul Simon's ""Graceland"""
89,2001.056,en,"*the**** grand ole opry welcomes ralph stanley january 15,2000 on to become a legend in ",Q103309776,the grand ole opry welcomes ralph stanley,64,93,0.688,,poster,The Grand Ole Opry welcomes Ralph Stanley
90,2017.001.032,en,pencils sach,Q103306465,"pencils, 5 cents",64,75,0.853,,print,"Pencils, 5 Cents"
91,2001.033,en,"blucbird cafc presents rounds *bros with ellen the ***** britton *special guest walter egan magnet & steel"" sunday march 12 6:30 p.m. ",Q105091664,"bluebird cafe presents the rounds bros. with ellen britton, sunday march 12",64,73,0.877,,poster,"Bluebird Cafe Presents The Rounds Bros. with Ellen Britton, Sunday March 12"
92,1982.094,en,would not say no to some help 20 jenny & les 1981 معا,Q102977358,"would not say no to some help, from the revolutions per minute ",64,68,0.941,,poster,"Would Not Say No to Some Help, from the Revolutions Per Minute (The Art Record)"
93,1986.012,en,30-4 fish hawk or osprey me alartes. mate,Q103299983,fish hawk or osprey,63,100,0.63,,print,Fish Hawk or Osprey
94,2001.147,en,flying saucer steve boyd's writers orbit in thursdays at 9:00 pm behind union station ,Q105092175,"the flying saucer, steve boyd's writers in orbit",63,83,0.759,,poster,"The Flying Saucer, Steve Boyd's Writers in Orbit"
95,1979.1193P,en,clyde bros. beatty - cole circus nashville fair grounds auspices: breakfast optimist club afternoon and night saturday. oct.,Q104031921,"clyde beatty - cole bros. circus; nashville fair grounds-saturday, oct. 8",63,73,0.863,,poster,"Clyde Beatty - Cole Bros. Circus; Nashville Fair Grounds-Saturday, Oct. 8"
96,2000.052,en,the gabe & amy show hatoh snow print - syn,Q105092177,the gabe & amy show,62,100,0.62,,poster,The Gabe & Amy Show
97,1990.011,en,quiet waters. dried bangerne.,Q102970189,quiet waters ,62,92,0.674,,print,Quiet Waters (reproduction)
98,2001.184,en,21111 if you have the jones for some primal tones then take a trip to 1946 a classic bluegrass experience e wednesday july milto the station inn ,Q103296392,"1946 a classic bluegrass experience, wednesday, july 21 the station inn",62,90,0.689,,poster,"1946 A Classic Bluegrass Experience, Wednesday, July 21 The Station Inn"
99,1979.1192P,en,clyde beatty - cole circus nashville fair grounds auspices: breakfast optimist club afternoon and night saturday. ост.,Q104031920,"clyde beatty - cole bros. circus; nashville fair grounds-saturday, oct. 8",62,77,0.805,,poster,"Clyde Beatty - Cole Bros. Circus; Nashville Fair Grounds-Saturday, Oct. 8"
100,2015.075.27,en,"ministry of livestock and fisheries development aids brings death to family farms who is left to do the farming? nutrition, labour, farm power, income, is much more than antiretrovirals needed our commitments to prevent hiv-aids are as vigorous as ever.",Q103305288,ministry of livestock and fisheries development aids brings death to family farms. who is left to do the farming,61,99,0.616,,poster,Ministry of Livestock and Fisheries Development AIDS brings death to family farms. Who is left to do the farming
101,2015.075.38,en,200 ngo aids consortium with path using a condom means that you really care usaid/fhi/aidscap,Q103311869,using a condom means that you really care.,61,98,0.622,,poster,Using a condom means that you really care.
102,1979.0062,en,"s knock knock reproduced from ""knock phock"" 1961 of lichtun",Q103307515,"reproduced from ""knock, knock""",61,90,0.678,,print,"Reproduced from ""Knock, knock"""
103,2001.037,en,"saving the music benefit concert asm acrony a wrest produced by ace entertainment, inc. f hal ketchum kathy mattea, leeroy parnele- randy scruggs, the wooten brothers, and more! apra. po naga the wednesday, at march 1. ryman 2000 auditorium. 7.30 nashville p.m. tennesse ring t ",Q105092085,"saving the music benefit concert - featuring hal ketchum, kathy mattea, leeroy parnell, randy scruggs, the wooten brothers, and more",61,78,0.782,,poster,"Saving the Music Benefit Concert - Featuring Hal Ketchum, Kathy Mattea, Leeroy Parnell, Randy Scruggs, The Wooten Brothers, and more"
104,1979.0178,en,pas 23.25 i hide my free by the lord. wift 35,Q103301362,i hide my face before the lord,61,77,0.792,,print,I Hide My Face Before the Lord
105,1991.025,en,african daisy robert mapplethorpe,Q102961514,african daisy ,60,100,0.6,,print,African Daisy (reproduction)
106,2004.047,en,all the light of a half mile walk,Q102965929,half mile walk,60,100,0.6,,poster,Half Mile Walk
107,2001.022,en,be a good neighbor check out john hartford live from mountain stage blue plate music  bpm-401 mountain stage is produced by west virginia public radio and can be heard nationwide on public radio international. ,Q105091644,"be a good neighbor-check out john hartford live from mountain stage, blue plate music - bpm-401",60,97,0.619,,poster,"Be A Good Neighbor-Check Out John Hartford Live from Mountain Stage, Blue Plate Music - BPM-401"
108,2016.009,en,"     1  celebrating the 50 th anniversary of the father ryan vs. pearl game the game that changed the south father ryan pearl-cohn vs. jan 5,2015-6:00 pm municipal auditorium nashville tennessee tickets $5 s10$25      2014 ",Q105091692,"celebrating the 50th anniversary of the father ryan vs. pearl high game, the game that changed the south",60,94,0.638,,poster,"Celebrating the 50th Anniversary of the Father Ryan vs. Pearl High Game, the Game that Changed the South"
109,2000.100,en,jesse lee jones and brazilbilly live ,Q105091878,jesse lee jones and brazil billy - traditional country music with a latin flair,60,89,0.674,,poster,Jesse Lee Jones and Brazil Billy - Traditional Country Music with a Latin Flair
110,2000.028,en,don't miss rubido in person @ —— on stage the klub corner of 2nd & broadway -- free ,Q105091745,don't miss rubido in person on stage,60,86,0.698,,poster,Don't Miss Rubido in person on stage
111,2000.063,en,live! on stage! in person! i national tour ✰✰✰✰✰  lost highway the music & legend of hank williams ✰✰✰✰✰✰✰ starring jason petty oct.-feb. 2000 a troupe america production *** ,Q105091563,"1st national tour lost highway, the music & legend of hank williams, jason petty",60,80,0.75,,poster,"1st National Tour Lost Highway, The Music & Legend of Hank Williams, Jason Petty"
112,2000.047,en,chip taylor the london sessions featuring: john platania on guitar (van morrison bonnie raitt) be bootleg tour train wreck records k,Q105091697,"chip taylor the london sessions, john platania, bootleg + tour",60,79,0.759,,poster,"Chip Taylor The London Sessions, John Platania, Bootleg + Tour"
113,2000.080,en,*christmas party no.5 featuring little red redhots and the **** sat dec 11th 8pm 479 crane blvd. los angeles ,Q105091700,"christmas party  no.5, little red, red hots, dec 11th, ",60,78,0.769,,poster,"Christmas Party  No.5, Little Red, Red Hots, Dec 11th, Hatch Show Print Poster"
114,2016.013.2,en,strollin,Q102974782,the stroller,60,75,0.8,,print,The Stroller
115,2017.001.062,en,fritz eichenberg 1952 the christ of the breadlines 1950 feichenberg,Q102305506,the christ of the breadlines,59,100,0.59,,print,The Christ of the Breadlines
116,2001.024,en,"one show only mr. & mrs. robert p. walsh request the honor of your presence at the wedding of their daughter mp marriage bridget margaret lage to timothy h. abaree on the maha 24th june 2000 one p.m. sharp at our lady of guadalupe church denver, colorado ",Q106566966,one show only - mr. & mrs. robert p. walsh request the honor of your presence at the wedding of their daughter,59,98,0.602,,poster,One Show Only - Mr. & Mrs. Robert P. Walsh request the honor of your presence at the wedding of their daughter
117,2000.101,en,widespread panic first american ist 21 twenty n  music widespread panic w/the dirty dozen brass band ,Q105092358,widespread panic - first american music center july 21st,59,71,0.831,,poster,Widespread Panic - First American Music Center July 21st
118,2000.090,en,vassar lements tek and the little big band ✰✰✰✰* with special guest ***** green genes lynagh's friday no nov. ✰✰✰✰✰✰ for ticket info 255-6614 ,Q105092333,"vassar clements and the little big band, lynagh's - friday nov. 5",59,68,0.868,,poster,"Vassar Clements and the Little Big Band, Lynagh's - Friday Nov. 5"
119,1979.1188P,en,clyde -cole circus nashville fair grounds auspices: breakfast optimist club afternoon and night bros. saturday oct. 8,Q104031916,"clyde beatty - cole bros. circus; nashville fair grounds-saturday, oct. 8",59,67,0.881,,poster,"Clyde Beatty - Cole Bros. Circus; Nashville Fair Grounds-Saturday, Oct. 8"
120,2001.014,en,dance & swing to suncity center biga band m*u* s*i* c* tampa masonic center march 18 scottish rite 7:30p.m. public invited- 5500 memorial hwy. 813.886.0578 dance ► benefits childhood language disorder clinics of florida copyright 1999 ,Q103299020,"dance and swing to suncity center, big band music, benefits childhood language disorder clinics of florida",59,66,0.894,,poster,"Dance and Swing to Suncity Center, Big Band Music, Benefits Childhood Language Disorder Clinics of Florida"
121,2018.007,en,"don't blame eve fiest, t karen fnley",Q103299311,don't blame eve!,58,94,0.617,,print,Don't Blame Eve!
122,1999.166,en,save belcourt your last neighborhood theatre ph) 373-8857 e mail belcourtcinema@hotmail.com ,Q105092044,"poster for save the belcourt, your last neighborhood theatre",58,73,0.795,,poster,"Poster for Save the Belcourt, Your Last Neighborhood Theatre"
