qid,dimension,type,label
Q105091605,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q105091606,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q106577273,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q106577274,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q106577275,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q106577276,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q106577277,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q106577278,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q106577279,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q105091607,2D,artists book,An Album of Japanese Figure Drawings
Q106577282,2D,artists book,Antony and Cleopatra
Q106577284,2D,artists book,Artist's sketchbook
Q106577285,2D,artists book,Artist's sketchbook
Q106577286,2D,artists book,Artist's sketchbook with figure sketches
Q103550902,2D,artists book,Artist's sketchbook with landscape drawings
Q106577287,2D,artists book,"Artist's sketchbook with large figures and small landscapes, Volume 7"
Q103297085,2D,artists book,"Artist's sketchbook with small ink sketches of figures, animals, birds, flowers, and landscapes"
Q106566602,2D,artists book,"Assorted ephemera, October Foundation, 33 cards including Hans Waanders, Perches (and more)"
Q106577291,2D,artists book,Bankoku Jinbutsu Ezu (International Costumes or People types)
Q105091646,2D,artists book,Bechtold (Dedicated book)
Q103297290,2D,artists book,"Bechtold: Painting, Graphic, Integration (Dedicated book)"
Q102962035,2D,artists book,Being in the Moment
Q103297396,2D,artists book,Bichunokuni Ooezu (Map of Okayama Prefecture) with accordian folding pages
Q106577294,2D,artists book,Biotherm (For Bill Berkson)
Q106577298,2D,artists book,Book with accordian folds
Q102962409,2D,artists book,Bound book of unknown title with designs for transoms over fusuma (sliding interior panels)
Q103297846,2D,artists book,Brount
Q106577299,2D,artists book,Bunpo Gafu (The Album of Drawings of Bunpo)
Q106577300,2D,artists book,Bunpo Kanga (Chinese Style Drawings by Bunpo)
Q106577305,2D,artists book,Chushin Renri No Hachiue
Q106577316,2D,artists book,"Contains comic poem Ritka Tei Kofan, Volume 2 or 3"
Q102963806,2D,artists book,Corrugated (1 of 8)
Q102963816,2D,artists book,Corrugated (2 of 8)
Q102963822,2D,artists book,Corrugated (3 of 8)
Q102963828,2D,artists book,Corrugated (4 of 8)
Q102963839,2D,artists book,Corrugated (5 of 8)
Q102963848,2D,artists book,Corrugated (6 of 8)
Q102963856,2D,artists book,Corrugated (7 of 8)
Q102963866,2D,artists book,Corrugated (8 of 8)
Q103298974,2D,artists book,Culture Hero
Q102964312,2D,artists book,Die Kunst der reinen Form
Q105091746,2D,artists book,Double North
Q103299420,2D,artists book,E Furyu
Q103299428,2D,artists book,"E-hon Toshi-sen (Illustrated poems of the T'ang Dynasty), Volumes 2, 3, 4, and 5"
Q103299496,2D,artists book,Edo Miyage
Q105095976,2D,artists book,"Ehon Konrei Michi-Shirube (Guideposts to a Wedding), Last Volume in set of 2 or 3"
Q106577325,2D,artists book,"Ehon Sen Moto, Volume 3"
Q105091757,2D,artists book,Ehon Shiki Oyu
Q106577326,2D,artists book,Ehon Totoe-gusa (The Illustrated Book of Fables)
Q105095961,2D,artists book,Ehon Usuko Bai
Q103299520,2D,artists book,Ehon Yamatoi Ji (Study of Things Japanese); ten volumes
Q106577327,2D,artists book,"Ehon-Asa Murasaki (The Picture Book, Light Purple), Volume 2 of 2"
Q105095974,2D,artists book,Eihitsu Hyakugawa (One Hundred Paintings from the Brush of Hanabusa)
Q102964742,2D,artists book,Emilio Vedova: Grafica e didactica (Dedicated book)
Q104032019,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho"
Q104032020,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho"
Q104032021,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho"
Q104032022,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho"
Q104032024,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho"
Q104032026,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho"
Q104032027,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho"
Q104032028,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho"
Q104032029,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho"
Q104032030,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho"
Q104032031,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho"
Q104032032,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho"
Q104032047,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q104032048,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q104032050,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q104032051,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q104032052,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q104032053,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q104032054,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q104032055,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q104032056,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q104032058,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q104032059,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q104032060,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q104032061,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q104032062,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q104032063,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal)
Q106577334,2D,artists book,Fukaku Ayumi Hajime
Q103300321,2D,artists book,Furyu Dansen Gun
Q102965629,2D,artists book,Furyu Kyoken Shyami Sen
Q106577335,2D,artists book,Gahon Shobai Orai (Drawing Business Traffic)
Q103300340,2D,artists book,Gahon-Gitsugo-Kyo (two volumes)
Q103300435,2D,artists book,Gazo Su Chi (Monk's Robes)
Q106577336,2D,artists book,Gendei Asahi No Gunbai
Q103300527,2D,artists book,Gion Goreikai Saiki (Two volumes bound together)
Q106577337,2D,artists book,Gion Kaizu (Pictures of Ceremonial Carriages)
Q103300733,2D,artists book,Guinovart: Itinerari 1948-88 (Dedicated book)
Q106577342,2D,artists book,Hanano Edo Kabuki Nendai Ki
Q103300889,2D,artists book,"Hanna no Edo Kabuki Nendaiki (Chronicle of Edo Kabuki), Volumes 1, 2, and 3"
Q105091849,2D,artists book,Hans Waanders in search of blue
Q106577343,2D,artists book,Harikae Andon
Q102966031,2D,artists book,"Hasshu Gafu (Collection of Eight Ming Picture Albums), Volumes 5, 7 and 8"
Q103301221,2D,artists book,Historical Atlas of China with accordian style pages
Q103301237,2D,artists book,Hitsuyu
Q105095963,2D,artists book,Hyakunin Isshu
Q103301423,2D,artists book,Ikkyu Gaikotsu (The Teaching of Skeletons by Ikkyu)
Q103301640,2D,artists book,"Instructions and Examples for Creating Gardens with Miniature Hills, Vol. II (bound book)"
Q102966478,2D,artists book,Irish
Q103301689,2D,artists book,Isame Gusa (Four volumes bound together)
Q106577352,2D,artists book,Itso Hyakutai (A Hundred Figures in a Single Sweep)
Q106577354,2D,artists book,Jitpeishya Ikku Hizakurige
Q105095905,2D,artists book,Joaquim Gomis:  La Poétique de la Modernité (Dedicated book)
Q105095902,2D,artists book,"José Luis Sert: Architecture, City Planning, Urban Design (Dedicated book)"
Q105091883,2D,artists book,Josep Lluis Sert: Arquitectura y Diseño Urbano: Trabajo en Equipo (Dedicated book)
Q103301924,2D,artists book,"Kabuki Kitohajime, Volume 1"
Q106577355,2D,artists book,"Kaido Kyoka Awase (Comparision of Comic Poems on the Highway), Volume 2 of 2; illustrations for poems in Volume 1"
Q106577356,2D,artists book,"Kaigwai Jinbusto Shoden (Lives of Men of the Other Side of the Sea), five volumes"
Q103551076,2D,artists book,Karakasa (Paper Umbrella)
Q105095967,2D,artists book,Katchu Chakuyo Ben (About Armour and How to Wear It)
Q103302076,2D,artists book,"Keinen Shuga Jo (Keinen's Book of Painting Illustrations), Vol. V"
Q103302083,2D,artists book,"Keisai Ukiyo Gafu (The Book of Keisai's Popular Pictures), Volume 1 of 10"
Q102966937,2D,artists book,"Kinchakuzan Hukuzanji Ni Hiromaru Shishu, Volume 3"
Q106577360,2D,artists book,Kintoki Shutse Oogi
Q103302166,2D,artists book,Koeki Oedo Ezu
Q103302182,2D,artists book,Kojitsuke
Q106577361,2D,artists book,"Komo Zatsuwa, Volume 2"
Q106577362,2D,artists book,Kozo Shiso
Q103302200,2D,artists book,"Kunmo Zui (A Collection of Pictures for Primary Instructions), Volumes 1-3, 5-10"
Q103302218,2D,artists book,Kyaku shu Kantan Kyo
Q106577363,2D,artists book,"Kyo Warabe (Kyoto Boys), Volume 6 of 6"
Q106577364,2D,artists book,Kyochuzan (Mountains of the Heart)
Q106577365,2D,artists book,Kyoga Shu with accordion folding pages
Q103302223,2D,artists book,Kyokun Gamaku Sodachi
Q103302228,2D,artists book,Kyosai Gaden Gaihen (First Part)
Q105095909,2D,artists book,"La Bruixa Catalana: Aplec de casos de bruixeria, creences i supersticions recollits a Catalunya a l'entorn dels anys 1864 a 1915 (Dedicated book)"
Q103302329,2D,artists book,"La Passion Selon St. Jean, No. 285"
Q103304587,2D,artists book,Les Olympiques
Q104032145,2D,artists book,Llambrec Material (Material Glance)
Q104032147,2D,artists book,Llambrec Material (Material Glance)
Q104032148,2D,artists book,Llambrec Material (Material Glance)
Q104032150,2D,artists book,Llambrec Material (Material Glance)
Q104032152,2D,artists book,Llambrec Material (Material Glance)
Q104032156,2D,artists book,Llambrec Material (Material Glance)
Q104032158,2D,artists book,Llambrec Material (Material Glance)
Q104032161,2D,artists book,Llambrec Material (Material Glance)
Q104032163,2D,artists book,Llambrec Material (Material Glance)
Q104032164,2D,artists book,Llambrec Material (Material Glance)
Q104032167,2D,artists book,Llambrec Material (Material Glance)
Q104032168,2D,artists book,Llambrec Material (Material Glance)
Q103304858,2D,artists book,"Mai So Ho Taizen (On Physiognomy, Eyebrows, Eyes and Noses)"
Q102968401,2D,artists book,Map of Edo
Q103305025,2D,artists book,Map of Yamashiro Prefecture (Southern part of Kyoto)
Q103305124,2D,artists book,Masu Kagami (A Manual for Young Girls)
Q103305294,2D,artists book,Miró (Dedicated book)
Q103305300,2D,artists book,"Miró: Pintures, dibuixos, collages i objectes (Dedicated book)"
Q106577375,2D,artists book,Miyako E Makan
Q106577387,2D,artists book,"Morokoshi Kinmo Zui (Illustrated Encyclopedia on China), Volumes 6 through 8 of 14 (bound together)"
Q103305608,2D,artists book,"Mukashi (Ehon) Monogatari, Volume 1"
Q106577392,2D,artists book,"Nihon Mohitsu Gacho (Nippon Paintbrush Picture Album), Volume 1"
Q103305869,2D,artists book,Nijushi-Ko Zue (Pictorial Accounts of the Four Examples of Filial Piety)
Q103305879,2D,artists book,"Ninso Mizukagami Shu (On Physiognomy), Volumes 1,2 and 3"
Q105095770,2D,artists book,"October Foundation, Galerie Lydie Rekow, Crest, France"
Q105095767,2D,artists book,"October Foundation, Galerie Stadtpark, Krems, Austria"
Q103306088,2D,artists book,Ocular Proofs
Q106577398,2D,artists book,"Ogura Hyakushu Ruidai Hanashi (stories with the poems of Hyakunin Isshu taken as the titles), Volume 2 of 3"
Q106577400,2D,artists book,"Oranda Sanbutsu Ko, Volumes 2 and 3"
Q105095965,2D,artists book,"Osana Etoki Bankoku Banashi, Volume 1"
Q106577401,2D,artists book,Oson Gafu (Album of Pictures by Oson)
Q105095959,2D,artists book,Pictures of Kabuki Actors
Q106577413,2D,artists book,Red Bird
Q105095970,2D,artists book,Ryuko Meibutsu Shi (Noted Products of the Willow Street)
Q106577419,2D,artists book,Saiken
Q103307871,2D,artists book,Sankai Meisan Zue (Illustration of the Noted Products of Land & Sea)
Q105092083,2D,artists book,Sanno Shinki (Views of Mt. Fuji)
Q106577421,2D,artists book,"Sayo Arashi, Volume 6"
Q106577422,2D,artists book,"Sayoarashi, Volume 10"
Q106577424,2D,artists book,Shibai Nendaiki
Q106577425,2D,artists book,Shichifukujin Daisuten (Seven Gods of Good Fortune)
Q103308345,2D,artists book,Shikatake Sasaimon Koden Mukashi
Q103308359,2D,artists book,Shin Mizudori Ki
Q106577426,2D,artists book,Shin Ryakuga (sketch)
Q103308368,2D,artists book,"Shinbai Kinmo Zui (The Illustrated Encyclopedia of the Theatre), Volumes 2,3 and 5 (Books 3,4,5, 7 and 8)"
Q103308386,2D,artists book,"Shinji Ando (Festival of Lanterns), Volume 4 of 5"
Q103308391,2D,artists book,Shinji Ando (Shohen) (Festival of Lanterns); first in series of five
Q106577427,2D,artists book,Shinzo E Ruiko (Ukiyo E Ruiko)
Q102971440,2D,artists book,Shinzo Ukiyo E Ruiko
Q106577428,2D,artists book,Sho Shiki Gakan (Writing Instructions )
Q103308426,2D,artists book,Shokuni Gakyo Utaawase
Q106577429,2D,artists book,Sketches of Animals
Q106577431,2D,artists book,"Soga Kamakura Hikyaku, Volume 5"
Q105092108,2D,artists book,Soken Ryakuga (Sketches by Soken)
Q105092114,2D,artists book,"Spleen (After Baudelaire):  A New Translation of Baudelaire's Poem, and Seven Photographs"
Q103309379,2D,artists book,Taieki Temjin Ki
Q103309425,2D,artists book,"Teito Gakei Ichiran (Choice Sights of the Capitol), four volumes"
Q106577443,2D,artists book,Tenkoki
Q103309607,2D,artists book,The Camera Never Lies
Q106577447,2D,artists book,The Death of Hector
Q103309660,2D,artists book,The Elastic Membrane
Q102974279,2D,artists book,The Jolly Corner
Q102974286,2D,artists book,"The Jolly Corner, Chapter 1, plate I"
Q102974293,2D,artists book,"The Jolly Corner, Chapter 1, plate II"
Q102974302,2D,artists book,"The Jolly Corner, Chapter 1, plate III"
Q102974311,2D,artists book,"The Jolly Corner, Chapter 1, plate IV"
Q102974323,2D,artists book,"The Jolly Corner, Chapter 1, plate V"
Q102974331,2D,artists book,"The Jolly Corner, Chapter 1, plate VI"
Q102974343,2D,artists book,"The Jolly Corner, Chapter 1, plate VII"
Q102974352,2D,artists book,"The Jolly Corner, Chapter 2, plate I"
Q102974359,2D,artists book,"The Jolly Corner, Chapter 2, plate II"
Q102974367,2D,artists book,"The Jolly Corner, Chapter 2, plate III"
Q102974374,2D,artists book,"The Jolly Corner, Chapter 2, plate IV"
Q102974379,2D,artists book,"The Jolly Corner, Chapter 2, plate V"
Q102974385,2D,artists book,"The Jolly Corner, Chapter 2, plate VI"
Q102974391,2D,artists book,"The Jolly Corner, Chapter 2, plate VII"
Q102974398,2D,artists book,"The Jolly Corner, Chapter 3, plate I"
Q102974404,2D,artists book,"The Jolly Corner, Chapter 3, plate II"
Q102974412,2D,artists book,"The Jolly Corner, Chapter 3, plate III"
Q102974417,2D,artists book,"The Jolly Corner, Chapter 3, plate IV"
Q102974426,2D,artists book,"The Jolly Corner, Chapter 3, plate V"
Q102974433,2D,artists book,"The Jolly Corner, Chapter 3, plate VI"
Q102974444,2D,artists book,"The Jolly Corner, Chapter 3, plate VII"
Q102974587,2D,artists book,The Mountains of Holland
Q102974710,2D,artists book,The Rebel-Albert Camus: Twenty-five Typographic Meditations
Q102974728,2D,artists book,The Revenge of Sumo Wrestlers
Q103310104,2D,artists book,"The Road is Wider Than Long: An Image Diary from the Balkans July-August 1938 A Series of Surrealist Poetry, edited by E.L.T. Mesens (Dedicated book)"
Q106577457,2D,artists book,Title unknown (subject is about Korean people)
Q103310449,2D,artists book,"Tobae Akubi-dome (Caricatures to Prevent Yawning), Volumes 1 and 3"
Q105095978,2D,artists book,Tobae Ogi no Mato (The Target of the Fan); three volumes
Q103310456,2D,artists book,"Tobae Sangokushi (Caricatures of the Three Cities), three volumes"
Q102975250,2D,artists book,Tokai Setsayo Hyakuka Cho
Q102975267,2D,artists book,Tokudaiji Family Lineage
Q106577460,2D,artists book,Torii Ga Keifu (Family Tree of Torii School)
Q106577461,2D,artists book,Toto Nijushi-ko (The Twenty-Four Chinese Paragons of Filial Piety)
Q105095778,2D,artists book,Travaux Publics (Public Works). An exhibition catalogue with essays by Luk Lambrecht and Tjeu Teeuwen
Q102975530,2D,artists book,Twenty Drawings
Q102975692,2D,artists book,Ukiyo E Ruiko
Q106577465,2D,artists book,Ukiyo E Ruiko
Q106577466,2D,artists book,Ukiyo E Ruiko
Q103310854,2D,artists book,Ukiyo E Shi Fu
Q102975700,2D,artists book,Ukiyo Shizuki (Floating World Drips)
Q106577468,2D,artists book,Unknown
Q105095957,2D,artists book,Untitled
Q106577505,2D,artists book,"Yesan Tokonoyama (Tokonoyama, The Poetical Expression of Pictures), Volume 2 of 5"
Q103312552,2D,artists book,"Yodogawa Ryogan Shokei Zue (Pictures of Celebrated Views Along the Banks of the Yodo River), Volume 2"
Q103312564,2D,artists book,Yokohama Kaiko Kenbunshi (Information about the opening of the Port of Yokohama)
Q106577506,2D,artists book,Yoshiwara Saiji  Ki Jiji Daiko
Q104017135,2D,artists book,Zao Wou-ki (Dedicated book)
Q105095907,2D,artists book,Zao Wou-ki (Dedicated book)
Q104033140,2D,artists book,Zao Wou-ki Monograph book by Jean Laude dedicated to Carl van der Voort
Q104033142,2D,artists book,Zao Wou-ki Monograph book by Jean Laude dedicated to Carl van der Voort
Q104017137,2D,artists book,Zao Wou-ki: Les estampes 1937-1974 (Dedicated book)
Q103312693,2D,artists book,Zoho Edo Banashi (Mukashi) (Supplement to Old Tales of Edo)
Q104033143,2D,artists book,Zoho Ukiyo E Ruiko
Q104033144,2D,artists book,Zoho Ukiyo E Ruiko
Q106577507,2D,artists book,Zoho Ukiyo E Ruiko
Q103312698,2D,artists book,Zoto Hyakunin Isshu
Q103304554,2D,document,Leaf from Italian Book of Hours
Q103296515,2D,drawing,A Plantation Dance
Q103296564,2D,drawing,A Small Statement for the Propagation of the Grotesque in the Medium
Q103296603,2D,drawing,"A Young Roman in the Costume of a Ciociarian, sitting on a stone bench"
Q102961480,2D,drawing,"Abraham and Isaac, after a ceiling design by Titian in the Santa Maria della Salute Church, Venice"
Q103296642,2D,drawing,Adoration of the Magi
Q103296674,2D,drawing,"Albertus, Last Duke of Brabant"
Q103297218,2D,drawing,Barn Owl in Flight
Q104030993,2D,drawing,Buddhist Celestial Being
Q104030995,2D,drawing,Buddhist Celestial Being
Q106577301,2D,drawing,Butterfly and Clematis Blossom (photo reproduction shikishi)
Q102962907,2D,drawing,"Cain and Abel, after a ceiling design by Titian in the Santa Maria della Salute Church, Venice"
Q102962917,2D,drawing,Calligraphy
Q103550958,2D,drawing,Calligraphy in printed pocket folder
Q103298032,2D,drawing,"Calligraphy, empty case for shikishi"
Q105091689,2D,drawing,"Canal Scene, Venice (The Grand Canal)"
Q103298090,2D,drawing,Cardinal Point
Q102963087,2D,drawing,"Cat Looking Up, Facing Left"
Q102963306,2D,drawing,Christ Preaching
Q103298575,2D,drawing,Classical Woman's Head
Q106577314,2D,drawing,Collage-crumpled paper
Q103298942,2D,drawing,Crone with Walking Stick
Q102964076,2D,drawing,Daruma (Sanskrit: Bodhidharma)
Q102964101,2D,drawing,Death of Absalom
Q103299147,2D,drawing,Deep Grief is Silent (Tiefes Leid ist Stumm)
Q102964204,2D,drawing,Design with calligraphy and floral motif
Q102964254,2D,drawing,"Devil Head; Sketch for ""Devil Says Hello #1"""
Q105091749,2D,drawing,"Drawing 176 (2,500 Black on White Direct 50 Dot Gauge)"
Q105091751,2D,drawing,Drawing 309
Q103299351,2D,drawing,"Drawing of a boy on obverse, and heads on reverse"
Q106577323,2D,drawing,Dwarf with Crutch
Q102964735,2D,drawing,Elegant Lovers
Q105091768,2D,drawing,Erasure List
Q102964866,2D,drawing,"Face; Sketch for ""Devil Says Hello #2"""
Q102964875,2D,drawing,Fading Light I
Q102964880,2D,drawing,Fading Light II
Q102965055,2D,drawing,Figure Studies
Q104031981,2D,drawing,Figure Studies from the Artist's Cornwall Sketchbook
Q104031982,2D,drawing,Figure Studies from the Artist's Cornwall Sketchbook
Q103300003,2D,drawing,Fishbird-Birdfish
Q102965329,2D,drawing,Four Studies of a Draped Torso
Q103300586,2D,drawing,Girl with Long Hair and Bangs [Portrait of Anais]
Q103300706,2D,drawing,Great Horned Owl
Q103300878,2D,drawing,Hands
Q103300953,2D,drawing,Head I
Q103300961,2D,drawing,Head II
Q103301153,2D,drawing,Hexe
Q106577349,2D,drawing,Illuminated leaf from a Book of Hours:  St. Margaret and the Dragon
Q102966383,2D,drawing,Ink Rubbing from a Temple  (Two Apsaras in a Landscape)
Q102966388,2D,drawing,Ink Rubbing of Reliefs from the Offering Shrine of Wu Liang
Q103301625,2D,drawing,Ink Rubbing of Two Columns of Chinese Characters
Q103301777,2D,drawing,Japanese Sutra
Q104013550,2D,drawing,Jazz Greats
Q103301889,2D,drawing,Juggler
Q105091898,2D,drawing,"Lafayette, Alabama"
Q103302357,2D,drawing,Landscape
Q102967830,2D,drawing,Landscape with Figures in Boat
Q103304515,2D,drawing,Le Puy
Q102968153,2D,drawing,Light Grove
Q105091941,2D,drawing,Lot and His Daughters
Q102968331,2D,drawing,Male figure riding in a chariot
Q102968346,2D,drawing,Man fighting with a demon
Q102968384,2D,drawing,Man seated on a platform with three figures below
Q105091962,2D,drawing,Masculine
Q102968501,2D,drawing,Mechanical Wolf
Q102968526,2D,drawing,Mercado #1
Q106577390,2D,drawing,Mu (Nothingness)
Q103305797,2D,drawing,Neville Chamberlain
Q105096077,2D,drawing,"New Year's Greeting, Year of the Boar"
Q105096074,2D,drawing,"New Year's Greeting, Year of the Dog"
Q105096070,2D,drawing,"New Year's Greeting, Year of the Goat"
Q105096106,2D,drawing,"New Year's Greeting, Year of the Monkey"
Q106577391,2D,drawing,"New Year's Greeting, Year of the Ox"
Q105096084,2D,drawing,"New Year's Greeting, Year of the Rabbit"
Q105096093,2D,drawing,"New Year's Greeting, Year of the Rooster"
Q105096087,2D,drawing,"New Year's Greeting, Year of the Snake"
Q102969107,2D,drawing,Nu Couche
Q103306060,2D,drawing,Obese Man on Cart
Q105091999,2D,drawing,On the Good Side
Q103306196,2D,drawing,Owl
Q103306218,2D,drawing,Page from a Latin Bible with Miniature of King David and Psalm 36:37-40 through Psalm 39:1-7
Q103306336,2D,drawing,"Park Avenue, NYC"
Q103306836,2D,drawing,Portrait
Q105095762,2D,drawing,Portrait
Q103306857,2D,drawing,Portrait of a Gentleman in Profile
Q103306985,2D,drawing,Portrait of a Young Woman in Profile
Q103307134,2D,drawing,Portrait of Samuel Stephens Jr.
Q103307158,2D,drawing,Portrait Study (The Artist's Wife)
Q103307170,2D,drawing,"Portrait, To Miss Webb"
Q102970045,2D,drawing,Primping
Q105096108,2D,drawing,Rabbit drawing on fan
Q103307484,2D,drawing,Relief rubbing
Q104017126,2D,drawing,Rex Morgan Comic Strip
Q103307663,2D,drawing,Rose Bud I
Q103307667,2D,drawing,Rose Bud II
Q103307725,2D,drawing,Rubbing of a Knight (reproduction)
Q102970627,2D,drawing,"Rubbing of stone relief showing a battle on a bridge, from the Wu Family Shrines, Shandong province"
Q102970665,2D,drawing,Rustic Lovers
Q103307811,2D,drawing,Saint Sebastian
Q105092082,2D,drawing,"Salem, Mass."
Q102971199,2D,drawing,Seated Female Figure
Q103308065,2D,drawing,Seated Grotesque Figure
Q103308238,2D,drawing,Self Portrait of the Artist Sculpting a Bust of James Frazer
Q103308244,2D,drawing,Self-Portrait
Q103308252,2D,drawing,Self-Portrait
Q103308259,2D,drawing,Self-portrait of the artist
Q105096041,2D,drawing,September Field
Q102971410,2D,drawing,Shikishi cardboard square with calligraphy reading Haman (Herman Doochin)
Q106568685,2D,drawing,Six panel Japanese screen
Q103308605,2D,drawing,"Sketch for ""Devil Says Hello #3"""
Q102971569,2D,drawing,"Sketch for ""Devil Says Hello #4"""
Q103308608,2D,drawing,"Sketch for ""Devil Says Hello #5"""
Q103308613,2D,drawing,"Sketch for ""Devil Says Hello #7"""
Q103308621,2D,drawing,"Sketch for ""Devil Says Hello #8"""
Q103308625,2D,drawing,"Sketch for ""Devil Says Hello #9"""
Q102971576,2D,drawing,Skull and Cape
Q103308742,2D,drawing,Squatting Dwarf
Q102973245,2D,drawing,"St. Matthew, after a ceiling design by Titian in the Santa Maria della Salute Church, Venice"
Q103308863,2D,drawing,Stabbed Pig
Q103308978,2D,drawing,Standing Nude
Q103309114,2D,drawing,Stooped Jester
Q102973563,2D,drawing,Studie 382
Q103309171,2D,drawing,Study
Q103309178,2D,drawing,"Study for ""Devil Says Hello #6"""
Q103309184,2D,drawing,"Study for ""Empty Room"""
Q102973577,2D,drawing,Study for Recess #1
Q103309216,2D,drawing,Study for the Devil Says Hello No. 2
Q102973588,2D,drawing,"Study sketch for the painting, Christ's Entry Into Jerusalem"
Q103309257,2D,drawing,"Successful Businessman Dozing, #38 from the series ""Têtes"""
