RecordNumber,dimension,DateUpdated,DateCreated,LocationCountry,MaterialMedium,Description,Language,RelScriptureChapter,CopyrightStatement,BibliographyLink,StaffNotes,DateCreation,RelScriptureBook,LectionaryLink,CopyrightStatus,RelICANumber,RelScripture,SubjectBuildingName,ImageLink,Unit,Title,part_of,SubjectLC,RelScriptureVerse,Subject,Institution,ImageAvailable,ObjectFunction,CreatorArtist,SubjectName,LocationCreationSite,LocationState,Collection,IconClassNumber,OriginalLocation,BCAD,SortDate,LectionaryRank,CopyrightPermission
53870,3D,2022-06-19 15:46:18.0,2008-03-19 20:11:56.0,France,Stone,"Temptation of Christ <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,CLent01,,,Luke 4:1-13,"Saint-Lazare (Cathedral : Autun, France)",Autun01,,"Temptation of Christ, Cathedral of St. Lazare, Autun, France",Q611944,,||||,Temptation of Christ,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,10,Creative Commons BY-SA 4.0
53871,3D,2022-06-19 15:45:53.0,2008-03-19 20:12:32.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun02,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53872,3D,2022-06-19 15:45:31.0,2008-03-19 20:12:49.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun03,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53873,3D,2022-06-19 15:45:18.0,2008-03-19 20:13:34.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun04,,"Annunciation to Mary, Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53874,3D,2022-06-19 15:45:05.0,2008-03-19 20:13:51.0,France,Stone,"Annunciation to Mary <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,BAdvt04,,,Luke 1:26-38,"Saint-Lazare (Cathedral : Autun, France)",Autun05,,"Annunciation to Mary, Cathedral of St. Lazare, Autun, France",Q611944,,||||,Annunciation to Mary,Vanderbilt University,on,Relief sculpture,,"Mary, the mother of Jesus (Biblical figure)",Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53875,3D,2022-06-19 15:44:48.0,2008-03-19 20:14:04.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun06,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53877,3D,2022-06-19 15:44:30.0,2008-03-19 20:14:29.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun07,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53878,3D,2022-06-19 15:44:14.0,2008-03-19 20:14:35.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun08,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53879,3D,2022-06-19 15:44:00.0,2008-03-19 20:14:49.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun09,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53881,3D,2022-06-19 15:43:43.0,2008-03-19 20:15:16.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun10,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53882,3D,2022-06-19 15:43:32.0,2008-03-19 20:22:05.0,France,Stone,"Annunciation to the Shepherds <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,ANatv,,,"Luke 2:(1-7), 8-20","Saint-Lazare (Cathedral : Autun, France)",Autun11,,"Annunciation to the Shepherds, Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,Annunciation to the Shepherds,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53885,3D,2022-06-19 15:43:19.0,2008-03-19 20:22:36.0,France,Stone,"Annunciation to Mary <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,BAdvt04,,,Luke 1:26-38,"Saint-Lazare (Cathedral : Autun, France)",Autun12,,"Annunciation to Mary, Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,Annunciation to Mary,Vanderbilt University,on,Relief sculpture,,"Mary, the mother of Jesus (Biblical figure)",Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53886,3D,2022-06-19 15:43:07.0,2008-03-19 20:23:04.0,France,Stone,"Birth of Jesus <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,ANatv|AAdvt04,,,"Luke 2:1-14, (15-20)|Matthew 1:18-25","Saint-Lazare (Cathedral : Autun, France)",Autun13,,"Birth of Jesus, Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,Nativity,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53887,3D,2022-06-19 15:42:53.0,2008-03-19 20:23:17.0,France,Stone,"Souls rising from the grave <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun14,,"Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,Resurrection of the Bodies,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53888,3D,2022-06-19 15:42:39.0,2008-03-19 20:23:31.0,France,Stone,"Souls rising from the grave <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun15,,"Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,Resurrection of the Bodies,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53889,3D,2022-06-19 15:42:27.0,2008-03-19 20:23:50.0,France,Stone,"Souls rising from the dead <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun16,,"Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,Resurrection of the Bodies,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53890,3D,2022-06-19 15:42:06.0,2008-03-19 20:24:03.0,France,Stone,"Souls rising from the dead <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun17,,"Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,Resurrection of the Bodies,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53891,3D,2022-06-19 15:41:54.0,2008-03-19 20:24:16.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun18,,"Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53892,3D,2022-06-19 15:41:40.0,2008-03-19 20:24:27.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun19,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53893,3D,2022-06-19 15:41:27.0,2008-03-19 20:24:38.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun20,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53894,3D,2022-06-19 15:41:01.0,2008-03-19 20:24:51.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun21,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53897,3D,2022-06-19 15:40:42.0,2008-03-19 20:32:40.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun27,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53898,3D,2022-06-19 15:40:30.0,2008-03-19 20:32:45.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun26,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53899,3D,2022-06-19 15:40:18.0,2008-03-19 20:32:50.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun25,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53900,3D,2022-06-19 15:40:06.0,2008-03-19 20:32:55.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun24,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53901,3D,2022-06-19 15:39:49.0,2008-03-19 20:32:59.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun26,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53902,3D,2022-06-19 15:39:36.0,2008-03-19 20:33:04.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun28,,"Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53903,3D,2022-06-19 15:39:24.0,2008-03-19 20:33:08.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun29,,"Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53904,3D,2022-06-19 15:39:11.0,2008-03-19 20:33:12.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun31,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53905,3D,2022-06-19 15:38:58.0,2008-03-19 20:33:16.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun32,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53906,3D,2022-06-19 15:38:46.0,2008-03-19 20:33:20.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun33,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53907,3D,2022-06-19 15:38:32.0,2008-03-19 20:33:24.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun30,,"Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53908,3D,2022-06-19 15:36:36.0,2008-03-19 20:33:27.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun34,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53909,3D,2022-06-19 15:36:13.0,2008-03-19 20:33:31.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun35,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53910,3D,2022-06-19 15:35:58.0,2008-03-19 20:38:04.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun36,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53911,3D,2022-06-19 15:35:43.0,2008-03-19 20:38:08.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun37,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
53912,3D,2022-06-19 15:35:27.0,2008-03-19 20:38:13.0,France,Stone,"<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1130,||||,,,,,"Saint-Lazare (Cathedral : Autun, France)",Autun38,,"Cathedral of St. Lazare, Autun, France -- Relief sculpture",Q611944,,||||,,Vanderbilt University,on,Relief sculpture,,,Autun,,Art in the Christian Tradition,,,2,1130,999,Creative Commons BY-SA 4.0
