RecordNumber,dimension,DateUpdated,DateCreated,LocationCountry,MaterialMedium,Description,Language,RelScriptureChapter,CopyrightStatement,BibliographyLink,StaffNotes,DateCreation,RelScriptureBook,LectionaryLink,CopyrightStatus,RelICANumber,RelScripture,SubjectBuildingName,ImageLink,Unit,Title,part_of,SubjectLC,RelScriptureVerse,Subject,Institution,ImageAvailable,ObjectFunction,CreatorArtist,SubjectName,LocationCreationSite,LocationState,Collection,IconClassNumber,OriginalLocation,BCAD,SortDate,LectionaryRank,CopyrightPermission
26271,3D,2022-06-17 13:47:15.0,2002-03-21 00:00:00.0,France,,"Third and fourth registers from bottom of the stained glass window known as ""Notre Dame de la Belle Verriere"" (or ""The Blue Virgin"").  The lower one depicts the wedding in Cana. <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1180,||||,CEpip02,Educational Use Permitted,"44 C48 CND W02,017",John 2:1-11,Cathédrale de Chartres,28,,"Chartres Cathedral; Jesus Christ; ""Notre Dame de la Belle Verriere"" window, south-east interior",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Marriage at Cana,Vanderbilt University,on,,,,Chartres,,Art in the Christian Tradition,73C611,,2,1180,999,Creative Commons BY-SA 4.0
26272,3D,2022-06-17 13:47:46.0,2002-03-21 00:00:00.0,France,,"Bottom three registers of the stained glass window known as ""Notre Dame de la Belle Verriere"" (or ""The Blue Virgin"").  The uppermost one depicts the wedding in Cana, and the bottom one the temptation in the wilderness.<p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1180,||||,CEpip02|ALent01,Educational Use Permitted,"44 C48 CND W02,017",John 2:1-11|Matthew 4:1-11,Cathédrale de Chartres,29,,"Chartres Cathedral; Jesus Christ; ""Notre Dame de la Belle Verriere"" window, south-east interior",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Temptation of Christ|Marriage at Cana,Vanderbilt University,on,,,,Chartres,,Art in the Christian Tradition,73C611|73C2,,2,1180,999,Creative Commons BY-SA 4.0
26273,3D,2022-06-17 13:48:10.0,2002-03-21 00:00:00.0,France,,"Bottom two registers of the stained glass window known as ""Notre Dame de la Belle Verriere"" (or ""The Blue Virgin"").  The bottom one depicts the temptation in the wilderness.<p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1180,||||,CEpip02|ALent01,Educational Use Permitted,"44 C48 CND W02,017",John 2:1-11|Matthew 4:1-11,Cathédrale de Chartres,30,,"Chartres Cathedral; Jesus Christ; ""Notre Dame de la Belle Verriere"" window, south-east interior",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Temptation of Christ|Marriage at Cana,Vanderbilt University,on,,,,Chartres,,Art in the Christian Tradition,73C2,,2,1180,999,Creative Commons BY-SA 4.0
26281,3D,2022-06-17 13:48:53.0,2002-03-21 00:00:00.0,France,,"Detail of  archivolts of Ascension (left portal, west facade), depicting labors of months:  April (- Allegory of Spring - man wearing garland of flowers and holding branches of blossoming tree), May (hunter with falcon on wrist holding horse by bridle), June (man mowing hay with scythe), July (man wearing cap cutting grass with sickle), August (man untying sheaves) and September (men treading grapes in vat), accompanied by signs of zodiac, Aries (Ram), Taurus (Bull), Cancer (Crab) and Leo (Lion). <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1145,||||,,Educational Use Permitted,"20 C48 CND 14W,001 B2",,Cathédrale de Chartres,38,,"Chartres Cathedral; zodiac signs and labors of months; archivolts, left portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Zodiac|Labors of the months,Vanderbilt University,on,,,,Chartres,,Art in the Christian Tradition,23O|23K,,2,,999,Creative Commons BY-SA 4.0
26282,3D,2022-06-17 13:49:36.0,2002-03-21 00:00:00.0,France,,"Portal of Ascension of Christ (left portal, west facade). Jesus Christ, apostles, angels, zodiac signs, labors of months.  Voussoirs of archivolts depict signs of zodiac and accompanying labors of months. On tympanum, Christ ascends on cloud flanked by two angels.  On lintel, angels descend on seated apostles.  The theme of this doorway is more complex than just ""ascension."" [Villette, pg. 55] <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,122,,1145,||||,AAscn|BAscn|CAscn,Educational Use Permitted,"20 C48 CND 14W,001 B1",Acts 1:1-11,Cathédrale de Chartres,39,,"Chartres Cathedral; Ascension of Christ; left portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Ascension of Christ,Vanderbilt University,on,,,,Chartres,,Art in the Christian Tradition,73E421,,2,1145,100,Creative Commons BY-SA 4.0
26283,3D,2022-06-17 13:49:57.0,2002-03-21 00:00:00.0,France,Stone,"Ascension portal (left portal, west facade): detail of tympanum and lintel depicting Christ's ascension, flanked by two angels (tympanum), and angels descending on apostles (lintel).  Although called the ascension portal, the full implications of the subjects depicted are theologically complex. [Villette, pg. 55] <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,122,,1145,||||,AAscn|BAscn|CAscn,Educational Use Permitted,"20 C48 CND 14W,001 B1",Acts 1:1-11,Cathédrale de Chartres,40,,"Chartres Cathedral; Christ, angels, apostles; left portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Ascension of Christ|Angels,Vanderbilt University,on,Relief sculpture,,Angels (Biblical figures),Chartres,,Art in the Christian Tradition,7.3E+043,,2,1145,15,Creative Commons BY-SA 4.0
26284,3D,2022-06-17 13:50:19.0,2002-03-21 00:00:00.0,France,,"Left jamb figures of central portal, west facade. From left, a queen, a Jew, and Isaiah? [Villette, pg. 65-66] <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,122,,1145,||||,,Educational Use Permitted,"20 C48 CND 14W,002 C",,Cathédrale de Chartres,41,,"Chartres Cathedral; queen, Jew, Isaiah; left embrasure jamb figures, center portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,,Vanderbilt University,on,,,Isaiah (Biblical figure),Chartres,,Art in the Christian Tradition,11I62(ISAIAH),,2,,999,Creative Commons BY-SA 4.0
26285,3D,2022-06-17 13:51:24.0,2002-03-21 00:00:00.0,France,,"Left jamb figures of left portal (portal of Ascension), west facade.  From left: Sarah?, Abraham?, Hagar?  Identity is undetermined, as is the iconography of the statues on which they stand.  [Villette, pg. 63-64] <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,122,,1145,||||,,Educational Use Permitted,"20 C48 CND 14W,002 C",,Cathédrale de Chartres,42,,"Chartres Cathedral; Sarah, Abraham, Hagar; jamb figures, left embrasure, left portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,,Vanderbilt University,on,,,Sarah (Biblical figure) |Hagar (Biblical figure) |Abraham (Biblical figure),Chartres,,Art in the Christian Tradition,11I63(SARAH)|11I62(ABRAHAM)|11I63(HAGAR)|11I62(ADAM & EVE),,2,,999,Creative Commons BY-SA 4.0
26286,3D,2022-06-17 13:51:48.0,2002-03-21 00:00:00.0,France,Stone,"View of ""Royal Portal"", Christ in Majesty. [Villette, pg. 29-36] <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,122,,1145,||||,,Educational Use Permitted,"20 C48 CND 14W,001 A1",,Cathédrale de Chartres,43,,"Chartres Cathedral; Christ in Majesty; central portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Christ in Majesty,Vanderbilt University,on,Relief sculpture,,,Chartres,,Art in the Christian Tradition,11U1|11I42,,2,1145,999,Creative Commons BY-SA 4.0
26288,3D,2022-06-17 13:52:40.0,2002-03-21 00:00:00.0,France,Stone,"Tympanum and lintel of central portal, west facade. Christ in Majesty surrounded by symbols of four Evangelists (four animals.)  The lion represents Mark, the ox represents Luke, the man represents Matthew, and the eagle represents John.  Voussoirs of archivolts depict angels, 24 crowned ancients/musicians of the Apocalypse.  The Apostles, Elijah and Enoch are carved on lintel. [Villette, pg. 29-36] <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,122,,1145,||||,,Educational Use Permitted,"20 C48 CND 14W,001 A1",Revelation 4:1-11,Cathédrale de Chartres,45,,"Chartres Cathedral; Christ, four Evangelists; tympanum and lintel, central portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Four Evangelists|Apostles,Vanderbilt University,on,Relief sculpture,,,Chartres,,Art in the Christian Tradition,11U1|11I42,,2,1145,999,Creative Commons BY-SA 4.0
26290,3D,2022-06-17 13:53:34.0,2002-03-21 00:00:00.0,France,,"Tympanum and lintel of Portal of Mary, the mother of Jesus (right portal, west facade).  Mary holding the infant Christ is depicted on tympanum. In the middle is the presentation in the Temple (Simeon and Anna recognize the infant Messiah).  Bottom depicts annunciation to Mary, visitation of Elizabeth, Nativity, and angels' annunciation to shepherds.Third Sunday in Advent, Year A:This image is of the Annunciation and Visitation, and it specifically connects with the lectionary reading of the Magnificat in Luke. <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,"Ambrose, Expositio Evangel?secundum Lucam",1145,||||,ANatv|AVis|BXmas01|BAdvt04,Educational Use Permitted,"20 C48 CND 14W,001 C1","Luke 2:(1-7), 8-20|Luke 1:39-57|Luke 2:22-40|Luke 1:26-38",Cathédrale de Chartres,47,,"Chartres Cathedral; Mary holding infant Christ, Presentation in the Temple, Annunciation, Visitation, and Nativity; tympanum and lintels, right portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Annunciation to Mary|Annunciation to the Shepherds|Nativity|Visitation|Presentation of Jesus at the Temple,Vanderbilt University,on,,,"Mary, the mother of Jesus (Biblical figure)",Chartres,,Art in the Christian Tradition,11F42|73B4|73A5|73A6|73B1,,2,,999,Creative Commons BY-SA 4.0
26291,3D,2022-06-17 13:54:09.0,2002-03-21 00:00:00.0,France,,"Mary Portal, right portal west facade, representing Seat of Wisdom (Sedes Sapientiae) and the Liberal Arts. <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1145,||||,CTrin|AXmas02,Educational Use Permitted,"20 C48 CND 14W,001 C1","Proverbs 8:1-4, 22-31",Cathédrale de Chartres,48,,"Chartres Cathedral; Seat of Wisdom, Liberal Arts; right portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Liberal Arts|Wisdom,Vanderbilt University,on,,,"Mary, the mother of Jesus (Biblical figure)",Chartres,,Art in the Christian Tradition,52A51|49C1,,2,,999,Creative Commons BY-SA 4.0
26292,3D,2022-06-17 13:54:29.0,2002-03-21 00:00:00.0,France,,"Outside archivolt from the top: Grammar and Priscian or Donatus.  Inside archivolt from the top: angel, Music, Pythagoras.  Martianus Capella, Satiricon (de septem disciplinis), was first to personify liberal arts as women (5th c.) [NW] <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1145,||||,,Educational Use Permitted,"20 C48 CND 14W,001 C2-C3",,Cathédrale de Chartres,49,,"Chartres Cathedral; Liberal Arts and Ancients; archivolts, right portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Liberal Arts|Grammar|Music,Vanderbilt University,on,,,"Donatus, Aelius, 4th century |Priscian, grammarian, ca.500 |Pythagoras, ca.570-495 BC",Chartres,,Art in the Christian Tradition,49C111|49C124|98B(PYTHAGORAS),,2,1145,999,Creative Commons BY-SA 4.0
26293,3D,2022-06-17 13:54:50.0,2002-03-21 00:00:00.0,France,,"Tympanum of Royal portal (central portal, west facade), Christ in glory flanked by symbols of four Evangelists (partial view). [Villette, pg. 29-31] <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,122,Top part of this slide is black,1145,||||,,Educational Use Permitted,"20 C48 CND 14W,001 A1",,Cathédrale de Chartres,50,,"Chartres Cathedral; Christ in Majesty; tympanum, central portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Christ in Majesty,Vanderbilt University,on,,,Jesus Christ (Biblical figure),Chartres,,Art in the Christian Tradition,11U1|11I42,,2,1145,100,Creative Commons BY-SA 4.0
26294,3D,2022-06-17 13:55:15.0,2002-03-21 00:00:00.0,France,,"Jamb figures identified from left to right: a prophet (Samuel?), David, Queen of Sheba, Solomon.  [Villette, pg. 66-67] <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,122,,1145,||||,,Educational Use Permitted,"20 C48 CND 14W,002 C",,Cathédrale de Chartres,51,,"Chartres Cathedral; Samuel, David, Queen of Sheba, Solomon; right embrasure jamb figures, central portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,,Vanderbilt University,on,,,"Samuel (Biblical figure) |David, King of Israel (Biblical figure) |Solomon, King of Israel (Biblical figure) |Queen of Sheba (Biblical figure)",Chartres,,Art in the Christian Tradition,11I62(DAVID)|11I63(SHEBA)|11I62(SOLOMON),,2,,999,Creative Commons BY-SA 4.0
26295,3D,2022-06-17 13:55:34.0,2002-03-21 00:00:00.0,France,,"Capital decoration of the life of Christ, from right to left: visitation, nativity, announcement to the shepherds, Magi before Herod, horses of the Magi, Adoration of the Magi. <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1145,||||,ANatv|AEpDy,Educational Use Permitted,"20 C48 CND 14W,002 B1-B9","Luke 2:(1-7), 8-20|Matthew 2:1-12",Cathédrale de Chartres,52,,"Chartres Cathedral; Life of Christ; capital decoration, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Adoration of the Magi|Annunciation to the Shepherds,Vanderbilt University,on,,,,Chartres,,Art in the Christian Tradition,73A6|73B13|73B14|73B53|73B57,,2,,999,Creative Commons BY-SA 4.0
26296,3D,2022-06-17 13:57:22.0,2002-03-21 00:00:00.0,France,Stone,"Right archivolts of Mary portal (right portal, west facade).  On voussoirs of archivolt 1 (outer), from top down, Astronomy and Ptolemy. <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,"Martianus Capella, Satiricon (de septem disciplinis), was first to personify liberal arts as women (5th c.) [NW]",1145,||||,,Educational Use Permitted,"20 C48 CND 14W,001 C3",,Cathédrale de Chartres,53,,"Chartres Cathedral; Astronomy and Ptolemy; right archivolts, right portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Astronomy|Liberal Arts,Vanderbilt University,on,Relief sculpture,,"Ptolemy, the Gnostic, 2nd century",Chartres,,Art in the Christian Tradition,49C123,,2,1145,999,Creative Commons BY-SA 4.0
26297,3D,2022-06-17 13:57:44.0,2002-03-21 00:00:00.0,France,Stone,"On voussoirs of archivolt 1 (outer), from top down, Cicero and Rhetoric. <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,122,"Martianus Capella, Satiricon (de septem disciplinis), was first to personify liberal arts as women (5th c.) [NW]",1145,||||,,Educational Use Permitted,"20 C48 CND 14W,001 C3",,Cathédrale de Chartres,54,,"Chartres Cathedral; Cicero and Rhetoric; left archivolts, right portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Liberal Arts|Rhetoric,Vanderbilt University,on,Relief sculpture,,"Cicero, Marcus Tullius, 106-43 BC",Chartres,,Art in the Christian Tradition,98B(CICERO)|49C113,,2,1145,999,Creative Commons BY-SA 4.0
26298,3D,2022-06-17 13:58:05.0,2002-03-21 00:00:00.0,France,,"Detail of carving between two west facade figures, small human and animal figures, vegetation, unidentified. [Villette, pg. 103] <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,122,,1145,||||,,Educational Use Permitted,"20 C48 CND 14W,002 C",,Cathédrale de Chartres,55,,"Chartres Cathedral; unidentified human and animal figures with vegetation; colonnette on left embrasure, right portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Plants|Animals|Human figures,Vanderbilt University,on,,,,Chartres,,Art in the Christian Tradition,,,2,,999,Creative Commons BY-SA 4.0
26299,3D,2022-06-17 13:58:53.0,2002-03-21 00:00:00.0,France,,"Tympanum and archivolts of right portal, west facade.  On tympanum, seated virgin holding infant Christ. <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1145,||||,,Educational Use Permitted,"20 C48 CND 14w,001 C1/C3",,Cathédrale de Chartres,56,,"Chartres Cathedral; Virgin Mary, infant Christ; tympanum, right portal, west facade",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,,Vanderbilt University,on,,,"Mary, the mother of Jesus (Biblical figure) |Jesus Christ (Biblical figure)",Chartres,,Art in the Christian Tradition,11F42,,2,,999,Creative Commons BY-SA 4.0
