RecordNumber,dimension,DateUpdated,DateCreated,LocationCountry,MaterialMedium,Description,Language,RelScriptureChapter,CopyrightStatement,BibliographyLink,StaffNotes,DateCreation,RelScriptureBook,LectionaryLink,CopyrightStatus,RelICANumber,RelScripture,SubjectBuildingName,ImageLink,Unit,Title,part_of,SubjectLC,RelScriptureVerse,Subject,Institution,ImageAvailable,ObjectFunction,CreatorArtist,SubjectName,LocationCreationSite,LocationState,Collection,IconClassNumber,OriginalLocation,BCAD,SortDate,LectionaryRank,CopyrightPermission
42410,2D,2022-06-20 19:13:18.0,2004-10-27 00:00:00.0,France,Other,"Located in apse <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,103,,1135-1140,||||,APass|BPass|CPass,Educational Use Permitted,"31 V6647 Ch05, 001 A2",Luke 23:1-49,"Saint-Martin (Church : Nohant-Vicq, France)",958,,Christ before Herod Antipas,Q2315620,"Christian art and symbolism -- France -- Nohant-Vic -- Medieval, 500-1500",||||,,Vanderbilt University,on,,,"Herod Antipas, tetrarch of Galilee, ca.20 BC-40 AD |Jesus Christ (Biblical figure)",Nohant-Vic,,Art in the Christian Tradition,73 D324,,2,1140,999,Creative Commons BY-SA 4.0
42425,2D,2022-06-20 19:16:49.0,2004-10-28 00:00:00.0,France,Other,"Located on transverse wall, west (nave) face <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,103,,1135-1140,||||,AEpDy,Educational Use Permitted,"31 V6647 Ch05, 001A|Vic:Church",Matthew 2:1-12,"Saint-Martin (Church : Nohant-Vicq, France)",934,,Journey and Adoration of the Magi,Q2315620,"Christian art and symbolism -- France -- Nohant-Vic -- Medieval, 500-1500",||||,Adoration of the Magi|Journey,Vanderbilt University,on,,,,Nohant-Vic,,Art in the Christian Tradition,73B57,,2,1140,999,Creative Commons BY-SA 4.0
27242,3D,2022-06-19 17:22:34.0,2002-08-01 00:00:00.0,France,,"<p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,Identification needed,1155,||||,ANYDy,Educational Use Permitted,,Matthew 25:31-46,Cathédrale de Laon,183,,"Laon; left jamb figures of the south portal, west facade (Last Judgment Portal)",Q585947,"Christian art and symbolism -- France -- Laon -- Medieval, 500-1500",||||,Last Judgment,Vanderbilt University,on,,,,Laon,,Art in the Christian Tradition,11U1 ; 73C841,,2,,999,Creative Commons BY-SA 4.0
27214,3D,2022-06-19 17:15:28.0,2002-08-01 00:00:00.0,France,,"The figures depict the Presentation in the Temple: from left to right, Joseph, Virgin Mary holding the infant Jesus, and Zechariah. <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1155,||||,BXmas01,Educational Use Permitted,,Luke 2:22-40,Cathédrale de Laon,156,,"Laon; Presentation in the Temple, Virgin Mary, Jesus Christ; right embrasure figures of the north portal, west facade (Nativity Portal)",Q585947,"Christian art and symbolism -- France -- Laon -- Medieval, 500-1500",||||,Presentation of Jesus at the Temple,Vanderbilt University,on,,,,Laon,,Art in the Christian Tradition,73B4,,2,,999,Creative Commons BY-SA 4.0
27243,3D,2022-06-19 17:22:47.0,2002-08-01 00:00:00.0,France,,"<p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,identification needed,1155,||||,ANYDy,Educational Use Permitted,,Matthew 25:31-46,Cathédrale de Laon,184,,"Laon; right jamb figures of the south portal, west facade (Last Judgment Portal)",Q585947,"Christian art and symbolism -- France -- Laon -- Medieval, 500-1500",||||,Last Judgment,Vanderbilt University,on,,,,Laon,,Art in the Christian Tradition,11U1 ; 73C841,,2,,999,Creative Commons BY-SA 4.0
29326,3D,2022-06-19 18:15:36.0,2003-04-26 00:00:00.0,France,Stone,"West facade, central portal, tympanum. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1220-1240,||||,ANYDy,Educational Use Permitted,"20 A51 CND 14W,001 A2-A3",Matthew 25:31-46,Cathédrale d'Amiens,1300,,Last Judgment,Q106934,"Christian art and symbolism -- France -- Amiens -- Medieval, 500-1500",||||,Last Judgment,Vanderbilt University,on,Relief sculpture,,,Amiens,,Art in the Christian Tradition,11U11,,2,1220,999,Creative Commons BY-SA 4.0
29443,3D,2022-06-20 18:54:45.0,2003-04-29 00:00:00.0,France,Stone,"West facade, central portal, tympanum. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1220-1240,||||,ANYDy,Educational Use Permitted,"20 A51 CND 14W,001 A2-A3",Matthew 25:31-46,Cathédrale d'Amiens,1421,,Last Judgment,Q106934,"Christian art and symbolism -- France -- Amiens -- Medieval, 500-1500",||||,Last Judgment,Vanderbilt University,on,Relief sculpture,,,Amiens,,Art in the Christian Tradition,11U11,,2,1220,999,Creative Commons BY-SA 4.0
29448,3D,2022-06-20 18:56:06.0,2003-04-29 00:00:00.0,France,Stone,"West facade, central portal, tympanum. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1220-1240,||||,ANYDy,Educational Use Permitted,"20 A51 CND 14W,001 A2-A3",Matthew 25:31-46,Cathédrale d'Amiens,1424,,Last Judgment,Q106934,"Christian art and symbolism -- France -- Amiens -- Medieval, 500-1500",||||,Last Judgment,Vanderbilt University,on,Relief sculpture,,,Amiens,,Art in the Christian Tradition,11U11,,2,1220,999,Creative Commons BY-SA 4.0
43113,3D,2022-06-20 19:27:59.0,2005-03-18 00:00:00.0,France,,"This complex representation of the Last Judgment at Conques includes biblical, patristic, and cultural interpretations, but it is primarily based upon the Last Judgment passage in the Gospel of Matthew, Chapter 25, verses 31-46 <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,104,,1096-1107,||||,ANYDy,,"Conques: Church, Ste. Foy",Matthew 25:31-46,Abbaye Sainte-Foy de Conques,1000,,Last Judgment,Q670092,Christian art and symbolism,||||,Last Judgment,Vanderbilt University,on,,,,Conques,,Art in the Christian Tradition,11U1,,2,1100,999,Creative Commons BY-SA 4.0
47087,3D,2022-06-19 16:45:08.0,2006-09-13 00:00:00.0,France,,"This sizeable French Romanesque church, dating from the late 11th century, was a regular stop on one of the pilgrimage routes to Santiago de Compostela, Spain. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,1075-1125,||||,,Educational Use Permitted,,,Saint-Julien de Brioude,Brioude001,,"Murals and interior of Saint-Julien in Brioude, France.",Q1430598,"Christian art and symbolism -- France -- Brioude -- Medieval, 500-1500",||||,Christ in Majesty,Vanderbilt University,on,,,,Brioude,,Art in the Christian Tradition,,,2,1075,999,Creative Commons BY-SA 4.0
47067,3D,2022-06-19 16:49:22.0,2006-09-13 00:00:00.0,France,,"This 12th century French church was completed in 1185.  It was a popular stop along one of the pilgrimage routes to Santiago de Compostela, Spain. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,,,ca. 1185,||||,,Educational Use Permitted,,,"Notre-Dame du Port (Church : Clermont-Ferrand, France)",Clermont_ND_du_Port03,,"Notre Dame du Port, Clermont-Ferrand",Q1032205,Christian art and symbolism -- France,||||,,Vanderbilt University,on,,,,Clermont-Ferrand,,Art in the Christian Tradition,,,2,1185,999,Creative Commons BY-SA 4.0
46351,3D,2022-06-23 16:01:55.0,2006-07-13 00:00:00.0,Vatican City,,"Detail: Pontius Pilate. <p><p>Donated by Robert Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,359,||||,AHoly05|BHoly05|CHoly05,Educational Use Permitted,,John 18:1-19:42,Vatican City. Direzione generale dei musei,DSC00270,,Sarcophagus of Junius Bassus,Q182955,,||||,,Vanderbilt University,on,,,"Pontius Pilate, 1st century",,,Art in the Christian Tradition,11Q762,,2,359,27,Creative Commons BY-SA 4.0
28139,3D,2022-06-19 17:28:57.0,2002-11-21 00:00:00.0,France,,"John the Baptist, Samuel or Aaron, Moses [Williamson, pg.27] <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1170,||||,,Educational Use Permitted,,,"Cathédrale Notre-Dame (Senlis, France)",208,,"Senlis; John the Baptist, Samuel (Aaron), Moses; left embrasure, jamb figures, central portal, west facade",Q1736217,"Christian art and symbolism -- France -- Senlis -- Medieval, 500-1500",||||,,Vanderbilt University,on,,,,Senlis,,Art in the Christian Tradition,,,2,,999,Creative Commons BY-SA 4.0
27124,3D,2022-06-19 16:16:27.0,2002-08-01 00:00:00.0,France,,"<p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1190-1200,||||,,Educational Use Permitted,,,Cathédrale de Sens,236,,"Sens; interior, stained glass window",Q489014,"Christian art and symbolism -- France -- Sens -- Medieval, 500-1500",||||,,Vanderbilt University,on,Stained glass,,,Sens,,Art in the Christian Tradition,,,2,,999,Creative Commons BY-SA 4.0
33111,2D,2022-06-20 18:59:54.0,2003-10-06 00:00:00.0,France,,"Fresco on the lower north register of the nave depicting 1) God, represented by the figure of Christ with a cruciform nimbus, creating Eve and bringing her to Adam; 2) Eve being tempted by the serpent <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,102,,1040-1090,||||,ALent01,Educational Use Permitted,,Genesis 2:15-17; 3:1-7,Abbaye de Saint-Savin,2318,,St. Savin - God's Creation of Eve and Her Temptation by the Serpent,Q1774129,"Christian art and symbolism -- France -- Medieval, 500-1500|",||||,Creation of Eve|Serpent|Garden of Eden,Vanderbilt University,on,,,Adam (Biblical figure) |Eve (Biblical figure) |God (Biblical figure),Vienne,,Art in the Christian Tradition,71A341|71A351|71A411,,2,1040,999,Creative Commons BY-SA 4.0
29323,3D,2022-06-19 18:14:41.0,2003-04-26 00:00:00.0,France,Stone,"Amiens Cathedral <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1220-1240,||||,,Educational Use Permitted,,,Cathédrale d'Amiens,1297,,"West facade, right portal, left side",Q106934,"Christian art and symbolism -- France -- Amiens -- Medieval, 500-1500",||||,,Vanderbilt University,on,Relief sculpture,,,Amiens,,Art in the Christian Tradition,,,2,1220,999,Creative Commons BY-SA 4.0
