qid,commons_id,local_identifier,label_en,directory,local_filename,rank,image_name,iiif_manifest,notes
Q122960012,M140108695,46406,Vatican City. Direzione generale dei musei. Sarcophagus Frontal,,DSC00456.jpg,primary,Vatican City. Direzione generale dei musei. Sarcophagus Frontal - Vanderbilt ACT - DSC00456.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46406.json,
Q122960013,M140108707,46407,Vatican City. Direzione generale dei musei. Sarcophagus Frontal,,DSC00455.jpg,primary,Vatican City. Direzione generale dei musei. Sarcophagus Frontal - Vanderbilt ACT - DSC00455.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46407.json,
Q122959928,M140108720,46329,"Nativity, Baptism of Christ, and Christ Raising the Dead",,DSC00323.jpg,primary,"Nativity, Baptism of Christ, and Christ Raising the Dead - Vanderbilt ACT - DSC00323.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46329.json,
Q122959931,M140108731,46332,Angels Supporting Slate,,DSC00248.jpg,primary,Angels Supporting Slate - Vanderbilt ACT - DSC00248.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46332.json,
Q122959932,M140108740,46333,Adam and Serpent from the Garden of Eden,,DSC00267.jpg,primary,Adam and Serpent from the Garden of Eden - Vanderbilt ACT - DSC00267.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46333.json,
Q122959944,M140108753,46345,"Christ Performing Miracles, and Adam and Eve",,DSC00324.jpg,primary,"Christ Performing Miracles, and Adam and Eve - Vanderbilt ACT - DSC00324.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46345.json,
Q122959957,M140108769,46357,"Scenes of Passion, Christ before Pilate",,DSC00282.jpg,primary,"Scenes of Passion, Christ before Pilate - Vanderbilt ACT - DSC00282.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46357.json,
Q122959958,M140108778,46358,Christ before Centurion,,DSC00283.jpg,primary,Christ before Centurion - Vanderbilt ACT - DSC00283.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46358.json,
Q122959959,M140108791,46359,Centurions Sleep under Chi Rho,,DSC00284.jpg,primary,Centurions Sleep under Chi Rho - Vanderbilt ACT - DSC00284.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46359.json,
Q122959960,M140108804,46360,Christ Crowned with Thorns,,DSC00285.jpg,primary,Christ Crowned with Thorns - Vanderbilt ACT - DSC00285.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46360.json,
Q122959963,M140108816,46361,Procession of the Cross,,DSC00286.jpg,primary,Procession of the Cross - Vanderbilt ACT - DSC00286.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46361.json,
Q122959964,M140108824,46362,Separation of Sheep and Goats,,DSC00287.jpg,primary,Separation of Sheep and Goats - Vanderbilt ACT - DSC00287.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46362.json,
Q122959965,M140108835,46363,Peter in Gethsemane,,DSC00291.jpg,primary,Peter in Gethsemane - Vanderbilt ACT - DSC00291.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46363.json,
Q122959993,M140108846,46389,Christ before Pilate,,DSC00322.jpg,primary,Christ before Pilate - Vanderbilt ACT - DSC00322.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46389.json,
Q122959994,M140108855,46390,Adam and Eve and Christ Raising the Dead,,DSC00329.jpg,primary,Adam and Eve and Christ Raising the Dead - Vanderbilt ACT - DSC00329.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46390.json,
Q122959998,M140180768,46393,Christ Blessing,,DSC00326.jpg,primary,Christ Blessing - Vanderbilt ACT - DSC00326.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46393.json,
Q122960207,M140183274,53848,Traditio Legis Sarcophagus,,Kimbell_Arles_sarcophagus.jpg,primary,Traditio Legis Sarcophagus - Vanderbilt ACT - Kimbell Arles sarcophagus.jpg,https://iiif-manifest.library.vanderbilt.edu/act/53848.json,
Q122959945,M140183817,46346,"Pontius Pilate, Sarcophagus of Junius Bassus",,DSC00275.jpg,primary,"Pontius Pilate, Sarcophagus of Junius Bassus - Vanderbilt ACT - DSC00275.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46346.json,
Q122959946,M140184991,46347,"Traditio Legis, Sarcophagus of Junius Bassus",,DSC00271.jpg,primary,"Traditio Legis, Sarcophagus of Junius Bassus - Vanderbilt ACT - DSC00271.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46347.json,
Q122959947,M140188050,46348,"Christ's entrance to Jerusalem, Sarcophagus of Junius Bassus",,DSC00272.jpg,primary,"Christ's entrance to Jerusalem, Sarcophagus of Junius Bassus - Vanderbilt ACT - DSC00272.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46348.json,
Q122959949,M140188059,46349,"Christ Peaching, Sarcophagus of Junius Bassus",,DSC00273.jpg,primary,"Christ Peaching, Sarcophagus of Junius Bassus - Vanderbilt ACT - DSC00273.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46349.json,
Q122959950,M140188064,46350,"Daniel in the Lions' Den, Sarcophagus of Junius Bassus",,DSC00274.jpg,primary,"Daniel in the Lions' Den, Sarcophagus of Junius Bassus - Vanderbilt ACT - DSC00274.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46350.json,
Q122959952,M140188083,46352,"Peter, the Apostle, Sarcophagus of Junius Bassus",,DSC00277.jpg,primary,"Peter, the Apostle, Sarcophagus of Junius Bassus - Vanderbilt ACT - DSC00277.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46352.json,
Q122959953,M140188102,46353,"Trial, Sarcophagus of Junius Bassus",,DSC00278.jpg,primary,"Trial, Sarcophagus of Junius Bassus - Vanderbilt ACT - DSC00278.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46353.json,
Q122959955,M140188107,46355,"Adam and Eve, Sarcophagus of Junius Bassus",,DSC00280.jpg,primary,"Adam and Eve, Sarcophagus of Junius Bassus - Vanderbilt ACT - DSC00280.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46355.json,
Q122959956,M140188115,46356,"Woman Washing Jesus' feet, Sarcophagus of Junius Bassus",,DSC00281.jpg,primary,"Woman Washing Jesus' feet, Sarcophagus of Junius Bassus - Vanderbilt ACT - DSC00281.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46356.json,
Q122959970,M140188121,46369,"Binding of Issac, Sarcophagus of Junius Bassus",,DSC00279.jpg,primary,"Binding of Issac, Sarcophagus of Junius Bassus - Vanderbilt ACT - DSC00279.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46369.json,
Q122960205,M140188126,53847,Adam Naming the Animals,,Kimbell_Adam_naming_animals.jpg,primary,Adam Naming the Animals - Vanderbilt ACT - Kimbell Adam naming animals.jpg,https://iiif-manifest.library.vanderbilt.edu/act/53847.json,
Q122960204,M140188133,53846,Ascension from the Rabbula Gospels,,Kimbell_Ascension_Rabbula_Gospels.jpg,primary,Ascension from the Rabbula Gospels - Vanderbilt ACT - Kimbell Ascension Rabbula Gospels.jpg,https://iiif-manifest.library.vanderbilt.edu/act/53846.json,
Q122960107,M140188138,47125,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",,Angouleme002.jpg,primary,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France - Vanderbilt ACT - Angouleme002.jpg",https://iiif-manifest.library.vanderbilt.edu/act/47125.json,
Q122960108,M140188143,47143,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",,Angouleme003.jpg,primary,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France - Vanderbilt ACT - Angouleme003.jpg",https://iiif-manifest.library.vanderbilt.edu/act/47143.json,
Q122960109,M140188146,47144,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",,Angouleme004.jpg,primary,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France - Vanderbilt ACT - Angouleme004.jpg",https://iiif-manifest.library.vanderbilt.edu/act/47144.json,
Q122960110,M140188153,47145,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",,Angouleme005.jpg,primary,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France - Vanderbilt ACT - Angouleme005.jpg",https://iiif-manifest.library.vanderbilt.edu/act/47145.json,
Q122960113,M140188158,47146,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",,Angouleme006.jpg,primary,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France - Vanderbilt ACT - Angouleme006.jpg",https://iiif-manifest.library.vanderbilt.edu/act/47146.json,
Q122960114,M140188162,47147,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",,Angouleme007.jpg,primary,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France - Vanderbilt ACT - Angouleme007.jpg",https://iiif-manifest.library.vanderbilt.edu/act/47147.json,
Q122960115,M140188166,47148,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France,",,Angouleme008.jpg,primary,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France, - Vanderbilt ACT - Angouleme008.jpg",https://iiif-manifest.library.vanderbilt.edu/act/47148.json,
Q122960116,M140188169,47149,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",,Angouleme009.jpg,primary,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France - Vanderbilt ACT - Angouleme009.jpg",https://iiif-manifest.library.vanderbilt.edu/act/47149.json,
Q122960117,M140188176,47150,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",,Angouleme010.jpg,primary,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France - Vanderbilt ACT - Angouleme010.jpg",https://iiif-manifest.library.vanderbilt.edu/act/47150.json,
Q122960119,M140188180,47151,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",,Angouleme011.jpg,primary,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France - Vanderbilt ACT - Angouleme011.jpg",https://iiif-manifest.library.vanderbilt.edu/act/47151.json,
Q122960120,M140188183,47152,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",,Angouleme012.jpg,primary,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France - Vanderbilt ACT - Angouleme012.jpg",https://iiif-manifest.library.vanderbilt.edu/act/47152.json,
Q122960121,M140188187,47153,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",,Angouleme013.jpg,primary,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France - Vanderbilt ACT - Angouleme013.jpg",https://iiif-manifest.library.vanderbilt.edu/act/47153.json,
Q122960122,M140188194,47157,"Baptistmal font, Cathedral of St. Pierre, Angouleme, France",,Angouleme017.jpg,primary,"Baptistmal font, Cathedral of St. Pierre, Angouleme, France - Vanderbilt ACT - Angouleme017.jpg",https://iiif-manifest.library.vanderbilt.edu/act/47157.json,
Q122960124,M140188197,47158,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",,Angouleme001.jpg,primary,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France - Vanderbilt ACT - Angouleme001.jpg",https://iiif-manifest.library.vanderbilt.edu/act/47158.json,
Q122959816,M140188200,32950,St. Savin - Burial of Abraham,,00002316.jpg,primary,St. Savin - Burial of Abraham - Vanderbilt ACT - 00002316.jpg,https://iiif-manifest.library.vanderbilt.edu/act/32950.json,
Q122959817,M140188204,33090,St. Savin - Angel's Blessing of Abraham; Isaac's Inheritance,,00002317.jpg,primary,St. Savin - Angel's Blessing of Abraham; Isaac's Inheritance - Vanderbilt ACT - 00002317.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33090.json,
Q122959818,M140188207,33113,St. Savin - Christ of Parousia and the Visions of Apocalypse,,00002320.jpg,primary,St. Savin - Christ of Parousia and the Visions of Apocalypse - Vanderbilt ACT - 00002320.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33113.json,
Q122959819,M140188213,33138,St. Savin - Apostles in Glory,,00002322.jpg,primary,St. Savin - Apostles in Glory - Vanderbilt ACT - 00002322.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33138.json,
Q122959820,M140188217,33149,St. Savin - Angels Worshipping,,00002324.jpg,primary,St. Savin - Angels Worshipping - Vanderbilt ACT - 00002324.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33149.json,
Q122959821,M140188222,33155,St. Savin - Angels Worshipping,,00002327.jpg,primary,St. Savin - Angels Worshipping - Vanderbilt ACT - 00002327.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33155.json,
Q122959822,M140188227,33251,St. Savin - Sixth Angel of the Apocalypse,,00002328.jpg,primary,St. Savin - Sixth Angel of the Apocalypse - Vanderbilt ACT - 00002328.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33251.json,
Q122959823,M140188230,33259,St. Savin - War of Michael and the Dragon,,00002329.jpg,primary,St. Savin - War of Michael and the Dragon - Vanderbilt ACT - 00002329.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33259.json,
Q122959824,M140188239,33260,St. Savin - Sixth Angel of the Apocalypse (Detail),,00002330.jpg,primary,St. Savin - Sixth Angel of the Apocalypse (Detail) - Vanderbilt ACT - 00002330.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33260.json,
Q122959826,M140188243,33262,St. Savin - Fifth Angel of the Apocalypse,,00002331.jpg,primary,St. Savin - Fifth Angel of the Apocalypse - Vanderbilt ACT - 00002331.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33262.json,
Q122959827,M140188249,33263,"St. Savin - Temple of God; Woman, Child, and Dragon",,00002332.jpg,primary,"St. Savin - Temple of God; Woman, Child, and Dragon - Vanderbilt ACT - 00002332.jpg",https://iiif-manifest.library.vanderbilt.edu/act/33263.json,
Q122959828,M140188255,33274,St. Savin - Adoration of the Virgin,,00002333.jpg,primary,St. Savin - Adoration of the Virgin - Vanderbilt ACT - 00002333.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33274.json,
Q122959829,M140188257,33281,"St. Savin - Woman, Child, and Dragon (Detail)",,00002334.jpg,primary,"St. Savin - Woman, Child, and Dragon (Detail) - Vanderbilt ACT - 00002334.jpg",https://iiif-manifest.library.vanderbilt.edu/act/33281.json,
Q122959830,M140188264,33283,St. Savin - Moses Receiving the Tablets of the Law,,00002335.jpg,primary,St. Savin - Moses Receiving the Tablets of the Law - Vanderbilt ACT - 00002335.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33283.json,
Q122959831,M140188267,33358,St. Savin - Drowning of Pharaoh's Army in the Red Sea,,00002337.jpg,primary,St. Savin - Drowning of Pharaoh's Army in the Red Sea - Vanderbilt ACT - 00002337.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33358.json,
Q122959833,M140188272,33359,St. Savin - March of the Children of Israel Toward the Promised Land,,00002336.jpg,primary,St. Savin - March of the Children of Israel Toward the Promised Land - Vanderbilt ACT - 00002336.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33359.json,
Q122959834,M140188281,33360,St. Savin - Joseph's Appointment as the Master of Pharaoh's Palace,,00002338.jpg,primary,St. Savin - Joseph's Appointment as the Master of Pharaoh's Palace - Vanderbilt ACT - 00002338.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33360.json,
Q122959835,M140188286,33361,St. Savin - Joseph Interprets Pharaoh's Dreams,,00002339.jpg,primary,St. Savin - Joseph Interprets Pharaoh's Dreams - Vanderbilt ACT - 00002339.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33361.json,
Q122959836,M140188291,33362,St. Savin - Joseph and Potiphar's Wife,,00002340.jpg,primary,St. Savin - Joseph and Potiphar's Wife - Vanderbilt ACT - 00002340.jpg,https://iiif-manifest.library.vanderbilt.edu/act/33362.json,
