qid,label,doi,pmid
Q107275818,Saintly Visions: Other Histories and History's Others in the Medieval Ruins of Delhi,10.1177/0019464612463843,
Q107275819,Pirate Modernity: Delhi's Media Urbanism,10.1080/09584935.2011.594289,
Q107275821,Bombay Cinema: An Archive of the City,10.1080/09584930902834202,
Q107275822,"Village Cosmopolitans: Or, I See Kabul from Lado Sarai",,
Q107275824,"History and Heritage Woven in the New Urban Fabric: The Changing Landscapes of Delhi's ‘First City’. Or, Who Can Tell the Histories of Lado Sarai?",,
Q107275826,Begum Samru and the Security Guard,,
Q107275828,Synchronicities: Baghdad/Delhi,,
Q107275829,"Lost in La Mancha: Terry Gilliam, Holy Fools, Pirates and the Mulla",,
Q107275830,"Culture of Encounters: Sanskrit at the Mughal Court, by Audrey Truschke",10.1080/00856401.2017.1379220,
Q107275831,‘Veins of Silver’,,
Q107275832,How New Delhi Was Founded,,
Q107275833,Stereotyping the Muslim in Bombay Cinema,,
Q107275834,A City Without Time,,
Q107275835,Muslimness in Hindi Cinema,,
Q107276607,"Introduction: Animals, Ethics, and Enchantment in South Asia and the Middle East",10.1215/1089201X-3138976,
Q107276609,[The Myth of Archaeology and the Archaeology of Myth: Purana Qila],,
Q107276783,"Between Collective Memory & History, The Jinn Lives On",,
Q107276897,"Nature, History, and the Sacred in the Medieval Ruins of Delhi",,
Q107277075,On Intellectual Hospitality and the Plenitude of Time: A Response to Bardawil,,
Q107277189,On The Real Tragedy of Secular Modernity: Anand Vivek Taneja,,
Q107277767,"Village Cosmopolitanisms: Or, I See Kabul from Lado Sarai",,
Q107296865,Christianity in Roman Africa: the development of its practices and beliefs,,
Q107302748,A holy baptism of fire and blood: the Bible and the American Civil War,10.1093/OSO/9780190902797.001.0001,
Q107310165,Quaestio Disputata: Divine Virtues and Divine Ideas of Virtues,10.1177/0040563920934196,
Q108748206,In a Blaze of Glory: Womanist Spirituality as Social Witness,,
Q108765612,Beyond Monotheism: A Theology of Multiplicity,,
Q108765613,Re-imagining the Divine: Confronting the Backlash Against Feminist Theology,,
Q108765614,Awake to the Moment: An Introduction to Theology,,
Q108765615,Polydoxy: Theology of Multiplicity and Relation,,
Q108765616,Queer Soul and Queer Theology: Ethics and Redemption in Real Life,,
Q108802810,"Setting the Context: A Brief History of Science by a Sympathetic Theologian: Aristotle and Plato, Islamic Science, Medieval Science and the West, Reformation and the Renaissance, Descartes, Newton, Darwin, Freud",,
Q108802811,Promiscuous Incarnation,,
Q108802812,What Race is Your Sex?,,
Q108802813,Love We Cannot Not Want: A Response to Kwok Pui-lan,,
Q108802814,What if it is a Choice?: Some Implications of the Homosexuality Debates for Theology,,
Q108802815,"Homosexuality, Queer Theory, and Christian Theology",,
Q108802816,The Courage to See and to Sin: Mary Daly's Elemental Transformation of Paul Tillich's Ontology: Feminist Interpretations of Mary Daly,,
Q108802817,Queer Theory,,
Q108802818,The Gravity of Love,,
Q108802819,"When the World is Alive, Spirit is Not Dismembered : Philosophical Reflections on the Good Mind",,
Q108802821,Yahwist Desires: Imagining Divinity Queerly,,
Q108802822,Divine Promiscuity,,
Q108802823,"""Nothing in This World is Indifferent to Us"" : A Dialogical Reflection on the Queerness of Theology and Science",,
Q108802824,More Than a Feeling: A Queer Notion of Survivance,,
Q108802826,"Healing Anthropology: History, Health and Science in Systematic Theology",,
Q108802827,God,,
Q108802828,Arms Control Impact Statements,,
Q108802829,"AIDS, Teens and the Church: A Leaders’ Guide",,
Q108802830,"Language, Violence, and God",,
Q108802831,Who Sees Eye To Eye: Date/Acquaintance Rape and Right Relationship,,
Q108802895,What Race is Your Sex?,,
Q108816828,"Meeting God on the Cross: Christ, the Cross, and the Feminist Critique",10.1177/0040573612473031G,
Q108816830,After Christianity,,
Q108816831,The Face of the Deep: A Theology of Becoming,10.1086/426990,
Q108816832,Native Americans and the Christian Right: The Gendered Politics of Unlikely Alliances,10.1177/009430610903800430,
Q108816833,"Homosexuality, Queer Theory, and Christian Theology",10.1111/J.1748-0922.2000.TB00355.X,
Q108816834,"Review of The Serpent and the Goddess by Mary Condren (HarperCollins, 1989)",,
Q108816835,"Defying the Darkness: Gay Theology in the Shadows by Michael J.  Clark (Cleveland: Pilgrim Press, 1997)",10.1111/J.1748-0922.1998.TB00344.X,
Q108816836,"In A Blaze of Glory: Womanist Spirituality as Social Witness by Emilie Townes (Nashville, Abingdon Press, 1995)",10.1111/J.1748-0922.1998.TB00344.X,
Q108816837,"When God Becomes Goddess: The Transformation of American  Religion, by Richard Grigg (NY: Continuum, 1995)",10.1111/J.1748-0922.1997.TB00325.X,
Q108816838,"Dictionary of Feminist Theologies, edited by Letty M. Russell and J.  Shannon Clarkson (Louisville KY: Westminster John Knox Press, 1996)",10.1111/J.1748-0922.1997.TB00315.X,
Q108816839,Michelle Voss Roberts' Dualities,10.7825/2164-6279.1481,
Q108816840,Becoming Divine: Towards a Feminist Philosophy of Religion,,
Q109404829,Christianity and Empire,10.1111/REC3.12158,
Q109404830,Black Church Giving,10.1177/2158244013490706,
Q109407333,Just Capitalism: A Christian Ethic of Globalization. By Brent Waters,10.1093/JCS/CSX097,
Q109407334,Deep solidarity: Broadening the basis of transformation,10.4102/HTS.V73I3.4578,
Q109407335,"Empire, Deep Solidarity, and the Future of Liberation Theology",10.1080/1462317X.2017.1311060,
Q109407336,The Touch of Transcendence: A Postcolonial Theology of God - By Mayra Rivera,10.1111/J.1748-0922.2009.01360_24.X,
Q109407337,Controversies in Political Theology: Development or Liberation? - By Thia Cooper,10.1111/J.1748-0922.2009.01360_6.X,
Q109407338,Karl Barth: God's Word in Action - By Paul S. Chung,10.1111/J.1748-0922.2010.01443_8.X,
Q109407937,The Ethics of Wealth in a World of Economic Inequality: A Christian Perspective in a Buddhist-Christian Dialogue,10.1353/BCS.2013.0018,
Q109408050,Power and Christian Theology - By Stephen Sykes,10.1111/J.1748-0922.2009.01360_28.X,
Q109408051,Power and Empire in the Study of Nineteenth-Century Theology: The Case of Schleiermacher,10.1515/ZNTH-2013-0004,
Q109408052,Radikale Theologie - By Ingolf U. Dalferth,10.1111/J.1748-0922.2012.01596_11.X,
Q109408054,Re-envisioning Ecotheology and the Divine from the Margins,10.1558/ECOT.9.1.65.36243,
Q109408056,Religion and Class,10.25148/CRCP.4.1.16092142,
Q109408058,"Solidarisch Mensch Werden: Psychische Und Soziale Destruktion IM Neoliberalismus-Wege Zu Ihrer Überwindung - By Ulrich Duchrow, Reinhold Bianchi, René Krüger, and Vincenzo Petracca",10.1111/J.1748-0922.2007.00171_47.X,
Q109408059,The Politics of Human Frailty: A Theological Defence of Political Liberalism – By Christopher J. Insole,10.1111/J.1748-0922.2007.00200_42.X,
Q109408060,Divine Currency: The Theological Power of Money in the West - By Devin Singh,10.1080/1462317X.2020.1734282,
Q109408061,"The Turning of the Tide: Theology, Religion, and Economics",10.1111/DIAL.12007,
Q109408063,Wesleyan Perspectives on the New Creation – Edited by M. Douglas Meeks,10.1111/J.1748-0922.2007.00200_41.X,
Q109408064,The Cambridge Companion to Liberation Theology Edited by Christopher Rowland,10.1177/004057360005700130,
Q109408065,"Where is God? Earthquake, Terrorism, Barbarity, and Hope - By Jon Sobrino",10.1177/004057360606300213,
Q109408066,The Suffering of Economic Injustice: A Response to Ulrich Duchrow and David Loy,10.1353/BCS.2014.0032,
Q109408068,"Religion, Labor, Class, and Justice: Buddhist—Christian Dialogue in Fresh Perspective",10.1353/BCS.2019.0011,
Q109408069,Occupy Religion: Theology of the Multitude and Interreligious Dialogue,10.1353/BCS.2014.0023,
Q109408070,Theology and Mission Between Neocolonialism and Postcolonialism,10.1163/1573383042653677,
Q109408071,"Is Political and Intercultural Theology Real Theology, and Why Should Anyone Care?",10.1558/37326,
Q109408074,Book Review: With the Grain of the Universe: The Church's Witness and Natural Theology,10.1177/002096430005600312,
Q109408075,Book Review: Theologie aus asiatischen Quellen: Der theologische Weg Choan-Seng Songs vor dem Hintergrund der asiatischen ökumenischen Diskussion,10.1177/002096439605000334,
Q109408076,Capitalism and Christian theology,10.1111/REC3.12350,
Q109408077,Engaging whiteness (more) constructively: Conversations with James Cone and Frederick Herzog on the future of race and class in theology,10.1177/0034637320903301,
Q109408079,Hoping against Hope: Dealing with Hopelessness in Ancient Times and Today †,10.3390/REL11070331,
Q109408080,Restructuring Interreligious Dialogue from the Bottom Up through the Lenses of Deep Solidarity and the Multitude,10.1111/EREV.12468,
Q109408397,Protestants and giving: The tithes that bind?,10.1002/PF.41219950707,
Q109408398,"Idols, Fetishes and Foreskins: The Other of Religion",10.1006/RELI.1997.0070,
Q109408399,Academic Freedom and the Plight of German Theological Studies,10.1006/RELI.2002.0417,
Q109408400,The Gentilemen's Agreement,10.1006/RELI.2002.0419,
Q109408403,Comment,10.1007/BF02779045,
Q109408404,Seeing Things Differently and Not Being Looked At,10.1007/S11089-009-0237-3,
Q109408522,Resistance to Women in Ministry and the Psychodynamics of Sadness,10.1007/S11089-010-0299-2,
Q109408524,Revisiting Forgiveness as a Pastoral Theological “Problem”,10.1007/S11089-012-0435-2,
Q109408525,On Getting away with It: Jesus and the Temptation in the Desert,10.1007/S11089-013-0511-2,
Q109408526,The Memory of Feeling: Envy and Happiness,10.1007/S11089-013-0555-3,
Q109408527,A Review of Kirk A. Bingaman’s The Power of Neuroplasticity for Pastoral and Spiritual Care,10.1007/S11089-015-0668-Y,
Q109408528,Getting it Write: On the Craft of Academic Writing,10.1007/S11089-016-0707-3,
Q109408530,"The Organ of Tactility: Fantasy, Image, and Male Masturbation",10.1007/S11089-017-0797-6,
Q109408531,The Living Human Web: A Twenty-five Year Retrospective,10.1007/S11089-018-0811-7,
Q109408533,“I’m the King of Debt”: Pastoral Reflections on Debt in the Age of Trump,10.1007/S11089-018-0847-8,
Q109408534,The Psychodynamics of Conversion: Winnicottian Perspectives on the Transformation of Job,10.1007/S11089-020-00910-9,
Q109408535,Toys: a Man Has His Reasons. Winnicottian Perspectives on the Playing of Men,10.1007/S11089-021-00937-6,
Q109408536,The Least of These: Black Church Children’s and Youth Outreach Efforts,10.1007/S12111-008-9035-8,
Q109408537,"Theological, Denominational, and Organizational Influences on Ecumenical Involvement between Black and White Churches",10.1007/S12111-009-9086-5,
Q109408538,Black Megachurches: Social Gospel Usage and Community Empowerment,10.1007/S12111-010-9148-8,
Q109408540,Black Church Electoral and Protest Politics from 2002 to 2012: a Social Media Analysis of the Resistance Versus Accommodation Dialectic,10.1007/S12111-013-9263-4,
Q109408541,"To Educate, Equip, and Empower: Black Church Sponsorship of Tutoring or Literary Programs",10.1007/S13644-014-0173-2,
Q109408542,Interprofessional Simulation for Nursing and Divinity Students: Learning Beyond Checklists,10.1016/J.ECNS.2019.05.002,
Q109408544,"Too Poor to Get Sick? The Implications of Place, Race, and Costs on the Health Care Experiences of Residents in Poor Urban Neighborhoods",10.1016/S0275-4959(04)22003-8,
Q109408545,"Alistair Dougall. The Devil's Book: Charles I, the Book of Sports and Puritanism in Tudor and Early Stuart England.",10.1017/JBR.2013.70,
Q109408546,Hitler's Monsters: A Supernatural History of the Third Reich. By Eric Kurlander.,10.1017/S000893891800047X,
Q109408547,Baptists in America. By Bill J. Leonard. Columbia Contemporary American Religion Series.,10.1017/S0009640708001509,
Q109408549,Cotton Mather and Biblia Americana: America's First Bible Commentary. Essays in Reappraisal. Edited by Reiner Smolinski and Jan Stievermann.,10.1017/S000964071300036X,
Q109408551,The Syro-Palestinian Context of Solomon's Dream,10.1017/S0017816000014267,
Q109408552,Reason and religion in the English Revolution. The challenge of Socinianism. By Sarah Mortimer.,10.1017/S002204691300119X,
Q109408553,“The Word of the Lord”: Liturgy's Use of Scripture. By David N. Power,10.1017/S0360966900010318,
Q109409866,The Burning of Rebellious Thoughts: MOVE as Revolutionary Black Humanism,10.1080/00064246.2002.11431166,
Q109409867,Enter Into His Gates: An Analysis of Black Church Participation Patterns,10.1080/02732170802584351,
Q109409868,Healing and Anointing: Introduction,10.1080/04580630701273918,
Q109409869,Challenges and Resources for a Liturgical Theology of Healing: Roman Catholic Practice and Postmodern Theory,10.1080/04580630701274023,
Q109409870,The Narrative Function of Preaching,10.1080/04580638909408930,
Q109409871,Peace and Justice: The Eucharistic Community of Gifting,10.1080/0458063X.1996.10392325,
Q109409872,Good Table Manners? The Presence and Participation of Fellow Christians at Roman Catholic Mass,10.1080/0458063X.2016.1155912,
Q109409873,"Confessing Sin, Proclaiming Reconciliation in Contemporary U.S. Catholic Liturgy",10.1080/0458063X.2019.1559614,
Q109409874,The folklore of state socialism: Semiotics and the study of the Soviet state,10.1080/09668138308411498,
Q109409875,Epistemology or Bust: Where are we Really Headed?,10.1080/10649867.1992.11745294,
Q109409876,Remembering the Dismembered: Teaching for Transformation and Restoration,10.1080/10649867.2006.11745277,
Q109409878,Womanist–Lesbian Pastoral Ethics: A Post-Election Perspective,10.1080/10649867.2017.1315791,
Q109409896,Understanding Pastoral Counseling,10.1080/10649867.2016.1178987,
Q109417469,"Hegemonic Imagination, Historical Ethos, and Colonized Minds in the Pedagogical Space: Pastoral Ethics and Teaching as if our Lives Depended on it",10.1080/10649867.2018.1452691,
Q109417472,Empowering Activist Pedagogies in Pastoral Theology: Accountabilities and Transformative Possibilities,10.1080/10649867.2018.1453015,
Q109417475,"Object Relations, Buddhism, and Relationality in Womanist Practical Theology",10.1080/10649867.2019.1673042,
Q109417477,A Case Study of the Working Poor Single Mother Experience: An Analysis of the Structure versus Agency Discourse,10.1080/10875540801973575,
Q109417480,The Ebonics Enigma: An analysis of attitudes on an urban college campus,10.1080/1361332032000109628,
Q109417483,"African American Religions, 1500–2000: Colonialism, Democracy, and Freedom",10.1080/14769948.2016.1186351,
Q109417487,"“Be Real Black for Me”: The Icon, Idol, and Incarnation of America’s First Black President",10.1080/14769948.2018.1411752,
Q109417489,“That’s Not How the Story Ends:” Vincent Harding’s Liberating Vision of African American Religious History,10.1080/14769948.2019.1680515,
Q109417493,Women in Late Antiquity: Pagan and Christian Lifestyles. Gillian Clark,10.1086/489478,
Q109417495,"The New Moses: A Matthean Typology. Dale C. Allison, Jr.",10.1086/489630,
Q109417499,Dual Allegiance: Freud as a Modern Jew by Moshe Gresser,10.1086/489841,
Q109417501,The Jewish Novel in the Ancient World. Lawrence M. Wills,10.1086/490019,
Q109417502,Vehicle for God: The Metaphorical Theology of Eberhard Jüngel. Roland Daniel Zimany,10.1086/490042,
Q109417503,The Fourth Great Awakening and the Future of Egalitarianism. Robert William Fogel,10.1086/490953,
Q109417504,"The Ambiguous Infinite: Jüngel, Marion, and the God of Descartes",10.1086/490995,
Q109417505,Jesus and the Politics of Interpretation. Elisabeth Schüssler Fiorenza,10.1086/491229,
Q109417506,The Servant’s Tale: How Rebekah Found a Spouse,10.1086/511101,
Q109417507,"Mark Edmundson, . The Death of Sigmund Freud: The Legacy of His Last Days.",10.1086/590043,
Q109417509,"Hayes, Peter, and John K. Roth, eds. The Oxford Handbook of Holocaust Studies.",10.1086/663750,
Q109417510,"Friends of the Unrighteous Mammon: Northern Christians and Market Capitalism, 1815–1860 by Stewart Davenport",10.1086/AHR.114.1.167,
Q109417511,Stefania Tutino . Thomas White and the Blackloists: Between Politics and Theology during the English Civil War,10.1086/AHR.115.2.605,
Q109417512,Otto Maduro: In Remembrance and Celebration,10.1093/JAAREL/LFT110,
Q109417513,Work and Faith in the Kentucky Coal Fields: Subject to Dust. By Richard J. Callahan Jr.,10.1093/JAHIST/96.3.863,
Q109417514,To Serve the Living: Funeral Directors and the African American Way of Death. By Suzanne E. Smith.,10.1093/JAHIST/97.3.835,
Q109417515,Mau Mau in Harlem? The U.S. and the Liberation of Kenya,10.1093/JAHIST/JAS183,
Q109417516,The Iconography of Malcolm X,10.1093/JAHIST/JAU565,
Q109417517,America's Public Bible: Biblical Quotations in U.S. Newspapers,10.1093/JAHIST/JAX556,
Q109417518,New World A-Coming: Black Religion and Racial Identity during the Great Migration,10.1093/JAHIST/JAY097,
Q109417519,Why Politics Needs Religion: The Place of Religious Arguments in the Public Square. By Brendan Sweetman.,10.1093/JCS/49.3.555,
Q109417520,"In the Beginning Was the Word: The Bible in American Public Life, 1492-1783. By Mark A. Noll",10.1093/JCS/CSY024,
Q109417521,"Where 'Difference is the Norm': Exploring Refugee Student Ethnic Identity Development, Acculturation, and Agency at Shaw Academy",10.1093/JRS/FET050,
Q109417523,Particularism and Universalism in the Sermon on the Mount: A Narrative-Critical Analysis of Matthew 5-7 in the Light of Matthew's View on Mission. By Boris Paschke,10.1093/JTS/FLU145,
Q109417524,Exploring Our Hebraic Heritage: A Christian Theology of Roots and Renewal. By Marvin R. Wilson,10.1093/JTS/FLX006,
Q109417525,A Paleontological View of Freud's Study of Religion: Unearthing the Leitfossil Curcumcision,10.1093/MJ/13.1.49,
Q109417526,Atheist Jew or Atheist Jew: Freud’s Jewish Question and Ours,10.1093/MJ/KJJ001,
Q109417527,Godless Intellectuals? The Intellectual Pursuit of the Sacred Reinvented,10.1093/SOCREL/SRU010,
Q109417528,The Black Church Revisited: Toward a New Millennium DuBoisian Mode of Inquiry,10.1093/SOCREL/SRU056,
Q109417530,Towards a Religious History of the Black Atlantic: Charles H. Long's Significations and New World Slavery,10.1111/1467-9809.12409,
Q109417531,"Identity Quests, Indebted Diversities, and Serving “The Church”: Living the Questions of Ministerial Formation",10.1111/CROS.12360,
Q109417532,Surge of Piety: Norman Vincent Peale and the Remaking of American Religious Life. By Christopher Lane.,10.1111/HISN.12942,
Q109417533,Teaching for Conflict Resolution: Metaethical Case Study Analysis as a Teaching Strategy,10.1111/J.1467-9647.2010.00623.X,
Q109417534,Responses to the AAR-Teagle White Paper: “The Religious Studies Major in a Post-9/11 World”,10.1111/J.1467-9647.2010.00673.X,
Q109417536,"On Being Heard but not Seen: Milbank and Lash on Aquinas, Analogy and Agnosticism",10.1111/J.1468-0025.2009.01596.X,
Q109417538,The New Spirituality: An Introduction to Progressive Belief in the Twenty-First Century - By Gordon Lynch,10.1111/J.1479-2214.2010.00182.X,
Q109417539,Book Review: Black on the Block: The Politics of Race and Class in the City,10.1111/J.1540-6040.2007.00242_3.X,
Q109417540,Teaching to Transform: From Volatility to Solidarity in an Interdisciplinary Family Studies Classroom*,10.1111/J.1741-3729.2001.00317.X,
Q109417541,Mothering While Imprisoned: The Effects of Family and Child Dynamics on Mothering Attitudes,10.1111/J.1741-3729.2011.00696.X,
Q109417543,"Religion, Race, and Bridge Building in Economic Justice Coalitions",10.1111/J.1743-4580.2008.01220.X,
Q109417545,Sex and Character: An Investigation of Fundamental Principles – By Otto Weininger,10.1111/J.1748-0922.2008.00238.X,
Q109417546,The Evangelical Conversion Narrative: Spiritual Autobiography in Early Modern England - By D. Bruce Hindmarsh,10.1111/J.1748-0922.2009.01322_2.X,
Q109417547,Invocation and Assent: The Making and Remaking of Trinitarian Theology – By Jason E. Vickers,10.1111/J.1748-0922.2009.01381_61.X,
Q109417548,“The Passage from Mind to Heart is so Long …”: The Riddle of “Repetition” and Kierkegaard's Ontology of Agency,10.1111/MOTH.12114,
Q109417550,"Improvising the Paradigms: Aquinas, Creation and the Eternal Ideas as Anti-Platonic Ontology",10.1111/MOTH.12281,
Q109417551,Chinese Megachurch Persecution: Application of an Indigenous Resource Framework,10.11114/IJSSS.V1I1.12,
Q109417552,Character Ethics and the Old Testament: Moral Dimensions of Scripture,10.1163/156851508X306994,
Q109417553,"Second Temple Judaism, Jesus, and Women Yeast of Eden",10.1163/156851594X00024,
Q109417554,The Emerging Project of Asian Biblical Hermeneutics: Reading Asian Readers,10.1163/156851594X00169,
Q109417556,Postcolonialism and Comparative Analysis in Biblical Studies,10.1163/156851599X00119,
Q109417557,Text Critical Notes on 4QJoba,10.1163/15685179-12341350,
Q109417559,En Jeu: Lincoln Logs or Pick-up Sticks,10.1163/1570068053429875,
Q109417560,Table Dancing in an Opium Den: Marx’s Conjuration of Criticism out of “Criticism of Religion” in 1844,10.1163/15700682-12341263,
Q109417562,"Book Review: Let Justice Roll Down: The Old Testament, Ethics, and Christian Life",10.1177/002096430004800107,
Q109417563,Theology when Everything is Out of Control,10.1177/002096430005500302,
Q109417564,"Book Review: Lament: Reclaiming Practices in Pulpit, Pew, and Public Square",10.1177/002096430606000339,
Q109417566,Book Review: Transforming Spirituality: Integrating Theology and Psychology,10.1177/002096430806200113,
Q109417570,Book Review: Global Neighbors: Christian Faith and Moral Obligation in Today's Economy,10.1177/002096431006400233,
Q109417573,Book Review: Who Is Jesus Christ for Us Today? Pathways to Contemporary Christology,10.1177/002096431006400323,
Q109417576,Book Review: Atheist Delusions: The Christian Revolution and its Fashionable Enemies,10.1177/002096431006400419,
Q109417578,The Peril of Usury in the Christian Tradition,10.1177/002096431106500204,
Q109417582,Perspectives on Aging and the Elderly in the Hebrew Bible,10.1177/0020964313518179,
Q109417585,Luke and the Jewish Religion,10.1177/0020964314540107,
Q109417589,Isaiah’s Suffering Servant: Before and After Christianity,10.1177/0020964318820594,
Q109417591,"Book Review: God, Marx, and the Future",10.1177/002096437603000227,
Q109417594,Book Review: A Handbook For The Church,10.1177/002096437903300309,
Q109417598,The Significance of Social Location in Reading John's Story,10.1177/002096439504900405,
Q109417602,Reconceiving Infertility: Biblical Perspectives on Procreation and Childlessness,10.1177/0021140016648628B,
Q109417604,"Subverting Forced Identities, Violent Acts, and the Narrativity of Race",10.1177/002193470203200503,
Q109417608,The Significance of Body and Resurrection in the Roman Catholic Order of Christian Funerals,10.1177/003932070903900107,
Q109417611,Holy Communion as Public Act: Ethics and Liturgical Participation,10.1177/003932071104100104,
Q109417615,Baptism and Identity Formation: Convergences in Ritual and Ethical Perspectives a Dialogue,10.1177/0039320712042001-209,
Q109417618,"Models of Liturgical Memory: Mystical-Political Dimensions, Mythic-Historic Tensions",10.1177/0039320719884125,
Q109417620,"Book Review: An Ethics of Remembering: History, Heterology, and the Nameless others",10.1177/004056390006100128,
Q109417623,Book Review: Justification: The Heart of the Christian Faith,10.1177/004056390206300323,
Q109417627,Book Review: Power and the Spirit of God: Toward an Experience-Based Pneumatology,10.1177/004056390506600423,
Q109417630,Book Review: The Eucharistic Liturgies: Their Evolution and Interpretation,10.1177/004056391307400335,
Q109417636,Book Review: A Priestly People: Baptismal Priesthood and Priestly Ministry. By Jean-Pierre Torrell. Translated from the French by Peter Heinegg,10.1177/0040563914529909M,
Q109417639,"Sign of Reconciliation and Conversion? Differing Views of Power—Ecclesial, Sacramental, Anthropological—among Hierarchy and Laity",10.1177/0040563914538728,
Q109417641,Book Review: Hope in Action: Subversive Eschatology in the Theology of Edward Schillebeeckx and Johann Baptist Metz. By Steven M. Rodenborn,10.1177/0040563915593487Q,
Q109417642,"Book Review: Feet Rooted, Hearts Radiant, Minds Raised: Living Sacraments in India. By Francis Gonsalves, SJ",10.1177/0040563916635112R,
Q109417643,"The Creature Makes Itself: Aquinas, the De-idealization of the Eternal Ideas, and the Fate of the Individual",10.1177/0040563917698558,
Q109417644,"Book Review: From Passion to Paschal Mystery: A Recent Magisterial Development concerning the Christological Foundation of the Sacraments. By Dominic M. Langevin, OP",10.1177/0040563917719018T,
Q109417645,"Book Review: Snodgrass, Klyne R.: Stories with Intent",10.1177/0040563918819916B,
Q109417646,Book Review: The Oxford Handbook of Sacramental Theology By Hans Boersma and Matthew Levering (eds.),10.1177/0040563918819918C,
Q109417647,Eberhard Jüngel on the Structure of Theology,10.1177/004056399605700103,
Q109417648,The Market Economy and Christian Ethics By Peter H. Sedgwick,10.1177/004057360305900419,
Q109417650,Cross Talk: Preaching Redemption Here and Now: Sally Brown,10.1177/004057360906500417,
Q109417651,Elihu's revelation,10.1177/0040573611416537,
Q109417652,The Church and the Crisis of Community: A Practical Theology of Small-Group Ministry by Theresa F. Latini,10.1177/0040573613496021,
Q109417653,The Creative Suffering of God by Paul S.,10.1177/004057368904500422,
Q109417654,The Amnesty of Grace: Justification by Faith from a Latin American Perspective; By Elsa Tamez; Translated by Sharon H. Ringe.,10.1177/004057369405100323,
Q109417655,Jesus in the Power of the Spirit: By C. S. Song,10.1177/004057369505200216,
Q109417657,Behind the Stained Glass Windows: Money Dynamics in the Church by John and Sylvia Ronsvalle,10.1177/004057369805500121,
Q109417658,Notes Toward Refining the Postcolonial Optic,10.1177/0142064X0002207507,
Q109417659,Exiles in a Foreign Land,10.1177/0160597614560567,
Q109417660,Poetic Closure in Job: The First Cycle,10.1177/0309089210372912,
Q109417661,Ruth III: a Response,10.1177/030908927800300505,
Q109417662,The Issue of Ge'Ullah in rUth,10.1177/030908927800300506,
Q109417663,On Choosing Models for Recreating Israelite Pre-Monarchic History,10.1177/030908928100602101,
Q109417664,Panel Response to Marcella Althaus-Reid's Indecent Theology,10.1177/096673500301100206,
Q109417665,Mujerista Theology: Biblical Interpretation and Political Theology,10.1177/0966735011411802,
Q109417666,"Book Review: Black Citymakers: How the Philadelphia Negro Changed Urban America, edited by Marcus Anthony Hunter",10.1177/1078087413515174,
Q109417667,Between Jim Crow and the Swastika,10.1179/1476994813Z.00000000016,
Q109417668,Recovering Grief in the Age of Grief Recovery,10.1179/JPT.2003.13.1.005,
Q109417669,Reclaiming Caritas in a Hyper-masculine World,10.1179/JPT.2007.17.2.003,
Q109417670,Hegel's Self-Conscious Woman,10.1215/00267929-53-2-173,
Q109417671,Judenzopf/Chinesenzopf: Of Jews and Queues,10.1215/10679847-2-3-500,
