RecordNumber,filename,template_type,artist,author,title,description,depicted people,depicted place,date,medium,dimensions,institution,department,accession number,place of creation,place of discovery,object history,exhibition history,credit line,inscriptions,notes,references,source,permission,other_versions,wikidata,other fields,other versions,photographer,camera coord,attribution,collection,genre,object type,source/photographer,current location
57993,"'Ruth and Naomi' by Jan Victors, 1653.jpg",artwork,[],"[""Jan Victors"", ""(1619\u20131676)"", ""Alternative names"", ""Jan Victoor, Jan Victoors, Jan Victor, Johan Victors, Johannes Victors, Joannes Victers, Johannes Fictor"", ""Description"", ""Dutch painter and drawer"", ""Date of birth/death"", ""13 June 1619 (baptised)"", ""from September 1676 until 1 December 1677"", ""date QS:P,+1676-00-00T00:00:00Z/8,P580,+1676-09-00T00:00:00Z/10,P582,+1677-12-01T00:00:00Z/11"", ""/ 1676"", ""Location of birth/death"", ""Amsterdam"", ""East Indies"", ""Work period"", ""between circa 1635 and circa 1672"", ""date QS:P,+1650-00-00T00:00:00Z/7,P1319,+1635-00-00T00:00:00Z/9,P1326,+1672-00-00T00:00:00Z/9,P1480,Q5727902"", ""Work location"", ""Amsterdam"", ""Authority control"", "":"", ""Q1357477"", ""VIAF"", "":"", ""44176730"", ""ISNI"", "":"", ""0000 0001 1631 0669"", ""ULAN"", "":"", ""500007951"", ""LCCN"", "":"", ""nr93051176"", ""WGA"", "":"", ""VICTORS, Jan"", ""WorldCat"", ""creator QS:P170,Q1357477""]",[],"[""English:"", ""Ruth and Naomi"", ""by Jan Victors, 1653, oil on canvas, 108.6 by 137.2 cm.""]",[],[],"[""1653"", ""date QS:P571,+1653-00-00T00:00:00Z/9""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""painting"", ""object_type QS:P31,Q3305213""]","[""\nSotheby's""]",[]
57045,"'The Brothers -1' by Arthur Dove, 1941, Honolulu Museum of Art.jpg",information,[],"[""\nArthur Dove""]",[],"[""English:"", ""The Brothers #1"", ""by Arthur Dove, 1941, Honolulu Museum of Art, accession 450.1""]",[],[],"[""\n1941""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Own work""]","[""Public domain"", ""Public domain"", ""false"", ""false"", ""This work was never"", ""published"", ""prior to January 1, 2003, and is currently in the"", ""public domain"", ""in the United States because it meets one of the following conditions:"", ""its author died before 1951;"", ""the death date of its author is not known, and it was created before 1901;"", ""it is an anonymous work, a pseudonymous work, or a work made for hire, and it was created before 1901."", ""The above provisions are contained in"", ""17 U.S.C."", ""\u00a7 303"", "". See also"", ""this page"", ""for more information."", ""This is a faithful photographic reproduction of a two-dimensional,"", ""public domain"", ""work of art. The work of art itself is in the public domain for the following reason:"", ""Public domain"", ""Public domain"", ""false"", ""false"", ""The author died in 1946, so this work is in the"", ""public domain"", ""in its country of origin and other countries and areas where the"", ""copyright term"", ""is the author's"", ""life plus 70 years or fewer"", ""."", ""You must also include a"", ""United States public domain tag"", ""to indicate why this work is in the public domain in the United States.\u00a0Note that a few countries have copyright terms longer than 70 years: Mexico has 100 years, Jamaica has 95 years, Colombia has 80 years, and Guatemala and Samoa have 75 years. This image may"", ""not"", ""be in the public domain in these countries, which moreover do"", ""not"", ""implement the"", ""rule of the shorter term"", "". C\u00f4te d'Ivoire has a general copyright term of 99 years and Honduras has 75 years, but they"", ""do"", ""implement the rule of the shorter term. Copyright may extend on works created by French who died for France in"", ""World War II"", ""("", ""more information"", ""), Russians who served in"", ""the Eastern Front of World War II"", ""(known as the Great Patriotic War in Russia) and posthumously"", ""rehabilitated"", ""victims of Soviet repressions ("", ""more information"", "")."", ""This file has been identified as being free of known restrictions under copyright law, including all related and neighboring rights."", ""https://creativecommons.org/publicdomain/mark/1.0/"", ""PDM"", ""Creative Commons Public Domain Mark 1.0"", ""false"", ""false"", ""The official position taken by the Wikimedia Foundation is that \"""", ""faithful reproductions of two-dimensional public domain works of art are public domain"", ""\""."", ""This photographic reproduction is therefore also considered to be in the public domain in the United States."", ""In other jurisdictions, re-use of this content may be restricted;"", ""see"", ""Reuse of PD-Art photographs"", ""for details.""]",[],[],[],[],[],[],[],[],[],[],[],[]
57873,"'Thoughts of Liberia - Emancipation' by Edwin White, 1861.jpg",artwork,"[""Edwin White"", ""(1817\u20131877)"", ""Alternative names"", ""Edwin D. White"", ""Description"", ""American painter"", ""Date of birth/death"", ""21 May 1817"", ""7 June 1877"", ""Location of birth/death"", ""South Hadley"", ""Saratoga Springs"", ""Authority control"", "":"", ""Q5346912"", ""VIAF"", "":"", ""59017771"", ""ISNI"", "":"", ""0000 0000 6707 5374"", ""ULAN"", "":"", ""500011995"", ""LCCN"", "":"", ""nr2002016833"", ""GND"", "":"", ""1137290366"", ""WorldCat"", ""artist QS:P170,Q5346912""]",[],"[""Thoughts of Liberia: Emancipation""]",[],[],[],"[""1861"", ""date QS:P571,+1861-00-00T00:00:00Z/9""]","[""oil on canvas"", ""medium QS:P186,Q296955;P186,Q12321255,P518,Q861259""]","[""Height: 43.5 cm (17.1 in); Width: 50.3 cm (19.8 in)"", ""dimensions QS:P2048,43.5U174728"", ""dimensions QS:P2049,50.3U174728""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""New-York Historical Society"", ""Native name"", ""New-York Historical Society"", ""Location"", ""New York City"", ""Coordinates"", ""40\u00b0\u00a046\u2032\u00a045\u2033\u00a0N, 73\u00b0\u00a058\u2032\u00a027\u2033\u00a0W"", ""Established"", ""1804"", ""Web page"", ""www.nyhistory.org"", ""Authority control"", "":"", ""Q1059456"", ""VIAF"", "":"", ""139302409"", ""ISNI"", "":"", ""0000 0004 0626 2466"", ""LCCN"", "":"", ""n79017947"", ""SUDOC"", "":"", ""030503515"", ""BNF"", "":"", ""121904624"", ""WorldCat"", ""institution QS:P195,Q1059456""]",[],"[""painting"", ""object_type QS:P31,Q3305213""]","[""\nNew York Historical Society""]",[]
55691,"""Accusing Finger of Conscience...God and Conscience Witness Every Action...The Authorities Ask That You Save Fats...Reli - NARA - 512560.jpg",artwork,[],"[""Unknown author"", ""Unknown author"", ""or not provided""]","[""\""Accusing Finger of Conscience...God and Conscience Witness Every Action...The Authorities Ask That You Save Fats...Relieve the Present Menancing Situation and Prevent Future Distress by Conserving Food.\"", ca. 1917 - ca. 1919""]",[],[],[],"[""between circa 1917 and circa 1919"", ""date QS:P571,+1917-00-00T00:00:00Z/8,P1319,+1917-00-00T00:00:00Z/9,P1326,+1919-00-00T00:00:00Z/9,P1480,Q5727902""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""U.S. National Archives and Records Administration""]",[],[],[],[],"[""Please"", ""do not overwrite"", ""this file:"", ""any restoration work should be uploaded with a new name and linked in this page's \"""", ""other versions="", ""\"" parameter, so that this file represents the"", ""exact"", ""file found in the NARA catalog record to which it links. The metadata on this page was imported directly from NARA's catalog record; additional descriptive text may be added by Wikimedians to the template below with the \"""", ""description="", ""\"" parameter, but please do not modify the other fields."", ""("", ""Note:"", ""Editors who post this notice are strongly encouraged to add details explaining how it applies to this file.)"", ""TIFF"", ""JPG""]",[],[],[],"[""National Archives at College Park"", ""Native name"", ""National Archives at College Park"", ""Parent institution"", ""National Archives and Records Administration"", ""Location"", ""College Park"", "","", ""United States of America"", ""Coordinates"", ""39\u00b0\u00a000\u2032\u00a002\u2033\u00a0N, 76\u00b0\u00a057\u2032\u00a034\u2033\u00a0W"", ""Established"", ""1994"", ""Web page"", ""www.archives.gov/college-park"", ""Authority control"", "":"", ""Q38945047"", ""NAID"", "":"", ""10048491"", ""institution QS:P195,Q38945047"", ""Still Picture Records Section, Special Media Archives Services Division (NWCS-S)""]",[],[],[],[]
56227,"""Annunciation of the Angel to Mary"" - NARA - 558880.jpg",artwork,[],"[""Lamidi O. Fakeye""]","[""\""Annunciation of the Angel to Mary\""""]","[""General notes:"", ""Carved wood panel""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""U.S. National Archives and Records Administration""]",[],[],[],[],"[""Please"", ""do not overwrite"", ""this file:"", ""any restoration work should be uploaded with a new name and linked in this page's \"""", ""other versions="", ""\"" parameter, so that this file represents the"", ""exact"", ""file found in the NARA catalog record to which it links. The metadata on this page was imported directly from NARA's catalog record; additional descriptive text may be added by Wikimedians to the template below with the \"""", ""description="", ""\"" parameter, but please do not modify the other fields."", ""("", ""Note:"", ""Editors who post this notice are strongly encouraged to add details explaining how it applies to this file.)"", "".tif"", "".jpg""]",[],[],[],"[""National Archives at College Park"", ""Native name"", ""National Archives at College Park"", ""Parent institution"", ""National Archives and Records Administration"", ""Location"", ""College Park"", "","", ""United States of America"", ""Coordinates"", ""39\u00b0\u00a000\u2032\u00a002\u2033\u00a0N, 76\u00b0\u00a057\u2032\u00a034\u2033\u00a0W"", ""Established"", ""1994"", ""Web page"", ""www.archives.gov/college-park"", ""Authority control"", "":"", ""Q38945047"", ""NAID"", "":"", ""10048491"", ""institution QS:P195,Q38945047"", ""Still Picture Records Section, Special Media Archives Services Division (NWCS-S)""]",[],[],[],[]
55209,"""Der Jahrhundertschritt"" (Step of Century), Wolfgang Mattheuer, 1984 - Bonn.jpg",information,[],"[""Jaimrsilva"", ""; jaime.silva at flickr""]",[],"[""English:"", ""Wolfgang Mattheuer, \""Der Jahrhundertschritt\"" (Step of Century), 1984."", ""It is his best known work and an allegory for the 20-th century, showing the inner conflict of the last centuary: nazism and communism. However, for the artist it was also hope for a better future."", ""This copy stands in front of the \""Museum about the contemporary German history\"" in Bonn."", ""Other copies in Berlin, Leipzig, Halle, Oberhausen.""]",[],[],"[""\n31 July 2009""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Own work""]",[],[],[],[],[],[],[],[],[],[],[],[],[]
55704,"""Kakindo Crucifixion"" - NARA - 558948.tif",artwork,[],"[""Unknown author"", ""Unknown author"", ""or not provided""]","[""\""Kakindo Crucifixion\""""]","[""General notes:"", ""Oil""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""U.S. National Archives and Records Administration""]",[],[],[],[],"[""Please"", ""do not overwrite"", ""this file:"", ""any restoration work should be uploaded with a new name and linked in this page's \"""", ""other versions="", ""\"" parameter, so that this file represents the"", ""exact"", ""file found in the NARA catalog record to which it links. The metadata on this page was imported directly from NARA's catalog record; additional descriptive text may be added by Wikimedians to the template below with the \"""", ""description="", ""\"" parameter, but please do not modify the other fields."", ""("", ""Note:"", ""Editors who post this notice are strongly encouraged to add details explaining how it applies to this file.)"", "".tif"", "".jpg""]",[],[],[],"[""National Archives at College Park"", ""Native name"", ""National Archives at College Park"", ""Parent institution"", ""National Archives and Records Administration"", ""Location"", ""College Park"", "","", ""United States of America"", ""Coordinates"", ""39\u00b0\u00a000\u2032\u00a002\u2033\u00a0N, 76\u00b0\u00a057\u2032\u00a034\u2033\u00a0W"", ""Established"", ""1994"", ""Web page"", ""www.archives.gov/college-park"", ""Authority control"", "":"", ""Q38945047"", ""NAID"", "":"", ""10048491"", ""institution QS:P195,Q38945047"", ""Still Picture Records Section, Special Media Archives Services Division (NWCS-S)""]",[],[],[],[]
56633,"""Maistre Robert"" healing by laying-on of hands. Oil painting Wellcome V0018251.jpg",artwork,[],[],"[""\""Maistre Robert\"" healing by laying-on of hands. Oil painting""]","[""\""Maistre Robert\"" healing by laying-on of hands. Oil painting."", ""Iconographic Collections""]",[],[],[],[],[],[],[],[],[],[],[],[],"[""This file comes from"", ""Wellcome Images"", "", a website operated by Wellcome Trust, a global charitable foundation based in the United Kingdom. Refer to"", ""Wellcome blog post"", ""("", ""archive"", "")."", ""This tag does not indicate the copyright status of the attached work."", ""A normal"", ""copyright tag"", ""is still required."", ""See"", ""Commons:Licensing"", "".""]",[],[],"[""Library reference: ICV No 18606"", ""Photo number: V0018251"", ""Full Bibliographic Record:"", ""http://catalogue.wellcomelibrary.org/record=b1203838""]",[],[],[],[],[],[],[],[],[],[],[],[],"[""https://wellcomeimages.org/indexplus/obf_images/df/2f/1e25c6f92058941ef2d97b42cb40.jpg"", ""Gallery:"", ""https://wellcomeimages.org/indexplus/image/V0018251.html"", ""Wellcome Collection gallery (2018-03-21):"", ""https://wellcomecollection.org/works/vjdcwj95"", ""CC-BY-4.0""]",[]
57241,"""The Last Supper"" - geograph.org.uk - 1283787.jpg",artwork,[],"[""Basher Eyre""]",[],"[""English:"", ""\""The Last Supper\"" One of a series of spectacular new stained glass windows at St Thomas' RC Church, New Brighton Road in Emsworth. Designed by Richard Jarczyk, they were open to the public as one of the attractions at Havant Borough Council's 2009 May Days Art Trail.""]",[],[],"[""\n2 May 2009""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Geograph Britain and Ireland""]",[],[],[],[],[],[],[],"[""Basher Eyre\u00a0/"", ""\""The Last Supper\"""", ""/"", ""CC BY-SA 2.0""]",[],[],[],"[""From"", ""geograph.org.uk""]",[]
56822,"""The Last Supper"" - NARA - 558940.jpg",artwork,[],"[""Unknown author"", ""Unknown author"", ""or not provided""]","[""\""The Last Supper\""""]","[""Scope and content:"", ""Murals at Fort Hall Memorial Chapel, Kenya""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""U.S. National Archives and Records Administration""]",[],[],[],[],"[""Please"", ""do not overwrite"", ""this file:"", ""any restoration work should be uploaded with a new name and linked in this page's \"""", ""other versions="", ""\"" parameter, so that this file represents the"", ""exact"", ""file found in the NARA catalog record to which it links. The metadata on this page was imported directly from NARA's catalog record; additional descriptive text may be added by Wikimedians to the template below with the \"""", ""description="", ""\"" parameter, but please do not modify the other fields."", ""("", ""Note:"", ""Editors who post this notice are strongly encouraged to add details explaining how it applies to this file.)"", "".tif"", "".jpg""]",[],[],[],"[""National Archives at College Park"", ""Native name"", ""National Archives at College Park"", ""Parent institution"", ""National Archives and Records Administration"", ""Location"", ""College Park"", "","", ""United States of America"", ""Coordinates"", ""39\u00b0\u00a000\u2032\u00a002\u2033\u00a0N, 76\u00b0\u00a057\u2032\u00a034\u2033\u00a0W"", ""Established"", ""1994"", ""Web page"", ""www.archives.gov/college-park"", ""Authority control"", "":"", ""Q38945047"", ""NAID"", "":"", ""10048491"", ""institution QS:P195,Q38945047"", ""Still Picture Records Section, Special Media Archives Services Division (NWCS-S)""]",[],[],[],[]
56588,0000 Mosaics of Resurrection of Christ.JPG,information,[],"[""Eugenio Hansen, OFS""]",[],"[""Portugu\u00eas:"", ""Igreja S\u00e3o Sebasti\u00e3o, Porto Alegre\u00a0: Mosaico Jesus Ressuscitado""]",[],[],"[""\n10 June 2011""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Own work""]",[],[],[],[],[],[],[],[],[],[],[],[],[]
58627,0150 Mummy Portrait of a young officer Altes Museum Berlin anagoria.jpg,information,[],"[""Anagoria""]",[],"[""English:"", ""Mummy Portrait of a young officer with sword belt; Inv. 31161.3"", ""Deutsch:"", ""Mumienportrait eines Offiziers mit Schwertband; Inv. 31161.3""]",[],[],"[""\n150 n. Chr.""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Own work""]",[],[],[],[],[],[],[],[],[],[],[],[],[]
56950,0329jfOur Lady of Pentecost Parish Church Quezon City Loyola Heightsfvf 25.jpg,information,[],"[""Judgefloro""]",[],"[""English:"", ""Our Lady of Pentecost Parish Church"", ""14\u00b038'24\""N   121\u00b04'20\""E 12 F. dela Rosa corner C. Salvador Streets, Loyola Heights, Quezon City"", ""Roman Catholic Diocese of Cubao"", "","", ""Circumferential Road 5"", "","", ""Katipunan Avenue"", ""in"", ""Katipunan LRT Station"", ""along"", ""Aurora Boulevard"", ""List of roads in Metro Manila"", ""; located in the"", ""List of barangays of Metro Manila"", "","", ""Legislative districts of Quezon City"", "","", ""Barangays of Quezon City"", ""Barangay Loyola Heights (Katipunan), District III,"", ""Quezon City"", "","", ""District 4"", "","", ""Diliman"", "","", ""Quezon City"", ""towards or beside"", ""C. P. Garcia Avenue"", "",  from"", ""Quezon Avenue"", ""(Note: Judge Florentino Floro, the owner, to repeat, Donor"", ""Florentino Floro"", ""of all these photos hereby donate gratuitously, freely and unconditionally all these photos to and for Wikimedia Commons, exclusively, for public use of the public domain, and again without any condition whatsoever).""]",[],[],"[""\n10 February 2017, 15:50:14""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Own work""]",[],[],[],[],[],[],[],[],[],[],[],[],[]
56952,06 The Seven Pillars of Wisdom - The Seven Pillars of Wisdom - panoramio.jpg,information,[],"[""hikinginjordan""]",[],"[""English:"", ""The Seven Pillars of Wisdom, Wadi Rum, Jordan""]",[],[],"[""\n2 October 2013 (original upload date)""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""https://web.archive.org/web/20161102191838/http://www.panoramio.com/photo/97166300""]","[""This file is licensed under the"", ""Creative Commons"", ""Attribution-Share Alike 3.0 Unported"", ""license."", ""Attribution:"", ""hikinginjordan"", ""You are free:"", ""to share"", ""\u2013 to copy, distribute and transmit the work"", ""to remix"", ""\u2013 to adapt the work"", ""Under the following conditions:"", ""attribution"", ""\u2013 You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use."", ""share alike"", ""\u2013 If you remix, transform, or build upon the material, you must distribute your contributions under the"", ""same or compatible license"", ""as the original."", ""https://creativecommons.org/licenses/by-sa/3.0"", ""CC BY-SA 3.0"", ""Creative Commons Attribution-Share Alike 3.0"", ""true"", ""true"", "".mw-parser-output .panoramioreview{width:100%;margin:0.5em 0;background-color:#fffff0;padding:5px;border:1px solid #aa8}.mw-parser-output .panoramioreview-failed{background-color:#fcc}.mw-parser-output .panoramioreview-passed{background-color:#efe}"", ""This image, which was originally posted to"", ""Panoramio"", "", was automatically reviewed on 15 March 2017 by"", ""Panoramio upload bot"", "", who confirmed that it was available on Panoramio under the above license on that date.""]",[],[],[],[],[],[],[],[],[],[],[],[]
