Librarian,Unit,Type,Variety,pub_qid,Title,Venue,Year
"LaVoice, Kelly",Owen,Publication,Book Review,,Review of The Personal Librarian: Enhancing Student Experience,Journal of Business & Finance Librarianship,2015
"LaVoice, Kelly",Owen,Publication,CA Chapter,,Getting the Patron to ‘Yes’: The Academic Librarian’s Role in Supporting Salary Negotiations,Library’s Role in Supporting Financial Literacy for Patrons,2015
"Lester, Frank",Central,Presentation,Talk,,Census 2020: Why It Matters and Answering Questions about Community Data,Tenn-Share Fall Conference,2018
"Lester, Frank",Central,Presentation,Panel,,“What Does It Mean to Be College-Ready in 2018?,"Clarksville- Montgomery County School System, Librarians Professional Development Session",2018
"Lester, Frank",Central,Presentation,CP Talk,,Item Selection Review at Vanderbilt University,Tennessee Government Documents Roundtable Annual Meeting,2015
"Loree, Erin",A & ER,Presentation,Panel,,Ready Set Go: What Academic and High School libraries are doing to help prepare students for college,Tennessee Library Association Conference ,2017
"Loree, Erin",A & ER,Presentation,Talk,,Making the Grade: Homework Help and Tennessee Electronic Library,Tennessee Association of School Librarians Conference,2016
"Loree, Erin",A & ER,Presentation,Webinar,,TEL Support for College & Career Readiness,Tennessee Department of Education Career & Technical Education,2016
"Loree, Erin",A & ER,Presentation,Talk,,Making the Grade: Homework Help and the Tennessee Electronic Library,Books & Bytes Conference,2016
"Loree, Erin",A & ER,Presentation,Talk,,TEL for Younger Users,Books & Bytes Conference,2017
"Loree, Erin",A & ER,Presentation,Talk,,TEL: Year in Review,Tennessee Library Association Conference,2016
"Loree, Erin",A & ER,Presentation,Talk,,Money Smart Week and Beyond: Financial Literacy Programs at Your Library,Tennessee Library Association Conference,2016
"Loree, Erin",A & ER,Presentation,Talk,,Go TEL It on the Mountain! Building Partnerships & Breaking Down Barriers,TEL Conference,2015
"MacGranahan, Jamen ",LTDS,Presentation,Talk,,Symphony Acquisitions Sharing Session,COSUGI Conference,2014
"Mallon, Melissa",Peabody,Publication,Book,,The pivotal role of academic librarians in digital learning,ABC Clio,2018
"Mallon, Melissa",Peabody,Publication,CEd Book,,The grounded instruction librarian:Participating in the Scholarship ofTeaching and Learning,Association of College & Research Libraries Press,2019
"Mallon, Melissa",Peabody,Publication,Chapter,,Approaching problems like a professional,Teaching information literacy threshold concepts ,2015
"Mallon, Melissa",Peabody,Publication,CA Chapter,,Digital literacy and the emergence of technology based curriculum theories,Knowledge construction and multimodal curriculum development ,2014
"Mallon, Melissa",Peabody,Publication,CA Chapter,,Brunch with a side of hashtags,The embedded librarian’s cookbook,2014
"Mallon, Melissa",Peabody,Publication,CPR Article,,Recent changes to reference services in academic libraries and their relationship to perceived quality: Results of a national survey,Journal of Library Administration,2016
"Mallon, Melissa",Peabody,Publication,CPR Article,,Stealing the limelight? Examining the relationship between new librarians and their supervisors,Journal of Library Administration,2014
"Mallon, Melissa",Peabody,Publication,PR Article,Q57680622,Librarian in the boardroom: Outreach strategies for an executive MBA program,Journal of Business & Finance Librarianship,2014
"Mallon, Melissa",Peabody,Publication,PA News,,Keeping up with ....The Scholarship of Teaching and Learning,American Library Association (Occasional),2017
"Mallon, Melissa",Peabody,Publication,CNR Article,,Collaborative learning technologies,Instructional Technologies Committee Tips  and Trends,2015
"Mallon, Melissa",Peabody,Publication,Proceedings,,Promoting transferable research skills: A new take on English Composition assessment,Association of College & Research Libraries (ACRL) Proceedings,2015
"Mallon, Melissa",Peabody,Presentation,Invited Talk,,Creating a Culture of Authentic Assessment: Assessing Student Learning with Instructional Technologies ,LOEX Annual Conference,2016
"Mallon, Melissa",Peabody,Presentation,Invited Talk,,Authentic Assessment for Online (Keynote),Kansas State University Institute for Student Learning and Assessment,2014
"Mallon, Melissa",Peabody,Presentation,CP Talk,,Critical Thinking in the Media Age,Northwest Regional Media Literacy Conference,2018
"Mallon, Melissa",Peabody,Presentation,CP Talk,,Critical Thinking for Complex Times: How the New Media Literacies Alliance Uses OER for Information Literacy,Open Eduction Southern Symposium,2018
"Mallon, Melissa",Peabody,Presentation,CP Talk,,ClimbingTogether with SoTL Newcomers: AToolkit for Joint Faculty and Librarian SoTL Partnerships,International Society for the Scholarship of Teaching & Learning,2017
"Mallon, Melissa",Peabody,Presentation,CP Talk,,Your Librarians DoWhat Exactly?,Tennessee Association of Independent Schools Biannual Conference,2016
"Mallon, Melissa",Peabody,Presentation,CP Talk,,Let’s Give Them SUM-Thing to Talk About: Using Digital Media for Summative Assessment ,46th Conference of the International Society for Exploring Teaching and Learning,2016
"Mallon, Melissa",Peabody,Presentation,CP Talk,,"""But We've Always Done it This Way!"" Managing Expectations of Blended Workforces",Brick & Click: An Academic Library Conference,2016
"Mallon, Melissa",Peabody,Presentation,CP Talk,,Relating to Reality: Using Applied Learning to Make Authentic Connections in the Classroom,45th Conference of the International Society for Exploring Teaching and Learning,2015
"Mallon, Melissa",Peabody,Presentation,Talk,,Brewing Up Future Leaders: Supporting Applied Learning Initiatives on Campus,LOEX Annual Conference,2015
"Mallon, Melissa",Peabody,Presentation,Talk,,Promoting Transferable Research Skills:A NewTake on English Composition Assessment,ACRL 2015 Conference,2015
"Mallon, Melissa",Peabody,Presentation,CP Talk,,Preparing Students for the “Real World”: Practical Strategies for Teaching Critical Thinking ,44th Annual Conference of the International Society for Exploring Teaching and Learning,2014
"Mallon, Melissa",Peabody,Presentation,CP Talk,,Authentic Assessment for Online Learning,Summer Institute on Distance Learning & Instructional Technology,2014
"Mallon, Melissa",Peabody,Presentation,Talk,,Promoting Critical Thinking Through Authentic Learning Activities,EasyBib Professional Development Series,2014
"Manus, Sara",Music,Publication,CA Chapter,,Music (Libraries) for Everyone! Flexible Outreach Initiatives,Outreach for Music Librarians,2019
"Manus, Sara",Music,Publication,Chapter,,Guided Research Journal Assignment,Information Literacy in Music: An Instructor’s Companion,2018
"Manus, Sara",Music,Presentation,CP Talk,,Twinkling’ in the Library: Outreach and Instruction for Young Musicians,Music Library Association (Annual),2016
"Manus, Sara",Music,Presentation,CP Talk,,"Steamboat Pilot, Old Time Musician, and Frustrated Librarian: The John Hartford Collection",Southeast Music Library Association Meeting (Annual),2015
"Manus, Sara",Music,Presentation,Talk,,Stop Reinventing the Wheel: An Online Repository for Music Information Literacy,Music Library Association (Annual),2014
"Morgan, Pamela",Central,Publication,PA News,,Game On! A Library Instruction Program for Student Athletes,ACRL Instruction Section Semi-Annual Newsletter,2019
"Morgan, Pamela",Central,Presentation,Poster,,Students on Both Sides of the Desk: Effective Student Training for Exceptional Service at a Combined Services Desk,Texas Library Association Annual Conference,2014
"Morgan, Pamela",Central,Presentation,Poster,,Moving from the Sidelines to the Playing Field: Developing a Relationship with Student Athletics,ACRL 2019 Conference,2019
"Nejdl, Clanitra ",Law,Publication,PR Article,,"Race, Poverty, and Bail: An Annotated Bibliography",Northern Illiniois University Law Review,2018
"Nejdl, Clanitra ",Law,Publication,PA News,,Program Report: Advance Toward Experiential -- Create or Retool Your Advanced Legal Research Course to Meet the ABA Experiential Learning Standards,ALL-SIS Newsletter (American Association of Law Libraries),2017
"Nejdl, Clanitra ",Law,Publication,PA News,,"Program Report: Minority Teachers: Expectations, Experiences, and Exultations",ALL-SIS Newsletter (American Association of Law Libraries),2017
"Nejdl, Clanitra ",Law,Publication,PA News,,This Really Happened: Incorporating Legal News Items and Current Events into Legal Research Courses,Second Draft (Legal Writing Institute Newsletter),2017
"Nejdl, Clanitra ",Law,Publication,CPR Article,,Wrongful Convictions and Their Causes: An Annotated Bibliography,Northern Illiniois University Law Review,2017
"Nejdl, Clanitra ",Law,Publication,PA News,,AALL Annual Meeting and Conference 2015: A Newbie’s Journey,CALL Bulletin (Chicago Association of Law Librarians),2015
